link,precio,lugar
/es/es/exposes/3c407203-1cd3-50d1-bacb-4cce05fe2c52,1900000,"Castelldefels, Cataluña, España"
/es/es/exposes/b1af6362-8bac-53d3-9cdc-4ae91a6beefd,720000,"Sant Just Desvern, Cataluña, España"
/es/es/exposes/c2d750b7-d3bb-53b8-8a63-5ede9f2e6fc1,1150000,"San Cugat del Vallés, Cataluña, España"
/es/es/exposes/7bda5b1c-7db8-5b01-bd5e-3b311f8ed62d,1560000,"San Cugat del Vallés, Cataluña, España"
/es/es/exposes/df3c91cb-f4c1-5968-92d9-db94fea2e7e6,760000,"San Cugat del Vallés, Cataluña, España"
/es/es/exposes/df3c91cb-f4c1-5968-92d9-db94fea2e7e6,760000,"San Cugat del Vallés, Cataluña, España"
/es/es/exposes/8de5d770-467b-5c8f-8d3e-bd19857db4be,550000,"San Cugat del Vallés, Cataluña, España"
/es/es/exposes/fa8d3a9b-6968-588f-97a8-6fcd396c310d,590000,"San Cugat del Vallés, Cataluña, España"
/es/es/exposes/69e17955-f921-59ca-934b-6654846cc48a,970000,"San Cugat del Vallés, Cataluña, España"
/es/es/exposes/5730e9c5-e0be-5fe8-8caf-f202649849f0,449000,"Elduain, País Vasco, España"
/es/es/exposes/d04d5f20-1019-549c-bc1c-79c9d536e8d7,995000,"Distrito de Sarrià-Sant Gervasi, Barcelona, Cataluña, España"
/es/es/exposes/44bae1f8-a838-5919-98f3-8f677c7cecaf,890000,"San Cugat del Vallés, Cataluña, España"
/es/es/exposes/61f5c278-4783-5b38-99b8-f0c42b248243,28000,"Ensanche, Vitoria-Gasteiz, País Vasco, España"
/es/es/exposes/4a54832a-c601-5ea2-86c8-0be60af114d9,18000,"Ensanche, Vitoria-Gasteiz, País Vasco, España"
/es/es/exposes/782e85ba-829b-568a-a0d6-f322bfaef836,28000,"Ensanche, Vitoria-Gasteiz, País Vasco, España"
/es/es/exposes/4a3fadbc-deec-51c7-910f-4bdebed495a5,22000,"Ensanche, Vitoria-Gasteiz, País Vasco, España"
/es/es/exposes/eb13f7d0-637f-5465-940a-932436aed432,35000,"Ensanche, Vitoria-Gasteiz, País Vasco, España"
/es/es/exposes/6a840af1-8f03-534c-a8de-9c2b02656f73,2500000,"Sant Joan Despí, Cataluña, España"
/es/es/exposes/ee83e99c-f65f-51d7-8a5e-6eb41b2915e1,380000,"Mont, Cataluña, España"
/es/es/exposes/c3293898-23ce-53f6-a6e3-032fbba5fbee,675000,"Moncloa - Aravaca, Madrid, Comunidad de Madrid, España"
/es/es/exposes/c854dd69-a8c8-5ce6-845e-4c6257a79190,5350000,"Golden Mile, Marbella, Andalucía, España"
/es/es/exposes/a9ab1ae2-074b-5755-8c7f-e48b54ed8847,775000,"Portals, Portals Nous, Islas Baleares, España"
/es/es/exposes/79a7f69b-30f2-5b3e-ae51-998cd362c166,4995000,"Nueva Andalucia, Marbella, Andalucía, España"
/es/es/exposes/a45cab2d-c0e2-51d8-aa74-699373c65091,1819000,"Hortaleza, Madrid, Comunidad de Madrid, España"
/es/es/exposes/97e7d8e2-4d6e-5c78-8cfe-8d9b1941ee63,4250000,"Nueva Andalucia, Marbella, Andalucía, España"
