propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice
108324155,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ca/0a/25/1344500754.webp,AG210112,41,4,850000.0,penthouse,sale,106.0,True,2,1,calle de las Aguas,Madrid,Madrid,Centro,es,Palacio,40.4108364,-3.7112152,False,https://www.idealista.com/inmueble/108324155/,"**Exclusivo ático en el emblemático barrio de Palacio, Madrid**  Descubre este magnífico ático de 98m2 en uno de los enclaves más históricos y codiciados de Madrid. Este elegante inmueble cuenta con 2 dormitorios, 2 baños, una cocina completamente equipada y un salón independiente bañado por luz natural gracias a su orientación este. Su diseño exterior y su impecable estado de conservación lo convierten en un refugio perfecto para quienes buscan un hogar sofisticado y listo para entrar a vivir.  La finca, construida en 1940, es un ejemplo de arquitectura clásica madrileña y ha sido cuidadosamente mantenida para preservar su encanto original. Dispone de ascensor, calefacción individual de gas natural y aire acondicionado, proporcionando el máximo confort durante todo el año. El suelo de parquet y los acabados de alta calidad refuerzan la sensación de lujo y calidez.  Ubicado en pleno distrito Centro, a pocos pasos de lugares icónicos como el Palacio Real, la Plaza Mayor y la Catedral de la Almudena. Además, la zona ofrece una amplia oferta gastronómica, con tabernas tradicionales y restaurantes de alta cocina, así como teatros, galerías de arte y boutiques exclusivas.  El barrio también cuenta con una excelente conectividad. A menos de 500 metros se encuentran las estaciones de metro de Ópera (líneas 2, 5 y R) y La Latina (línea 5), además de varias líneas de autobús como la 31, 50 y 65. Para quienes prefieren el tren de cercanías, la estación de Príncipe Pío está a solo 1,5 kilómetros. A nivel educativo, el prestigioso Colegio San Ildefonso está a menos de 2 kilómetros, y en cuanto a compras, el Centro Comercial Príncipe Pío ofrece una amplia variedad de tiendas y servicios.  Desde 1983, en GILMAR nos hemos dedicado a ayudar a nuestros clientes a encontrar la casa de sus sueños, ofreciendo un servicio integral y personalizado. Somos referentes en el sector inmobiliario gracias a nuestra experiencia, profesionalidad y compromiso.  Para más información sobre este exclusivo ático, no dudes en contactar con nuestro equipo de la oficina de Centro. Estamos situados en Plaza de Herradores, 4, y puedes llamarnos al ** ** o escribirnos a ****. Por favor, facilita la referencia **210112** para que podamos atenderte de manera más eficiente. ¡Tu nuevo hogar te espera!",True,good,False,True,8019.0,True,True,False,True,[],False,True,850000.0,€,895000.0,45000.0,5.0,flat,penthouse,"Palacio, Madrid",Ático en calle de las Aguas,Top+,,,
108361180,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e3/4a/fa/1345338293.webp,W-02XK3O,48,3,760000.0,flat,sale,140.0,True,5,1,calle de Esparteros,Madrid,Madrid,Centro,es,Sol,40.4144463,-3.7040817,False,https://www.idealista.com/inmueble/108361180/,"Amplio piso en el centro de Madrid Engel&Völkers presenta esta vivienda interior, ubicada en pleno corazón del centro de Madrid, a pocos metros de la Plaza Mayor, del mercado de San Miguel y de la Puerta del Sol. El inmueble tiene 140 m2 construidos, está en una tercera planta de una finca típica de la zona, con un amplio portal y unas escaleras comunes de carpintería de madera, dispone de ascensor y de conserje. La vivienda dispone de un hall distribuidor, un salón comedor y cocina. La zona íntima está compuesta de 5 dormitorios y un baño completo. La calefacción y aire acondicionado es por Split frío y calor. Este piso al ser interior goza de una agradable tranquilidad, la mayoría de los muros son tabiques lo que da la posibilidad de adaptarlo a tus requerimientos de distribución y espacio. Una excelente ocasión de compra para aquellos que desean vivir en el pleno Centro de Madrid o para personas que desean invertir en un inmueble con alta rentabilidad con alquiler a corta y larga estancia. La propiedad se encuentra en el barrio de Sol, situada en el centro neurálgico del centro histórico de Madrid, junto a la Plaza Mayor y Puerta de Sol. Cuenta con una ubicación inmejorable, donde se puede disfrutar de todo tipo de oferta de ocio como teatros, bares, restaurantes, oferta comercial y tiendas. A escasos minutos se encuentra el mercado de San Miguel con su amplia oferta gastronómica, el Teatro Real, el majestuoso Palacio Real y la Galería Canalejas con el Hotel Four Seasons. Muy cercana a la vivienda se encuentra la estación de metro de Sol, Tirso de Molina y Ópera, donde se encuentran varias líneas de metro así como el tren de Cercanías. También numerosas líneas de autobuses tienen parada en los alrededores de la vivienda.",True,good,False,True,5429.0,True,True,False,True,[],False,True,760000.0,€,799000.0,39000.0,5.0,flat,,"Sol, Madrid",Piso en calle de Esparteros,Top+,,,
108538807,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1c/3b/40/1349637123.webp,W-0307EA,30,4,850000.0,flat,sale,106.0,True,2,1,calle de las Aguas,Madrid,Madrid,Centro,es,Palacio,40.4095753,-3.7122422,False,https://www.idealista.com/inmueble/108538807/,"Coqueta y luminosa propiedad con terraza en La Latina Engel & Völkers presenta esta luminosa y coqueta propiedad en el corazón del popular barrio de La Latina. Se trata de una propiedad exterior practicamente en su totalidad y se encuentra en la quarta planta con acsesor de una finca clásica de Madrid de los Austrias.  La vivienda cuenta con una superficie construida total aproximada de 90m² y 16m² de terraza, distribuida en torno a recibidor y salón amplio, a todo ello se le suma a la terraza que está perfectamente integrada. El dormitorio principal tiene un balcón que da a la calle y con puertas francesas que dan a la terraza. Este tipo de propiedad única y deseada ofrece importantes y diversas oportunidades para entrar a vivir, actualizar o hacer una reforma integral. El plano y la estructura de la propiedad invitan a su personalización según necesidades del cliente. Propiedades de este tipo no vienen al mercado con frecuencia así que póngase en contacto con nosotros ahora para una visita. La propiedad se encuentra en una de la zona de Palacio con innumerables calles, plazas, monumentos, y edificios que han dejado huella en la historia de Madrid. A escasos minutos te encontrarás el Palacio Real, Plaza de los Carros y Plaza de la Paja.  La demanda del distrito está en auge ya que la conservación de la ciudad junto con su historia se mantienen y a su vez se actualiza para las necesidades y lujos de hoy en día. La zona destaca por la gran cantidad de restaurantes, cafeterías, mesones, comercios, hostales y la gran variación cosmopolita. Las comunicaciones son excelentes, ya sea a través del M30, Metro, bus o Renfe.",True,good,False,True,8019.0,True,True,False,True,[],False,True,850000.0,€,895000.0,45000.0,5.0,flat,,"Palacio, Madrid",Piso en calle de las Aguas,Top+,,,
108816285,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/b1/9e/1356236609.webp,VG-212295,32,bj,1250000.0,flat,sale,166.0,True,3,3,paseo de los Parques,Madrid,La Moraleja,Encinar de los Reyes,es,,40.5111465,-3.6527442,False,https://www.idealista.com/inmueble/108816285/,"Gilmar Consulting Inmobiliario, ofrece en exclusiva, luminoso y espacioso piso de tres dormitorios y amplia terraza con gran jardín en una de las mejores urbanizaciones de El Encinar de los Reyes. Tiene una ubicación inigualable a pasos de La Plaza de la Moraleja y del Centro Comercial El Encinar. Se encuentra dentro de una urbanización privada, con los mejores servicios como piscina exterior para adultos y niños, pádel, zonas comunes de paseo y seguridad física 24h con estricto control de acceso. Iniciando su recorrido, nos da la bienvenida un luminoso salón-comedor con acceso a la terraza exterior y a un jardín de 136 metros. Cuenta con cocina independiente, con mobiliario y electrodomésticos; así como tendedero techado con área de lavandería. En el área de descanso, se distribuyen dos fantásticos dormitorios con armarios empotrados y dos baños completos; el de la habitación principal en suite.  El piso cuenta con un apartamento independiente con acceso desde la cocina. Consta de un dormitorio con baño en suite, gran trastero y acceso a las dos plazas de garaje. La Moraleja, compuesta por La Moraleja, El Soto y El Encinar de los Reyes, es el área residencial de lujo por excelencia de Madrid y la más conocida de España, situada en la zona Norte de Madrid. Según algunas publicaciones de prestigio, es la mejor urbanización del mundo, teniendo en cuenta sus cualidades.  Está situada a 15 minutos del centro de Madrid y a 10 minutos de la Terminal Internacional 4 del Aeropuerto Adolfo Suárez.  La Moraleja cuenta con el mayor número de colegios privados nacionales e internacionales de toda España (entre otros el International College Spain, King’s College, San Patricio, Runnymede, Los Sauces, Brains, Santa Helena, Saint George, Highlands, Aldovea, Liceo Europeo, etc…) Acoge además uno de los dos campus que la Universidad Europea de Madrid tiene en la Comunidad de Madrid.  La zona tiene gran cercanía al Parque Forestal de Valdebebas, el segundo más grande de Madrid), varios centros comerciales, supermercados, hospitales, centros médicos, dos campos de golf de 18 hoyos, club de tenis, club de pádel, y una de las ofertas gastronómicas más atractivas de Madrid.  Hay que destacar La Plaza de la Moraleja, donde se encuentran los principales y más prestigiosos restaurantes de Madrid (A’Kangas, Áurea, La Máquina, La Penela, El Barril, Sushi 99, Peppe Fusco) Cafeterías (Café Pino, Panod), farmacias, panaderías, bancos etc… Es un área que goza de gran seguridad gracias al sistema de alarmas que está conectado con la Entidad de Conservación de La Moraleja y las garitas de seguridad ubicadas en las diferentes entradas de acceso a la zona. ¡Vivir en la Moraleja significa calidad, exclusividad y comodidad en un entorno inigualable!",True,good,False,True,7530.0,True,True,False,True,[],False,True,1250000.0,€,,,,flat,,"Encinar de los Reyes, La Moraleja",Piso en paseo de los Parques,Top+,True,True,
107999491,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/60/75/61/1352741728.webp,PV9078I,49,bj,2250000.0,flat,sale,188.0,True,4,4,avenida de Luis García Cereceda,Madrid,Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,es,La Finca,40.406757,-3.7982987,False,https://www.idealista.com/inmueble/107999491/,"Exclusivo bajo con jardín de esquina, con piscina privada, en la exclusiva urbanización de La Finca LGC3. La vivienda está orientada al sur por lo que goza de una maravillosa luz. Vistas al recién inaugurado campo de golf de 18 hoyos, cuenta con 339 m² construidos, de los cuales 188 m² son de vivienda, y 137 m² de terraza y piscina privada. Disfruta de un jardín privado de 147 m² con acceso a las zonas comunes, y un agradable porche. En un enclave único, en una de las urbanizaciones más seguras de Europa, con un sistema férreo de seguridad, cerrada y vigilada 24 horas. En magnífica ubicación por su cercanía al centro comercial Grand Café de La Finca, y de colegios internacionales como el Colegio Británico o el Americano. Bien comunicada por transporte público y con fácil acceso con carreteras principales.  Distribución: · Amplio hall de recibo, baño completo y armario gabanero. · Salón comedor. · Cocina oficce con isla central semi-integrada a través de unas puertas correderas con cuarterones diseñada específicamente para esta vivienda. Ambas estancias tienen salida al porche y al jardín. · En la zona de dormitorios encontramos un amplio frente de armarios para ropa blanca y almacenaje. · Dormitorio con baño en suitte. · Dormitorio con baño en suitte. · Dormitorio principal con baño en suitte y vestidor. · Zona de lavado plancha independiente. · Dormitorio de servicio. Dos plazas de garaje y trastero. Puedes ver más inmuebles en nuestra página web. A La Finca se la conoce como la urbanización más segura de toda Europa. Es muy demandada, además, por su privacidad y el cuidado exquisito de sus zonas comunes. Como rasgo de estilo, posee maravillosos lagos y jardines, así como una arquitectura perfectamente estudiada y uniforme, que podemos ver en sus pisos, adosados, pareados y chalets independientes. Situada en el término municipal de Pozuelo de Alarcón, La Finca se halla muy bien comunicada por la M-40 y la carretera de Castilla. Tiene también varias líneas de autobuses, metro ligero y tren de cercanías.  Cuenta con un club deportivo, restaurantes y un centro comercial que cubre todas las necesidades de sus residentes. En sus inmediaciones encontramos algunos de los mejores colegios de Madrid y se halla a tan solo 5 minutos de Pozuelo.",True,good,False,True,11968.0,True,True,False,True,[],False,True,2250000.0,€,,,,flat,,"La Finca, Pozuelo de Alarcón",Piso en avenida de Luis García Cereceda,Top+,True,True,
106702840,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2d/e6/4f/1297219632.webp,PV8891I,51,2,1335000.0,flat,sale,157.0,True,3,3,calle del Carril de los Caleros,Madrid,Madrid,Moncloa,es,Aravaca,40.4602576,-3.7968684,False,https://www.idealista.com/inmueble/106702840/,"Impecable piso de 157 m² con terraza de 130 m² en venta en urbanización cerrada con piscina. En buenísima ubicación por cercanía a zona comercial y de ocio, servicios y bien comunicada por transporte público y principales carreteras. Distribución: · Amplio hall de recibo. · Aseo de visitas. · Armario gabanero. · Cocina office con tendedero y salida a terraza. · Salón comedor con salida a terraza. · Dos dormitorios. · Baño completo. · Dormitorio principal con vestidor y baño completo. Puedes ver más inmuebles en nuestra página web. Entre el Monte del Pardo y la Casa de Campo, y a tan solo 9 kilómetros del centro de Madrid, Aravaca es un lugar privilegiado: ofrece todo lo que un ciudadano necesita en una gran urbe, y además está perfectamente comunicada con la capital gracias a la autopista A-6, la M-500, la M-503 (carretera de Castilla), M-30 y M-40. Cuenta con múltiples instalaciones deportivas, tiendas, restaurantes, academias, institutos, así como con los colegios más prestigiosos de Madrid. Es un área con mucho encanto donde sus 23.000 habitantes disfrutan de las ventajas de vivir en una gran ciudad, y a su vez de la tranquilidad de estar en un pueblo donde pasear, ir de compras caminando, e incluso ir en bici hasta el centro de Madrid o Ciudad Universitaria a través de la Casa de Campo.",True,good,False,True,8503.0,True,True,False,True,[],False,True,1335000.0,€,,,,flat,,"Aravaca, Madrid",Piso en calle del Carril de los Caleros,Top+,True,True,
106349275,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/c1/5a/1281719993.webp,PV8839I,66,,2975000.0,chalet,sale,818.0,,6,6,calle Transversal 1,Madrid,Pozuelo de Alarcón,Urbanizaciones,es,Montealina,40.4227208,-3.8426658,False,https://www.idealista.com/inmueble/106349275/,"Fantástico chalet independiente de 818 m² en fantástica parcela de esquina de 3.603 m² diseñada con grandes espacios comunicados y abiertos al jardín. Con fantástica parcela con piscina, zona de barbacoa, horno de piedra y bonito jardín consolidado.  Distribución: PLANTA PRINCIPAL: - Hall de entrada. - Despacho con salida al jardín. - Amplio salón con salida al jardín  - Comedor con salida al jardín. - Cocina de gran tamaño, totalmente reformada, con zona de office. - Zona de lavado. - Apartamento de servicio con baño y acceso independiente. - Aseo de invitados. - Armario ropero. PRIMERA PLANTA: - Dormitorio principal en suite de gran tamaño con baño y vestidor. - Dormitorio con baño en suite. - Dos amplias habitaciones dobles de buen tamaño. - Baño completo. - Dormitorio con baño con suite. PLANTA BAJA:  - Salón con billar. - Despensa. - Zona de maquinas. - Trastero. - Bodega. - Garaje con capacidad para tres coches. Puedes ver más inmuebles en nuestra página web. Urbanización de lujo muy consolidada, de acceso cerrado y vigilancia las 24 horas. Pertenece al municipio de Pozuelo de Alarcón y ofrece un maravilloso paisaje donde se encuentra el bosque protegido de Boadilla del Monte.  Conectada por la M-40 y la M-500, tiene transporte público, y un fácil acceso a la zona comercial de Pozuelo. Como rasgo distintivo, todas las viviendas son chalets independientes en muy buenas parcelas de gran privacidad.",True,good,False,,3637.0,True,True,False,True,[],False,True,2975000.0,€,,,,chalet,independantHouse,"Montealina, Pozuelo de Alarcón",Casa independiente en calle Transversal 1,Top+,True,True,
106010517,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/70/35/1351929883.webp,PV8838I,46,,3950000.0,chalet,sale,1900.0,,7,10,calle Línea,Madrid,Pozuelo de Alarcón,Zona Pueblo,es,Zona Pueblo,40.4462524,-3.8173481,False,https://www.idealista.com/inmueble/106010517/,"Chalet independiente de 1.900 m² con parcela de 5.900 m² en Pozuelo. Distribución: PLANTA BAJA: - Hall de acceso, dos aseos de cortesía. - Distribuidor central con piscina interior climatizada con fuente y jacuzi. - Salón con bar inglés. - Comedor. - Cocina y zonas de servicio (dormitorio con baño y zona de plancha). - Cuatro dormitorios tipo suite, con vestidor completo y baño integrado en la disposición de la habitación, con bañera y ducha independiente.  - Zona de gimnasio, comunicada con la habitación principal, con vestuarios, duchas, sauna, baño turco y sala de aparatos. PLANTA PRIMERA:  - Un dormitorio tipo suite, con vestidor completo y baño integrado en la disposición de la habitación, con bañera y ducha independiente, con terraza privada y estancias diáfanas de biblioteca y zona de pintura.  - Aseo de cortesía.  - Doble altura en sobre hall y salón, iluminados por cúpula cenital.  - Terrazas accesibles (preparadas para posibles ampliaciones, tanto estructuralmente como con preinstalación de todo tipo de instalaciones (agua, luz, telefonía, etc)). PLANTA SÓTANO: - Sala polivalente con barra de bar, bolera profesional y galería de tiro con arco (preparado como bunker, con todas las acometidas).  - Dormitorio de servicio y baño completo. - Taller de reparaciones y laboratorio fotográfico y cuartos varios de instalaciones. PLANTA TÉCNICA:  - Bajo la totalidad de la planta baja, cámara practicable de entre uno y dos metros de altura donde se alojan las instalaciones generales incluidas las de la piscina interior, hasta un total de 800 m². Todas las plantas están comunicadas entre si por escalera y ascensor. Aparcamiento cubierto en planta baja, junto a la entrada con capacidad para ocho vehículos. Jardín arbolado, con piscina, terraza exterior, barbacoa y caseta para perros.  Puedes ver más inmuebles en nuestra página web. Este importante municipio de Madrid ocupa una extensión de 42 km2 y tiene una población de aproximadamente 84.000 habitantes. Como referencia geográfica, se encuentra a 11 kilómetros del centro de la capital y linda con Aravaca. Además de varias líneas de autobuses y de metro ligero, cuenta con dos estaciones de cercanías: una en Pozuelo y otra en El Barrial, junto al Corte Inglés. Sin olvidar sus tres grandes ejes: la A-6, la M-500 y la M-40.  De entres sus muchas urbanizaciones, destacamos La Finca, Somosaguas o Álamos de Bularas. Según su carácter urbanístico, en algunas se han construido pisos cerca de las zonas comerciales, y en otras, adosados y chalets independientes.  Asimismo, cuenta con colegios muy conocidos, algunos de ellos bilingües, lo que hace de esta población una zona muy demandada por ejecutivos destinados en Madrid. En sus inmediaciones se encuentra el Campus Universitario de Somosaguas, donde se cursan varias carreras de la Universidad Complutense.  Estamos ante una zona muy tranquila, de gran seguridad y con unos servicios acordes a la gran ciudad que es hoy día. De hecho, desde hace ya unos años tiene teatro y su propio conservatorio.",True,good,False,,2079.0,True,True,False,True,[],False,True,3950000.0,€,,,,chalet,independantHouse,"Zona Pueblo, Pozuelo de Alarcón",Casa independiente en calle Línea,Top+,True,True,
108212506,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/21/4d/1337699789.webp,LO-209361,34,,1795000.0,chalet,sale,260.0,,3,3,calle del Padre Arrupe,Madrid,La Moraleja,Encinar de los Reyes,es,,40.5027596,-3.6371706,False,https://www.idealista.com/inmueble/108212506/,"Gilmar Moraleja Consulting te invita descubrir EN EXCLUSIVA esta espectacular casa pareada en una urbanización cerrada con seguridad 24 horas, ubicada en la exclusiva zona de El Encinar de los Reyes. Con un diseño funcional y acogedor, esta propiedad de 260 m² construidos se distribuye en dos plantas que ofrecen un ambiente perfecto para disfrutar en familia. En la planta baja, te recibe un hall de entrada que da paso a un amplio salón comedor, ideal para momentos inolvidables. La cocina, equipada con zona de office y acceso directo al jardín, es perfecta para los amantes de la gastronomía. Además, cuenta con un baño completo que añade comodidad a este nivel.  Subiendo a la planta primera, encontrarás dos generosos dormitorios secundarios, que pueden unirse para crear un espacio aún más amplio. La habitación principal destaca por su tamaño y cuenta con un baño en suite que garantiza privacidad y confort. Un baño secundario compartido completa esta planta. La propiedad también incluye plaza de garaje para dos vehículos y un gran trastero, ofreciendo soluciones de almacenamiento adicionales y instalación de fotovoltaica individual en cubierta con posibilidad de instalar acumuladores. Los servicios de la urbanización son excepcionales: disfruta de dos piscinas (adultos y niños), pistas de pádel y tenis, un parque infantil y amplias zonas ajardinadas donde los más pequeños pueden jugar y explorar. Esta casa está lista para convertirse en tu nuevo hogar. No pierdas la oportunidad de vivir en un entorno seguro y tranquilo, rodeado de naturaleza y comodidades. ¡Ven a visitarla y enamórate! La Moraleja es el área residencial de lujo por excelencia de Madrid y la más conocida de España. Se sitúa en la zona Norte de la capital y está compuesta por La Moraleja, El Soto de la Moraleja y El Encinar de los Reyes. Según algunas publicaciones de prestigio mundial, La Moraleja es la mejor urbanización del mundo, teniendo en cuenta sus cualidades: situada a 10 minutos del centro de Madrid y a 5 minutos de la Terminal Internacional 4 del Aeropuerto Adolfo Suárez Barajas, en el término municipal de Alcobendas. Tiene una extensión de 950 hectáreas, con 1.050 viviendas independientes sobre parcelas de 1.500, 2.500 y 10.000 m2 y con 400 chalets adosados en nueve urbanizaciones diferentes. La Moraleja cuenta con el mayor número de colegios privados nacionales e internacionales de toda España, entre otros, el International College, King’s College, San Patricio, Runymede, Los Sauces, Brains, Saint George, Highlands, Aldovea, Liceo Europeo…. Acoge además uno de los dos campus que la Universidad Europea de Madrid tiene en la Comunidad de Madrid. Cuenta asimismo con varios centros comerciales y médicos, dos campos de golf de 18 hoyos, club de tenis, club de paddle, y una de las ofertas gastronómicas más atractivas de Madrid. Hay que destacar La Plaza de la Moraleja, donde se encuentran los principales y más prestigiosos restaurantes de Madrid (A’Kangas, La Máquina, Aurea, La Penela, Sushi99), cafeterías como Pino, Embassy o farmacia y bancos. La Moraleja es un área que goza de gran seguridad gracias al sistema de alarmas que está conectado con la Entidad de Conservación de La Moraleja y las garitas de seguridad ubicadas en las diferentes entradas de acceso a la zona. Vivir en la Moraleja significa calidad, exclusividad y comodidad en un entorno inigualable y con los mejores servicios.",True,good,False,,6904.0,True,True,False,True,[],False,True,1795000.0,€,,,,chalet,semidetachedHouse,"Encinar de los Reyes, La Moraleja",Chalet pareado en calle del Padre Arrupe,Top+,True,True,
104306965,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/c2/63/1217034679.webp,JM195047 ,53,,15000000.0,chalet,sale,1700.0,,8,11,paseo de la Marquesa Viuda de Aldama,Madrid,La Moraleja,La Moraleja urbanización,es,,40.5144704,-3.634451,False,https://www.idealista.com/inmueble/104306965/,"GILMAR MORALEJA tiene el honor de presentar esta maravillosa villa provenzal en La Moraleja. Trasladarse a la Provenza francesa sin salir de Madrid es posible, gracias a esta espectacular propiedad de 10.000 m2 situada en La Moraleja.    Este chalet independiente de estilo provenzal es un verdadero paraíso de lujo y elegancia, con una superficie construida de 1.700 m2 distribuidos en dos plantas y un sótano. Al adentrarse en esta impresionante vivienda, se puede apreciar la calidad y la atención al detalle en cada rincón. Los materiales utilizados, como la piedra, la madera y el metal, crean una atmósfera lujosa y sofisticada.  El magnífico hall de entrada de 62 m2 da la bienvenida a los visitantes, mientras que el espacioso salón de 70 m2, con grandes ventanales y una imponente chimenea, se convierte en el corazón de la casa.  El comedor de 40 m2, conectado directamente con el salón, es perfecto para celebrar grandes banquetes.  Además, la propiedad cuenta con un fabuloso salón biblioteca, con majestuosas columnas de piedra, chimenea y vigas de madera vista, que lo convierten en uno de los espacios más especiales de la casa. En la planta principal también se encuentra la cocina, de estilo provenzal y completamente equipada, con despensa y zona de lavandería.  El dormitorio principal, con 21 m2, cuenta con vestidor, baño en suite y unas vistas impresionantes al jardín. En la primera planta se encuentran cinco amplias habitaciones, todas ellas con baño en suite y algunas con acceso a una terraza.  Además, hay un cuarto de estar que ofrece un espacio adicional para relajarse y disfrutar de momentos de tranquilidad. El exterior de la vivienda cuenta con un bonito porche y un jardín de una hectárea, cuidado con esmero y en perfecta armonía con la fachada de la casa. El jardín cuenta con un magnífico arbolado y una vegetación exuberante, así como una preciosa fuente. Los residentes podrán disfrutar del aire libre y de momentos de relax en este entorno idílico.   La propiedad cuenta con una piscina cubierta climatizada, perfecta para disfrutar durante todo el año en edificación individual dentro de la parcela de 10.000 m2. La Moraleja es una de las zonas más exclusivas de Madrid, conocida por sus amplias y lujosas propiedades. Este barrio residencial ofrece una gran calidad de vida, con amplias zonas verdes, seguridad privada y una gran oferta de servicios y actividades.  Además, cuenta con excelentes conexiones de transporte, con varias líneas de autobús cercanas y la estación de metro más cercana a menos de 10 kilómetros. En cuanto a la oferta educativa, La Moraleja cuenta con varios colegios de prestigio a menos de 10 kilómetros, como el International College of Spain (ICS), Colegio San Patricio, King´s College, el Liceo Europeo de Madrid y otros 10 colegios mas de altísimo prestigio.  Para ir de compras, los residentes encontrarán el Corte Inglés y el Centro Comercial Moraleja Green a pocos minutos en coche. Gilmar es una reconocida compañía inmobiliaria con más de 35 años de experiencia en el sector.  Desde 1983, Gilmar ha ayudado a sus clientes a encontrar la casa de sus sueños, ofreciendo un servicio personalizado y profesional. Si desea más información sobre esta propiedad, no dude en ponerse en contacto con nuestro equipo en la oficina de La Moraleja, ubicada en Plaza de la Moraleja, s/n. Puede llamar al o enviar un correo electrónico.  Recuerde facilitarnos la referencia MOV02961 para obtener más detalles sobre este increíble chalet en La Moraleja.",True,good,False,,8824.0,True,True,False,True,[],False,True,15000000.0,€,,,,chalet,independantHouse,"La Moraleja urbanización, La Moraleja",Casa independiente en paseo de la Marquesa Viuda de Aldama,Top+,True,True,
