propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,district,hasLift,neighborhood,parkingSpace.parkingSpacePrice
108570075,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/c8/17/1348783999.webp,838,43,435000.0,chalet,sale,428.0,4,3,"calle Viñagrande, 50",Madrid,Torrelaguna,es,40.8299407,-3.5456158,True,https://www.idealista.com/inmueble/108570075/,"Exclusivo chalet en venta en Torrelaguna con amplias zonas exteriores y excelentes prestaciones. Se ofrece magnífico chalet independiente ubicado en la prestigiosa urbanización de Torrelaguna. La propiedad se asienta sobre una generosa parcela de 896 m², con una superficie construida de 428 m², distribuidos en dos cómodas plantas. La vivienda destaca por su elegante y funcional distribución. En la planta principal encontramos un espacioso recibidor, un amplio salón-comedor con abundante luz natural, una práctica y equipada cocina, así como un aseo de cortesía. En la planta superior se sitúa una habitación muy amplia con aire acondicionado y acceso a su terraza privada, ideal para disfrutar de momentos de relax con vistas despejadas. Además, encontramos dos habitaciones más con su baño completo y una espectacular suite principal recién reformada, con gran amplitud, baño propio y posibilidades de instalar una mini-cocina. La zona exterior está diseñada para el ocio y el confort, contando con una pista de pádel, una amplia piscina privada y dos plazas de garaje cubiertas. Esta propiedad representa una oportunidad única para quienes buscan un entorno exclusivo, tranquilidad y calidad de vida, todo ello en un enclave privilegiado.",False,good,False,1016.0,False,False,False,False,[],False,False,435000.0,€,450000.0,15000.0,3.0,True,True,chalet,independantHouse,Torrelaguna,"Casa independiente en calle Viñagrande, 50",Destacado,,,,,,
108448615,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e5/57/c4/1345271108.webp,9005,38,445000.0,flat,sale,156.0,4,2,avenida Juan Pablo II,Madrid,Paracuellos de Jarama,es,40.5041812,-3.5118446,False,https://www.idealista.com/inmueble/108448615/,"HERCESA ESTUDIOS INMOBILIARIOS te presenta una espaciosa vivienda ubicada en una de las mejores zonas de Miramadrid, muy bien orientada y en el corazón de la urbanización. Se encuentra cerca del centro comercial, supermercados, colegios, guarderías y biblioteca. Esta amplia propiedad de 156 metros cuadrados construidos ofrece un espacio cómodo y funcional, distribuida en cuatro dormitorios y con dos baños, uno de ellos en suite, ideal para toda la familia. La vivienda cuenta con una terraza que se accede desde el salón, perfecta para disfrutar del aire libre y momentos de ocio, además de un tendedero completamente cerrado que puede funcionar como despensa o zona de almacenamiento adicional. Para mayor confort, la vivienda está equipada con contraventanas en todas las estancias y toldos que protegen del sol en los días más calurosos, así como aire acondicionado en el salón.  La urbanización cuenta con una zona infantil con parque, así como zonas verdes, pensada para el disfrute de los más pequeños.  La propiedad se vende junto con una amplísima plaza de garaje y un trastero, brindando comodidad y espacio adicional para tus necesidades. No dudes en llamarnos para concertar una visita y descubrir todo lo que esta maravillosa vivienda tiene para ofrecerte. Estaremos encantados de enseñártela y ayudarte a dar el siguiente paso hacia tu nuevo hogar.",False,good,False,2853.0,True,False,False,False,[],False,False,445000.0,€,,,,True,True,flat,,"Miramadrid, Paracuellos de Jarama",Piso en avenida Juan Pablo Ii,Destacado,1,True,Miramadrid,True,,
108690506,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/66/25/98/1352245122.webp,,35,379000.0,flat,sale,87.0,2,2,alameda del Valle,Madrid,Madrid,es,40.3657935,-3.6234981,False,https://www.idealista.com/inmueble/108690506/,"**Piso en Venta en el Corazón del Ensanche de Vallecas** Descubre este espectacular piso de 87 m², situado en pleno Ensanche de Vallecas, entre la M40 y M45, perfecto para parejas o familias que buscan comodidad y calidad de vida.  La vivienda, construida por Pryconsa en 2008, cuenta con 2 amplios dormitorios y 2 baños, de un espacio funcional y acogedor. Su orientación Sur-Oeste garantiza una luminosidad excepcional durante todo el día, creando un ambiente cálido y agradable en cada rincón. El salón, con dos orientaciones, se convierte en el lugar perfecto para relajarse o recibir visitas con cocina independiente Además, la vivienda incluye una gran plaza de garaje y trastero, lo que añade un gran valor a la propiedad.  Calefacción individual, Aire acondicionado con bomba de calor distribuido por conductos en toda la vivienda Las zonas comunes son un verdadero lujo: amplias áreas para niños con parque infantil, una gran piscina rodeada de jardines y un gimnasio completamente equipado. Todo esto en una zona en constante crecimiento, con nuevos desarrollos inmobiliarios que aumentan su atractivo.  No dejes pasar la oportunidad de vivir en este magnífico piso, que además cuenta con acceso adaptado para personas con movilidad reducida. Contacta con nosotros y agenda tu visita.",False,good,False,4356.0,True,False,False,False,[],False,False,379000.0,€,,,,True,True,flat,,"Ensanche de Vallecas - La Gavia, Madrid",Piso en alameda del Valle,Destacado,4,True,Villa de Vallecas,True,Ensanche de Vallecas - La Gavia,
108861974,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/39/a5/cd/1357301410.webp,754394,27,315000.0,flat,sale,83.0,3,1,Barrio Aluche,Madrid,Madrid,es,40.3849235,-3.7598982,False,https://www.idealista.com/inmueble/108861974/,"GRUPO BEST vende este estupendo piso junto al Parque de Aluche – ¡Luminoso y con preciosas vistas! Se vende fantástico piso de 89 m² construidos, ubicado en una sexta planta con ascensor, a escasos metros del emblemático Parque de Aluche. La vivienda se distribuye en un hall de entrada, tres dormitorios (uno doble y dos individuales), un baño completo, y un amplio salón con acceso a una gran terraza dividida en dos zonas: una parte acristalada, ideal como zona de estar o despacho, y otra abierta, perfecta para disfrutar de unas impresionantes vistas a la sierra. La cocina independiente cuenta con una cómoda galería acristalada, donde se encuentra instalada la caldera de gas. Gracias a su altura y orientación, el piso es muy luminoso durante todo el día, proporcionando un ambiente cálido y acogedor. Ubicado en una zona tranquila pero bien conectada, rodeada de zonas verdes, comercios, colegios y transporte público (metro, cercanías y autobuses). ¡Una oportunidad única para vivir en un entorno tranquilo sin renunciar a las comodidades urbanas!",False,good,False,3795.0,False,False,False,False,[],False,False,315000.0,€,,,,,,flat,,"Aluche, Madrid",Piso,Destacado,6,True,Latina,True,Aluche,
107826724,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/70/b8/1358379759.webp,UPV00014,45,1250000.0,chalet,sale,450.0,4,4,calle Ardines,Madrid,Hoyo de Manzanares,es,40.6016216,-3.9391603,False,https://www.idealista.com/inmueble/107826724/,"Exclusiva vivienda independiente en La Berzosa - Hoyo de Manzanares En el corazón de La Berzosa, una de las urbanizaciones más consolidadas y demandadas de Hoyo de Manzanares, se encuentra esta elegante vivienda unifamiliar, rodeada de naturaleza y con vistas abiertas dentro del Parque Regional de la Cuenca Alta del Manzanares. Concebida para quienes buscan un equilibrio entre tranquilidad, calidad de vida y proximidad a Madrid, esta propiedad ofrece una experiencia de hogar única. La casa se alza sobre una parcela ajardinada de 1.025 m², orientada al sur, lo que garantiza luz natural durante todo el día. Sus 450 m² construidos se reparten en tres cómodas entreplantas que rompen con la distribución tradicional, aportando dinamismo y funcionalidad a cada espacio. Nada más acceder a la vivienda, un hall recibidor elegante da paso a un amplio salón-comedor donde la chimenea de leña se convierte en el centro de reunión. Desde aquí, grandes ventanales conectan directamente con la terraza exterior y el jardín, integrando el interior con el entorno natural. En esta misma planta, se encuentra un dormitorio doble con baño en suite, perfecto para alojar a invitados o para quienes desean contar con una habitación en planta. La cocina, espaciosa y luminosa, ofrece múltiples posibilidades tanto para la vida diaria como para el disfrute culinario en familia, e incorpora una práctica despensa. Completa esta planta un aseo de cortesía, ideal para las visitas. Ascendiendo a la primera entreplanta nos encontramos con una sala polivalente que, gracias a su chimenea de pellet, se convierte en un espacio acogedor y versátil: puede funcionar como zona de estar, despacho, dormitorio adicional o incluso área de juegos. En la entreplanta superior se ubica la zona de descanso. Aquí, el dormitorio principal con baño en suite ofrece privacidad y amplitud, mientras que otros dos dormitorios comparten un baño completo, todos ellos con grandes ventanales que inundan las estancias de luz y permiten contemplar la tranquilidad del entorno. En esta misma planta se encuentra además una encantadora sala abuhardillada de uso flexible, ideal como zona de estudio, rincón de lectura, sala de juegos o incluso un espacio de trabajo creativo, que añade un carácter especial y funcional a la vivienda. La planta semisótano es una grata sorpresa: cuenta con un salón de reuniones con estufa de hierro fundido y luz natural, perfecto para celebraciones familiares, encuentros sociales o como zona independiente para adolescentes. También encontramos una bodega, una zona de lavandería independiente y un garaje cerrado con puerta motorizada con capacidad para dos vehículos. En el exterior, el jardín, diseñado para requerir poco mantenimiento, invita al descanso y al disfrute al aire libre. La piscina privada de agua salina promete largas jornadas de verano, mientras que el cenador cubierto, con barbacoa y chimenea de obra, está pensado para ser disfrutado todo el año, en cualquier estación. La urbanización ofrece acceso controlado y seguridad 24 horas. Además, la vivienda está perfectamente comunicada: a solo unos minutos de la A-6, con parada de autobús a tres minutos caminando y cercana a centros educativos de todo tipo. La Universidad Antonio de Nebrija se encuentra a menos de cinco minutos a pie. En perfecto estado de conservación, esta propiedad está lista para entrar a vivir sin necesidad de reformas. Una oportunidad para quienes desean vivir con amplitud, confort y privacidad, rodeados de naturaleza, sin renunciar a la cercanía y los servicios de la capital.",True,good,False,2778.0,True,False,False,False,[],False,False,1250000.0,€,,,,True,True,chalet,independantHouse,Hoyo de Manzanares,Casa independiente en calle Ardines,Destacado,,,,,,
107867686,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/ee/23/1334648038.webp,,13,355000.0,flat,sale,38.0,1,1,calle de San Marcos,Madrid,Madrid,es,40.4215986,-3.696335,False,https://www.idealista.com/inmueble/107867686/,"Excelente piso exterior con un balcón a la calle para reformar situado en la mejor zona del distrito Centro Justicia. El inmueble se ubica en un edificio con ascensor y dispone salón comedor con cocina integrada, dormitorio independiente y baño. Para visitarlo, contacte con nosotros, estaremos encantados de atenderle, en Hermosilla nº 72, tlf  Trabajamos los sábados. Exclusive World Home by inmomar es una empresa joven y con experiencia, caracterizada principalmente por su transparencia, respeto, por un servicio personalizado, atento y exclusivo, con la finalidad de que nuestros clientes, compradores y vendedores, tengan un punto de encuentro donde puedan ver realizadas sus aspiraciones con las máximas garantías. EWH, es una inmobiliaria especializada principalmente en los distritos del Barrio de Salamanca, Retiro, Chamberí y Chamartín, con un objetivo claro, seguir mejorando en la calidad de nuestros servicios.",False,renew,False,9342.0,True,False,False,False,[],False,False,355000.0,€,375000.0,20000.0,5.0,,,flat,,"Chueca-Justicia, Madrid",Piso en calle de San Marcos,Destacado,2,True,Centro,True,Chueca-Justicia,
108602164,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/b4/94/1349681322.webp,,22,160900.0,flat,sale,89.0,4,1,calle Maestro Serrano,Madrid,Collado Villalba,es,40.6291594,-4.0145718,False,https://www.idealista.com/inmueble/108602164/,"¡INMOBILIARIA HOGARES PRESENTA EN EXCLUSIVA ESTUPENDO PISO EN VENTA EN VILLALBA! Encantadora vivienda ubicada en el corazón del centro de Collado Villalba, a pocos pasos de los servicios esenciales como tiendas, restaurantes, escuelas y transporte público. Consta de 3 dormitorios amplios y luminosos, 1 baño completo y una estupenda terraza perfecta para disfrutar del entorno y relajarse. Su ubicación céntrica la hace ideal para aquellos que buscan vivir en el corazón del pueblo, con una excelente calidad de vida y fácil acceso a todo lo que necesitan. Una oportunidad perfecta para vivir o invertir en una zona con gran demanda. ¡NO ESPERE MÁS Y CONVIERTA ESTA VIVIENDA EN SU NUEVO HOGAR! Para obtener más información o programar una visita, contáctenos o visite nuestra página web. Nuestro equipo estará encantado de ayudarle y mostrarle todas las ventajas y comodidades que esta propiedad tiene para ofrecer. ¡FINANCIACIÓN AL 100% Y ESTUDIO FINANCIERO GRATUITO Y SIN COMPROMISO!",False,good,False,1808.0,False,False,False,False,[],False,False,160900.0,€,,,,,,flat,,"Carlos Ruiz, Collado Villalba",Piso en calle Maestro Serrano,Destacado,1,True,Carlos Ruiz,False,,
108375104,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/bd/dd/1342225840.webp,,33,649000.0,flat,sale,106.0,2,2,calle de Ana de Austria,Madrid,Madrid,es,40.497084,-3.6567312,False,https://www.idealista.com/inmueble/108375104/,"Se ofrece en venta un excelente piso situado en una quinta planta, completamente exterior y con vistas despejadas, que destaca por su luminosidad y distribución funcional. La vivienda cuenta con dos habitaciones y dos baños completos. Ha sido reformada recientemente, incluyendo la cocina, los baños y las ventanas, lo que proporciona un ambiente moderno, eficiente y confortable. Dispone de aire acondicionado en todas las estancias y calefacción en toda la casa, lo que garantiza una temperatura ideal durante todo el año. Además, incluye una plaza de garaje y trastero, lo que añade valor y comodidad a la propiedad. La urbanización es privada y ofrece completas zonas comunes: piscina, gimnasio, pista de pádel y espacios ajardinados, lo que la convierte en una opción ideal tanto para vivir como para invertir. Una oportunidad única de adquirir una vivienda lista para entrar a vivir, con todas las comodidades y en una ubicación privilegiada de Madrid.",True,good,False,6123.0,False,False,False,False,[],False,False,649000.0,€,660000.0,11000.0,2.0,True,True,flat,,"Sanchinarro, Madrid",Piso en calle de Ana de Austria,Destacado,5,True,Hortaleza,True,Sanchinarro,
107803438,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/f4/1a/1324226512.webp,NM00960,40,640000.0,flat,sale,136.0,3,2,Barrio Las Tablas,Madrid,Madrid,es,40.5034211,-3.6765255,False,https://www.idealista.com/inmueble/107803438/,"inmoversion es la mejor opción para propietarios y compradores. No cobramos NADA al comprador y al propietario una tarifa fija. Somos la inmobiliaria sin comisión líder en la zona.  Vivienda situada en el DISTRITO DE FUENCARRAL, en la mejor zona del BARRIO DE LAS TABLAS. CARACTERISTICAS del edificio:  Edificio construido en el año 2005.  La urbanización es abierta y cuenta con unas zonas comunes muy amplias, PISCINA comunitaria, y Piscina Infantil muy soleadas, JARDIN, PISTA DE PADEL y 1 SALA MULTIUSOS. Servicio de Conserjería 24H y Cuarto de Basuras.  CARACTERISTICAS de la vivienda: Superficie construida: 136m2. Superficie útil: 90m2. Elementos Comunes: 46m2 Ubicación/altura: Vivienda EXTERIOR, ubicada en planta TERCERA.  Distribución: 3 dormitorios, salón independiente, cocina independiente con tendedero y 2 baños completos. El precio incluye un TRASTERO y una PLAZA DE GARAJE (anejos a la vivienda).    Instalaciones: Calefacción individual y aire acondicionado por SPLIT. Mejoras: Cerramiento del tendedero y Caldera nueva. Baños reformados. Persianas domotizadas. Suelos y carpintería interior.  Opción recomendable como residencia. La vivienda se vende sin amueblar. Gastos e impuestos: el precio indicado no incluye impuestos ni gastos de escrituración. Las características de la vivienda son meramente informativas. No tienen valor contractual. El mobiliario y enseres que puedan aparecer en las fotografías del anuncio no se encuentran incluidos en el precio de venta del inmueble. GESTION DE VISITAS: Si consideras que esta vivienda te puede interesar y encaja con lo que buscas, te invitamos a conocerla. Para una mejor gestión te recomendamos RELLENAR EL FORMULARIO de contacto facilitando tu nombre, teléfono de contacto y disponibilidad para la visita. ¿Necesitas vender tu vivienda para poder comprar? En inmoversion te podemos ayudar. Sin comisiones obtendrás mayor beneficio. Vendemos de media en 30-60 días, gracias a que ofrecemos el mejor precio garantizado y no cobramos nada al comprador.  Sobre nosotros: inmoversion es una inmobiliaria que no cobra comisiones. El vendedor sólo paga una tarifa fija y no cobramos nada al comprador. El precio de la vivienda no soporta comisiones de agencia y esta ajustado al precio de mercado. Visita inmoversion. es y conoce como trabajamos.",False,good,False,4706.0,True,False,False,False,[],False,False,640000.0,€,,,,True,True,flat,,"Las Tablas, Madrid",Piso,Destacado,3,True,Fuencarral,True,Las Tablas,
106304586,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d8/46/67/1278817057.webp,,30,1850000.0,chalet,sale,250.0,4,4,"calle Tercera, 5",Madrid,Madrid,es,40.4544375,-3.6684089,True,https://www.idealista.com/inmueble/106304586/,"RMA RealEstate presenta este fantástico chalet completamente construido “de cero” en el 2009 por su propietario y constructor. Este dato da una idea de la calidad de los materiales y el buen resultado de la reforma. El jardín bordea la entrada y consta de zonas con diferentes tratamientos, piedra natural, tarima de teca y zona ajardinada para sus distintos usos: dispone de una piscina y tiene un solárium, una zona de salón, la entrada con parterres y grandes jardineras y una zona de comedor exterior donde está construida una amplia barbacoa de pizarra con fregadero. Actualmente la vivienda tiene 250 m2 que se distribuyen de la siguiente manera:  En el sótano se ubica un amplio espacio de unos 70 m2 que alberga cocina, comedor y sala de estar, también en esta área esta una impresionante bodega con capacidad para 1800 botellas. Se ubica en esta planta un despacho que puede ser usado como habitación de servicio y un aseo con ducha. Bajo la escalera se ubica la zona de lavadora y secadora. Es recalcable la luz y ventilación del semisótano que a través del uso de dos patios ingleses así como el aprovechamiento de la piscina como una divertida “ventana” haciendo el efecto de una pecera enorme. La planta baja, desde la que se accede a la vivienda, consta de un salón comedor con otro acceso a la parte trasera del jardín y un aseo de cortesía. La estancia es totalmente diáfana y dispone de una chimenea de leña tipo cassette.  En planta primera se sitúan dos amplias habitaciones dobles con dos ventanas cada una que comparten un baño completo con bañera y ventilación natural.  En la planta bajo cubierta se ubica la zona de descanso principal con un diseño moderno y zona de vestidor, y piezas independientes para ducha, baño y lavabos. Hay unas imagenes generadas con AI para simular otra decoracion. La casa es mucho más bonita que en las fotos, concierte una visita y se la enseñaré encantada. ¿ Por qué elegir @RMArealestate? Sólo comprobándolo notará la diferencia con otras agencias! �.",True,good,False,7400.0,True,False,False,False,[],False,False,1850000.0,€,,,,,,chalet,semidetachedHouse,"Bernabéu-Hispanoamérica, Madrid","Chalet pareado en calle Tercera, 5",Destacado,,,Chamartín,,Bernabéu-Hispanoamérica,
