propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,externalReference,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
108883248,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/fe/de/1357862874.webp,21,2,1390000.0,flat,sale,108.0,True,3,2,"CL MALDONADO, 48",Madrid,Madrid,Barrio de Salamanca,es,Lista,40.433406,-3.6762677,True,https://www.idealista.com/inmueble/108883248/,"NORE vende en EXCLUSIVA esta excepcional vivienda íntegramente reformada en 2024 en una de las zonas más demandadas, consolidadas y activas del Barrio de Salamanca. Vivienda con mucha luz, 108 metros construidos, 3 dormitorios, 2 baños y un muy funcional aprovechamiento del espacio. Reforma integral realizada hace apenas 1 año, buena memoria de calidades y moderna elección de los acabados. Una elección perfecta en uno de las ubicaciones más exclusivas de la capital.",False,good,False,True,12870.0,False,False,False,False,[],False,False,1390000.0,€,flat,"Lista, Madrid","Piso en Cl Maldonado, 48",Destacado,,,,,,,,
108434946,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/08/9b/c4/1344772335.webp,20,2,235000.0,duplex,sale,108.0,True,3,2,calle Juan de Villanueva,Madrid,Velilla de San Antonio,,es,,40.3681939,-3.4864562,False,https://www.idealista.com/inmueble/108434946/,"SM HOMES Gestión Inmobiliaria presenta en exclusiva este fantástico dúplex exterior, ideal para familias que buscan comodidad, amplitud y calidad de vida en un entorno tranquilo pero bien comunicado. * Se vende en rentabilidad, respetando el actual contrato con los inquilinos, llame para más información Distribución inteligente y espacios bien aprovechados: **Primera planta: ** - Salón comedor con salida a terraza. - Baño completo con plato de ducha. - Cocina amplia y muy luminosa. - Habitación 1, con armario empotrado y ventanal. - Amplia terraza con vistas a la plaza de la Cultura. **Segunda planta: ** - Habitación 2 muy amplia con mucha luz y gran armario empotrado.  - Habitación 3 muy amplia y armario empotrado para ganar espacio. - Baño completo con bañera. Características destacadas: - Calefacción individual de gas natural con caldera en excelente estado, cambiada hace un año. - Aire acondicionado en ambas plantas, para tu confort durante todo el año. - Armarios empotrados en los dormitorios, para que el espacio nunca sea un problema. - Vivienda exterior y luminosa todo el día. Además, te ofrecemos financiación de hasta el 100%. ¡Consúltanos condiciones sin compromiso! No dejes pasar esta oportunidad. Llámanos hoy mismo y ven a conocer tu futuro hogar. En SM HOMES estaremos encantados de acompañarte en cada paso del proceso.",True,good,False,False,2176.0,False,False,True,False,[],False,False,235000.0,€,flat,Velilla de San Antonio,Dúplex en calle Juan de Villanueva,Destacado,239000.0,4000.0,2.0,duplex,,,,
108182479,,0,,331900.0,chalet,sale,118.0,,3,3,"calle Gran Vía, 12",Madrid,Camarma de Esteruelas,,es,,40.5440284,-3.3792433,True,https://www.idealista.com/obra-nueva/108182479/,"'a13ª y última fase a la venta! Chalets sostenibles alta calificación energética (suelo radiante refrescante mediante aerotermia) y excelentes calidades.  CALIDAD: Además de sus excelentes distribuciones, cuenta con exquisitas calidades como un sistema energético por aerotermia en el que se extrae del aire gran parte de la energía que se necesita además del suelo radiante refrescante, que emite calor en invierno y frío en verano. HOGARIZA: Con hogariza vas a poder PERSONALIZAR TU CASA A TU GUSTO. Puedes elegir entre magníficas opciones SIN COSTE ADICIONAL para que puedas crear un hogar único para ser feliz. SOSTENIBILIDAD: Nos preocupamos por la sostenibilidad y diseñamos tu vivienda en Gran Vía Camarma adaptando las soluciones constructivas más innovadoras para proporcionar un alto grado de sostenibilidad en la edificación y en el mantenimiento cotidiano.  UBICACIÓN: Gran Vía Camarma se encuentra en una ubicación privilegiada, a tan sólo 5 minutos de Alcalá de Henares con una excelente comunicación de carreteras a través de las vías A-2, R-2, M-116 y M-119 además de transporte público (líneas de autobús 251 y 255). Un lugar ideal para vivir con todos los servicios a tu alcance: comercios de proximidad y supermercados, centro de salud, escuelas infantiles, colegios, instituto, polideportivo y piscina municipal, etc. Las imágenes de interiores son ilustrativas con respecto a las calidades y corresponde a otras viviendas construidas. Incluye infografías de otras promociones del grupo, correspondientes a la Fase 2 de Gran Vía Camarma. Consultar la memoria de calidades en la oficina.",False,,True,,2813.0,False,False,False,False,[],False,False,331900.0,€,chalet,Camarma de Esteruelas,"Chalet adosado en calle Gran Vía, 12",Destacado,,,,terracedHouse,114069,False,,
108884364,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/55/9c/88/1357894509.webp,48,1,459000.0,flat,sale,154.0,True,3,2,avenida del Ensanche de Vallecas,Madrid,Madrid,Villa de Vallecas,es,Ensanche de Vallecas - La Gavia,40.3613197,-3.5962726,False,https://www.idealista.com/inmueble/108884364/,"JCB ASESORES vende piso con garaje, trastero, piscina y zonas comunes. El inmueble se encuentra ubicado en una urbanizacion privada, con servicio de porteria-vigilancia 24 horas, con camaras de seguridad, zonas comunes, 2 piscinas comunitarias, zonas ajardinadas, parque infantil y sala de reuniones-eventos. La vivienda consta de salon comedor con mirador, cocina con terraza tendedero, 3 habitaciones (la principal con terraza), 2 baños completos (1 en suite) y hall de entrada. El inmueble dispone de calefaccion individual a gas natural, suelos de tarima de madera, pintura lisa, puertas de madera de roble, ventanas de aluminio con climalit abatibles, armarios empotrados en habitaciones, pasillo y hall de entrada, puerta de seguridad y el baño principal de marmol. La cocina se encuentra totalmente amueblada incluida electrodomesticos (segun aparece en las fotografias). La ubicacion del inmueble es inmejorable en la zona del Ensanche de Vallecas. Por tratarse de una zona absolutamente consolidada, en las cercanias se dispone de todo tipo de servicios, educativos, medicos, culturales, comerciales, de ocio, etc. En la misma puerta del inmueble se dispone varias lineas de autobuses de la EMT, a 200 metros del inmueble disponemos de la estacion de Metro de Las Suertes y a 400 metros del Centro Comercial de La Gavia. Pago IBI anual 590 € apx (piso+trastero+garaje). Pago comunidad mensual 146 €. Medidas del inmueble: -Piso 102 m2 -Trastero 4 m2 -Garaje 10 m2 -Elementos comunes 38 m2 TOTAL 154 m2 Honorarios de agencia: vendedor 1,5% + IVA y comprador 1,5% + IVA. Solicite una visita.",True,good,False,True,2981.0,False,False,False,False,[],False,False,459000.0,€,flat,"Ensanche de Vallecas - La Gavia, Madrid",Piso en avenida del Ensanche de Vallecas,Destacado,,,,,1227 AVDA DEL ENSANCHE DE VALLECAS,,True,True
108658445,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6f/c7/80/1351341717.webp,28,2,214990.0,flat,sale,100.0,True,3,1,calle Isabel II,Madrid,Parla,Reyes,es,,40.2365186,-3.7665943,False,https://www.idealista.com/inmueble/108658445/,"INMOBILIARIA JC TAMAYO, vende amplia vivienda en PARLA, zona REYES! La vivienda cuenta con unos 100m2 construidos y 97m2 útiles aprox. que se distribuyen en una entrada donde a la izquierda localizamos la cocina-comedor totalmente equipada, amplio salón con salida a terraza, tres dormitorios (una doble y individuales) y baño completo con plato de ducha.  Toda la casa tiene suelo de tarima, puertas de madera, ventanas de aluminio correderas, calefacción, TERRAZA y TRASTERO.  LA VIVIENDA SE QUEDA TOTALMENTE AMUEBLADA! La localización es estupenda, se encuentra en uno de los mejores barrios de Parla, cercano a mercados, colegios, parques infantiles, mercados, farmacias y el centro de la salud a menos de 2min. También cerca del transporte público; autobuses, tranvía y estación Renfe.  Para cualquier duda o consulta contáctanos y te ayudamos!",True,good,False,True,2150.0,False,False,False,False,[],False,False,214990.0,€,flat,"Reyes, Parla",Piso en calle Isabel Ii,Destacado,224990.0,10000.0,4.0,,582-JC,,,
108602881,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/94/da/1349702437.webp,16,4,349000.0,flat,sale,50.0,True,2,1,calle del Bastero,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.410196,-3.7107494,False,https://www.idealista.com/inmueble/108602881/,"Presentamos este acogedor ático exterior situado en una cuarta planta, con 50 m² muy bien aprovechados. Es perfecto para quienes valoran la luz natural, la funcionalidad y la tranquilidad. La vivienda destaca por su excelente ventilación cruzada gracias a las ventanas en todas las estancias, que garantizan un ambiente fresco y luminoso durante todo el día. Aunque el edificio no dispone de ascensor, la altura aporta privacidad y una gran calidad de vida. El inmueble se distribuye en dos habitaciones funcionales, un salón cómodo y una cocina americana abierta que aporta amplitud y se integra de manera práctica en el espacio. El baño, amplio y con plato de ducha, se encuentra en muy buen estado.  Además, dispone de un trastero, ideal para contar con espacio de almacenamiento adicional. La vivienda está lista para entrar a vivir y cuenta con aire acondicionado, por lo que resulta una excelente opción tanto como residencia habitual como inversión. Uno de sus principales atractivos es la posibilidad de recuperar la terraza original, un espacio exterior privado perfecto para relajarse al sol, crear una pequeña zona verde o disfrutar de comidas al aire libre.  Todo ello en una zona tranquila, bien comunicada y con el encanto de vivir en un ático con mucho potencial.",False,good,False,False,6980.0,False,False,False,False,[],False,False,349000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle del Bastero,Destacado,,,,,LCM37321,,,
107808618,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c3/25/2d/1350617887.webp,23,2,1470000.0,flat,sale,157.0,True,3,3,calle de Máiquez,Madrid,Madrid,Retiro,es,Ibiza,40.4222345,-3.673844,False,https://www.idealista.com/inmueble/107808618/,"Exclusiva vivienda de lujo en el corazón de Madrid, junto al Retiro. Penthouse Real Estate presenta esta espectacular propiedad, un hogar único que redefine el lujo y el diseño en una de las zonas más codiciadas de la capital. Ubicada en la calle Maiquez, esquina con O'Donnell, a solo unos pasos del Parque del Retiro, esta vivienda rehabilitada combina sofisticación, confort y modernidad. Distribución y diseño excepcionales. Con una superficie de 157 m², esta vivienda de diseño vanguardista ofrece tres dormitorios amplios con armarios empotrados. El dormitorio principal, en suite, cuenta con un generoso vestidor, mientras que uno de los dormitorios secundarios disfruta de una terraza privada perfecta para relajarse al aire libre. Un baño completo y un aseo de cortesía completan la comodidad de la propiedad. La vivienda ha sido decorada con mobiliario de diseño de la firma KAVE HOME, cuidadosamente seleccionado para resaltar el estilo y la armonía del espacio. IMPORTANTE: El mobiliario mostrado no está incluido en el precio de venta. En caso de interés, podrá valorarse su adquisición de forma independiente al precio de la vivienda. El diseño interior destaca el uso de madera de roble natural en panelados, cabeceros y mobiliario suspendido, mientras que la estantería retroiluminada aporta una calidez especial. Los baños, con muebles en roble y lavabos Cosentino, ofrecen un ambiente elegante, combinado con la grifería Rovira Link en acabados de cobre cepillado y cromado. Cocina de alta gama. La cocina de concepto abierto se fusiona con el salón-comedor, creando un espacio armonioso y funcional. Destaca por su encimera Cosentino Neural, la placa Elica Nikolatesla Fit con campana integrada y electrodomésticos de las marcas Smeg y Whirlpool. Un fregadero Granitek Avena con grifería monomando complementa el diseño. Confort y tecnología de última generación. La vivienda está equipada con climatización por conductos Mitsubishi en todas las estancias, junto con radiadores Irsap y toalleros Xilo en los baños. La domótica Jung permite gestionar la temperatura, iluminación, y persianas motorizadas, asegurando confort y eficiencia. Además, cuenta con acceso TDT, WiFi y un portero automático con control por app. Ubicación inmejorable. A solo unos minutos del Parque del Retiro, en una zona privilegiada que ofrece una excelente oferta de restauración, tiendas exclusivas y ocio. Con inmejorables conexiones de transporte, estaciones de metro cercanas y fácil acceso a la M-30 y M-23. Finalización en breve. La propiedad se encuentra en la fase final de su rehabilitación, con entrega prevista entre el 10 de julio. Las infografías mostradas son fieles a la realidad, reflejando con precisión los acabados y mobiliario, aunque algunos detalles podrían sufrir pequeñas modificaciones antes de la entrega final. Una propiedad única, donde el lujo, la funcionalidad y el diseño se encuentran. ¡Una oportunidad única que no puedes dejar escapar!",True,good,False,True,9363.0,True,False,False,False,[],False,False,1470000.0,€,flat,"Ibiza, Madrid",Piso en calle de Máiquez,Destacado,,,,,,,,
108499488,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/97/31/d1/1356496929.webp,42,4,270000.0,flat,sale,77.0,True,3,1,calle Tomás Meabe,Madrid,Madrid,Carabanchel,es,Comillas,40.3953834,-3.7158188,False,https://www.idealista.com/inmueble/108499488/,"REDPISO VENDE: PISO EXTERIOR DE TRES DORMITORIOS Piso de 77m2, distribuido en tres dormitorios, salón, cocina y baño. Muy luminoso y una distribución idónea, cada estancia está bien aprovechada por lo que cada habitación está bien aprovechada. Se encuentra en una finca muy tranquila, con pocos vecinos. Cuarta planta sin ascensor. La vivienda en cuestión se encuentra en pleno barrio comillas, rodeada de comercios varios tanto para ocio como para suplir las necesidades del día a día.  A solo dos minutos del metro Marqués de Vadillo y 4minutos de Madrid Río.",True,good,False,False,3506.0,True,False,False,False,[],False,False,270000.0,€,flat,"Comillas, Madrid",Piso en calle Tomás Meabe,Destacado,,,,,RP2342025138940,,,
106427884,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/37/77/69/1282648145.webp,20,2,575000.0,flat,sale,110.0,True,4,2,calle Esperanza Sánchez Carrascosa,Madrid,Madrid,Tetuán,es,Valdeacederas,40.4670472,-3.70421,False,https://www.idealista.com/inmueble/106427884/,"Si buscas una vivienda con encanto, comodidad y todas las facilidades para mudarte sin preocupaciones, este piso en la calle Esperanza Sánchez Carrascosa es ideal para ti. Con 110 m², este hogar es ideal para familias, parejas o jóvenes profesionales. También representa una excelente oportunidad de inversión, gracias al continuo crecimiento de la zona. Características destacadas: Superficie: 110 m² Distribución: 4 habitaciones, 2 baños, salón acogedor y cocina totalmente equipada. Luz natural: Orientación norte, ideal para aprovechar la luz durante todo el día. Zona tranquila: Entorno familiar, seguro y perfecto para descansar sin renunciar a la cercanía del centro. Extras: Ascensor, aire acondicionado en el salón, balcón, habitaciones equipadas con colchones y canapé Pikolin, armarios empotrados (con cajón en la habitación principal), escritorio y silla. Este piso viene totalmente amueblado y equipado, con cocina con todos los electrodomésticos, listo para entrar a vivir o rentabilizarlo de inmediato. Ubicación inmejorable Situado en un barrio vibrante y bien comunicado, rodeado de restaurantes, cafeterías, tiendas y supermercados, tendrás todo lo que necesitas a solo unos pasos. Además, está a menos de 10 minutos a pie del metro Valdeacederas, Plaza Castilla y la zona financiera, con acceso rápido a transporte público y carreteras principales. Una gran oportunidad para quienes buscan calidad de vida en la ciudad o desean invertir en una de las zonas con mayor potencial de revalorización. ¡No dudes en contactarnos para más información o una visita!",False,good,False,True,5227.0,True,True,False,False,[],False,False,575000.0,€,flat,"Valdeacederas, Madrid",Piso en calle Esperanza Sánchez Carrascosa,Destacado,,,,,Carrascosa Venta,,,
107072916,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/74/b8/1308440922.webp,74,8,1500000.0,flat,sale,122.0,True,2,2,via Gran,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4220156,-3.7078185,False,https://www.idealista.com/inmueble/107072916/,"La Gran vía de Madrid es una de las calles más conocida y transitada de la ciudad. Este gran bulevar une el famoso barrio de Salamanca con el de Arguelles utilizando como nexo La Plaza de España, otro icónico lugar de la capital que con sus espacios ajardinados ofrece una sensación de amplitud muy de agradecer en cualquier área urbana. La construcción de La Gran vía duró varias décadas de los inicios del siglo XX, fue una obra de gran importancia que se ideó en un principio para comunicar el centro de Madrid con la zona noroeste y permitió desde entonces hasta ahora un continuo desarrollo económico, de ocio y turístico de la ciudad.  Este piso de dos habitaciones en la octava planta de un edificio en las cercanías de Plaza España se distribuye: al entrar con un amplio hall alargado en el que tenemos un armario empotrado de gran capacidad, a la izquierda una puerta nos lleva al dormitorio secundario con baño incorporado en suite, a la derecha el dormitorio principal también con baño incluido y zona de vestidor, desde el hall de frente accedemos al salón-comedor con cocina totalmente equipada con electrodomésticos marca premium separada con una cristalera. El piso es exterior y esta a una buena altura lo que le confiere gran luminosidad. En la azotea del edificio hay gimnasio y una piscina al aire libre con zonas comunes y unas fantásticas vistas del centro de la ciudad. Además en el precio está incluida una plaza de garaje automatizada dentro de la misma finca cuyo funcionamiento consiste en dejar el coche en la entrada y un elevador se encarga del resto.  Estamos en el centro de la Capital de España por lo que tenemos garantizado el acceso a todos los servicios que podamos necesitar en el día a día, colegios, centros de salud, bibliotecas, centros deportivos, museos, toda la oferta de ocio y restauración imaginables y por supuesto una eficiente conectividad a la hora de desplazarnos por el resto de la ciudad. SI te interesa esta vivienda o tienes alguna pregunta no dudes en contactar esté encantada de atenderte.",False,good,False,True,12295.0,False,False,False,False,[],False,False,1500000.0,€,flat,"Malasaña-Universidad, Madrid",Piso en via Gran,Destacado,,,,,PR01456,,True,True
