propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice
107964965,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bd/bc/3c/1339836208.webp,AR208627 ,34,bj,945000.0,flat,sale,119.0,True,3,2,Barrio Nueva España,Madrid,Madrid,Chamartín,es,Nueva España,40.4613638,-3.671091,False,https://www.idealista.com/inmueble/107964965/,"Luminoso piso exterior con terraza en Nueva España, Chamartín – 119 m² y ubicación privilegiada. Ponemos a la venta este fantástico piso ubicado en el elegante barrio de Nueva España, dentro del distrito de Chamartín, una de las zonas residenciales más exclusivas y demandadas de Madrid. Con 119 m² construidos, esta vivienda destaca por su excelente luminosidad, su distribución funcional y su gran terraza de 9 m², perfecta para disfrutar del aire libre todo el año. La propiedad cuenta con 3 dormitorios amplios, ideales tanto para familias como para quienes valoran el espacio, 2 baños completos de diseño moderno, y un salón comedor muy luminoso con acceso directo a la terraza. Se encuentra en estado de conservación a estrenar, lo que ofrece la posibilidad de adaptar los espacios a tu gusto sin necesidad de obras estructurales. Dispone de calefacción individual por gas natural y aire acondicionado, garantizando confort durante todas las estaciones. El edificio cuenta con ascensor y servicio de portero físico y automático, lo que aporta un extra de comodidad y seguridad. La ubicación es simplemente inmejorable. A solo unos minutos del Paseo de la Castellana y con fácil acceso a la M-30, este inmueble está perfectamente conectado tanto por transporte público (metro y autobuses) como por vía privada. El entorno ofrece una completa gama de servicios: supermercados, tiendas, centros de salud, colegios, zonas deportivas y espacios verdes, todo a pocos pasos. Una excelente oportunidad para quienes buscan vivir con calidad y estilo en una de las mejores zonas de Madrid, o para inversores que deseen una propiedad con alta demanda y revalorización asegurada. Desde 1983, acompañamos a nuestros clientes con un servicio profesional, transparente y personalizado. Nuestro equipo del área de Viso-Chamartín está a tu disposición para proporcionarte toda la información que necesites y ayudarte en cada paso del proceso. Solicita la referencia 208627 y contacta con nosotros en Paseo de la Castellana, 164, en el teléfono o en el correo. ¡No dejes pasar esta oportunidad única en Nueva España!",True,good,False,True,7941.0,True,True,False,True,[],False,False,945000.0,€,960000.0,15000.0,2.0,flat,"Nueva España, Madrid",Piso,Top,,,,
108788897,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/02/b8/e6/1355157665.webp,14496,38,,1650000.0,chalet,sale,117.0,,3,2,Barrio Apóstol Santiago,Madrid,Madrid,Hortaleza,es,Apóstol Santiago,40.471338,-3.6610484,False,https://www.idealista.com/inmueble/108788897/,"Suma inmobiliaria presenta EN EXCLUSIVA esta vivienda con piscina privada en una de las zonas más tranquilas de Madrid. Ubicada en El Bosque, una de las zonas residenciales más demandadas de Arturo Soria, esta acogedora vivienda unifamiliar combina comodidad, diseño moderno.  La vivienda se distribuye en dos plantas y destaca por su luminosidad, gracias a sus grandes ventanales y puertas de cristal que permiten una conexión fluida entre interior y exterior. En la planta principal encontramos un amplio hall de entrada, un aseo de cortesía y un espacio de salón principal que conecta con la cocina y con un segundo salón-comedor. Esta zona se abre completamente al jardín delantero y al patio trasero, donde se encuentra la piscina privada con agua salina climatizada y una zona solada ideal para el relax o el entretenimiento. En esta planta también se ubican un despacho y una habitación adicional de uso versátil (trastero, dormitorio de servicio o cuarto de juegos). En la planta superior se sitúan tres dormitorios, todos exteriores y muy luminosos. La suite principal cuenta con baño privado, mientras que las otras dos habitaciones comparten un segundo baño completo. La propiedad incluye una plaza de garaje con espacio adicional para almacenamiento. Entorno y comunicaciones: La zona de Arturo Soria es conocida por su ambiente residencial y seguro, con fácil acceso a los principales ejes de la ciudad. A pocos minutos se encuentran los colegios internacionales más reconocidos, zonas verdes, el centro comercial Arturo Soria Plaza, y una variada oferta gastronómica. Las comunicaciones son excelentes, con líneas de autobús (varias líneas en Arturo Soria y alrededores) y estación de metro cercana (Arturo Soria – línea 4), además de acceso rápido a la M-30 y al aeropuerto. Disponemos de una amplia cartera de inmuebles “off market” no publicados en Idealista. Para solicitar información visite nuestra web pinchando en el enlace de abajo o contacte con nuestras oficinas.",True,good,False,,14103.0,True,True,False,True,[],False,False,1650000.0,€,,,,chalet,"Apóstol Santiago, Madrid",Chalet pareado,Top,True,True,semidetachedHouse,
94336938,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/82/2b/1327106574.webp,MAV02453,40,,1890000.0,chalet,sale,385.0,,5,4,Barrio Conde Orgaz-Piovera,Madrid,Madrid,Hortaleza,es,Conde Orgaz-Piovera,40.4566232,-3.630279,False,https://www.idealista.com/inmueble/94336938/,"DE SALAS LUXURY HOMES REF: MAV02453 Espectacular chalet adosado de 400 m2 ubicado en Conde de Orgaz. Su orientación sur es perfecta, haciendo que todas las estancias sean luminosas durante todo el día.  MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA. El chalet tiene un precioso jardín privado además de zonas comunitarias, con piscina, zona infantil y pista de paddle. La vivienda se encuentra en una zona tranquila, pero a la vez cerca de importantes centros comerciales, colegios bilingües y todo tipo de servicios. La comunicación es excelente.  DESCRIPCIÓN PLANTA PRINCIPAL Salón comedor con chimenea - Terraza exterior - Cocina - Aseo de invitados PLANTA PRIMERA: 4 dormitorios + 2 baños (el dormitorio ppal con su baño incorporado)  PLANTA SEGUNDA: Buhardilla con terraza PLANTA SEMISÓTANO: Dormitorio de servicio +baño de servicio - Zona para lavadora - Garaje (5 plazas) Jardín privado - Zonas comunitarias con piscina - Pádel - Zonas verdes.",True,good,False,,4909.0,True,True,False,True,[],False,False,1890000.0,€,,,,chalet,"Conde Orgaz-Piovera, Madrid",Chalet adosado,Top,True,True,terracedHouse,
108644340,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/74/a4/40/1350869674.webp,MAV02840,25,5,1395000.0,flat,sale,144.0,True,3,3,Barrio El Viso,Madrid,Madrid,Chamartín,es,El Viso,40.448358,-3.6770584,False,https://www.idealista.com/inmueble/108644340/,"DE SALAS LUXURY HOMES Ref. MAV02840, presenta este maravilloso piso con vistas al parque de Berlín. MUCHAS DE NUESTRAS PROPIEDADES NO APARECEN EN IDEALISTA. CONSULTE EN NUESTRA PÁGINA WEB DE “De Salas”, PARA VER MÁS VIVIENDAS EN EXCLUSIVA. Se trata de una vivienda reformada íntegramente en 2012, práctica y funcional, inundada de luz natural gracias a su privilegiada orientación este. En sus 144 m² catastrales, la vivienda cuenta con 3 amplios dormitorios (4 antes de la reforma), 2 baños completos y 1 aseo. Accedemos a la vivienda a través de un hall de entrada con armario gabanero. Un amplio salón-comedor distribuido en 2 ambientes, destaca por sus amplios ventanales con orientación este y bonitas vistas al parque de Berlín. Su distribución, hacen de ésta, la estancia perfecta para albergar y disfrutar de reuniones con familiares y amigos. La cocina ofrece una buena amplitud. De planta muy cuadrada, se le integró el espacio de una habitación de servicio que ha permitido poder disfrutar de un espacio office central, útil y práctico en el día a día. Dispone de una buena iluminación natural, con doble ventana y se ha mantenido una puerta de acceso de servicio. La comunidad tiene servicio de recogida diaria de basuras en planta. Un pasillo distribuidor, con armarios empotrados de 3 cuerpos, y aseo de cortesía, nos conduce a la zona de descanso. La vivienda cuenta con 3 amplios dormitorios, todos ellos exteriores y con armarios empotrados. Destaca la habitación principal, equipada con armarios de gran capacidad, y baño en suite con plato de ducha de grandes dimensiones. Otro baño completo con bañera, da servicio al resto de la casa. En la reforma se ha cuidado hasta el más mínimo detalle, optimizando al máximo los espacios de almacenamiento. La vivienda cuenta con sistema de aire acondicionado por split en salón y dormitorio principal, calefacción central con contadores individuales, ventanas oscilobatientes, persianas motorizadas y suelos de tarima de madera de color roble. Ubicada en el Viso, una de las zonas más cotizadas de Madrid Capital, ofrece una calidad de vida excepcional, con una amplia oferta de servicios de proximidad, colegios, centros comerciales, restaurantes, centros deportivos, el parque de Berlín, etc.",True,good,False,True,9688.0,True,True,False,True,[],False,False,1395000.0,€,,,,flat,"El Viso, Madrid",Piso,Top,,,,
108625790,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b7/b7/ab/1355443223.webp,RN211394,36,bj,250000.0,flat,sale,42.0,True,2,1,Barrio Quintana,Madrid,Madrid,Ciudad Lineal,es,Quintana,40.4347162,-3.6445146,False,https://www.idealista.com/inmueble/108625790/,"En el consolidado y dinámico barrio de Quintana, dentro del distrito Ciudad Lineal de Madrid, se presenta esta excelente oportunidad de inversión. Se trata de un bajo exterior reformado, con una superficie de 42 m², orientado al sureste, que destaca por su luz natural y funcionalidad. La vivienda cuenta con dos dormitorios, un baño completo y una cocina que ofrece un espacio práctico y versátil. Además, está adaptada para personas con movilidad reducida, ya que no tiene barreras arquitectónicas. El inmueble presenta características que lo hacen atractivo tanto para quienes buscan un hogar como para inversores que desean rentabilizar su compra. Su estado reformado y su ubicación estratégica lo convierten en un activo ideal para el mercado de alquiler, con alta demanda en la zona. La calefacción y el aire acondicionado frío-calor aseguran el confort durante todo el año, y el portero automático añade un toque de seguridad y comodidad. El barrio de Quintana es conocido por su ambiente residencial tranquilo y por su excelente conectividad. A menos de 10 kilómetros se encuentra el prestigioso Colegio Nuestra Señora del Pilar, reconocido por su calidad educativa. Para quienes disfrutan de las compras y el ocio, el Centro Comercial Alcalá Norte está a pocos minutos, ofreciendo una gran variedad de tiendas, restaurantes y servicios. En cuanto al transporte público, las líneas de metro más cercanas son la 5 (estación Quintana) y la 7 (estación Pueblo Nuevo), ambas a una cómoda distancia a pie. Asimismo, las líneas de autobuses como la 38, 109 y 113 tienen paradas en las inmediaciones, facilitando la movilidad hacia distintos puntos de la ciudad. El distrito Ciudad Lineal combina la tranquilidad de sus áreas residenciales con la vida urbana, ofreciendo parques, comercios locales y una amplia oferta gastronómica. Es una zona ideal para quienes buscan disfrutar de Madrid sin renunciar a la calma. Desde 1983, GILMAR se ha dedicado a ayudar a sus clientes a encontrar la casa de sus sueños. Con más de 40 años de experiencia en el sector inmobiliario, nuestra compañía se ha convertido en un referente, ofreciendo un servicio integral y personalizado, desde la compra o venta hasta el asesoramiento postventa. Si deseas más información sobre este inmueble, no dudes en contactar con nuestro equipo de la oficina de Avenida América. Puedes visitarnos en C/ López de Hoyos esquina Corazón de María, llamarnos al teléfono o escribirnos al correo electrónico. Indícanos la referencia 211394 y estaremos encantados de atenderte.",True,good,False,False,5952.0,True,True,False,True,[],False,False,250000.0,€,260000.0,10000.0,4.0,flat,"Quintana, Madrid",Piso,Top,,,,
108747570,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/46/a7/1354053910.webp,PV9154I,37,,1500000.0,chalet,sale,400.0,,5,6,Barrio Somosaguas,Madrid,Pozuelo de Alarcón,Somosaguas,es,Somosaguas,40.4217887,-3.7996846,False,https://www.idealista.com/inmueble/108747570/,"Magnífico chalet con parcela muy privada en zona Somosaguas Centro. La vivienda dispone de ascensor, y rampa de acceso para minusválidos. Muy bien ubicado por su cercanía a colegios de prestigio, zona comercial y de ocio. Con buena comunicación por transporte público y fácil acceso a carreteras principales. Distribución:  PLANTA PRINCIPAL: · Hall de recibo. · Aseo de visitas. · Despacho independiente. · Salón comedor con chimenea y salida al jardín. · Cocina office con salida a tendedero y jardín. PLANTA SUPERIOR: · Dormitorio con baño completo en suitte. · Dormitorio. · Dormitorio con baño en suitte. · Dormitorio principal con vestidor y baño en suitte. BUHARDILLA: · Zona diáfana. PLANTA INFERIOR: · Garaje para tres coches. · Dormitorio de servicio. · Aseo con posibilidad de ducha. · Zona de estar con chimenea. · Bodega. Aire acondicionado Puedes ver más inmuebles en nuestra página web. Somosaguas es una urbanización residencial de lujo a tan sólo 10 kilómetros de Madrid. Cuenta con grandes medidas de seguridad, ya que todo el que vive en ella exige tranquilidad y mucha privacidad. De hecho, residen personalidades públicas del mundo de la cultura, la política y la música.  Dependiente de Pozuelo de Alarcón, Somosaguas está bien comunicada por autobús y metro ligero. Y sobre todo, está rodeada por ese gran pulmón verde que es la Casa de Campo.",True,renew,False,,3750.0,True,True,False,False,[],False,False,1500000.0,€,,,,chalet,"Somosaguas, Pozuelo de Alarcón",Casa independiente,Top,True,True,independantHouse,
108716766,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/6e/48/1355014468.webp,PV9156I,65,,1950000.0,chalet,sale,513.0,,6,9,Barrio Somosaguas,Madrid,Pozuelo de Alarcón,Somosaguas,es,Somosaguas,40.4220782,-3.7970416,False,https://www.idealista.com/inmueble/108716766/,"Exclusivo pareado de 513 m² con jardín y piscina en Somosaguas Centro. La vivienda ha sido reformada recientemente, con materiales de altas calidades. En magnífica ubicación, cercana a colegios de prestigio de la zona ( Retamar, Colegio Británico y Americano. ) a escasos minutos andando de zona comercial y de ocio. Bien comunicada por transporte público y con fácil acceso a carreteras principales. Distribución: PLANTA PRINCIPAL: · Hall de entrada  · Cocina abierta totalmente equipada con electrodomésticos de alta gama desde la que se sale a una zona tendero y se accede al jardín. · Salón estar con salida al porche acristalado y jardín con piscina calefactada y aseo. · Zona de comedor. PLANTA ALTA: · Dormitorio principal con terraza, amplio vestidor y baño en suitte. · Dormitorio con baño en suitte y terraza. · Dormitorio con baño en suitte y terraza. BUHARDILLA: · Dormitorio con baño en suitte. · Dormitorio con terraza cerrada y closet. PLANTA BAJA: · Sala multiusos/ juegos. · Aseo. · Cuarto de armarios, cambio de ropa. · Dormitorio y baño de servicio. La casa dispone de placas solares, cristales de seguridad, persianas domotizadas. Puedes ver más inmuebles en nuestra página web. Somosaguas es una urbanización residencial de lujo a tan sólo 10 kilómetros de Madrid. Cuenta con grandes medidas de seguridad, ya que todo el que vive en ella exige tranquilidad y mucha privacidad. De hecho, residen personalidades públicas del mundo de la cultura, la política y la música.  Dependiente de Pozuelo de Alarcón, Somosaguas está bien comunicada por autobús y metro ligero. Y sobre todo, está rodeada por ese gran pulmón verde que es la Casa de Campo.",True,good,False,,3801.0,True,True,False,False,[],False,False,1950000.0,€,,,,chalet,"Somosaguas, Pozuelo de Alarcón",Chalet pareado,Top,True,True,semidetachedHouse,
108760315,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c2/8d/0a/1354404495.webp,PV9164I,51,,1370000.0,chalet,sale,335.0,,6,5,Barrio Aravaca,Madrid,Madrid,Moncloa,es,Aravaca,40.4571224,-3.794946,False,https://www.idealista.com/inmueble/108760315/,"Magnífico chalet pareado de 335 m² en parcela de 364 m² en zona residencial de Aravaca, con jardín y piscina privada. La vivienda está para ser actualizada. Se encuentra en magnífica ubicación, a escasos minutos andando al pueblo, cercana a colegios de prestigio de la zona, restauración y comercio. Bien comunicada por transporte público y con fácil acceso a carreteras principales. Distribución: PLANTA PRINCIPAL: · Hall de entrada. · Aseo de cortesía. · Cocina-office con tendedero. · Salón-comedor con chimenea, comedor y salida al jardín. PLANTA PRIMERA: · Dormitorio principal con baño en suite. · Dos dormitorios cada uno con terraza. · Un dormitorio. · Un baño completo. BUHARDILLA: · Dormitorio con baño en suite. · Zona de estar. · Dos trasteros. PLANTA SÓTANO: · Estar/ sala de juegos. · Dormitorio y baño de servicio. · Trastero. · Sala multiusos con salida al jardín. Garaje para dos coches: uno cerrado y otro en pérgola. Calefacción de gasóleo. Puedes ver más inmuebles en nuestra página web. Entre el Monte del Pardo y la Casa de Campo, y a tan solo 9 kilómetros del centro de Madrid, Aravaca es un lugar privilegiado: ofrece todo lo que un ciudadano necesita en una gran urbe, y además está perfectamente comunicada con la capital gracias a la autopista A-6, la M-500, la M-503 (carretera de Castilla), M-30 y M-40. Cuenta con múltiples instalaciones deportivas, tiendas, restaurantes, academias, institutos, así como con los colegios más prestigiosos de Madrid. Es un área con mucho encanto donde sus 23.000 habitantes disfrutan de las ventajas de vivir en una gran ciudad, y a su vez de la tranquilidad de estar en un pueblo donde pasear, ir de compras caminando, e incluso ir en bici hasta el centro de Madrid o Ciudad Universitaria a través de la Casa de Campo.",True,good,False,,4090.0,True,True,False,False,[],False,False,1370000.0,€,,,,chalet,"Aravaca, Madrid",Chalet pareado,Top,True,True,semidetachedHouse,
108796554,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/87/37/1355910463.webp,PV9168I,45,,1950000.0,chalet,sale,334.0,,5,5,Barrio Montealina,Madrid,Pozuelo de Alarcón,Urbanizaciones,es,Montealina,40.4404526,-3.8605708,False,https://www.idealista.com/inmueble/108796554/,"Fantástico chalet Levitt modelo Granada de 334 m², con distribución muy cómodas en 2 plantas, construido sobre bonita y privada parcela de 1.822 m², rodeado de un espectacular jardín con piscina.  Ubicada en la prestigiosa urbanización Montealina con servicio de vigilancia y seguridad 24 horas, con férreo control de acceso, dos pistas de tenis, una pista de pádel y zonas verdes. Distribución: PLANTA PRINCIPAL: · Hall recibidor.  · Salón de doble altura. · Comedor independiente. · Cocina con Office. Aseo de cortesía. · Salón de diario con chimenea y salida al jardín.  · Zona de servicio con habitación y baño. · Acceso al garaje para dos coches. PLANTA PRINCIPAL: · Dormitorio Principal en suite, con baño y salida a terraza. · Dormitorio con salida a terraza. · Dos dormitorios. · Dos cuartos de baño. EXTERIOR: · Bonito jardín consolidado y en perfecto estado. · Piscina privada. La casa dispone de 24 placas solares fotovoltaicas, recientemente instaladas.  Puedes ver más inmuebles en nuestra página web. Urbanización de lujo muy consolidada, de acceso cerrado y vigilancia las 24 horas. Pertenece al municipio de Pozuelo de Alarcón y ofrece un maravilloso paisaje donde se encuentra el bosque protegido de Boadilla del Monte.  Conectada por la M-40 y la M-500, tiene transporte público, y un fácil acceso a la zona comercial de Pozuelo. Como rasgo distintivo, todas las viviendas son chalets independientes en muy buenas parcelas de gran privacidad.",True,renew,False,,5838.0,True,True,False,False,[],False,False,1950000.0,€,,,,chalet,"Montealina, Pozuelo de Alarcón",Casa independiente,Top,True,True,independantHouse,
107284132,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/08/ac/1312424401.webp,lm206185,37,1,3490000.0,flat,sale,355.0,True,5,3,"avenida de Menéndez Pelayo, 11",Madrid,Madrid,Retiro,es,Ibiza,40.4208588,-3.6794895,True,https://www.idealista.com/inmueble/107284132/,"Gilmar vende en el exclusivo barrio de Ibiza, en Madrid, este lujoso y elegante piso. Situado en un edificio emblemático, con una ubicación privilegiada, esta vivienda en altura es perfecta para aquellos que buscan lo mejor de lo mejor. Con una superficie construida de 355 metros cuadrados, este piso cuenta con amplios espacios y una distribución impecable. Dispone de cinco dormitorios, todos ellos principales, y tres baños completos. Los acabados de alta calidad y la magnifica distribución añaden un toque de lujo a cada estancia. La luminosidad es una de las características destacadas de este inmueble, gracias a su orientación y a sus grandes ventanales. Desde el salón independiente, se puede disfrutar de unas vistas impresionantes al Parque del Retiro, uno de los pulmones verdes más importantes de la ciudad. Además de sus magníficas características interiores, este piso se encuentra en una ubicación privilegiada. Se encuentra en la Avenida de Menendez Pelayo, entre la calle del Doctor Castelo y la calle O'Donnell en la mejor esquina de todo el distrito. Para los amantes de las compras, la calle Goya se encuentra a cinco minutos a pie y la calle Serrano un poco mas allá. Con una amplia selección de tiendas de lujo y restaurantes exclusivos, la zona que rodea al Retiro ofrece una experiencia de compra única. El barrio de Retiro es conocido por su elegancia y su ambiente tranquilo. Rodeado de hermosos parques y jardines, es el lugar perfecto para aquellos que buscan un estilo de vida relajado pero sofisticado. Además, cuenta con una amplia oferta de restaurantes de alta calidad, tiendas exclusivas y servicios de lujo. Gilmar es una compañía líder en el sector inmobiliario, con más de 35 años de experiencia ayudando a sus clientes a encontrar la casa de sus sueños. Con un equipo de expertos en marketing inmobiliario y una amplia red de oficinas en toda España, Gilmar se enorgullece de ofrecer un servicio personalizado y de alta calidad. Si estás interesado en obtener más información sobre este exclusivo piso en Retiro, no dudes en ponerte en contacto con nuestro equipo en la oficina de Gilmar en Avenida del Mediterráneo, 44. Puedes llamarnos al o enviarnos un correo electrónico a  Recuerda facilitarnos la referencia del inmueble (206185) para que podamos proporcionarte la información que necesitas. Estaremos encantados de ayudarte a encontrar la casa de tus sueños.",True,good,False,True,9831.0,True,True,False,False,[],False,False,3490000.0,€,,,,flat,"Ibiza, Madrid","Piso en avenida de Menéndez Pelayo, 11",Top,,,,
