propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,district,neighborhood,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
108356642,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2e/ed/35/1341679915.webp,15,4,114900.0,flat,sale,68.0,True,2,1,calle del Pintor Rafael Boti,Madrid,San Martín de la Vega,es,40.2066754,-3.5803229,False,https://www.idealista.com/inmueble/108356642/,"EN VENTA: OPORTUNIDAD DE INVERSIÓN EN CIEMPOZUELOS – SAN MARTÍN DE LA VEGA Si buscas una propiedad con alta rentabilidad y en una ubicación excelente, este piso en San Martin de la Vega es la oportunidad que estabas esperando. Situado cerca de zonas verdes, colegios, parques y con fácil acceso a la parada de autobús, esta propiedad se vende con inquilinos, lo que garantiza una rentabilidad inmediata desde el primer día. Rentabilidad Garantizada desde el Primer Momento Este magnífico piso está actualmente alquilado, con una renta mensual de 530 euros, lo que lo convierte en una opción ideal para inversores que buscan una fuente constante de ingresos pasivos. Con un contrato de arrendamiento vigente, podrás empezar a obtener beneficios desde el momento de la compra, sin necesidad de buscar inquilinos. El piso cuenta con una distribución práctica y funcional, pensada para ofrecer comodidad tanto a los inquilinos como a ti como propietario. La cocina es independiente y está completamente equipada, ideal para aquellos que buscan un espacio cómodo y funcional. El salón-comedor es amplio y luminoso, creando un ambiente acogedor para los inquilinos. En cuanto a la zona de descanso, la propiedad dispone de dos dormitorios espaciosos, diseñados para ofrecer la máxima comodidad. Además, cuenta con un baño completo que proporciona comodidad para todos los residentes. Inversión con Financiación al 100%: Una Oportunidad Única Ofrecemos la posibilidad de financiación al 100%, lo que facilita esta excelente oportunidad de inversión. No solo estarás adquiriendo una propiedad con rentabilidad garantizada, sino que también podrás financiar la compra sin necesidad de grandes desembolsos iniciales. No dejes pasar esta oportunidad de obtener una propiedad que te genere ingresos constantes. Contacta con nosotros para más información y para programar una visita. Estaremos encantados de ayudarte a conocer todos los detalles y a facilitarte el proceso de compra. Este anuncio no es vinculante, puede contener errores. Se muestra a título informativo y no contractual.",False,good,False,False,1690.0,False,True,False,False,[],False,False,114900.0,€,flat,San Martín de la Vega,Piso en calle del Pintor Rafael Boti,Destacado,,,,,,,,,
108243235,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/58/9b/1c/1339530129.webp,40,bj,350000.0,flat,sale,85.0,True,3,1,calle de Villasandino,Madrid,Madrid,es,40.4073667,-3.7512778,False,https://www.idealista.com/inmueble/108243235/,"CASA IDEAL presenta esta vivienda de 85 m² construidos, ubicada en la colonia de Montepío, una zona residencial tranquila del barrio de Batán, rodeada de jardines a escasos minutos a pie de la estación de metro Batán (Línea 10) y muy próxima a la Casa de Campo. La propiedad es exterior y muy luminosa, gracias a su buena orientación, y destaca por contar con dos patios privados con gran potencial para acondicionarlos como zona de descanso, comedor exterior, trastero o espacio de juegos. Uno de ellos con acceso directo desde la cocina, que es amplia y funcional. El piso dispone de: -Tres habitaciones dobles -Un baño completo -Salón comedor -Cocina independiente con salida a patio -Calefacción central con consumo individualizado -Finca con ascensor Con múltiples opciones de reforma, esta vivienda es ideal para quienes buscan personalizar su hogar a su gusto o hacer una inversión en una zona en plena revalorización gracias al soterramiento de la A-5, que transformará el entorno con nuevas zonas verdes y mejor calidad de vida urbana. Excelente conexión de transporte público: -Metro: Batán (Línea 10) a 5 minutos a pie. -Autobuses EMT: Líneas 33, 36, 39, 55, 65, 138 y SE3 con paradas cercanas. -Nocturnos: N18 y N19. -Cercanías: Estación Laguna (C5) a 12 minutos andando. ¿Necesitas financiación? En CASA IDEAL también te ayudamos a conseguir tu hipoteca de hasta el 100% y a los tipos de interés más bajos del mercado, gracias a acuerdos con entidades financieras que ofrecen condiciones preferentes para nuestros clientes. Compra hoy al precio de mañana y haz una inversión segura en una de las zonas con más futuro de Madrid. Para más información o visitas, CASA IDEAL está a tu disposición.",True,renew,False,True,4118.0,True,False,True,False,[],False,False,350000.0,€,flat,"Lucero, Madrid",Piso en calle de Villasandino,Destacado,Latina,Lucero,,,,,,,
108228044,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/71/fa/34/1337755958.webp,67,,800000.0,chalet,sale,616.0,,6,5,Navacerrada,Madrid,Navacerrada,es,40.7207014,-4.0146806,False,https://www.idealista.com/inmueble/108228044/,"Navacerrada es un pueblo de la Comunidad Madrid situado en pleno Parque Nacional de la Sierra de Guadarrama a 52 kilómetros de Madrid Capital. Los comienzos como núcleo de asentamiento son anteriores a La Reconquista cuando ganaderos segovianos aprovechan la pequeña planicie que deja a sus pies la sierra para establecerse. Mas tarde Alfonso X El Sabio unió bajo el nombre de El Real de Manzanares, la villa de Manzanares el Real junto a otros 19 pueblos entre los que se encontraba el de Navacerrada. Próximo al pueblo de Navacerrada hay un puerto de montaña con su mismo nombre que divide las provincias de Madrid y Segovia. A mediados del siglo XX se produce, con un crecimiento lento pero sostenido, el principal desarrollo de Navacerrada. Aprovechando tanto el atractivo de su patrimonio urbanístico como el entorno natural Navacerrada logra atraer tanto a turistas como a visitantes ocasionales que buscan realizar una escapada para conocerlo.  Con una estación de esquí en el puerto de Navacerrada los amantes de los deportes de invierno tienen un buen motivo para acercarse en la temporada invernal y disfrutar también de este pueblo y sus alrededores que ademas cuentan con una excelente gastronomía típica castellana. Esta casa unifamiliar se encuentra a la entrada del Pueblo de Navacerrada al lado de su embalse en una parcela individual de 1.326 metros, en su fachada esta la entrada al garaje y una terraza, por el lateral suben unas escaleras hacia la entrada principal por la que entramos a un recibidor desde el que de frente accedemos a un salón comedor con chimenea, acceso a la terraza y acceso también a la amplia cocina con despensa y una habitación secundaria con un baño, este a su vez se le puede dar uso de baño de cortesía. Desde el recibidor tenemos de frente a la derecha otra puerta que separa las escaleras que dan acceso a la planta alta y baja en la que encontramos el garaje, la sala de calderas y un par de estancias de gran tamaño para hacer habitaciones, una bodega, taller, baño, despensa. Desde el recibidor a mano derecha pasamos por un pasillo a tres habitaciones, al fondo de este está el principal con vestidor y baño en suite, a la derecha un dormitorio y un baño completo y a la izquierda el dormitorio que comunica con la cocina. Por la escalera subimos a la planta superior en la que hay una habitación con baño incluido y zona de estudio, un pequeño desván aprovechando la bajo cubierta y una sala de juegos con terraza con vistas al jardín. Navacerrada se encuentra a menos de una hora en coche desde Madrid y a una hora aproximadamente en autobús. Desde el intercambiador de Moncloa, en la parte oeste de la ciudad, salen varios autobuses interurbanos en dirección a la sierra. A la estación del Puerto de Navacerrada también se puede llegar en tren desde Cercedilla. Su buena comunicación y cercanía la hacen ideal para hacer excursiones los fines de semana o disfrutar de la nieve sin tener que hacer largos trayectos. Cualquiera que sea el uso al que destinar esta vivienda convendría valorarlo ya que el pueblo de Navacerrada es uno de los mas emblemáticos de la sierra madrileña aportando valor a una inversión inmobiliaria indicada tanto para particulares como para inversores. Si le interesa esta vivienda y quiere visitarla o tiene alguna pregunta, no dude en contactar estaré encantada de atenderle.",False,renew,False,,1299.0,False,False,False,False,[],False,False,800000.0,€,chalet,Navacerrada,Casa independiente,Destacado,,,PR01586,850000.0,50000.0,6.0,independantHouse,,
107407221,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2e/39/20/1311835344.webp,49,,547000.0,chalet,sale,286.0,,4,2,Valdeolmos-Alalpardo,Madrid,Valdeolmos-Alalpardo,es,40.6166544,-3.4683597,False,https://www.idealista.com/inmueble/107407221/,"Chalet pareado con amplia parcela en Miraval.  Instalaciones deportivas: piscina, padel, tenis, fútbol, club social. Y la guinda, el prestigioso Club de Golf Retamares en la urbanización  Increíble oportunidad de adquirir un hermoso chalet pareado con amplia parcela en la codiciada urbanización Miraval de Alalpardo. Ubicado cerca del prestigioso campo de golf Retamares, este hogar ofrece la comodidad de vivir rodeado de un entorno natural espectacular y a la vez disfrutar de una variedad de servicios, como restaurantes, piscina y áreas deportivas en la urbanización. Con 240 m2 de espacio habitable y una parcela de 1241 m2, este chalet pareado ofrece múltiples opciones para el disfrute familiar o para recibir amigos en su impresionante espacio exterior que incluye cenador, zona de bar, terraza, barbacoa y amplio espacio de recreación. Además de su impresionante parking para 3 coches, cuenta con una rampa de entrada al garaje para unos cuanto más. El interior de la casa es igualmente impresionante, con 3 salones, uno de ellos con chimenea, 4 habitaciones, 2 baños y cocina completamente equipada. También cuenta con una planta baja insonorizada, ideal para una sala multiusos, una bodega y un amplio trastero. A menos de 250 metros de la propiedad se encuentra la entrada al Club de Golf Retamares, que ofrece un recorrido de 18 hoyos diseñado por Olazábal, lo que lo convierte en un paraíso para los amantes del golf. El municipio de Alalpardo está situado en un espectacular entorno natural protegido de la cuenca del Jarama, lo que lo convierte en un lugar ideal para aquellos que desean vivir en un ambiente tranquilo y disfrutar del deporte al aire libre y de las magníficas vistas del valle y la sierra de Guadarrama. También cuenta con colegios públicos y privados de gran prestigio, instalaciones deportivas municipales y una excelente conexión de transporte público con Madrid y sus alrededores. No pierdas la oportunidad de adquirir esta impresionante propiedad en una ubicación privilegiada. ¡Pide información hoy mismo!",True,good,False,,1913.0,True,False,True,False,[],False,False,547000.0,€,chalet,Valdeolmos-Alalpardo,Chalet pareado,Destacado,,,REF_32481,,,,semidetachedHouse,True,True
107426548,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5d/c9/96/1312869287.webp,41,,425000.0,chalet,sale,183.0,,7,4,calle de la Ciudad de París,Madrid,Mejorada del Campo,es,40.3989647,-3.4845597,False,https://www.idealista.com/inmueble/107426548/,"ESTUPENDO CHALET DE 7 HABITACIONES Y AREAS COMUNES, IDEAL COMO INVERSION PARA ALQUILER DE HABITACIONES O FAMILIAS NUMEROSAS. Chalet de 4 plantas con 7 habitaciones perfectamente acondicionadas, son habitaciones grandes cada una con aire acondicionado Split con bomba de calor y frio, armarios encastrados, escritorios, conexión wifi y TV.  Planta baja: Nos recibe una cómoda parcela delantera, a continuación un hall de distribución con una iluminada cocina, baño completo y 2 grandes habitaciones (que antes era el salón y que solo tirando un tabique vuelve a su estado original). El suelo de la planta baja fue cambiado hace poco por tarima de buena calidad. Planta primera: Aquí nos encontramos 3 habitaciones, 2 de ellas con vista a la calle y la principal con baño en suite con orientación a las áreas comunes. otro baño completo.  Planta buhardilla: aquí se hizo una reforma especial, se dividió en 2 habitaciones un baño completo con salida a una pequeño ""balcón tendedero"" y una pequeña cocina, es como un mini apartamento, ventana velux. Planta sótano: se encuentran 2 plazas de garaje y espacio para almacenamiento o trastero. El acceso a las plazas de garaje es subterráneo.  Toda la vivienda y las habitaciones tienen ventanas dobles y la vivienda esta muy conservada. Areás comunes acogedoras, muy arbolada y con una piscina con cerco natural alto. La ubicación es inmejorable, cerca a bancos, colegios, ayuntamiento, recinto ferial, supermercados, etc. Financiamos hasta el 100% de la compra, consulte condiciones. No dude en visitarlo, estaremos encantados de agendar una visita.",True,good,False,,2322.0,False,False,False,False,[],False,False,425000.0,€,chalet,Mejorada del Campo,Chalet adosado en calle de la Ciudad de París,Destacado,,,,435000.0,10000.0,2.0,terracedHouse,True,True
107724247,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/c6/83/1346231915.webp,45,1,1340000.0,flat,sale,112.0,True,3,3,calle de Lombía,Madrid,Madrid,es,40.4250281,-3.6734753,False,https://www.idealista.com/inmueble/107724247/,"Piso de lujo A ESTRENAR en el barrio de Salamanca – totalmente AMUEBLADO con mobiliario de diseño, con 3 DORMITORIOS, SUELO RADIANTE, AIRE ACONDICIONADO por conductos y PORTERO FÍSICO. Ubicado en una PRIMERA PLANTA exterior de 112 m², en edificio con ASCENSOR y excelente portal. Reformado integralmente por un estudio de ARQUITECTURA e INTERIORISMO con materiales de ALTA GAMA y una distribución pensada al detalle. CARACTERÍSTICAS PRINCIPALES: - 3 dormitorios (uno en suite con baño privado) - 3 baños (dos completos y un aseo de cortesía) - Salón-comedor luminoso con grandes ventanales - Cocina de diseño equipada con electrodomésticos integrados - Cuarto de lavandería independiente (Incluye lavadora y secadora BOSCH) - Armarios empotrados de suelo a techo. hechos a medida CONFORT Y EFICIENCIA: - Sistema de aerotermia con SUELO RADIANTE y REFRESCANTE - Aire acondicionado por conductos - Ventanas con doble acristalamiento y rotura de puente térmico - Persianas motorizadas - Iluminación LED decorativa ACABADOS PREMIUM: - Suelo de roble natural en espiga - Baños con sanitarios empotrados y lavabos dobles - Distribución optimizada con zonas de almacenaje integradas TOTALMENTE AMUEBLADO: La vivienda se entrega COMPLETAMENTE AMUEBLADA con todo el mobiliario incluido en el precio. Llave en mano, sin necesidad de inversión adicional. Ubicación: En plena zona Lista del BARRIO DE SALAMANCA, muy cerca del parque del Retiro. Zona tranquila y bien comunicada, con todos los servicios: tiendas, restauración, centros médicos, metro y autobuses.",False,good,False,True,11964.0,True,False,False,False,[],False,False,1340000.0,€,flat,"Goya, Madrid",Piso en calle de Lombía,Destacado,Barrio de Salamanca,Goya,,,,,,,
108717996,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f4/a5/58/1353051005.webp,34,1,249900.0,flat,sale,85.0,True,2,1,calle Puerto Lápice,Madrid,Madrid,es,40.3469965,-3.7152539,False,https://www.idealista.com/inmueble/108717996/,"La Casa Agency pone a la venta este magnífico piso reformado con plaza de garaje en la zona de Villaverde Alto. La vivienda está situada en una 1º planta SIN ASCENSOR y consta de 85 m2 construidos, distribuidos en hall, salón-comedor, 2 dormitorios (antes 3), cocina independiente, baño con plato de ducha y terraza. Aparte cuenta con una plaza de garaje a escasos metros de la vivienda. Paredes de gotelé, ventanas de climalit y suelos de tarima y gres. Dispone de calefacción a través de acumuladores de calor y agua caliente por termo eléctrico. También dispone de aire acondicionado con bomba de calor en salón-comedor y habitación principal. ORIENTACIÓN DOBLE NORESTE-SUROESTE VENTANAS CLIMALIT. PUERTA BLINDADA Ubicado en pleno corazón de Villaverde Alto, este piso se encuentra a tan solo 10 minutos andando de la estación de Renfe Cercanías (línea C4) y de la estación de Metro Villaverde Alto (línea 3) y también de la estación de Renfe Alberto Alcocer (línea C5) a 2 minutos más. Acceso directo a M-40 y A-42, lo que te permite desplazarte rápidamente a cualquier punto de Madrid. Zona con todos los servicios, como supermercados, farmacias, colegios, institutos y centro de salud y mercado municipal. Aparte cuenta con zonas verdes y parques cercanos como el parque Planta y Castañar. Por tanto, si buscas una vivienda lista para entrar a vivir, con una excelente ubicación, con plaza de garaje y rodeada de todos los servicios, esta será la elegida.",False,good,False,False,2940.0,False,False,False,False,[],False,False,249900.0,€,flat,"Villaverde Alto, Madrid",Piso en calle Puerto Lápice,Destacado,Villaverde,Villaverde Alto,LCM37364,,,,,True,True
108082242,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/50/35/69/1333271446.webp,22,3,321000.0,flat,sale,82.0,True,4,1,calle de Caunedo,Madrid,Madrid,es,40.4383209,-3.632698,False,https://www.idealista.com/inmueble/108082242/,"BBM inmuebles les presenta en exclusiva este estupendo piso de 82 m² construidos, ubicado en una calle tranquila pero a solo unos pasos de la animada y comercial calle Alcalá. La vivienda combina perfectamente amplitud, buena distribución, dos balcones exteriores y una ubicación privilegiada que facilita tanto el día a día como la revalorización a futuro. Actualmente, la vivienda cuenta con tres habitaciones bien proporcionadas, dos de ellas con armarios empotrados que optimizan el almacenamiento sin sacrificar espacio. El baño, amplio y con buena ventilación, es ideal para una familia o para quien busque comodidad y funcionalidad. El salón destaca por su amplitud, luz natural y acceso directo a un balcón exterior, lo que aporta ventilación cruzada y una agradable conexión con el exterior. Este espacio se mantiene como zona independiente, perfecta para el descanso, la vida social o el entretenimiento. Uno de los grandes valores añadidos de esta vivienda es su zona de estar adicional, situada junto a la cocina. Este espacio ofrece múltiples opciones de reforma: puede mantenerse como sala independiente, o bien integrarse con la cocina para dar lugar a una única estancia amplia, moderna y muy funcional, perfecta como comedor principal o cocina con office. De este modo, se puede crear un espacio ideal para reuniones familiares o sociales, ganando amplitud y continuidad visual, pero sin renunciar a un salón independiente como zona de descanso. La cocina, con acceso a un segundo balcón orientado a patio interior, es cómoda y funcional, con posibilidad de modernización. Este segundo balcón puede usarse como tendedero o zona de almacenaje.  En cuanto a equipamiento, el piso cuenta con aire acondicionado en el salón, lo que aporta un plus de confort en los meses de verano. Su distribución ofrece muchas posibilidades de personalización, lo que lo convierte en una opción ideal tanto para vivir como para invertir y revalorizar con una reforma actualizada. La ubicación es uno de sus puntos más fuertes. Situado junto a la calle Alcalá, y a muy poca distancia de Las Ventas, este inmueble disfruta de una excelente conexión con toda la ciudad. A pocos minutos a pie se encuentran varias paradas de metro y autobús, lo que facilita los desplazamientos tanto al centro como a otras zonas de Madrid. Además, la salida rápida a la A-2 y M-30 lo convierte en una excelente opción para quienes necesiten moverse en coche. El barrio es tranquilo pero con todos los servicios: supermercados, farmacias, colegios, zonas deportivas, parques, bares de barrio y restaurantes. Una zona consolidada, familiar y segura, con ambiente de barrio tradicional y, a la vez, con proyección y demanda creciente. Una vivienda completa, con muchísimas posibilidades y en una zona con gran calidad de vida. Ideal para quienes buscan una casa definitiva o un proyecto de reforma en una ubicación con alta rentabilidad futura. Aunque tratamos de poner atención hasta en el más mínimo de talle, este anuncio no es vinculante ya que puede contener algún fallo.  No dejes pasar la oportunidad, y haz de este tu nuevo hogar!",False,good,False,False,3915.0,True,False,False,False,[],False,False,321000.0,€,flat,"Simancas, Madrid",Piso en calle de Caunedo,Destacado,San Blas,Simancas,,,,,,,
107731261,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3e/94/1a/1321141684.webp,22,,1950000.0,flat,sale,259.0,True,4,2,paseo de La Habana,Madrid,Madrid,es,40.4499006,-3.6867907,False,https://www.idealista.com/inmueble/107731261/,"Piso a reformar en El Viso, en Chamartín. Muy próximo a al Santiago Bernabeu y al Paseo de la Castellana.   Se ubica en la séptima planta de un edificio de mitad del siglo XX. Cuenta con ascensor y portero de lunes a viernes.   Tiene una superficie de 259m2, y ofrece la oportunidad perfecta para reformar. Actualmente cuenta con cuatro dormitorios, el principal con un amplio balcón interior, y dos baños completos, un amplio salón, biblioteca y una bonita terraza exterior.   Además, existe la posibilidad de alquilar una plaza de garaje en el mismo edificio.  .",False,renew,False,True,7529.0,False,False,False,False,[],False,False,1950000.0,€,flat,"El Viso, Madrid",Piso en paseo de La Habana,Destacado,Chamartín,El Viso,5219,,,,,,
108746722,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/90/b5/29/1353912666.webp,48,,1095000.0,chalet,sale,427.0,,6,4,calle Santa Teresa de Jesús,Madrid,Villanueva de la Cañada,es,40.4532173,-4.006173,False,https://www.idealista.com/inmueble/108746722/,"VOhome propiedades ofrece espectacular chalet independiente tipo ""Georgetown"" de 2 plantas en muy buen estado de conservación, con mejoras, de 427 m2 construidos sobre parcela llana de 719 m2.  La planta principal/baja se distribuye en hall recibidor con armario gabanero, aseo de cortesía, amplio salón-comedor de 40 m2 con chimenea, cocina independiente reformada con península, office y espacio de almacenaje adicional; zona de descanso compuesta de 2 habitaciones en planta, una suite principal con vestidor y baño propio y otra habitación multiusos, actualmente despacho. Completa la planta el box garaje para 1 vehículo con puerta motorizada, área técnica/de lavado, 1 baño completo y apartamento bajo cubierta en la zona superior. La primera planta se compone de 4 habitaciones (originalmente 5) y 2 baños completos, uno de ellos en suite, un segundo salón de 30 m2 aproximadamente con armario empotrado y posibilidad de tabicar si se desea disponer de 2 dormitorios más. También dispone de acceso a una buhardilla en bruto con enorme potencial para ampliar aún más el espacio. El exterior es una delicia; jardín consolidado con cenador, zona de porche, césped natural con riego automático, arboleda y acceso a la piscina y zonas comunes. La urbanización la engloban 58 viviendas unifamiliares en régimen de cooperativa, conocida como California Villague, que cuenta con zona común, piscina, solárium y club social. Chalet estilo canadiense. Carpintería exterior de madera con recubrimiento de aluminio, doble cristal, cierre de guillotina de alta eficacia y contraventanas. Suelos en planta baja de tarima blanca y en planta superior de madera original. Carpintería interior lacada blanca (puertas de paso, puertas de armarios y rodapié). Calefacción individual eléctrica con radiadores regulables. Baños y cocina reformados. Paredes lisas en toda la casa exceptuando dos habitaciones. Finca del año 1991.",False,good,False,,2564.0,False,False,False,False,[],False,False,1095000.0,€,chalet,"Villanueva de la Cañada, Villanueva de la Cañada",Casa independiente en calle Santa Teresa de Jesús,Destacado,Villanueva de la Cañada,,IDEIDE2190633,,,,independantHouse,True,True
