propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology
108143174,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/58/98/d6/1335138370.webp,LCM36465,59,1,1699000.0,flat,sale,250.0,True,4,5,calle de Atocha,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4160173,-3.702639,False,https://www.idealista.com/inmueble/108143174/,"Elegancia clásica y lujo contemporáneo en el centro de Madrid En pleno corazón histórico de Madrid, a pocos pasos del Paseo del Prado y la Puerta del Sol, se encuentra esta exclusiva vivienda en un edificio clásico de 1890 con ITE favorable desde 2020. Completamente reformado a estrenar, el piso combina el carácter señorial de techos altos y balcones exteriores con acabados modernos y una luminosidad excepcional. La distribución ofrece un amplio salón con tres balcones -uno con mirador una cocina integrada con isla central, aseo de cortesía y cuatro dormitorios con baño en suite y armarios empotrados. La suite principal incluye vestidor y acceso a una tranquila terraza interior. Una propiedad ideal tanto para residencia como para inversión, ubicada en una de las zonas más deseadas de la capital, rodeada de cultura, gastronomía y excelentes conexiones. Contáctanos para más información o concertar una visita. NOTA: este anuncio no es vinculante; puede contener errores y se muestra a título informativo, no contractual.",True,good,False,True,6796.0,False,False,False,False,[],False,False,1699000.0,€,1799000.0,100000.0,6.0,flat,"Huertas-Cortes, Madrid",Piso en calle de Atocha,Destacado,,,
108254706,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/e2/db/1338601838.webp,,52,3,255000.0,flat,sale,119.0,True,2,2,"calle Libertad, 5",Madrid,Torrejón de Ardoz,Noroeste,es,,40.4594143,-3.4802172,True,https://www.idealista.com/inmueble/108254706/,"INMOTORREJON A. DE PASCUAL VENDE EN EXCLUSIVA VIVIENDA TOTALMENTE REFORMADA EN LA ZONA CENTRO - PLAZA MAYOR DE TORREJON DE ARDOZ. ¡VIVIENDA PARA VER Y VISITAR A PARTIR DEL 13 DE JUNIO! La vivienda se distribuye en: 2 dormitorios, 2 baños completos, amplio y luminoso salón con cocina americana y vestíbulo. Además posee 1 trastero (incluido en el precio de venta). El inmueble es un 3º CON ASCENSOR y está en PERFECTO ESTADO y PARA ENTRAR A VIVIR. Como características más reseñables cabe destacar: - Puerta de entrada acorazada. - Puertas interiores de madera maciza - roble. - Suelos de plaqueta en toda la vivienda. - Agua caliente y calefacción de gas natural. - Aire acondicionado con bomba de calor distribuido y canalizado por conducto a todas las estancias del inmueble. - Ventanas de aluminio con cristal CLIMALIT, con rotura de puente térmico y acústico, con mosquiteras. - Armarios empotrados en todas las habitaciones. - 7 armarios de almacenaje distribuidos en toda la vivienda. - Paredes lisas. - 2 baños completos con plato de ducha ( 1 baño en suite con el dormitorio de matrimonio). - Instalación eléctrica en perfecto estado. - Fontanería en perfecto estado. - Orientación sureste, vivienda muy luminosa y totalmente exterior. - 3º CON ASCENSOR. - Con trastero de 5 m2. Como ya he mencionado anteriormente, la vivienda se encuentra en la zona centro de Torrejón de Ardoz, a escasos 30 metros de la Plaza Mayor (Ayuntamiento) y a tan sólo 80 metros de la Calle De Enmedio. La zona centro de Torrejón de Ardoz que es donde se encuentra este inmueble, es una zona que tiene todos los servicios necesarios a su alrededor, como por ejemplo: RENFE a tan sólo 2 minutos de la vivienda, paradas de autobús a 2 minutos tanto para cualquier zona de Torrejón como para Madrid capital, 2 farmacias en 150 metros a la redonda, colegios, institutos, todas la entidades bancarias, bares, restaurantes, centro de salud a 500 metros, todos tipo de pequeño comercio a pie de calle, fácil entrada y salida con la nacional A2. Si necesita financiación, en INMOTORREJON tenemos a FINANSAL SOLUCIONES HIPOTECARIAS, nuestro propio departamento de intermediación financiera que concede hasta el 100% de hipoteca. Venga a visitar esta estupenda vivienda e infórmese sin ningún tipo de compromiso por su parte. Le haremos un estudio financiero personalizado en el cual estudiaremos su perfil socio económico y le informaremos de cual es la hipoteca que mejor se adapta a sus necesidades para la compraventa de vivienda. Solicite una visita al inmueble o venga a nuestra oficina, estamos ubicados en CALLE DE ENMEDIO 14 - TORREJON DE ARDOZ (MADRID) Gracias por la atención que me ha prestado.",False,good,False,True,2143.0,False,False,False,False,[],False,False,255000.0,€,,,,flat,"Noroeste, Torrejón de Ardoz","Piso en calle Libertad, 5",Destacado,,,
108121065,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/31/60/03/1334469938.webp,47,23,3,679000.0,flat,sale,70.0,False,2,2,calle de Diego de León,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4347559,-3.6820847,False,https://www.idealista.com/inmueble/108121065/,"¡Élite Alcalá Inmobiliaria presenta, tu nuevo hogar en el Barrio de Salamanca, Madrid! Descubre este exclusivo piso de 70 m² en una de las zonas más emblemáticas y demandadas de la capital. Ubicado en pleno Barrio de Salamanca, combina elegancia, funcionalidad y comodidad, ideal tanto para vivir como para invertir. La vivienda cuenta con: •Una habitación doble y una habitación sencilla, ambas con armarios empotrados. •2 baños completos, uno de ellos en suite. •Cocina equipada. •Amplio salón-comedor con techos altos y una excelente distribución. ⸻  Extras que marcan la diferencia: • Aire acondicionado y bomba de frío/calor • Calefacción individual y calefacción central • Parquet, carpintería interior de sapeli • Ventanas de aluminio con climalit • Ascensor • Puerta blindada y videoportero • Acceso PMR y vivienda adaptada • Parking incluido • Servicio de conserjería y vigilancia 24h ⸻ Ubicación privilegiada, rodeada de todos los servicios: Autobuses, metro, tren, tranvía, centros médicos, hospitales, universidades, colegios, supermercados, centros comerciales, zonas verdes, parques y hasta campo de golf. Un piso bien comunicado y en perfecto estado, dentro de una finca cuidada con portero físico. Ideal para quien busca confort, seguridad y una excelente ubicación.",False,good,False,True,9700.0,False,False,False,False,[],False,False,679000.0,€,699000.0,20000.0,3.0,flat,"Castellana, Madrid",Piso en calle de Diego de León,Destacado,True,True,
103674717,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/11/ef/1203156804.webp,6707/737,37,7,1200000.0,penthouse,sale,102.0,True,2,2,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4394234,-3.700827,False,https://www.idealista.com/inmueble/103674717/,"REF. 6707/737. NO COBRAMOS HONORARIOS AL COMPRADOR. TRATO DIRECTO CON LA PROPIEDAD,  Maravilloso y exclusivo ático en la mejor zona de Madrid. Una terraza con vistas espectaculares y nada ni nadie que las interfiera. Amplia terraza en L con preciosas vistas. Consta de una amplio y luminoso salón/comedor con cocina abierta. Dormitorio principal con buen vestidor y baño completo. Dormitorio con baño en suite. Descansillo individualizado. Todo el ático es exterior y hecha una reforma de capricho completa. Aire acondicionado en toda la casa. La zona es exclusiva; bien comunicada, con hospitales cerca, zonas verdes y muchos lugares de ocio y restauración. No deje de visitarlo. ! PUEDE SER SU PRÓXIMA VIVIENDA!",False,good,False,True,11765.0,True,False,True,False,[],False,False,1200000.0,€,,,,flat,"Almagro, Madrid",Ático,Destacado,,,penthouse
103983128,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9a/e9/b4/1206265689.webp,CHA0134,43,,397000.0,chalet,sale,230.0,,6,8,calle Miguel de Unamuno,Madrid,Arganda,Centro,es,,40.3031889,-3.434964,False,https://www.idealista.com/inmueble/103983128/,"INMOBILIARIA TAGONIA, vende chalet adosado de 230 m2. Planta Baja: Sala de estar de dos ambientes, con una chimenea que crea un ambiente acogedor y aire acondicionado para tu confort. Amplios ventanales inundan de luz este espacio de 25 metros cuadrados. Suelos de porcelanato añaden un toque moderno y elegante. Aseo de cortesía para la comodidad de tus visitas. Dormitorio en planta baja para mayor versatilidad. Cocina con office y despensa, un espacio funcional y acogedor. Acceso a un encantador patio de 50 metros cuadrados, ideal para disfrutar al aire libre. Planta Primera: 4 dormitorios luminosos, dos de ellos con acceso a una terraza privada. Balcón con vistas panorámicas que te conectan con la naturaleza. Aire acondicionado en algunos dormitorios, el principal en suite para tu máximo confort. Suelos de tarima que añaden calidez y elegancia. Armarios empotrados con gran capacidad de almacenamiento. 2 baños con detalles de alta gama. Una bóveda que inunda la vivienda de luz, creando un ambiente único. Opción de desarrollar una buhardilla según tus necesidades y gustos. Planta Sótano: Garaje con capacidad para 2 coches, proporcionando seguridad y conveniencia. 1 dormitorio adicional para flexibilidad de uso. Baño completo con plato de ducha y detalles modernos. Práctica despensa para el almacenamiento organizado. Zona de lavandería para mayor comodidad. Puerta motorizada para tu tranquilidad y seguridad. Detalles de calidad, como puertas de madera y ventanas de aluminio. Suelos de baldosa rústica que añaden carácter y estilo. Calefacción individual de gasoil para un ambiente acogedor. Amplia entrada con cerramiento para mayor privacidad. Aparcamiento adicional y el lujo de una piscina comunitaria para disfrutar momentos inolvidables. ¡Contacta con Inmobiliaria Tagonia ahora para obtener más detalles o para programar una visita a tu próximo hogar! Te ayudamos con la financiación, buscamos la hipoteca que mejor se adapte a tus necesidades. ¡IMPORTANTE! precio exacto, sin sumar comisión al anuncio. [IW].",True,good,False,,1726.0,False,False,False,False,[],False,False,397000.0,€,,,,chalet,"Centro, Arganda",Chalet adosado en calle Miguel de Unamuno,Destacado,True,True,terracedHouse
108654438,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/5c/78/1351202705.webp,377,29,1,450000.0,flat,sale,60.0,True,1,1,paseo del Marqués de Zafra,Madrid,Madrid,Barrio de Salamanca,es,Fuente del Berro,40.4251442,-3.6675867,False,https://www.idealista.com/inmueble/108654438/,"¡Descubre esta excelente oportunidad de vivir o invertir en una de las zonas más tranquilas y mejor comunicadas del Barrio de Salamanca! Desde UBICASA, le ofrecemos en exclusiva este acogedor y silencioso piso en Paseo Marqués de Zafra, situado a escasos metros de Doctor Esquerdo, Plaza de Manuel Becerra y Calle Alcalá, en un edificio bien conservado con portero físico, 2 ascensores y todos los servicios a un paso. La vivienda destaca por su luz natural, su distribución funcional y su gran potencial de reforma, ya que no cuenta con muros de carga. �️ Distribución y características principales: 1ª Planta. 60 m² construidos | 50 m² útiles 1 dormitorio doble amplio y luminoso Salón comedor de buen tamaño Cocina independiente con ventana al salón Baño completo con bañera, cómodo y espacioso Terraza con vistas despejadas a patio de manzana Todo exterior a amplio patio de manzana, lo que garantiza tranquilidad y luminosidad durante todo el día Edificio con portero físico, construido en 1976 y en excelente estado de conservación. Con calefacción central, 2 ascensores e ITE al día. Gastos de comunidad: 112€/mes.  �️ Gran potencial de reforma: La vivienda no tiene muros de carga, lo que permite redistribuir espacios fácilmente y adaptarlos a tus gustos o necesidades. � Entorno y zona: Ubicado en el barrio de Fuente del Berro, una zona residencial muy valorada dentro del Barrio de Salamanca, con calles tranquilas, servicios de proximidad, comercio local y grandes zonas verdes como el Parque de la Quinta de la Fuente del Berro, Parque María Eva Duarte de Perón, o Parque de El Retiro. A escasos minutos de Goya y Manuel Becerra, con colegios, centros médicos, supermercados, bares con encanto y todo tipo de servicios a tu alcance. � Excelentes comunicaciones: Metro: Manuel Becerra (L2 y L6), O'Donnell (L6), Goya (L2 y L4) y Ventas (L5) 13 líneas de autobús sólo en Manuel Becerra que te conectan con toda la ciudad Fácil acceso a M-30 y principales vías de la ciudad � ¡Contáctanos para más información o concertar una visita! Una vivienda con luz, silencio y muchas posibilidades en el corazón de Madrid.",False,renew,False,True,7500.0,False,False,False,False,[],False,False,450000.0,€,465000.0,15000.0,3.0,flat,"Fuente del Berro, Madrid",Piso en paseo del Marqués de Zafra,Destacado,,,
108182237,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f9/e4/81/1336339164.webp,,38,2,450000.0,flat,sale,89.0,True,2,2,calle Uría s/n,Madrid,Madrid,Hortaleza,es,Pinar del Rey,40.4751406,-3.6546087,True,https://www.idealista.com/inmueble/108182237/,"Inmobiliaria en Hortaleza Madrid - Tecnocasa Estudio Inmobiliario Hortaleza Slu OFRECE: Piso luminoso con piscina, zonas verdes y garaje en finca cerrada – ideal para familias ¿Buscas un hogar tranquilo, seguro y con todas las comodidades para tu familia? Este piso lo tiene todo: ubicación privilegiada en una finca cerrada con portero, zonas comunes ajardinadas, piscina comunitaria y una distribución cómoda y funcional. Ubicado en una urbanización cuidada y familiar, este piso de 2 dormitorios y 2 baños completos está diseñado para ofrecer confort y calidad de vida en cada rincón. Distribución y confort: Dos dormitorios con armarios empotrados, ideales para mantener el orden y aprovechar al máximo el espacio. Dos baños completos: el principal en suite con plato de ducha integrado, y el segundo con bañera, perfecto para el uso diario o para los más pequeños. Amplio salón comedor con espacio para zona de descanso y comedor, muy luminoso gracias a su excelente orientación. Cocina independiente (puedes personalizar según el estado actual en el anuncio real). Ventanas dobles tipo Climalit, que garantizan aislamiento térmico y acústico, mejorando el confort en todas las estaciones. Orientación norte-sur: Disfruta de un hogar bien ventilado, con luz natural durante todo el día y estancias frescas en los meses más cálidos. Una orientación perfecta para el bienestar diario. Comodidades añadidas: Plaza de garaje incluida en el precio, amplia y con excelente maniobrabilidad para entrar y salir sin complicaciones. Finca cerrada con portero, que aporta un plus de seguridad y control de acceso. Piscina comunitaria y zonas verdes, ideales para el ocio familiar, juegos infantiles o simplemente relajarte al aire libre sin salir de casa. Ubicación y entorno: Ubicado en una zona tranquila, bien comunicada y con todos los servicios a mano: colegios, supermercados, transporte público, zonas deportivas, etc. Conexiones de Carretera: Acceso rápido a las principales vías como M30, M40 y M11 para facilitar tus desplazamientos. Transporte Público: A 400 METROS de la estación de metro de Hortaleza, y 850 METROS de la estación de Pinar del Rey, así como paradas de autobuses (líneas 9, 172 y 125) para una movilidad cómoda. Servicios Cercanos: Rodeado de centros comerciales, farmacias, colegios y una gran variedad de comercios para cubrir todas tus necesidades diarias. Una oportunidad única para vivir en un entorno cuidado, seguro y con todos los servicios. Ideal para quienes buscan calidad de vida sin renunciar a la comodidad de la ciudad. ¡No lo dejes escapar! Contáctanos para más información o agendar tu visita.",False,good,False,True,5056.0,False,False,False,False,[],False,False,450000.0,€,,,,flat,"Pinar del Rey, Madrid",Piso en calle Uría s/n,Destacado,True,True,
108018321,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/2c/52/1331372321.webp,,73,3,224900.0,flat,sale,90.0,True,2,1,"calle Juan Ramón Jiménez, 3",Madrid,Torrejón de Ardoz,Noroeste,es,,40.4635123,-3.4782622,True,https://www.idealista.com/inmueble/108018321/,"SEÑALIZADO INMOTORREJON A. DE PASCUAL VENDE FANTASTICA VIVIENDA EN LA URBANIZACION TORREPISTA DE TORREJON DE ARDOZ, CONCRETAMENTE EN LA CALLE JUAN RAMON JIMENEZ. La vivienda se distribuye en: 2 amplios y luminosos dormitorios (Piso original de 3 dormitorios hecho a 2 dormitorios), 1 baño completo, salón con salida a una agradable terraza abierta y cocina con terraza acristalada. Es un 3º CON ASCENSOR y está en PERFECTO ESTADO y PARA ENTRAR A VIVIR. Como características más reseñables del inmueble cabe destacar: - Puerta de entrada blindada. - Puertas interiores de madera maciza. - Suelos de parqué. - Instalación eléctrica cambiada (más de 5 años). - Fontanería cambiada (más de 5 años). - Agua caliente y calefacción de gas natural. - Baño completo con bañera. - Armarios empotrados en todas las habitaciones. - Ventanas correderas de aluminio con cristal simple. - Vivienda totalmente exterior y muy luminosa con orientación sureste (sol de mañana y mediodía). - 3º CON ASCENSOR. - 5 Parckings exteriores donde se puede aparcar en cualquiera de ellos (no propiedad ni plaza fija asignada). - Amplias zonas comunes ajardinadas. - 1 Piscina tamaño olímpica con zonas ajardinadas. - 1 piscina infantil con zonas ajardinadas. - Pista de fútbol sala. - Pista de pádel. - Portal y zonas comunes videovigilado. - Bar propio dentro de la urbanización. - Parque infantil con terrario de juegos.  La zona centro de Torrejón de Ardoz que es donde se encuentra este inmueble, es una zona que tiene todos los servicios necesarios a su alrededor, como por ejemplo: RENFE a tan sólo 5 minutos de la vivienda, centro de salud a 300 metros, paradas de autobús a 2 minutos tanto para cualquier zona de Torrejón como para Madrid capital, 2 farmacias en 300 metros a la redonda, colegios, institutos, todas la entidades bancarias, bares, restaurantes, centro de salud a 500 metros, todos tipo de pequeño comercio a pie de calle, fácil entrada y salida con la nacional A2. Si necesita financiación, en INMOTORREJON tenemos a FINANSAL SOLUCIONES HIPOTECARIAS, nuestro propio departamento de intermediación financiera que concede hasta el 100% de hipoteca. Venga a visitar esta estupenda vivienda e infórmese sin ningún tipo de compromiso por su parte. Le haremos un estudio financiero personalizado en el cual estudiaremos su perfil socio económico y le informaremos de cual es la hipoteca que mejor se adapta a sus necesidades para la compraventa de vivienda. Solicite una visita al inmueble o venga a nuestra oficina, estamos ubicados en CALLE DE ENMEDIO 14 - TORREJON DE ARDOZ (MADRID) Gracias por la atención que me ha prestado.",False,good,False,True,2499.0,False,False,False,False,[],False,False,224900.0,€,,,,flat,"Noroeste, Torrejón de Ardoz","Piso en calle Juan Ramón Jiménez, 3",Destacado,,,
108621635,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/32/6c/5c/1350209858.webp,P1074,16,2,1299000.0,flat,sale,86.0,False,3,3,calle de Hermosilla,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.427321,-3.6719683,False,https://www.idealista.com/inmueble/108621635/,"Oasis House les presentamos este elegante piso de 86 m² en una de las zonas más demandadas de Madrid. Ubicado en la segunda planta interior, esta propiedad ofrece una combinación perfecta de confort, diseño y ubicación privilegiada. Características destacadas: Distribución funcional: La vivienda cuenta con tres amplias habitaciones dobles, tres baños completos y una cocina independiente, proporcionando privacidad y comodidad para toda la familia. Acabados de alta calidad: Los suelos de tarima maciza aportan calidez y sofisticación a los espacios. La propiedad se encuentra en perfecto estado de conservación, lista para entrar a vivir. Climatización y confort: Dispone de aire acondicionado y calefacción central, asegurando una temperatura agradable durante todo el año. Seguridad y accesibilidad: El edificio cuenta con ascensor, portero automático. Amueblado y equipado: La vivienda se vende completamente amueblada y equipada, incluyendo electrodomésticos de alta gama, lo que permite disfrutar de ella desde el primer día. Ubicación inmejorable: Situado en el corazón del barrio de Goya, en el distrito de Salamanca, este piso se encuentra rodeado de tiendas exclusivas, restaurantes gourmet y centros culturales. La zona ofrece una excelente red de transporte público, con estaciones de metro cercanas y múltiples líneas de autobuses, facilitando el acceso al resto de la ciudad. En Oasis House sabemos que la compra venta de una vivienda es una de las mayores inversiones de su vida y para ello disponemos de: - asesoramiento financiero para su crédito hipotecario gracias a nuestros acuerdos con los principales bancos - servicio de reformas y de proyectos de interiorismo - profesionales inmobiliarios con formación superior, para encontrarle la vivienda que busca en la zona! - Certificados de eficiencia energética - Le acompañamos en todo el proceso de la compra venta, hasta el notario para que disfrute de la mayor tranquilidad - Experiencia, eficacia y seriedad Disponemos de un amplio catálogo de viviendas que no publicamos en los portales inmobiliarios por deseo expreso de los propietarios. Pueden verlos accediendo a nuestra web De igual forma, disponemos de un amplio catálogo de viviendas off market, no publicadas, contáctenos para mayor información.",True,good,False,True,15105.0,True,False,False,False,[],False,False,1299000.0,€,,,,flat,"Goya, Madrid",Piso en calle de Hermosilla,Destacado,,,
106255597,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/30/5d/d1/1277387027.webp,MAD85320191,18,1,1395000.0,flat,sale,152.0,True,3,3,Barrio Chueca-Justicia,Madrid,Madrid,Centro,es,Chueca-Justicia,40.422089,-3.6967338,False,https://www.idealista.com/inmueble/106255597/,"Veraltia presenta en exclusiva este maravilloso inmueble con vistas únicas y privilegiadas a una preciosa plaza y el icónico convento de las Descalzas y su espectacular campanario. Son dos apartamentos unidos en uno. Cada uno con su escritura y registro.  Situado frente a una plaza tranquila y abundante de luz natural debido a su fantástica orientación este y su posición privilegiada dando a una plaza arbolada. Las zonas comunes estan en perfecto estado contando ademas con un moderno ascensor. Ubicado en la primera planta con entrada doble. Actualmente consta de 2 dormitorios y 2 baños mas estudio. Techos altos y 3 balcones a calle, hacen de este piso una oportunidad única para una reforma de 2 o tres dormitorios que hemos desarrollado con un prestigioso estudio de arquitectura. Ubicado en Justicia, un barrio de Madrid perteneciente al distrito Centro, que guarda los más bellos y antiguos monumentos de la ciudad, las más comerciales de las calles, así como los más importantes órganos del poder municipal, regional y nacional. Se encuentra limitado por las calles de Sagasta y Génova por un lado, plaza de Colon a escasos metros, Hortaleza y Fuencarral. Se trata de un barrio residencial muy popular por la gran variedad de tiendas, galerías, bares, restaurantes y espacios singulares, muy apreciado para pasear y salir con amigos. Conserva la arquitectura castiza típica de la ciudad, con edificios de balcones, calles estrechas y plazuelas. Se encuentra muy cerca de lugares emblemáticos de la ciudad como la Puerta de Alcalá, el museo del prado, el Palacio Real y sus jardines, la catedral de Santa María la Real Almudena, el Teatro Real y la plaza de Oriente. Honorarios a cargo del 2% al comprador.",False,good,False,True,9178.0,True,False,False,False,[],False,False,1395000.0,€,,,,flat,"Chueca-Justicia, Madrid",Piso,Destacado,,,
