propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,neighborhood,parkingSpace.parkingSpacePrice
107965313,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/06/f9/1329673211.webp,1614,57,4,498000.0,penthouse,sale,185.0,True,4,2,calle de la Solana,Madrid,Torrejón de Ardoz,Sureste,es,40.4558767,-3.4585788,False,https://www.idealista.com/inmueble/107965313/,"Exclusiva vivienda ubicada en Torrejón de Ardoz, en el Parque Residencial Ribera del Henares. Ático totalmente exterior con gran terraza en “L” que rodea toda la vivienda con unas inmensas vistas panorámicas, distribuido en hall de entrada, gran salón comedor, cocina independiente con despensa, tres dormitorios completos todos ellos con armarios empotrados, más uno como despacho y dos baños completos uno de ellos incorporados. suelos de tarima, aire acondicionado, ventanas climalit.  La finca dispone de portero 24h, piscina y zonas comunes. Toda la vivienda tiene acceso a la terraza. Dispone de una orientación Oeste. plaza de garaje amplia para coche familiar en el mismo edificio, y trastero amplio en sótano. mejor ver.",False,good,False,True,2692.0,False,False,False,False,[],False,False,498000.0,€,530000.0,32000.0,6.0,True,True,flat,penthouse,"Sureste, Torrejón de Ardoz",Ático en calle de la Solana,Destacado,,
108855633,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/82/75/1357116184.webp,25-045,14,1,319000.0,flat,sale,69.0,True,2,1,calle de la Libertad,Madrid,Alcobendas,Alcobendas Centro,es,40.5399012,-3.6374175,False,https://www.idealista.com/inmueble/108855633/,"PRIMER NIVEL INMOBILIARIA VENDE este piso con una excelente ubicación, a escasos minutos de la glorieta ""MENINA"", una de las arterias principales de Alcobendas.  La finca tiene ascensor.  Está distribuido en 2 dormitorios, 1 baño, salón, cocina independiente y terraza.  Cuenta con mucha luz natural, está equipado con calefacción individual y aire acondicionado. Se encuentra ubicado en una zona próxima a todos los servicios y bien comunicada. Si necesitas financiación, contacta con nosotros y nuestro equipo financiero te asesorará sin compromiso. ¡Más de 20 años nos avalan consiguiendo las mejores condiciones hipotecarias del mercado!",False,good,False,True,4623.0,False,False,False,False,[],False,False,319000.0,€,,,,True,True,flat,,"Alcobendas Centro, Alcobendas",Piso en calle de la Libertad,Destacado,,
108337660,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ec/c7/df/1341130079.webp,RP1292025138371,11,bj,199000.0,flat,sale,27.0,True,1,1,calle de las Minas,Madrid,Madrid,Centro,es,40.4259382,-3.7072864,False,https://www.idealista.com/inmueble/108337660/,"Redpiso Malasaña te ofrece una excelente oportunidad de inversión en una de las mejores ubicaciones de Madrid.  Situado en una de las zonas más codiciadas de la ciudad, este LOCAL reformado en una acogedora vivienda es ideal para quienes buscan un espacio funcional, moderno y con ubicación inmejorable. Con 27 m² de superficie, la propiedad cuenta con un elegante dormitorio con baño en suite, un luminoso salón con sofá para relajarse y disfrutar del ambiente, y una cocina americana totalmente equipada, pensada para ofrecer la máxima comodidad.  La propiedad es exterior, lo que le permite disfrutar de una excelente luminosidad gracias a su orientación oeste, que llena de luz natural el espacio a lo largo del día. Además, está dotada de aire acondicionado frío/calor, lo que garantiza confort en cualquier época del año. El suelo porcelánico de alta calidad aporta un toque sofisticado y fácil de mantener, añadiendo elegancia y practicidad a la propiedad.  Este es un inmueble con gran potencial de inversión, ideal para quienes buscan una propiedad con una alta rentabilidad en una ubicación inmejorable. Completamente amueblado y listo para entrar a vivir, es perfecto tanto para vivir como para alquilar.  Comunidad: 32€ | IBI: 140€ ¡Contáctanos para más información y organiza tu visita!  Ponemos a tu disposición nuestro departamento financiero que obtendrá las mejores condiciones de financiación. ***GASTOS DE ITP 6% Y GESTIÓN NO INCLUIDOS*** Más inmuebles en nuestra página web.",False,good,False,False,7370.0,True,False,False,False,[],False,False,199000.0,€,,,,,,flat,,"Malasaña-Universidad, Madrid",Piso en calle de las Minas,Destacado,Malasaña-Universidad,
105695046,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/24/de/1260227786.webp,THH1344,36,bj,255000.0,flat,sale,45.0,True,1,1,calle del Amor Hermoso,Madrid,Madrid,Usera,es,40.3859448,-3.703001,False,https://www.idealista.com/inmueble/105695046/,"Un nido bonito, súper luminoso y amueblado. ¿Qué más se puede pedir? Realmente este piso es una oportunidad de esas que se presentan una vez en la vida. Es acogedor y tiene todas las ventajas que uno se podría imaginar. Sólo con ver las fotos, ya sientes ese algo, ese sentimiento de casa, de hogar, de pertenencia. Este piso de 45 m² es un bajo exterior con seis ventanas a la calle. Está reformado ya que es un edificio de 8 viviendas en rehabilitación completa de 2023. Los suelos son de madera de pino, muy buen material, y cuenta con una habitación, un baño, salón-comedor, cocina abierta totalmente equipada y patio. Además, tiene aire acondicionado frío/calor. El edificio no tiene ascensor, pero cuenta con un solarium de uso común en la terraza. Ya está disponible y ¿Lo mejor? Nos llega totalmente amueblado. Vivienda con cambio de uso de local a vivienda pendiente de registro. ¡Os encantará! Ref; THH1344.",True,good,False,False,5667.0,False,False,False,False,[],False,False,255000.0,€,,,,,,flat,,"Almendrales, Madrid",Piso en calle del Amor Hermoso,Destacado,Almendrales,
108409051,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/53/02/1344060484.webp,GPT452,34,,459900.0,chalet,sale,202.0,,4,3,Fuentebella-San Felix-El Leguario,Madrid,Parla,Fuentebella-San Felix-El Leguario,es,40.2243246,-3.7762118,False,https://www.idealista.com/inmueble/108409051/,"SI! CASA INMOBILIARIA – 买房，卖房，找欧乘房产！ DESCRIPCIÓN DE LA PROPIEDAD Chalet adosado de esquina en Parla, zona El Leguario, ideal para quienes buscan espacio y comodidad en una zona residencial tranquila. La vivienda, distribuida en 4 plantas, ha sido diseñada para aprovechar al máximo cada rincón: Planta sótano: Espacioso garaje con capacidad para varios vehículos y trastero independiente. Planta baja: Salón-comedor amplio y luminoso con chimenea, que se abre a un acogedor porche acristalado. Cocina independiente totalmente equipada y aseo. Primera planta: 4 dormitorios muy amplios, todos exteriores y con excelente iluminación natural. Dos baños completos. Buhardilla: Espacio multifuncional con gran capacidad de almacenamiento, ideal como zona de juegos, despacho, dormitorio adicional o sala de estar. Patio: La joya de la vivienda. Cuenta con árboles frutales, un olivo, porche cubierto perfecto para cualquier estación y una espectacular zona de barbacoa equipada con sistema de extracción y horno de leña. CARACTERÍSTICAS DESTACADAS Forma parte de una cuidada urbanización privada, que incluye acceso a piscina comunitaria para el disfrute de toda la familia. UBICACIÓN Ubicada en la zona de El Leguario, una de las más tranquilas y residenciales de Parla. Rodeada de zonas verdes, parques, centros educativos, supermercados y transporte público. Una zona ideal para familias que valoran la tranquilidad sin renunciar a los servicios del día a día. SERVICIOS EXCLUSIVOS DE SI! CASA En SI! CASA, acompañamos a nuestros clientes en todo el proceso de compra para ofrecer una experiencia segura y sin complicaciones: Asesoramiento personalizado para encontrar tu hogar ideal. Evaluación financiera y asesoría en opciones de hipoteca. Asistencia en todos los trámites administrativos. Acompañamiento integral en cada etapa del proceso. Para más información, visítanos en nuestra oficina en Parla, Calle Real 2, o contáctanos al TEL:  COMERCIAL ENCARGADO: Roberto, TEL:  房产描述： 这是一套位于Parla的El Leguario区域的角落联排别墅，非常适合寻求宽敞舒适生活空间的人士。房屋共四层，设计巧妙，充分利用了每一寸空间：  • 地下层：宽敞车库，可停放多辆车，配有独立储藏室。  • 一层（底层）：明亮宽敞的客厅-餐厅，配有壁炉，并通往一个舒适的玻璃封闭式门廊。独立厨房，设施齐全，另有一个洗手间。  • 二层：设有4间非常宽敞的卧室，全部为外窗房间，自然采光极佳；另有两个完整卫生间。  • 阁楼：多功能空间，储物能力强，适合作为游戏区、书房、额外卧室或起居室使用。  • 庭院：是本房的一大亮点。种有果树和一棵橄榄树，配有带顶棚的门廊，适合全年使用，还设有一个配备抽风系统和柴火烤炉的专业烧烤区。 亮点特色： 本房产位于维护良好的私人小区内，小区配有公共泳池，是全家人休闲娱乐的理想选择。 地理位置： 位于Parla的El Leguario社区，是该市最为安静、宜居的住宅区之一。周边绿化丰富，配有公园、学校、超市和公共交通，适合重视生活质量又不想放弃日常便利设施的家庭。 欢迎您预约看房，我们会竭诚为您服务。可加微信.",False,good,False,,2277.0,True,False,False,False,[],False,False,459900.0,€,,,,True,True,chalet,terracedHouse,"Fuentebella-San Felix-El Leguario, Parla",Chalet adosado,Destacado,,
108711867,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2b/82/68/1352875022.webp,,12,5,7900000.0,flat,sale,487.0,True,4,5,"calle de Ayala, 48",Madrid,Madrid,Barrio de Salamanca,es,40.4273895,-3.6832023,True,https://www.idealista.com/inmueble/108711867/,"Proyecto CASA AYALA   Elegancia y Exclusividad en el Corazón de Recoletos. Ubicada en una de las calles más codiciadas de Madrid, en plena calle Ayala, esta residencia de alto standing se erige en una finca clásica con un imponente portal de paso de carruajes, símbolo de la arquitectura señorial del barrio de Recoletos. Un enclave de distinción, rodeado de boutiques, gastronomía de autor y el Parque del Retiro a escasos pasos. Situada en una quinta planta, CASA AYALA ofrece 487m² cuidadosamente diseñados para combinar tradición, vanguardia y confort. Cada rincón de esta vivienda refleja un compromiso absoluto con la calidad y la estética contemporánea. Espacios que definen el lujo: Gran hall de entrada que anticipa la amplitud y sofisticación de la vivienda. Enorme salón principal, bañado por luz natural, ideal para recibir y vivir con estilo. Cocina de diseño equipada con electrodomésticos Gaggenau, perfecta fusión de funcionalidad y elegancia. 4 dormitorios en suite, todos con baños privados, que ofrecen privacidad y confort absoluto. Family room independiente, perfecto para el ocio familiar o como espacio versátil. Dormitorio de servicio con baño en suite, discreto y funcional. Aseo de invitados, cuarto gabanero y zona de lavandería completan la distribución con practicidad. Detalles que marcan la diferencia: Suelo de roble natural en espiga, un guiño al clasicismo reinterpretado con sofisticación. Grifería Axor, excelencia en cada detalle de los baños. Calefacción central, climatización eficiente y uniforme. Entrada de servicio y portero uniformado, discreción y seguridad garantizadas. Plaza de garaje y trastero, un lujo adicional en el centro de Madrid. Decoración y mobiliario de diseño incluidos, listos para entrar a vivir sin concesiones. Una obra maestra residencial donde cada espacio ha sido pensado para satisfacer al cliente más exigente. CASA AYALA no es solo una vivienda, es una experiencia de vida exclusiva en una de las mejores direcciones de Europa. Proyecto en proceso de reforma integral. Las infografías que aparecen en el anuncio son reales del fin de obra. � Precio: 7.900. 000 €.",False,good,False,True,16222.0,True,False,False,False,[],False,False,7900000.0,€,,,,True,True,flat,,"Recoletos, Madrid","Piso en calle de Ayala, 48",Destacado,Recoletos,
108365364,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/79/39/80/1341942386.webp,ZARZA-VEREDA ALV,18,en,209900.0,flat,sale,65.0,True,2,1,calle la Coruña,Madrid,Leganés,Las Dehesillas - Vereda de los Estudiantes,es,40.3192934,-3.7557025,False,https://www.idealista.com/inmueble/108365364/,"HOGARES LEGANÉS pone a la venta en exclusiva este espectacular piso de 65 m² útiles, ideal para quienes buscan confort y funcionalidad en una zona tranquila y bien comunicada de Leganés ¡Listo para entrar a vivir! Se vende acogedor piso exterior de 65 m² en planta baja, en muy buen estado de conservación. La vivienda cuenta con dos dormitorios, ambos con armarios empotrados, un baño completo, aire acondicionado y calefacción individual, lo que garantiza el confort durante todo el año. La propiedad dispone también de trastero, ideal para almacenamiento adicional. Se trata de una vivienda luminosa y funcional, perfecta tanto para parejas como para pequeñas familias o inversión. ¡Una excelente oportunidad para vivir en una zona tranquila con todas las comodidades! Benefíciese de nuestro método de trabajo. Gestionamos la venta de su vivienda, encadenamos todos los plazos, contratos, documentación para escritura pública. Consúltenos sin compromiso. POSIBILIDAD DE HIPOTECAS 100% ESTUDIO DE FINANCIACIÓN GRATUITO CONSÚLTENOS Y CONCIERTE SU VISITA.",False,good,False,True,3229.0,False,False,False,False,[],False,False,209900.0,€,,,,,,flat,,"Las Dehesillas-Vereda de los Estudiantes, Leganés",Piso en calle la Coruña,Destacado,Las Dehesillas-Vereda de los Estudiantes,
108692481,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/eb/31/7f/1352310421.webp,RB20250807CAN,25,bj,275000.0,flat,sale,60.0,True,2,2,avenida de Canillejas a Vicálvaro,Madrid,Madrid,San Blas,es,40.4306716,-3.6102172,False,https://www.idealista.com/inmueble/108692481/,"ESPECTACULAR VIVIENDA AMUEBLADA Y DECORADA DE DISEÑO, FOTOGRAFÍAS REALES, SIN COMISIONES Vivienda con reforma integral a estrenar completamente amueblada y decorada, lista para entrar a vivir o ponerla en rentabilidad. Distribuida en amplio salón con cocina abierta completamente amueblada y equipada con todos los electrodomésticos, dos dormitorios dobles y dos baños completos, uno de ellos en suite. Equipada con aire acondicionado con bomba de calor, calefacción individual por emisores térmicos inteligentes de bajo consumo y alta eficiencia energética, carpintería de aluminio de alto aislamiento, con cristales climalit y sistema oscilobatiente. La vivienda posee doble orientación sureste/suroeste, lo que le proporciona abundante luz natural y una extraordinaria ventilación. Cuenta con acceso directo desde la calle, por lo que disfruta de mucha intimidad e independencia. Amueblada y decorada de diseño, para que no se tenga que preocupar de nada, se encuentra situada en la mejor zona de Las Musas, rodeadas de zonas verdes y próximas al parque semiforestal Metropolitano, con todo tipo de comercios y servicios a su alrededor: tiendas, supermercados, mercado tradicional, farmacias, centros escolares para todos los niveles, polideportivo municipal, biblioteca, etc. Perfectamente comunicada mediante transporte público y privado, acceso a M40 y A2; a de 400 m. de la estación de metro de Las Musas, desde donde puede llegar al mismo centro de Madrid en menos de 15 minutos, varias líneas de autobús incluyendo un servicio nocturno, estación de Bicimad, etc. Zona de fácil aparcamiento y con posibilidad de alquilar o adquirir plazas de garaje. SIN COMISIONES.",False,good,False,False,4583.0,False,False,False,False,[],False,False,275000.0,€,285000.0,10000.0,4.0,,,flat,,"Rosas, Madrid",Piso en avenida de Canillejas a Vicálvaro,Destacado,Rosas,
108129189,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/e8/f9/1334727730.webp,,23,,595000.0,chalet,sale,245.0,,4,2,calle Azor,Madrid,Villanueva de la Cañada,Raya del Palancar - Guadamonte,es,40.4234614,-3.9725292,False,https://www.idealista.com/inmueble/108129189/,"CAPITAL HOME BRUNETE VENDE EN EXCLUSIVA CHALET INDEPENDIENTE EN LA RAYA DEL PALANCAR. Este maravilloso inmueble dispone de 245 m² construidos y 1085 m² de parcela en una de las zonas más tranquilas de Villanueva de la Cañada, situado en la Raya del Palancar. Se distribuye de la siguiente manera: En la planta principal, encontrarás un hall recibidor, el cual conecta con el salón, la cocina y el pasillo, donde están situadas tres habitaciones con armarios empotrados y el baño completo. Cuenta con dos amplias terrazas exteriores de 60 m² aproximadamente, las cuales se pueden cerrar para ampliar fácilmente los espacios de la vivienda. La planta inferior, la cual en origen era un garaje, cuenta con espacio de cocina, salón, baño completo con plato de ducha y zona de dormitorio. La zona exterior dispone de 1085 m² de superficie gráfica con zonas ajardinadas, piscina y porche para los vehículos. La casa perfecta para los amantes de la naturaleza y tranquilidad. No dude en consultarnos cualquier duda y estaremos encantados de mostrarle que esta casa podría ser suya. ¡Le esperamos! DEPARTAMENTO DE FINANCIACION, ASESORAMIENTO PERSONALIZADO GRATUITO.",True,renew,False,,2429.0,False,True,False,False,[],False,False,595000.0,€,,,,True,True,chalet,independantHouse,"Raya del Palancar - Guadamonte, Villanueva de la Cañada",Casa independiente en calle Azor,Destacado,,
108445573,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/31/6a/ef/1345340348.webp,,43,2,1285000.0,flat,sale,135.0,True,3,3,calle del Conde de Peñalver,Madrid,Madrid,Barrio de Salamanca,es,40.4348621,-3.6729964,False,https://www.idealista.com/inmueble/108445573/,"PATIO DE MANZANA CON MUCHA LUZ! : Se vende bonito y acogedor piso, con reforma de diseño efectuada en el año 2022, muy luminoso en una de las zonas más comerciales del emblemático barrio de Salamanca. Se compone de: - Hall de entrada con pasillo distribuidor que tiene un amplio armario empotrado con gran capacidad de almacenaje.  - Cocina completamente acondicionada, con electrodomésticos de alta gama. - Amplio salón comedor con armario para vajillas, dando a un patio de manzana con mucha luz, sin ruidos e intimidad ya que no tiene ningún vecino en frente. Orientación este, sol de mañana, aunque por la tarde también entra mucha luminosidad al reflejar el sol en toda la pared del patio de manzana. Proyector de cine en salón.  - pasillo distribuidor con amplio armario que hace a la vez de zona de lavado con lavadora secadora de un lado y del otro un pequeño trastero.  - Tres dormitorios, el principal en suite, muy amplio, con zona de despacho y de biblioteca de obra, así como armario empotrado de varios cuerpos. El segundo dormitorio, también doble, con zona multiuso para juegos o de trabajo. El tercer dormitorio individual. - Tres cuartos de baño completos con ventana de ventilación.  Aire acondicionado por split  Techos con altura de 3 metros. Ventanas oscilobatientes, con rotura de puente térmico y persianas motorizadas.  Instalación de fibra por cable en toda la casa.  Suelos porcelánicos de gran dureza y calidad.  Dos ascensores, principal y montacargas. Portero físico que vive en la finca.  Gastos de comunidad 300 €, incluida calefacción central y agua caliente.  Edificio de 8 plantas con 4 vivienda por planta, con un gran portal y buenas calidades así como vecindario, al lado de toda clase de servicios, colegios, hospitales, líneas de metro, autobuses, supermercados y toda clase de comercios.  Lista es el barrio más pequeño de los 6 en los que está dividido el Distrito de Salamanca, perteneciente a la capital de España, Madrid. Limita al sur con el barrio de Goya, uno de los más lujosos de la ciudad. El barrio está delimitado por las Calles de Príncipe de Vergara, Don Ramón de la Cruz y por la Calle Francisco Silvela. Al igual que su barrio vecino (Goya) goza de una ubicación y comunicación envidiable y se regocija de ser parte de la llamada “Milla de oro”.  NO DEJE DE VISITAR ESTA FANTASTICA VIVIENDA! . IDEAL PARA FAMILIAS CON O SIN NIÑOS, ASÍ COMO PARA RENTABILIZAR POR LA GRAN DEMANDA DE ALQUILERES EN LA ZONA.",True,good,False,True,9519.0,False,False,False,False,[],False,False,1285000.0,€,,,,,,flat,,"Lista, Madrid",Piso en calle del Conde de Peñalver,Destacado,Lista,
