propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107425340,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/51/a5/1312347055.webp,LCM35158,50,1,1650000.0,flat,sale,250.0,True,5,3,calle del Acuerdo,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.430787,-3.707711,False,https://www.idealista.com/inmueble/107425340/,"¡Descubre una joya en el corazón de Madrid! Este piso de 250 m² ofrece una oportunidad única para aquellos que desean personalizar su hogar en una ubicación inmejorable. Situado en un edificio emblemático de 1975 diseñado por el renombrado arquitecto Fernando Higueras, cuenta con una distribución ideal para reformar a tu gusto. La amplitud de sus espacios, techos altos y abundante luz natural crean un ambiente acogedor y luminoso. Disfruta de dos terrazas privadas perfectas para relajarte o recibir a tus invitados. Además, el piso incluye una plaza de garaje, ascensor y servicio de portería para tu comodidad. La propiedad se encuentra rodeada de una vibrante oferta de ocio, gastronomía, cultura y servicios, con excelente comunicación mediante transporte público. Este piso cuenta con 5 dormitorios, 3 baños, calefacción de gas natural y Aire acondicionado. No dejes pasar esta oportunidad única en el centro de Madrid. ¡Contacta ahora para programar una visita y comienza a imaginar tu nuevo hogar! NOTA: este anuncio no es vinculante; puede contener errores y se muestra a título informativo, no contractual.",True,renew,False,True,6600.0,False,False,False,False,[],False,False,1650000.0,€,True,True,flat,"Malasaña-Universidad, Madrid",Piso en calle del Acuerdo,Destacado,,,,
105960522,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/45/e0/64/1277672203.webp,,28,bj,329000.0,flat,sale,227.0,True,5,4,calle del Mesón de Paredes,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4089326,-3.7028508,False,https://www.idealista.com/inmueble/105960522/,"¡Oportunidad única en el corazón de la ciudad! Presentamos esta vivienda diáfana de 227 m² construidos, repartidos en dos plantas (bajo (135 metros) y sótano (90 metros)), al estar en bruto ofrece un sinfín de posibilidades para diseñar el hogar de tus sueños. Con una excelente ubicación, muy cerca de una de las plazas más importantes de Lavapiés. Tiene tres accesos independientes (desde la calle, el portal y el patio interior), esta propiedad se adapta a todas tus necesidades.  Construida en 1890, la vivienda es apta para personas con movilidad reducida y cuenta con acceso adaptado. Aunque necesita reformas, su orientación garantiza una buena iluminación natural. No dispone de calefacción, pero su clase energética E asegura un consumo moderado. Ideal para quienes buscan un proyecto de renovación con carácter histórico y múltiples opciones de distribución. Se entregaría con el cambio de uso presentado (cumpliendo todos los requisitos) y con posibilidad de empezar la obra de inmediato. ¡No dejes pasar esta oportunidad y ven a visitarla!",False,renew,False,True,1449.0,False,False,False,False,[],False,False,329000.0,€,,,flat,"Lavapiés-Embajadores, Madrid",Piso en calle del Mesón de Paredes,Destacado,,,,
107174806,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f8/68/1b/1305199234.webp,ATC0269,20,5,245000.0,penthouse,sale,15.0,False,1,1,calle de Antonio Grilo,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4223695,-3.7090542,False,https://www.idealista.com/inmueble/107174806/,"IDEAL INVERSORES, PISO EN ALTA RENTABILIDAD 6%, ALQUILADO EN MODALIDAD TEMPORAL 1.200€/MES Este encantador piso abuhardillado, recién reformado y completamente amueblado, está listo para entrar a vivir. Con un diseño moderno y funcional, cuenta con un dormitorio independiente, un baño completo y una cocina totalmente equipada. La vivienda ha sido renovada con materiales de alta calidad, brindando un ambiente cómodo y contemporáneo, ideal para una persona o pareja. Ubicado en el vibrante barrio de Malasaña, a solo unos pasos de la Gran Vía, disfrutarás de la mejor oferta cultural y de ocio de Madrid. Malasaña es famoso por su ambiente bohemio, sus tiendas de diseño, bares de moda y su vida nocturna. Además, la zona está perfectamente comunicada con el resto de la ciudad, lo que te permitirá moverte con facilidad por Madrid. Un lugar único para disfrutar de la esencia de Madrid en una de las zonas más dinámicas y atractivas de la ciudad. Ideal para jóvenes estudiantes que quieran pasar una estancia temporal en la ciudad. ACTUALMENTE ALQUILADO A 1.200€ AL MES HASTA EL 15 DE AGOSTO DE 2025. RENTABILIDAD 5% [IW].",False,good,False,False,16333.0,False,False,False,False,[],False,False,245000.0,€,,,flat,"Malasaña-Universidad, Madrid",Ático en calle de Antonio Grilo,Destacado,penthouse,,,
102673985,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b1/7a/f8/1271505177.webp,CENTRO,29,2,195000.0,flat,sale,110.0,True,4,1,calle Santiago Apóstol,Madrid,Collado Villalba,Carlos Ruiz,es,,40.6298361,-4.0092993,False,https://www.idealista.com/inmueble/102673985/,"CONSULTING 2001 VENDE¡Atención! SE VENDE PISO, 115 m² construidos. Cuenta con 4 dormitorios, un baño completo, amplio salón con terraza y cocina con terraza acristalada.   Muy céntrico y próximo a todos los servicios. El piso se encuentra en una segunda planta exterior sin ascensor en un complejo de pisos cerrado y privado, lo que garantiza la tranquilidad. Con orientación oeste, podrás disfrutar de una  agradable luz natural durante todo el día.  Este piso aunque es para reformar, es perfecto para aquellos que buscan una vivienda espaciosa y bien comunicada. A tan solo 5 minutos andando de la Renfe y con paradas de autobuses cercanas y colegios y ambulatorio en las proximidades.  No lo pienses más y contacta con nosotros. 我们提供中文服务！相关房产信息请咨询DANI，电话： ， Wechat同号。 CONSULTING 2001 Inmobiliaria. GESTION DE VENTAS y ALQUILERES. Comprometidos con nuestro trabajo, contamos con 30 años de experiencia en la compra-venta y alquileres de inmuebles. Trabajamos con seriedad y total transparencia. No cobramos nada a la parte compradora. Nos encargamos de asesorarle en todo el proceso de la operación de compra-venta y gestionamos toda la documentación. No lo dude. Confie solo en profesionales. Si desea mas información nos encontrara en Calle Honorio Lozano nº7 en Collado Villalba, o le visitamos en persona para comodidad suya.",False,renew,False,False,1773.0,False,False,False,False,[],False,False,195000.0,€,,,flat,"Carlos Ruiz, Collado Villalba",Piso en calle Santiago Apóstol,Destacado,,,,
108334403,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/55/fa/1341029242.webp,LCM36541,36,4,622000.0,flat,sale,130.0,True,2,2,calle del Hierro,Madrid,Madrid,Arganzuela,es,Legazpi,40.3893355,-3.6914214,False,https://www.idealista.com/inmueble/108334403/,"Luminoso piso exterior para entrar a vivir calle Hierro  Presentamos esta magnífica vivienda situada en una cuarta planta con ascensor, en una de las zonas más consolidadas y bien comunicadas de Madrid.  La vivienda destaca por su amplitud y distribución. Cuenta con dos dormitorios de generosas dimensiones y dos baños completos, diseñados con acabados actuales y elegantes. El salón-comedor es amplio y luminoso, ideal para el descanso o el entretenimiento, gracias a su disposición exterior que aporta luz natural y una agradable sensación de amplitud. La cocina está equipada con mobiliario moderno y pensada para el uso diario, combinando funcionalidad y diseño. Uno de los grandes valores añadidos de esta propiedad es su sistema de climatización por bomba de frío/calor programable y también suelo radiante que garantiza confort todo el año y un consumo energético eficiente. Además, al tratarse de una vivienda exterior, goza de buena ventilación y luz natural en todas las estancias principales. Ubicado en la calle Hierro, el inmueble se encuentra en un entorno residencial tranquilo, pero con todos los servicios a pocos pasos: transporte público, comercios, zonas verdes, centros educativos y acceso rápido a las principales vías de comunicación. Además la finca cuenta con piscina de verano-invierno. Una opción ideal tanto para quienes buscan su hogar definitivo como para quienes desean invertir en una propiedad de alta calidad y excelente ubicación.",True,good,False,True,4785.0,False,True,False,False,[],False,False,622000.0,€,True,True,flat,"Legazpi, Madrid",Piso en calle del Hierro,Destacado,,,,
107510332,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/4d/c5/1314606117.webp,Jh 3.25,28,3,325000.0,studio,sale,38.0,True,0,1,calle de Rosario Pino,Madrid,Madrid,Tetuán,es,Cuzco-Castillejos,40.463796,-3.69185,False,https://www.idealista.com/inmueble/107510332/,"OPORTUNIDAD DE INVERSION! ,  En extraordinaria zona y con buena rentabilidad. Estudio alquilado en 1070€ de renta al mes, con buen inquilino que paga puntualmente la renta,  Y al que solo le quedan dos años de contrato,  Su renta actual de mercado sería de 1400€ de renta al mes. ¡Descubre una buena oportunidad de inversión, en el corazón de la ciudad!  Mejor que Nuevo. Este espectacular estudio amueblado, recientemente reformado, te ofrece un diseño moderno y elegante con materiales de primera calidad.  Situado en una ubicación inmejorable, en una calle principal de una zona prime, disfrutarás de la comodidad de tener todos los servicios a tu alcance y una excelente comunicación con el resto de la ciudad. Con 38 m² construidos y 35 m² útiles, este espacio ha sido optimizado para ofrecer el máximo confort.  La vivienda, situada en la tercera planta de un buen edificio con ascensor, es completamente exterior y cuenta con una orientación norte-este que garantiza luz natural durante todo el día.  Además, está equipada con calefacción de gas natural y aire acondicionado para asegurar tu bienestar en cualquier estación del año. Construido en 1985, el estudio se encuentra en perfecto estado y es apto para personas con movilidad reducida.  La eficiencia energética es otro de sus puntos fuertes, con una clase A tanto en consumo de energía como en emisiones de CO2. Edificio, portal y zonas comunes representativas, tiene conserje.  No pierdas la oportunidad de vivir en un espacio único que combina estilo, confort y una ubicación privilegiada.  Al lado de los mejores restaurantes, como Xistu, Asador Donostiarra, Casa Juan etc. Muy bien comunicado y al lado de todos los servicios. ¡Ven a visitarlo y enamórate de tu futuro hogar! Mejor ver, interesados llamar a Jaime.",False,good,False,True,8553.0,False,False,False,False,[],False,False,325000.0,€,,,flat,"Cuzco-Castillejos, Madrid",Estudio en calle de Rosario Pino,Destacado,studio,,,
107601422,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/23/cb/b7/1317275193.webp,008473,18,bj,217865.0,flat,sale,65.0,True,2,1,Centro,Madrid,Fuenlabrada,Centro,es,,40.2826941,-3.7913523,False,https://www.idealista.com/inmueble/107601422/,"GESTION 3 te ofrece este piso de 65m² a estrenar, en una ubicación inmejorable, en pleno centro de Fuenlabrada, a tan solo 2 minutos de la Calle La Plaza. Esta vivienda es perfecta para aquellos que buscan comodidad, modernidad y una excelente ubicación. El piso consta de 2 habitaciones luminosas y espaciosas, 1 baño completo con acabados modernos. Cocina americana que integra el salón y optimiza el espacio, ideal para disfrutar de un ambiente abierto y acogedor. Patio particular para disfrutar del aire libre y trastero.  Características destacadas de la vivienda son calefacción por conductos con aire frío y calor, garantizando una temperatura ideal durante el año. Puertas lacadas en blanco, que aportan luminosidad y estilo a cada estancia. Suelos porcelánicos imitación a madera, que ofrecen una estética cálida y moderna. Ventanas abatibles y oscilobatientes, proporcionando una excelente ventilación y aislamiento. EXCELENTES CALIDADES. La vivienda se encuentra rodeada de todos los servicios esenciales: supermercados, Ayuntamiento, juzgados, centro comercial y una variada zona de ocio y restauración.  ¡No dejes pasar esta oportunidad de vivir en el corazón de Fuenlabrada, con todo a tu alcance! Contáctanos y ven a visitar tu nuevo hogar.",False,good,False,False,3352.0,False,False,False,True,[],False,False,217865.0,€,,,flat,"Centro, Fuenlabrada",Piso,Destacado,,,,
107076315,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/f4/9a/1302241044.webp,2563,64,,1400000.0,chalet,sale,601.0,,6,5,calle del Oso,Madrid,Ciudalcampo,,es,,40.6153938,-3.6124154,False,https://www.idealista.com/inmueble/107076315/,"¡Vivienda de lujo estilo Toscano, en la prestigiosa Urbanización Ciudalcampo! Este magnífico hogar de 601m2, repartido en tres plantas, reposa sobre una parcela de 2.803m2 según catastro, ofreciendo un entorno espacioso y luminoso que fusiona elegancia y comodidad. La distribución funcional de la propiedad destaca por sus amplios espacios llenos de luz, con una calefacción por suelo radiante que asegura el confort en todas las estaciones. En la planta principal, un impresionante hall con armarios empotrados conduce a un amplio salón con chimenea y acceso al porche, jardín y zona de piscina. La cocina, muy amplia y equipada, se conecta a otra zona del jardín, mientras que un dormitorio de servicio con baño completo y un cuarto de estar o despacho complementan esta planta. En la primera planta, cinco dormitorios espaciosos con armarios empotrados, tres baños completos y un dormitorio principal con vestidor y baño en suite ofrecen privacidad y confort. Dos dormitorios comparten un baño, mientras que los otros dos tienen acceso a sus respectivas áreas. La planta baja alberga un garaje para tres coches, cuarto de instalaciones, trastero, almacén, dos cuartos de juegos o gimnasio y un baño adicional. La Urbanización Ciudalcampo se sitúa en un entorno natural protegido, ofreciendo vistas impresionantes a la Sierra Norte de Madrid. Perfecta para actividades al aire libre como senderismo, ciclismo y paseos. Con acceso rápido en el Km 28 de la A1 y cercanía al aeropuerto de Madrid Barajas, IFEMA y el Hospital Infanta Sofía, esta zona también alberga servicios excepcionales: colegios internacionales, clubes deportivos, transporte regular a Madrid y un centro comercial. Además, la urbanización cuenta con un sistema de seguridad 24 horas, cámaras y vallado perimetral para brindar tranquilidad y protección a sus residentes. ¡Un hogar de lujo en un entorno privilegiado te espera en Ciudalcampo! Póngase en contacto con nosotros para coordinar una visita.",False,good,False,,2329.0,False,False,False,False,[],False,False,1400000.0,€,True,True,chalet,Ciudalcampo,Casa independiente en calle del Oso,Destacado,independantHouse,1499000.0,99000.0,7.0
108211511,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/53/68/8e/1337247002.webp,5972/899,66,,459000.0,chalet,sale,171.0,,4,3,calle Acuario,Madrid,Parla,Parla Este,es,,40.2266644,-3.7612755,False,https://www.idealista.com/inmueble/108211511/,"REF. 5972/899. Bonito chalet adosado en dos plantas mas solárium, en la zona Parla Este, semi nuevo. La planta principal consta de jardín y porche de entrada, hall distribuidor con armario empotrado, preciosa y amplia cocina amueblada muy luminosa, salón comedor muy espacioso con acceso a porche (con toldos) y jardín trasero donde se encuentra la piscina con zona ajardinada, un dormitorio y un aseo. En la segunda planta situados tres dormitorios muy amplios con armarios empotrados y dos baños completos bastante grandes, uno de ellos en el dormitorio principal con ducha tipo suite. Dos de los dormitorios reformados, han sido ampliados con una antigua terraza. En la ultima planta se encuentra la espectacular azotea con barbacoa hecha de obra, también consta de una casita de madera como trastero. Ideal para chill out. Puerta peatonal y de carruaje, parking para un coche. La vivienda muy amplia y luminosa, buenas calidades, muy bien cuidada, cercana a todos los servicios de primera necesidad. Mejor ver! Ref. 5972/899.",False,good,False,,2684.0,True,False,False,False,[],False,False,459000.0,€,True,True,chalet,"Parla Este, Parla",Chalet adosado en calle Acuario,Destacado,terracedHouse,,,
107694853,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/a1/74/1320039205.webp,LCM35699,33,5,970000.0,flat,sale,142.0,True,3,1,calle de Concepción Jerónima,Madrid,Madrid,Centro,es,Sol,40.4136708,-3.7060381,False,https://www.idealista.com/inmueble/107694853/,"¡Descubre el encanto de vivir en el corazón de Madrid! Este magnífico piso, situado en la emblemática Calle de Concepción Jerónima, te ofrece una oportunidad única de disfrutar de la vida urbana con estilo. Ubicado en la penúltima planta de una elegante finca señorial, esta vivienda exterior destaca por su amplitud y luminosidad, con un gran potencial de reforma para personalizar cada espacio según tus necesidades. Con una superficie generosa de 142 m², el piso cuenta con un amplio recibidor, tres dormitorios, dos salones, cocina independiente y un baño completo. Los techos de 3 metros de altura y la orientación sur garantizan una iluminación natural excepcional, mientras que los grandes ventanales ofrecen vistas espectaculares de la ciudad. La ubicación es inmejorable, a pocos pasos de lugares icónicos como la Plaza Mayor y el Mercado de San Miguel. Además, disfrutarás de un entorno vibrante y lleno de historia, con acceso a todos los servicios y comodidades. Las excelentes conexiones de transporte, con estaciones de metro cercanas y múltiples líneas de autobuses EMT, facilitan el desplazamiento por la ciudad. Y si prefieres el coche, el fácil acceso a la M-30 te permitirá moverte con comodidad. Este edificio del año 1910 cuenta con ascensor y calefacción individual por gas natural, asegurando confort durante todo el año. No pierdas la oportunidad de hacer de este piso tu hogar ideal en Madrid. ¡Ven a visitarlo y déjate enamorar por su encanto único!",False,renew,False,True,6831.0,False,False,False,False,[],False,False,970000.0,€,,,flat,"Sol, Madrid",Piso en calle de Concepción Jerónima,Destacado,,,,
