propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108638365,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/9a/68/1350694138.webp,1,20,2,214990.0,flat,sale,70.0,True,3,1,plaza de Valdehondillo,Madrid,Fuenlabrada,El Arroyo - La Fuente,es,40.2766318,-3.8020054,False,https://www.idealista.com/inmueble/108638365/,"INMOBILIARIA CARRIOLA vende en EXCLUSIVA y SIN COMISIÓN DE VENTA AL COMPRADOR. Bonito piso reformado y listo para entrar a vivir en segunda planta con ASCENSOR. Cuenta con tres dormitorios, dos de ellos con armarios empotrados, baño completo con bañera, amplio salón con salida a la terraza y cocina totalmente equipada. Dispone de aire frío/calor por conductos, calefacción de gas y trastero en la terraza. Situado en una zona tranquila y muy cerca de todos los servicios, tiendas, metro, colegio, etc. DISPONEMOS DE DEPARTAMENTO FINANCIERO PROPIO CON POSIBILIDAD DEL 100x100. WWW. INMOBILIRIACARRIOLA. COM.",False,good,False,True,3071.0,False,False,False,False,[],False,False,214990.0,€,flat,"El Arroyo - La Fuente, Fuenlabrada",Piso en plaza de Valdehondillo,Destacado,,,,,,,,
104840271,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ed/50/cc/1233201903.webp,02492,25,1,1129000.0,flat,sale,115.0,True,3,3,"calle de Don Ramón de la Cruz, 98",Madrid,Madrid,Barrio de Salamanca,es,40.4283713,-3.6704102,True,https://www.idealista.com/inmueble/104840271/,"Ponemos en venta: Espectacular vivienda totalmente reformada, A ESTRENAR, ubicada en una preciosa finca en Calle de Don Ramón de la Cruz, en el BARRIO SALAMANCA, zona Goya. Goya es un barrio señorial del distrito de Salamanca, en Madrid. En este barrio se encuentran edificios de gran importancia, como el Palacio de los Deportes de la Comunidad de Madrid o La Real Casa de La Moneda. El barrio se encuentra limitado por la calle Don Ramón de la Cruz por el norte, la calle Príncipe de Vergara por el oeste, la calle Doctor Esquerdo por el este y la calle O'Donnell por el sur. El inmueble tiene al lado el parque de Eva Duarte y a 8 minutos caminando el Parque del Retiro. Tiene un bonito portal con portero físico, garantizando seguridad y comodidad para ti y tu familia. Con 171 metros cuadrados de espacio habitable y una distribución inteligente y elegante, esta vivienda ofrece una amplia zona de día que incluye una cocina totalmente equipada, ideal para los amantes de la cocina gourmet. Esta vivienda ha sido reformada completamente por el prestigioso equipo de Diseño & Interiorismo ARCTEMPUS, garantizando los más altos estándares de calidad y estilo en cada detalle. El luminoso exterior ofrece dos habitaciones y dos baños, brindando comodidades excepcionales para toda la familia.  Dispone de TRES DORMITORIOS, TRES CUARTOS DE BAÑO, SALÓN, COCINA EQUIPADA, TERRAZA, PLAZA DE GARAJE. La vivienda se queda AMUEBLADA.",False,good,False,True,9817.0,False,False,False,False,[],False,False,1129000.0,€,flat,"Goya, Madrid","Piso en calle de Don Ramón de la Cruz, 98",Destacado,Goya,True,True,,,,,
108780128,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/68/d5/3c/1354909045.webp,LCM37674,47,3,230000.0,flat,sale,59.0,True,3,1,calle San Basilio,Madrid,Madrid,Usera,es,40.3822497,-3.7075559,False,https://www.idealista.com/inmueble/108780128/,"La Casa Agency vende vivienda ubicada en la calle San Basilio, una zona tranquila y bien comunicada de Madrid. La vivienda cuenta con 59 m² construidos y se distribuye actualmente en tres dormitorios, un baño, salón, cocina independiente y una terraza que aporta un espacio exterior muy valorado. Inmueble tercera planta exterior que destaca por su luminosidad natural, gracias a su orientación y altura. El edificio no dispone de ascensor. La vivienda se encuentra para reformar, lo que ofrece una excelente oportunidad para redistribuir los espacios y actualizarla completamente al gusto del comprador. Con un precio de 230.000 €, es una opción ideal tanto para quienes buscan una primera vivienda asequible para personalizar, como para inversores que deseen reformar y revalorizar el inmueble para alquiler o venta. La zona cuenta con todo tipo de servicios a pocos minutos: supermercados, centros educativos, transporte público, zonas verdes, centros de salud y una excelente conexión con las principales vías de acceso a la ciudad. ¡Contáctanos hoy mismo para programar una visita y descubre todo lo que tiene para ofrecer! LA CASA.",False,renew,False,False,3898.0,False,False,False,False,[],False,False,230000.0,€,flat,"Pradolongo, Madrid",Piso en calle San Basilio,Destacado,Pradolongo,,,,,,,
108072675,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/18/25/4b/1332972681.webp,,49,bj,390000.0,flat,sale,60.0,True,1,1,calle del Doctor Esquerdo,Madrid,Madrid,Barrio de Salamanca,es,40.4231637,-3.6705887,False,https://www.idealista.com/inmueble/108072675/,"BARRIO DE GOYA! . Se vende fantástico piso de diseño, totalmente reformado y amueblado con decoración elegante y de calidad. Muy bien situado en el barrio de Goya, entre las calles de Goya y Jorge Juan con metro O, Donnell en la puerta.  Se compone de: - Salón comedor con sofá cama, dos ventanas altas a la calle, que le proporcionan gran luminosidad y patio de uso privativo.  - Dormitorio con cama con canapé de 1,80x2, con ventana alta al exterior. baño completo en suite, con plato de ducha, con salida a patio.  - Cocina independiente totalmente acondicionad, con fuegos a gas, ventana pasa-platos y otra a patio.  Vivienda muy luminosa con 3 ventanas a calle y 5 a dos patios, así como dos puertas de salida a los mismos.  Techos de más de 3mts. con molduras Paredes lisas con lacado satinadas. Puertas lacadas en blanco. Tanto la de la cocina como la del dormitorio son dobles correderas.  Aire acondicionado por split. Radiadores con calefacción individual de gas.  Cuarto trastero en el piso Gastos de comunidad 80 € IBI 480 €. Se da totalmente amueblado, incluido algunos cuadros pintados a mano. No incluye TV y objetos personales. Edificio muy bien situado al lado del metro de O, Donnell, varias líneas de autobuses, frente al Hospital Centro de Especialidades Hermanos García Noblejas.  El barrio se encuentra limitado por la calle Don Ramón de la Cruz por el norte, la calle Príncipe de Vergara por el oeste, la calle Doctor Esquerdo por el este y la calle O'Donnell por el sur. NO DEJE DE VISITAR ESTE FANTÁSTICO PISO!",False,good,False,True,6500.0,False,False,False,False,[],False,False,390000.0,€,flat,"Goya, Madrid",Piso en calle del Doctor Esquerdo,Destacado,Goya,,,,,,,
107830819,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/0e/d1/1326390071.webp,3395-02068,68,2,845000.0,duplex,sale,180.0,True,3,3,Valenoso,Madrid,Boadilla del Monte,Valenoso,es,40.4032369,-3.9066068,False,https://www.idealista.com/inmueble/107830819/,"Descubre este espectacular ático-dúplex CON TRES TERRAZAS, en la exclusiva urbanización ""Jardines de Boadilla"", donde la comodidad y el estilo se fusionan en un entorno privilegiado.  Con tres amplias terrazas, este hogar es perfecto para disfrutar del aire libre y de las vistas. Ubicado en una de las zonas más destacadas de Boadilla del Monte, junto al Sector B, muy cerca del colegio público ""Teresa Berganza"", el colegio ""Quercus"" y el ""Hélade"". Paseando, llegamos a la zona de ocio de ""Infante Don Luis"". Los comercios zonales ofrecen un amplio abanico de opciones gastronómicas, culturales, de moda y decoración.  La urbanización cuenta con zonas comunes ajardinadas, piscina y pistas de pádel, gimnasio, sala de celebraciones, ideales para disfrutar niños y adultos. La distribución comienza en la planta principal. El hall de entrada, con gran armario empotrado, da acceso a un amplio salón-comedor. Esta planta, cede el protagonismo a la inmensa terraza que recorre toda la fachada del salón y la cocina, con salida directa desde ambas, un área de disfrute de aire libre y estupendas vistas. Toldos motorizados con sensor de viento, perfectos para suavizar el sol en días de verano, haciendo de esta zona, un lugar apto para comidas, cenas o cualquier celebración. Cocina independiente, completamente equipada, zona de office y salida directa a la terraza.  Un espacioso dormitorio, en suite, con armarios empotrados. Cuarto de baño amplio, moderno, con ducha. Esta planta dispone de un aseo de cortesía, adicional. Comunica sus dos alturas por escalera en dos tramos que desemboca en una de las dos terrazas que completan la vivienda.  A continuación, nos encontramos una estancia diáfana que en origen, fueron DOS dormitorios y, en la actualidad, se ha transformado en UN dormitorio, retirando el muro de separación pero, respetando accesos de puertas y ventanales originales (disponemos del plano original con la separación entre dormitorios). Cuarto de baño adicional, con ducha. Las dos terrazas cubiertas, hacen ventilación cruzada y se caracterizan por los cerramientos instalados a posteriori, con lamas abatibles en el techo de apertura y cierre automático, e iluminación incorporada, adecuando ambas estancias para destinarse como dormitorio despacho, sala de relax, etc..., gracias a la excelente estanqueidad y aislamiento conseguidos, pudiendo utilizarse tanto en invierno como en verano. La calefacción por gas natural y el aire acondicionado en todas las estancias aseguran un clima agradable en cualquier temporada.  Por último, DOS plazas de garaje, así como un gran trastero, incluidos en el precio. La reserva del inmueble sólo se producirá después de que una propuesta de compra haya sido expresamente aceptada por el vendedor. El precio publicado NO incluye los impuestos y gastos derivados de la transmisión.",True,good,False,True,4694.0,True,False,True,False,[],False,False,845000.0,€,flat,"Valenoso, Boadilla del Monte",Dúplex,Destacado,,True,True,duplex,,,,
108790638,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/3d/a4/1355209492.webp,,21,1,260000.0,flat,sale,50.0,True,2,1,calle del Puerto de Maspalomas,Madrid,Madrid,Fuencarral,es,40.4778688,-3.7149318,False,https://www.idealista.com/inmueble/108790638/,"Agencia inmobiliaria de MADRID - zona Avenida de la Ilustración - Barrio del Pilar - Peñagrande - Oficina Tecnocasa. Inmueble en catastro con uso de vivienda, en registro de la propiedad despacho comercial en venta de 50m² compuesta por dos dormitorio, un baño completo con plato de ducha reformado, cocina y salón. La finca dispone de portero físico y ascensor. Buenos accesos desde la m-30 a 500m, la Av. Cardenal Herrera Oria a 200m, y el metro línea 7 (Avenida de la ilustración ) a 250m, multitud de líneas de autobús en la calle de Fermín Caballero, cercano al Centro comercial La Vaguada, a colegios y hospitales. '. Financiación de hasta el 100% con nuestro departamento financiero, Kíron. Asesoramiento gratuito y sin compromiso, no dude en consultarnos. Visítenos también en nuestras redes sociales para más información: Facebook: Tecnocasa Estudio Isla de Arosa. @tecnocasaisladearosa Instagram: tecnocasa_isla_arosa. TECNOCASA, 30 años a su servicio, ¡Gracias por su confianza! . ¡Contáctanos ya! Agente inmobiliario inscrito en el RAIN Nº 000159/18.",False,renew,False,True,5200.0,False,False,False,False,[],False,False,260000.0,€,flat,"Pilar, Madrid",Piso en calle del Puerto de Maspalomas,Destacado,Pilar,,,,,,,
108575392,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/69/c6/19/1348892880.webp,SU-5471,61,2,209999.0,flat,sale,96.0,True,3,1,calle Jaime I el Conquistador,Madrid,Parla,Reyes,es,40.236158,-3.7663917,False,https://www.idealista.com/inmueble/108575392/,"!EMPIRE REAL ESTATE PROPERTIES VENDE MAGNIFICA VIVIENDA EN PARLA! ¡Bienvenido al encantador piso en Parla, ubicado en la codiciada zona de Reyes, donde la comodidad y la luminosidad se fusionan en un hogar lleno de encanto y carácter! Este segundo piso, con sus generosos 80 metros cuadrados útiles, ofrece un santuario acogedor para ti y tu familia. Al adentrarte en este espacio, un cómodo hall te da la bienvenida, invitándote a explorar cada rincón con anticipación y emoción. Desde el primer paso, te encuentras inmerso en una atmósfera de calidez y serenidad que se extiende por toda la vivienda. El corazón de esta vivienda es su salón independiente, un refugio luminoso que invita a la relajación y la convivencia. Sus amplios ventanales se abren a una encantadora terraza, inundando el espacio con luz natural y brindando vistas serenas del entorno. Aquí, podrás disfrutar de momentos memorables con tus seres queridos o simplemente contemplar el mundo pasar en paz. La cocina, amueblada con gran funcionalidad, es un espacio donde la creatividad culinaria cobra vida. Equipada con todo lo necesario para satisfacer tus necesidades gastronómicas, incluyendo una zona de lavandería conveniente, te invita a explorar nuevos sabores y experimentar con deliciosos platos para deleitar a tus invitados y a ti mismo. Las tres habitaciones, cada una con su propia personalidad y encanto, ofrecen un refugio íntimo y tranquilo al final de cada día. Con una luminosidad excepcional que ilumina cada rincón, estas habitaciones proporcionan el espacio perfecto para descansar, relajarse y recargar energías. Una de ellas cuenta con un armario empotrado, brindando un espacio adicional para organizar y almacenar tus pertenencias con facilidad y estilo. La vivienda incluye un trastero, un tesoro escondido que añade una capa adicional de practicidad y funcionalidad a tu vida diaria. Aquí, podrás guardar tus objetos preciados de manera segura y ordenada, liberando espacio en tu hogar para que pueda brillar en todo su esplendor. Para tu comodidad y confort, la vivienda cuenta con calefacción individual de gas natural, asegurando un ambiente acogedor y agradable durante los meses más fríos del año. Los suelos de parquet añaden una sensación de calidez y elegancia a cada paso, mientras que las ventanas dobles de aluminio proporcionan aislamiento acústico y térmico, creando un ambiente tranquilo y sereno en todo momento. Además, el servicio de agua está incluido en la comunidad, eliminando preocupaciones innecesarias y proporcionándote una experiencia de vida sin complicaciones. En resumen, este piso en Parla es mucho más que una simple vivienda; es un refugio acogedor donde tus sueños y aspiraciones encuentran un hogar. Con su diseño cuidadosamente planificado, sus espacios luminosos y su ambiente tranquilo, esta morada promete ser el escenario perfecto para crear recuerdos inolvidables y disfrutar de la vida al máximo. ¡Es tu oportunidad de vivir en un lugar donde cada día se convierte en una aventura emocionante y llena de posibilidades! FINANCIACION A TU MEDIDA, FINANCIAMOS HASTA EL 100% DEL VALOR. ¡VEN A VISITAR TU VIVIENDA!",False,good,False,True,2187.0,False,False,False,False,[],False,False,209999.0,€,flat,"Reyes, Parla",Piso en calle Jaime i el Conquistador,Destacado,,,,,,,,
107076315,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/f4/9a/1302241044.webp,2563,64,,1400000.0,chalet,sale,601.0,,6,5,calle del Oso,Madrid,Ciudalcampo,,es,40.6153938,-3.6124154,False,https://www.idealista.com/inmueble/107076315/,"¡Vivienda de lujo estilo Toscano, en la prestigiosa Urbanización Ciudalcampo! Este magnífico hogar de 601m2, repartido en tres plantas, reposa sobre una parcela de 2.803m2 según catastro, ofreciendo un entorno espacioso y luminoso que fusiona elegancia y comodidad. La distribución funcional de la propiedad destaca por sus amplios espacios llenos de luz, con una calefacción por suelo radiante que asegura el confort en todas las estaciones. En la planta principal, un impresionante hall con armarios empotrados conduce a un amplio salón con chimenea y acceso al porche, jardín y zona de piscina. La cocina, muy amplia y equipada, se conecta a otra zona del jardín, mientras que un dormitorio de servicio con baño completo y un cuarto de estar o despacho complementan esta planta. En la primera planta, cinco dormitorios espaciosos con armarios empotrados, tres baños completos y un dormitorio principal con vestidor y baño en suite ofrecen privacidad y confort. Dos dormitorios comparten un baño, mientras que los otros dos tienen acceso a sus respectivas áreas. La planta baja alberga un garaje para tres coches, cuarto de instalaciones, trastero, almacén, dos cuartos de juegos o gimnasio y un baño adicional. La Urbanización Ciudalcampo se sitúa en un entorno natural protegido, ofreciendo vistas impresionantes a la Sierra Norte de Madrid. Perfecta para actividades al aire libre como senderismo, ciclismo y paseos. Con acceso rápido en el Km 28 de la A1 y cercanía al aeropuerto de Madrid Barajas, IFEMA y el Hospital Infanta Sofía, esta zona también alberga servicios excepcionales: colegios internacionales, clubes deportivos, transporte regular a Madrid y un centro comercial. Además, la urbanización cuenta con un sistema de seguridad 24 horas, cámaras y vallado perimetral para brindar tranquilidad y protección a sus residentes. ¡Un hogar de lujo en un entorno privilegiado te espera en Ciudalcampo! Póngase en contacto con nosotros para coordinar una visita.",False,good,False,,2329.0,False,False,False,False,[],False,False,1400000.0,€,chalet,Ciudalcampo,Casa independiente en calle del Oso,Destacado,,True,True,independantHouse,1499000.0,99000.0,7.0,
108187343,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/84/7c/a3/1342160223.webp,3389 R,67,,1800000.0,chalet,sale,435.0,,7,5,Barrio Yucatán- Las Cornisas,Madrid,Las Rozas de Madrid,Yucatán- Las Cornisas,es,40.4804395,-3.8593026,False,https://www.idealista.com/inmueble/108187343/,"Exclusivo chalet independiente en Las Rozas de Madrid ¿Buscas vivir rodeado de tranquilidad, espacio y naturaleza sin renunciar a la comodidad y cercanía a Madrid? Este estupendo chalet independiente en la prestigiosa zona de La Cornisa, en Las Rozas de Madrid, es la oportunidad que estabas esperando. Construido en 1988 sobre una amplia parcela de 1.450 m², este inmueble destaca por su cuidado jardín con distintos diseños paisajísticos y una magnífica piscina privada que convierten cada día en una experiencia de relax y confort. Con 450 m² construidos distribuidos en dos cómodas plantas, la vivienda ofrece una funcional y completa distribución: Planta principal: •Gran salón con chimenea y zona de comedor independiente •Aseo de cortesía •Despacho •Dormitorio principal en suite con vestidor y baño •Cocina-office con zona de comedor •Lavadero •Zona de servicio •Garaje privado para 2 coches. Planta superior: •Acogedor y espacioso salón de verano muy luminoso. •4 amplios dormitorios dobles (2 de ellos con baño en suite) •Segundo despacho ideal para teletrabajo o estudio. Entre sus comodidades, destaca el sistema de calefacción por suelo radiante mediante gas natural, que proporciona una climatización eficiente y agradable durante todo el año. Ubicación inmejorable, en una de las zonas más demandadas de Las Rozas, con excelente comunicación con Madrid tanto por carretera (A-6, M-50) a la que se accede en 2 minutos por la vía de servicio, como por transporte público (cercanías, autobuses). A escasos minutos de centros comerciales, colegios, zonas deportivas y todos los servicios necesarios para el día a día. Una propiedad única que combina espacio, privacidad, diseño y ubicación. ¡Ven a visitarla y enamórate!",True,good,False,,4138.0,True,False,False,False,[],False,False,1800000.0,€,chalet,"Yucatán- Las Cornisas, Las Rozas de Madrid",Casa independiente,Destacado,Yucatán- Las Cornisas,True,True,independantHouse,,,,
108478863,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/e1/c3/1346151158.webp,LCM37204,59,4,249000.0,flat,sale,74.0,True,3,1,avenida de San Diego,Madrid,Madrid,Puente de Vallecas,es,40.3897129,-3.6707946,False,https://www.idealista.com/inmueble/108478863/,"¡Oportunidad en la Avenida de San Diego, en el barrio de Palomeras Bajas! Presentamos esta vivienda ubicada en una cuarta planta exterior (sin ascensor), con una superficie construida de 74 m² y una distribución muy bien aprovechada que permite disfrutar de cada rincón del hogar. La propiedad se encuentra en buen estado, lista para entrar a vivir o actualizar al gusto del nuevo propietario. Cuenta con tres dormitorios, lo que la hace ideal tanto para familias como para quienes necesitan espacios adicionales para teletrabajo, estudio o almacenamiento. El salón es luminoso, con luz natural gran parte del día gracias a su orientación exterior. La cocina, funcional y de buen tamaño, ofrece múltiples posibilidades de reforma. El baño está completo y en condiciones óptimas. Uno de los puntos fuertes de esta vivienda es su distribución: práctica, sin apenas pasillos y con una clara separación entre la zona de descanso y las zonas comunes. Además, dispone de calefacción individual por gas natural, lo que garantiza un ambiente confortable durante todo el año. La ubicación es otro de los grandes atractivos de esta propiedad. Situada en el barrio de San Diego, una zona consolidada y con vida de barrio, a tan solo 10 minutos a pie de la estación de Cercanías Asamblea de Madrid-Entrevías, lo que asegura una excelente conexión con el resto de la ciudad. En las inmediaciones se encuentran todo tipo de servicios: supermercados, centros educativos, comercios, zonas verdes y una variada oferta de ocio y restauración. Una vivienda luminosa, funcional y bien ubicada, con muchas posibilidades tanto como residencia habitual como inversión. ¡No dejes pasar esta oportunidad y ven a visitarla!",False,good,False,False,3365.0,False,False,False,False,[],False,False,249000.0,€,flat,"San Diego, Madrid",Piso en avenida de San Diego,Destacado,San Diego,,,,,,,
