propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
106810110,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5b/ba/47/1351152101.webp,RP1442024133065,17,1,280000.0,flat,sale,85.0,True,1,2,Barrio Europolis,Madrid,Las Rozas de Madrid,Europolis,es,Europolis,40.5039465,-3.8963511,False,https://www.idealista.com/inmueble/106810110/,"EL PISO ESTÁ ALQUILADO. El inmueble incluye un salón amplio y muy luminoso, con acceso a un patio de 12 m², un baño completo, una zona de almacenaje y una plaza de garaje. Además, cuenta con puerta de seguridad, aire acondicionado (bomba de frío/calor) y ventanas climalit. La urbanización ofrece múltiples servicios como ascensores, cámaras de seguridad, portero con videovigilancia las 24 horas, luces LED de bajo consumo, gimnasio, pádel y piscina.  La ubicación es excelente, en EUROPOLIS, cerca de todos los servicios como bares, restaurantes, farmacias, gimnasios, centros médicos, bancos, teatros, museos y colegios. A tan solo unos minutos a pie de El Pueblo de Las Rozas, comercios y centros comerciales.  ¡Aproveche esta oportunidad con rentabilidad asegurada! Llame para más información.",False,good,False,True,3294.0,True,False,False,False,[],False,False,280000.0,€,True,True,flat,"Europolis, Las Rozas de Madrid",Piso,Destacado,,,,,
108886108,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cf/c7/f7/1357945090.webp,RP192025140269,34,5,430000.0,flat,sale,99.0,True,3,2,Barrio Parque Lisboa - La Paz,Madrid,Alcorcón,Parque Lisboa - La Paz,es,Parque Lisboa - La Paz,40.3471966,-3.8112513,False,https://www.idealista.com/inmueble/108886108/,"REDPISO ONDARRETA comercializa fantástica vivienda en venta de 3 dormitorios, 2 baños, con plaza de garaje y trastero en zona Timanfaya/ Libertad en urbanización cerrada con piscina, pistas de pádel, zonas verdes y vigilancia 24 hrs. Ubicada en 5ª planta de 7 alturas con orientación noreste, la propiedad cuenta con una distribución clásica de la zona: cómodo recibidor que da paso a la cocina con tendedero cerrado, salón-comedor muy luminoso con acceso a terraza con vistas al exterior de la urbanización. Pasillo distribuidor donde nos encontramos con 2 de los dormitorios con armario empotrado y un baño completo y al final del pasillo tenemos la habitación principal con zona de vestidor y baño en suite. Vivienda muy luminosa gracias a su altura y su orientación exterior. La urbanización ofrece un entorno seguro y cómodo con servicio de conserjería y vigilancia 24 horas, piscina comunitaria, pistas de pádel y zonas verdes. Además, el inmueble se vende con plaza de garaje y trastero dentro de la misma finca con fácil acceso. La situación de la vivienda es inmejorable dada su cercanía y proximidad al transporte público como metro Joaquín Vilumbrales y Puerta del Sur L10 a 200m y paradas de autobús directos a Madrid, Mostoles, Leganés y circular de Alcorcón. Zona cómoda y confortable rodeada por grandes parques infantiles, colegios, institutos, zonas verdes y por supuesto pequeños y grandes comercios. ``Redpiso, tu hogar nuestro compromiso´´ Financiación hasta el 100% El precio no incluye el Impuesto de Transmisiones Patrimoniales (max. 6% sobre el precio de venta o del valor del inmueble que marque la Comunidad de Madrid), ni el 3% más IVA (21%) sobre el precio final del inmueble equivalente a los honorarios del comprador por la intermediación inmobiliaria, ni los gastos notariales y/o registrales (según el caso).",False,good,False,True,4343.0,False,False,False,False,[],False,False,430000.0,€,True,True,flat,"Parque Lisboa - La Paz, Alcorcón",Piso,Destacado,,,,,
108151506,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/11/b3/b7/1335399679.webp,7067BS,21,1,199900.0,flat,sale,66.0,True,3,1,Juan de la Cierva,Madrid,Getafe,Juan de la Cierva,es,,40.3099442,-3.7151867,False,https://www.idealista.com/inmueble/108151506/,"C. R. HOMES INMOBILIARIA vende piso de 66 m2 con 3 DORMITORIOS y BAÑO, en Getafe– Juan de la Cierva. Vivienda REFORMADA, totalmente EXTERIOR, de 66 m2, muy LUMINOSA, compuesta de 3 DORMITORIOS, amplio salón-comedor con AIRE ACONDICIONADO, cocina amueblada y equipada con acceso a tendedero, y baño completo con plato de ducha y toallero calefactable. La vivienda cuenta con las siguientes calidades, ventanas CLIMALIT, suelos de GRES, puertas de ROBLE macizas, calefacción independiente de GAS NATURAL y AIRE ACONDICIONADO. Gastos comunitarios: 40€/mes IBI: 200€ En cuanto a la ubicación, se encuentra cercana a colegio Doctor Severo Ochoa, centro de salud Los Ángeles, farmacias, supermercado, paradas de autobuses y a escasos 5 minutos del Metro de Juan de la Cierva. ¡PERFECTO PARA ENTRAR A VIVIR! ¡APROVECHE LA OPORTUNIDAD! Gestionamos su compra de vivienda y podemos gestionar su financiación, le ofreceremos un abanico de posibilidades de financiación de entre las cuales podrá elegir la que mejor se adapte a sus necesidades. No tendrá que preocuparse de nada, nos encargamos de toda la tramitación. SOLICITE INFORMACIÓN SIN COMPROMISO. También podemos atenderle presencialmente en nuestras oficinas: C. R. HOMES en GETAFE en Avenida de España 13 TLF  ESTAREMOS ENCANTADOS DE ATENDERLE. C. R. HOMES INMOBILIARIA 出售位于赫塔菲 – 胡安德拉谢尔瓦的 66 平方米公寓，带有 3 间卧室和浴室、电梯、游泳池、2 个停车位和储藏室。 经过翻新，外部完全翻新，66 平方米，非常明亮的住宅，包括 3 间卧室、带空调的宽敞客厅-饭厅、带晾衣绳的设备齐全的厨房以及带淋浴和加热毛巾架的完整浴室。 该住宅具有以下特点：CLIMALIT 窗户、GRES 地板、实心橡木门、独立天然气供暖和空调。.",False,good,False,False,3029.0,False,False,False,False,[],False,False,199900.0,€,,,flat,"Juan de la Cierva, Getafe",Piso,Destacado,,,,,
108168349,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/3d/5c/1335995162.webp,OM77 - SORAYA,22,3,2600000.0,flat,sale,250.0,True,2,2,Gran Vía,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4192951,-3.6954817,False,https://www.idealista.com/inmueble/108168349/,"Consta de 258 m², en una 3aª planta. Con grandes ventanales, totalmente equipado, una ubicación excelente, Diseño y calidad de vida en un entorno único. Se distribuye en un amplio hall recibidor con armarios empotrados, un gran salón con comedor, un aseo, una cocina con electrodomésticos de bajo consumo triple A, una zona de servicio, lavandería y despensa. Tiene 2 dormitorios con baño en suite. Desde el salón se pueden disfrutar de unas vistas privilegiadas a GRAN VÍA Todos los dormitorios tienen espacio de almacenaje y vestidor. Una gran oportunidad, con todos los servicios en la puerta. Listo para entrar a vivir. Una vivienda de lujo con licencia airbnb. Actualmente proporciona mas de un 15% de rentabilidad. Orientación sureste recibe luz durante todo el día. Tiene espacios muy amplios con grandes posibilidades de distribución. Es exterior, muy luminosa, con techos altos, molduras originales y frisos. La fachada del edificio está muy cuidada. El portal tiene ascensor y portero. Espectacular edificio señorial. INVERSIÓN actualmente proporciona un 15% de rentabilidad. Ubicación inmejorable. Próximo a calle Alcalá. Espectacular comunicación con transporte: Autobuses: 146 Colegios: Santa Isabel, y La Merced, Centro comercial Galería. Farmacia a escasos metros. Centro de salud en Gran Vía. Biblioteca pública municipal del Retiro. Parque del Retiro. Todos los servicios en la puerta para ir andando. Es una casa preciosa y decorada con mucho gusto. Sin duda, es una oportunidad para vivir y disfrutar en un barrio residencial, familiar y muy tranquilo cerca del centro de Madrid. Disponemos de las llaves de la propiedad. Puedes ponerte en contacto para consultar la disponibilidad de las visitas. NO COBRAMOS HONORARIOS AL COMPRADOR. Negociación flexible y con la propiedad. Disponible la propiedad a partir de Septiembre. Utande Real Estate es una sociedad de inversión inmobiliaria nacional e internacional. Colaboramos con más de 1.500 agencias inmobiliarias en todo el mundo. Te asesoramos jurídicamente y te ofrecemos la mayor rentabilidad financiero-fiscal. Este anuncio es solo orientativo y no está sujeto a ningún compromiso establecido. Te ayudamos a conseguir tu HIPOTECA hasta un 100% de la financiación. Te ayudamos a REFORMAR tu vivienda y te enviamos presupuesto en 48h. Atendemos también vía WhatsApp.",False,good,False,True,10400.0,False,False,False,False,[],False,False,2600000.0,€,,,flat,"Chueca-Justicia, Madrid",Piso en Gran Vía,Destacado,,,,,
108268822,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/ff/2c/1339058615.webp,V14482.1,10,,1240000.0,chalet,sale,302.0,,3,4,Barrio Marazuela- El Torreón,Madrid,Las Rozas de Madrid,Marazuela- El Torreón,es,Marazuela- El Torreón,40.4941818,-3.8647287,False,https://www.idealista.com/inmueble/108268822/,"LAS ROZAS DE MADRID, MARAZUELA - EL TORREÓN- OBRA NUEVA ESPECTACULAR CHALET ADOSADO EXCLUSIVO DE DISEÑO DE ESQUINA con 302 m² construidos divididos en 3 plantas, sobre una parcela de 288 m2. Accedemos a la vivienda por la planta de acceso a través de un hall exterior con jardín delantero. Al entrar nos encontramos con un amplio recibidor, 1 dormitorio con armarios empotrados vestidos, 1 baño completo, cocina independiente, espectacular salón-comedor con acceso a impresionante terraza exterior que accede al jardín trasero y estupenda piscina privada. A la planta superior accedemos por las escaleras desde el recibidor, que dan a un distribuidor, por el cual se accede al dormitorio principal, en suite con zona de vestidor integrada y salida a una terraza exterior amplia y 2 dormitorios adicionales con armarios empotrados vestidos, todos en suite, con 1 baño completo incorporado y una segunda terraza, de la cual se accede desde uno de los dormitorios secundarios. La planta sótano consta de un garaje con capacidad para 3 vehículos, 1 lavadero independiente, 1 baño completo y 1 trastero grande. La vivienda cuenta con acabados de lujo de primeras calidades. La calefacción cuenta con lo más novedoso en energías renovables, ya que ésta va por aerotermia y paneles fotovoltaicos. Se trata de un chalet único disponible de este tipo en construcción en una de las mejores zonas de Las Rozas. Excelente ubicación, próximo a la estación de Renfe a 3 min. caminando.",False,good,False,,4106.0,True,False,False,False,[],False,False,1240000.0,€,True,True,chalet,"Marazuela- El Torreón, Las Rozas de Madrid",Chalet adosado,Destacado,terracedHouse,,,,
108601766,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/07/4d/1349666709.webp,RP1732025139190,36,,550000.0,chalet,sale,240.0,,3,2,Sector 3,Madrid,Getafe,Sector 3,es,,40.2873016,-3.7495715,False,https://www.idealista.com/inmueble/108601766/,"Redpiso Getafe Sector 3 vende estupendo chalet adosado en Sector 3.  Dispone de 240 m2 de superficie construida, distribuidos en 4 plantas. En planta principal encontramos un amplio salón independiente con salida a patio trasero de 42 m2, cocina reformada con office, baño con plato de ducha y amplio garaje de 23 m2.  La primera planta compuesta por 3 dormitorios (antes 4), baño completo con plato de ducha, terraza cerrada y balcón exterior. Todos los dormitorios cuentan con amplios armarios empotrados. Buhardilla diáfana y acondicionada de 24 m2, con amplios maleteros, dos ventanas una de ella velux y otra lateral de Climalit.  Dispone de un magnifico sótano diáfano y acondicionado de 66 m2.  Toda la vivienda dispone de calefacción y agua caliente de gas natural, aire acondicionado frío y calor en los dormitorios y en el salón. Cuenta con suelos de gres y tarima, paredes en liso, doble ventanas de aluminio gris con mosquiteras, puertas de roble, puerta principal blindada y puerta del garaje automática.  La vivienda se encuentra en muy buen estado, perfecta para entrar a vivir. Muy bien comunicado, al lado de la autovía, M50 y A42, Metro Sur Conservatorio, autobuses urbanos e interurbanos. Cerca de CC. Getafe 3 y Mercadona.  Si desea visitar la vivienda, no dude en contactar con nosotros para concretar una cita sin ningún compromiso.",False,good,False,,2292.0,True,False,False,False,[],False,False,550000.0,€,,,chalet,"Sector 3, Getafe",Chalet adosado,Destacado,terracedHouse,,,,
108435474,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/03/fb/69/1344791165.webp,RP1692025138681,38,3,440000.0,flat,sale,111.0,False,4,2,Barrio Valderas - Los Castillos,Madrid,Alcorcón,Valderas - Los Castillos,es,Valderas - Los Castillos,40.3523636,-3.7985895,False,https://www.idealista.com/inmueble/108435474/,"Buscas un hogar amplio, luminoso y en un entorno privilegiado? Este hermoso piso de 111 metros cuadrados te ofrece justo eso y mucho más.  El salón, independiente y espacioso, invita a relajarse o compartir momentos con familia y amigos. Desde aquí, puedes acceder a una pequeña terracita alargada. La cocina, moderna y funcional, cuenta con un tendedero que facilita las tareas diarias y mantiene todo ordenado. El hogar dispone de cuatro dormitorios con aire acondicionado, ideales para adaptarse a tus necesidades, ya sea como habitaciones, oficina o espacio de ocio. El dormitorio principal destaca por su baño en suite, brindando un rincón de privacidad y confort. Ubicado en una urbanización privada, el edificio ofrece la tranquilidad y seguridad que buscas, además de contar con una piscina para refrescarse en los días calurosos y zonas verdes para pasear o jugar. Contando también con dos amplios tendederos comunitarios. Además, el piso incluye un trastero para guardar todo lo que necesites y una plaza de garaje en una urbanización cercana, facilitando tu día a día. Este es el hogar perfecto para quienes desean vivir en un entorno cómodo, seguro y rodeado de servicios. ¡No dudes en contactarnos para descubrirlo en persona y hacer de este piso tu nuevo hogar! Cuenta con todos los servicios, muy cerca de metro Joaquín Vilumbrales (L10), autobuses 514 a Madrid Príncipe Pio, y 520 hacia Móstoles. Financiamos hasta el 100%. Redpiso ""tu hogar, nuestro compromiso"". *El precio no incluye el Impuesto de Transmisiones Patrimoniales (Max. 6% sobre el precio de venta o del valor del inmueble que marque la Comunidad de Madrid), ni el 3% más IVA (21%) sobre el precio final del inmueble equivalente a los honorarios del comprador por la intermediación inmobiliaria, ni los gastos notariales y/o registrales (según el caso). Ubicación aproximada. ¡No dejes pasar esta oportunidad! Ven a visitarlo y enamórate de tu futuro hogar.  Ubicación aproximada.",False,good,False,True,3964.0,False,False,False,False,[],False,False,440000.0,€,True,True,flat,"Valderas - Los Castillos, Alcorcón",Piso,Destacado,,450000.0,10000.0,2.0,
108444580,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/47/d8/1345066197.webp,7071PJ,24,1,354000.0,flat,sale,120.0,True,3,2,Getafe norte,Madrid,Getafe,Getafe norte,es,,40.3275283,-3.7211638,False,https://www.idealista.com/inmueble/108444580/,"C. R. HOMES INMOBILIARIA vende piso de 121m2, con 3 DORMITORIOS y 2 BAÑOS, en edificio CON ASCENSOR y PLAZA DE GARAJE en GETAFE- ZONA GETAFE NORTE. Se trata de una vivienda EXTERIOR muy luminosa de 121m2 con 3 DORMITORIOS, GRAN SALÓN-COMEDOR INDEPENDIENTE de con mucha iluminación, cuenta con las siguientes calidades: calefacción individual de GAS NATURAL, 3 AIRES ACONDICIONADOS en salón y dormitorios, suelo de gres, ARMARIOS EMPOTRADOS, puertas macizas, ventanas de CLIMALIT. Se encuentra a 5 minutos andando del metro los ESPARTALES LINEA-12 de metro con conexión a una parada con la parada de METRO LINEA-12 y RENFE el CASAR LINEA C3 de RENFE y a las salidas A42 Y M45 CON CONEXIÓN A LA M-40 y A-4. ¡APROVECHE LA OPORTUNIDAD! Le ofreceremos un abanico de posibilidades de financiación entre las que podrá elegir la que mejor se adapte a sus necesidades. No tendrá que preocuparse de nada, nos encargamos de toda la tramitación. También podemos atenderle presencialmente en nuestras oficinas: C. R. HOMES en GETAFE en Avenida de España 13 TLF  ESTAREMOS ENCANTADOS DE ATENDERLE. C. R. HOMES INMOBILIARIA 正在出售一套 121 平方米的公寓，该公寓位于赫塔菲北部赫塔菲区一栋带电梯和停车位的大楼内，内设 3 间卧室和 2 间浴室。 这套 121 平方米的公寓采光极佳，朝外，设有 3 间卧室、宽敞明亮的独立客厅和餐厅。公寓配备以下设施：独立天然气供暖、客厅和卧室各 3 台空调、瓷砖地板、嵌入式衣柜、实木门和双层玻璃窗。.",False,good,False,True,2950.0,False,False,False,False,[],False,False,354000.0,€,True,True,flat,"Getafe norte, Getafe",Piso,Destacado,,,,,
108161433,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/82/f5/b9/1358450139.webp,RP1032025134290,35,,195000.0,chalet,sale,270.0,,6,1,Torres de la Alameda,Madrid,Torres de la Alameda,,es,,40.4065884,-3.3612157,False,https://www.idealista.com/inmueble/108161433/,"¡GRAN OPORTUNIDAD! DOS VIVIENDAS EN UNA – 270 m² DE ESPACIO Y POSIBILIDADES Redpiso Sureste pone a la venta esta excelente oportunidad: Dos viviendas en una, con una superficie total de 270 m², perfectas para familias grandes, inversión o para personalizar según tus necesidades. Características generales: 6 habitaciones amplias  1 baños 2 salones 1 cocinas Patio Buhardilla Trastero Situadas en una zona tranquila, cerca de todos los servicios: Supermecados,   Paradas de autobús | Fácil acceso m220, m224, m225 y cerca a la plaza del pueblo. Una de las viviendas está en buen estado y lista para habitar, la otra requiere reformas, ideal para adaptarla a tu gusto o como proyecto de inversión. Financiación hasta el 100% A través de nuestro Departamento Financiero DCredit Asesoramiento gratuito y sin compromiso. Más inmuebles en: Contacto: Alex – *-.",False,renew,False,,722.0,False,False,False,False,[],False,False,195000.0,€,,,chalet,Torres de la Alameda,Casa independiente,Destacado,independantHouse,,,,
108455884,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/61/e6/ed/1345432838.webp,RP472025138715,33,2,239000.0,flat,sale,79.0,True,3,1,Barrio Villaverde Alto,Madrid,Madrid,Villaverde,es,Villaverde Alto,40.3437231,-3.7053189,False,https://www.idealista.com/inmueble/108455884/,"Redpiso Villaverde Alto gestiona la venta de vivienda en segunda planta con ascensor de 79m2, distribuidos en 3 dormitorios, salón con salida a tarraza, cocina y baño.  La vivienda dispone calefacción por tarifa nocturna y agua caliente por termo eléctrico. Suelos de tarima, ventanas de climalit, puertas de pino y puerta principal blindada.  Dispone de Aire acondicionado en el salón y ventilador de techo en dos de los dormitorios.  Se encuentra a 10 minutos de RENFE y metro Villaverde Alto. Al lado de todo tipo de comercios y servicios tales como supermercados, tiendas, bancos, centro de salud, farmacias, parques, institutos y colegios.  A 5 minutos de carreteras como M-30; M-40; M-45; Avenida de Andalucía, carretera de Toledo y centro comercial “Westfield ParqueSur”. ¡Visite sin compromiso! Agencia inscrita en RAIN Nº 000596/20 con lo que os ofrecemos servicio completo de personal formado. Profesionales con más de 20 años de experiencia. Además disponemos de seguro de caución y responsabilidad civil para que su señal esté protegida!",False,good,False,True,3025.0,True,False,True,False,[],False,False,239000.0,€,,,flat,"Villaverde Alto, Madrid",Piso,Destacado,,,,,
