propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,hasLift,exterior,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
107684049,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/32/64/78/1319772749.webp,618,49,1450000.0,chalet,sale,880.0,7,6,calle Nuestra Señora de la Paloma,Madrid,Torrelodones,Colonia,es,40.5729297,-3.9463271,False,https://www.idealista.com/inmueble/107684049/,"¡Descubre el encanto de este impresionante chalet tradicional de piedra! Situado en una finca de 3.450 m², con la posibilidad de expandir hasta 6.500 m² adquiriendo parcelas colindantes, esta propiedad es un verdadero oasis de tranquilidad. La vivienda, de 880 m² construidos, se distribuye en una planta y media, ofreciendo amplios espacios llenos de luz y calidez. El salón comedor, con chimenea de piedra, se divide en dos ambientes perfectos para disfrutar de momentos inolvidables con familia y amigos. El chalet cuenta con 5 dormitorios, incluyendo una suite principal con antesala y chimenea, y 4 baños reformados que combinan funcionalidad y estilo. La cocina, también reformada, dispone de office, cuarto de plancha y despensa. Además, encontrarás un despacho y un acogedor cuarto de estar en la planta principal. La planta semisótano ofrece dos dormitorios de servicio, un baño completo y un amplio cuarto de juegos. El exterior no se queda atrás: un jardín consolidado con árboles centenarios rodea la propiedad, complementado por una piscina de 10x5 metros con vestuarios y una pérgola de piedra de 100 m². La carpintería exterior en madera e hierro, junto con los suelos de barro, tarima y gres, aportan un toque rústico y elegante. Con calefacción por gasoil y un pozo de agua propio, esta casa es una joya que combina comodidad y sostenibilidad. No pierdas la oportunidad de hacerla tuya y disfrutar de una vida llena de serenidad en un entorno único. Se pueden comprar de hasta 3 parcelas colindantes de 1.030 m² cada una para añadirlas a la casa principal, siendo todas de la misma propiedad. LAS PARCELAS NO SE VENDEN POR SEPARADO A A DIFERENTES COMPRADORES La finca total tiene una superficie de terreno de 6.500 m² que se podrían segregar hasta un total de 6 parcelas independientes de 1.000 metros cada una.",False,good,False,1648.0,False,False,False,False,[],False,False,1450000.0,€,chalet,independantHouse,"Colonia, Torrelodones",Casa independiente en calle Nuestra Señora de la Paloma,Destacado,,,,,,,,,,
101985913,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2b/c1/b7/1140364414.webp,012425,18,187000.0,duplex,sale,175.0,2,1,calle de Bernaldo de Quirós,Madrid,Torrelaguna,,es,40.826587,-3.5353294,False,https://www.idealista.com/inmueble/101985913/,"Vivienda dúplex de 174 m² en venta, de 2 dormitorios ubicada en la localidad de Torrelaguna, provincia de Madrid. Construida en 2001, esta vivienda consta de planta primera, segunda y bajo cubierta, comunicadas entre sí mediante escalera interior.  Dispone de una superficie de 174 m² y se distribuye en salón-comedor, cocina independiente amueblada con armarios altos y bajos, 2 dormitorios, 1 baño y terraza, lista para convertirse en su próxima vivienda en propiedad.  La localidad está bien comunicada, mediante autobuses de líneas interurbanas y los accesos viarios M-102 y M-131. La zona dispone de equipamiento variado, centro de salud, restaurantes, supermercados, polideportivo, colegio, etc.  FINANCIACIÓN AL 100 % con nuestros gestores financieros altamente cualificados y resolutivos, asi mismo, le resolvemos cualquier duda o consulta fiscal y jurídica que pudiera surgirle. Tramitamos la inscripción de compraventas, herencias, cancelaciones de hipoteca, levantamiento de embargos, C. E. E…. y cualquier trámite relacionado con la transacción de su inmueble.",False,renew,False,1069.0,False,False,False,False,[],False,False,187000.0,€,flat,duplex,Torrelaguna,Dúplex en calle de Bernaldo de Quirós,Destacado,1,False,,,,,,,,
108296843,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/07/38/c9/1340946214.webp,PIS_295,22,1160000.0,flat,sale,99.0,2,2,calle de Gonzalo de Córdoba,Madrid,Madrid,Chamberí,es,40.4316499,-3.7033321,False,https://www.idealista.com/inmueble/108296843/,"K&N ELITE le ofrece Este encantador piso se encuentra en una ubicación privilegiada y cuenta con dos habitaciones amplias y luminosas, perfectas para descansar o trabajar desde casa. Uno de los baños es en suite, lo que proporciona privacidad y comodidad.  El piso también dispone de un segundo baño, ideal para visitas o uso diario. La propiedad incluye un trastero, lo que ofrece un espacio adicional para almacenamiento.  El edificio cuenta con ascensor, facilitando el acceso a todas las plantas. Las vistas exteriores aportan una sensación de amplitud y luminosidad al hogar.  Para garantizar el confort durante todo el año, el piso está equipado con calefacción y aire acondicionado, permitiendo disfrutar de un ambiente agradable tanto en invierno como en verano. El suelo de madera añade un toque cálido y acogedor al ambiente, dándole un carácter elegante y moderno. En resumen, este piso en Trafalgar combina comodidad, estilo y funcionalidad en una ubicación ideal. ¡Perfecto para disfrutar de la vida urbana!",True,good,False,11717.0,False,False,False,False,[],False,False,1160000.0,€,flat,,"Trafalgar, Madrid",Piso en calle de Gonzalo de Córdoba,Destacado,1,True,True,Trafalgar,,,,,,
108558258,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1a/30/c2/1348421927.webp,SPV22416,18,257500.0,flat,sale,90.0,4,2,San José - Buenos Aires,Madrid,Pinto,San José - Buenos Aires,es,40.2361418,-3.6980497,False,https://www.idealista.com/inmueble/108558258/,"ALIA INMOBILIARIA VENDE. Vivienda de 4 dormitorios, FINCA CON ASCENSOR, 90 m2, cocina amueblada, suelos en gres, carpintería interior en sapelli, exteriores en aluminio, aire acondicionado bomba de calor en salón, calefacción central, baño completo con plato de ducha y aseo, armarios empotrados, TERRAZA y TRASTERO. Próximo a RENFE, comercios, zonas infantiles, deportivas, parques, paradas de autobús. Excelente situación. SIN COMISIONES PARA EL COMPRADOR. ESTUDIO ECONÓMICO Y GESTIÓN DE PRÉSTAMO GRATUITO. ASESORAMIENTO JURÍDICO, FISCAL Y FINANCIERO SIN COSTE.",True,good,False,2861.0,True,True,False,False,[],False,False,257500.0,€,flat,,"San José - Buenos Aires, Pinto",Piso,Destacado,2,True,True,,,,,,,
108906167,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cf/a2/b4/1358527145.webp,,60,559900.0,chalet,sale,290.0,4,3,Las Castañeras - Bulevar,Madrid,Arroyomolinos,Las Castañeras - Bulevar,es,40.278791,-3.914241,False,https://www.idealista.com/inmueble/108906167/,"IDEALIZA TU HOGAR COMERCIALIZA EN EXCLUSIVA ESTE ESPECTACULAR CHALET ADOSADO DE 4 DORMITORIOS Y 3 BAÑOS. En exclusiva con Idealiza tu Hogar te presentamos este magnífico chalet adosado en muy buen estado ideal para quienes buscan espacio tranquilidad y calidad de vida ubicado en una urbanización residencial y familiar este hogar ofrece todo lo necesario para vivir cómodamente rodeado de zonas verdes y con todos los servicios a un paso. Desde el exterior, la propiedad ya deja entrever su gran atractivo, con un precioso jardín privado que incluye un relajante jacuzzi, ideal para desconectar tras una larga jornada. Además, la vivienda forma parte de una urbanización con zonas comunes que cuentan con una amplia piscina y un área infantil, perfectas para disfrutar del buen tiempo en compañía de familiares y amigos. El chalet se distribuye en cuatro plantas. En la planta sótano encontramos un espacioso garaje con puerta automática, pensado para ofrecer comodidad y seguridad. En esta misma planta se sitúan un práctico cuarto de lavandería y una amplia zona de ocio, perfecta como sala de juegos, gimnasio o sala de cine. Esta área cuenta con acceso directo al jardín, lo que añade una excelente conexión entre el interior y el exterior de la vivienda. La planta principal ofrece una cocina completamente equipada con electrodomésticos modernos y un diseño funcional que facilita el día a día. Junto a la cocina se encuentra un aseo de cortesía, ideal para las visitas, y un amplio salón-comedor que destaca por su luminosidad y su salida directa al porche trasero cubierto. Desde este porche se accede al jardín, creando un espacio perfecto para celebraciones, cenas al aire libre o momentos de descanso en contacto con la naturaleza. Subiendo a la primera planta descubrimos la zona de descanso. Aquí se ubican cuatro habitaciones, todas con buenas dimensiones y luz natural. Una de ellas cuenta con puertas correderas que permiten transformarla en una estancia doble o suite, ofreciendo una versatilidad muy poco común. Esta habitación principal también dispone de un elegante baño en suite, mientras que las otras dos habitaciones comparten un baño completo situado en el mismo pasillo, ideal para niños o invitados. La buhardilla es otro de los grandes atractivos de esta vivienda. Con gran altura y amplitud, se ha acondicionado como una zona de oficina o estudio, perfecta para quienes trabajan desde casa o necesitan un espacio tranquilo y aislado. Su versatilidad permite adaptarla fácilmente como sala de juegos, dormitorio de invitados o incluso como un segundo salón. Esta vivienda ha sido diseñada pensando en el confort y la funcionalidad. Sus amplios espacios, la calidad de los acabados, la luminosidad de cada estancia y el entorno privilegiado la convierten en una opción excelente para quienes buscan una casa donde vivir, disfrutar y crecer. No dejes pasar la oportunidad de visitar este magnífico chalet que reúne todo lo que siempre has deseado. En Idealiza Tu Hogar no solo le ofrecemos esta propiedad exclusiva, sino también un acompañamiento integral en todo el proceso de compraventa. Somos expertos en la gestión de cambios de vivienda, entendiendo que dar el paso hacia un nuevo hogar implica muchas decisiones importantes. Nuestro equipo profesional le brindará un asesoramiento personalizado y soluciones a medida para que el cambio se realice de forma fluida, segura y sin complicaciones. Además, ponemos a su disposición opciones de financiación, con la posibilidad de financiar hasta el 100% del valor de la vivienda, sujeto a condiciones. Contamos con acuerdos con entidades financieras de primer nivel que nos permiten ofrecer a nuestros clientes condiciones preferentes.",False,good,False,1931.0,False,False,False,False,[],False,False,559900.0,€,chalet,terracedHouse,"Las Castañeras - Bulevar, Arroyomolinos",Chalet adosado,Destacado,,,,,True,True,,,,
108279444,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/16/ac/1339706450.webp,LB0054,32,179900.0,flat,sale,81.0,3,1,calle Almagro,Madrid,Alcalá de Henares,Reyes Católicos,es,40.4740233,-3.3828837,False,https://www.idealista.com/inmueble/108279444/,"LOOK&FIND OFRECE EN EXCLUSIVA PISO EN ALCALÁ DE HENARES ¡Descubre tu nuevo hogar en la zona de Reyes Católicos! Este magnífico piso de 81 m², ubicado en una zona residencial, te ofrece todo lo que necesitas para vivir cómodamente. Situado en un tercero, disfrutarás de un espacio amplio y cómodo, ideal para toda la familia. Con tres dormitorios y un baño este piso es perfecto para quienes buscan luminosidad y confort. El inmueble se distribuye de la siguiente manera: al entrar te acogerá un hall recibidor que da acceso a salón y a la cocina. Amplio salón comedor con acceso a terraza cerrada. Tres amplios dormitorios y un baño. La vivienda está en un excelente estado de conservación, ideal para inversores y para quienes buscan un hogar cómodo y bien comunicado, ya que se encuentra a menos de 10 minutos andando del centro de Alcalá de Henares, lo que facilitará tu día a día. La zona está dotada con innumerables servicios, como colegios, institutos, comercios como el comercio de Santa Teresa e infinidad de equipamiento lúdico. Este inmueble es una excelente opción para quienes buscan confort y calidad de vida. No pierdas la oportunidad de vivir en una de las zonas mejor comunicadas de Alcalá de Henares, con acceso a todas las comodidades y servicios que necesitas. Los impuestos legales y gastos de escrituración no están incluidos en el precio de venta. ¡No pierdas la oportunidad de visitar esta maravillosa propiedad y hacerla tuya! Contáctanos para más información y para concertar una visita.",True,good,False,2221.0,False,False,False,False,[],False,False,179900.0,€,flat,,"Reyes Católicos, Alcalá de Henares",Piso en calle Almagro,Destacado,3,False,True,,,,,,,
107821825,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/49/eb/44/1324920738.webp,15406,25,359000.0,flat,sale,88.0,2,2,El Mirador - Grillero,Madrid,Arganda,El Mirador - Grillero,es,40.293082,-3.4327699,False,https://www.idealista.com/inmueble/107821825/,"Te presentamos esta magnífica vivienda ubicada en una de las zonas más demandadas de Arganda del Rey, en el barrio del Grillero. Un piso de 88 m² construidos, 80 m² útiles, que destaca por su impresionante terraza de 80 m², un auténtico lujo que aporta amplitud, versatilidad y una excelente calidad de vida. La vivienda se distribuye desde un amplio hall de entrada que da acceso a una cocina completamente amueblada y funcional. A continuación, encontramos un espacioso salón comedor de 27 m², muy luminoso, que conecta con una espectacular sala multiusos de aproximadamente 25 m², cerrada y acondicionada dentro de la terraza, perfecta como sala de estar, despacho, zona de juegos o incluso dormitorio adicional. El resto de la terraza permanece abierta, ideal para disfrutar al aire libre gracias a su estupenda orientación y privacidad. El inmueble cuenta con dos amplias habitaciones, ambas muy luminosas y con armarios empotrados. La habitación principal dispone de baño en suite, mientras que el segundo baño da servicio al resto de la vivienda. Incluye en el precio una plaza de garaje y un trastero, lo que aporta un extra de comodidad y espacio de almacenamiento. Una oportunidad única de vivir en una zona tranquila, con excelentes comunicaciones y todos los servicios a tu alcance, disfrutando de una terraza privada difícil de encontrar. *Certificación Energética: ""E"" *Impuestos y gastos NO INCLUIDOS: ITP o IVA, notaría, registro, gestoría, tasación, etc.",False,good,False,4080.0,False,False,False,False,[],False,False,359000.0,€,flat,,"El Mirador - Grillero, Arganda",Piso,Destacado,bj,True,True,,True,True,380000.0,21000.0,6.0,
105034677,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/92/a7/23/1239725771.webp,RLGS0029,1,382600.0,chalet,sale,295.0,4,3,"calle Carranza, 330",Madrid,Moralzarzal,Zona Iglesia - Estación,es,40.7035101,-3.9565374,True,https://www.idealista.com/inmueble/105034677/,"IDEAL PARA INVERSORES, CHALET OCUPADO. Oportunidad sólo para inversores. El activo se encuentra ocupado por persona sin justo título. Debido al estado ocupacional del activo, no se pueden realizar visitas al mismo. Se trata de una Vivienda unifamiliar adosada de dos plantas sobre rasante, en la localidad de Moralzarzal, en la provincia de Madrid. La vivienda tiene la siguiente distribución un hall de entrada, que da acceso a una cocina independiente, y un pasillo que distribuye a un salón comedor, varias estancias que se considerarían dormitorios, y dos cuartos de baño completos con bañera. Se localiza en una zona consolidada con carácter urbano y residencial, situada a pocos minutos del centro de la población, rodeada de fincas de similares características. Dispone de equipamientos suficientes en el entorno como: médico-sanitario, docente, religioso, comercial, restaurantes. Cuenta con buenas comunicaciones con el resto de la localidad. Buen acceso a través de carreteras principales que rodean al municipio y lo comunican con el resto de la provincia. Vivienda unifamiliar en término de Moralzarzal, en ""Carretera de Madrid a Mataelpino"". La parcela ocupa una superficie de mil setecientos dos metros cuadrados.",False,good,False,1297.0,False,False,False,False,[],False,False,382600.0,€,chalet,independantHouse,"Zona Iglesia - Estación, Moralzarzal","Casa independiente en calle Carranza, 330",Destacado,,,,,True,True,,,,
108664409,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/34/26/d6/1352253631.webp,VEN7564,45,595000.0,chalet,sale,160.0,5,4,Hoyo de Manzanares,Madrid,Hoyo de Manzanares,,es,40.6096661,-3.9444522,False,https://www.idealista.com/inmueble/108664409/,"URBENORTE INMOBILIARIA VENDE en exclusiva;  CHALET PAREADO de 160m² con una parcela de 330m², en La Berzosa, Hoyo de Manzanares – Impresionante entorno con espectaculares vistas.  Distribución: PLANTA PRINCIPAL: Amplio hall de entrada, aseo de cortesía. Salón-comedor con chimenea con cassette. Cocina-office amueblada. En esta misma planta encontramos un dormitorio y un baño completo PLANTA PRIMERA: 4 dormitorios. El dormitorio principal tiene baño en suite y éste ha sido reformado y cuenta con plato de ducha. Las vistas desde este dormitorio y uno de los secundarios son espectaculares ya que está dentro del parque regional de la cuenta alta del Manzanares. Este otro dormitorio es también doble, muy amplio ya que se ha ampliado aprovechando la terraza que ha sido cerrada. Los tres dormitorios secundarios de esta planta comparten un segundo baño.  PANTA SÓTANO: actualmente está destinado en su mayor parte a almacenaje, dispone de un gran trastero. Hay también una Bodega que fue realizada de obra y acondicionada con mucho detalle por los propietarios.  Se trata de una vivienda muy atractiva con un montón de posibilidades. Se puede entrar a vivir si bien haría falta una reforma a fin de actualizar. La vivienda es amplia y luminosa, pero, sobre todo, el entorno y las vistas es su mayor atractivo.  Esta vivienda se encuentra en Urbanización privada La Berzosa, con vigilancia 24 horas y posibilidad de pertenecer al Club Social el cual cuenta con un Restaurante, piscina, pista de tenis y de pádel. En un entorno inigualable de naturaleza entre Torrelodones y Hoyo de Manzanares. A la entrada de la Urbanización tanto por la parte de Torrelodones como pro la parte de Hoyo de Manzanares existen correspondientes garitas de seguridad con vigilancia las 24 horas.  Le acompañamos encantados a visitar sin compromiso alguno, mejor forma de valorar e intercambiar impresiones.",False,good,False,3719.0,False,False,False,True,[],False,False,595000.0,€,chalet,semidetachedHouse,Hoyo de Manzanares,Chalet pareado,Destacado,,,,,,,,,,
108564447,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/49/5d/cd/1348583973.webp,RP1212025139191,16,285000.0,flat,sale,64.0,3,1,paseo Perales,Madrid,Madrid,Latina,es,40.4056499,-3.7373275,False,https://www.idealista.com/inmueble/108564447/,"Tenemos la vivienda que estabas buscando en el Paseo de Perales; ubicada en una cuarta planta CON ASCENSOR, esta fantástica propiedad cuenta con 64 m² construidos, distribuidos en tres dormitorios, salón independiente con acceso a una agradable terraza abierta, cocina independiente y un cuarto de baño con plato de ducha; destaca por su excelente luminosidad, ya que es completamente exterior y cuenta con doble orientación, lo que garantiza una ventilación cruzada y una temperatura muy agradable durante todo el año; es una opción ideal si estás buscando residir en una zona consolidada y tranquila del barrio, a escasos minutos del Metro de Lucero (L6), con acceso a varias líneas de autobús y rodeada de todo tipo de servicios como comercios, colegios, mercado municipal, restaurantes, supermercados, farmacias y peluquerías; no lo pienses más, una oportunidad perfecta para vivir o invertir en una de las áreas con mayor potencial de Madrid. ¡CONTACTA CON NOSOTROS Y VISÍTALO SIN COMPROMISO! Puedes ver más inmuebles en precios ofertados no comprenden los tributos (Impuesto de Transmisiones Patrimoniales), ni los gastos notariales y registrales relativos a la compraventa, ni la comisión de intermediación que satisface el comprador. Puedes consultar más inmuebles en:.",False,renew,False,4453.0,True,False,True,False,[],False,False,285000.0,€,flat,,"Puerta del Ángel, Madrid",Piso en paseo Perales,Destacado,4,True,True,Puerta del Ángel,,,,,,
