propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
108832601,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bc/14/aa/1356852778.webp,18,bj,169000.0,flat,sale,46.0,True,2,1,calle Única,Madrid,Madrid,Latina,es,Puerta del Ángel,40.4083551,-3.7355639,False,https://www.idealista.com/inmueble/108832601/,"EMPRESA DE INTERMEDIACIÓN FINANCIERA BUSCA LA MEJOR HIPOTECA AL CLIENTE Y OFRECE HASTA EL 100% DE FINANCIACIÓN SOBRE EL PRECIO DE VENTA DEL INMUEBLE. VENDE EN EXCLUSIVA: Piso de 46m2, planta baja, en Puerta del Ángel distribuido en: - Salón - Cocina - 2 dormitorios - 1 baño Cuenta con variedad de comercios a su alrededor y servicios públicos. Junto a casa de campo, y a 8 minutos de metro Alto de Extremadura y 13 de Puerta del Ángel. Muy cercano a Madrid Río y a Príncipe Pío. A pocos minutos del centro. Cercano a: Parque Caramuel, supermercados varios, gimnasio, mercado y piscina municipal, colegios y calle comercia La zona dispone de varias líneas de autobús (500,138, 31,65, 33, 36 y 39). Metro (línea 6, Alto de Extremadura y Puerta del Ángel).",True,renew,False,False,3674.0,False,False,False,False,[],False,False,169000.0,€,flat,"Puerta del Ángel, Madrid",Piso en calle Única,Destacado,,,,,,,,
107905494,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/b8/95/1334040239.webp,37,2,350000.0,flat,sale,136.0,True,4,2,avenida de Pablo Neruda,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.3911879,-3.6394622,False,https://www.idealista.com/inmueble/107905494/,"ROLMA SERVICIOS INMOBILIARIOS vende inmueble exterior en el barrio de PALOMERAS SUROESTE. Estupenda vivienda de 4 dormitorios, con dos baños completos, dos terrazas con vistas a la avenida Pablo Neruda. La vivienda, que se encuentra situada en una zona fantástica de Vallecas, tiene una superficie de 136 metros cuadrados construidos, cocina con terraza y 2 baños completos, uno de ellos en suite en el dormitorio principal. En un edifico con doble portal, 2 ascensores, y otro con ACCESO DIRECTO AL GARAJE. La plaza de garaje es doble, tiene espacio para 2 coches y algún vehículo tipo moto o bici, son escrituras independientes, y puede adquirirse por 22.000€  Su salón, luminoso y amplio, tiene acceso directo a la terraza principal, que es posible incluir a la estancia. Tiene espacio suficiente para dividir entre una zona de estar y otra de comedor y cuenta con aire acondicionado. La terraza te permitirá disfrutas de las horas de luz en un amplio espacio donde también dispones de una zona de trastero. Tiene una maravillosa cocina independiente con terraza tendedero muy luminosa durante todo el día. En cuanto a sus dormitorios la vivienda actualmente dispone de tres dormitorios dobles, y uno simple. Te encantará la amplitud y luminosidad de sus habitaciones, y su acceso a la terraza desde ellas. Todo el inmueble esta cuidado y en buen estado, si bien precisaría alguna actualización en cocina y uno de sus baños. La ubicación del piso es excelente, ya que se encuentra en un barrio cercano al centro de la ciudad, con muchísimas zonas verdes. Además, cuenta con instalaciones deportivas cercanas, hospitales y colegios. Y una buena comunicación en transporte público (metro, y autobuses), fácil acceso a la A3, lo que permite llegar a la zona centro de Madrid en apenas 15 minutos. ROLMA SERVICIOS INMOBILIARIOS, GANAMOS EN CONFIANZA.",True,good,False,True,2574.0,False,False,True,False,[],False,False,350000.0,€,flat,"Palomeras sureste, Madrid",Piso en avenida de Pablo Neruda,Destacado,9-2025,True,False,22000.0,,,,
108780033,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e5/06/86/1354905936.webp,37,1,220000.0,flat,sale,73.0,True,2,1,calle de Parvillas Altas,Madrid,Madrid,Villaverde,es,Villaverde Alto,40.3457364,-3.707471,False,https://www.idealista.com/inmueble/108780033/,"Agencia inmobiliaria de MADRID - Zona VILLAVERDE ALTO – ESTUDIO VILLAVERDE ALTO SAN ANDRES Tecnocasa. VENDE EN EXCLUSIVA ¡Descubre este estupendo piso con ASCENSOR EN CONSTRUCCION en venta que combina comodidad y estilo!  Con 73 m² construidos, con ubicación privilegiada, en una de las calles principales y mas luminosas del barrio, este inmueble cuenta con 2 dormitorios, perfectos para adaptarse a tus necesidades. Anteriormente era un piso de 3 dormitorios, lo que brinda una amplitud excepcional. La cocina, completamente reformada, se integra a una de las dos terrazas cerradas, creando un espacio ideal para esos amantes de la cocina. El baño también ha sido renovado y cuenta con un práctico plato de ducha y ventana, asegurando una buena ventilación. Todas las ventanas son de climalit, lo que garantiza un excelente aislamiento térmico y acústico.  Además, el aire acondicionado frío/calor y la calefacción por bomba de calor te permitirán mantener un ambiente agradable durante todo el año. Situado en una primera planta exterior con ascensor, este piso tiene una orientación sur-oeste que proporciona luz natural durante gran parte del día. El inmueble se encuentra estado excepcional y es ideal para quienes buscan un hogar acogedor en una ubicación conveniente.  ¡No dejes pasar la oportunidad de visitarlo!",False,good,False,True,3014.0,False,False,False,False,[],False,False,220000.0,€,flat,"Villaverde Alto, Madrid",Piso en calle de Parvillas Altas,Destacado,,True,False,20000.0,,,,
108658762,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/10/3d/19/1351348978.webp,36,-1,245000.0,flat,sale,62.0,False,1,1,paseo de Santa María de la Cabeza,Madrid,Madrid,Arganzuela,es,Palos de la Frontera,40.4050217,-3.6960964,False,https://www.idealista.com/inmueble/108658762/,"La Casa Agency pone a la venta en exclusiva un encantador piso bajo ubicado en el demandado barrio de Palos de la Frontera, una de las zonas más tranquilas y con mejor comunicación del centro de Madrid. La vivienda, situada en la planta baja de una finca en buen estado, cuenta con una distribución funcional que aprovecha al máximo cada metro cuadrado. Al entrar, nos encontramos con un salón que ofrece un ambiente cálido y confortable, ideal para el descanso o la vida diaria. La cocina es independiente y cuenta con acceso directo a un patio interior de uso y disfrute, perfecto como espacio de desahogo, para tender la ropa o incluso crear una zona chill-out con plantas y mobiliario exterior. Este patio aporta un valor añadido a la vivienda, ofreciendo un espacio al aire libre difícil de encontrar en pisos de esta tipología. Actualmente se ha aprobado en junta la reforma y arreglo de las humedades de la vivienda por parte de la comunidad. El inmueble dispone de un dormitorio amplio, con espacio para cama doble y almacenamiento, lo que garantiza una estancia cómoda y tranquila. Situado en una calle tranquila, pero a escasos minutos de todo tipo de servicios -supermercados, comercios, farmacias, colegios y centros de salud- y muy bien comunicado por transporte público: a pocos pasos de la estación de metro Palos de la Frontera (Línea 3) y con varias líneas de autobús cercanas. Además, se encuentra a un corto paseo de la estación de Atocha, el Paseo del Prado y Madrid Río. No dejes pasar esta oportunidad. Contáctanos para concertar una visita.",False,good,False,True,3952.0,False,False,False,False,[],False,False,245000.0,€,flat,"Palos de la Frontera, Madrid",Piso en paseo de Santa María de la Cabeza,Destacado,LCM37551,,,,,,,
108339867,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/8c/d5/1350245617.webp,15,4,210000.0,flat,sale,58.0,True,2,1,calle de López Grass,Madrid,Madrid,Puente de Vallecas,es,Numancia,40.3959531,-3.6596139,False,https://www.idealista.com/inmueble/108339867/,"VIDEO DISPONIBLE! Piso reformado en venta en 4ª planta de edificio con ascensor.  Se distribuye: hall de entrada, salon-comedor, un dormitorio doble y un dormitorio individual, cuarto de baño con cabina de ducha, cocina amueblada y equipada con electrodomésticos. calefacción por calor azul, agua caliente individual eléctrica, suelos de tarima, ventanas climalit con doble acristalamiento, armarios empotrados, puerta blindada. Muy bien comunicado a 700 metros de la estación de Metro “Nueva Numancia”. IBI: 134€ al año. ITE favorable REF 3754V.",True,good,False,True,3621.0,False,False,False,False,[],False,False,210000.0,€,flat,"Numancia, Madrid",Piso en calle de López Grass,Destacado,3754V,,,,220000.0,10000.0,5.0,
108522705,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/58/65/4e/1347424989.webp,53,4,795000.0,flat,sale,119.0,True,2,2,"CL MARQUES DE URQUIJO, 25",Madrid,Madrid,Moncloa,es,Argüelles,40.4295896,-3.7190007,True,https://www.idealista.com/inmueble/108522705/,"¡Descubre tu nuevo hogar en el corazón de Argüelles! Este espectacular piso de 119 m² te ofrece dos amplios dormitorios (originalmente era de 3 habitaciones), perfectos para disfrutar de la tranquilidad y el descanso. Con dos baños completos, la comodidad está garantizada para ti y tu familia. La propiedad, ubicada en una cuarta planta con ascensor, destaca por su excelente estado, que inunda los espacios de luz natural. Imagina relajarte en tu terraza o balcón después de un largo día, mientras disfrutas de las vistas del encantador barrio. La ubicación es inmejorable: rodeado de una variada oferta de ocio, comercio y hostelería, tendrás todo lo que necesitas a tu alcance. Además, la cercanía a farmacias, centros de salud, colegios y mercados hace que este piso sea ideal para familias. No dejes pasar la oportunidad de vivir en un entorno privilegiado donde la comodidad y la calidad de vida se unen. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",True,good,False,True,6681.0,False,False,False,False,[],False,False,795000.0,€,flat,"Argüelles, Madrid","Piso en Cl Marques De Urquijo, 25",Destacado,MarquesUr,,,,,,,
104035510,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0e/00/01/1207882821.webp,25,5,2390000.0,penthouse,sale,207.0,True,4,5,calle de Villalar,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4227746,-3.6888411,False,https://www.idealista.com/inmueble/104035510/,"Singular ático dúplex, recién reformado con un elegante diseño moderno con altas calidades, totalmente equipado y amueblado. Perfecto como vivienda familiar, pied a terre o como inversión por rentabilizar, gracias a su excepcional ubicación, a un paso de la Puerta de Alcalá, del Parque del Retiro y de la prestigiosa calle Serrano. Una ubicación de ensueño. Se enclava en una finca señorial de principios del siglo XX, data de 1900 con una preciosa fachada clásica con balcones y un portal muy representativo con servicio de portería. La vivienda que se ubica en la última planta, se desarrolla en dos plantas. La planta 5º, consta de hall de entrada con acceso a la fantástica zona de recibo, compuesta por salón con vistas despejadas de Madrid, gran comedor que hace de unión con la espectacular cocina de diseño original con lineas finas y elegantes, área de lavado, aseo de cortesía y un gran dormitorio con baño en suite y varios armarios. A la planta alta, 6º, se accede por una cómoda y bella escalera, que consta de tres amplios dormitorios, todos con baño en suite. La habitación principal, con mayor espacio, amplio vestidor y bonita bañera. Sin duda, una propiedad, única y muy singular, en la mejor ubicación.",False,good,False,True,11546.0,False,False,False,False,[],False,False,2390000.0,€,flat,"Recoletos, Madrid",Ático en calle de Villalar,Destacado,MAD83365639,,,,,,,penthouse
107882565,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fb/f6/2b/1327167934.webp,32,2,336000.0,flat,sale,90.0,True,3,1,travesía Juan Francisco,Madrid,Madrid,Carabanchel,es,Puerta Bonita,40.3875831,-3.7330484,False,https://www.idealista.com/inmueble/107882565/,"**Piso en Venta en Excelente Ubicación - Madrid** Descubre este encantador piso exterior que te ofrece la combinación perfecta de comodidad y estilo en pleno corazón de Madrid. Con 90 m² construidos y una distribución eficiente, cada rincón de este hogar está diseñado para maximizar el espacio. Las amplias ventanas inundan de luz natural el ambiente cálido y acogedor, creando un lugar ideal para relajarte y disfrutar con tu familia. El salón, amplio y luminoso, es perfecto para momentos de convivencia, mientras que la cocina independiente te brinda la privacidad que necesitas al cocinar. Con tres amplios dormitorios, hay espacio suficiente para toda la familia o para crear tu propio estudio. Además, cuenta con un baño completo equipado con bañera, ideal para esos momentos de relajación. Ubicado a solo 6 minutos caminando de la estación de metro Oporto, tendrás fácil acceso a las líneas 5 y 6 del metro, así como a varias líneas de autobús que conectan con el centro de Madrid. La cercanía a la calle General Ricardos te permitirá disfrutar de una amplia variedad de comercios y servicios a tu alcance. Este piso también incluye un trastero y cuenta con calefacción central de gas natural, asegurando tu confort durante todo el año. Con una orientación Este-Oeste, podrás disfrutar de luz natural durante todo el día. No pierdas la oportunidad de vivir en este maravilloso hogar que combina ubicación, comodidad y calidad. ¡Contáctanos para más información y ven a visitarlo!",False,good,False,False,3733.0,False,False,False,False,[],False,False,336000.0,€,flat,"Puerta Bonita, Madrid",Piso en travesía Juan Francisco,Destacado,,,,,,,,
108834730,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/71/03/1356509327.webp,32,1,180000.0,flat,sale,41.0,True,1,1,calle del Grafito,Madrid,Madrid,Villaverde,es,Villaverde Alto,40.3468703,-3.7155664,False,https://www.idealista.com/inmueble/108834730/,"FINCA 2006, CON ASCENSOR Y TRASTERO  ¡Oportunidad! Agencia inmobiliaria de MADRID - Zona VILLAVERDE ALTO – ESTUDIO PASEO ALBERTO PALACIOS  ¡Descubre tu nuevo hogar! Este encantador piso de 41 m², construido en 2006, ofrece un espacio acogedor y luminoso ideal para disfrutar de la vida urbana. Con un dormitorio bien distribuido, un baño reformado, un salón-comedor con mirador exterior que invita a relajarse, cada rincón de este hogar está pensado para tu comodidad. cocina americana completamente equipada- amueblada cuenta con electrodomésticos de primeras marcas. Suelo de parqué impecable, ventanas de PVC, oscilobatientes con puente térmico Este piso cuenta con ascensor y trastero incluido en el precio. Calefacción individual de gas natural, caldera en perfecto estado marca Saunier Duval, y aire acondicionado por conductos regulable por termoestado, consiguiendo un ambiente agradable durante todo el año. Además, tuberías de PVC garantizan un mantenimiento sencillo y duradero. La ubicación es inmejorable, con fácil acceso a múltiples paradas de autobús (130, 22, 86, 131, 79) y a pocos minutos de la línea 3 del Metro (parada 'Villaverde Alto'). También tendrás acceso a las líneas C-5 y C-4 de Renfe Cercanías. El barrio destaca por su tranquilidad y su amplia oferta de servicios, desde tiendas hasta restaurantes y parques, lo que lo convierte en un lugar perfecto para vivir. No dejes pasar la oportunidad de hacer de este piso tu nuevo hogar. ¡Ven a visitarlo y enamórate de cada detalle!",False,good,False,True,4390.0,False,False,False,False,[],False,False,180000.0,€,flat,"Villaverde Alto, Madrid",Piso en calle del Grafito,Destacado,GR180,,,,,,,
108631815,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/28/cb/1350498511.webp,43,,1950000.0,chalet,sale,228.0,,4,3,calle de Aizgorri,Madrid,Madrid,Barrio de Salamanca,es,Fuente del Berro,40.421375,-3.6671492,False,https://www.idealista.com/inmueble/108631815/,"De Rojas servicios inmobiliarios tiene a su disposición inmueble ubicado en el barrio de Salamanca-Fuente El Berro. Casa independiente de 4 plantas con gran potencial en ubicación privilegiada Se vende casa o chalet independiente de 228 m² construidos (200 m² útiles), distribuida en cuatro plantas sobre una parcela de 140 m². Una vivienda con gran versatilidad, perfecta para familias o como proyecto de reforma con múltiples posibilidades. Distribución por plantas: Planta principal: Al acceder a la vivienda, encontramos un amplio hall de entrada que conecta con los espacios principales de esta planta. A mano derecha, una habitación multifuncional que puede utilizarse como dormitorio, despacho o sala de estar. Seguido, un acogedor salón que comunica con otro salón adicional, ideal como zona de descanso o comedor. También dispone de un aseo de cortesía. Planta baja: Bajando por las escaleras se accede a una cocina con dos ventanas al patio, lo que garantiza buena luz y ventilación. Esta planta también cuenta con un dormitorio adicional, un aseo y un práctico cuarto despensa perfecto para almacenamiento o lavandería. Segunda planta: Aquí se ubican dos dormitorios amplios, ambos equipados con aire acondicionado. Un pequeño hall con dos grandes ventanales aporta mucha luminosidad y puede funcionar como zona de lectura o descanso. En esta planta también hay un baño completo independiente y un gran armario empotrado en el pasillo con gran capacidad de almacenaje. Planta superior (altillo/buhardilla): La vivienda se completa con un altillo de grandes dimensiones, que puede destinarse a buhardilla, estudio, sala de juegos o dormitorio adicional, según las necesidades. Detalles a destacar: Todas las estancias cuentan con ventanas, lo que proporciona excelente luz natural y ventilación en toda la vivienda. Aire acondicionado en dos de los dormitorios. Gran capacidad de almacenaje Dos patios en planta baja con mucha luz. Ideal para personalizar y reformar según tus gustos. No dude en concertar una cita con nosotros. EN UNOS DÌAS SUBIREMOS REPORTAJE FOTOGRÁFICO.",True,renew,False,,8553.0,False,False,True,False,[],False,False,1950000.0,€,chalet,"Fuente del Berro, Madrid",Casa independiente en calle de Aizgorri,Destacado,,True,True,,,,,independantHouse
