propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,district,hasLift,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108489366,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/6f/8f/1346423432.webp,OT10037,36,2,230000.0,flat,sale,80.0,True,2,1,plaza del Doctor Morcillo,Madrid,Soto del Real,es,40.7556006,-3.7839958,False,https://www.idealista.com/inmueble/108489366/,"¡Oportunidad única en Soto del Real! Vivienda luminosa con terraza y vistas a la sierra Te presentamos este estupendo piso en una de las zonas más tranquilas y demandadas de Soto del Real. La vivienda cuenta con un acogedor hall de entrada que da paso a un amplio y luminoso salón, ideal para crear varios ambientes y disfrutar del confort diario. Desde el salón accedemos a una cocina independiente, completamente amueblada y equipada con horno, vitrocerámica y campana extractora, perfecta para los amantes de la cocina. La vivienda dispone de dos dormitorios, un baño completo, tendedero, balcón y una estupenda terraza con vistas despejadas a la sierra, donde podrás relajarte y disfrutar del entorno natural. Además, cuenta con un moderno sistema de calefacción por aerotermia, que proporciona una climatización eficiente y sostenible durante todo el año. El piso se encuentra en perfecto estado, listo para entrar a vivir, ideal tanto como residencia habitual como para escapadas de fin de semana. ¡No dejes pasar esta oportunidad de vivir rodeado de naturaleza, con todas las comodidades y a tan solo unos minutos de Madrid!",False,good,False,2875.0,False,False,False,False,[],False,False,230000.0,€,flat,Soto del Real,Piso en plaza del Doctor Morcillo,Destacado,,,,,,,,,
108698978,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/03/54/f2/1354751717.webp,RP852025139807,25,6,289000.0,flat,sale,71.0,True,3,1,plaza de Uruguay,Madrid,Coslada,es,40.4252928,-3.5480146,False,https://www.idealista.com/inmueble/108698978/,"¡Oportunidad única!  Descubre este acogedor y luminoso piso en una de las zonas más demandadas de Coslada. Una vivienda perfecta para quienes buscan comodidad, luz natural y una ubicación con todos los servicios al alcance, sin necesidad de reformas.  La vivienda se encuentra en un estado impecable, lista para entrar a vivir, sin necesidad de inversión adicional. Su orientación garantiza una excelente luminosidad natural durante todo el día, lo que aporta calidez y confort en todas las estancias. ¡Ubicación inmejorable! Situado en Valleaguado, un entorno residencial tranquilo y consolidado, rodeado de zonas verdes, colegios, centros de salud, supermercados y una excelente conexión con transporte público (Metro, Renfe y autobuses). Acceso rápido a A-2, M-40 y M-45. ¿Quieres que te cuente más detalles o te ayude a organizar una visita? ¡Estoy aquí para ayudarte a dar el siguiente paso hacia tu nuevo hogar! Te invitamos a visitarlo, sin compromiso y a preguntar por nuestro Departamento Financiero DCREDIT, conseguimos hasta el 100% de la financiación. El precio no incluye el Impuesto de Transmisiones Patrimoniales (max. 6% sobre el precio de venta o del valor del inmueble que marque la Comunidad de Madrid), ni el equivalente a los honorarios del comprador por la intermediación inmobiliaria, ni los gastos notariales y/o registrales (según el caso).  Si necesita más información no dude en consultarnos. Contáctenos en nuestra Oficina de REDPISO en C/ Jesús de San Antonio, 26, 28823, Coslada, Madrid, Tlf.",False,good,False,4070.0,False,False,False,False,[],False,False,289000.0,€,flat,"La Espinilla - Parque Blanco, Coslada",Piso en plaza de Uruguay,Destacado,La Espinilla - Parque Blanco,True,,,,,,,
107087552,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cb/5d/cf/1342703985.webp,06826,16,2,198000.0,flat,sale,71.0,False,2,1,calle de Juan Español,Madrid,Madrid,es,40.386763,-3.7128911,False,https://www.idealista.com/inmueble/107087552/,"SE VENDE INMUEBLE ALQUILADO Ubicado en el popular barrio de Usera, en la calle Juan Español, este inmueble representa una excelente oportunidad de inversión con alta rentabilidad. Se trata de una vivienda situada en una segunda planta dentro de un edificio construido en 1965, con ascensor. La finca cuenta con cuatro alturas. El piso dispone de dos dormitorios, un baño completo, un salón-comedor, y una cocina totalmente equipada que incluye una terraza acristalada que permite cocinar cómodamente mientras se evita que los olores se propaguen al resto de la vivienda, lo que añade un toque práctico y funcional al espacio. La vivienda se vende con trastero.  Actualmente, la propiedad está alquilada, generando una rentabilidad aproximada del 4,41%, con potencialidad de aumento de renta. La zona destaca por su buena comunicación, ya que está próxima al metro de Usera (L6) y cuenta con una amplia oferta de servicios y comercio. Esta combinación de características hace del inmueble una opción especialmente atractiva para inversores que buscan una propiedad con buena rentabilidad y ubicada en uno de los barrios más dinámicos y bien conectados de Madrid. Calefacción central con contador individual y agua caliente por gas.",False,renew,False,2789.0,False,False,False,False,[],False,False,198000.0,€,flat,"Moscardó, Madrid",Piso en calle de Juan Español,Destacado,Usera,True,Moscardó,,,,,,
108251053,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/7b/54/1358989975.webp,A506,19,1,168000.0,flat,sale,60.0,True,2,1,calle de Aguilar del Río,Madrid,Madrid,es,40.370525,-3.7583918,False,https://www.idealista.com/inmueble/108251053/,"GESPAIN LAS ÁGUILAS-CARABANCHEL promociona la venta de vivienda con ascensor y terraza ALQUILADA EN 700€/MES HASTA MAYO DE 2029 muy próximo a la parada de Metro de Carabanchel Alto de la línea 11. Líneas de EMT cercanas 34 y 139. El piso consta de vestíbulo de acceso, amplia cocina, salón-comedor de paso, baño y dos dormitorios, uno de ellos con acceso a la terraza abierta. La vivienda se encuentra en buen estado de conservación, con cocina y baño reformados, al igual que algunos de los cerramientos exteriores de la vivienda. En el resto de la vivienda los suelos son de sintasol y cercos originales en las puertas de los dormitorios, y puerta de acceso blindada. El piso dispone de calefacción central y agua caliente sanitaria mediante calentados de gas natural, y aire acondicionado mediante Split en salón. Vivienda de esquina con orientación norte y este con vistas despejadas.  ¡Venga a ver la vivienda y no deje de escapar esta oportunidad! esta estupenda vivienda en Carabanchel Alto, garantizando un flujo de ingresos constante. Esta vivienda se presenta como una oportunidad única para quienes buscan un inmueble en una buena ubicación, con gran potencial de rentabilidad. (Rentabilidad actual del 5%) De acuerdo con el RD 515/1989, del 21 de Abril, se informa al cliente que los gastos notariales, registrales, I. T. P. o equivalente, gastos financieros y otros gastos inherentes a la compraventa no están incluidos en el precio de venta de la vivienda.",False,good,False,2800.0,False,False,True,False,[],False,False,168000.0,€,flat,"Buena Vista, Madrid",Piso en calle de Aguilar del Río,Destacado,Carabanchel,True,Buena Vista,,,,,,
108735073,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/29/a1/9f/1353603833.webp,RP1332025139925,47,bj,299000.0,flat,sale,41.0,False,1,1,calle de Santa Brígida,Madrid,Madrid,es,40.4255367,-3.7003074,False,https://www.idealista.com/inmueble/108735073/,"Elegancia, luz y ubicación en calle tranquila junto al corazón de Madrid Presentamos este precioso apartamento, totalmente reformado, donde el diseño y la atención al detalle se combinan con una ubicación inmejorable. Situado en la encantadora calle Santa Brígida, a pocos pasos del Polideportivo Municipal, este hogar ofrece un entorno sereno con excelente conexión urbana. Reforma integral con acabados de alta calidad; espacios luminosos y diseño elegante; calle tranquila y residencial; cercano a zonas comerciales, restaurantes y opciones de ocio; excelente comunicación, con varias estaciones de metro a escasa distancia. Ideal para quienes valoran la comodidad urbana, el estilo contemporáneo y la vida tranquila en el centro. Una oportunidad única tanto para quienes sueñan con vivir en el corazón vibrante de Madrid como para quienes buscan una inversión con carácter y excelente rentabilidad. Contáctanos para más información y visita personalizada. Nos encontramos en Calle Hortaleza 59. También puedes localizarnos en el o por WhatsApp en el ¡No pierdas la oportunidad!",False,good,False,7293.0,False,False,False,False,[],False,False,299000.0,€,flat,"Chueca-Justicia, Madrid",Piso en calle de Santa Brígida,Destacado,Centro,False,Chueca-Justicia,,,,,,
106348632,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/84/3b/7a/1323180306.webp,VCB155424,44,,3500000.0,chalet,sale,1602.0,,8,7,Las Lomas,Madrid,Boadilla del Monte,es,40.4328031,-3.8924295,False,https://www.idealista.com/inmueble/106348632/,"Esta es una de las casas con más solera y distinguidas de la cotizada urbanización de Las Lomas en Boadilla del Monte.  Tanto por ubicación dentro de la misma urbanización, como por los materiales de construcción, y por las dimensiones de la parcela, esta es sin duda una oportunidad increíble de adquirir una gran propiedad. La vivienda se encuentra distribuida en 3 cómodas plantas y tiene una gran parcela consolidada, con piscina, pista de tenis, árboles y hasta un huerto. La sólida construcción en la que destaca el uso de pocos pilares y muros de carga le da una gran sensación de amplitud a todas las estancias. En la planta baja nos recibe un vestíbulo en el cual, observamos una gran escalera de mármol circular que nos conduce a la planta primera, pero antes de recorrerla debemos centrarnos en la planta baja donde se concentran la zona de servicio (cocina, lavandería y dos dormitorios), y una de las joyas de la casa, la preciosa biblioteca toda ella de madera de nogal distribuida por medio de una escalinata en dos plantas, zona de estudio y zona de estar. Accediendo por la escalera de mármol del vestíbulo, llegamos a la planta primera destinada a la zona de descanso donde se encuentran 4 dormitorios, dos de ellos en suite y el principal también en suite y con vestidor. Además de las mencionadas estancias en la planta existe un despacho, dos estudios, dos baños completos y la zona de estudio de la biblioteca. Una buhardilla acompaña al resto de estancias de la casa, en la cual existen dos habitaciones un amplio estudio y un baño completo. Por último, en la parte inferior o planta sótano de la vivienda, está el garaje de 100 m2, cuarto de calderas, sala de gimnasio y una gran piscina interior. Sin duda una gran casa en una de las Urbanizaciones más exclusivas de la zona.",False,renew,False,2185.0,False,False,False,True,[],False,False,3500000.0,€,chalet,"Las Lomas, Boadilla del Monte",Casa independiente,Destacado,Las Lomas,,,True,True,independantHouse,,,
108863298,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/28/9d/1357343856.webp,GTRE01420,17,1,205000.0,flat,sale,66.0,True,3,1,Barrio Abrantes,Madrid,Madrid,es,40.3766776,-3.730265,False,https://www.idealista.com/inmueble/108863298/,"Dp2020, vende estupenda vivienda ubicada en Plaza de Meninas, en una primera planta con ascensor, en una zona tranquila y bien comunicada. �️ Características del inmueble: Superficie útil: 52 m² 3 dormitorios bien distribuidos y luminosos Salón con salida a terraza privada, ideal para desconectar Cocina independiente con buen espacio de almacenaje Baño completo Edificio con ascensor La vivienda ofrece una distribución funcional, mucha luz natural y una agradable terraza exterior. Ideal tanto para familias como para quienes buscan una buena inversión. � Zona y transporte: Ubicado en una zona consolidada con excelente comunicación por transporte público (metro y autobuses), cerca de todos los servicios esenciales: supermercados, colegios, centros de salud y zonas verdes. � DP2020 Inmobiliaria – Tu casa, nuestra prioridad En DP2020 te acompañamos en todo el proceso de compra o venta de tu inmueble. Nos destacamos por un trato cercano, transparente y profesional. Nuestra experiencia en el mercado inmobiliario nos permite ofrecerte soluciones personalizadas y una gestión ágil y segura. Confía en nosotros para encontrar tu próximo hogar o realizar una inversión con todas las garantías. NO COBRAMOS HONORARIOS  � Contáctanos y agenda tu visita sin compromiso.",False,good,False,3106.0,False,False,False,False,[],False,False,205000.0,€,flat,"Abrantes, Madrid",Piso,Destacado,Carabanchel,True,Abrantes,,,,,,
108754416,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/98/e9/1354255090.webp,LEG-52281,29,,1100000.0,chalet,sale,343.0,,4,4,El Pastel,Madrid,Boadilla del Monte,es,40.4211224,-3.9181628,False,https://www.idealista.com/inmueble/108754416/,"REMAX LEGEND presenta este impresionante chalet pareado en la exclusiva zona de El Pastel, Boadilla del Monte. Esta vivienda, prácticamente a estrenar, cuenta con un diseño moderno y acabados de alta gama que te enamorarán desde el primer momento.  Al entrar, te recibe un hall con espacios abiertos que conecta con un acogedor salón-comedor separado por una elegante chimenea. Desde el comedor, accedes directamente a un bonito jardín, ideal para disfrutar de momentos al aire libre junto a la piscina, el porche y la zona de barbacoa. La cocina es un sueño hecho realidad, equipada con una isla y electrodomésticos de alta gama marca Siemens. En la planta baja también encontrarás un práctico aseo de cortesía y estancias con posibilidad de cerramientos de vidrio que aportan luminosidad y versatilidad al espacio. En la primera planta, se ubican tres amplios dormitorios, siendo el principal un verdadero refugio con vestidor y baño en suite. Los otros dos dormitorios comparten un baño completo, perfecto para el resto de la familia o amigos. El sótano ofrece un segundo salón que puede adaptarse a tus necesidades, un dormitorio adicional, un baño completo con ducha, además de una despensa. Garaje con capacidad para dos coches y acceso directo a la casa. La climatización por suelo radiante y los conductos de aire acondicionado de bajo consumo energético aseguran un confort óptimo durante todo el año. Ubicada en un entorno privilegiado, esta casa se encuentra cerca de zonas verdes, parques infantiles y caminos para bicicletas. Además, tendrás acceso a todos los servicios necesarios, como tiendas y paradas de autobús, así como la M-513 que te conecta rápidamente con el centro de Madrid en solo 20 minutos. No dejes pasar la oportunidad de vivir en este maravilloso chalet que combina lujo, comodidad y una ubicación inmejorable. ¡ Contacta con nosotros para una visita! Gracias a las empresas del Grupo Legend aportamos asesoramiento fiscal, jurídico y financiero, y un arquitecto para cualquier consulta o servicio que necesite a coste cero. Además, no cobramos honorarios al comprador. ** La información que se detalla en este anuncio, se muestra a título informativo, no es contractual ni vinculante y puede contener errores**.",True,good,False,3207.0,False,False,False,False,[],False,False,1100000.0,€,chalet,"El Pastel, Boadilla del Monte",Chalet pareado,Destacado,El Pastel,,,True,True,semidetachedHouse,,,
107368807,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/6b/73/1310884832.webp,LCM35134,14,1,270000.0,flat,sale,39.0,True,1,1,calle del Casino,Madrid,Madrid,es,40.408832,-3.7052481,False,https://www.idealista.com/inmueble/107368807/,"¡TU PISO EN CENTRO EMBAJADORES! Se vende magnífico piso en la calle Casino, en una ubicación privilegiada y con excelentes conexiones de transporte. Con una superficie de 39 metros cuadrados, este acogedor apartamento está situado en una primera planta y destaca por su luminosidad y encanto. El piso ha sido reformado recientemente y cuenta con un bonito balcón que aporta un extra de luz y ventilación. Dispone de una habitación independiente con ventana y un práctico armario empotrado, proporcionando un espacio funcional. La cocina está completamente equipada y lista para su uso, ofreciendo todas las comodidades necesarias para el día a día, y cuenta con un baño completo con plato de ducha. Además, la vivienda cuenta con calefacción de gas natural y termostato, garantizando un ambiente cálido y confortable en todas las estaciones de Si buscas un hogar en pleno centro de Madrid, bien comunicado y con todas las comodidades, esta es una excelente oportunidad. ¡No dejes pasar esta ocasión y ven a visitarlo! NOTA: este anuncio no es vinculante; puede contener errores y se muestra a título informativo, no contractual.",False,good,False,6923.0,False,False,False,False,[],False,False,270000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle del Casino,Destacado,Centro,False,Lavapiés-Embajadores,,,,276000.0,6000.0,2.0
108860265,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/04/6e/7e/1357246161.webp,ESTE 355,30,2,250000.0,flat,sale,89.0,True,3,2,"calle Maestro Félix Arija, 22",Madrid,Manzanares el Real,es,40.7278686,-3.8685726,True,https://www.idealista.com/inmueble/108860265/,"Solvia comercializa piso de 3 dormitorios 2 baños y terraza listo para entrar, garaje y trastero incluido en el precio SIN ASCENSOR, Puerta de entrada acorazada dobles ventanas, toda la grifería grohe  Tarima C5 puertas y armarios empotrados recién instalados, pintura lisa en paramentos. Solo 6 vecinos en la comunidad. Grandes vistas.  comunidad 48€ IBI 370  Un agente especializado de la zona le informara personalmente.",False,good,False,2809.0,False,False,False,False,[],False,False,250000.0,€,flat,Manzanares el Real,"Piso en calle Maestro Félix Arija, 22",Destacado,,False,,True,True,,,,
