propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,floor,exterior,hasLift,externalReference,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108550986,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/bf/ee/1348212085.webp,45,885000.0,chalet,sale,245.0,4,3,avenida Roque Nublo,Madrid,Pozuelo de Alarcón,Somosaguas,es,Somosaguas,40.4201319,-3.7935605,False,https://www.idealista.com/inmueble/108550986/,"¡Descubre este encantador chalet adosado en venta que combina comodidad y potencial! Con un jardín de 50 m² en la entrada, este hogar ofrece un cálido recibimiento. La planta de entrada cuenta con un hall acogedor, un práctico aseo de cortesía y una amplia cocina office equipada con tendedero y zona de lavado. El salón comedor, adornado con una chimenea, es el lugar perfecto para disfrutar de momentos en familia. En la primera planta, encontrarás tres dormitorios, incluyendo un dormitorio principal en suite, ideal para tu privacidad. Los otros dos dormitorios comparten un baño completo, y uno de ellos tiene acceso a un pequeño balcón que aporta luz natural y vistas al exterior. La buhardilla luminosa y diáfana ofrece múltiples posibilidades: desde un espacio de trabajo hasta un área de juegos. La planta sótano es una gran ventaja, ya que incluye un garaje, un dormitorio adicional y una bodega para tus vinos favoritos. Con 245 m² construidos y una distribución pensada para el confort, este chalet es una excelente opción para quienes buscan un hogar con posibilidades de actualización. Además, la calefacción por bomba de frío/calor y su buena calificación energética (Clase C) garantizan eficiencia y confort. ¡No te pierdas la oportunidad de visitarlo y convertirlo en tu nuevo hogar! En una urbanización con piscina, tenis y salón social.",True,renew,False,3612.0,False,False,False,False,[],False,False,885000.0,€,True,True,chalet,terracedHouse,"Somosaguas, Pozuelo de Alarcón",Chalet adosado en avenida Roque Nublo,Destacado,,,,,,,,
108699662,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/7f/a2/1355358503.webp,22,174500.0,duplex,sale,85.0,2,1,calle Miño,Madrid,Camarma de Esteruelas,,es,,40.5315791,-3.3867194,False,https://www.idealista.com/inmueble/108699662/,"Living La Moraleja ofrece este loft duplex en venta en Camarma de Esteruelas, a dos minutos en coche de Alcalá de Henares. Está ubicado en una urbanización cerrada, con cámaras perimetrales, conserje y seguridad 24 horas. Se trata de una planta baja con terraza.",False,good,False,2053.0,False,False,False,False,[],False,False,174500.0,€,True,True,flat,duplex,Camarma de Esteruelas,Dúplex en calle Miño,Destacado,bj,True,False,,,,,
108448210,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/87/97/54/1345186354.webp,44,459900.0,chalet,sale,202.0,4,3,calle de Pontevedra,Madrid,Arroyomolinos,Las Castañeras - Bulevar,es,,40.2866147,-3.9159686,False,https://www.idealista.com/inmueble/108448210/,"IDEALIZA TU HOGAR presenta en exclusiva magnífico chalet adosado en Arroyomolinos En IDEALIZA TU HOGAR nos complace presentar en exclusiva un extraordinario chalet adosado situado en una de las zonas más privilegiadas de Arroyomolinos. Esta excepcional vivienda ha sido diseñada para ofrecer el máximo confort y funcionalidad, combinando espacios amplios y luminosos con un estilo contemporáneo que enamorará a quienes buscan la casa de sus sueños. La vivienda se encuentra completamente reformada en su totalidad, desde ventanas con climalit oscilobatiente, mosquiteras, persianas automáticas y toldos en todas las ventanas de la casa, paredes lisas, suelos cambiados de una gran calidad, y domótica en los accesos de la vivienda.  Disponemos de 4 grandes dormitorios, uno de ellos en la buhardilla perfectamente aislado y con aire acondicionado, el dormitorio principal con baño en suite y las tres habitaciones restantes de gran tamaño y a su vez todas con armario empotrado   El salón con acceso a una gran terraza y a la parcela, con grandes ventanales para aportar una gran luminosidad y mejorar aun mas nuestra calidad de vida.  La cocina con gran espacio que permite disponer de una mesa de hasta 5 comensales para hacer vida en ella sin complicaciones.  La vivienda se completa con una espléndida buhardilla, un espacio versátil que puede ser adaptado a diversas necesidades, desde un estudio hasta una sala de juegos o un gimnasio privado. Asimismo, la propiedad incluye una sala de lavandería adicional, sin quitar espacio al garaje en el cual entran perfectamente dos vehículos de grandes dimensiones, el garaje a su vez tiene acceso a la parcela  En cuanto a los acabados, los suelos de la planta principal están revestidos en cerámica, lo que asegura una alta durabilidad y un mantenimiento sencillo, mientras que en el resto de la vivienda se ha optado por tarima flotante, aportando calidez y elegancia a los espacios. Ubicación privilegiada La ubicación del chalet es otro de sus grandes atractivos. Situado en una zona privilegiada de Arroyomolinos, la vivienda se encuentra cerca de las principales salidas del municipio, lo que facilita el acceso a las vías de comunicación más importantes. Además, la zona está perfectamente conectada con una amplia variedad de servicios, tales como supermercados, farmacias, autobuses y otros servicios esenciales, garantizando que todos los recursos necesarios estén al alcance de su mano. Servicios de financiación En Idealiza tu Hogar entendemos que la compra de una vivienda es una de las decisiones más importantes en la vida de nuestros clientes. Por ello, ofrecemos opciones de financiación que se adaptan a sus necesidades, permitiendo financiar hasta el 100% del valor de la vivienda. Nuestro equipo de expertos en financiación está disponible para asesorarle y ayudarle a encontrar la solución que mejor se ajuste a su situación económica, facilitando así el proceso de compra y haciendo realidad el sueño de tener una vivienda propia.",False,good,False,2277.0,False,False,False,False,[],False,False,459900.0,€,True,True,chalet,terracedHouse,"Las Castañeras - Bulevar, Arroyomolinos",Chalet adosado en calle de Pontevedra,Destacado,,,,,,,,
107444803,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/32/8c/1316803910.webp,1,1900000.0,chalet,sale,230.0,4,3,calle de Luis Larrainza,Madrid,Madrid,Chamartín,es,Ciudad Jardín,40.4496938,-3.6730953,False,https://www.idealista.com/inmueble/107444803/,"Alonso & Vega Luxury Housing, especialistas en viviendas de lujo en las zonas más exclusivas de Madrid. Presentamos esta vivienda unifamiliar lista para entrar en una zona privilegiada y exclusiva de Madrid. Excelente chalet independiente en una exclusiva urbanización catalogada como conjunto histórico-artístico de Madrid, con servicios de autobuses y metro muy cercanos. Es una zona muy tranquila ideal para familias. Dividida en 4 plantas, consta de 4 dormitorios y 3 baños.  El dormitorio principal en suite para tener total comodidad y privacidad. Salón comedor muy luminoso. Aseo de cortesía. Cocina totalmente equipada llena de luz con salida al patio. En la planta inferior hay salón grande con diferentes posibilidades de uso. Tarima de roble. Ventanas de climalit. Parcela con comedor exterior y barbacoa para disfrutar de cenas y comidas familiares en épocas de buen tiempo.  Su proximidad al Parque de Berlín, permite disfrutar de diferentes actividades deportivas, ocio.. . y próximo al Paseo de la Castellana, Santiago Bernabeu...",False,good,False,8261.0,False,False,False,False,[],False,False,1900000.0,€,,,chalet,independantHouse,"Ciudad Jardín, Madrid",Casa independiente en calle de Luis Larrainza,Destacado,,,,,,,,
108543021,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6f/86/29/1348013346.webp,17,650000.0,flat,sale,72.0,2,1,calle de Santa Engracia,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4394974,-3.7016099,False,https://www.idealista.com/inmueble/108543021/,"Redpiso Ríos Rosas presenta una excelente oportunidad en el codiciado barrio de Chamberí: una luminosa vivienda exterior ubicada en la calle Santa Engracia, a pocos pasos del parque de Canal. La propiedad ofrece un amplio salón-comedor con salida a una terraza, cocina equipada, dos dormitorios interiores y un baño, combinando funcionalidad, confort y estilo moderno. El edificio cuenta con ascensor, servicio de conserjería y ha superado favorablemente la Inspección Técnica del Edificio (ITE), lo que garantiza seguridad y buen mantenimiento. Ideal tanto como residencia habitual como inversión en una de las zonas más atractivas y en auge de Madrid. Para más información, no dude en contactar con nosotros en los teléfonos o.",False,good,False,9028.0,False,False,False,False,[],False,False,650000.0,€,,,flat,,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso en calle de Santa Engracia,Destacado,2,True,True,RP1132025139017,,,,
105905529,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/dc/eb/1266564951.webp,18,300000.0,duplex,sale,82.0,2,2,calle de Altamira,Madrid,Madrid,Ciudad Lineal,es,Ventas,40.4281796,-3.6534932,False,https://www.idealista.com/inmueble/105905529/,"FANTÁSTICO BAJO DUPLEX REFORMADO EXTERIOR CON ACCESO DESDE LA CALLE, CON INQUILINO, CON CONTRATO DE ARRENDAMIENTO EN VIGOR DESDE EL 1 DE OCTUBRE DE 2024, GARANTIZADO ANTE IMPAGOS. IDEAL PARA RENTABILIDAD Y POSIBILIDAD DE USO TURÍSTICO. La vivienda consta de 82m. En planta baja cuenta con amplio salón con cocina abierta totalmente equipada, dormitorio doble y cuarto de baño completo con bañera de hidromasaje. En planta alta cuenta con una amplia zona de estudio, dormitorio doble y cuarto de baño completo con plato de ducha. Posee suelos de madera, paredes lisas, puerta blindada de seguridad, aire acondicionado frío/calor en ambas plantas, etc. En excelente ubicación: Muy próximo al metro de la Elipa (Línea 2) y Metro el Carmen (Línea 5), buses diurnos y nocturnos, próximo a M30 y M40, rodeado de servicios como tiendas, supermercados o restaurantes entre otros. ¡Llámenos y realice una visita sin compromiso!",False,good,False,3659.0,False,False,False,False,[],False,False,300000.0,€,,,flat,duplex,"Ventas, Madrid",Dúplex en calle de Altamira,Destacado,bj,True,True,377,,,,
108365562,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/00/63/97/1341945886.webp,29,1350000.0,chalet,sale,168.0,4,2,calle de los Lirios,Madrid,Madrid,Chamartín,es,Bernabéu-Hispanoamérica,40.4590758,-3.6666524,False,https://www.idealista.com/inmueble/108365562/,"Redpiso tiene a la venta un exclusivo chalet unifamiliar en el consolidado y tranquilo barrio de Hispanoamérica. La propiedad, ubicada en una parcela de 168 m², se distribuye en cuatro plantas y ha sido recientemente renovada, incorporando mejoras como nueva fontanería, cámara de aire y ventanas de última generación. En la planta baja se encuentra un dormitorio, un baño completo, un amplio salón y garaje con techos altos que aportan gran amplitud.  La primera planta dispone de una cocina con buen almacenaje y un luminoso salón-comedor.  En la segunda planta se ubican tres dormitorios, con aires acondicionado y el principal con armarios empotrados y acceso a una terraza soleada. La última planta es un espacio diáfano con vistas abiertas a jardines y a la M-30, ideal como área polivalente. Situado en una zona residencial segura y bien comunicada, a escasa distancia del estadio Santiago Bernabéu, y rodeado de servicios, centros educativos, comercios y zonas verdes.  Redpiso ofrece además asesoramiento financiero personalizado para facilitar el proceso de compra en las mejores condiciones del mercado.  Para más información o concertar una visita, puede contactar al o escribir a.",False,good,False,8036.0,False,False,False,False,[],False,False,1350000.0,€,True,True,chalet,semidetachedHouse,"Bernabéu-Hispanoamérica, Madrid",Chalet pareado en calle de los Lirios,Destacado,,,,RP902025138459,,,,
108448423,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/04/c4/df/1345239969.webp,1,182000.0,flat,sale,54.0,2,1,CL VILLAVICIOSA,Madrid,Madrid,Latina,es,Campamento,40.3974918,-3.7666928,False,https://www.idealista.com/inmueble/108448423/,"** VIVIENDA ALQUILADA ** NO es posible realizar visitas al interior del inmueble.  Fecha de fin de contrato: 12/2028 Este cómodo Piso cuenta con una superficie de 51 m² construidos distribuidos en dos habitaciones, salón-comedor, cocina y un baño. Cuenta con todos los servicios necesarios a su alrededor, como el Colegios, supermercados, bancos, bibliotecas, farmacias, centros deportivos. No se manifiesta el estado de la vivienda ante la imposibilidad de visita.",False,good,False,3370.0,False,False,False,False,[],False,False,182000.0,€,,,flat,,"Campamento, Madrid",Piso en Cl Villaviciosa,Destacado,1,True,False,,,,,
108644104,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/90/e2/1350864456.webp,34,1275000.0,flat,sale,225.0,6,2,calle de Santa Cruz de Marcenado,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4296537,-3.7083313,False,https://www.idealista.com/inmueble/108644104/,"Redpiso San Bernardo-Malasaña-Chamberí vende en exclusiva y en NUDA PROPIEDAD una magnífica vivienda de 225 m² construidos, exterior, con gran potencial de reforma. La propiedad está valorada en más de 1.600. 000 €, pero se ofrece a un precio significativamente reducido al tratarse de una operación en nuda propiedad. La actual usufructuaria, una señora de 92 años, conservará el derecho de uso y disfrute de la vivienda durante el resto de su vida, lo que convierte esta operación en una excelente oportunidad de inversión patrimonial a medio plazo, segura y sin riesgos asociados a alquileres. La vivienda cuenta con seis amplios dormitorios, dos baños completos, un espacioso salón-comedor y cocina independiente. Dispone además de tres terrazas exteriores y una interior, lo que aporta una gran luminosidad y múltiples posibilidades de distribución tras una reforma. El piso se encuentra para actualizar, ofreciendo al comprador la posibilidad de diseñar un futuro hogar o inversión de alto nivel en una ubicación privilegiada. El inmueble se encuentra en un edificio con ascensor y presenta una distribución ideal para una familia o para su reconversión en una vivienda de lujo. Todos los gastos de comunidad e IBI corren a cargo de la usufructuaria, lo que permite al comprador adquirir la nuda propiedad sin gastos añadidos ni gestión activa. Una inversión única para quienes buscan un activo inmobiliario sólido, con alta revalorización futura y en una de las mejores zonas de la ciudad. Excelente comunicación de transporte público en autobús: 144, 7,3, 21 y C03 en Metro: San Bernardo (L2 y L4) y Bilbao (L1 y L4). Visite sin compromiso. Solicite más información y/o cita previa a los teléfonos: – Vea más inmuebles en.",False,renew,False,5667.0,False,False,False,False,[],False,False,1275000.0,€,,,flat,,"Malasaña-Universidad, Madrid",Piso en calle de Santa Cruz de Marcenado,Destacado,1,True,True,RP1852025139578,,,,
108377143,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bf/4e/2d/1342290001.webp,14,1150000.0,flat,sale,206.0,3,2,calle de Valencia,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4051982,-3.6999771,False,https://www.idealista.com/inmueble/108377143/,"CALLE VALENCIA, EN PLENO CORAZÓN DE LAVAPIÉS. Espectacular ático de 210 metros, cuenta con 100 metros de vivienda y 110 metros de gran terraza con impresionantes vistas 360. Cuenta con 3 dormitorios, 2 baños.    La vivienda ha sido reformada en su totalidad ofreciendo aire acondicionado y ventilación natural en todas las estancias, tarima flotante AC5, puertas lacadas, ventanas PVC climalit, persianas motorizadas.    Zona privilegiada, muy bien situado y comunicado por metro y autobús. Cerca de la Biblioteca Humanidades UNED, todo tipo de comercios, parques, zonas de ocio y grandes superficies.    SI QUIERE VER MÁS INMUEBLES EN ESTA ZONA VISÍTENOS EN inmuga. com    En Inmuga Homes, resolvemos cualquier duda o consulta fiscal y jurídica que pudiera surgir. Buscamos FINANCIACIÓN. Tramitamos la inscripción de compraventas, herencias, cancelaciones de hipoteca, levantamiento de embargos, C. E. E…. y cualquier trámite relacionado con la transacción de su inmueble. Contáctenos para ampliar información.",False,good,False,5583.0,False,False,False,False,[],False,False,1150000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de Valencia,Destacado,4,True,True,2024027-2,,,,
