propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,exterior,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,neighborhood
107921101,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/75/4b/8b/1328363796.webp,C464,17,2,219000.0,flat,sale,84.0,2,2,Centro,Madrid,San Fernando de Henares,Centro,es,40.424505,-3.5372484,False,https://www.idealista.com/inmueble/107921101/,"Descubra este encantador dúplex ubicado en la segunda planta, donde cada detalle ha sido concebido para ofrecerle confort y estilo. Al cruzar el umbral de este acogedor hogar, será recibido por un salón comedor que se baña en luz natural gracias a su balcón privado, creando un ambiente perfecto para relajarse o disfrutar de momentos inolvidables en familia. El piso inferior alberga un baño decorado con elegancia a través de su mármol que añade un toque sofisticado, así como una amplia cocina que también dispone de su propio balcón, ideal para aquellos que disfrutan del arte culinario en un espacio amplio y luminoso. La planta superior está diseñada para el descanso y la privacidad. Encontrará dos habitaciones de generosas dimensiones que prometen confort y tranquilidad. El pasillo incluye un armario empotrado, ofreciendo un práctico almacenamiento extra. Además, un baño amplio complementa esta planta, asegurando comodidad para todos los residentes. El dúplex se completa con suelos porcelánicos que combinan a la perfección con las paredes lisas, creando un acabado moderno y pulcro. Las ventanas climalit garantizan aislamiento acústico y térmico, mejorando la eficiencia energética de la vivienda, complementado por un sistema de calefacción y agua caliente proporcionado por gas natural, destacado por su caldera nueva para una experiencia eficiente. Tanto los balcones como la entrada principal están dotados de elementos de seguridad y comodidad, incluyendo las mosquiteras y una robusta puerta blindada. No pierda la oportunidad de visitar esta propiedad única, donde el diseño moderno y la funcionalidad se unen para crear un hogar acogedor. Recuerde que en esta oportunidad, no cobramos honorarios al cliente comprador, haciendo esta oferta aún más atractiva. El gasto de comunidad es de: 57 €. El IBI: 367 €. No tiene ascensor. El precio es negociable.",True,good,False,False,2607.0,False,False,False,False,[],False,False,219000.0,€,225000.0,6000.0,3.0,flat,"Centro, San Fernando de Henares",Piso,Destacado,,,,,
108703273,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/83/a2/14/1352616773.webp,RP2212025139801,23,1,1120000.0,flat,sale,229.0,2,2,Arroyo de la Vega,Madrid,La Moraleja,Arroyo de la Vega,es,40.5383382,-3.6202858,False,https://www.idealista.com/inmueble/108703273/,"Redpiso Alcobendas Norte, presentamos esta magnífica vivienda en planta baja, que destaca por contar con más de 80m² de jardín privado. Está ubicada en una de las urbanizaciones más exclusivas de Madrid. La construcción, a cargo de Levitt, reconocida por su calidad y elegancia, ofrece un equilibrio perfecto entre el estilo contemporáneo y la comodidad de disponer de un espacio exterior propio. El inmueble consta de 2 espaciosos dormitorios y 2 baños completos, distribuidos en una sola planta, pensada para el confort y la funcionalidad del día a día. El amplio salón comedor, con acceso directo al jardín, se llena de luz natural gracias a sus grandes ventanales, creando una atmósfera luminosa, acogedora y cálida en todo momento. Los acabados de alta gama se aprecian en cada detalle: suelos de primera calidad, carpintería interior cuidada, un sistema de climatización eficiente, cocina totalmente equipada y un avanzado sistema domótica que permite gestionar desde el móvil o paneles táctiles la iluminación, temperatura, persianas y otros aspectos del hogar. Ademas, cuenta con una plaza de garaje. Sin duda, el gran atractivo de esta vivienda es su jardín privado, ideal para crear una zona de relax, un área de juegos para niños o incluso colocar una pequeña piscina. Ademas, cuenta con una plaza de garaje. La comunidad cuenta con zonas comunes de primer nivel: piscina de adultos e infantil, zonas verdes y espacios de recreo, vigilancia 24 horas con control de accesos, todo ello hace de esta urbanización un entorno tranquilo, seguro y familiar. Si necesitas más información o deseas programar una visita no dudes en contactarnos, descubre todo lo que puede ofrecerte. De conformidad con el Artículo 6 del RD 515/1989, de 21 de abril, informamos a los clientes que los gastos notariales, registrales, Impuesto de Transmisiones Patrimoniales (I. T. P. ) gastos financieros e intermediación inmobiliaria y otros gastos inherentes a la compraventa no están incluidos en el precio de venta de la vivienda. ""Se cumplen todos los requisitos y derechos referidos en la Ley 12/2023 por el Derecho a la Vivienda"". Asesórate con nuestro departamento financiero DCREDIT para conseguir las mejores condiciones hipotecarias, financiamos hasta el 100%. En REDPISO ALCOBENDAS NORTE trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Alcobendas, con un gran equipo especializado en la zona, para proporcionarles la mejor opción a cada necesidad, cuidando al máximo los detalles.",True,good,False,True,4891.0,False,False,False,False,[],False,False,1120000.0,€,,,,flat,"Arroyo de la Vega, La Moraleja",Piso,Destacado,True,True,True,,
104971225,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/31/97/1237863643.webp,RP3112024126834,41,,122000.0,chalet,sale,226.0,4,2,calle Doctor Piga,Madrid,Cenicientos,,es,40.263989,-4.4649911,False,https://www.idealista.com/inmueble/104971225/,"REDPISO MADRID SUROESTE le ofrece en venta casa ubicada en el municipio de Cenicientos, localidad con encanto de la Comunidad de Madrid, a las puertas del valle del Tiétar y la Sierra de Gredos.  La vivienda cuenta con una superficie construida de 226m² distribuidos en tres plantas de aproximadamente 69m² cada una. Posee un fantástico patio de 20m² y barbacoa. La planta baja consta de salón, cocina y un baño completo. Desde esta planta tenemos acceso al patio. Cuenta también con una estancia habilitada para lavadero y una despensa.  En la primera planta nos encontramos con cuatro dormitorios y otro baño completo. Y en la última planta o tercera una buhardilla con un espacio multifuncional. Su magnífica ubicación le permite un rápido acceso tanto a su núcleo urbano como a la capital. Un lugar tranquilo y familiar en el que dispondrá de todo lo necesario al alcance de su mano. Con acceso a todos los servicios y comodidades que Cenicientos tiene para ofrecer. Además, vivir en el corazón del pueblo brinda la oportunidad de sumergirse en su ambiente tradicional y disfrutar de la vida comunitaria. El municipio de Cenicientos está situado a 80km. de la capital y se caracteriza por su gran belleza natural y su alto valor paisajístico. Se encuentra en un entorno medioambiental privilegiado, con bonitos parajes a sus alrededores y sus excelentes vistas de la sierra de la Higuera o la Peña de Cenicientos de 1.252m. de altitud. Esto último ha hecho que Cenicientos sea espacio natural protegido. A Cenicientos se llega en automovil mediante varias vias de acceso: N-V (dirección Badajoz) y M-507 y M-501 (Madrid-Plasencia), N-V y M-542. Autobús desde el intercambiador de autobuses de Madrid, Principe Pio. ¡No dude en contactar con nosotros para solicitar toda la información que necesite y concertar una visita para conocer la vivienda!.",False,good,False,,540.0,False,False,False,False,[],False,False,122000.0,€,,,,chalet,Cenicientos,Casa independiente en calle Doctor Piga,Destacado,,,,independantHouse,
108053540,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/56/76/1332443292.webp,RP482025137177,39,,624900.0,chalet,sale,256.0,4,3,Rivas Centro,Madrid,Rivas-Vaciamadrid,Rivas Centro,es,40.3529511,-3.5199794,False,https://www.idealista.com/inmueble/108053540/,"¡Te presentamos este encantador Chalet de esquina construido por Larvin, ubicado en una tranquila calle privada! Un hogar que te ofrece toda la privacidad, seguridad y confort que estás buscando. La vivienda cuenta con una amplia cocina reformada hace apenas tres años, diseñada con materiales de alta calidad y equipada con una práctica isla central. El salón-comedor es muy espacioso y tiene acceso directo al jardín, perfecto para disfrutar en familia o con amigos. Dispone de cuatro habitaciones amplias, incluyendo una en la planta baja para mayor comodidad. Además, ofrece dos baños completos con plato de ducha, uno de ellos en suite, y un aseo adicional. La buhardilla es totalmente diáfana, un espacio versátil que puedes adaptar como sala de juegos, oficina o un acogedor rincón de lectura. El exterior no se queda atrás: encontrarás una piscina privada y una zona de barbacoa, ideales para relajarte o compartir momentos inolvidables. El garaje, situado en el sótano, tiene capacidad para tres coches y ofrece acceso directo al interior de la casa. Además, en el sótano encontrarás un práctico cuarto de lavandería y una bodega, perfectos para mayor comodidad y almacenamiento. La ubicación es inmejorable: el chalet es de esquina, lo que aporta mayor independencia y luminosidad, y se encuentra a menos de 100 metros del Mercadona, además de estar rodeado de colegios, instituto, guarderías y todo tipo de servicios esenciales. Este chalet es una oportunidad única para vivir en un entorno tranquilo, agradable y con todas las comodidades que tu familia necesita. ¡Ven a visitarlo y enamórate de tu futuro hogar! Podemos conseguir la mejor financiación con nuestro departamento Dcredit.  *El precio no incluye el impuesto de Transmisiones Patrimoniales, honorarios del comprador por la intermediación inmobiliaria, gastos notariales y/o registrales (según el caso)*.",False,good,False,,2441.0,False,False,False,False,[],False,False,624900.0,€,639000.0,14100.0,2.0,chalet,"Rivas Centro, Rivas-Vaciamadrid",Chalet pareado,Destacado,,True,True,semidetachedHouse,
107175012,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ef/fd/b5/1305740291.webp,,36,,600000.0,chalet,sale,296.0,5,3,Rivas Urbanizaciones,Madrid,Rivas-Vaciamadrid,Rivas Urbanizaciones,es,40.370872,-3.5343357,False,https://www.idealista.com/inmueble/107175012/,"Exes Rivas vende chalet pareado en la mejor zona de rivas, muy cerca de colegio, instituto y zona comercial. Se distribuye de la siguiente manera: Planta baja: Salón comedor con chimenea dividido en dos ambientes con grandes ventanales que dan acceso a una espectacular parcela de 500 metros con piscina y jardín. Cocina equipada y baño de cortesía, y ademas habitación muy luminosa perfecta como oficina o habitación de invitados. Planta primera: cuatro habitaciones, la principal con baño en suite aire acondicionado y terraza, las otras tres dobles con armarios empotrados, y una de ellas con aire acondicionado y terraza, ademas de otro baño completo que da servicio a las tres habitaciones Planta sotano: bodega de 85 metros en bruto. A tener en cuenta: - Habitación en planta baja - Aire acondicionado en salón y dos habitaciones - Armarios empotrados - Rampa de acceso - piscina con valla de seguridad - salón en dos ambientes. ¡No pierdas la oportunidad de vivir en este exclusivo chalet pareado en Rivas Urbanizaciones! Contáctanos para más información y para concertar una visita. Tu nuevo hogar te está esperando.",True,good,False,,2027.0,False,False,False,False,[],False,False,600000.0,€,,,,chalet,"Rivas Urbanizaciones, Rivas-Vaciamadrid",Chalet pareado,Destacado,,True,True,semidetachedHouse,
106959603,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/9f/bc/1305346675.webp,,16,4,2950000.0,flat,sale,235.0,3,4,calle de la Academia,Madrid,Madrid,Retiro,es,40.414869,-3.6917718,False,https://www.idealista.com/inmueble/106959603/,"Consulting Inmobiliario Esquivel ofrece este exclusivo piso reformado a estrenar cuenta con un diseño cuidado y una distribución funcional. Incluye una plaza de garaje en la misma finca, amplia y de cómodo acceso, además de un trastero. El inmueble dispone de un salón principal, además tiene una zona que puede utilizarse como sala de televisión o despacho, un comedor y una cocina semi-independiente que, si se prefiere, puede cerrarse. Ofrece tres dormitorios en suite, siendo el principal un espacio único con vestidor y una salita o despacho adicional. También cuenta con un aseo de visitas y una lavandería para mayor comodidad. Es un piso interior con bonitas vistas a la calle con mucho verde. El salón principal también se orienta hacia este jardín, aportando luminosidad y un ambiente sereno, en lo mejor de Los Jerónimos. Para más información no dude en contactarnos por privado. Contamos con una gran cartera de propiedades no publicadas.",False,good,False,True,12553.0,False,False,False,False,[],False,False,2950000.0,€,,,,flat,"Jerónimos, Madrid",Piso en calle de la Academia,Destacado,True,True,True,,Jerónimos
108733510,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/69/22/dc/1353548334.webp,IDEIDE2190634,9,,799000.0,chalet,sale,219.0,4,3,calle Hermanos Machado,Madrid,Boadilla del Monte,Sector B,es,40.4088971,-3.898628,False,https://www.idealista.com/inmueble/108733510/,"Chalet adosado en venta, en el Sector B, Boadilla del Monte, Madrid   POR PEDIDO DE LA PROPIEDAD NO SE PUBLICARÁN FOTOS.  La vivienda se distribuye en tres plantas:  Planta principal: hall recibidor, baño completo de cortesía, cocina con zona office, salón-comedor con chimenea que da a acceso a bonito jardín privado de 40 metros con salida directa a urbanización con piscina y zona verde.    En la primera planta nos encontramos con la zona de descanso compuesta por 4 dormitorios, uno de ellos en suite con vestidor y un baño completo que da servicio a las restantes habitaciones.  Planta Sótano cuenta con una bonita bodega, ideal para sala de cine o de juegos, pequeño trastero, pequeño patio interior y bajo escalera. Garaje privado. Calefacción de gas natural por radiadores. Finca del 2000 La urbanización cuenta con piscina y zona verde. Comunidad: 115 Euros. IBI: 700 euros. No dude en venir a visitarla. NOSOTROS: En VOhome queremos que se sienta como en casa. Con más de 10 años de experiencia en el sector y más de 150 profesionales que con toda la ilusión, la actitud y la profesionalidad hacemos que la compra de su inmueble sea más fácil. Para ello, contamos con diferentes servicios, propios y externalizados, como son: Departamento financiero que asesora completamente gratis. Le aclaramos cuál sería la mejor opción para poder obtener su hipoteca. Siempre intentando conseguirle las mejores condiciones. Departamento de Arquitectura, Jurídico y Gestión de mudanzas y guardamuebles. También, departamento de reformas y decoración, que le asesorará y hará de su inmueble un hogar ideal. No dude en contactar con nosotros para concertar una visita o también, si lo prefiere, solicitar más información. ¡No pierda la oportunidad! Puede contactar llamando a nuestra oficina en el VOhome propiedades es tu inmobiliaria de confianza. En el precio de venta no están incluidos los gastos de compra (Impuestos de transmisiones patrimoniales / Notaría-Gestoría / Registro / intermediación inmobiliaria y/o Financiera).",False,good,False,,3648.0,False,False,False,False,[],False,False,799000.0,€,,,,chalet,"Sector B, Boadilla del Monte",Chalet adosado en calle Hermanos Machado,Destacado,,,,terracedHouse,
108284786,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d5/37/33/1339523697.webp,LCM36860,13,7,249900.0,flat,sale,106.0,3,2,calle de Belzunegui,Madrid,Madrid,Carabanchel,es,40.3784629,-3.7382238,False,https://www.idealista.com/inmueble/108284786/,"La Casa Agency te invita a descubrir este encantador piso exterior, ubicado en una zona tranquila y rodeada de hermosos espacios ajardinados.  La propiedad dispone de tres acogedores dormitorios, dos baños, una cocina independiente con cuarto de lavado y un amplio salón comedor, Aunque requiere reforma, su estructura brinda la oportunidad de diseñar nuevos espacios y crear ambientes abiertos y contemporáneos. Esta vivienda ofrece un potencial excepcional para aquellos que desean crear un hogar moderno, funcional y lleno de luz, representa una opción atractiva tanto para familias en busca de un nuevo hogar como para inversores con visión. La propiedad se beneficia de la cercanía de estaciones de metro y líneas de autobuses, lo que facilita el acceso a cualquier punto de la ciudad.  No pierdas la oportunidad de vivir en este maravilloso piso.  ¡Contáctanos hoy mismo para programar una visita! NOTA: este anuncio no es vinculante; puede contener errores y se muestra a título informativo, no contractual.",False,good,False,True,2358.0,False,False,True,False,[],False,False,249900.0,€,,,,flat,"Puerta Bonita, Madrid",Piso en calle de Belzunegui,Destacado,True,,,,Puerta Bonita
107703120,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/22/bc/c7/1320313237.webp,RP382025136056,15,bj,140000.0,flat,sale,76.0,1,1,Camarma de Esteruelas,Madrid,Camarma de Esteruelas,,es,40.5306861,-3.3841324,False,https://www.idealista.com/inmueble/107703120/,"REDPISO vende en Camarma de Esteruelas, precioso loft dúplex seminuevo de 60 m2 útiles con patio de 15 m2, la planta baja dispone de salón muy luminoso con cocina americana completamente equipada, con acceso a patio privado ideal para disfrutar con amigos y familia, baño con plato de ducha. El dormitorio principal se encuentra en la planta alta. La vivienda se encuentra en un recinto privado con seguridad 24 horas, recogida de basura y zonas verdes. La zona es Ideal para descansar del ruido de la ciudad. Cuenta con transporte público a la puerta del recinto. Conseguimos la mejor financiación con nuestro Departamento financiero DCredit, asesoramientos gratuitos, pasa e infórmate sin compromiso. Puedes ver todos nuestros inmuebles en nuestra página web de redpiso. es Para más información contactar con Néstor.",False,good,False,False,1842.0,False,False,False,False,[],False,False,140000.0,€,150000.0,10000.0,7.0,flat,Camarma de Esteruelas,Piso,Destacado,True,,,,
108528009,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/66/85/66/1347563665.webp,RP542025139062,18,1,170000.0,flat,sale,81.0,2,2,Barrio Valdebernardo - Valderrivas,Madrid,Madrid,Vicálvaro,es,40.3958758,-3.6055631,False,https://www.idealista.com/inmueble/108528009/,"¡Oportunidad de inversión! Venta de NUDA PROPIEDAD en Valderrivas, Madrid Se pone a la venta la nuda propiedad de una excelente vivienda de 63m² útiles, situada en una de las zonas residenciales más demandadas de Valderrivas (Vicálvaro), Madrid. Ideal para inversores que buscan asegurar su capital en un activo inmobiliario de alta calidad y con proyección. Valor actual del inmueble: 340.000 € En una primera planta con orientación suroeste. Ditribuida en: 2 dormitorios espaciosos, 2 baños, uno de ellos con ventana y plato de ducha, cocina independiente con tendedero. Suelos de parquet. Aire acondicionado en salón y dormitorio principal. Calefacción individual de gas natural. Trastero incluido en el precio. Ubicada en urbanización cerrada con: Piscina comunitaria, pista polideportiva y conserje 24 horas. Zonas ajardinadas y ambiente familiar La vivienda se encuentra en excelente estado de conservación. Se transmite únicamente la nuda propiedad, manteniendo el actual propietario el usufructo vitalicio del inmueble. Ubicación privilegiada, con todos los servicios a mano: transporte público, supermercados, centros educativos y zonas verdes. Una inversión segura, en una zona en constante revalorización. Para más información o concertar una visita informativa, contáctanos sin compromiso. No dejes pasar esta oportunidad de adquirir una propiedad valorada en 340.000 € a un precio muy atractivo. EN EL PRECIO NO ESTÁN INCLUIDOS LA GESTIÓN INMOBILIARIA QUE ASCIENDE AL 4% MAS IVA.  NI LOS GASTOS DE NOTARIO REGISTRO E IMPUESTOS NO INCLUIDOS EN EL PRECIO.",False,good,False,True,2099.0,False,False,False,False,[],False,False,170000.0,€,190000.0,20000.0,11.0,flat,"Valdebernardo - Valderrivas, Madrid",Piso,Destacado,True,,,,Valdebernardo - Valderrivas
