propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
108235748,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ba/77/04/1337983117.webp,RP1922025137681,28,st,540000.0,flat,sale,81.0,False,1,1,calle de Caracas,Madrid,Madrid,Chamberí,es,Almagro,40.4316444,-3.6942163,False,https://www.idealista.com/inmueble/108235748/,"Real Estate Almagro! Vende piso tipo loft de diseño, de 81 m2 construidos. Una excelente oportunidad para vivir en Almagro. El dormitorio dispone de baño en suite. Cocina abierta al salón-comedor. Finca representativa. Además, cuenta con una habitación multiuso o vestidor. Solicite información o cita a los teléfonos: Asesor comercial:.",False,good,False,True,6667.0,False,False,False,False,[],False,False,540000.0,€,flat,"Almagro, Madrid",Piso en calle de Caracas,Destacado,,,,,,
106734343,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/c9/8a/1292387183.webp,02515,10,4,1329000.0,flat,sale,127.0,False,2,2,calle de Castelló,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4344902,-3.6829763,False,https://www.idealista.com/inmueble/106734343/,"Infocasa pone en venta extraordinaria vivienda en el Barrio de Salamanca en la zona de la Castellana, con amplios dormitorios y dos cuartos de baño, salón, terraza y cocina equipada. Tiene la carpintería interior de lacado en blanco y la carpintería exterior de climalit. La vivienda se entrega totalmente reformada y amueblada. Es una casa muy luminosa con vistas a un bonito patio de manzana que permite que entre mucha luz en toda la casa y la haga muy acogedora. Está muy bien ubicada en un elegante edificio  Con calefacción y aire acondicionado. Es una gran oportunidad.",False,good,False,True,10465.0,False,False,False,False,[],False,False,1329000.0,€,flat,"Castellana, Madrid",Piso en calle de Castelló,Destacado,,,,,,
108433951,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3c/4a/b9/1344743486.webp,,11,3,184000.0,flat,sale,49.0,True,1,1,CL JUAN DE HERRERA,Madrid,Aranjuez,Vergel-Las Olivas,es,,40.025826,-3.6183593,False,https://www.idealista.com/inmueble/108433951/,"Piso listo para entrar a vivir desde el primer día. Ubicado en una estupenda tercera planta con ascensor, cuenta con un dormitorio amplio, salón-comedor con salida a un balcón ideal para relajarte, cocina equipada y baño completo. Aire acondicionado por conductos en toda la vivienda. Se vende tal y como aparece en las fotos, con todos los muebles incluidos. Es una vivienda cómoda, acogedora y con mucho encanto. Además, está cerca de todos los servicios básicos. ¡Ven a verlo, te va a enamorar!",False,good,False,True,3755.0,False,False,False,False,[],False,False,184000.0,€,flat,"Vergel-Las Olivas, Aranjuez",Piso en Cl Juan De Herrera,Destacado,189000.0,5000.0,3.0,,,
107171555,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/f7/11/96/1326401590.webp,,10,bj,650000.0,flat,sale,116.0,True,4,2,calle de Echegaray,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4158984,-3.6991409,False,https://www.idealista.com/inmueble/107171555/,"YÑARRA INMOBILIARIA, presenta en exclusiva esta vivienda en venta en una de las calles principales del barrio de la Cortes, junto a la plaza de Santa Ana.  Dispone de 116 metros. Fachada protegida. En la parte sótano del local hay una cueva de unos 50 metros. Dispone de una amplia zona de entrada, 4 estancias, un baño y dos patios, en uno de ellos con un aseo y la cocina. Techos muy altos de 3,60.",False,renew,False,True,5603.0,True,False,False,False,[],False,False,650000.0,€,flat,"Huertas-Cortes, Madrid",Piso en calle de Echegaray,Destacado,,,,,,
107782231,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/84/24/b3/1323620488.webp,IDE2310325,20,,1250000.0,chalet,sale,355.0,,6,3,Zona Monte el Pilar,Madrid,Majadahonda,Zona Monte el Pilar,es,,40.468883,-3.8593116,False,https://www.idealista.com/inmueble/107782231/,"VOhome propiedades se enorgullece de presentarles este encantador y bonito chalet con piscina y jardín independiente, ideal para familias. Se encuentra en una de las mejores zonas de Majadahonda, próximo a Monte del Pilar y estación de Renfe. La distribución de esta propiedad es muy funcional. En el sótano, encontramos un salón, habitación con acceso directo a jardín, más baño completo con plato de ducha, lavandería, pequeño trastero y plaza de garaje para coche grande. En la planta calle, desde amplio hall nos conduce a un amplio salón con chimenea y acceso directo a terraza con bajada a la piscina y al jardín. También en esta planta encontramos una cocina, con salida a terraza comunicada con la del salón, aseo de cortesía y armario gabanero. Planta primera se compone de 4 dormitorios y dos baños, uno de Ellos en suite. Uno de los dormitorios con bonita terraza. Todos con armarios empotrados. Planta buhardilla, diáfana convertida en salón multifuncional y salida a terraza con vistas. (Esta vivienda tiene posibilidad de hacer ascensor desde sótano hasta buhardilla) La calefacción es de gas natural - individual, proporcionando un ambiente cálido y confortable en todas las estaciones del año. Muy bien comunicada por su fácil acceso a la A-6 salida a M40 - M50 y buena comunicación a Madrid con cercanías Renfe y autobuses a Moncloa. Cuenta con una excelente infraestructura y una amplia variedad de servicios y comodidades. En las cercanías de este chalet, tenemos centros comerciales como el Carralero, Equinocio y Gran Plaza, en una amplia oferta de tiendas, restaurantes y gimnasio. Desde Vohome propiedades estaremos encantados con nuestro equipo de expertos asesores en mostrarle la vivienda.",False,good,False,,3521.0,False,False,False,False,[],False,False,1250000.0,€,chalet,"Zona Monte el Pilar, Majadahonda",Chalet pareado,Destacado,,,,semidetachedHouse,,
108710099,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/49/b2/1357115949.webp,0003691,32,4,260000.0,flat,sale,73.0,True,2,1,Barrio Canillejas,Madrid,Madrid,San Blas,es,Canillejas,40.4425526,-3.6111602,False,https://www.idealista.com/inmueble/108710099/,"OPORTUNIDAD EN LA ZONA DE CANILLEJAS  Vivienda luminosa de 2 dormitorios dobles, ( antes tres) cuenta con con armarios empotrados, salón-comedor con 2 ambientes, cocina totalmente amueblada y equipada  Suelos de tarima y cerámicos, agua caliente por termo eléctrico. Trastero. Cuarta planta sin ascensor, son posibilidad de instalación de ascensor. Muy cerca del parque de Canillejas, comercios, colegios, transportes. No dude en visitarlo.",False,good,False,False,3562.0,False,False,False,False,[],False,False,260000.0,€,flat,"Canillejas, Madrid",Piso,Destacado,265000.0,5000.0,2.0,,,
108906103,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b1/59/eb/1358525905.webp,RP842025140456,14,4,210000.0,flat,sale,86.0,True,3,1,La Serna,Madrid,Fuenlabrada,La Serna,es,,40.2903241,-3.8003742,False,https://www.idealista.com/inmueble/108906103/,"¡Oportunidad en Fuenlabrada – Las Provincias! Desde Redpiso Fuenlabrada Las Provincias te presentamos esta estupenda vivienda de 86 m² construidos y 69 m² útiles, ideal para familias o como inversión. La vivienda cuenta con 3 amplias habitaciones, un baño, salón independiente con salida a una acogedora terraza, y una cocina reformada y amueblada, lista para entrar a vivir. Además, dispone de ascensor en la finca y trastero, lo que añade comodidad y espacio de almacenamiento adicional. Destaca su suelo de tarima en salón y habitaciones, lo que aporta calidez y confort a los espacios. La distribución es funcional y muy luminosa, gracias a su buena orientación. Ubicada en una zona consolidada, con todos los servicios a mano: colegios, supermercados, zonas verdes, transporte público y fácil acceso a principales vías. ¡No dejes pasar esta oportunidad! Contacta con nosotros para más información o para concertar una visita.",False,good,False,True,2442.0,False,False,False,False,[],False,False,210000.0,€,flat,"La Serna, Fuenlabrada",Piso,Destacado,,,,,,
104635587,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/65/60/1226915966.webp,,12,1,980000.0,flat,sale,110.0,True,2,2,calle de Alcalá,Madrid,Madrid,Barrio de Salamanca,es,Guindalera,40.4307029,-3.6679957,False,https://www.idealista.com/inmueble/104635587/,"PISAZO. Ponemos a la venta está magnifica vivienda con ventanales en cada estancias, lo que permite disfrutar de una luz natural magnifica, la sensación es estar fuera pero sin ningún tipo de ruido. Es realmente muy buena casa. Se estrena por el nuevo propietario.  La cocina se deja amuebla con isla muy amplia disponiendo de zona de comer en la propia isla y los armarios son vitrinas con iluminación. se puede tener independiente o se puede dejar abierta al gran salón. Se deja montada con todos los electrodomésticos de alta gama con las correspondientes garantías. Le entra una luz de un ventanal enorme desde el que contemplas la arboleda y la calle. Salón muy amplio con tres ventanales también a la calle con molduras en techos y paredes y con suelo de mármol espectacular. Dispone de TRES dormitorios muy amplios y buenos armarios y baño en suite. también baños amplios y muy elegantes montados por la prestigiosa firma PORCELANOSA.  Con lo cual tenemos la vivienda con tres dormitorios y tres cuartos de baño, con vistas a un parque romano. La zona de noche van los suelos de madera noble montada también por Porcelanosa. Tiene cuarto de lavandería lo suficientemente amplio como para tener todas las maquinas y poder realizar las labores de plancha con mucho espacio. Muy buena finca con portero físico y con varios ascensores. Muy bien comunicado con varias líneas de autobuses en la puerta y la estación de metro de Manuel Becerra.  En coche también está muy bien situado porque se tiene acceso a la M30 todas las direcciones en un minuto. Se va andando a la zona de Goya, Retiro, Recoletos, Colón etc. Las fotografías son infografías por petición de la propiedad.",False,good,False,True,8909.0,False,False,False,False,[],False,False,980000.0,€,flat,"Guindalera, Madrid",Piso en calle de Alcalá,Destacado,,,,,,
104314636,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/ff/76/1216445685.webp,233,10,1,920000.0,flat,sale,110.0,True,2,3,calle de Alcalá,Madrid,Madrid,Barrio de Salamanca,es,Guindalera,40.4301857,-3.6679737,False,https://www.idealista.com/inmueble/104314636/,"INFOCASA tiene en venta una vivienda AMPLISIMA en la calle Álcala cerca de Plaza Manuel Becerra en Barrio Salamanca.  Es totalmente EXTERIOR con GRANDES VENTANALES toda la vivienda que permiten la entrada de muchísima luz natural y todas las zonas son soleadas.  Esta a NUEVA. Se ha realizado una reforma integral con cambio de fontanería y toda la electricidad, lo que va a permitir disfrutar de la casa sin tener que realizar ninguna obra durante muchos años. Todos los materiales son de alta calidad de la prestigiosa firma de PORCELANOSA. Se ha distribuido en tres cuartos de baño en suite, tres dormitorios con ventanales y con vistas a un maravilloso jardín con arquitectura romana, y piscina. La zona de Salón, Comedor y Cocina dan a la conocida calle de Alcalá pero no tiene nada de ruido en la vivienda. En esta vivienda se disfruta de una armonía y una paz extraordinaria.  Tiene zona de Lavandería lo suficientemente amplia como para tener la lavadora, secadora y zona de plancha. Llámenos para poder mostrársela y que pueda aprovechar esta GRAN OPORTUNIDAD de compra. Muy buen edificio con ascensores, montacargas, Servicio de portería. Ponemos a su disposición nuestros departamentos: Departamento jurídico encargado de gestionar todo tipo de herencias y temas relacionados con el sector inmobiliario. Departamento de compra: Compramos su casa en un plazo no superior a 10 días al contado. Departamento de venta: Nos encargamos de gestionar la venta de su casa, realizando todas las tramitaciones en un plazo máximo de dos meses. Departamento de Obras e Interiorismo: realizamos todo tipo de obras y nos encargamos de amueblar su vivienda. Departamento de Mudanzas: solo en la Comunidad de Madrid.",False,good,False,True,8364.0,False,False,False,False,[],False,False,920000.0,€,flat,"Guindalera, Madrid",Piso en calle de Alcalá,Destacado,,,,,,
108663795,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/0c/39/1355357602.webp,A-177,4,6,680000.0,flat,sale,110.0,False,3,2,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4245104,-3.7091735,False,https://www.idealista.com/inmueble/108663795/,"Se Vende magnifico Piso con reforma integral, muy luminoso, distribuido en un amplio salón, cocina totalmente equipada con electrodomésticos de alta gama, tres dormitorios con armarios empotrados y dos cuartos de baño completos. Se han utilizado materiales de primera calidad en toda la reforma, el piso está ubicado en un edificio señorial con portero y ascensor. Situado en pleno centro de Madrid, junto a la Plaza de España y la calle Princesa y a escasos minutos de la estación de metro.",False,good,False,True,6182.0,False,False,False,False,[],False,False,680000.0,€,flat,"Malasaña-Universidad, Madrid",Piso,Destacado,,,,,,
