propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108373020,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f8/05/9d/1342163690.webp,M-303,16,1,279000.0,flat,sale,65.0,True,3,1,Barrio Opañel,Madrid,Madrid,Carabanchel,es,Opañel,40.3884988,-3.719027,False,https://www.idealista.com/inmueble/108373020/,"MASTERPISO vende piso en Opañel, Carabanchel, Madrid, 1ª planta con ascensor, 65 m2 construidos, 3 habitaciones, baño completo, cocina americana, salón. VISITAS A PARTIR DEL 15 DE SEPTIEMBRE Vivienda totalmente reformada en el año 2024, suelo tarima, puerta de acceso blindada, ventanas aluminio climalit toda la casa, calefacción y agua caliente gas natural con caldera individual y contador. Zona tranquila y con todos los servicios cerca, comercios de barrio, parques, colegios, centro de salud, gimasios, centros deportivos etc. ¡Contáctanos para más información y visitas! Si quiere cambiar de vivienda, si quiere vender su inmueble, vender para compra o quiere saber el precio de mercado, hacemos valoraciones totalmente gratuitas y sin compromiso. VALORACIÓN GRATUITA ONLINE EN 2 MINUTOS EN NUESTRA PAGINA WEB Asesoramiento financiero gratuito a nuestros Clientes. El presente anuncio es a título informativo, no siendo vinculante, ya que puede contener errores, no siendo por tanto contractual en ningún caso.",True,good,False,True,4292.0,False,False,False,False,[],False,False,279000.0,€,flat,"Opañel, Madrid",Piso,Destacado,,,,,,,
108825460,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/1f/7b/1356230039.webp,RP1482025140188,2,3,780000.0,flat,sale,177.0,True,5,2,calle de la Batalla del Salado,Madrid,Madrid,Arganzuela,es,Palos de la Frontera,40.4054507,-3.695158,False,https://www.idealista.com/inmueble/108825460/,"Redpiso Servicios Inmobiliarios zona Atocha, ofrece en exclusiva magnifico piso en 2º planta exterior de 177m² con inmejorables vistas totalmente despejadas. Ubicado en la Calle Batalla del Salado. La vivienda se distribuye en un espacioso recibidor con un armario empotrado, que comunica a la izquierda con un amplio salón – comedor de 35m² con dos grandes ventanales que dan salida a la terraza. Encontramos a través del pasillo la cocina con office independiente. A continuación llegamos a los 5 dormitorios, de los cuales tres son dobles, siendo uno de ellos el dormitorio principal de unos de 18 m² con armario empotrado. Cuenta también con dos baños completos, uno con plato de ducha y otro con bañera. Con excelente luz natural gracias a su doble orientación este – oeste. Contamos con suelos de madera de espiga, carpintería interior de madera y carpintería exterior de aluminio. Calefacción central, con repartidores de coste y agua caliente central incluida en la comunidad. Ubicada en una tranquila finca con portero físico, construida en el año 1960, cuya comunidad la mantiene en perfecto estado de conservación. ITE pasada favorablemente en el año 2021. Comunidad de 230€/mes e IBI aproximado de 800€/año. Ubicado en el distrito de Arganzuela, este inmueble que está a pocos metros de la Estación Madrid- Puerta de Atocha. Destaca su proximidad al centro y a zonas culturales como El Museo Reina Sofía y Museo del Prado, que hacen de su ubicación un lugar perfecto para disfrutar de actividades culturales y de ocio, sin prescindir de áreas de recreo y esparcimiento como el Parque del Retiro y Madrid Rio. Su situación le confiere un atractivo único y especial. La zona cuenta con una completísima oferta de servicios; comercios, colegios, restaurantes, zonas verdes, centro de salud etc. Dispone de buena conexión por transporte público, cuenta con varias paradas de metro alrededor; Embajadores (L3 y L5) y Acacias (L5), paradas de autobús con conexión con las líneas 27, C1, C2 19 y 45, a escasos metros. La zona es de fácil acceso, a través de la A-3 y M-30.",False,renew,False,True,4407.0,False,False,False,False,[],False,False,780000.0,€,flat,"Palos de la Frontera, Madrid",Piso en calle de la Batalla del Salado,Destacado,,,,,,,
108597211,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/f7/12/1353853233.webp,,4,3,1295000.0,flat,sale,115.0,True,2,2,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4253151,-3.6762294,False,https://www.idealista.com/inmueble/108597211/,"Exclusiva vivienda en el Barrio de Salamanca. Le presentamos esta magnifica oportunidad de vivir en una de las zonas mas emblematicas y demandadas de Madrid: el Barrio de Salamanca. Si buscas un hogar con personalidad, moderno y de calidad en una finca señorial, esta es tu casa. Fabuloso piso exterior con 2 habitaciones, 2 baños completos, salon comedor y cocina totalmente amueblada y con electrodomesticos de alta gama y una distribucion comoda y funcional tanto para vivir como para invertir. No deje pasar esta oportunidad y pida cita para visitarlo. Las imagenes son orientativas por deseo del propietario.",False,good,False,True,11261.0,False,False,False,False,[],False,False,1295000.0,€,flat,"Goya, Madrid",Piso,Destacado,,,,,,,
108240596,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6a/7d/b0/1338153781.webp,11519,25,bj,249000.0,flat,sale,114.0,True,2,2,Reyes Católicos,Madrid,Alcalá de Henares,Reyes Católicos,es,,40.4768105,-3.3712018,False,https://www.idealista.com/inmueble/108240596/,"Alcalá de Henares. Zona Rinconada. Amplio local hecho vivienda (dúplex), actualmente sin cambio de uso. Planta primera: salón, cocina con todos los electrodomésticos, aseo, dormitorio. Planta baja: habitación principal muy amplia, baño. Suelo gres, puertas lacadas en blanco, ventanas de aluminio, aire acondicionado en salón y dormitorios. AMUEBLADADO. Ubicado junto al casco histórico de la ciudad.",False,good,False,False,2184.0,False,False,False,False,[],False,False,249000.0,€,flat,"Reyes Católicos, Alcalá de Henares",Piso,Destacado,,,,,,,
108044295,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6a/bc/26/1332150546.webp,85893732,11,2,1179000.0,flat,sale,119.0,False,3,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4318613,-3.676229,False,https://www.idealista.com/inmueble/108044295/,"Piso Exclusivo Reformado en Salamanca – Listo para Verano Descubre este exclusivo piso de 119 m² en proceso de reforma integral, ubicado en el codiciado barrio de Salamanca, concretamente en la zona de Lista. Se trata de una vivienda interior amplia, con tres habitaciones y tres baños, que garantiza comodidad y privacidad para todos los residentes. La reforma finalizará antes del verano, permitiéndote estrenar hogar en uno de los barrios más prestigiosos de Madrid. El piso se entrega completamente amueblado, y los renders reflejan fielmente el resultado final-se venderá tal cual se muestra. Disfruta de una excelente ubicación, muy bien comunicada, con portería y ascensor. Una oportunidad única para adquirir una vivienda llave en mano en un entorno inmejorable.",False,good,False,True,9908.0,False,False,False,False,[],False,False,1179000.0,€,flat,"Lista, Madrid",Piso,Destacado,,,,,,,
107599650,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/65/6d/1317225426.webp,,5,1,2350000.0,flat,sale,230.0,True,3,3,Barrio La Finca,Madrid,Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,es,La Finca,40.4149372,-3.8097567,False,https://www.idealista.com/inmueble/107599650/,"¡Descubre el hogar de tus sueños en la exclusiva urbanización La Finca de Pozuelo de Alarcón! Este impresionante piso en esquina te ofrece unas vistas inigualables y un espacio de 230 m² construidos, de los cuales 200 m² son útiles. Con 4 habitaciones y 4 baños, tendrás el espacio perfecto para toda la familia. El amplio salón comedor es ideal para reuniones y momentos especiales, mientras que la cocina equipada de alta gama hará las delicias de cualquier amante de la gastronomía. Además, contarás con 2 plazas de garaje y un trastero, asegurando que el espacio nunca sea un problema. Disfruta de las comodidades de la urbanización, que incluyen piscina, gimnasio y extensos jardines, todo bajo la seguridad del servicio de portero y vigilancia las 24 horas. Construido en 2020, el piso se encuentra en excelente estado, con calefacción por bomba de frío/calor y aire acondicionado para tu máximo confort. Situado en la planta 1, con ascensor, este hogar lo tiene todo para que vivas con estilo y comodidad. ¡No dejes pasar esta oportunidad única! Por privacidad del propietario no se facilita direccion exacta, visitas con cita y conversacion previa.",False,good,False,True,10217.0,False,False,False,False,[],False,False,2350000.0,€,flat,"La Finca, Pozuelo de Alarcón",Piso,Destacado,True,True,,,,,
108390553,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/74/41/49/1342695673.webp,RP2702025138545,13,,125000.0,chalet,sale,450.0,,1,1,Villarejo de Salvanés,Madrid,Villarejo de Salvanés,,es,,40.1719648,-3.2727059,False,https://www.idealista.com/inmueble/108390553/,"¡Oportunidad única en el centro de Villarejo de Salvanés! Se vende pequeña vivienda con nave con un total 520 m' ubicada en pleno centro del municipio, en suelo urbano con posibilidad de edificar viviendas. Ideal tanto para promotores como para inversores que buscan una ubicación estratégica con gran proyección. Dispone de acceso desde dos calles, lo que ofrece mayor versatilidad y comodidad para futuros proyectos. Una inversión con múltiples posibilidades en una de las zonas con mayor potencial de desarrollo. ¡No dejes pasar esta oportunidad! El precio no incluye el Impuesto de Transmisiones Patrimoniales (máx. 6% sobre el precio de venta o del valor del inmueble que marque la Comunidad de Madrid), ni el 3% (mín. 4.000€) más IVA (21%) sobre el precio final del inmueble equivalente a los honorarios del comprador por la intermediación inmobiliaria, ni los gastos notariales y/o registrales en su caso.",True,renew,False,,278.0,False,False,False,False,[],False,False,125000.0,€,chalet,Villarejo de Salvanés,Chalet adosado,Destacado,,,terracedHouse,,,,
106743503,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/df/37/1317662434.webp,,1,5,5600000.0,penthouse,sale,290.0,True,4,3,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4233446,-3.6834092,False,https://www.idealista.com/inmueble/106743503/,"Esta exclusiva residencia ubicada en el corazón del distinguido Barrio de Salamanca - Recoletos en Madrid, se presenta como una oportunidad única de vivir en una propiedad con el máximo confort y elegancia. Situada en una magnífica finca clásica, con excelente portal y en una planta alta del edificio por laque es muy luminosa en todas sus estancias.  La disposición de este apartamento está diseñada para obtener el máximo aprovechamiento de los espacios y se encuentra en buen estado de conservación. Hall de entrada con acceso a zona de recibo compuesta por un amplio salón en dos ambientes de salón uno de ellos con chimenea y salida a la terraza de 25m2, totalmente acondicionada y con mucho encanto. Zona de comedor independiente. Cocina independiente, de gran tamaño, con zona de isla, totalmente amueblada y equipada, con espacio amplio para comedor de diario. Habitación de servicio y baño de servicio. Aseo de cortesía y lavandería independiente. La zona de noche está conformada por tres amplias habitaciones, la habitación principal es de gran tamaño con zona de vestidor, y baño muy amplio, hay espacio para hacer una zona de salón o despacho.  Las dos habitaciones secundarias tienen buen tamaño y comparten un baño. Edificio con calefacción central y portero físico. Dispone de un trastero y una plaza de garaje.",False,good,False,True,19310.0,False,False,False,False,[],False,False,5600000.0,€,flat,"Recoletos, Madrid",Ático,Destacado,True,True,penthouse,,,,
108543707,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/77/1f/1348033191.webp,RP212025139141,14,bj,269900.0,flat,sale,95.0,True,3,1,Barrio Zarzaquemada,Madrid,Leganés,Zarzaquemada,es,Zarzaquemada,40.3273782,-3.7532023,False,https://www.idealista.com/inmueble/108543707/,"Se vende vivienda reformada. Dispone de 3 dormitorios, salón con cocina incorporada y acceso a terraza acristalada y baño. Se encuentra en una ubicación inmejorable. Zona consolidada y muy tranquila, rodeado de parques y con todo tipo de servicios. Colegios e institutos cercanos. Renfe estación de Zarzaquemada a 12 minutos aproximados y parada de línea 12 de Metro Sur (El Carrascal) a 3 minutos. Puedes visitar el inmueble sin ningún tipo de compromiso. Recuerda que Redpiso te ofrece asesoramiento financiero gratis, ofreciéndote las mejores condiciones para tu hipoteca. ESTE ANUNCIO NO ES VINCULANTE, PUEDE CONTENER ERRORES, Y ESTA SUJETO A POSIBLES MODIFICACIONES (Comerciales, Jurídicas o por expreso deseo de la Propiedad). SE MUESTRA A TÍTULO INFORMATIVO Y NO CONTRACTUAL. DEBIENDO PARA ESTA FINALIDAD DIRIGIRSE A NUESTRO COMERCIAL O NUESTRAS OFICINAS, PARA OFRECERLE UNA INFORMACION MÁS DETALLADA VINCULADA CON EL INMUEBLE.",True,good,False,True,2841.0,False,False,False,False,[],False,False,269900.0,€,flat,"Zarzaquemada, Leganés",Piso,Destacado,,,,,,,
108652270,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/95/49/1351127127.webp,3126,11,,360000.0,penthouse,sale,84.0,True,2,2,Barrio Simancas,Madrid,Madrid,San Blas,es,Simancas,40.43844,-3.6200221,False,https://www.idealista.com/inmueble/108652270/,"USO OFICINA financiación hasta 70%  Descubre este exclusivo ático ubicado a pocos pasos del metro TORRE ARIAS, en una de las zonas con mejor proyección de Madrid. Esta propiedad ofrece una oportunidad única de vivir con todas las comodidades en la ciudad, sin renunciar a un amplio espacio exterior. El ático cuenta con dos habitaciones, un baño completo con plato de ducha y un aseo adicional, ideal para mayor confort en el día a día. La vivienda destaca por su terraza privada de 40m², un auténtico oasis urbano donde podrás disfrutar de comidas al aire libre, relajarte al sol, montar tu zona chill out o incluso cultivar tus propias plantas. Es el espacio perfecto para quienes valoran el contacto con el exterior sin salir de casa. Tiene plaza de garaje de alquiler por 100€ mensuales en el mismo edificio, una gran ventaja en una zona tan céntrica. Además, el edificio dispone de servicio de portería 24 horas, lo que aporta un plus de seguridad y comodidad. La luminosidad natural, el diseño funcional y la excelente ubicación hacen de este ático una opción ideal tanto para vivir como para invertir. Rodeado de comercios, colegios, servicios y con excelente conexión al transporte público, tendrás todo al alcance de tu mano. No pierdas la oportunidad de disfrutar de la vida en Madrid desde las alturas, con el privilegio de contar con una amplia terraza privada en plena ciudad.",False,good,False,True,4286.0,False,False,False,False,[],False,False,360000.0,€,flat,"Simancas, Madrid",Ático,Destacado,,,penthouse,,,,
