propertyCode,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,externalReference,neighborhood,floor,exterior,hasLift,thumbnail,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
98231905,0,1430000.0,chalet,sale,250.0,3,4,El Soto de la Moraleja,Madrid,La Moraleja,El Soto de la Moraleja,es,40.5211948,-3.6517702,False,https://www.idealista.com/inmueble/98231905/,"MORALEJA CONSULTING INMOBILIARIO OFRECE EN EXCLUSIVA en El Soto de la Moraleja, de 250m2, con 4 dormitorios, 4 baños y aseo de cortesía. Distribuidos en 3 plantas. Zona familiar y tranquila sin ruidos del entorno jardín privado. Planta Baja: . - Hall de entrada. -Aseo de cortesía. -Cocina -Salón comedor. -Jardín muy privado. Planta Primera: Dos amplios dormitorios juveniles comparten baño. Dormitorio principal de buen tamaño con baño en suite. Semi-Sótano: . - Zona de lavandería. -Zona de estar. - Garaje. El chalet se encuentra dentro de una urbanización con piscina, parque infantil y vigilancia. NO SE FACILITAN FOTOS DE LA VIVIENDA.",False,good,False,5720.0,False,False,False,False,[],False,False,1430000.0,€,True,True,chalet,terracedHouse,"El Soto de la Moraleja, La Moraleja",Chalet adosado,Destacado,,,,,,,,,,
104004816,0,5000000.0,chalet,sale,600.0,6,5,La Moraleja urbanización,Madrid,La Moraleja,La Moraleja urbanización,es,40.5153008,-3.6173525,False,https://www.idealista.com/inmueble/104004816/,"Moraleja Consulting Inmobiliario Casa de diseño, OPORTUNIDAD En impecable estado de conservación. vivienda de linea moderna, con impresionantes vistas al campo de golf. Disponemos de 6 dormitorios 5 baños. Parcela de 3000m2 con espectaculares vistas en perfecta orientación. Espectacular diseño y calidad de construcción. Piscina exterior Espectacular acceso muy representativo.  Dispone de un gran salón repartido en dos ambientes. rodeado de amplios ventanales con salida al jardín. La cocina de linea moderna en concepto abierto con todas las comodidades. El salón se compone de varios ambientes, con un amplio comedor con vistas a la parte posterior del jardín. Aseo para invitados.  Amplías habitaciones con armarios de gran capacidad.  Maravillosas vistas al campo de golf de la Moraleja Garaje cubierto para 3 coches y plazas exteriores. Domótica avanzada y grandes calidades de construcción. Disponibilidad inmediata Posibilidades de ampliación y personalización. Solicite fotos por privado.",False,good,False,8333.0,False,False,False,False,[],False,False,5000000.0,€,True,True,chalet,independantHouse,"La Moraleja urbanización, La Moraleja",Casa independiente,Destacado,,,,,,,,,,
106123798,0,2150000.0,chalet,sale,235.0,5,3,calle de Pardo Bazán,Madrid,Madrid,Chamartín,es,40.4540519,-3.6695199,False,https://www.idealista.com/inmueble/106123798/,"MOREHOUSE Real Estate les presenta este espectacular casa en Hispanoamérica. Con una parcela de 200 m², esta magnífica propiedad se distribuye en tres plantas más sótano, ofreciendo un total de 235 m² construidos para disfrutar al máximo. El sótano alberga un salón utilizado como sala de estar y garaje para tres coches En la primera planta se encuentran un gran salón, una cocina amplia y un aseo La segunda planta cuenta con tres grandes habitaciones luminosas y un baño. La última planta es una encantadora buhardilla. Por petición de algunos clientes, no publicamos parte de nuestros inmuebles en portales inmobiliarios. Aunque la mayoría de nuestra cartera está en nuestra página web, también tenemos oportunidades de inversión off-market. En MOREHOUSE Real Estate estamos especializados en comprar, vender y alquilar pisos en todo Madrid. Para cualquier gestión no dude en contactar con nosotros.",False,good,False,9149.0,False,False,False,False,[],False,False,2150000.0,€,True,True,chalet,independantHouse,"Bernabéu-Hispanoamérica, Madrid",Casa independiente en calle de Pardo Bazán,Destacado,MH1066,Bernabéu-Hispanoamérica,,,,,,,,
108411048,0,315000.0,studio,sale,24.0,0,1,calle Gonzalo Jiménez de Quesada,Madrid,Madrid,Centro,es,40.4217213,-3.7022317,False,https://www.idealista.com/inmueble/108411048/,"¡Oportunidad en pleno corazón de Malasaña! Estudio de 24 m² construidos, ubicado en una finca con ascensor, ideal para inversión o como primera vivienda. Se trata de un piso interior, tranquilo y silencioso, con muchas posibilidades de reforma para dejarlo a tu gusto. El espacio cuenta con una distribución funcional y buena luz natural gracias a su orientación y altura. Edificio en buen estado y con una ubicación inmejorable, a pocos pasos de la plaza del Dos de Mayo, rodeado de todo tipo de servicios, comercios, zonas de ocio y perfectamente comunicado por transporte público. Detalles clave: 24 m² construidos Interior, muy tranquilo Con ascensor Necesita una pequeña reforma Por petición expresa del propietario no se publican fotos del inmueble para preservar su privacidad Perfecto para quienes buscan vivir en una de las zonas más vibrantes de Madrid o invertir en una propiedad con gran demanda en alquiler ¡No dejes pasar esta oportunidad y ven a verlo!",False,renew,False,13125.0,False,False,False,False,[],False,False,315000.0,€,,,flat,studio,"Malasaña-Universidad, Madrid",Estudio en calle Gonzalo Jiménez de Quesada,Destacado,,Malasaña-Universidad,3,False,True,,,,,
108682464,0,478000.0,flat,sale,102.0,3,1,paseo de la Ermita del Santo,Madrid,Madrid,Latina,es,40.4055723,-3.7249326,False,https://www.idealista.com/inmueble/108682464/,"¡Redpiso Puerta del Ángel tiene el placer de presentar esta magnífica oportunidad! Se vende piso a reformar en la codiciada zona de Paseo de la Ermita del Santo, dentro de una mancomunidad privada que ofrece tranquilidad y exclusividad. Ubicado en una 2ª planta con ascensor, esta vivienda cuenta con una distribución ideal: amplio salón comedor lleno de posibilidades, tres dormitorios, baño con plato de ducha, y una terraza cerrada (no incorporada a la vivienda), perfecta para crear un espacio adicional de relax o almacenamiento. Además, dispone de trastero y acceso a parking en superficie de uso exclusivo para vecinos, un auténtico privilegio en la zona. La vivienda goza de una excelente orientación oeste, suelos de parquet, calefacción central con contadores individualizados, y una habitación principal con armarios empotrados, todo ello en una finca cuidada y bien comunicada. Detalles como las paredes de gotelé, ventanas de aluminio gris y puertas de madera ofrecen una base sólida para personalizar y modernizar el inmueble a tu gusto. Situada en una zona privilegiada, lo que te permitirá llegar al centro de Madrid en pocos minutos. La zona también cuenta con varias líneas de autobuses (25, 31, 33, 36, 39, 65, 158, etc), facilitando la movilidad. Cerca del inmueble, podrás disfrutar de múltiples servicios como supermercados, escuelas, centros de salud y tiendas locales. Además, estarás a un paso de amplias zonas verdes como Casa de Campo y Madrid Río, ideales para paseos o actividades al aire libre. En los alrededores también hay una variada oferta de bares y restaurantes, perfectos para disfrutar de la gastronomía local. Además, contamos con un servicio de asesoramiento financiero gratuito a través DCREDIT, donde nuestros expertos te podrán ayudar a conseguir las mejores condiciones del mercado hipotecario. ¡VENGA A VISITARLA SIN COMPROMISO! REDPISO PUERTA DEL ANGEL: Su agencia inmobiliaria líder en compraventa y alquiler en Madrid. Nota legal: El precio indicado no incluye los impuestos aplicables (como el Impuesto de Transmisiones Patrimoniales), ni los gastos notariales, registrales u otros costes asociados a la compraventa. Tampoco se incluyen los honorarios de intermediación a cargo del comprador. La información contenida en este anuncio tiene carácter meramente informativo y no constituye un compromiso contractual.",False,renew,False,4686.0,False,False,False,False,[],False,False,478000.0,€,True,True,flat,,"Los Cármenes, Madrid",Piso en paseo de la Ermita del Santo,Destacado,RP972025139724,Los Cármenes,2,True,True,,,,,
108527897,0,1450000.0,flat,sale,270.0,5,3,paseo del Marqués de Monistrol,Madrid,Madrid,Latina,es,40.4149742,-3.7233152,False,https://www.idealista.com/inmueble/108527897/,"Redpiso Puerta del Ángel tiene el placer de presentar una exclusiva vivienda de lujo en el prestigioso Paseo de Marqués de Monistrol. Reformada integralmente hace menos de tres años con materiales de alta calidad, esta propiedad destaca por su diseño moderno y elegante. Dispone de cinco amplios dormitorios, tres cuartos de baño completos, dos cocinas —una de ellas con isla—, y una terraza abierta con impresionantes vistas a la Casa de Campo y al Palacio Real. La vivienda cuenta con suelos de tarima, paredes lisas, calefacción central y aire acondicionado, además de haber sido completamente actualizada en fontanería y electricidad. Situada en una finca exclusiva, en una calle muy tranquila y a menos de un minuto de Madrid Río, esta propiedad ofrece una combinación inmejorable de confort, ubicación privilegiada y exclusividad. Ideal para quienes buscan un hogar de alto nivel en una de las zonas más selectas de la capital. Ubicado en una de las zonas más privilegiadas del suroeste de Madrid, el Paseo de Marqués de Monistrol ofrece un entorno residencial exclusivo, rodeado de naturaleza y tranquilidad, a escasos metros del pulmón verde de la ciudad: Madrid Río y la Casa de Campo. Esta ubicación combina la cercanía al centro histórico con la privacidad y el sosiego de un barrio consolidado, con vistas incomparables al Palacio Real y una excelente conexión con las principales arterias de la capital. La zona cuenta con una cuidada oferta de servicios, colegios de prestigio, espacios culturales y áreas verdes, lo que la convierte en una de las ubicaciones más codiciadas por quienes buscan calidad de vida sin renunciar al lujo y la comodidad. ¡VENGA A VISITARLA SIN COMPROMISO! REDPISO PUERTA DEL ANGEL: Su agencia inmobiliaria líder en compraventa y alquiler en Madrid.",False,good,False,5370.0,False,False,False,False,[],False,False,1450000.0,€,True,True,flat,,"Puerta del Ángel, Madrid",Piso en paseo del Marqués de Monistrol,Destacado,RP972025139063,Puerta del Ángel,8,True,True,,,,,
108397352,0,799000.0,chalet,sale,161.0,5,5,Centro,Madrid,Villaviciosa de Odón,Centro,es,40.3572325,-3.9027062,False,https://www.idealista.com/inmueble/108397352/,"TECNOCASA VILLAVICIOSA DE ODON Vende en exclusiva para que usted compre con seguridad y tranquilidad, sin otros compradores y agencias por medio. Confíe en la inmobiliaria líder en España con más de 800 puntos de venta. Agencia Inmobiliaria inscrita en el RAIN de la Comunidad de Madrid. N° 000134/18. En el corazón del pueblo, se encuentra esta magnífica casa unifamiliar de dos plantas, recientemente reformada con materiales de alta calidad, que combina el encanto tradicional con el confort moderno.  La vivienda cuenta con un amplio jardín privado, perfecto para disfrutar del aire libre en un entorno tranquilo y bien conectado. En la planta baja, se distribuyen una cocina independiente totalmente equipada, un luminoso salón con salida directa al jardín, y dos espaciosas habitaciones dobles, cada una con su baño en suite, ideales para ofrecer privacidad y comodidad.  En la planta superior, se ubican tres habitaciones adicionales, todas también con baño en suite, lo que convierte esta casa en una opción excelente tanto para grandes familias como para quienes buscan una inversión con alta rentabilidad.  Actualmente la propiedad se encuentra alquilada, lo que permite obtener ingresos desde el primer momento. Su ubicación céntrica, junto a servicios, comercios y transporte, la convierte en una oportunidad única para quienes desean una vivienda lista para disfrutar o rentabilizar desde el primer día. Gestionamos cambios de vivienda, valoración inmobiliaria gratuita. Financiación 100%. Consúltenos condiciones. TECNOCASA inmobiliaria líder en España con más de 900 puntos de venta, más de 25 años de experiencia en territorio nacional.",False,good,False,4963.0,False,False,False,False,[],False,False,799000.0,€,,,chalet,independantHouse,"Centro, Villaviciosa de Odón",Casa independiente,Destacado,da23,,,,,,,,,
107456209,0,1700000.0,flat,sale,235.0,6,3,Barrio Niño Jesús,Madrid,Madrid,Retiro,es,40.4138692,-3.6733024,False,https://www.idealista.com/inmueble/107456209/,"Impresionante piso en una zona exclusiva de Madrid, junto al Parque del Retiro: tranquilidad y comodidad en pleno centro. Ubicado en una urbanización cerrada, esta propiedad destaca por sus amplias y cuidadas zonas ajardinadas privadas, que crean un ambiente de paz en el corazón de la ciudad. Situado en una primera planta elevada, disfruta de vistas privilegiadas al jardín y al arbolado, brindando luminosidad y un entorno relajante. El piso ofrece una distribución perfecta para una vida cómoda: un espacioso salón-comedor con salida directa a una terraza, un elegante cuarto de estar, y tres amplias habitaciones. La habitación principal cuenta con baño en suite, mientras que las otras dos habitaciones comparten un segundo baño. La zona de servicio se completa con una cocina grande con office, una terraza con zona de lavandería y un aseo adicional. Además, el inmueble incluye dos plazas de garaje con acceso directo y un trastero, proporcionando comodidad y funcionalidad. ¡Vivir en una de las mejores zonas de Madrid nunca fue tan fácil! Disfruta de un hogar lleno de confort y tranquilidad a pocos pasos de uno de los parques más emblemáticos de la ciudad. ¡Una oportunidad única que no puedes dejar escapar!",False,good,False,7234.0,False,False,False,False,[],False,False,1700000.0,€,True,True,flat,,"Niño Jesús, Madrid",Piso,Destacado,Impresionante piso en una zona exclusiva de Madrid,Niño Jesús,1,True,True,,,,,
107138720,0,175000.0,chalet,sale,179.0,4,3,Pelayos de la Presa,Madrid,Pelayos de la Presa,,es,40.3535781,-4.324013,False,https://www.idealista.com/inmueble/107138720/,"Especial Inversores. Se vende OCUPADO. No podemos dar acceso a la vivienda para visitarla. En consecuencia, no podría constituirse financiación hipotecaria sobre este tipo de fincas. Este encantador chalet, construida en 2008, ofrece un espacio ideal para familias que buscan comodidad y estilo. Con una generosa superficie de 179 m², esta propiedad cuenta con 4 amplios dormitorios (2 de ellos en planta baja) y 3 baños, perfectos para acomodar a toda la familia. Ubicada en una zona tranquila y rodeada de naturaleza, esta casa es el refugio perfecto para quienes desean escapar del bullicio de la ciudad. Su luminoso diseño exterior permite que la luz natural inunde cada rincón, creando un ambiente cálido y acogedor. Entre las características destacadas, encontrará armarios empotrados que optimizan el espacio de almacenamiento, así como un sistema de calefacción a gasoil que garantiza su confort durante los meses más fríos. Además, la propiedad incluye una habitación alquilada, lo que representa una excelente oportunidad de inversión. El jardín independiente con 533 m2, es un verdadero oasis, ideal para disfrutar de momentos al aire libre, organizar reuniones familiares o simplemente relajarse en un entorno natural. Aunque la casa requiere algunas reformas, esto le brinda la oportunidad de personalizar cada detalle a su gusto y convertirla en la casa de sus sueños. Se recomienda que el comprador obtenga asesoramiento profesional y legal antes de adoptar la decisión de compra. Si desea más información puede llamar al teléfono o mandar un email a  Descubre nuestras ofertas!",False,renew,False,978.0,False,False,False,False,[],False,False,175000.0,€,,,chalet,independantHouse,Pelayos de la Presa,Casa independiente,Destacado,NAV4716,,,,,,,,,
104583804,0,3250000.0,flat,sale,190.0,3,4,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,40.4282099,-3.6799233,False,https://www.idealista.com/inmueble/104583804/,"MORE HOUSE Real Estate les presenta esta espectacular vivienda reformada de 190 metros construidos en el Barrio de Salamanca.  Compuesta por tres dormitorios, tres baños y un aseo, la reforma y el interiorismo se han llevado a cabo por el estudio de arquitectura de Mónica Diago cuidando todos los detalles tanto constructivos como de decoración. La vivienda se entrega reformada y completamente amueblada. Por petición de algunos clientes, no publicamos parte de nuestros inmuebles en portales inmobiliarios. Aunque la mayoría de nuestra cartera está en nuestra página web, también tenemos oportunidades de inversión off-market. En MOREHOUSE Real Estate estamos especializados en comprar, vender y alquilar pisos en todo Madrid. Para cualquier gestión no dude en contactar con nosotros.",False,good,False,17105.0,False,False,False,False,[],False,False,3250000.0,€,,,flat,,"Recoletos, Madrid",Piso,Destacado,MH1006,Recoletos,3,True,True,,,,,
