propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,parkingSpace.parkingSpacePrice
108784045,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/32/71/84/1355014053.webp,M20838V,32,3,685000.0,flat,sale,80.0,True,3,2,calle de Fuencarral,Madrid,Madrid,Chamberí,es,Trafalgar,40.4325454,-3.7022959,False,https://www.idealista.com/inmueble/108784045/,"Ubicado en el prestigioso distrito de Chamberí, este piso reformado de 80m² ofrece una oportunidad única para vivir en el corazón de Madrid. La propiedad cuenta con una distribución inteligente que optimiza cada espacio, brindando una sensación de amplitud y confort. Dispone de tres luminosas habitaciones y dos modernos cuartos de baño, ideales para una familia o para aquellos que buscan espacio adicional para invitados o despacho. La reforma integral ha asegurado un estado impecable, listo para ser disfrutado desde el primer día, reflejando un compromiso con la calidad y el diseño contemporáneo. Cada detalle de esta residencia ha sido cuidadosamente seleccionado para ofrecer una experiencia de vida superior. Los dos balcones exteriores con vistas a la emblemática Calle Fuencarral son un verdadero privilegio, permitiendo disfrutar del pulso de la ciudad desde la tranquilidad del hogar. El salón, también exterior, es un espacio acogedor y lleno de luz natural, perfecto para el relax o el entretenimiento. La cocina, amplia y totalmente equipada, se presenta como el lugar ideal para los amantes de la gastronomía. Además, el sistema de calefacción y aire acondicionado por conductos (bomba de calor y frío) garantiza una temperatura óptima durante todo el año, sumando al confort general. La Calle Fuencarral no es solo una dirección, es un estilo de vida. Situada en el vibrante barrio de Chamberí, esta ubicación privilegiada ofrece acceso inmediato a una inmejorable oferta cultural, gastronómica y de ocio. A pocos pasos, encontrará boutiques de moda, restaurantes de vanguardia, teatros y galerías de arte, así como las principales conexiones de transporte público que facilitan el acceso a cualquier punto de la capital. La proximidad a zonas verdes y parques añade un extra de calidad de vida, combinando la efervescencia urbana con la serenidad y la comodidad. Adquirir este inmueble le permite disfrutar de todas las ventajas de poseer una propiedad de alta gama en una de las zonas más deseadas de Madrid. La combinación de una ubicación inmejorable, una reforma de alta calidad y unas características que garantizan el máximo confort, hacen de este piso una opción ideal para su próxima residencia. Disfrute de la comodidad de tener todo a su alcance y la tranquilidad de un hogar con todas las prestaciones. Para más información o para concertar una visita, no dude en contactar con Walter Haus. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.",True,good,False,False,8563.0,True,True,False,False,[],False,False,685000.0,€,flat,"Trafalgar, Madrid",Piso en calle de Fuencarral,,,,,,,
108856132,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/7f/8f/1357125328.webp,DS-P22770,22,4,1195000.0,flat,sale,87.0,True,2,2,calle de Evaristo San Miguel,Madrid,Madrid,Moncloa,es,Argüelles,40.426787,-3.7150108,False,https://www.idealista.com/inmueble/108856132/,"Diza Consultores Inmobiliarios presenta este espectacular piso de obra nueva en la prestigiosa promoción Debod Homes, en la calle Evaristo San Miguel, a escasos pasos del Parque del Oeste y el Templo de Debod. Se trata de una cuarta planta exterior con 87m² construidos, que destaca por su luminosidad, su diseño moderno y su excelente ubicación. La vivienda cuenta con dos dormitorios, dos baños completos y un amplio espacio diáfano que integra el salón-comedor con la cocina abierta, completamente equipada con electrodomésticos de alta gama. La propiedad se entrega a estrenar, con acabados de primera calidad, grandes ventanales, calefacción por suelo radiante y aire acondicionado por conductos. Además, incluye un trastero en la misma finca. La urbanización ofrece zonas comunes de alto nivel, incluyendo una piscina comunitaria, gimnasio equipado y portero físico, lo que garantiza confort y seguridad. Una oportunidad única para vivir en una de las zonas más cotizadas de Madrid, perfectamente comunicada y rodeada de zonas verdes, servicios, comercios y transporte público. Convertimos Sueños en Hogares.",True,good,False,True,13736.0,True,True,False,False,[],False,False,1195000.0,€,flat,"Argüelles, Madrid",Piso en calle de Evaristo San Miguel,,,,,,,
108384572,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/ce/b4/1344811515.webp,JJ210677,32,1,380000.0,flat,sale,53.0,True,1,1,Barrio Costillares,Madrid,Madrid,Ciudad Lineal,es,Costillares,40.4699744,-3.6703308,False,https://www.idealista.com/inmueble/108384572/,"Magnífico apartamento en finca moderna del año 2006. Perfectamente distribuido y en estupendo estado de conservación. Se compone de hall recibidor con armario empotrado, salón comedor independiente, cocina. Dormitorio principal con armario empotrado de gran capacidad y cuarto de baño completo   Ideal tanto para entrar a vivir como para inversión. Incluye en el precio plaza de garaje y trastero, un valor añadido muy importante en la zona. La urbanización ofrece zonas comunes muy cuidadas, con piscina, vigilancia 24 horas y acceso restringido. Ubicación privilegiada, rodeada de servicios, supermercados, transporte público, zonas verdes y con excelente conexión con el centro de Madrid y el aeropuerto. El Barrio de Arturo Soria es uno de los más prestigiosos y lujosos de Madrid con una estupenda localización próxima al centro urbano y a todos los servicios, por lo que es perfecto para disfrutar de la tranquilidad sin renunciar a la cercanía de una gran ciudad.  Este entorno privilegiado es sede de múltiples embajadas y algunos de los mejores centros educativos nacionales e internacionales tanto privados como públicos con una amplia oferta (Colegio Arturo Soria, Liceo Francés [Lycee Francais], Centro Bilingüe Concertado Nuestra Señora del Buen Consejo, Colegio San José del Parque (Maristas), Colegio Ramón y Cajal, Colegio Nuestra Señora de Santa María, Colegio Parque Conde Orgaz, International School of Madrid, Escuela de negocios ESIC, Colegio Stella Maris, Colegio Mater Inmaculada, Colegio Brains, etc.).  La cobertura hospitalaria es un factor añadido de la zona (Nuestra Señora de América, la Clínica Belén, Hospital Ramón y Cajal, Hospital de la Paz y la M.D Anderson). En sus inmediaciones encontramos el recinto Ferial IFEMA, el Centro Comercial Arturo Soria Plaza, Palacio de Hielo, Hipercor, Corte Inglés, y Centro Comercial Gran Vía de Hortaleza. Además disponemos de centros deportivos como Club de natación, Club de tenis Chamartín, Clubs de golf como el “Golf Olivar de la Hinojosa” y preciosos parques de los cuales destacamos Juan Carlos I y Juan Pablo II. La cercanía al metro Pinar de Chamartin y a diversas líneas de autobús nos garantizan un rápido acceso al centro. La incorporación a las autovías M30, M40, M11 y NII es inmediata. La proximidad al Aeropuerto Internacional Adolfo Suarez Madrid Barajas y a la Estación de Chamartín es un valor añadido. Una oportunidad única para vivir en uno de los enclaves residenciales más privilegiados de Madrid. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles de Madrid, costa del Sol y Sevilla, con equipos especializados en cada zona, para proporcionarles la mejor opción a su necesidad. Un servicio personalizado, en el que estamos atentos a los detalles. En más de 30 años de andadura, Gilmar ha logrado alcanzar un espacio de privilegio dentro del Sector Inmobiliario de alto standing. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir... y cualquier tipo de operaciones: compraventa y alquiler. Nuestros clientes cuentan con el asesoramiento necesario desde el inicio, para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal.",True,good,False,True,7170.0,True,True,False,False,[],False,False,380000.0,€,flat,"Costillares, Madrid",Piso,True,True,,,,,
108424158,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e7/60/56/1344473648.webp,BFCA-V238,49,,675000.0,chalet,sale,427.0,,3,2,calle Ciudad Real,Madrid,Cabanillas de la Sierra,,es,,40.8279214,-3.6277125,False,https://www.idealista.com/inmueble/108424158/,"CONTACTAR CON EXTENSIÓN Nº4 Tu Hogar Soñado te Espera: Chalet Independiente de 427 m² en Parcela de 2.600 m² con Oasis de Jardín. Imagina vivir en este espectacular chalet independiente, donde cada detalle ha sido pensado para tu comodidad y disfrute. Sus 427 m² construidos se distribuyen en dos acogedoras plantas. La planta superior es un refugio de luz y amplitud. Aquí encontrarás un salón-comedor perfecto para tus momentos familiares, una cocina lista para tus creaciones culinarias, tres dormitorios que invitan al descanso y dos baños completos. La joya de la corona es su terraza acristalada, que puedes abrir por completo para disfrutar del aire libre o cerrarla para mayor confort. Además, todas las estancias cuentan con aire acondicionado (sí, ¡hasta la cocina! ) y calefacción individual para un clima perfecto todo el año. La planta inferior te ofrece la máxima practicidad con dos plazas de garaje de fácil acceso, un aseo y generosos almacenes, junto con el cuarto de caldera. Sumérgete en la impresionante parcela de 2.600 m², un verdadero paraíso privado. Su jardín consolidado, dividido en encantadores ambientes y cercado con seto vivo, te ofrece privacidad y belleza natural. Descubre un huerto con invernadero, árboles frutales y un sistema de riego automático de última generación alimentado por un pozo legalizado de 120 metros de profundidad. Completan este idílico exterior dos estanques, paneles solares, una fabulosa piscina, una zona de barbacoa con ahumadero para tus encuentros y un hermoso cenador. La vivienda se vende amueblada, para que tu mudanza sea tan sencilla como un sueño. >  (Este anuncio no es vinculante, puede contener errores, se muestra a título informativo y no contractual. ) > Oferta sujeta a condiciones de compra. Consulte los términos y condiciones aplicables.",True,good,False,,1581.0,True,True,False,False,[],False,False,675000.0,€,chalet,Cabanillas de la Sierra,Casa independiente en calle Ciudad Real,True,True,695000.0,20000.0,3.0,independantHouse,
106894409,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/79/66/0b/1296977116.webp,BHHS-MAD-0503,37,1,980000.0,flat,sale,129.0,True,2,2,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.429256,-3.7028034,False,https://www.idealista.com/inmueble/106894409/,"Les ofrecemos exclusiva vivienda exterior con dos balcones y altura de tercero con 129 metros cuadrados catastrales. Se encuentra situada en el elegante barrio de Universidad en una preciosa y representativa finca con ascensor y plaza de garaje incluida. La vivienda se distribuye en dos ambientes, en la zona de recibo encontramos un amplio recibidor actualmente se destina a zona de despacho, seguido de salón doble con zona de comedor, y orientación nordeste, amplios balcones exteriores con doble acristalamiento lo que brinda tranquilidad sobre una calle poco transitada, además disfruta de una generosa luz natural que le otorgan las vistas despejadas. Dispone de cocina independiente la cual con una pequeña reforma se le podría integrar a la zona de día y quedaría un espacio diáfano estupendo. En la zona de noche, encontramos una gran master suite con vestidor y amplio baño con bañera, la segunda habitación es amplia con armarios empotrados y ventanal a patio de luces. Dispone de un segundo baño completo que presta servicio al segundo dormitorio y de cortesía. Es sin duda una vivienda ideal para vivir o invertir en una de las zonas más demandadas para vivir en la capital. Esta vivienda tiene una fantástica ubicación en una de las zonas más exclusivas de Madrid. El barrio de Universidad nos ofrece magníficos edificios, iglesias y palacetes del siglo XVIII, además de estar junto a importantes embajadas, cedes políticas, universidades y colegios. La zona se encuentra perfectamente comunicada por transporte público con toda la ciudad. Todo ello hace de este inmueble una excelente oportunidad vivir o invertir. Disponemos de varios inmuebles similares en esta zona que solo pueden estar anunciados en nuestra web por expreso deseo de sus propietarios. Si desean verlos pueden hacerlo pinchando en el enlace adicional ubicado al final del anuncio. Por favor dejar el teléfono para poder atenderles en su idioma.",True,good,False,True,7597.0,True,True,True,False,[],False,False,980000.0,€,flat,"Malasaña-Universidad, Madrid",Piso,,,1100000.0,120000.0,11.0,,
106355743,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1b/0c/fd/1280347360.webp,7604,51,,1600000.0,chalet,sale,629.0,,5,5,calle del Ciervo,Madrid,Ciudalcampo,,es,,40.6148164,-3.6105303,False,https://www.idealista.com/inmueble/106355743/,"REA inmobiliaria presenta este fantástico chalet independiente con precioso jardín en una zona muy tranquila de Ciudalcampo. Reformada hace tres años, la vivienda, de estancias amplias y con mucha luz natural, tiene una distribución muy cómoda que permite hacer vida en una sola planta.  Dispone de 629 m2 construidos dentro de una parcela de 2.597 m2 y tiene cinco dormitorios, todos con baño en suite. El inmueble se distribuye en tres niveles. La planta principal se despliega a partir de un bonito hall con aseo de cortesía. A la izquierda, encontramos un amplio salón comedor con chimenea y salida, mediante unos grandes ventanales de techo a suelo, a un porche techado y a la zona de piscina del jardín. A la derecha se localizan la cocina, que tiene isla central y office, y la zona de servicio, que cuenta con entrada independiente e incluye un dormitorio con baño. En esta planta se ubican también dos holgados dormitorios (uno de ellos empleado en la actualidad como cuarto de estar), ambos con baño incorporado, armarios empotrados y salida directa al jardín. En la planta superior está la suite principal, que presenta saloncito de estar, baño en suite, caja fuerte y walking closet, además de salida a una magnífica terraza con vistas al jardín, Otro dormitorio de gran tamaño, con baño y armarios empotrados, también tiene salida a la terraza. En la planta baja encontramos el garaje, con capacidad para cinco coches, cuarto de lavado y plancha, cuarto de caldera y una amplia habitación utilizada ahora como despacho, pero que puede acondicionarse como gimnasio o cuarto de juegos. Todas las habitaciones (incluyendo el despacho de abajo) tienen splits de aire acondicionado y climatización individual. La calefacción es de gasoil por suelo radiante. En cuanto a las calidades, destacan los suelos de mármol, los techos altos y la multitud de puntos de luz con bajo consumo, La parcela es francamente reseñable y presenta dos zonas diferenciadas: una ajardinada, con árboles muy consolidados, y otra llana, que es donde se encuentra la piscina (de orientación sur). Disponemos de otras muchas propiedades similares que no están publicadas en Idealista. Visite nuestra web reainmobiliaria.com Ciudalcampo es sin duda la urbanización más extensa de la zona norte de Madrid ubicada en el km. 28 de la autovía A-1, a 20 minutos de Madrid Plaza de Castilla.  Se trata de una gran urbanización con una sola entrada y salida, que contiene fundamentalmente chalets de 300 m2 a 2.000 m2 de construcción en parcelas cuya unidad mínima son 2.500 m2. La zona goza de unas vistas espectaculares a las fincas y grandes encinares del campo de Madrid y al fondo las montañas de la sierra de Madrid, y tiene además un club deportivo, el RACE, donde se puede disfrutar de todo tipo de deportes. Un campo de golf de 18 hoyos, hípica, piscina cubierta, piscina exterior, tenis, pádel y todo tipo de facilidades deportivas además de la vida social del club. Además de esto, la urbanización tiene también un colegio internacional, y muy próximo a la entrada una zona comercial con todo lo necesario para el día a día. A la entrada de la urbanización hay algunos chalets adosados y pisos en urbanización, pero fundamentalmente la zona se compone de chalets unifamiliares que gracias a su situación permite que las casas estén dotadas de una gran luminosidad y vistas. Tiene un gran nombre su seguridad 24 horas gracias a su profesional patrulla de vigilancia. Cuenta con muy buena comunicación de autobuses que va por toda la urbanización y comunica con Plaza Castilla y Alcobendas/San Sebastián de los Reyes. Tienen además paradas intermedias en el metro de San Sebastián de los Reyes, junto al Hospital Público Infanta Sofía, hospital de reciente construcción con todas las especialidades. El Hospital se encuentra a 10 minutos en coche.",True,good,False,,2544.0,True,True,False,True,[],False,False,1600000.0,€,chalet,Ciudalcampo,Casa independiente en calle del Ciervo,True,True,,,,independantHouse,
104812842,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/48/f5/78/1232370791.webp,8464,66,,1100000.0,chalet,sale,337.0,,5,3,LUNA,Madrid,Santo Domingo,,es,,40.6336808,-3.5772887,False,https://www.idealista.com/inmueble/104812842/,"REA Inmobiliaria presenta esta cómoda y funcional vivienda de sólida construcción, con precioso jardín y fabulosas vistas en la mejor ubicación de Santo Domingo. Gracias a su orientación sur, la luz entra a raudales por todos los rincones, contribuyendo a la sensación de confort que transmite el inmueble.  La casa, con 337 m2 construidos, se erige dentro de una parcela de 1.822 m2. Cuenta con cinco habitaciones y tres cuartos de baño. La distribución de la casa es la siguiente: La planta principal se despliega a partir de un coqueto porche que da acceso a un vestíbulo distribuidor. A la derecha, encontramos un enorme salón comedor con gran chimenea de unos 80 m2, comunicado con una cocina con office completamente reformada con electrodomésticos nuevos y gran espacio de almacenamiento, A la izquierda, un aseo de cortesía, una habitación de servicio o para invitados, amplio dormitorio principal al que presta servicio un bonito cuarto de baño totalmente reformado hace un par de años, despacho y segundo salón o cuarto de estar con chimenea, comedor de invierno acristalado y salida directa al jardín a través de una pequeña escalera. Todas las estancias tienen grandes ventanales por los que entra mucha luz y se contemplan unas vistas maravillosas de la sierra de Madrid. La primera planta alberga dos dormitorios y cuarto de baño completo con bañera de hidromasaje, Uno de los dormitorios es muy espacioso, dispone de chimenea con cassette y tiene salida a una agradable terraza. El sótano (al que se accede por la cocina) cuenta con una inmensa bodega con casi 3.000 botellas, distribuida en tres ambientes, todos ellos decorados. Ideal para recibir a familiares y amigos. Asimismo, encontramos en este nivel un cuarto de juegos y un impresionante cuarto de baño con jacuzzi, también reformado recientemente. El garaje (en el que caben un par de coches, aunque se pueden estacionas más vehículos en la rampa de entrada) está acondicionado en la actualidad como merendero de verano, con cocina completa, frigorífico y dos arcones. Adyacente al mismo hay una estancia de buenas dimensiones, que se utiliza como trastero pero que puede ser aprovechable para otros usos. El jardín cuenta con varios ambientes y unas pequeñas edificaciones donde se localizan la leñera, una despensa, un trastero y el cuarto de instalaciones. La zona de piscina es llana y con césped, mientras que las zonas arboladas exhiben palmeras, membrillos, parras, olivos y rosales, entre otras especies. La calefacción es de gas natural por radiadores.",True,good,False,,3264.0,True,True,False,True,[],False,False,1100000.0,€,chalet,Santo Domingo,Casa independiente en Luna,,,,,,independantHouse,
104394170,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/09/f3/bf/1283456551.webp,8990,66,,1900000.0,chalet,sale,480.0,,5,4,paseo del Embajador,Madrid,Ciudalcampo,,es,,40.6136423,-3.6173534,False,https://www.idealista.com/inmueble/104394170/,"REA Inmobiliaria presenta este magnífico independiente en una zona privilegiada de Ciudalcampo, de gran calidad de construcción, enorme y cuidado jardín y vistas impresionantes. Está en un estado impecable e incluso se le pueden añadir más metros, puesto que dispone de una espaciosa buhardilla sin habilitar. Ideal para familias que quieran gozar de espacio e intimidad. La vivienda, con 480 m2 construidos, se erige dentro de un conjunto de dos parcelas unidas (una de 2.535, en la que se erige la casa, y otra de 2.503 m2) que conforman una superficie total de 5.038 m2. La parcela sin edificar se puede adquirir aparte. Dispone de 5 habitaciones y 4 baños (incluyendo las dependencias de servicio) y su distribución es como sigue: La planta principal se articula a partir de un vestíbulo que da paso, a la derecha, a un señorial despacho/biblioteca y, a la izquierda, a un aseo de invitados y un armario gabanero. Del vestíbulo accedemos al salón, que tiene chimenea y salida a un bonito porche de orientación sur que da a la zona de piscina del jardín. A la derecha del salón se ubica un acogedor cuarto de estar, mientras que a la izquierda se accede al comedor, que también tiene salida al porche. El comedor comunica con una moderna cocina con office y orientación sur. La zona de servicio, que consta de habitación con baño y cuarto de lavado y plancha, se encuentra igualmente en este nivel. La planta primera alberga la zona de descanso, compuesta por cuatro dormitorios. El principal tiene salita de recibo, amplio vestidor y baño en suite. Un segundo dormitorio tiene vestidor y baño, mientras que los dos restantes (uno empleado en la actualidad como despacho y provisto de chimenea) comparten otro baño más. Esta planta tiene dos terrazas, una de invierno con vistas al Parque Regional de la Cuenca Alta del Manzanares y otra de verano que permite contemplar la sierra de Madrid. La parte inferior del inmueble está ocupada por un garaje para dos coches (se pueden estacionar tres más en el exterior) desde el que se accede a la cocina y a tres espaciosos trasteros. El jardín es espectacular y se divide en dos zonas muy diferenciadas. Una más agreste, con multitud de encinas y orientada al norte, y otra muy consolidada, con gran cantidad de árboles, césped y una bonita piscina, orientada al sur. La calefacción es de gas propano por radiadores (el depósito está exquisitamente camuflado por una hiedra en el jardín) y hay aire acondicionado centralizado por conductos en toda la vivienda (se puede sectorizar).",True,good,False,,3958.0,True,True,False,True,[],False,False,1900000.0,€,chalet,Ciudalcampo,Casa independiente en paseo del Embajador,True,True,,,,independantHouse,
38276499,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/00/15/cf/627132699.webp,4033,86,,1500000.0,chalet,sale,552.0,,5,6,paseo del Embajador,Madrid,Ciudalcampo,,es,,40.615936,-3.597548,False,https://www.idealista.com/inmueble/38276499/,"REA Inmobiliaria ( ) ofrece este chalet independiente situado en la urbanización Ciudalcampo, con muy buena localización. Cuenta además con una preciosa parcela con árboles muy consolidados, entre los que destacan un maravilloso olivo centenario y un bonito pinar. La vivienda se encuentra en la parte baja de la urbanización, a distancia andando del colegio y de las zonas deportivas del RACE, muy cómodo.  Es una sólida construcción muy bien hecha, llena de bonitos espacios con mucha luz. El salón principal es muy amplio, rodeado de ventanales, con chimenea, y comunica con una gran sala de estar y televisión y la biblioteca, todos con mucha luz. Al otro lado lleva al comedor, amplio, y a la cocina. La cocina es grande, con entrada directa desde el exterior, cuarto de lavadora, despensa, y una gran salón invernadero, que se puede abrir en verano totalmente al exterior, y es una de las áreas con más encanto de la casa.  La otra parte de la planta baja está ocupada por el dormitorio principal, con dos vestidores, un gran cuarto de baño y gimnasio.  La planta primera cuenta con un apartamento independiente (dormitorio, salón cuarto de baño y terraza), recientemente reformado, y dos dormitorios más cada uno con su cuarto de baño incoporado.  Hay garaje para dos coches y parking para muchos más. La calefacción es por gasoil y tiene placas solares que cubren todo el uso de agua caliente, en cualquier época. Disponemos de otras muchas propiedades similares que no están publicadas en Idealista. Visite nuestra web reainmobiliaria.com Ciudalcampo es sin duda la urbanización más extensa de la zona norte de Madrid ubicada en el km. 28 de la autovía A-1. Se trata de una gran urbanización con una sola entrada y salida, que contiene fundamentalmente chalets de 300 m2 a 2.000 m2 de construcción en parcelas cuya unidad mínima son 2.500 m2. La zona goza de unas vistas espectaculares a las fincas y grandes encinares del campo de Madrid y al fondo las montañas de la sierra de Madrid, y tiene además un club deportivo, el RACE, donde se puede disfrutar de todo tipo de deportes. Un campo de golf de 18 hoyos, hípica, piscina cubierta, piscina exterior, tenis, pádel y todo tipo de facilidades deportivas además de la vida social del club. Además de esto, la urbanización tiene también un colegio internacional, y muy próximo a la entrada una zona comercial con todo lo necesario para el día a día. A la entrada de la urbanización hay algunos chalets adosados y pisos en urbanización, pero fundamentalmente la zona se compone de chalets unifamiliares que gracias a su situación permite que las casas estén dotadas de una gran luminosidad y vistas. Tiene un gran nombre su seguridad 24 horas gracias a su profesional patrulla de vigilancia y una buena comunicación de autobuses que va por toda la urbanización y comunica con Plaza Castilla y Alcobendas/San Sebastián de los Reyes. Reab.",True,good,False,,2717.0,True,True,False,True,[],False,False,1500000.0,€,chalet,Ciudalcampo,Casa independiente en paseo del Embajador,,,,,,independantHouse,
108042947,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/34/e4/1332098556.webp,9158,50,,1950000.0,chalet,sale,489.0,,8,5,avenida de Nazaret,Madrid,Fuente del Fresno,,es,,40.5871837,-3.5961154,False,https://www.idealista.com/inmueble/108042947/,"REA Inmobiliaria presenta esta amplia y elegante vivienda situada en la mejor localización de Fuente del Fresno, con unas vistas inmejorables tanto de Madrid como de la sierra y muchísima luz. Tiene 489 m2 construidos sobre una parcela de 1869 m2. Dispone de 8 habitaciones y 4 baños, incluyendo las dependencias de servicio. Buenas calidades. Para entrar a vivir. La distribución del inmueble es como sigue: Planta principal: Se despliega a partir de un vestíbulo con armario gabanero. A la izquierda, encontramos el salón comedor, que pivota alrededor de un bonito patio. La luz es protagonista, inundando la estancia tanto a través del patio como de amplios ventanales. El salón se distribuye en tres ambientes (zona de recibo, más formal; comedor para 10 comensales; y sala de estar, reservada a la familia). Cuenta con salida a un bonito porche y a una piscina desbordante de 12x6 metros. Una chimenea contribuye a realzar el ambiente cómodo y acogedor. Del vestíbulo se accede también a una bonita cocina con office, comunicada con el salón, y a una gran sala de estar equipada con una estufa salamandra de pellets, ideal para ver los partidos con los amigos. En este mismo nivel encontramos además un dormitorio de invitados, un luminoso despacho (reconvertible en dormitorio), un baño completo que da servicio a ambas habitaciones y un aseo de cortesía. Planta primera: Alberga la zona de descanso, que consta de tres dormitorios. El principal tiene vestidor, baño en suite y terraza. Los otros dos comparten un baño. Todos tienen armarios empotrados. Las vistas son espectaculares, dada la situación elevada de la casa respecto a las viviendas adyacentes. Planta sótano: Se accede desde la cocina y presenta una habitación de servicio con baño completo, cuarto de lavado y plancha, cuarto de calderas, trastero, garaje para tres coches y un cuarto de juegos con salida a una zona de aparcamiento donde pueden estacionarse hasta cinco vehículos más, En cuanto a las calidades, destacan la carpintería Shuco de triple cristal de seguridad y los suelos de tarima de roble macizo. La calefacción es de gas natural y todas las estancias tienen aire acondicionado por conductos. Hay preinstalación para placas solares. Todas las persianas son eléctricas.  Disponemos de otras muchas propiedades similares que no están publicadas en Idealista. Visite nuestra web reainmobiliaria.com Fuente del Fresno está situado en el norte del municipio de San Sebastián de los Reyes, aproximadamente en el km. 24 de la autovía A-1, quedando al oeste de la misma, a 15 minutos de Madrid Plaza de Castilla, con un acceso casi directo a la zona Norte de Moraleja, donde se sitúan la mayoría de sus colegios.  Está formada por chalets de entre 200 m2 y 1.200 m2 sobre parcelas de un mínimo de 2.000 m2. Toda se destina a viviendas unifamiliares, tiene una seguridad y vigilancia 24 horas y un colegio internacional, así como una guardería de gran prestigio. Se trata de una zona muy familiar y acogedora. La zona central de la urbanización cuenta con un pequeño centro comercial, que incluye una farmacia, un bar, un pequeño supermercado, una papelería, una escuela de música, una peluquería y una clínica veterinaria entre otras cosas, además de un parque infantil. También dispone de un pequeño polideportivo, que cuenta con dos pistas de tenis, dos pistas de pádel y una pista de fútbol sala, además de un frontón y una canasta de baloncesto. Antiguamente se disponía de un picadero y una piscina comunitaria, si bien ésta ya no se usa debido a que casi todos los chalets de la urbanización cuentan con piscina privada. Asimismo, dispone de una parroquia, llamada Parroquia de Nuestra Señora de Fuente del Fresno. A 10 minutos en coche se encuentra el Hospital Público Infanta Sofía, hospital de reciente construcción con todas las especialidades.",True,good,False,,3988.0,True,True,False,True,[],False,False,1950000.0,€,chalet,Fuente del Fresno,Casa independiente en avenida de Nazaret,True,True,,,,independantHouse,
