propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,district,neighborhood,hasLift,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
106774277,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6e/6f/ba/1316815873.webp,9087,49,1190000.0,chalet,sale,336.0,4,3,calle de la Luna,Madrid,Santo Domingo,es,40.6323466,-3.5795326,False,https://www.idealista.com/inmueble/106774277/,"REA Inmobiliaria presenta este bonito chalet independiente de diseño moderno situado en una zona de magníficas vistas en Santo Domingo. Una distribución cómoda y funcional, grandes ventanales que aportan mucha luz natural y un precioso jardín con piscina dan como resultado una vivienda llena de encanto, acogedora y confortable. Dispone de cuatro dormitorios y tres baños completos. El inmueble, de orientación sur, se distribuye en tres plantas. La planta principal se despliega a partir de un hall de entrada. Un imponente salón a doble altura con chimenea de cassette y ventanales de techo a suelo domina este nivel. Tiene salida a una espectacular terraza, con estupendas vistas y mucho espacio. Junto al salón se ubica la cocina, que se abre al salón y tiene zona de office y salida al lateral de la terraza. En esta planta también se sitúan dos dormitorios (uno de ellos con vestidor) y un baño completo que da servicio a los mismos. La planta primera pivota alrededor de un amplio distribuidor, que hace las veces de sala de estar y que tiene salida a una bonita terraza cubierta. En este nivel encontramos dos dormitorios más. El principal es muy espacioso, tiene vestidor y baño incorporado y salida a la terraza cubierta.  La planta baja se articula en un espectacular porche techado (situado justo debajo de la terraza de la planta principal) que da a la zona de piscina del jardín y una enorme habitación con barra de bar que puede hacer las veces de salón de recibo o sala de juegos. Un cuarto de baño completo exterior, que también puede servir como vestuario de invitados, presta servicio a esta parte de la casa. En cuanto a las calidades, los suelos son de barro en la planta principal y de tarima en la superior. La calefacción es de gas natural por radiadores (que son muy grandes y de colocación vertical), Hay aparatos de aire acondicionado en los dormitorios de arriba. El jardín, muy consolidado, tiene piscina, barbacoa, caseta de aperos y zona de césped. El garaje es cerrado y tiene capacidad para dos vehículos. Disponemos de otras muchas propiedades similares que no están publicadas en Idealista. Visite nuestra web reainmobiliaria.com Santo Domingo es una urbanización situada en el km. 28 de la autovía de la autovía A-1, a 20 minutos de Madrid Plaza de Catilla.  Está formada fundamentalmente por chalets unifamiliares sobre parcelas de al menos 1.000 m2, y en la entrada de la urbanización hay una zona de chalets adosados, pareados y pisos. La urbanización está dotada de una garita de seguridad a la entrada y una buena vigilancia en toda la zona. Además cuenta con un centro comercial con todo tipo de servicios necesarios en el día a día: varios restaurantes, farmacia, peluquería, tiendas de ropa y complementos, herbolario, bancos, supermercado, carnicerías, fruterías, jardinería, taller de coches, clínica veterinaria, etc. Hay también un colegio público, club deportivo, dispensario médico e iglesia. Buena comunicación de autobuses que comunican con Plaza Castilla y Alcobendas/San Sebastián de los Reyes, así como las poblaciones de la zona norte de Madrid. Tienen además paradas intermedias en el metro de San Sebastián de los Reyes, junto al Hospital Público Infanta Sofía, hospital de reciente construcción con todas las especialidades. El Hospital se encuentra a 10 minutos en coche. Pertenece al municipio de Algete, tiene un censo de 3.000 habitantes y está formada por 830 chalets.",True,good,False,3542.0,True,True,False,False,[],False,False,1190000.0,€,True,True,chalet,independantHouse,Santo Domingo,Casa independiente en calle de la Luna,,,,,,,,,,
106890663,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/60/a1/da/1296859743.webp,lgc7.v.002,34,3200000.0,duplex,sale,387.0,4,4,"avenida de Luis García Cereceda, 7",Madrid,Pozuelo de Alarcón,es,40.4062857,-3.8008773,True,https://www.idealista.com/inmueble/106890663/,"Realizza La finca, vende este duplex con jardín de obra nueva a estrenar en la urbanización de LGC7, con seguridad 24 horas. Nada mas entrar a la vivienda, tenemos un hall de entrada que da acceso al salón con dos ambientes de zona de tv y comedor estas estancias tiene salida directa al jardín y a la piscina. En esta misma planta se encuentra el aseo de visitas, el dormitorio de servicio con su baño en suite la zona de lavandería y una despensa de apoyo a la cocina, la cocina es muy amplia con ventilación y una terraza trasera, desde la cocina se accede al comedor. En la primera planta hay 4 dormitorios todos ellos con baño en suite, el dormitorio principal tiene un gran baño y un fantástico vestidor. la vivienda tiene ascensor que comunica la primera y la segunda planta. la vivienda tiene 5 plazas de garaje. La zona de La Finca tiene unas excelentes comunicaciones mediante transporte público, gracias al metro ligero y a los autobuses de línea que paran en los diferentes tramos de la urbanización La Finca. La zona también goza de un gran número de colegios privados como, Kesington Shool American School, British Council, Colegio Internacional, Los Rosales, y Retamar; centros comerciales como El Corte Inglés de Pozuelo, el centro comercial Zielo, El Zoco, y los multiciness de Kinepolis (con los cines más grandes de España); Centros deportivos como Rebook sport La Finca, y campos de golf como el Club de Golf Somosaguas.  Realizza La Finca, es una inmobiliaria de lujo ubicada en La Finca, ofrece una amplia selección de viviendas de lujo (adosados, bajos con jardín, áticos y chalets independientes) en compra y en alquiler, ubicadas en La Finca de Pozuelo, y se caracteriza por ofrecer exclusivamente viviendas ubicadas en esta privilegiada zona residencial de Madrid. Con experiencia de más de 10 años en La Finca y con conocimiento profundo de todas las urbanizaciones que la componen. Contamos para ello se con un equipo de gran experiencia en el mercado inmobiliario de lujo, y con una relación muy directa con La Finca desde sus inicios hasta hoy. Nuestra larga trayectoria profesional nos permite ofrecer una excelente gestión y encontrar soluciones a las necesidades de cada cliente con el objetivo de lograr su satisfacción y confianza. nde.",True,good,False,8269.0,True,True,False,False,[],False,False,3200000.0,€,True,True,flat,duplex,"La Finca, Pozuelo de Alarcón","Dúplex en avenida de Luis García Cereceda, 7",bj,True,Zona Prado de Somosaguas - La Finca,La Finca,True,,,,,
39308256,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b5/9a/8c/1350716875.webp,5485,78,1350000.0,chalet,sale,534.0,5,5,Peru,Madrid,Ciudalcampo,es,40.626355,-3.6141561,False,https://www.idealista.com/inmueble/39308256/,"REA Inmobiliaria ofrece este magnífico chalet independiente en Ciudalcampo con impresionantes vistas a la sierra. Tiene 534 m2 construidos y 2.615 m2 de parcela. Dispone de cinco dormitorios y cinco baños completos. El jardín cuenta con una preciosa casita de verano. Un inmueble muy funcional, en perfecto estado, y al que una pequeña actualización puede convertir en una casa espectacular. La vivienda se distribuye en 3 plantas: Planta principal: Se despliega a partir de un vestíbulo y cuenta con dos salones (uno de ellos con chimenea), comedor independiente, cocina totalmente reformada con office e isla y un dormitorio de invitados con baño completo. La cocina comunica con el comedor y desde ambos se sale a un bonito porche de orientación sur. Planta superior: Alberga la zona de descanso de la casa y presenta tres dormitorios de buen tamaño. El principal tiene baño en suite, con ducha y bañera, mientras que los otros dos comparten un baño. Tanto el principal como otro de los dormitorios se abren a una enorme terraza de unos 35 m2 de orientación sur. Planta inferior: El antiguo garaje se ha reconvertido en una diáfana sala de juegos con salida al jardín. Encontramos además lavadero-tendedero, despensa, un dormitorio de servicio con baño incorporado, trastero con ventana, cuarto de calderas y depósito de gasoil. El jardín, de orientación norte y sur, tiene piscina privada, multitud de árboles bien consolidados, y una casita de verano con una amplia sala acristalada, barbacoa, horno de leña, barra de bar, cuarto multiusos y baño completo para invitados. Hay una zona de aparcamiento donde pueden estacionarse dos vehículos. La calefacción es de gasoil por radiadores. Las instalaciones están en perfecto estado. La electricidad está recién cambiada, la caldera tiene tres años y el acumulador de agua, con capacidad para 1.000 litros, es de hace cuatro años. La pintura de las paredes es lisa. Disponemos de otras muchas propiedades similares que no están publicadas en este portal. Visite nuestra web reainmobiliaria.com Ciudalcampo es una de las mejores zonas residenciales de Madrid. Ubicada en el km 28 de la A-1 y a solo 20 minutos de Plaza de Castilla, combina privacidad, naturaleza y exclusividad en un entorno único. Mantiene un equilibrio excepcional entre el desarrollo urbanístico y la conservación del medio natural. La urbanización se compone principalmente de chalets unifamiliares en parcelas a partir de 2.500 m², rodeadas de encinares y con maravillosas vistas a la sierra. Tiene un gran prestigio por su seguridad 24 horas, gracias a su profesional patrulla de vigilancia.  Dentro de la urbanización se encuentra el prestigioso colegio internacional SEK y el exclusivo club RACE — con campo de golf, hípica, piscinas, tenis y zonas deportivas. Además, se encuentra junto al centro comercial Santo Domingo, que ofrece supermercado, farmacia, carnicería, pescadería, frutería, estanco y restaurantes, entre otros servicios y a tan solo 10 minutos del Hospital Público Infanta Sofía. Cuenta con un servicio regular de autobuses a Madrid y una línea interna que recorre toda la urbanización.  Una urbanización que logra el equilibrio perfecto entre entorno natural, privacidad y calidad de vida.",True,good,False,2528.0,True,True,False,False,[],False,False,1350000.0,€,True,True,chalet,independantHouse,Ciudalcampo,Casa independiente en Peru,,,,,,,,,,
106131267,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/40/c6/11/1326216081.webp,3704,81,1675000.0,chalet,sale,513.0,5,5,oso,Madrid,Ciudalcampo,es,40.6197082,-3.6150903,False,https://www.idealista.com/inmueble/106131267/,"REA Inmobiliaria presenta este fantástico independiente en localización privilegiada de Ciudalcampo. De orientación sur, es una casa llena de luz a todas horas, volcada al exterior y emplazada en un bonito jardín. La vivienda, muy bien construida, tiene 513 m2 y se erige en una parcela de 3.500 m2, por lo que la habitabilidad no está agotada y podría ampliarse. El inmueble se distribuye en una planta principal y dos medias plantas, una arriba y otra abajo. La de abajo está sobre rasante, por lo que todo el inmueble goza de luz natural. Dispone de cuatro dormitorios con baño incorporado, sin contar las dependencias de servicio. Está en impecable estado y la propiedad dispone de informes recientes de un aparejador que certifican el magnífico trabajo de construcción.  La planta principal se despliega a partir de un recibidor que nos conduce a un precioso salón a doble altura (unos 6 metros), con chimenea y decorado con exquisitos muebles de diseño, que se abre a un amplio porche techado. Separado del salón por unas puertas correderas se localiza el comedor, que a su vez comunica con una cocina con office y con las dependencias de servicio (habitación con baño en suite). En este nivel encontramos además una coqueta sala de estar con comedor de diario y salida a otro porche techado que atalaya la zona de piscina, un despacho acogedor y luminoso, ideal para teletrabajar, y un aseo de visitas. En la media planta superior se ubica la zona de descanso, que cuenta con cuatro dormitorios de buen tamaño con baño en suite y armarios empotrados. El principal tiene baño doble (ducha y bañera de hidromasaje) y walking closet. Este nivel tiene puerta acorazada de seguridad y las habitaciones dan a un pasillo con gran cantidad de armarios para ropa blanca, abrigos, etc. Todos los dormitorios tienen grandes ventanas con vistas al jardín. La media planta inferior está ocupada en gran parte por un enorme salón (90 m2) que hace las veces de txoko, family room o cuarto de juegos. También hay una bodega y una despensa. Todo con luz natural y fácilmente reconvertible en un apartamento independiente para invitados o personas mayores, si fuera necesario. El garaje tiene capacidad para dos vehículos y se puede estacionar uno más en un espacio adyacente.  La calefacción es por gasoil (hay un depósito de 5.000 litros enterrado en el jardín) y hay aparatos de A/A en sala de estar, despacho y dormitorios. El jardín tiene piscina, iluminación nocturna, espacios llanos con césped, una zona solada y áreas boscosas con encinas, pinos y abetos, que pueden aprovecharse de múltiples maneras. Un camino de piedra bordea la superficie de la casa para evitar pisar la hierba los días de lluvia. El riego es por goteo y aspersores, según las zonas. Una edificación exterior contiene dos trasteros separados, que se utilizan para guardar aperos, maletas y todo tipo de enseres. Disponemos de otras muchas propiedades similares que no están publicadas en Idealista. Visite nuestra web reainmobiliaria.com Ciudalcampo es sin duda la urbanización más extensa de la zona norte de Madrid ubicada en el km. 28 de la autovía A-1, a 20 minutos de Madrid Plaza de Castilla.  La zona goza de unas vistas espectaculares a las fincas y grandes encinares del campo de Madrid y al fondo las montañas de la sierra de Madrid, y tiene además un club deportivo, el RACE, donde se puede disfrutar de todo tipo de deportes. Un campo de golf de 18 hoyos, hípica, piscina cubierta, piscina exterior, tenis, pádel y todo tipo de facilidades deportivas además de la vida social del club. Además de esto, la urbanización tiene también un colegio internacional, y muy próximo a la entrada una zona comercial con todo lo necesario para el día a día.",True,good,False,3265.0,True,True,False,False,[],False,False,1675000.0,€,True,True,chalet,independantHouse,Ciudalcampo,Casa independiente en oso,,,,,,,,,,
38319641,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/27/43/849828132.webp,5404,45,1600000.0,chalet,sale,700.0,5,6,chopos,Madrid,Fuente del Fresno,es,40.5901171,-3.5941848,False,https://www.idealista.com/inmueble/38319641/,"REA Inmobiliaria presenta este estupendo chalet independiente con muy buena localización dentro de la urbanización Fuente del Fresno, cerca de la entrada y de la zona comercial. La vivienda destaca por la gran amplitud de todas sus estancias. En la planta baja hay un gran hall de entrada que distribuye por un lado al salón, con salida a un porche acristalado y a la zona de piscina; comedor independiente; cocina también grande y con salida a otro porche acristalado, también dando a la piscina, sala de estar con chimenea, aseo y gabanero.  En la primera planta hay tres dormitorios muy grandes, todos con su cuarto de baño incorporado, y el principal además con sala de estar y vestidor grande y cuarto de baño doble.  En la buhardilla hay un gran espacio abierto con cuarto de baño, ideal para para otro dormitorio y salón de juegos, con vestidores.  En la planta sótano hay muchos metros, con varios salones y cuarto de baño, ideales para juegos, fiestas, etc. y almacén trastero. También zona de servicio completa y garaje para seis coches.  La calefacción por suelo radiante por gasoil (depósito 4.000 litros). Disponemos de otras muchas propiedades similares que no están publicadas en Idealista. Visite nuestra web reainmobiliaria.com Fuente del Fresno está situado en el norte del municipio de San Sebastián de los Reyes, aproximadamente en el km. 24 de la autovía A-1, quedando al oeste de la misma. La urbanización limita con la finca de Viñuelas. Al norte, limita con una pequeña urbanización llamada Fresno Norte.  Cuenta con 626 parcelas y un total de 26 kilómetros de viales, además de numerosas zonas verdes.  Está formada por chalets de entre 200 m2 y 1.200 m2 sobre parcelas de un mínimo de 2.000 m2. Toda se destina a viviendas unifamiliares, tiene una seguridad y vigilancia 24 horas y un único acceso de entrada y salida. Se trata de una zona muy familiar y acogedora. La zona central de la urbanización cuenta con un pequeño centro comercial, que incluye un bar, un pequeño supermercado, una papelería, una escuela de música, una peluquería y una clínica veterinaria entre otras cosas, además de un parque infantil. También dispone de un pequeño polideportivo, que cuenta con dos pistas de tenis, dos pistas de pádel y una pista de fútbol sala, además de un frontón y una canasta de baloncesto. Antiguamente se disponía de un picadero y una piscina comunitaria, si bien ésta ya no se usa debido a que casi todos los chalets de la urbanización cuentan con piscina privada. Asimismo, dispone de una parroquia, llamada Parroquia de Nuestra Señora de Fuente del Fresno.  Reab.",True,good,False,2286.0,True,True,False,False,[],False,False,1600000.0,€,,,chalet,independantHouse,Fuente del Fresno,Casa independiente en chopos,,,,,,,,,,
91375740,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/f0/09/1129736915.webp,e214,34,1149000.0,penthouse,sale,130.0,2,2,calle de Don Ramón de la Cruz,Madrid,Madrid,es,40.4269437,-3.6773643,False,https://www.idealista.com/inmueble/91375740/,"Maravilloso ático ubicado en un edificio clásico del año 1923 recién rehabilitado, manteniendo sus originales patios protegidos, fachada y elementos de la época. Se trata de una vivienda completamente reformada. Se distribuye en un salón comedor exterior con salida a una agradable terraza de 15 metros, con cocina americana totalmente equipada con electrodomésticos de alta gama, dos amplios dormitorios, el principal con baño en suite y vestidor, dando a un patio de manzana muy luminoso, y una tercera habitación utilizada para uso domestico ( cuarto de lavandería ). Destaca por su tranquilidad, luminosidad y magnífica distribución. Cuenta con portero físico, trastero y posibilidad de adquirir una plaza de garaje en una de las fincas colindantes. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",True,good,False,8838.0,True,True,False,False,[],False,False,1149000.0,€,,,flat,penthouse,"Goya, Madrid",Ático en calle de Don Ramón de la Cruz,7,True,Barrio de Salamanca,Goya,True,,,,,
107030219,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/14/2b/2a/1302268512.webp,JM 204769,48,1875000.0,chalet,sale,450.0,6,5,Barrio Monteclaro,Madrid,Pozuelo de Alarcón,es,40.4441081,-3.8467034,False,https://www.idealista.com/inmueble/107030219/,"Gilmar de Majadahonda pone a su disposición este impresionante Chalet Independiente se encuentra en la exclusiva urbanización de Monteclaro, en Pozuelo de Alarcón, Madrid, esta propiedad cuenta con todas las comodidades para una vida de lujo. La distribución de la casa es la siguiente: en la planta baja, encontramos un amplio salón con varios ambientes y salida a un acogedor porche, también dispone de un amplio comedor con acceso a porche y una cocina de excelentes dimensiones con office, en esta misma planta disponemos de una amplia habitación en suite con todas las comodidades, además de un aseo de cortesía. También hay un lavadero para mayor comodidad. En la primera planta nos encontraremos con un total 4 dormitorios espaciosos y 3 baños, el dormitorio principal cuenta con un amplio vestidor y baño privado. La vivienda dispone de un precioso jardín con piscina, además de parking cubierto para varios vehículos. La ubicación es privilegiada dentro de la Urbanización, reforzando su seguridad al estar muy cerca de la garita de vigilancia, otra de las características a destacar es la cantidad de luz natural que recibe el inmueble en todas sus estancias. Monteclaro es conocido por su tranquilidad y seguridad, lo que lo convierte en un lugar ideal para vivir en familia. Además, cuenta con una excelente ubicación, con fácil acceso a las principales vías de comunicación y próximo a varios colegios de renombre. En cuanto a los servicios cercanos, destaca el Centro Comercial Montecarlo, Aquí encontrarás una amplia variedad de servicios para disfrutar de tu tiempo libre. Además, el barrio cuenta con excelentes conexiones de transporte público, con varias líneas de autobuses que pasan cerca de la propiedad. En resumen, este Chalet Independiente en Monteclaro es una oportunidad única para vivir en una de las zonas más exclusivas de Madrid. Con sus amplios espacios, acabados de alta calidad y excelente ubicación, esta propiedad es perfecta para aquellos que buscan una vida de lujo y comodidad. Si deseas obtener más información sobre esta propiedad, por favor, facilítanos la referencia 204769 y estaremos encantados de ayudarte. En GILMAR llevamos desde 1983 ayudando a nuestros clientes a encontrar la casa de sus sueños. Nuestro equipo en la oficina de Majadahonda, ubicada en la Avda. Doctor Calero 19 (Centro Comercial Tutti), está a tu disposición para cualquier consulta. Puedes contactarnos en el teléfono o enviarnos un correo electrónico a. Estaremos encantados de atenderte y ofrecerte más detalles sobre esta magnífica propiedad.",True,good,False,4167.0,True,True,False,False,[],False,False,1875000.0,€,,,chalet,independantHouse,"Monteclaro, Pozuelo de Alarcón",Casa independiente,,,Urbanizaciones,Monteclaro,,,,,,
105881116,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/c7/83/1268402698.webp,JM199017,32,349000.0,flat,sale,90.0,2,2,Barrio Tres Olivos - Valverde,Madrid,Madrid,es,40.4947332,-3.6877862,False,https://www.idealista.com/inmueble/105881116/,"Este bajo totalmente reformado de 90 m2 se encuentra en el barrio de Fuencarral, en la zona de Valverde, en Madrid. Con dos dormitorios y dos baños, este piso interior es luminoso y ofrece una excelente oportunidad para aquellos que buscan invertir en el mercado inmobiliario. El inmueble cuenta con características destacadas, como calefacción de aire acondicionado frío-calor, aire acondicionado, portero automático y un estado de conservación impecable gracias a la reciente reforma. Además, en las proximidades se encuentra el centro comercial ''LA VAGUADA'', un lugar perfecto para disfrutar de una amplia variedad de tiendas, restaurantes y entretenimiento. Si prefieres moverte en autobús, encontrarás varias líneas de autobuses que pasan cerca de la ubicación de este inmueble, lo que te permitirá desplazarte fácilmente por la zona y conectar con otras partes de la ciudad. El barrio de Fuencarral es conocido por su ambiente tranquilo y familiar, con una gran oferta de servicios y comodidades. Además de los colegios y centros comerciales mencionados anteriormente, también hay parques, restaurantes y todo tipo de comercios en las cercanías. En resumen, este bajo reformado en el barrio de Fuencarral es una excelente oportunidad para aquellos que buscan una vivienda con potencial de rentabilidad. Su ubicación estratégica, las comodidades cercanas y las características del inmueble lo convierten en una opción atractiva para inversores. Gilmar lleva desde 1983 ayudando a sus clientes a encontrar la casa de sus sueños. Nuestro equipo en la oficina de Mirasierra, ubicada en Calle Nuria 59 (C. C. Mirasierra), está listo para brindarte más información sobre este inmueble. Si estás interesado, no dudes en contactarnos y proporcionarnos la referencia del inmueble. Estaremos encantados de ayudarte en tu búsqueda. Puedes comunicarte con nosotros al o enviarnos un correo electrónico a.",True,good,False,3878.0,True,True,False,False,[],False,False,349000.0,€,,,flat,,"Tres Olivos - Valverde, Madrid",Piso,bj,True,Fuencarral,Tres Olivos - Valverde,True,,,,,
90372493,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f2/8f/47/1038247143.webp,424133,31,2500000.0,flat,sale,240.0,5,4,Barrio Castellana,Madrid,Madrid,es,40.4339964,-3.683439,False,https://www.idealista.com/inmueble/90372493/,"ÚNICA Inmobiliaria presenta vivienda con exclusiva ubicación en la Milla de Oro, en el distrito Salamanca. Situado en finca representativa, el piso cuenta con una superficie de 240 m² en escrituras distribuidos en salón - comedor de amplias dimensiones, destacando la preciosa chimenea de vanguardia. Esta zona es muy luminosa porque esta completamente acristalada y con orientación Sur.  Zona de descanso compuesta por 5 dormitorios, 4 dobles, 2 de ellos en suite, otro dormitorios, ubicado en la zona de servicio, 4 cuartos de baños y un aseo de invitados.  Actualmente esta alquilado, es solo para INVERSORES, alta rentabilidad.  Acabados de lujo y altas calidades en todas las estancias, cerramientos de aluminio, rotura de puente térmico y doble acristalamiento en toda la vivienda, aire acondicionado completamente instalado con regulador térmico en cada estancia, baños de mármol Travertino. Cocina equipada con electrodomésticos de alta gama, recientemente instalada. Suelos de tarima flotante.  La vivienda dispone de plaza de garaje de acceso directo y trastero, incluidos en el precio. Finca con portero físico y con fácil acceso para las personas con movilidad reducida. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",True,good,False,10417.0,True,True,True,False,[],False,False,2500000.0,€,True,True,flat,,"Castellana, Madrid",Piso,2,True,Barrio de Salamanca,Castellana,True,,,,,
100460134,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/e9/6c/1087363716.webp,425329,53,1470000.0,flat,sale,169.0,3,4,Barrio Lista,Madrid,Madrid,es,40.4344451,-3.6777924,False,https://www.idealista.com/inmueble/100460134/,"ÚNICA Inmobiliaria presenta espectacular vivienda de lujo con magnifica luz en el Barrio de Salamanca- Lista. Vivienda de 169 m² con una exquisita reforma integral ubicada en la segunda planta de un edificio clásico.  Al entrar nos encontramos con un hall muy amplio que da paso al fantástico salón con excepcional luminosidad, con dos balcones, cocina equipada con una preciosa isla que divide las dos estancias. Zona de descanso compuesta por tres dormitorios dobles en suite con armarios empotrados y aseo de cortesía.  El edificio cuenta con portero físico y ascensor. Este distinguido barrio residencial se ha convertido en una de las más  importantes zonas comerciales de la ciudad y uno de los barrios de mayor nivel de vida de Europa, con la mejor zona de compras de lujo de Madrid, famosos restaurantes, colegios y hospitales. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",True,good,False,8698.0,True,True,False,False,[],False,False,1470000.0,€,,,flat,,"Lista, Madrid",Piso,2,True,Barrio de Salamanca,Lista,True,,,,,
