propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
105236114,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/5e/e7/1246261028.webp,CH-426627-JL,32,5,1950000.0,flat,sale,230.0,True,5,4,paseo de La Habana,Madrid,Madrid,Chamartín,es,El Viso,40.4519077,-3.686614,False,https://www.idealista.com/inmueble/105236114/,"ÚNICA Inmobiliaria Chamartín les ofrece esta exclusiva vivienda de lujo totalmente exterior en la calle Serrano. Se trata de una propiedad de diseño clásico y señorial con amplias estancias, techos altos y suelos de madera sobre rastreles, con superficie construida con elementos comunes de 230 m². Accedemos a través de un gran distribuidor, que da paso a las distintas zonas de la vivienda:  Por un lado gran salón con salida a la terraza, sala de estar, despacho/dormitorio y comedor en varios ambientes. La cocina con entrada independiente, cuarto de lavado, office y dormitorio de servicio con baño. En cuanto a la zona de descanso cuenta con tres dormitorios más, dos de ellos en suite, y otro baño adicional.  La ubicación es excelente, contando con todos los servicios, transportes, comercios y dotaciones a un paso. Hispanoamérica es un barrio del Distrito de Chamartín, situado en la zona noreste de Madrid. Ofrece una amplia gama de servicios, comercios, colegios, instalaciones deportivas, hoteles, restauración, hospitales y clínicas y un amplio sistema de transporte público; y alberga el Estadio Santiago Bernabéu, varias Embajadas, Administraciones Públicas y la sede de varias de las empresas más importantes de España. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,8478.0,True,True,False,True,[],False,False,1950000.0,€,True,True,flat,"El Viso, Madrid",Piso en paseo de La Habana,,,,,,
106459458,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3d/c1/93/1283523082.webp,M11516V,44,en,2700000.0,duplex,sale,220.0,True,2,2,calle de Montalbán,Madrid,Madrid,Retiro,es,Jerónimos,40.4192195,-3.6907614,False,https://www.idealista.com/inmueble/106459458/,"Este elegante dúplex de 220 m² ha sido diseñado con los más altos estándares de calidad para quienes buscan exclusividad y confort. Cada rincón de la vivienda ha sido cuidadosamente pensado para maximizar el espacio y la entrada de luz natural. En la primera planta, encontrará un salón comedor diáfano con dos ambientes diferenciados: una zona de salón y un espacio acogedor, ideal para lectura. Un gran ventanal exterior ilumina todo el ambiente, creando una atmósfera cálida y sofisticada, mientras que un aseo de invitados ofrece comodidad adicional. La cocina, de excelente tamaño, combina funcionalidad y diseño con acabados de primera calidad. Equipada con electrodomésticos de última generación, esta estancia cuenta con una amplia ventana que aporta luz y ventilación natural. Separada del comedor mediante una elegante puerta corredera, la cocina ofrece privacidad y armonía en su disposición. En la planta superior, dos dormitorios en suite con amplios armarios empotrados y baños completos aseguran un espacio íntimo y de gran confort. Ubicada en una finca clásica rehabilitada en 2020, esta propiedad se encuentra en una de las calles más exclusivas de Jerónimos, a pasos del parque El Retiro, Puerta de Alcalá y museos emblemáticos. La finca ofrece un amplio portal decorado con obras del reconocido artista Carlos Cruz Diez, seguridad 24/7 y servicios exclusivos como piscina, sauna, gimnasio y salón de juntas. Sus alrededores destacan por la oferta de restaurantes y excelentes conexiones de transporte público. Adquirir este dúplex es asegurar un estilo de vida único, en una de las zonas más prestigiosas de la ciudad. En Walter Haus, estamos comprometidos a ofrecerle propiedades que reflejen su estilo y aspiraciones. No dude en contactarnos para más información. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en las principales ubicaciones de Madrid, Barcelona y Costa Brava. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.",True,good,False,True,12273.0,True,True,False,False,[],False,False,2700000.0,€,True,True,flat,"Jerónimos, Madrid",Dúplex en calle de Montalbán,duplex,,,,,
107737915,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fd/65/4f/1324123328.webp,HG207868,32,5,1375000.0,flat,sale,204.0,True,5,3,calle del Aviador Zorita,Madrid,Madrid,Tetuán,es,Cuatro Caminos,40.4504017,-3.697568,False,https://www.idealista.com/inmueble/107737915/,"Gilmar Consulting Inmobiliario Castellana-Orense vende espectacular vivienda exterior, en la Calle del Aviador Zorita, justo en zona Cuatro Caminos, situada en una quinta planta, exterior, con ascensor, con una superficie aproximada de 204 metros cuadrados, los cuales se distribuyen en hall de entrada, salón - comedor, cocina, office, dos terrazas, cinco dormitorios, tres cuartos de baño y plaza de garaje. La distribución de la casa es excelente, invita a disfrutar de cada una de sus estancias; Amplio y espacioso hall de entrada; Salón y comedor independiente bastante espacioso; Cinco dormitorios, destacando tres de ellos, muy amplios y espaciosos, con armarios empotrados, desde dos dormitorios, uno actualmente reconvertido a sala de estar, se puede acceder mediante ventanales a maravillosa y espaciosa terraza abierta; Dispone de otra terraza abierta mas reducida e interior con acceso desde uno de los otros dormitorios; Desde el office accedemos a un aseo y a la cocina independiente, espaciosa y con gran capacidad de almacenaje con acceso directo desde la entrada de servicio; Dos cuartos de baño, uno con plato de ducha y otro con bañera. Sin duda, una casa acogedora, confortable y alegre. Ideal para familias. Entre sus materiales destacamos: suelo de parquet; calefacción central y armarios empotrados muy espaciosos y con gran capacidad de almacenaje, en dormitorio principal y en uno de los dormitorios secundarios. Edificio con servicio de portería y doble ascensor. Plaza de garaje incluida en el precio, en parking justo en frente del edificio, plaza amplia e independiente en parking con fácil acceso mediante rampa y con muy buena maniobrabilidad. El barrio de Cuatro Caminos es conocido por su excelente ubicación y su amplia oferta de servicios. En sus alrededores se encuentran prestigiosos colegios, además hay numerosos restaurantes, locales comerciales y zonas de ocio para disfrutar en el tiempo libre. En cuanto a las comunicaciones, la zona cuenta con excelentes conexiones tanto hacia el exterior de Madrid por carretera como para la movilidad interna. La estación de metro más cercana es Santiago Bernabéu ( Línea 10 ), mientras que las líneas de cercanías más próximas son las de Nuevos Ministerios y Chamartín. Además, hay varias líneas de autobuses que tienen paradas casi en la puerta del edificio. En Gilmar trabajamos para ofrecer a nuestros clientes los mejores inmuebles desde hace 37 años. Cubrimos todas las necesidades inmobiliarias: viviendas, oficinas, locales comerciales, solares, fincas rústicas, terrenos para construir... Disponemos de más de 30 equipos especializados en distintas zonas al servicio de más de 90.000 Clientes nacionales e internacionales, que cuentan con asesoramiento necesario para garantizar su seguridad, eficacia jurídica y la mejor rentabilidad financiero-fiscal. Visita nuestra web y encontrarás 4.000 oportunidades más.",False,renew,False,True,6740.0,True,True,False,False,[],False,False,1375000.0,€,True,True,flat,"Cuatro Caminos, Madrid",Piso en calle del Aviador Zorita,,,,,,
105398262,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6e/ab/f4/1303054997.webp,TIPO 1,45,,619000.0,chalet,sale,233.0,,3,3,Calle Maria Moliner s/n,Madrid,Móstoles,El Soto - Coveta,es,,40.3248033,-3.8809739,True,https://www.idealista.com/obra-nueva/105398262/,"ÚLTIMO CHALET ADOSADO con suelo refrigerado y calefactado por aerotermia, ventanas con vidrios bajo emisivos y sótano con cuarto lavadero y trastero. Fecha de entrega estimada segundo semestre de 2025. Obras en curso. Con facilidades de pago.   PROMOCIÓN SITUADA MUY CERCA DEL PARQUE FINCA LIANA.   La ubicación es excelente, en la Calle María Moliner y la Calle Benito Pérez Galdós, muy cerca del Parque, de Colegios, Supermercados y demás servicios. Cuentan con tres habitaciones, dos baños y un aseo, cocina amueblada con horno, microondas y placa de inducción, comunicada con el salón por puerta corredera y salón amplio y luminoso. La construcción es de calidad, con ladrillo clinker destonificado que requiere poco mantenimiento y suelo porcelánico. Las ventanas son de PVC color gris antracita por fuera y blancas por dentro. La constructora tiene gran experiencia, nacida en 1971, ha construido en la zona suroeste numerosas viviendas. Las infografías son simulaciones, puede haber cambios por motivos técnicos, comerciales o legales. También incluímos algunas fotos de nuestra última promoción en Arroyomolinos llamada Villa Europa III, las calidades son similares aunque el diseño del chalet es totalmente diferente. Consulte los planos comerciales y la memoria de calidades para tener una información más exacta de esta promoción.   PROMOCIÓN COMERCIALIZADA POR NOVOGAR Y PROMOVIDA POR HIJES.",False,newdevelopment,True,,2657.0,True,True,False,False,[],False,False,619000.0,€,True,True,chalet,"El Soto - Coveta, Móstoles",Chalet adosado en Calle Maria Moliner s/n,terracedHouse,False,,,,
103206081,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8c/51/fb/1181807825.webp,M20530V,39,bj,1000000.0,flat,sale,82.0,True,1,1,calle Luis Garcia Cereceda,Madrid,Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,es,La Finca,40.4050798,-3.7995066,False,https://www.idealista.com/inmueble/103206081/,"Descubra este espacioso piso dúplex de aproximadamente 82 metros cuadrados, bañados por el cálido sol del sur y realzados por generosos ventanales que inundan los amplios espacios con luz natural. Este hogar de alta gama se distingue por sus calidades excepcionales, incluyendo un sistema de domótica que eleva la experiencia residencial a un nivel superior. Desde la planta de entrada, se accede a un generoso salón comedor con cocina integrada, aseo de cortesía y cuarto de lavadora, creando un espacio funcional y estéticamente atractivo. La conexión con la naturaleza se logra a través del acceso directo desde el salón al jardín, proporcionando un oasis de serenidad. La planta superior alberga la zona de noche, con una amplia habitación y un cuarto de baño luminoso que refleja un diseño elegante. Las zonas comunes de la finca GARDEN ofrecen una experiencia única, con una amplia piscina, un moderno gimnasio y una luminosa sala de trabajo. La seguridad las 24 horas, respaldada por un circuito de cámaras, garantiza tranquilidad y protección. Esta exclusiva propiedad forma parte del prestigioso conjunto residencial LGC, que ofrece una amplia gama de comodidades, desde una zona de ocio hasta servicios de primera categoría. La Finca Grand Café, un espacio culinario premium y de compras, y la zona deportiva con el club La Finca Golf, amplían las posibilidades de entretenimiento y bienestar. Descubra el lujo y la exclusividad en cada rincón de esta residencia única. Walter Haus Real Estate es un grupo inmobiliario con sede en las principales capitales de España, en ubicaciones como Salamanca, Chamberí, Chamartín, Pozuelo de Alarcón, en Madrid, y en Barcelona. Contamos con una experiencia de más de 20 años, con un dinámico equipo de profesionales con experiencia en el asesoramiento personal en constante formación y con una especialización muy concreta en cada zona de actuación lo que nos permite encontrar soluciones a las necesidades de cada cliente.",False,good,False,True,12195.0,True,True,False,False,[],False,False,1000000.0,€,True,True,flat,"La Finca, Pozuelo de Alarcón",Piso en calle Luis Garcia Cereceda,,,,,,
108854366,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2d/b6/14/1359069939.webp,,19,1,290000.0,flat,sale,71.0,True,3,1,Urbanizacion Residencial Jarama,Madrid,Paracuellos de Jarama,Residencial Jarama,es,,40.4977239,-3.5457643,False,https://www.idealista.com/inmueble/108854366/,"En venta piso de 71,30m² en urbanización Residencial Jarama (Paracuellos de Jarama) La vivienda se encuentra en una planta primera y se distribuye en hall de entrada, salón con acceso a una espaciosa terraza, amplia cocina amueblada (añadida terraza a cocina), 3 habitaciones (dos de ellas con armario empotrado) y un cuarto de baño reformado con plato de ducha. La vivienda además cuenta con trastero y plaza de garaje incluido en el precio de venta. El inmueble es exterior.  Ubicado en gran urbanización dotada con exteriores con amplias y zonas comunes: zonas verdes, pista de tenis, cancha de baloncesto, zona para barbacoas, parque infantil, gran piscina de adultos y piscina infantil rodeadas de árboles y césped natural. Además la urbanización está videovigilada y totalmente cerrada. Los accesos a las zonas comunes se controlan mediante aplicaciones móviles y carnets personalizados. Buena comunicación con parada de diversas líneas de autobús en la puerta de la urbanización: 212, 211, 256, 214, 210, 5 minutos en coche del pueblo de Paracuellos de Jarama, del metro de Barajas (línea 8) y del aeropuerto, Todos los servicios con supermercados, colegios, centro de salud, áreas de ocio, etc a sólo 1,5 km. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración.",True,good,False,False,4085.0,True,False,True,False,[],False,False,290000.0,€,True,True,flat,"Residencial Jarama, Paracuellos de Jarama",Piso en Urbanizacion Residencial Jarama,,,,,,
107829603,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/44/39/4b/1325584434.webp,LASO294,32,1,275000.0,penthouse,sale,218.0,True,6,3,"calle Laso, 1",Madrid,Navalcarnero,Centro,es,,40.291189,-4.0138315,True,https://www.idealista.com/inmueble/107829603/,"Hogares Navalcarnero te ofrece en exclusiva este impresionante ático dúplex, una joya en el centro de Navalcarnero, donde el espacio y la comodidad se combinan a la perfección. Con una distribución excepcional y un diseño moderno, esta vivienda es ideal para quienes buscan amplitud y calidad de vida en un entorno inmejorable. La propiedad cuenta con un total de 6 habitaciones, pensadas para ofrecer el máximo confort y privacidad a todos los miembros de la familia. En la planta baja encontrarás 2 habitaciones, de las cuales una de ellas es la espaciosa habitación principal, contamos con un baño completo, cocina completamente equipada y un salón luminoso que se convierte en el corazón del hogar, ideal para relajarse o recibir a tus seres queridos. En la planta superior, se encuentran 4 habitaciones abuhardilladas y 2 baños completos, lo que permite una gran flexibilidad para adaptarse a las necesidades de tu familia. 218 metros según catastro. Esta vivienda asegura que todos puedan disfrutar de un espacio propio, cómodo y funcional. Con detalles pensados en la comodidad diaria, cada rincón de este ático ha sido diseñado para ofrecerte la mejor experiencia de vida. Uno de los grandes atractivos de esta propiedad es su ubicación céntrica y privilegiada. Situado en pleno corazón de Navalcarnero, podrás disfrutar de la comodidad de vivir cerca de todos los servicios que necesitas en tu día a día. Colegios, supermercados, tiendas, restaurantes y centros de salud están a tan solo unos pasos, lo que te permite acceder a todo lo esencial sin perder tiempo. Además, la vivienda se encuentra perfectamente comunicada con las principales líneas de autobuses, lo que facilita tus desplazamientos a otras zonas de la ciudad y alrededores. Este ático dúplex no solo te ofrece un hogar de grandes dimensiones, sino también una excelente inversión para el futuro. Su distribución inteligente convierte esta propiedad en una opción única en el mercado. Si estás buscando una vivienda espaciosa, bien ubicada y llena de posibilidades, no dudes en venir a conocerla. ¡No dejes escapar la oportunidad de vivir en una de las zonas más cotizadas de Navalcarnero! ¡Financiación 100% disponible! Si estás buscando un hogar con todas las comodidades y una ubicación excepcional, esta es tu oportunidad. ¡Contacta con nosotros y ven a visitarlo! No dejes escapar este exclusivo ático, ¡puede ser el hogar de tus sueños!",False,good,False,False,1261.0,True,True,False,True,[],False,False,275000.0,€,,,flat,"Centro, Navalcarnero","Ático en calle Laso, 1",penthouse,,,,,
108632251,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b3/09/09/1353052221.webp,,30,bj,550000.0,flat,sale,84.0,True,4,2,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4277279,-3.7064013,False,https://www.idealista.com/inmueble/108632251/,"Encantador piso reformado en Malasaña, ideal para alquiler vacacional. Este piso de 84 m² ubicado en el emblemático barrio de Malasaña, en el distrito Centro de Madrid, es una oportunidad única para quienes buscan invertir en una propiedad con una ubicación privilegiada. Con 4 dormitorios y 2 baños, esta vivienda reformada y exterior destaca por su luminosidad y distribución eficiente. Su sistema de calefacción eléctrica y el buen estado de conservación lo convierten en una opción cómoda y lista para entrar a vivir o destinar a alquiler vacacional.  Malasaña es uno de los barrios más vibrantes y deseados de Madrid, conocido por su ambiente bohemio, su oferta cultural y su rica historia. Aquí se combinan calles llenas de cafés, restaurantes, tiendas de diseño y pequeños negocios tradicionales. Pasear por sus calles es descubrir el corazón auténtico de la capital. Además, su céntrica localización permite acceder fácilmente a otros puntos destacados de la ciudad.  Conexiones y servicios cercanos: La ubicación de este piso es inmejorable en términos de transporte público:  -Metro más cercano: San Bernardo y Tribunal (líneas 1 y 10), a menos de 500 metros.  -Cercanías: La estación de Sol (líneas C3 y C4) se encuentra a aproximadamente 1,5 kilómetros, conectando rápidamente con los alrededores de Madrid.  - Autobuses: Varias líneas de autobús como la 147 y 3 tienen paradas cercanas, facilitando el desplazamiento por toda la ciudad.  **Perfecto para inversión**  Gracias a su ubicación estratégica y su reforma, este piso es ideal para alquiler vacacional, garantizando una alta rentabilidad en una de las zonas más demandadas de Madrid.  Desde 1983, en GILMAR nos hemos dedicado a cumplir los sueños de nuestros clientes, ayudándoles a encontrar la vivienda perfecta. Con más de 40 años de experiencia, somos líderes en el sector inmobiliario, ofreciendo un servicio personalizado, profesional y de calidad.  Para más información sobre esta propiedad, no dudes en ponerte en contacto con nuestro equipo de la oficina de Chamberí-Argüelles. Llámanos al ** **, escríbenos a **** o visítanos en **C/ Carranza, 20**. Facilítanos la referencia 211508 y estaremos encantados de ayudarte.",False,good,False,True,6548.0,True,True,False,False,[],False,False,550000.0,€,,,flat,"Malasaña-Universidad, Madrid",Piso,,,,,,
108842280,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/da/4c/1358233108.webp,,50,,1350000.0,chalet,sale,534.0,,5,4,paseo del Perú,Madrid,Ciudalcampo,,es,,40.6203127,-3.6208355,False,https://www.idealista.com/inmueble/108842280/,"Gilmar Norte, presenta esta propiedad única en el corazón de Ciudalcampo, una de las urbanizaciones más exclusivas del norte de Madrid. Este espectacular chalet independiente construido sobre una parcela de 2.700 m² aprox., representa la perfecta fusión entre confort y privacidad, en un entorno natural privilegiado y con excelentes conexiones con la capital. El cuidado jardín de 1.500 m² con una orientación perfecta, alberga una singular construcción con zona de ocio, zona de cocina con barbacoa, vestuarios con ducha, todo ello junto a la magnífica piscina privada, ideal para disfrutar del sol y la tranquilidad en cualquier época del año, convierte este espacio en el lugar perfecto para celebraciones al aire libre. La vivienda se organiza en tres cómodos niveles, diseñados para ofrecer la máxima funcionalidad y amplitud, con un salón con acceso independiente, dormitorio de servicio, dos trasteros, cuarto de lavado, bodega y sala de Caldera. Un elegante porche da paso al hall principal, que conecta con un amplio salón en dos ambientes, comedor, cocina y un dormitorio con baño en suite, ideal como suite principal o para invitados. Dispone de dos dormitorios dobles con baño compartido y una amplia suite principal con baño privado y salida a terraza. Originalmente compuesta por dos habitaciones, esta suite permite volver a distribuir el espacio según tus necesidades. La urbanización de Ciudalcampo está considerada como una de las mejores zonas residenciales de Madrid, situada junto al Parque Regional de la Cuenca Alta del Manzanares, en los municipios de San Sebastián de los Reyes y Colmenar Viejo, en un entorno privilegiado, con impresionantes vistas a la sierra norte de Madrid. Dispone de excepcionales dotaciones y servicios dentro de la propia urbanización: Colegio internacional, Club deportivo RACE (Golf, Pádel, Tenis, Piscina, Gimnasio, Hípica, Fútbol), Servicio regular de autobuses a Madrid e interno dentro de la propia urbanización, Oficina de correos y Centro Comercial Santo Domingo. Sin olvidarnos de los 6,5 Km de circuito físico para la práctica de deporte al aire libre y 41km de viales con tráfico limitado a la propia urbanización, ideales para los amantes de paseos en plena naturaleza. Cuenta, además, con un sistema de cámaras y vallado perimetral con servicio de seguridad 24 horas, patrullas de vigilancia y control de barrera a la entrada. Además, la comunicación es inmejorable, en las proximidades de esta lujosa urbanización situada en la autovía A-1, en el kilómetro 28 sentido Burgos, se encuentra el Aeropuerto de Madrid (Adolfo Suarez) y a tan sólo 15 minutos del centro. Cuenta con los mejores y más amplios servicios con un Centro Comercial que cuenta con consultorio médico (Público y privado), oficina de Correos, bancos, farmacia, diversa restauración, veterinario, gimnasio, etc… además de Club Social con campo de entrenamiento de golf, piscina, escuela de tenis, zona de ocio para niños y adultos, etc...  Dispone también de colegios públicos (CEIPS) y privados e internacionales (SEK, Trinity College...), residencia para la tercera edad e iglesia, y a escasos minutos del Hospital Público Infanta Sofía. Desde 1983, GILMAR se ha dedicado a ayudar a sus clientes a encontrar la casa de sus sueños, ofreciendo un servicio personalizado y profesional que garantiza la satisfacción en cada proceso de compra, venta o alquiler. Con una amplia experiencia en el sector inmobiliario, GILMAR es sinónimo de confianza y excelencia. Para más información sobre este magnífico chalet, no dude en ponerse en contacto con nuestro equipo en la oficina de Santo Domingo. Puede visitarnos en el Centro Comercial Santo Domingo, Local 11, Avenida de Guadalix, 37, 28120 Santo Domingo (Madrid), llamar al o escribirnos al correo. Para agilizar tu consulta, por favor, facilite la referencia 209317.",False,good,False,,2528.0,False,True,False,False,[],False,False,1350000.0,€,True,True,chalet,Ciudalcampo,Casa independiente en paseo del Perú,independantHouse,,1390000.0,40000.0,3.0,
100769979,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/3e/c9/1098884081.webp,V233Q6,31,3,1050000.0,flat,sale,188.0,True,3,3,"avenida del Papa Negro, 120",Madrid,Madrid,Hortaleza,es,Conde Orgaz-Piovera,40.4576245,-3.6242228,True,https://www.idealista.com/inmueble/100769979/,"QUALITÉ Agence Immobilière Française présente LES PLUS BELLES MAISONS DE MADRID.  CARGADO DE ILUSIÓN en el Parque Conde de Orgaz. Amplio y bien distribuido. Luminoso y cargado de gran energía. Cercano a zonas comerciales y a colegios dentro del Parque Conde de Orgaz.  DISTRIBUCIÓN DE LA VIVIENDA. Hall de entrada (7,17 m2), aseo de cortesía, salón-comedor (27 m2), cocina/office (12 m2) completamente equipada, despensa y zona de lavandería. Dormitorio principal (20 m2) en suite con dos vestidores. Dos dormitorios (13,94 m2 - 14,63 m2) con dos baños.  ELEMENTOS EXCLUSIVOS. Calefacción de gas natural. Aire acondicionado. Piscina interior y exterior. Jardín. Gimnasio. Sauna. squash. Seguridad 24h. Conserje. 2 plazas de garaje. Ascensor. Trastero. PROXIMIDADES. Arturo Soria Plaza 2,9 km. Hipercor Campo de las Naciones 800 m. Gimnasio Holmes Place 1,2 km. Hospital Nuestra Señora de América 2,9 km. Clínica Universitaria de Navarra en Madrid 1,6 km. Colegio San Jose del Parque 2 Km. Liceo Francés de Madrid 2 km.  Farmacia 30 m. QUALITÉ AGENCE IMMOBILIÈRE FRANÇAISE selecciona las mejores viviendas del Parque Conde de Orgaz, Arturo Soria Prime y exclusivas zonas de Madrid, ofreciéndole la mejor calidad de servicio. Vender, comprar o alquilar un hogar son momentos importantes de nuestra vida, por eso ofrecemos la máxima seriedad y profesionalidad a nuestros clientes.  PINCHE EN NUESTRO LOGO PARA VER MÁS VIVIENDAS. VENTA 1.050. 000. -€ REF. V233Q6 Piso Parque Conde de Orgaz 3 dormitorios 3 baños 188 m2 construidos Año construcción 2003 Planta 3ª Orientación sur.",False,good,False,True,5585.0,True,True,False,False,[],False,False,1050000.0,€,True,True,flat,"Conde Orgaz-Piovera, Madrid","Piso en avenida del Papa Negro, 120",,,,,,
