propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished
108924706,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6a/50/8f/1359112826.webp,31,9,460000.0,flat,sale,125.0,True,3,2,calle de Oña,Madrid,Madrid,Hortaleza,es,Virgen del Cortijo - Manoteras,40.4875358,-3.6627767,False,https://www.idealista.com/inmueble/108924706/,"TECNOCASA ESTUDIO PINAR DE CHAMARTIN VENDE vivienda en la calle Oña - Virgen del Cortijo, piso luminoso de 3 dormitorios, 2 baños, hall, salón con terraza. Cuenta con armarios empotrados en todas las habitaciones y trastero. Trastero Cocina  3 Habitaciones 4 de origen 2 Baños Terraza Calefacción individual (gas) VIVIENDA A REFORMAR Instalaciones cercanas: todo a menos de 3 minutos andando Lavado de mascotas, gasolineras, farmacias, floristerías, gimnasio, campo de futbol, polideportivo, estanco, osteopatía, cines, centro comercial, alimentacion Dia, Carrefour Expres, en el mismo barrio disponemos de la mejor panaderia ganadora del premio al mejor pan: Marea Bread, no necesitaras salir del barrio para realizar la compra o cualquier otra labor. La construcción del edificio es sobre pilares con posibilidad de cualquier tipo de reforma. Calle Oña en su mejor tramo de comercios y servicios. El inmueble cuenta con inmejorable comunicación, tanto por transporte público con varias líneas de BUS al centro en la puerta y a tres minutos del Metro ligero: L1 - L4 y ML En transporte privado tiene acceso directo a la M11 - M30 y A1. Virgen del Cortijo, Caleruega, Arturo Soria, Avenida de San Luis, Jazmín, Arte, Condado de Treviño, Oña y Costillares. ¡OPORTUNIDAD! Con KÌRON y sus agentes de intermediación financiera podrás encontrar la hipoteca que mejor se adapte a tus necesidades de financiación, para que puedas beneficiarte de los convenios que tiene el grupo Tecnocasa con diferentes entidades bancarias. Con la posibilidad de financiación hasta 100%, asesórate gratis y sin compromiso. Reserva tu visita.",False,renew,False,True,3680.0,True,False,False,False,[],False,False,460000.0,€,flat,"Virgen del Cortijo - Manoteras, Madrid",Piso en calle de Oña,,,,,,,,
108508999,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/94/31/1350399455.webp,59,3,495000.0,penthouse,sale,197.0,True,5,3,El Guijo - Colonia España - Colonia San Antonio,Madrid,Galapagar,El Guijo - Colonia España - Colonia San Antonio,es,,40.6061949,-4.0269296,False,https://www.idealista.com/inmueble/108508999/,"Estás pensando en disfrutar de la vida en una urbanización con amplios jardines, zonas deportivas y conserjería 24 horas? No dejes pasar la ocasión de disfrutar de este espectacular ático con dos preciosas terrazas con vistas. DESCRIPCIÓN Atico de 192 m2 construidos, con amplio salón con chimenea y salida a una de las terrazas, comedor independiente con chimenea, cinco dormitorios, el principal con baño en suite, otro baño y un aseo. Tiene dos grandes terrazas con acceso desde el salón, comedor y dormitorios.  Cada terraza cuenta con un amplio trastero y en el interior de la casa, con entrada desde el salón y el comedor, también hay otros dos trasteros. La cocina de buen tamaño y con terraza tendedero, tiene entrada independiente a la casa. ESTE PISO ES ESPECIAL PORQUE cuenta con un salón amplio y luminoso con chimenea, una cocina con entrada independiente, los dormitorios tienen armarios empotrados. Tiene ventanas de aluminio lacado con rotura de puente térmico abatibles y oscilobatientes. Caldera individual de gas natural para calefacción y agua caliente.  El piso se encuentra en una segunda planta en la zona central de la urbanización, a un paso de la zona de piscinas y club social. Dispone de plaza de garaje privada individual en los bajos del edificio. SITUACIÓN Situada en una de las mejores urbanizaciones de la sierra, muy familiar y con unas zonas comunes espectaculares, con tres piscinas, pistas deportivas de todo tipo, club social con restaurante, gimnasio, farmacia y conserjería las 24 horas. Muy buena comunicación mediante autobuses a Villalba y Madrid muy frecuentes con parada en la misma entrada de la urbanización. SERVICIOS La urbanización cuenta con conserjería 24 horas, recinto de piscinas de verano (tres piscinas) con bar y amplísimos jardines y zonas de sombra, club social, gimnasio, pistas de pádel, tenis, frontón, baloncesto, fútbol sala, fútbol 7, voley playa, amplios jardines consolidados y bien cuidados, parques infantiles. También cuenta con un pequeño supermercado y farmacia. La población más cercana es Collado Villalba con los servicios que ofrece, tanto comerciales y de ocio (CC Los Valles, Planetocio, P-29), como sanitarios con el Hospital de Villalba y con acceso directo a la A-6 en la salida 39, estación de autobuses y cercanias RENFE. COMUNICACIÓN A 2 km de Villalba y Galapagar, cuenta con una parada de autobús en la entrada de la urbanización que la comunica tanto con las estaciones de cercanías de Villalba y La Navata, así como con Moncloa. COLEGIOS En la zona hay numerosos colegios e institutos, tanto públicos como concertados o privados y muchos de ellos tienen ruta con parada en la urbanización. ENTORNO A los pies de las sierra de Guadarrama, supone un lugar ideal para el contacto con la naturaleza y la práctica del deporte: senderismo, bicicleta, equitación, deportes de raqueta y de balón, esquí en invierno y deportes de montaña.  Una urbanización tranquila y familiar en un entorno privilegiado.",True,good,False,False,2513.0,True,False,True,False,[],False,False,495000.0,€,flat,"El Guijo - Colonia España - Colonia San Antonio, Galapagar",Ático,07560,True,True,penthouse,,,,
106283575,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/3f/8b/1279590886.webp,44,,840000.0,chalet,sale,394.0,,4,3,avenida Castilla,Madrid,Villaviciosa de Odón,Castillo - Campodón,es,,40.3548796,-3.8842578,False,https://www.idealista.com/inmueble/106283575/,"CONSULTING INMOBILIARIO VENDE EN EXCLUSIVA CHALET INDEPENDIENTE EN URBANIZACION EL CASTILLO, muy próximo al casco urbano de Villaviciosa de Odón, en un entorno privilegiado y de fácil acceso a la carretera M-506 y M-50. ¡ATENCION INVERSORES Y FAMILIAS EN BUSCA DE LA CASA DE SUS SUEÑOS! Les presentamos una magnífica propiedad con muchísimo potencial en una ubicación envidiable.  Esta vivienda cuenta con una planta habitable de 240 m2, con garaje del mismo tamaño, situada en una espectacular parcela de 1.338 m2. La planta principal ofrece un hall recibidor que da paso a un salón comedor dividido en dos ambientes. Este espacio es ideal para disfrutar en cualquier época del año, ya que dispone de un split de aire acondicionado y una chimenea tipo cassette. La planta principal cuenta además con un distribuidor independiente con armario empotrado. La cocina, amplia y luminosa, está equipada con una despensa, y tiene acceso directo a la terraza trasera, ideal para disfrutar de comidas al aire libre. En esta misma planta se encuentran cuatro dormitorios con armarios empotrados y dos baños completos, exteriores, así como un pequeño despacho, perfecto para trabajar desde casa. La planta semisótano, también de 240 m2, ofrece un sinfín de posibilidades: incluye una bodega, una habitación, baño con ducha y un gran espacio diáfano que puede ser utilizado como garaje para varios coches o espacio multiusos. La propiedad está construida sobre un sólida estructura, ofreciendo la posibilidad de ampliar con una planta adicional, ya que la casa está preparada para ello. La parcela, con una maravillosa piscina, pista de tenis y una amplia variedad de árboles frutales y plantas (higuera, nísperos, peral, granado, olivo, rosales, palmeras, entre otros), es el complemento perfecto para disfrutar del aire libre y en un entorno privado y tranquilo. Aunque la vivienda está totalmente para reformar, su sólida construcción y distribución ofrecen una base excepcional para crear un hogar a medida, teniendo múltiples posibilidades, como hacer una cocina abierta al salón. Cuenta con una carpintería exterior de madera, los suelos de plaqueta y parquet en los dormitorios, y detalles como los toldos, rejas y alarma. ¡ Una oportunidad irrepetible para reformar a tu gusto una vivienda con un potencial enorme! NO PIERDAS LA OCASION DE VISITARLA Y VISUALIZAR TODAS LAS POSIBILIDADES QUE OFRECE. ¡ Contacta con nosotros para más información o concertar una visita! INMEJORABLE UBICACION.",False,renew,False,,2132.0,True,False,True,True,[],False,False,840000.0,€,chalet,"Castillo - Campodón, Villaviciosa de Odón",Casa independiente en avenida Castilla,,True,True,independantHouse,,,,
108260603,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/c5/f4/1338792628.webp,29,1,450000.0,flat,sale,73.0,True,2,1,"calle de la Sonrisa, 4",Madrid,Alcobendas,Norte,es,,40.551999,-3.6585355,True,https://www.idealista.com/inmueble/108260603/,"IFRALA INMOBILIARIA, vente este fantástico piso con 2 hab. de Renta Libre, en urbanización cerrada con piscina, zona infantil y portero, en el barrio FUENTELUCHA, al lado de todos los servicios. Muy tranquilo, cómodo y listo para entrar. ¿Qué más necesitas? Ideal para empezar o si quieres para alquilar, tenemos un cliente que busca una vivienda de estas características para entrar mañana mismo 1200€/MES ¿que me dices? Llamame y me cuentas; )  Precio negociable Si buscas un piso en un barrio joven, que solo necesites pintar, este es tu piso. Tiene Salón independiente, al igual que la cocina, amueblada con muebles altos y bajos de gran capacidad, un baño con bañera, dormitorio sencillo y el dormitorio principal. Tiene calefacción central, y consumo individual, cuenta con 3 Aparatos de Bomba de Calor Frío/Calor, uno cada Dormitorio y otro en el salón. Luego, cuenta con trastero de 6m2, para que guardes todo lo que quieras y para el coche, 2 plazas de garaje incluidas en el precio. Cuenta con la instalación de punto de Carga para coche eléctrico. Urbanización con 103 vecinos. Comunidad 110€/mes IBI = 400€ aprox. Por 450.000 €, puede ser tuyo, no dejes escapar está oportunidad en el barrio; mi nombre es Juan, para cualquier consulta, no duden en ponerse en contacto conmigo, mi teléfono 669 39 32 seis cuatro, estaré encantado de poderte resolver cualquier duda al respecto, podemos quedar y verla online o simplemente puedes concertar una visita y verla en persona cuando quieras. No te demores, ya que en está zona no hay muchas viviendas de está situación. Gastos de compraventa no incluidos en el precio, (IVA, ITP, Notaria…), suelen ser entorno al 9/10% aproximadamente. IFRALA Inmobiliaria no cobra honorarios al comprador. Si quieres vender, con IFRALA tienes que contar, no escatimamos en esfuerzos y trabajo, los resultados hablan por si solos. Además contamos con: - Abogados, herencias, divorcios, todo lo que necesite. - Cerrajería propia para el cambio de llaves o cualquier cosa que necesites. - Mudanzas, - Manitas, para lo que necesites. - Certificado Energético, Obligatorio para alquilar o vender su vivienda, - Reportaje Fotográfico Profesional y Tour Virtual - Reformas, presupuesto sin compromiso. - Broker, para gestionarte el 100% de la hipoteca, - Técnicos (fontanero, Electricista, Calderas de Gas, Aire acondicionado, Electrodomésticos) 24 horas. - Toldos, presupuesto sin compromiso. - Home Staging Decoración.",False,good,False,True,6164.0,True,False,True,True,[],False,False,450000.0,€,flat,"Norte, Alcobendas","Piso en calle de la Sonrisa, 4",22001034,True,True,,,,,
108922391,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c0/0d/0d/1359024368.webp,47,,440000.0,chalet,sale,160.0,,4,3,Robledo de Chavela,Madrid,Robledo de Chavela,,es,,40.4937933,-4.2389589,False,https://www.idealista.com/inmueble/108922391/,"¡VENDE CON NOSOTROS DESDE SOLO EL 1,9 %! ¡CONSEGUIMOS HASTA EL 100% DE FINANCIACIÓN! � Exclusivo chalet con encanto en Robledo de Chavela ¿Buscas un hogar donde cada rincón esté pensado para disfrutar? Este espectacular chalet independiente con preciosas vistas y mucha luz te ofrece confort, intimidad y eficiencia energética en un entorno natural incomparable. Ubicado en una urbanización tranquila a solo unos minutos caminando del centro urbano. �✨ � 160 m² construidos sobre una parcela de 399 m² totalmente ajardinada con riego automático. � 4 dormitorios | 3 baños completos � Piscina privada climatizada con depuradora, placas solares, cierre automático con lona y total privacidad �♀️☀️ � Garaje amplio + cuarto de caldera � Año de construcción: 2005 � Calidad de construcción: Normal, bien conservada � Posibilidad de instalar paneles solares en el tejado (37 m²) con 3.708 horas de sol al año � ¡Ideal para maximizar el ahorro energético! ✨ Zonas destacadas: � Terraza acristalada convertida en un segundo comedor con vistas y una estancia luminosa y acogedora todo el año. � Bodega con sala multiusos (reuniones, juegos o cine en casa) con acceso directo a un porche frente a la piscina. � Jardín cuidado al detalle, ideal para relajarse o disfrutar en familia. Una vivienda perfecta para quienes buscan tranquilidad sin renunciar al confort y a pocos minutos del centro del pueblo.  � ¡No dejes pasar esta oportunidad única! Contáctanos y ven a descubrir tu nuevo hogar. � Robledo de Chavela te espera.   AVDA. VILLANUEVA DE LA CAÑADA 35, LOCAL 1 QUIJORNA 28693 TELÉFONO:  PARQUE EMPRESARIAL “LA FINCA” PASEO CLUB DEPORTIVO 1, EDIFICIO 4 POZUELO 28223 TELÉFONO: [IW].",False,good,False,,2750.0,False,False,False,False,[],False,False,440000.0,€,chalet,Robledo de Chavela,Casa independiente,VIVEXROB021,True,True,independantHouse,,,,
108610296,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/12/43/1349881127.webp,47,bj,1040000.0,flat,sale,226.0,True,2,2,Arroyo de la Vega,Madrid,La Moraleja,Arroyo de la Vega,es,,40.5375253,-3.6188595,False,https://www.idealista.com/inmueble/108610296/,"MO Inmobiliaria presenta este magnífico Piso Bajo con jardín situado dentro de una urbanización privada en Arroyo de la Vega, muy tranquila y segura, con vigilancia 24 h, zonas ajardinadas y una piscina comunitaria, perfecta para los meses de verano. Está muy bien comunicada con Madrid y el aeropuerto, y cerca de todos los servicios: centros comerciales, colegios, instalaciones deportivas y zonas verdes. Se trata de un bajo con jardín privado, ideal para quienes buscan confort, amplitud y espacios al aire libre en un entorno seguro y bien conectado. El piso fue construido en 2019 por Levitt, una promotora de reconocido prestigio, y desde entonces ha sido mantenido con gran cuidado. La distribución es muy funcional y los acabados, de alta calidad. El salón-comedor es amplio y acogedor, con chimenea y acceso directo a un espectacular jardín privado de 100 m², que prácticamente rodea la vivienda. Un espacio perfecto para disfrutar en familia o con amigos durante todo el año. La vivienda cuenta con dos dormitorios luminosos, uno de ellos el dormitorio principal con baño en suite con ducha. Dispone además de un segundo baño completo, ambos con acabados modernos y funcionales. La cocina está completamente equipada y diseñada para el día a día, con zona de office y acceso directo al jardín. Incluye electrodomésticos de alta gama: placa de inducción, horno extragrande (90 cm), frigorífico americano, lavavajillas, lavadora-secadora, microondas y vinoteca de doble temperatura. También cuenta con un tendedero cubierto muy práctico. Se incluyen dos plazas de garaje, una de ellas doble, y un trastero de 11 m², ideal para almacenamiento adicional. Una vivienda lista para entrar a vivir, en una ubicación inmejorable.",False,good,False,True,4602.0,True,False,True,False,[],False,False,1040000.0,€,flat,"Arroyo de la Vega, La Moraleja",Piso,ARW64.4,True,True,,1120000.0,80000.0,7.0,
108086126,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/10/33/f9/1333388317.webp,45,2,730000.0,flat,sale,102.0,False,3,2,calle de Cea Bermúdez,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4375891,-3.7131887,False,https://www.idealista.com/inmueble/108086126/,"ALFA CHAMBERI pone a su disposición esta maravillosa vivienda en el Barrio de Chamberí, en la calle Cea Bermúdez, una de las zonas más demandadas de la capital. Se ubica en una finca señorial recién actualizada y dispone de portero físico.  Se trata de una segunda planta con ascensor (recientemente actualizado) y acceso para personas con movilidad reducida.  Se distribuye de la siguiente forma: -Salón-comedor de buen tamaño, con terraza acristalada a un patio de manzana, lo que le aporta mucha luz natural y la tranquilidad de no dar a la calle. -Dos baños completos con ventana a este mismo patio de manzana.  -Cocina independiente con ventana -Tres dormitorios, dos de ellos con armario empotrado y todos con ventana a un patio interior.  -Cocina independiente totalmente equipada.  La vivienda cuenta con varios altillos para completar el almacenaje, así como un armario empotrado en el pasillo.  La ITE es favorable hasta 2031. La vivienda tiene excelentes comunicaciones tanto para el transporte privado con rápido acceso a la M-30 y A-6, como con el transporte público, con las paradas de Metro de Madrid Argüelles, Moncloa, Quevedo, San Bernardo, Islas Filipinas y Canal, y con varias líneas del servicio de autobuses EMT. El barrio cuenta con todos los servicios necesarios: farmacias, colegios, supermercados, Hospital Clínico y Fundación Jiménez Díaz, parques, gimnasios, muy cercano a la Universidad de ICADE, Mercado de Vallehermoso y muy cercano al centro de la ciudad pero en un entorno tranquilo. No dude en llamar para pedir más información y fijar una cita para visitarlo. Aviso legal: La información mostrada en este anuncio es meramente informativa, no vinculante jurídicamente pudiendo contener algún error.",False,renew,False,True,7157.0,True,False,True,False,[],False,False,730000.0,€,flat,"Vallehermoso, Madrid",Piso en calle de Cea Bermúdez,1428-1301,,,,760000.0,30000.0,4.0,
108926225,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/01/eb/1359155782.webp,23,3,3359000.0,flat,sale,293.0,True,5,5,calle de Diego de León,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.433254,-3.6788922,False,https://www.idealista.com/inmueble/108926225/,"DIRECTING Inmobiliaria presenta esta magnífica vivienda situada en uno de los enclaves más codiciados del distrito de Salamanca: La Castellana, una zona que concentra el perfil más institucional y exclusivo de la ciudad. Ubicada a escasos metros de la afamada Milla de Oro de Ortega y Gasset, esta propiedad se encuentra rodeada de las principales firmas de alta costura, joyerías de referencia internacional y una completa oferta cultural y diplomática. En sus inmediaciones se encuentran lugares emblemáticos como la Embajada de Estados Unidos, el Museo Lázaro Galdiano, con obras de Goya y El Greco, y el campus de IE Business School, situado a lo largo de la calle María de Molina. La vivienda ofrece una comodidad y conexión inmejorables, con acceso inmediato a las estaciones de metro Núñez de Balboa, Rubén Darío y Gregorio Marañón, además de una amplia red de autobuses y accesos directos a la M30 a través de María de Molina. Actualmente en proceso de reforma integral, esta propiedad se sitúa en una tercera planta exterior y cuenta con cinco dormitorios dobles, cinco baños completos y un aseo de cortesía. La cocina es abierta y está totalmente equipada. La vivienda dispone de calefacción central, aire acondicionado, sistema de domótica, cuarto de lavado, trastero, ascensor, servicio de portería y una terraza privada. Ubicada en un entorno residencial consolidado que combina lujo, historia y modernidad, esta vivienda es ideal para familias, diplomáticos o inversores que buscan una residencia de alto nivel con todas las comodidades. Para más información o para agendar una visita privada, no dudes en contactarnos. DIRECTING International Properties ofrece a sus clientes nacionales y extranjeros, una amplia cartera de inmuebles (casas, pisos apartamentos, áticos, dúplex, chalets, lofts.. . ) situadas en las mejores zonas residenciales y más exclusivas de Madrid (barrio Salamanca, Retiro, Chamartín, Chamberí, Moncloa, Centro, Arturo Soria etc…)  Si desea comprar, vender o alquilar una propiedad en Madrid, Inmobiliaria DIRECTING Real Estate ofrece una amplia gama de servicios de intermediación y alta profesionalidad. ¿Quiere VENDER su casa? Valoración GRATUITA Viviendas Exclusivas en Madrid Encuentra más en http. //directing. es.",False,good,False,True,11464.0,True,False,False,False,[],False,False,3359000.0,€,flat,"Castellana, Madrid",Piso en calle de Diego de León,BF-34,,,,,,,
107656278,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2a/e9/4b/1318899666.webp,40,10,798500.0,flat,sale,150.0,True,3,2,Barrio La Paz,Madrid,Madrid,Fuencarral,es,La Paz,40.4857497,-3.7019766,False,https://www.idealista.com/inmueble/107656278/,"Inmobiliaria Eduardo Molet pone en exclusiva la venta de un precioso piso en un edificio de lujo, situado en una 10ª PLANTA, con TERRAZA y PLAZA DE GARAJE incluida. Características del Inmueble Superficie total según escrituras: 150 m² Vivienda: 124 m² Zonas comunes: 26 m² Distribución: Bonito hall de entrada. Amplio salón-comedor con acceso a terraza y vistas despejadas. Cocina espaciosa con isla central y tendedero independiente. 3 dormitorios (principal con baño en suite). 2 baños completos. Estado: Reformado hace menos de 5 años con materiales de primera calidad. Suelo de mármol y paredes lisas. Aire acondicionado y calefacción central con individualizadores. Armarios empotrados. Puerta principal y de servicio. Toldos motorizados. Características del Edificio Año de construcción: 1978 Servicios: Conserje. Dos ascensores. Jardines y zona de juegos infantiles. Cuarto comunitario de bicicletas. Gastos mensuales de comunidad: 170 € IBI anual: 780 €, ITE pasada favorable año 2019. La zona de Herrera Oria, en Madrid, está situada en el distrito de Fuencarral-El Pardo, al norte de la ciudad. Esta área toma su nombre de la avenida del Cardenal Herrera Oria, una arteria principal que atraviesa el barrio y conecta varias zonas residenciales y comerciales. Características de la Zona Herrera Oria Conexiones y Transporte: Muy bien conectada con el resto de Madrid gracias a la M-30, M-40 y la Avenida de la Ilustración. Estaciones de metro cercanas, como Herrera Oria (Línea 9). Diversas líneas de autobuses urbanos. Tipo de Vivienda: Predominan las urbanizaciones residenciales con pisos y chalets. Amplias áreas verdes y espacios abiertos, ideales para familias. Servicios y Ocio: Centros comerciales cercanos, como La Vaguada. Supermercados, colegios, hospitales (como el Ramón y Cajal), y centros deportivos. Oferta gastronómica variada, con restaurantes locales y cadenas conocidas. Áreas Verdes: Cercanía al Parque de la Alcazaba y al Parque de Valverde. Buen acceso a zonas naturales más amplias, como Monte de El Pardo. Público y Ambiente: Zona tranquila, mayoritariamente residencial. Muy valorada por familias y personas que buscan un ambiente alejado del bullicio del centro de Madrid, pero con buena conexión. En el precio de la vivienda no están incluidos los siguientes gastos:   Impuesto de transmisiones patrimoniales ( 6%)  Notaria ( entre 0,2 y 0,5%)  Registro de la propiedad ( entre 0,1% y 0,3%) Estos costes se pagan aparte y deben tener en cuenta al calcular el gasto total de la compra.",True,good,False,True,5323.0,True,False,False,False,[],False,False,798500.0,€,flat,"La Paz, Madrid",Piso,IEM-SGJ.VIRGI,True,True,,,,,
108603337,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/3a/f0/1349714313.webp,62,bj,395000.0,flat,sale,173.0,True,2,2,CL MAGALLANES,Madrid,Móstoles,Norte - Universidad,es,,40.3299625,-3.8751002,False,https://www.idealista.com/inmueble/108603337/,"Descubra una preciosa vivienda en una de las mejores zonas de Móstoles, ubicado en un entorno privilegiado, magnifico piso que combina tranquilidad, comodidad y calidad de vida.  Consta de 173 metros cuadrados construidos según catastro, de los cuales la vivienda serían 86 m2, más una zona de terraza descubierta anejada e inseparable de la vivienda de casi 40 m2, en pleno uso y dominio. Además de plaza de garaje y trastero, zonas comunes, piscina comunitaria y jardines.  Precioso hall con armario empotrado, que nos lleva a derecha e izquierda a las dos zonas de la vivienda, guardando así mayor intimidad entre la zona de ocio y de descanso.  A la derecha entramos en un amplio salón comedor, luminoso y con opciones a diferentes distribuciones, con aire acondicionado y salida directa a una práctica terraza de aprox. 5.5 m2, cerrada con cortinas de cristal, muy bien orientada, perfecta para uso polivalente durante todo el año, como zona de ocio, despacho. A su vez el salón comunica directamente con la zona de cocina con modernos muebles de alta presión blancos y encimera de cuarzo, totalmente equipada de electrodomésticos, y tendedero de 2.5 m2 que hacen que la zona de lavado y secado este independiente, con la caldera de menos de 4 años en perfecto estado.  De manera independiente desde la entrada a la izquierda, tenemos además los dos dormitorios, ambos amplios y con mucha luz con salida directa a una gran terraza de más de 39 metros cuadrados que hacen de esta vivienda un lugar perfecto para el disfrute y el descanso, con mucho encanto en medio de Móstoles.  El dormitorio principal en modelo suit, tiene muy buenas dimensiones, mucha luz, salida a la gran terraza, con armario empotrado vestido su interior con cajonera, y aire acondicionado. Entrada a su cuarto de baño moderno con sanitarios empotrados, con ducha y mampara de baño, y preciosos acabados.  El segundo dormitorio, actualmente con uso infantil pero ideal para dormitorio, despacho, etc. Buenas dimensiones con armario empotrado y aire acondicionado, salida independiente a la preciosa terraza.  Y segundo cuarto de baño amplio, muy moderno, con saneamientos empotrados, bonito y practico mueble de baño y espejo, amplia ducha.  Ambos cuartos de baño con cisterna empotrada, toallero eléctrico y ducha blanca de carga mineral. Modernos y prácticos.  Se añade a los metros útioles de la vivienda la preciosa y amplia terraza descubierta de más de 39 m2, con el uso privativo y exclusivo, inseparable de la vivienda en sí. Perfecta para uso de juegos, ocio y disfrute al aire libre en plena ciudad de Móstoles.  Las calidades de la vivienda son inmejorables, suelos de madera en toda la casa, menos en cocinas y baños que son porcelánicos. Pintura lisa en toda la casa en buen estado. Carpintería de madera en puertas empotradas en cassoneto en baños y cocinas que favorecen el uso de las estancias y puertas abatibles en dormitorios y salón, puertas de armarios correderas, todos los armarios vestidos. La carpintería de aluminio todo en color blanco, con corte térmico y doble acristalamiento, ventanas oscilobatientes, mosquiteras en todas las ventanas y puertas con salida al exterior. Aire acondicionado en salón y dormitorios.  Además, incluido en el precio y de pleno dominio consta la vivienda de plaza de garaje de más de 20 m2, grande y bien ubicada, garaje amplio, cómodo con espacio para maniobrar. Al igual trastero de más de 5 m2, con gran almacenamiento gracias a su gran altura. Comunicación directa tanto en garaje y trastero por ascensor en planta baja.  También contamos con una piscina privada, con uso 24h, con vestuarios, baños y duchas independientes, con fácil acceso a ella desde la vivienda.  La ubicación es inmejorable, a la vez de ser una zona ajardinada muy tranquila, tenemos muy cerca colegios, institutos, centros de salud, zonas comerciales, autobuses y buenas comunicaciones tanto en tren como en metro. Cer.",False,good,False,True,2283.0,True,False,True,False,[],False,False,395000.0,€,flat,"Norte - Universidad, Móstoles",Piso en Cl Magallanes,BT45,True,True,,430000.0,35000.0,8.0,
