propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,newDevelopmentFinished
108266272,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/d1/49/1338988102.webp,BK-02225,28,bj,379000.0,duplex,sale,62.0,True,2,2,calle de Cadalso de los Vidrios,Madrid,Madrid,Fuencarral,es,Peñagrande,40.4798364,-3.7247595,False,https://www.idealista.com/inmueble/108266272/,"¡Descubre este espectacular dúplex en venta que combina modernidad y confort en una ubicación inmejorable, SIN GASTOS DE COMUNIDAD! Con una superficie de 61 m², este luminoso hogar se distribuye en dos plantas, ofreciendo un acogedor salón en la planta principal, ideal para disfrutar de momentos en familia. La cocina moderna y funcional está diseñada para facilitar tu día a día, mientras que el práctico aseo en esta planta añade comodidad. En la planta superior, encontrarás dos amplios dormitorios, perfectos para descansar y recargar energías. Además, cuenta con un baño completo equipado con ducha, ideal para el bienestar de todos los miembros de la familia.  Este dúplex también cuenta con un altillo que ofrece un valioso espacio de almacenamiento o como despacho. Este dúplex está en perfecto estado y listo para entrar a vivir, lo que significa que no tendrás que preocuparte por reformas. El sistema de climatización de aerotermia garantiza un ambiente agradable durante todo el año, mientras que la carpintería exterior de aluminio climalit oscilobatientes proporciona un excelente aislamiento. La carpintería interior lacada en blanco aporta un toque moderno y luminoso a cada rincón de la vivienda. Ubicado estratégicamente, tendrás acceso rápido a las principales vías como la M-30, M-40 y M-607, facilitando tus desplazamientos. Además, la cercanía al transporte público (línea 7 del metro y varias líneas de autobús) hace que moverte por la ciudad sea un placer. Este entorno ideal combina funcionalidad y confort, convirtiéndolo en el lugar perfecto para tu nuevo hogar.  ¡No dejes pasar esta oportunidad única!",False,good,False,False,6113.0,True,False,True,False,[],False,False,379000.0,€,395000.0,16000.0,4.0,flat,duplex,"Peñagrande, Madrid",Dúplex en calle de Cadalso de los Vidrios,,,
108167872,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f9/4f/6b/1335883913.webp,VIVEXFUENLA001,38,5,250000.0,flat,sale,68.0,True,3,1,La Avanzada - La Cueva,Madrid,Fuenlabrada,La Avanzada - La Cueva,es,,40.2932704,-3.7935955,False,https://www.idealista.com/inmueble/108167872/,"¡CONSEGUIMOS HASTA EL 100 % DE FINANCIACIÓN! ¡Locativo vende esta acogedora vivienda en Fuenlabrada! Situada en un bloque de viviendas en la quinta planta, con ascensor para tu comodidad, esta propiedad ofrece aproximadamente 68 m² de espacio bien aprovechado. Está a tan solo dos minutos de la estación de tren de Fuenlabrada, lo que facilita mucho tus desplazamientos y te conecta fácilmente con la ciudad y alrededores. La vivienda cuenta con 3 habitaciones luminosas y armarios empotrados en la habitación principal y la segunda, brindando amplio almacenamiento. El salón independiente y la cocina también son espacios ideales para disfrutar en familia o con amigos. Dispone de un cuarto de baño completo y aire acondicionado en el salón, perfecto para mantenerte cómodo durante todo el año. El suelo de gres, paredes con gotelé y contraventanas de aluminio en las habitaciones aportan funcionalidad y confort. Además, cuenta con un tendedero cubierto con terraza, ideal para tareas de lavandería o para disfrutar del aire libre. La calefacción y el agua caliente son centrales, garantizando confort en los meses más fríos. También cuenta con acceso para personas con discapacidad desde el portal, haciendo de esta vivienda un espacio accesible para todos. ¡No dudes en contactarnos para más información o para concertar una visita a esta fantástica vivienda en Fuenlabrada, con una ubicación privilegiada cerca de la estación de tren! CONSULTE NUESTRA PAGINA WEB TENEMOS MAS VIVIENDAS QUE NO ESTAN EN LOS PORTALES. SÍGANOS EN NUESTRAS REDES SOCIALES PARA NO PERDERSE NADA: Instagram: @Locativoinmobiliariamadrid TikTok: @Locativoinmobiliaria AVDA. VILLANUEVA DE LA CAÑADA 35, LOCAL 1 QUIJORNA 28693 TELEFONO:  PARQUE EMPRESARIAL “LA FINCA” PASEO CLUB DEPORTIVO 1, EDIFICIO 4 POZUELO 28223 TELEFONO: [IW].",True,good,False,True,3676.0,False,False,True,False,[],False,False,250000.0,€,,,,flat,,"La Avanzada - La Cueva, Fuenlabrada",Piso,,,
101327901,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/68/a6/a0/1118387858.webp,,47,,655000.0,countryHouse,sale,324.0,,6,4,carretas,Madrid,Guadalix de la Sierra,,es,,40.783909,-3.6934488,False,https://www.idealista.com/inmueble/101327901/,"Autentica casa palacete de pueblo, incluida en el catalogo de patrimonio de la Comunidad de Madrid (ubicada en pleno centro de Guadalix, entre el ayuntamiento y la iglesia parroquial). Se trata de una solida edificación de piedra en mamposteria-silleria, construida en el año 1.900 con los mejores métodos y materiales de la época. Actualmente cuenta con diferentes reformas y actualizaciones que se han ido incorporando a lo largo de su historia, realizadas todas con el máximo respeto a su esencia arquitectónica. La vivienda se encuentra en perfecto estado de mantenimiento, lista para habitarse y disfrutarse desde el primer día. La distribución de sus espacios se reparte en dos plantas principales mas una buhardilla, albergando en la baja uno de los dos salones, un dormitorio, un baño, despacho, cuarto de lavado, recibidor, cocina, despensa, y trastero. La planta baja también incluye un patio con espacio de aparcamiento y con cuarto de caldera. En su planta superior hay tres dormitorios, dos baños, distribuidor, y salón principal. Todos los espacios destacan por amplitud y luminosidad, así como por su ambiente genuino.",False,good,False,,2022.0,True,False,True,False,[],False,False,655000.0,€,,,,countryHouse,casaDePueblo,Guadalix de la Sierra,Casa de pueblo en carretas,True,True,
108223631,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/4d/92/1337764596.webp,,40,4,519000.0,flat,sale,117.0,True,3,2,calle de Villasilos,Madrid,Madrid,Ciudad Lineal,es,Pueblo Nuevo,40.4211622,-3.6295833,False,https://www.idealista.com/inmueble/108223631/,"**VIVIENDA DE 3 DORMITORIOS REFORMADA - PLAZA ALSACIA- CARREFOUR ""LAS ROSAS""  Descubre este espectacular piso reformado y con magnificas vistas, ideal para disfrutar de la vida urbana sin renunciar a la comodidad. Con 117 m² construidos, esta vivienda cuenta con 3 dormitorios lo que ofrece un amplio espacio para adaptarlo a tus necesidades. El salón independiente de 24 m², con mirador, es perfecto para disfrutar de la luz natural.  La cocina, muy amplia y de diseño moderno, está equipada con una ventana oscilobatiente al exterior, permitiendo la entrada de aire fresco. Además, la terraza-tendedero acristalada añade un toque especial y funcional a este hogar. Los dos baños completos, ambos reformados y con ducha, garantizan comodidad y estilo. La suite principal incluye un fantástico mirador con vistas a Madrid y un baño privado con ventana, asegurando privacidad y confort. Este piso destaca por su excelente aislamiento térmico gracias a las ventanas de rotura de puente térmico y doble ventana climalit en los dormitorios equipados con toldos. La calefacción individual de gas natural con termostato movible ideal para captar cualquier ambiente del hogar. El aire acondicionado por conductos aseguran un ambiente agradable durante todo el año con una formidable instalación del compresor situado en la azotea del edificio. Además, cuenta con cinco armarios empotrados con puertas correderas vestidos con carpintería en roble blanco, y pintura lisa en toda la vivienda. Ubicado en una zona inmejorable, cerca de la calle Hermanos Gracia Noblejas, plaza de alsacia, metro linea 2 de metro. rodeado de parques este hogar es perfecto para familias o personas que buscan calidad de vida.  No pierdas la oportunidad de vivir en este magnífico piso que combina modernidad, confort y una ubicación privilegiada. ¡Ven a verlo y enamórate de tu nuevo hogar!",False,good,False,True,4436.0,True,False,True,False,[],False,False,519000.0,€,,,,flat,,"Pueblo Nuevo, Madrid",Piso en calle de Villasilos,True,True,
108694173,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/49/8a/1352358102.webp,1926,22,1,190000.0,flat,sale,77.0,True,1,1,calle de la Casa Veleta,Madrid,Galapagar,Casco Antiguo,es,,40.5780601,-4.0038202,False,https://www.idealista.com/inmueble/108694173/,"¡OJO SOLO INVERSORES! Este amplio apartamento de 1 dormitorio te ofrece la comodidad y el espacio que necesitas para sentirte como en casa. Con una superficie de 77 m2, cuenta con un amplio salón de 22m2 y una cocina amueblada con todos los electrodomésticos necesarios. El dormitorio es espacioso, con un vestidor integrado para mayor comodidad. El baño cuenta con plato de ducha y muebles vistos en las fotos incluidos en el alquiler.  Además, este inmueble cuenta con aire acondicionado para que puedas disfrutar de la temperatura ideal en cualquier momento.  Actualmente esta alquilado, paga 800€ con un seguro de impago, faltan para terminar contrato 4 años. No pierdas la oportunidad de vivir en este acogedor apartamento en una zona tranquila y bien comunicada. ¡Ven a visitarlo ya!",False,good,False,True,2468.0,True,False,True,False,[],False,False,190000.0,€,,,,flat,,"Casco Antiguo, Galapagar",Piso en calle de la Casa Veleta,,,
108748527,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4e/01/b0/1353966301.webp,almansanova,49,12,490000.0,flat,sale,65.0,True,1,1,calle de Almansa,Madrid,Madrid,Moncloa,es,Ciudad Universitaria,40.4506736,-3.7111032,False,https://www.idealista.com/inmueble/108748527/,"NOVA TE ASESORA AGENCIA INMOBILIARIA GESTIONA LA VENTA de este espléndido apartamento en urbanización completamente equipada (piscina, pista de tenis y baloncesto, parque infantil), con trastero u plaza de garaje incluida en el precio. Se trata de una vivienda de de 65 m2 construidos distribuidos en un luminoso salón con acceso a una terraza de 10 m2 aproximadamente cerrada y unas espléndidas vistas, cocina amueblada y equipada con electrodomésticos, 1 dormitorio con armario y altillo empotrado, además de un baño completo. Dispone de calefacción y agua caliente central incluidos en el precio. Incluye aire acondicionado. El suelo es muy bonito, de un parqué de un color muy agradable. Las ventanas de aluminio y puerta de seguridad. La finca está muy cuidada y tiene aspecto señorial, tiene ascensor y montacargas. Dentro del precio se incluye una plaza de garaje y trastero de 8 m2. La urbanización en donde se encuentra ubicada no podía estar mejor equipada ya que cuenta con piscina, pista de tenis y baloncesto, parque infantil. ⚠️ Importante: al precio final de venta se le sumará los gastos de notario, registro y el Impuesto Transmisiones Patrimoniales (ITP) que es el 6 % en la Comunidad de Madrid. Si está interesado/a no dude en ponerse en contacto con nosotros, estaremos encantados de informarle.",False,good,False,True,7538.0,True,False,True,False,[],False,False,490000.0,€,,,,flat,,"Ciudad Universitaria, Madrid",Piso en calle de Almansa,True,True,
106510969,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/66/c8/1287128867.webp,8900337,66,,429000.0,chalet,sale,226.0,,5,3,Félix Rodríguez de la Fuente,Madrid,Camarma de Esteruelas,,es,,40.5555482,-3.3806088,False,https://www.idealista.com/inmueble/106510969/,"Oportunidad de adquirir un espectacular y gran chalet que forma dos hermosas viviendas independientes entre si en zona residencial de Camarma de Esteruelas. De 226m2 construidos en parcela de 344m2. En este municipio existen todo tipo de servicios (colegios, comercios, restaurantes, etc). Comunicación directa con la M119 y transporte público a pasos de la vivienda. Distribuido en dos plantas: En planta baja: encontramos una vivienda que dispone de salón comedor, cocina con armarios para almacenaje, dos amplios dormitorios y un cuarto de baño.  En planta baja también se encuentra un precioso jardín, plaza de garaje para dos coches, habitación habilitada para hacer deportes actualmente, zona de barbacoa, trastero y una espectacular piscina para disfrutar del verano. En primera planta: da acceso a la vivienda principal del chalet con un precioso y acogedor salón comedor con chimenea; cocina estilo moderno con muchos muebles para almacenamiento; tres amplio dormitorios y dos baños de estilo moderno decorados con mucho gusto. Esta Diseñador y construido con mucho gusto, podemos destacar los suelos de tarima y gres, calefacción de gas natural y aire acondicionado en comedor. En los precios de venta no están incluidos impuestos legales ni gastos de escrituración. NO COBRAMOS NUESTROS HONORARIOS AL COMPRADOR. No pierdas la oportunidad de vivir en una excelente zona. Visítelo sin compromiso con su asesor comercial Francisco. Podemos conseguir hasta el 100% de financiación con nuestros Asesores Financieros.",False,good,False,,1898.0,True,False,True,False,[],False,False,429000.0,€,,,,chalet,independantHouse,Camarma de Esteruelas,Casa independiente en Félix Rodríguez de la Fuente,True,True,
108471703,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/c8/64/1345916609.webp,GPG-19184,19,6,1100000.0,penthouse,sale,105.0,True,3,1,calle de Lombía,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4257239,-3.6707098,False,https://www.idealista.com/inmueble/108471703/,"GPG-19184 � ¡Ático en Venta para Reformar en el Barrio de Salamanca! �️ Distribución: 3 dormitorios 1 baño Gran salón Terraza de 12 metros con muchísima luz natural �️ Ideal para reformar a tu gusto y convertirlo en un hogar exclusivo en una de las zonas más codiciadas de Madrid. � Ubicación privilegiada: En pleno Barrio de Salamanca, una de las zonas más elegantes y demandadas de la ciudad A un paso de El Corte Inglés y el Movistar Arena (Wizink Center) Rodeado de una amplia oferta de comercio, restauración y ocio � Muy bien comunicado: Líneas de metro cercanas Varias líneas de autobuses Accesos rápidos a principales arterias de la ciudad � Oportunidad ideal para quienes buscan personalizar su vivienda en una ubicación inmejorable o para invertir con alta rentabilidad. � Contáctanos y agenda tu visita! Sobre nosotros: GEPPCO es una Inmobiliaria que ofrece, tanto al propietario como al comprador, todos los servicios necesarios para que pueda convertir su sueño en una realidad y, para ello, en todo el proceso, contarás con asesoramiento y gestión de alto nivel con una amplia experiencia de más de 25 años y todo un equipo multidisciplinar en el sector: financiero, inmobiliario y jurídico.",False,renew,False,True,10476.0,True,False,True,False,[],False,False,1100000.0,€,,,,flat,penthouse,"Goya, Madrid",Ático en calle de Lombía,,,
88885261,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7a/77/2e/1348869587.webp,MG164,57,,1490000.0,chalet,sale,687.0,,5,5,calle Gargantilla,Madrid,Hoyo de Manzanares,,es,,40.6285626,-3.9133113,False,https://www.idealista.com/inmueble/88885261/,"Magnífico chalet en Hoyo de Manzanares, ubicado en un privilegiado emplazamiento natural que linda con el Parque Regional de la Cuenca Alta del Manzanares. Vivienda distribuida en tres plantas, con una superficie de 687 m² construidos en parcela de 3.140 m². Construcción tradicional de estilo rústico, revestida con mampostería de granito y cubierta en teja curva a varias aguas. Cerramiento de la parcela con valla de mampostería de granito y cerramiento metálico. Jardín consolidado con pradera de césped, riego automático. Piscina y pista de Pádel. Espectaculares vistas a las formaciones montañosas “El Picazo” y “La Tortuga”. Dispone de 5 dormitorios todos en suite con baño, y 2 aseos. La distribución de la planta principal, con una superficie construida de 310 m², gira alrededor de un amplio hall abierto que divide en dos alas la vivienda. Distribución planta principal: Hall, aseo de cortesía, salón comedor con chimenea con una superficie de 72 m² con salida a terraza, cocina de 24 m², cuarto de plancha, y ala a zona de dormitorios con un amplio pasillo con cuatro armarios empotrados. Tres dormitorios secundarios en suite con baño y armarios empotrados; y dormitorio principal de 30 m², con zona de descanso, vestidor y baño. En la primera planta, con una superficie de 67 m², dispone de distribuidor, salón biblioteca con salida a una terraza corrida de 46 m², y dormitorio de servicio con baño. En la misma planta hay una zona en bruto, de otros 60 m², que dispone de acometidas de luz y bajantes para poder adapta como salón polivalente o más dormitorios. La planta semisótano, con una superficie de 310 m², tiene acceso por la zona de la cocina. Consta de salón con chimenea, bodega, amplio trastero, aseo, cuarto de caldera y garaje para 6 coches. Carpintería exterior en Aluminio con climalit, carpintería interior en madera. Suelos de barro cocido y tarima en dormitorios. Calefacción por aerotermia con apoyo de caldera de gasoil, y placas solares con capacidad de 6,4 KW. Próxima al casco urbano y a todos los servicios de Hoyo de Manzanares.",False,good,False,,2169.0,True,False,True,False,[],False,False,1490000.0,€,,,,chalet,independantHouse,Hoyo de Manzanares,Casa independiente en calle Gargantilla,True,True,
108834913,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7f/3a/62/1356514389.webp,VENTA CONDE DUQUE ,50,4,1280000.0,duplex,sale,160.0,True,4,2,calle del Conde Duque,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4277089,-3.7090249,False,https://www.idealista.com/inmueble/108834913/,"El triplex con terraza en Conde Duque, es una casa especial, con alma, que se sitúa en uno de los barrios con más encanto de Madrid, el barrio de Conde Duque, a 3 minutos a pie de Malasaña, Chamberí o Plaza de España. La casa se distribuye en tres plantas. En la primera planta, descubrimos un amplio comedor, un pequeño salón de inspiración retro y dos habitaciones abuhardilladas, de las cuales una tiene una preciosa chimenea decorativa. Ambas habitaciones tienen las dimensiones perfectas para cama de matrimonio de 1,40/1,50m.  A la izquierda de la biblioteca, descubrimos una cocina completa y al fondo, un pequeño aseo de color beige con ducha y ventana. Subiendo las escaleras, nos encontraremos con un segundo salón, muy luminoso, espacioso y acogedor, perfect0 para disfrutar de momentos de relax en familia o con amigos. A continuación una amplia habitación que destaca también por su ambiente acogedor y sus espectaculares vistas.  El baño (azul) de esta planta es de tamaño superior y tiene bañera. En esta planta, encontraremos también una pequeña habitación individual para invitados.  En el piso último piso, llega el momento wow de la casa, una terraza con vistas a los tejados del centro de la ciudad y al hotel Riu, perfecto para disfrutar de un espectacular atardecer y momentos inolvidables. El barrio destaca por la preciosa plaza de las Comendadoras con sus restaurantes con terraza o la plaza de los Guardias de Corps, el Centro Cultural Conde Duque, los supermercados a 2 minutos para hacer la vida fácil, las fruterías con productos de calidad o la que nosotros consideramos la mejor quesería y panadería de la Capital.  Su tranquilidad y sosiego contrastan con el bullicio de Malasaña que se encuentra justo a continuación, y la actividad de la Gran Vía, la Plaza de España y la calle Princesa, que marcan sus límites. Esta propiedad única, con encanto y espectaculares vistas, te esta esperando.. . Ideal para inversores que quieran adquirir un inmueble en una ubicación privilegiada y con alta demanda de clientes extranjeros. CARACTERÍSTICAS 160m²  Terraza con vistas espectaculares 3 habitaciones dobles 1 habitación de individual  2 baños ( uno con ducha y otro con bañera) Calefacción por gas natural  Aire acondicionado METROS MÁS CERCANOS San Bernardo Bilbao Noviciado Alberto Aguilera Ventura Rodríguez.",True,good,False,True,8000.0,True,False,True,False,[],False,False,1280000.0,€,,,,flat,duplex,"Malasaña-Universidad, Madrid",Dúplex en calle del Conde Duque,,,
