propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,district,neighborhood,hasLift,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
106639706,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/b4/95/1289742090.webp,1477187,28,600000.0,chalet,sale,448.0,6,4,camino Urbanización Valgrande,Madrid,Chinchón,es,40.2036571,-3.4813307,False,https://www.idealista.com/inmueble/106639706/,"GESTIONPISO vende en EXCLUSIVA magnifica villa en una de las mejores Urbanizaciones de la zona, dicha finca tiene dos edificaciones independientes. La finca esta en un zona excepcional con unas vistas espectaculares dotada de todos los servicios necesarios para vivir en plena naturaleza y a 30minutos de Madrid. Una de las casas esta distribuida de garaje en planta baja, y apartamento en primera. La otra vivienda es mas grande y su distribución es un tanto peculiar ya que según se entra hacia el lado izquierdo hay una zona mas baja con una salita abierta, hacia el lado derecho esta la sala tenemos otro apartamento que en un principio era el garaje y también el cuarto de calderas, subimos una escalera entramos a zona de cocina, baño, salón y comedor con chimenea. Subiendo las escaleras pasamos a la zona de los dormitorios y una gran sala de despacho o reuniones. En el exterior de la finca tenemos pozo propio por si se quisiera hacer riego por goteo, llenado de una futura piscina o riego de los arboles y huertas que tiene en la zona baja de finca.   Si te gusta la casa negociamos el precio. Si desean mas información no duden en ponerse en contacto con nosotros.     S. E. U. O.",False,good,False,1339.0,True,False,True,False,[],False,False,600000.0,€,True,True,chalet,independantHouse,Chinchón,Casa independiente en camino Urbanización Valgrande,,,,,,,,,
108925800,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/14/bf/f8/974787982.webp,,74,1700000.0,flat,sale,170.0,3,2,"calle de Zurbano, 5",Madrid,Madrid,es,40.4276825,-3.6939817,True,https://www.idealista.com/inmueble/108925800/,"PYR SOLUTIONS pone en alquiler este increíble y reformado piso de Tres habitaciones, dos baños amplios, cocina nueva y con todos los electrodomésticos necesarios para entrar a vivir. Piso exterior, consta de una excelente distribución, salón, y una cocina totalmente equipada con frigorífico, microondas. Las habitaciones cuentan con espacio para colocar una cama doble, y cuenta con armarios de gran capacidad. El pasillo tiene iluminación mediante luces led. Está en una zona inmejorable, tiene una conexión muy buena para todos lados de Madrid. La zona está llena de bares, tiendas, comercios, gimnasios y supermercados donde encuentras de todo. Estaciones de Metro cercanas: Alonso Martinéz Si tienes alguna pregunta no dudes en llamarnos o escribirnos. En PYR Solutions estamos encantados de poderte atenderte: Para mayor información:  "". "". "". "".",False,good,False,10000.0,False,False,False,False,[],False,False,1700000.0,€,,,flat,,"Almagro, Madrid","Piso en calle de Zurbano, 5",6,True,Chamberí,Almagro,True,,,,
108923341,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bd/2c/63/1359067591.webp,del,23,730000.0,flat,sale,119.0,3,2,paseo de las Delicias,Madrid,Madrid,es,40.3986917,-3.6928186,False,https://www.idealista.com/inmueble/108923341/,"**Piso en Venta en el Corazón de la Ciudad - Oportunidad Única** Descubre este amplísimo piso exterior ubicado en una de las zonas más emblemáticas de la ciudad.  Este inmueble destaca por su excelente conservación y un portal bonito con portero físico que te brindará seguridad y comodidad. Con 119 m² construidos, la vivienda cuenta con tres dormitorios, uno de ellos en suite, y dos cuartos de baño completos, perfectos para disfrutar de la privacidad y el confort que mereces. La restauración completa ha sido realizada con acabados y materiales de primera calidad, mejorando también la calificación energética del inmueble.  La distribución actualizada se adapta a las nuevas formas de vivir, con suelos de tarima en madera que aportan calidez y rodapiés de gran porte que añaden un toque de elegancia.  Las puertas de paso y los frentes de armarios están a juego, creando una armonía visual en cada rincón. Los armarios empotrados están vestidos de arriba abajo con cajoneras, ofreciendo un amplio espacio de almacenamiento.  La carpintería exterior de aluminio lacada en blanco y el doble acristalamiento con climalit aseguran un excelente aislamiento térmico y acústico. Además, las ventanas oscilobatientes y motorizadas facilitan la ventilación y el acceso a la luz natural. La calefacción por radiadores de calefacción central y el aire acondicionado instalado en toda la casa garantizan un ambiente agradable durante todo el año. La cocina está equipada con muebles altos y bajos, además de electrodomésticos de primeras marcas. Este piso también cuenta con una terraza y un balcón donde podrás disfrutar del aire libre. Situado en una segunda planta con ascensor y con acceso adaptado para personas con movilidad reducida, es una opción ideal para todos.  No pierdas la oportunidad de vivir en un hogar que combina estilo, confort y funcionalidad. ¡Ven a visitarlo y enamórate! Estamos ultimando las fotografías finales del inmueble, siendo las mostradas de otros proyectos similares.",False,good,False,6134.0,True,False,False,False,[],False,False,730000.0,€,,,flat,,"Delicias, Madrid",Piso en paseo de las Delicias,2,True,Arganzuela,Delicias,True,,,,
97216640,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/3a/ac/972576956.webp,,38,4200000.0,chalet,sale,841.0,6,6,calle Guecho,Madrid,Madrid,es,40.4730683,-3.8210386,False,https://www.idealista.com/inmueble/97216640/,"Chalet independiente de 841 m2 y parcela de 3.112 m2, linda con El Pardo, en la urbanización de la Florida, en una de las mejores zonas para vivir en Madrid.  Destaca por su luz natural y espacios exteriores en todas las estancias, el jardín consolidado con varios arboles (olivos y pinos) y piscina.   Distribución: Planta baja, gran hall de recibo, dos amplios salones en dos ambientes + comedor independiente con chimenea y acceso al porche exterior al jardín. A la derecha, Aseo de cortesía. Dormitorio principal en suite, con zona de estar y vestidor. A la izquierda, 2 cocinas comunicadas con office + despensa y zona de la lavado y planta. Dormitorio de servicio + baño completo. Trastero. Garaje capacidad 3 coches + zona de aparcamiento. En la primera planta, accedemos por una gran escalera de madera, gran zona de estar con 4 dormitorios + 2 cuartos de baños completos.  Zona de jardín, espacios abiertos para disfrute de actividades al aire libre. La piscina exterior y casa de invitados con un cenador y porche.",False,renew,False,4994.0,True,False,True,False,[],False,False,4200000.0,€,True,True,chalet,independantHouse,"El Plantío, Madrid",Casa independiente en calle Guecho,,,Moncloa,El Plantío,,,,,
106197678,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ec/83/1d/1275593450.webp,REAL-0076,46,1390000.0,chalet,sale,433.0,7,4,Raya del Palancar - Guadamonte,Madrid,Villanueva de la Cañada,es,40.412793,-3.9598171,False,https://www.idealista.com/inmueble/106197678/,"Elegancia y Confort en Urbanización Guadamonte. Descubre esta impresionante propiedad ubicada en la exclusiva Urbanización Guadamonte, un oasis de tranquilidad a solo 20 km de Madrid. Esta magnífica casa, rodeada de naturaleza y con más de 4000 m² de parcela, ofrece un estilo de vida inigualable. **PLANTA PRINCIPAL:** Al ingresar, serás recibido por una amplia zona de aparcamiento y una hermosa rotonda ajardinada. La entrada te lleva a un elegante hall con armario para abrigos y aseo de cortesía, desde donde se accede a un espléndido salón comedor, que destaca por su chimenea y salida a una encantadora terraza con vistas a la piscina. La cocina, de generosas dimensiones, cuenta con un office, acceso al jardín, habitación de servicio, un baño completo, zona de lavado, despensa independiente y cuarto de caldera. **ENTREPLANTA:** En esta planta, a solo cinco escalones del hall, encontrarás dos magníficas habitaciones dobles, un baño completo y varios armarios empotrados, brindando comodidad y privacidad. **PLANTA PRIMERA:** Desde el hall distribuidor, accedemos a dos áreas diferenciadas. A la derecha, dos amplios dormitorios con armarios empotrados comparten un baño completo. Continuando, llegamos al lujoso dormitorio principal, que incluye un baño completo, vestidor y un espacioso despacho. Desde aquí, se accede a una magnífica terraza que ofrece vistas al jardín y a la piscina. **PLANTA SEMISOTANO:** Esta planta alberga un garaje con capacidad para dos o tres coches, además de dos garajes cubiertos contiguos, todos equipados con puertas automatizadas. La propiedad cuenta con suelos de parquet de encina en el salón y tarima en los dormitorios, dobles ventanas con mosquiteras, calefacción mediante caldera de gas propano con depósito de 2000 litros y aire acondicionado por split en el dormitorio principal y despacho. **Exteriores:** La parcela es un verdadero paraíso, con zona de piscina equipada con trampolín, solarium, porche, pérgola con toldo, zona de barbacoa, extensos jardines, un huerto y árboles centenarios.  La urbanización ofrece garita y barrera de control en el acceso, así como vigilancia las 24 horas, garantizando tu seguridad y tranquilidad. Ideal para quienes buscan un estilo de vida sereno, pero cercano a colegios, universidades, restaurantes y comercios.  **Colegios:** La zona cuenta con una amplia oferta educativa, que incluye colegios públicos y privados de prestigio. Entre ellos se destacan instituciones como el Colegio San Pablo, el Colegio Internacional de Villanueva y el Colegio El Bosque, que ofrecen programas educativos de alta calidad y diversas actividades extracurriculares. Esto asegura que las familias cuenten con opciones adecuadas para la formación integral de sus hijos. **Comunicación:** En términos de transporte, la urbanización está bien conectada con las principales vías de acceso. La M-501 proporciona un acceso rápido a Madrid y otras localidades cercanas. Además, el transporte público está disponible, con líneas de autobuses que conectan Villanueva de la Cañada con Madrid y otras ciudades de la región, facilitando el desplazamiento diario. Ubicación privilegiada: a solo 3 km de Brunete, 6 km de Boadilla, 8 km de Villanueva de la Cañada y 12 km de Majadahonda.  La Urbanización Guadamonte, ubicada en Villanueva de la Cañada ya5 minutos de Boadilla del Monte, ofrece una excelente calidad de vida, no solo por su entorno natural, sino también por la variedad de servicios y las opciones de comunicación disponibles en las cercanías. Esta combinación de excelentes opciones educativas, junto con una buena red de comunicación, hace de la Urbanización Guadamonte un lugar ideal para familias que buscan calidad de vida y comodidad en su día a día. ¡No dejes pasar esta oportunidad única de vivir en un hogar que lo tiene todo!",False,good,False,3210.0,True,False,True,True,[],False,False,1390000.0,€,True,True,chalet,independantHouse,"Raya del Palancar - Guadamonte, Villanueva de la Cañada",Casa independiente,,,Raya del Palancar - Guadamonte,,,,,,
108744437,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/08/78/44/1353841622.webp,MARQUESA DE SILVELA,8,245000.0,flat,sale,84.0,3,1,"calle de la Marquesa de Silvela, 14",Madrid,Madrid,es,40.3859483,-3.7139137,True,https://www.idealista.com/inmueble/108744437/,"GARSIERRA. Amplio y luminoso piso de 84 m2 construidos, con 3 dormitorios, baño completo. Cerca de transporte público: cercanías y múltiples autobuses. Cerca de colegio y parada de múltiples rutas escolares, varias escuelas infantiles(pública y privadas), parques y tiendas, el barrio es muy seguro. conexión rápida. "". "". "".",True,good,False,2917.0,True,False,False,False,[],False,False,245000.0,€,,,flat,,"Moscardó, Madrid","Piso en calle de la Marquesa de Silvela, 14",3,True,Usera,Moscardó,True,,,,
99290732,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/5b/ec/1039440044.webp,,21,460000.0,flat,sale,110.0,3,2,calle de la Madera,Madrid,Madrid,es,40.423249,-3.7020892,False,https://www.idealista.com/inmueble/99290732/,"Ponemos a disposición este local a pie de calle cuya situación urbanística actualmente a efectos de catastro es VIVIENDA y como tal se vende como vivienda. Está en trámite el cambio de uso y se venderá con ello hecho En la actualidad. cuenta con varios espacios diáfanos, acceso desde la calle y desde el portal, fachada y portal inmejorables, propios de edificios del centro de Madrid y con muy buen mantenimiento.  Se sitúa a escasos minutos a pie de Gran Vía de la que distan apenas 2 manzanas, así como de Plaza España, o Callao. En pleno barrio de tribunal/noviciado, con cinco estaciones de metro en menos de 500 metros a la redonda.  Se un entorno único con una ubicación excelente. No dude en solicitar información y realizar su oferta. Quedamos a su disposición.",False,renew,False,4182.0,True,False,True,False,[],False,False,460000.0,€,,,flat,,"Malasaña-Universidad, Madrid",Piso en calle de la Madera,bj,True,Centro,Malasaña-Universidad,False,,,,
101496797,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/71/c8/83/1123936095.webp,1913,95,1180000.0,chalet,sale,470.0,5,5,luisant,Madrid,Villanueva del Pardillo,es,40.4929389,-3.9431832,False,https://www.idealista.com/inmueble/101496797/,"La Inmobiliaria de Villanueva Vende chalet independiente a estrenar: planta calle hall de entrada, con acceso a salón con 40m² con chimenea, a continuación se accede al comedor de 15m², cocina de 22m² con despensa, hay salida a terraza cubierta y unas escaleras que bajan al jardín, un aseo de cortesía, primera planta hall distribuidor con 4 dormitorios con salida a distintas terrazas. El dormitorio principal grande, con vestidor y baño en suite, dos dormitorios hacen uso del segundo baño en esta planta, otro dormitorio más con baño también en suite, buhardilla diáfana con un baño con bañera de hidromasaje de dos plazas y ducha aparte, planta inferior bodega de 20m², un dormitorio de servicio al que hay posibilidad de hacer un baño ya que dispone de preinstalación de agua y desagües, cuarto de lavadoras, garaje, con capacidad para varios coches. Calefacción de Gas Natural con caldera independiente. Acristalamientos aluminio climalit con R. P. T oscilobatientes. Amplios armarios empotrados y vestidos. Pintura lisa. Suelos porcelánicos de gran calidad. Puertas exteriores motorizadas y las persianas de la vivienda en dormitorios y salón, zona del jardín dispone de césped con riego automático, zona de barbacoa piscina con depuradora de cloro salino, iluminación, vivienda en zona muy tranquila.",False,good,False,2511.0,True,False,True,False,[],False,False,1180000.0,€,True,True,chalet,independantHouse,"Las Vegas - Santa María, Villanueva del Pardillo",Casa independiente en luisant,,,Las Vegas - Santa María,,,,,,
108597138,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/86/91/ff/1350183576.webp,VALENCIA ,62,570000.0,chalet,sale,230.0,4,3,CL VALENCIA,Madrid,Paracuellos de Jarama,es,40.5061196,-3.5248985,False,https://www.idealista.com/inmueble/108597138/,"TE PRESENTAMOS EN EXCLUSIVA. "" SUEÑOS + VIDA = HOGAR"" La historia de nuestra vida se resume en estas grandes palabras: Felicidad, amor, sueños, familia, ilusiones convertidas en proyectos y proyectos convertidos en realidades. Y una de estas realidades, posiblemente una de las más importantes de todas las vividas a parte de ver crecer a nuestros hijos con salud y alegría, fue crear este HOGAR con mayúsculas, donde hemos conseguido materializar el resto de nuestros SUEÑOS, a la vista esta! Este gran HOGAR esta diseñado con mucho mimo, cariño y las mejores calidades, pensando en cada detalle por mínimo qué fuera, poniendo en cada rincón una parte de nuestro entusiasmo, esfuerzo, e ilusión. Gracias a todo este cariño estamos felices de poder asegurar que esta vivienda seguirá firme, confortable y magnífica para quien desee dar luz a sus SUEÑOS, y ahora ha llegado el momento de apostar por los VUESTROS, tenemos la vivienda lista para recibiros y enseñaros con detalle cada uno de estos rincones, ¿Preparados para visitar VUESTRO NUEVO HOGAR? INMOCIONA, TE ESTA ESPERANDO CON GANAS, DESEANDO QUE LO DISFRUTES Y LO VIVAS! "" TU FELICIDAD ES NUESTRA FINALIDAD "".",False,good,False,2478.0,True,False,True,False,[],False,False,570000.0,€,True,True,chalet,terracedHouse,"Casco Urbano, Paracuellos de Jarama",Chalet adosado en Cl Valencia,,,Casco Urbano,,,,,,
108236482,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/e5/47/1338022893.webp,,36,310000.0,flat,sale,74.0,2,2,calle de El Yesero,Madrid,Madrid,es,40.3801059,-3.6383477,False,https://www.idealista.com/inmueble/108236482/,"¡Descubre tu nuevo hogar en Palomeras Sureste, Madrid!  Este encantador piso de 74 m², construido en 2006, combina confort y estilo en una ubicación inmejorable.  Al entrar, te recibe un acogedor salón con aire acondicionado, ideal para relajarte después de un largo día. La cocina está completamente equipada, lista para que prepares tus platos favoritos, y cuenta con una práctica terraza-tendedero que aporta luminosidad y funcionalidad. El inmueble dispone de dos dormitorios, uno de ellos en suite, ambos con armarios empotrados que ofrecen un amplio espacio de almacenamiento. Los dos baños son perfectos para las necesidades diarias; uno cuenta con un plato de ducha y el otro con bañera, brindando opciones para cada momento. Las ventanas Climalit garantizan un excelente aislamiento, mientras que los suelos de tarima y las puertas de roble añaden un toque de elegancia. Vivir aquí significa disfrutar de unas completas zonas comunes que incluyen piscina, pista de pádel y una zona infantil, ideales para el ocio y la diversión. Además, tendrás la tranquilidad de contar con un conserje disponible 24 horas. La plaza de garaje y el trastero están incluidos en el precio, lo que suma comodidad a tu día a día.  Con fácil acceso a la M40, a 10 minutos del Aeropuerto de Barajas, cerca de la parada de autobús de las líneas 54, 58, 103, 142, 143 y N25, y a solo 1,5 km de la estación de Renfe de Vallecas, así como cerca de la estación de metro Sierra de Guadalupe (Línea 1), la ubicación es perfecta para quienes buscan conectividad.  Rodeado de comercios y servicios, como el Centro Deportivo Municipal Palomeras, este piso es una oportunidad única que no querrás dejar pasar. ¡Ven a verlo y enamórate de tu nuevo hogar!",True,good,False,4189.0,True,False,True,False,[],False,False,310000.0,€,True,True,flat,,"Palomeras sureste, Madrid",Piso en calle de El Yesero,2,True,Puente de Vallecas,Palomeras sureste,True,,,,
