propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,newDevelopmentFinished,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice
108914200,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/e6/49/1358802114.webp,Villagarcía,36,7,375000.0,flat,sale,85.0,True,3,1,"calle de Villagarcía, 4",Madrid,Madrid,Latina,es,Lucero,40.4049986,-3.7541129,True,https://www.idealista.com/inmueble/108914200/,"Amplia vivienda con una espectacular LUZ NATURAL gracias a que todas las estancias son EXTERIORES y con vistas despejadas, ubicada en una planta alta de un edificio con ASCENSOR, muy cuidado y tranquilo.  La vivienda consta de 3 DORMITORIOS, un cuarto de baño reformado (con iluminación y ventilación natural), una amplísima COCINA INDEPENDIENTE con zona de OFFICE, y un SALÓN-COMEDOR que da acceso a la TERRAZA cerrada que destaca por la LUMINOSIDAD y SOL de la estancia.  La zona está en pleno proceso de expansión y mejora gracias a las obras de SOTERRAMIENTO de la A5, además de estar rodeada por todos los comercios y servicios necesarios en las inmediaciones. Y destaca por su cercanía a las maravillosas ZONAS VERDES de la CASA DE CAMPO.  Perfectamente comunicada por METRO (Estaciones de Casa de Campo y Batán a escasos minutos andando) y múltiples líneas de autobús.  CONDICIONES: Honorarios de agencia INCLUIDOS en el precio. Disponibilidad INMEDIATA. Disponemos de planos en alta resolución así como de opciones de reforma realizadas por nuestro estudio de arquitectura dentro de Somos M.  CONTACTO: Correo o whatsapp (Clara: 685_982_804).",False,renew,False,True,4412.0,True,False,False,False,[],False,False,375000.0,€,flat,"Lucero, Madrid","Piso en calle de Villagarcía, 4",,,,
108902564,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/2d/c1/1358427096.webp,VT_4a,14,6,340000.0,penthouse,sale,169.0,True,3,2,"calle Libertad, 2",Madrid,Humanes de Madrid,,es,,40.25886,-3.81925,True,https://www.idealista.com/obra-nueva/108902564/,"Elegir Residencial Guadarrama es un acierto seguro. Aquí podrás encontrar la vivienda que mejor se adapta a tu estilo de vida. La promoción está formada por 60 viviendas de 2 y 3 dormitorios.  Todas las viviendas cuentan con amplias terrazas (desde 13 metros cuadrados hasta 74) o patios (desde 32 metros cuadrados hasta 129), suelo radiante-refrescante con aerotermia, calificación energética A, trastero, y una o dos plazas de garaje con preinstalación para la recarga de vehículo eléctrico. La variedad de tipologías y distribuciones están perfectamente estudiadas para que disfrutes de cada espacio al máximo y elijas la que más se adapte a tu ritmo de vida. La piscina, zonas ajardinadas y zona de juegos infantil convierten la experiencia de vivir aquí en algo único, ideal para la desconexión y el esparcimiento, impulsando un modo de vida familiar. La proximidad a la estación de Cercanías de la línea C5, a 5 minutos en coche o bicicleta y 15 andando, te conecta con el centro de Madrid (Atocha) en apenas 30 minutos, además dispones de autobuses interurbanos (líneas 4 97 y N807).  Esta nueva zona residencial cuenta con todos los servicios necesarios. Destacando la cercanía de: colegios, institutos, centro de salud, polideportivo, parques, supermercados… La calidad de vida es la mejor de las razones para vivir en este lugar. Ponte en contacto con nosotros para organizar una cita en nuestras oficinas y poder enseñarte nuestro proyecto con todo detalle. Por último, Prado Recomba Hogares dispone de un servicio exclusivo de asesoramiento para todos nuestros clientes que necesiten vender su vivienda. No dudes en ponerte en contacto con nosotros para poder ayudarte poniendo en valor nuestros más de veinte años de experiencia.",False,newdevelopment,True,True,2012.0,True,False,False,False,[],False,False,340000.0,€,flat,Humanes de Madrid,"Ático en calle Libertad, 2",False,penthouse,,
107252906,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/73/bd/da/1307483318.webp,TIPO 14  SEGUNDO DUPLEX ,31,2,413396.0,duplex,sale,79.0,True,1,2,"calle Cuesta, 5",Madrid,Majadahonda,Casco Antiguo,es,,40.4724797,-3.872327,True,https://www.idealista.com/obra-nueva/107252906/,"Últimas viviendas disponibles! VO Private Real Estate presenta en Majadahonda en exclusiva, este proyecto de lujo Residencial Cuesta Descubre tu nuevo hogar, en pleno corazón de Majadahonda rodeada de todo tipo de servicios. Promoción donde la elegancia, diseño y calidades la hacen única en todo el municipio. La armonía entre el diseño clásico y moderno cobra vida, consiguiendo el máximo confort en todos los detalles. Urbanización privada con amplias zonas verdes y piscina comunitaria. 19 viviendas de 1 y 2 dormitorios con terraza, una práctica distribución, creando amplios espacios de gran luminosidad y una cuidadosa selección de materiales de la más alta calidad. Cada vivienda ha sido pensada para ofrecer la máxima funcionalidad para tu comodidad. Con las últimas y más eficientes tecnologías de construcción, incluyendo aerotermia con suelo radiante-refrescante. Calificación Energética A + Plazas de garaje y trastero incluidas en el precio. Solicita tu cita previa y te esperamos en nuestra oficina para contarte todos los detalles y condiciones. Aprovecha y ven a reservar una de las últimas viviendas que nos quedan.",False,newdevelopment,True,True,5233.0,True,False,False,False,[],False,False,413396.0,€,flat,"Casco Antiguo, Majadahonda","Dúplex en calle Cuesta, 5",False,duplex,True,True
108913815,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/04/57/2a/1358774981.webp,PV-DS001,20,2,1495000.0,flat,sale,138.0,True,3,3,calle del Duque de Sesto,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4225209,-3.6738864,False,https://www.idealista.com/inmueble/108913815/,"LUJO, DISEÑO Y UBICACIÓN EN EL CORAZÓN DEL BARRIO DE SALAMANCA ¡Tu nuevo hogar te está esperando! ¿Te imaginas vivir en una de las zonas más exclusivas de Madrid, a un paso del Retiro, en un piso que lo tiene todo? ¡Deja de imaginar y ven a descubrirlo! 138 m² de puro estilo y confort ✔ 3 dormitorios (2 en suite) ✔ Espacioso salón con cocina semi integrada: ideal para compartir, disfrutar y vivir. ✔ Terraza al sur: sol, tranquilidad y vistas para enamorarte cada día. ✔ 2 baños completos + aseo de cortesía ✔ Armarios empotrados y acabados de calidad ✔ Accesible para todos, con ascensor y sin barreras Ubicación perfecta: en plena Milla de Oro, rodeado de tiendas de lujo, restaurantes de primer nivel y todos los servicios. A solo unos pasos del Parque del Retiro – tu nuevo pulmón verde. Todo en un estado impecable. Solo falta una cosa: Tú. ¡Contáctanos hoy y agenda tu visita! Este piso no es solo una vivienda, es un estilo de vida.",True,good,False,True,10833.0,True,False,False,False,[],False,False,1495000.0,€,flat,"Goya, Madrid",Piso en calle del Duque de Sesto,,,,
106369597,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/77/98/7a/1327288718.webp,,34,4,1325000.0,flat,sale,140.0,True,3,3,Barrio Ibiza,Madrid,Madrid,Retiro,es,Ibiza,40.4149652,-3.6779269,False,https://www.idealista.com/inmueble/106369597/,"¡SIN HONORARIOS DE AGENCIA! Vivienda de diseño recién reformada a pocos metros del parque del retiro, salón ubicada en la cuarta del edificio. La vivienda consta de 3 dormitorios dobles, 3 baños completos, dos de ellos en suite, salón comedor con terraza y cocina. Cocina completamente equipada con electrodomésticos de alta gama incluida una vinoteca. Trastero. Los baños tienen griferías empotradas para las duchas y caños altos para la lavabos. Todos los baños tienen almacenamiento en muebles bajo lavabos de distintas maderas naturales. La calefacción y agua caliente funciona con una caldera individual recién instalada. La climatización se realiza con conductos que llegan a cada estancia. Ventanas motorizadas con vidrios dobles tipo climalit, ideales para conservar la temperatura interior e insonorizar el ruido exterior. Las estancias principales tienen suelos de madera natural de roble y cerámicos en zonas húmedas. Se entrega totalmente a estrenar con calidades de primer orden y todo lujo de detalles. MOBILIARIO INCLUIDO Ubicada en el distrito de Ibiza del barrio del Retiro, y a poco metros caminando del barrio de Salamanca. Zona comercial y de buenos restaurantes, considerada ""la milla del oro del buen comer"". Dotada con los mejores servicios, colegios, hospitales, muy bien comunicado tanto mediante transporte público como privado y con fácil acceso a la M30.",False,good,False,True,9464.0,True,False,True,False,[],False,False,1325000.0,€,flat,"Ibiza, Madrid",Piso,,,,
105793358,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6e/e3/5c/1302335571.webp,BRYH-1563,34,bj,420000.0,flat,sale,100.0,True,2,2,Barrio Pinar del Rey,Madrid,Madrid,Hortaleza,es,Pinar del Rey,40.4718103,-3.6422572,False,https://www.idealista.com/inmueble/105793358/,"BRYH-1563 LOFT REFORMADO A ESTRENAR EN PINAR DEL REY (MADRID). BE REAL · YES HOME comercializa la venta de este excepcional dúplex, con reforma a estrenar, en la Calle Paula de la Vega en el distrito de Hortaleza, Madrid. Perfectamente comunicado mediante líneas de autobuses hacia todos los destinos. Estación de metro más cercana, L4 Mar de Cristal (500m) y San Lorenzo (650m). Rodeado de todo tipo de comercios: fruterías, farmacias, droguerías, peluquerías y grandes centros comerciales: Gran Vía de Hortaleza, Centro Comercial Palacio de Hielo y supermercados Carrefour, Día, Mercadona y Aldi. Este loft se ubica en la planta baja de una finca construida en 1993, totalmente reacondicionada y en excelente estado de conservación. La vivienda cuenta con una superficie construida de 100 m2, de los cuales útiles son 95 m2. Reforma integral que incluye tuberías, cableado eléctrico, internet cableado en todas las estancias, suelo radiante, aerotermia y todo el aspecto estético, obra realizada con la mayor calidad en materiales y marcas del mercado.  La distribución del espacio es la siguiente:  · Planta baja 49,41m2 construidos: cómodo salón comedor, cocina tipo americana totalmente amueblada y equipada, un aseo y el cuarto de máquinas.  · Primera Planta 51,08 m2 construidos: habitación principal y un amplio ambiente que podrá utilizarse como segunda habitación o despacho. Esta planta cuenta con un cuarto de baño. Destacamos la amplitud, gracias a los techos de gran altura y la luminosidad debido a las grandes ventanas frontales con estores automáticos y persianas también automáticas en las habitaciones. La reforma realizada con excelentes acabados y cuenta con climatización en toda la vivienda por medio de suelo radiante controlado desde App en el móvil. La cocina está amueblada y equipada, posee campana extractora, se entrega sin Frigorífico ni Lavadora. El Loft se vende sin amueblar. Sin duda un lugar perfecto para disfrutar de una vida tranquila sin renunciar a estar en Madrid, cerca de todos los servicios. Excelente oportunidad como vivienda residencial habitual y/o inversión. Ideal para vivir en él o aprovechar su ubicación para rentabilizarlo mediante el arrendamiento. ¡No esperes más y contáctanos para obtener más información! Estamos a su disposición para cualquier consulta o visita que desee realizar. Descubra todo nuestro producto visitando nuestra web BEREAL.ES Cada propiedad tiene un comprador y un vendedor, ambos están en Be Real. BE REAL la inmobiliaria inteligente. Al fin una inmobiliaria con toda la tecnología y todo el servicio a su precio. Así de cómodo, así de fácil, así de Real.",True,good,False,False,4200.0,True,False,True,False,[],False,False,420000.0,€,flat,"Pinar del Rey, Madrid",Piso,,,,
107887934,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cb/44/81/1241938399.webp,PR-C-760@TipoC2,29,2,320000.0,flat,sale,80.0,True,2,2,"José María Lozano Sáinz, 11",Madrid,Madrid,Villaverde,es,Los Ángeles,40.346688,-3.6947533,True,https://www.idealista.com/obra-nueva/107887934/,"1 plaza de garaje Forma de pago flexible atendiendo a tus necesidades Entrega de llaves: Entre febrero y abril 2027. Cielo de Villaverde cuenta con apartamentos y viviendas de 2 y 3 dormitorios, con terrazas y suelo radiante, y se caracteriza por contar con salas temáticas y más de 6.000m2 de zonas comunes exteriores, para disfrutar de una experiencia de relax, ocio y deporte dentro de un ambiente de seguridad y tranquilidad. También áticos a la venta.  Piscina, pista polideportiva, pádel, gimnasio, zonas de juegos infantiles, salas comunitarias y amplias zonas verdes sin salir de la urbanización. Las viviendas cuentan con dormitorios espaciosos y luminosos, bien orientadas con modernas calidades que dan forma a hogares de ensueño, bien comunicadas con transportes urbanos y lugares de ocio. En Cielo de Villaverde se han diseñado diversas tipologías de viviendas pensando en la comodidad. Todas las viviendas cuentan con excelentes distribuciones, trasteros y garajes, a un precio excelente. El proyecto se encuentra situado cerca del Centro Médico de Especialidades, y también de dos centros educativos, uno de ellos la Escuela Infantil El Sur y el otro la Escuela de Fútbol Villaverde. Alrededor se encuentran dos centros comerciales de ocio y zonas verdes como el Parque Dehesa Boyal; además de un supermercado Mercadona y el Palacio de congresos y exposiciones La Nave, centro de referencia tecnológica y cultural. Elige tu futuro hogar en la última fase del mejor proyecto. Además, ahora tienes la oportunidad de seleccionar las calidades y personalizar tu vivienda. Muy cerca de medios de transporte y zonas de naturaleza, ocio y deporte. A 20 min en metro de la Puerta del Sol y a 10 minutos de ATOCHA en tren. Ubicado cerca de espacios verdes como la Dehesa del Boyal y de un polideportivo de referencia como es el de Raúl Gonzalez; se encuentra a escasa distancia del metro y el cercanías.",True,newdevelopment,True,True,4000.0,True,False,False,False,[],False,False,320000.0,€,flat,"Los Ángeles, Madrid","Piso en José María Lozano Sáinz, 11",False,,True,True
108537260,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/31/be/bf/1347825071.webp,a01Jy00000jvuWeIAI,15,4,730500.0,flat,sale,106.0,False,2,2,"Fernández Caro, 7",Madrid,Madrid,Ciudad Lineal,es,Concepción,40.4424991,-3.6474042,True,https://www.idealista.com/obra-nueva/108537260/,"DESCUBRE EN MOSAIK, LA COMPOSICIÓN PERFECTA 22 VIVIENDAS EXCLUSIVAS DE OBRA NUEVA CON TERRAZA DE 1, 2 Y 3 DORMITORIOS (PLAZAS DE GARAJE Y LOCKERS INCLUIDOS EN EL PRECIO)   MOSAIK es un proyecto innovador y vanguardista, donde prima diseño y funcionalidad, que se ubica en la calle Fernández Caro, 7, a pocos metros de la calle Arturo Soria, una de las principales arterias de Madrid. El complejo residencial dispone de unos espacios comunes para hacer tu día a día más agradable: piscina, solárium panorámico, gimnasio y zona de coworking. Las viviendas están perfectamente orientadas, con amplios ventanales que garantizan una alta luminosidad, dotadas de una cuidada selección de materiales, y cocinas totalmente equipadas con elegante diseño y excelentes calidades. Además, cuentan con un innovador sistema de climatización por aerotermia y geotermia, suelo radiante y suelo refrescante, ventilación mecánica de doble flujo con intercambiador de calor, elementos que nos proporcionarán el máximo confort y eficiencia energética. MOSAIK te ofrece diseño y equipamiento con todos los servicios disponibles, en una de las mejores zonas de Madrid. Un residencial, enfocado a ofrecerte una alta calidad de vida para hacer tu día a día más cómodo y sencillo.  Para ampliar la información, puedes concertar una visita a nuestras oficinas centrales en la calle Alcalá 96, 5º-Dcha. frente a El Corte Inglés de Goya.",False,,True,True,6892.0,True,False,False,False,[],False,False,730500.0,€,flat,"Concepción, Madrid","Piso en Fernández Caro, 7",False,,True,True
107330409,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1a/0e/6a/1309768678.webp,Vivienda 09,18,,1927000.0,chalet,sale,351.0,,3,3,"calle Astun, 30",Madrid,Madrid,Moncloa,es,Valdemarín,40.4660422,-3.7758358,True,https://www.idealista.com/obra-nueva/107330409/,"SUMMIT es una exclusiva urbanización de 20 chalets pareados con jardines y piscinas individuales que cuentan además con un increíble rooftop con vistas a la sierra y al skyline de Madrid.    Ubicado en pleno Valdemarín, en el distrito de Aravaca-Moncloa, uno de los barrios más cotizados de Madrid por su entorno natural a menos de 10 minutos del centro de la ciudad.   Summit te permitirá vivir en una urbanización cerrada con seguridad y zonas de ocio para compartir, con parcelas privadas de hasta 497 m², y viviendas construidas en 3 plantas más solárium, todas equipadas con ascensor, para una máxima comodidad. Las viviendas ofrecen la posibilidad de contar de 3 a 5 dormitorios con una distribución y un interiorismo personalizable.    Otro de los aspectos a destacar de esta promoción es que todas las viviendas cuentan con orientación sur, por lo que la luminosidad forma parte del sello de esta exclusiva promoción.   Viviendas pareadas que mantienen una máxima privacidad, logrando un aislamiento acústico superior ya que la única comunicación entre viviendas se realiza a través de la zona de escaleras y ascensor de cada vivienda, sin que lleguen a comunicar estancias principales, logrando así una sensación de gran independencia.   Mención especial merece su envidiable Rooftop, pensado para disfrutar de momentos de ocio y descanso con unas vistas despejadas a la sierra y al Skyline de Madrid.    Espacios amplios, modernos y conectados entre sí que comunican de manera impecable interior con exterior. En la planta principal los espacios fluyen entre cocina, salón y exterior, con salida directa desde todas las estancias al jardín.  La cocina, diseñada por la prestigiosa firma Gunni & Tentino, cuenta con gran isla central y se abre a la zona de comedor y salón para potenciar la sensación de espacio.  En esta planta contamos con una terraza de acceso directo desde la cocina, una zona de porche que comunica la zona de comedor y un gran porche principal con vistas al jardín y a la piscina por lo que toda la planta se integra de manera armoniosa con el exterior.   Diseño y elegancia van de la mano en este proyecto con una sofisticada presencia, con fachadas que juegan con grandes ventanales y unas elegantes celosías de lamas exteriores visten las viviendas y que controlan la incidencia solar, matizando la privacidad y la luz.   Calidades premium en todas las viviendas: cocinas de Gunni & Tentino, pavimentos porcelánicos en formato 1.2x1.2m, tarima de roble en la planta de noche, carpinterías de la máxima calidad, domótica de última generación. Las viviendas cuentan además con un diseño sostenible, con sistemas de calefacción por aerotermia con suelo radiante/ refrigerante además de contar con aire acondicionado de refuerzo.   Además, Grupo ABU ofrece la oportunidad de personalizar el interiorismo al gusto de cada cliente, creando un espacio que refleje su estilo y personalidad, de la mano del prestigioso estudio Coton et Bois.   Ubicación estratégica a menos de 10 minutos del centro de Madrid, Valdemarín cuenta con una amplia oferta de colegios internacionales como el colegio Estudio, The English Montesori, Mater Salvatoris o el Stela Maris; centros médicos como el hospital de la Zarzuela, Vithas Aravaca; centros de restauración y centros deportivos como el David Lloyd, Club de Campo o el Hipódromo de la Zarzuela.   Grupo Abu, cuenta con una una sólida trayectoria en el mundo del lujo, con más de 25 años en el sector, se ha especializado en la promoción de viviendas exclusivas en emplazamientos prime. Su compromiso con el diseño, la tecnología y la innovación son un sello latente en todas sus promociones. Cada proyecto es único y cada vivienda también gracias a su servicio de personal.",False,newdevelopment,True,,5490.0,True,False,False,False,[],False,False,1927000.0,€,chalet,"Valdemarín, Madrid","Chalet pareado en calle Astun, 30",False,semidetachedHouse,True,True
107330291,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/15/ba/1309768662.webp,Vivienda 02,18,,1947000.0,chalet,sale,352.0,,3,3,"calle Astun, 30",Madrid,Madrid,Moncloa,es,Valdemarín,40.4660422,-3.7758358,True,https://www.idealista.com/obra-nueva/107330291/,"SUMMIT es una exclusiva urbanización de 20 chalets pareados con jardines y piscinas individuales que cuentan además con un increíble rooftop con vistas a la sierra y al skyline de Madrid.    Ubicado en pleno Valdemarín, en el distrito de Aravaca-Moncloa, uno de los barrios más cotizados de Madrid por su entorno natural a menos de 10 minutos del centro de la ciudad.   Summit te permitirá vivir en una urbanización cerrada con seguridad y zonas de ocio para compartir, con parcelas privadas de hasta 497 m², y viviendas construidas en 3 plantas más solárium, todas equipadas con ascensor, para una máxima comodidad. Las viviendas ofrecen la posibilidad de contar de 3 a 5 dormitorios con una distribución y un interiorismo personalizable.    Otro de los aspectos a destacar de esta promoción es que todas las viviendas cuentan con orientación sur, por lo que la luminosidad forma parte del sello de esta exclusiva promoción.   Viviendas pareadas que mantienen una máxima privacidad, logrando un aislamiento acústico superior ya que la única comunicación entre viviendas se realiza a través de la zona de escaleras y ascensor de cada vivienda, sin que lleguen a comunicar estancias principales, logrando así una sensación de gran independencia.   Mención especial merece su envidiable Rooftop, pensado para disfrutar de momentos de ocio y descanso con unas vistas despejadas a la sierra y al Skyline de Madrid.    Espacios amplios, modernos y conectados entre sí que comunican de manera impecable interior con exterior. En la planta principal los espacios fluyen entre cocina, salón y exterior, con salida directa desde todas las estancias al jardín.  La cocina, diseñada por la prestigiosa firma Gunni & Tentino, cuenta con gran isla central y se abre a la zona de comedor y salón para potenciar la sensación de espacio.  En esta planta contamos con una terraza de acceso directo desde la cocina, una zona de porche que comunica la zona de comedor y un gran porche principal con vistas al jardín y a la piscina por lo que toda la planta se integra de manera armoniosa con el exterior.   Diseño y elegancia van de la mano en este proyecto con una sofisticada presencia, con fachadas que juegan con grandes ventanales y unas elegantes celosías de lamas exteriores visten las viviendas y que controlan la incidencia solar, matizando la privacidad y la luz.   Calidades premium en todas las viviendas: cocinas de Gunni & Tentino, pavimentos porcelánicos en formato 1.2x1.2m, tarima de roble en la planta de noche, carpinterías de la máxima calidad, domótica de última generación. Las viviendas cuentan además con un diseño sostenible, con sistemas de calefacción por aerotermia con suelo radiante/ refrigerante además de contar con aire acondicionado de refuerzo.   Además, Grupo ABU ofrece la oportunidad de personalizar el interiorismo al gusto de cada cliente, creando un espacio que refleje su estilo y personalidad, de la mano del prestigioso estudio Coton et Bois.   Ubicación estratégica a menos de 10 minutos del centro de Madrid, Valdemarín cuenta con una amplia oferta de colegios internacionales como el colegio Estudio, The English Montesori, Mater Salvatoris o el Stela Maris; centros médicos como el hospital de la Zarzuela, Vithas Aravaca; centros de restauración y centros deportivos como el David Lloyd, Club de Campo o el Hipódromo de la Zarzuela.   Grupo Abu, cuenta con una una sólida trayectoria en el mundo del lujo, con más de 25 años en el sector, se ha especializado en la promoción de viviendas exclusivas en emplazamientos prime. Su compromiso con el diseño, la tecnología y la innovación son un sello latente en todas sus promociones. Cada proyecto es único y cada vivienda también gracias a su servicio de personal.",False,newdevelopment,True,,5531.0,True,False,False,False,[],False,False,1947000.0,€,chalet,"Valdemarín, Madrid","Chalet pareado en calle Astun, 30",False,semidetachedHouse,True,True
