propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
105925286,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/14/28/f1/1271251004.webp,PR-C-647@tipoD.02,20,1,358000.0,flat,sale,83.0,True,2,2,"calle la Escuela de Vallecas, 58",Madrid,Madrid,Villa de Vallecas,es,Ensanche de Vallecas - La Gavia,40.3574852,-3.5910795,True,https://www.idealista.com/obra-nueva/105925286/,"Viviendas de 2 y 3 dormitorios en urbanización ajardinada con piscina, zonas de juegos infantiles, sala fitness y espacio reservado para bicicletas. Trastero y plazas de garaje. En el nuevo barrio del Ensanche de Vallecas al sureste de la ciudad. La zona tendrá más de 7 millones de m² de zonas verdes, que formarán parte del nuevo bosque metropolitano. A 10 minutos de Atocha, contará con todos los servicios y se facilitará la movilidad sostenible. La zona donde se ubica la promoción está en pleno crecimiento, con zona de restaurantes, supermercados, colegios, gasolineras, farmacias, líneas de autobús y boca de metro.",False,newdevelopment,True,True,False,4313.0,True,False,False,False,[],False,False,358000.0,€,True,True,flat,"Ensanche de Vallecas - La Gavia, Madrid","Piso en calle la Escuela de Vallecas, 58",,,,,
108640411,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/c4/32/1347620953.webp,COPR-793@Tipo AJ,18,bj,517000.0,flat,sale,108.0,True,3,2,"calle Provisional Ahijones Treinta y Nueve, 50",Madrid,Madrid,Vicálvaro,es,Los Ahijones,40.3904265,-3.5679952,True,https://www.idealista.com/obra-nueva/108640411/,"Acalia II  Viviendas de 1, 2 y 3 Dormitorios en Los Ahijones: Tecnología, Conectividad y Sostenibilidad  Descubre nuestras viviendas inteligentes de 1, 2 y 3 dormitorios en Los Ahijones, el nuevo enclave residencial de Madrid ubicado en el distrito de Vicálvaro. Este desarrollo urbano contará con todos los servicios públicos y privados necesarios y se beneficiará de una excelente conexión gracias a la futura estación de Metro de la línea 9, situada a escasa distancia.  Las viviendas incluyen trastero y una o dos plazas de garaje, según tipología. Disponibles también áticos y viviendas con amplias terrazas. La urbanización, de régimen libre, está completamente cerrada y dotada de control de acceso, piscina de adultos con cloración salina, zona infantil, sala comunitaria, cuarto para bicicletas y espacio para carritos de la compra.  Las calidades de construcción destacan por su excelencia: climatización mediante suelo radiante refrescante, pavimento laminado de alta calidad y un completo sistema de domótica para un mayor confort y eficiencia.  Conectividad y Transporte  Con un diseño enfocado en la movilidad sostenible, Los Ahijones será el único desarrollo del Este de Madrid con una estación de Metro propia desde su fase inicial. Esto permitirá una conexión directa con el centro de Madrid y con el intercambiador de RENFE de Vicálvaro en solo una parada.  La Comunidad de Madrid ha confirmado la futura construcción de esta nueva estación, que se ubicará entre Puerta de Arganda y Rivas Urbanizaciones. Esta mejora ha sido aprobada por el Consejo de Gobierno y beneficiará a proyectos cercanos como nuestras promociones Ailén, Ailén II y Acalia, en Los Berrocales y Los Ahijones.  Un Proyecto Urbano Sostenible  Los Ahijones se posiciona como un referente en sostenibilidad urbana gracias al proyecto Life de Los Ahijones, una iniciativa pionera centrada en el aprovechamiento y reciclaje de aguas pluviales y grises. A través de soluciones tecnológicas avanzadas, este programa reduce el impacto ambiental y fomenta un estilo de vida respetuoso con el entorno.  Espacios Verdes y Naturaleza  El barrio integrará más de un millón de metros cuadrados de zonas verdes, que representarán el 18% del total del desarrollo. Estas zonas naturales se conectarán con el proyecto ecológico del Bosque Metropolitano, promovido por el Ayuntamiento de Madrid.",False,newdevelopment,True,True,False,4787.0,True,False,False,False,[],False,False,517000.0,€,True,True,flat,"Los Ahijones, Madrid","Piso en calle Provisional Ahijones Treinta y Nueve, 50",,,,,
108238618,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5f/e4/ed/1338089761.webp,26,17,1,172700.0,studio,sale,46.0,True,0,1,"avenida Cerro del Águila, 1",Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,,40.5467441,-3.6134149,True,https://www.idealista.com/obra-nueva/108238618/,"CDA1 Urban Spaces: Innovación, flexibilidad y rentabilidad en el corazón empresarial del norte de Madrid. Desde GILMAR presentamos en exclusiva un magnífico edificio donde se está desarrollando una promoción con 64 espacios de oficina, tipo loft, ubicado en la calle Cerro del Águila, 1 de San Sebastián de los Reyes de Madrid, estratégica ubicación cercana a IKEA y al centro comercial Plaza Norte, una de las mayores zonas comerciales de la zona norte de Madrid, y con acceso directo desde la A1. El edificio cuenta con una entrada amplia y representativa, se desarrolla en tres plantas, baja, primera, segunda y un roof top en la azotea que dispone de unas magníficas vistas, área de entrenamiento, barbacoas, y zona de relax y chill. Estos espacios de oficina (lofts) están diseñados para un uso muy versátil y flexible, cuentan con unas buenas calidades constructivas, cocina amueblada, techos altos, los de planta baja con un espacio de doble altura y la mayoría de las unidades de planta primera y segunda disponen de una agradable terraza. Además, todos los despachos dispondrán de plaza de garaje en el mismo edificio. Este es un producto ideal tanto para inversores como para usuarios finales, autónomos, pequeños empresarios que quieran compaginar su vida personal y profesional en un espació moderno y agradable perfectamente comunicado y equipado.  La entrega está prevista para final de 2025.",False,newdevelopment,True,True,False,3754.0,True,False,False,False,[],False,False,172700.0,€,True,True,flat,"Pol. Industrial sur, San Sebastián de los Reyes","Estudio en avenida Cerro del Águila, 1",studio,,,,
108238601,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/4d/b4/1338089768.webp,19,17,bj,262799.0,studio,sale,57.0,True,0,1,"avenida Cerro del Águila, 1",Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,,40.5467441,-3.6134149,True,https://www.idealista.com/obra-nueva/108238601/,"CDA1 Urban Spaces: Innovación, flexibilidad y rentabilidad en el corazón empresarial del norte de Madrid. Desde GILMAR presentamos en exclusiva un magnífico edificio donde se está desarrollando una promoción con 64 espacios de oficina, tipo loft, ubicado en la calle Cerro del Águila, 1 de San Sebastián de los Reyes de Madrid, estratégica ubicación cercana a IKEA y al centro comercial Plaza Norte, una de las mayores zonas comerciales de la zona norte de Madrid, y con acceso directo desde la A1. El edificio cuenta con una entrada amplia y representativa, se desarrolla en tres plantas, baja, primera, segunda y un roof top en la azotea que dispone de unas magníficas vistas, área de entrenamiento, barbacoas, y zona de relax y chill. Estos espacios de oficina (lofts) están diseñados para un uso muy versátil y flexible, cuentan con unas buenas calidades constructivas, cocina amueblada, techos altos, los de planta baja con un espacio de doble altura y la mayoría de las unidades de planta primera y segunda disponen de una agradable terraza. Además, todos los despachos dispondrán de plaza de garaje en el mismo edificio. Este es un producto ideal tanto para inversores como para usuarios finales, autónomos, pequeños empresarios que quieran compaginar su vida personal y profesional en un espació moderno y agradable perfectamente comunicado y equipado.  La entrega está prevista para final de 2025.",False,newdevelopment,True,True,False,4611.0,True,False,False,False,[],False,False,262799.0,€,True,True,flat,"Pol. Industrial sur, San Sebastián de los Reyes","Estudio en avenida Cerro del Águila, 1",studio,,,,
107996150,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/14/28/f1/1271251004.webp,PR-C-647@TipoAA.02,20,1,405000.0,flat,sale,88.0,True,2,2,"calle la Escuela de Vallecas, 58",Madrid,Madrid,Villa de Vallecas,es,Ensanche de Vallecas - La Gavia,40.3574852,-3.5910795,True,https://www.idealista.com/obra-nueva/107996150/,"Viviendas de 2 y 3 dormitorios en urbanización ajardinada con piscina, zonas de juegos infantiles, sala fitness y espacio reservado para bicicletas. Trastero y plazas de garaje. En el nuevo barrio del Ensanche de Vallecas al sureste de la ciudad. La zona tendrá más de 7 millones de m² de zonas verdes, que formarán parte del nuevo bosque metropolitano. A 10 minutos de Atocha, contará con todos los servicios y se facilitará la movilidad sostenible. La zona donde se ubica la promoción está en pleno crecimiento, con zona de restaurantes, supermercados, colegios, gasolineras, farmacias, líneas de autobús y boca de metro.",False,newdevelopment,True,True,False,4602.0,True,False,False,False,[],False,False,405000.0,€,True,True,flat,"Ensanche de Vallecas - La Gavia, Madrid","Piso en calle la Escuela de Vallecas, 58",,,,,
108438026,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/1a/59/1271251003.webp,PR-C-647@TipoE.01,20,6,377000.0,flat,sale,84.0,True,2,2,"calle la Escuela de Vallecas, 58",Madrid,Madrid,Villa de Vallecas,es,Ensanche de Vallecas - La Gavia,40.3574852,-3.5910795,True,https://www.idealista.com/obra-nueva/108438026/,"Viviendas de 2 y 3 dormitorios en urbanización ajardinada con piscina, zonas de juegos infantiles, sala fitness y espacio reservado para bicicletas. Trastero y plazas de garaje. En el nuevo barrio del Ensanche de Vallecas al sureste de la ciudad. La zona tendrá más de 7 millones de m² de zonas verdes, que formarán parte del nuevo bosque metropolitano. A 10 minutos de Atocha, contará con todos los servicios y se facilitará la movilidad sostenible. La zona donde se ubica la promoción está en pleno crecimiento, con zona de restaurantes, supermercados, colegios, gasolineras, farmacias, líneas de autobús y boca de metro.",False,newdevelopment,True,True,False,4488.0,True,False,False,False,[],False,False,377000.0,€,True,True,flat,"Ensanche de Vallecas - La Gavia, Madrid","Piso en calle la Escuela de Vallecas, 58",,,,,
108238588,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f7/c4/5e/1338089766.webp,03,17,bj,202700.0,studio,sale,44.0,True,0,1,"avenida Cerro del Águila, 1",Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,,40.5467441,-3.6134149,True,https://www.idealista.com/obra-nueva/108238588/,"CDA1 Urban Spaces: Innovación, flexibilidad y rentabilidad en el corazón empresarial del norte de Madrid. Desde GILMAR presentamos en exclusiva un magnífico edificio donde se está desarrollando una promoción con 64 espacios de oficina, tipo loft, ubicado en la calle Cerro del Águila, 1 de San Sebastián de los Reyes de Madrid, estratégica ubicación cercana a IKEA y al centro comercial Plaza Norte, una de las mayores zonas comerciales de la zona norte de Madrid, y con acceso directo desde la A1. El edificio cuenta con una entrada amplia y representativa, se desarrolla en tres plantas, baja, primera, segunda y un roof top en la azotea que dispone de unas magníficas vistas, área de entrenamiento, barbacoas, y zona de relax y chill. Estos espacios de oficina (lofts) están diseñados para un uso muy versátil y flexible, cuentan con unas buenas calidades constructivas, cocina amueblada, techos altos, los de planta baja con un espacio de doble altura y la mayoría de las unidades de planta primera y segunda disponen de una agradable terraza. Además, todos los despachos dispondrán de plaza de garaje en el mismo edificio. Este es un producto ideal tanto para inversores como para usuarios finales, autónomos, pequeños empresarios que quieran compaginar su vida personal y profesional en un espació moderno y agradable perfectamente comunicado y equipado.  La entrega está prevista para final de 2025.",False,newdevelopment,True,True,False,4607.0,True,False,False,False,[],False,False,202700.0,€,True,True,flat,"Pol. Industrial sur, San Sebastián de los Reyes","Estudio en avenida Cerro del Águila, 1",studio,,,,
108364347,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c2/a8/0e/1341907215.webp,1654,66,,1012000.0,chalet,sale,315.0,,8,4,Parque de la Coruña - Las Suertes,Madrid,Collado Villalba,Parque de la Coruña - Las Suertes,es,,40.6178074,-4.0101747,False,https://www.idealista.com/inmueble/108364347/,"Villas de Bravante gestiona la venta, EN EXCLUSIVA Y SIN HONORARIOS AL COMPRADOR, de este chalet con 315m2 construidos y parcela de 1.218m2.  A la planta baja se accede desde un zaguán perfectamente aislado con ventanales clilmalit, dando paso a un gran recibidor con doble altura gracias a a la escalera de madera. A su izquierda, encontramos el salón comedor, en el que, al fondo, existe un ventanal que ofrece las mejores vistas al jardín y piscina. La chimenea en esquina hace del salón un conformable lugar en invierno. Se accede al porche cubierto exterior, con una enorme mesa de granito para disfrutar de comidas y cenas en familia y amigos, junto con una barbacoa, horno, encimera y fregadero exterior. Adornado con sillas de forja, butacas y lámparas de latón. El comedor y salón disfrutan de la luz de la orientación Este y Sur, con altos techos y amplias ventanas. La cocina, de 14 m2 útiles, tiene una magnifica disposición de muebles altos y bajos, con una gruesa encimera de granito y mesa para desayunar al lado de la ventana. También tiene una puerta con salida o entrada a la zona de garaje, para facilitar la carga y descarga de la compra. En esta misma planta, se sitúan 3 habitaciones, todas exteriores, con diferentes usos: Sala de estar, gimnasio y habitación de servicio. Además, cuenta con un precioso y alegre cuarto de baño y un aseo, los dos con ventanas oscilobatientes y con muebles bajo encimera, espejos, y en un excelente estado, tanto los sanitarios, grifería, como los encuentros de silicona y alicatados. La planta primera dispone de 5 dormitorios: El principal, tiene su entrada  en el desembarque de la escalera, otorgándole unas vistas que ennoblecen y aportan amplitud y elegancia. Su distribución es ideal: El cuarto de baño, con doble grifería y lavabos, encimera de mármol travertino sobre mueble, plato de ducha en gran formato, grifería termostática, mampara de vidrio templado y una gran ventana con orientación de luz de mañana. A continuación del cuarto de baño se encuentra el vestidor, con dos paredes de armarios con puertas correderas en espejo y ventana. Los armarios están perfectamente vestidos y forrados. Y al fondo, la habitación principal, con ventanas a sus dos lados, techo alto en escayola foseada (al igual que en toda la vivienda), dándole modernidad y sobriedad a las paredes, hechas de ladrillo de hueco doble (no de pladur), para un mejor asilamiento acústico y térmico. La suite es alegre, espaciosa y privada. Retomando el recibidor de la planta primera, accederemos por un pasillo el cual dispone de dos habitaciones a cada lado, muy luminosas y grandes ventanas oscilobatientes con rejas que pueden abrirse con cerradura. Cuarto de invitados, cuartos para los hijos y despacho, son los usos actuales. Con armarios y con tamaños entre los 10,5 m2 a los 13,5 m2 útiles. Comparten un magnifico y amplio cuarto de baño de más de 5m2 útiles, totalmente amueblado y equipado y con ventana al exterior Ya por última sección, la parcela, cuya orientación predominante es Este y Oeste, combina plantas aromáticas de campo, diferentes árboles y altas lindes consolidadas con vegetación natural para dar una mayor privacidad. La piscina de 16 x 5 metros, coronada con piedras de granito en bloques sobre las que el agua cae en cascada. Césped natural, palmeras, cipreses, mimosas, cedros o pinos, arriates y jardineras, componen el paisaje, y una casa de madera para realizar bricolaje. Todo ello con un estratégico alumbrado exterior que hace del jardín un lugar único para disfrutar por la noche.  En el lado contrario de la parcela se encuentra la zona de aparcamiento, para 4 coches cubiertos y otros 4 sin cubrir, con puerta motorizada. La fachada de este maravilloso chalet, de líneas rectas,  combina el chapado en piedra, monocapa y teja árabe. En Colonia de San Antonio, a 5 minutos de la estación de tren y autobuses de Collado Villalba.",True,good,False,,,3213.0,True,False,True,False,[],False,False,1012000.0,€,True,True,chalet,"Parque de la Coruña - Las Suertes, Collado Villalba",Casa independiente,independantHouse,1070000.0,58000.0,5.0,
108575484,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/1a/59/1271251003.webp,PR-C-647@Tipo02,20,7,581000.0,flat,sale,133.0,True,3,2,"calle la Escuela de Vallecas, 58",Madrid,Madrid,Villa de Vallecas,es,Ensanche de Vallecas - La Gavia,40.3574852,-3.5910795,True,https://www.idealista.com/obra-nueva/108575484/,"Viviendas de 2 y 3 dormitorios en urbanización ajardinada con piscina, zonas de juegos infantiles, sala fitness y espacio reservado para bicicletas. Trastero y plazas de garaje. En el nuevo barrio del Ensanche de Vallecas al sureste de la ciudad. La zona tendrá más de 7 millones de m² de zonas verdes, que formarán parte del nuevo bosque metropolitano. A 10 minutos de Atocha, contará con todos los servicios y se facilitará la movilidad sostenible. La zona donde se ubica la promoción está en pleno crecimiento, con zona de restaurantes, supermercados, colegios, gasolineras, farmacias, líneas de autobús y boca de metro.",False,newdevelopment,True,True,False,4368.0,True,False,False,False,[],False,False,581000.0,€,True,True,flat,"Ensanche de Vallecas - La Gavia, Madrid","Piso en calle la Escuela de Vallecas, 58",,,,,
108238643,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/11/bc/6d/1338089763.webp,33,17,1,153700.0,studio,sale,38.0,True,0,1,"avenida Cerro del Águila, 1",Madrid,San Sebastián de los Reyes,Pol. Industrial sur,es,,40.5467441,-3.6134149,True,https://www.idealista.com/obra-nueva/108238643/,"CDA1 Urban Spaces: Innovación, flexibilidad y rentabilidad en el corazón empresarial del norte de Madrid. Desde GILMAR presentamos en exclusiva un magnífico edificio donde se está desarrollando una promoción con 64 espacios de oficina, tipo loft, ubicado en la calle Cerro del Águila, 1 de San Sebastián de los Reyes de Madrid, estratégica ubicación cercana a IKEA y al centro comercial Plaza Norte, una de las mayores zonas comerciales de la zona norte de Madrid, y con acceso directo desde la A1. El edificio cuenta con una entrada amplia y representativa, se desarrolla en tres plantas, baja, primera, segunda y un roof top en la azotea que dispone de unas magníficas vistas, área de entrenamiento, barbacoas, y zona de relax y chill. Estos espacios de oficina (lofts) están diseñados para un uso muy versátil y flexible, cuentan con unas buenas calidades constructivas, cocina amueblada, techos altos, los de planta baja con un espacio de doble altura y la mayoría de las unidades de planta primera y segunda disponen de una agradable terraza. Además, todos los despachos dispondrán de plaza de garaje en el mismo edificio. Este es un producto ideal tanto para inversores como para usuarios finales, autónomos, pequeños empresarios que quieran compaginar su vida personal y profesional en un espació moderno y agradable perfectamente comunicado y equipado.  La entrega está prevista para final de 2025.",False,newdevelopment,True,True,False,4045.0,True,False,False,False,[],False,False,153700.0,€,True,True,flat,"Pol. Industrial sur, San Sebastián de los Reyes","Estudio en avenida Cerro del Águila, 1",studio,,,,
