propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,hasLift,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
105677682,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cb/1a/e2/1259663761.webp,ONM2407006-11,25,1790000.0,chalet,sale,525.0,5,6,"avenida de Atenas, 45",Madrid,Las Rozas de Madrid,El Pinar- Punta Galea,es,El Pinar- Punta Galea,40.5303313,-3.9105679,True,https://www.idealista.com/obra-nueva/105677682/,"Un lugar privilegiado para vivir Bienvenido a Villa Licabeto, un exclusivo residencial en la Avenida de Atenas, situado en El Cantizal, Las Rozas de Madrid.  Espacios Amplios y Privados Ofrecemos 14 viviendas independientes, ubicadas en generosas parcelas privadas que varían entre 565 y 1.000 m². Cada vivienda, con superficies construidas desde 590 m² hasta 695 m², está diseñada para ofrecer el máximo confort y privacidad. Sostenibilidad y Ahorro Energético Villa Licabeto no solo ofrece lujo y exclusividad, sino también innovación y sostenibilidad. Nuestras villas generan su propia energía verde gracias a las placas solares y sistemas de geotermia, garantizando un ahorro desde el primer día y un consumo energético mínimo. Personalización Total Tu hogar, a tu manera. En Villa Licabeto, puedes personalizar cada detalle de tu vivienda: elige el número de habitaciones, la ubicación de la cocina, el uso del sótano, así como los suelos, puertas, alicatados, pintura, sanitarios y griferías. Cada villa es un reflejo único de tu estilo y necesidades. Asesoramiento Personalizado Sin Coste Adicional Desde el primer día, contarás con la orientación de un arquitecto y un decorador que te ayudarán a diseñar el interior de tu hogar, asegurando que cada detalle esté a la altura de tus expectativas. ¿Te imaginas vivir aquí?",False,newdevelopment,True,False,3410.0,True,False,False,False,[],False,False,1790000.0,€,True,True,chalet,independantHouse,"El Pinar- Punta Galea, Las Rozas de Madrid","Casa independiente en avenida de Atenas, 45",,,,,,,
98977350,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/97/f1/1134515255.webp,530094,26,6300000.0,flat,sale,377.0,4,5,calle de Miguel Ángel,Madrid,Madrid,Chamberí,es,Almagro,40.4375015,-3.6902209,False,https://www.idealista.com/inmueble/98977350/,"Ana Bareño de GV | ALMAGRO comercializa el siguiente inmueble: Espectacular piso de 377 metros cuadrados en una de las calles más emblemáticas del Barrio de Almagro. Se trata de una vivienda señorial que ha sido totalmente reformada con las más altas calidades del mercado combinando perfectamente la más moderna funcionalidad con el lujo y la elegancia de las viviendas de época. Impresionante zona de recibo con gran hall de entrada. Cabe destacar la amplitud de sus estancias, los altos techos con molduras y los magnificos acabados de sus maderas. En un precioso edificio clásico con gran portal y portero físico. Dispone de cochera individual. Ideal para entrar a vivir en una casa de elegancia exquisita, con todo lujo de detalles y situada en una de las zonas más cotizadas y demandadas de Madrid.  Distribución: Hall de entrada. Aseo de visitas. Salón. Comedor. Cuarto de dormir principal con cuarto de estar, vestidor y cuarto de baño en suite. Dos cuartos de dormir con cuarto de baño en suite. Cocina. Cuarto de lavado. Habitación de servicio con cuarto de baño. Plaza de garaje. Trastero. Esta información no tiene Carácter contractual. Un porcentaje importante de nuestros inmuebles no aparecen publicados en idealista por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.",True,good,False,,16711.0,True,False,False,False,[],False,False,6300000.0,€,True,True,flat,,"Almagro, Madrid",Piso en calle de Miguel Ángel,2,True,True,,,,
107486846,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/20/17/1314071510.webp,100009,37,3500000.0,chalet,sale,770.0,6,6,Aguila,Madrid,Ciudalcampo,,es,,40.6214779,-3.6132175,False,https://www.idealista.com/inmueble/107486846/,"Cristina Torras de GV | CIUDALCAMPO comercializa el siguiente inmueble: Espectacular vivienda, ubicada en la exclusiva urbanización de Ciudalcampo. La urbanización cuenta con un sistema de cámaras y vallado perimetral, así como con servicio de seguridad 24 horas y ofrece mucha intimidad, lo que garantiza la privacidad de sus residentes.  Cuenta con una parcela de 3.550 metros cuadrados y una construcción de 770 metros cuadrados. Su interior ofrece amplios espacios, así como una distribución donde el diseño es el gran protagonista.  La vivienda cuenta con seis dormitorios y seis cuartos de baño.  Su exterior tiene una moderna piscina con agua salada.   Toda la vivienda está pensada con excelentes calidades y todo materiales de primera calidad, todo pensado al más mínimo detalle. Toda la vivienda está domotizada, aerotermia con suelo radiante frío/calor. Cuenta con electrodomésticos de alta gama Gaggenau. Dentro de la urbanización se encuentra el Club RACE y su campo de golf de 18 hoyos, hípica, piscina, tenis, pádel, fútbol, gimnasio zona con piscina de bolas y unos grandes jardines con columpios y mesas de picnic ideales para celebrar fiestas infantiles. **Ciudalcampo dispone además de una línea de minibuses internos que recorren toda la urbanización. A 10 min, encontramos el Hospital público de la Seguridad Social Infanta Sofía, construido recientemente y con todas las especialidades. Distribución:  PLANTA PRINCIPAL: Hall de entrada, cuarto de baño de invitados, salón comedor con diferentes ambientes, gran cocina con zona de office, despensa y dormitorio de servicio, despacho y dormitorio de invitados con baño completo. PRIMERA PLANTA 4 cuartos de dormir con 3 baños. ( El dormitorio principal cuenta con su baño en suite y gran vestidor) PLANTA BAJA: Garaje muy grande, bodega, cuarto con posibilidad de distintos usos ( ideal para cine y/o gimnasio) cuarto de instalaciones y zona de almacenaje. Un porcentaje importante de nuestros inmuebles no aparecen publicados en idealista por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.",False,good,False,,4545.0,True,False,False,False,[],False,False,3500000.0,€,True,True,chalet,independantHouse,Ciudalcampo,Casa independiente en Aguila,,,,,,,
108568619,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c8/0b/75/1355214493.webp,,42,3200000.0,flat,sale,438.0,5,4,calle Mayor,Madrid,Madrid,Centro,es,Sol,40.4152047,-3.7076868,False,https://www.idealista.com/inmueble/108568619/,"EMMANUEL INTEGRA OFRECE!  EXCLUSIVA VIVIENDA EN EL CORAZÓN DE MADRID! **Exclusiva vivienda de lujo en un edificio con historia y carácter en el corazón de Madrid** Ubicada en el emblemático edificio modernista de *La Colonial*, en la Calle Mayor 16, esta extraordinaria propiedad se sitúa a escasos metros de la Real Casa de Correos y del icónico reloj de la Puerta del Sol, en uno de los enclaves más representativos de la capital. Tras su imponente fachada de 1909 —obra de Miguel Mathet y Coloma y su hijo Pedro Mathet y Rodríguez—, se esconde una joya arquitectónica repleta de detalles que evocan el esplendor del modernismo madrileño de principios del siglo XX. El portal, con suelos y zócalos de mármol, las espectaculares vidrieras con motivos florales de la firma Maumejean o la majestuosa escalera con barandilla forjada que abraza al ascensor original —uno de los más antiguos de Madrid, diseñado por el ingeniero Jacobo Schneider—, son solo algunos de los elementos que hacen de este edificio una pieza única y protegida del patrimonio arquitectónico de la ciudad. Situada en la quinta planta, esta luminosa vivienda ofrece **436 m² construidos (380 m² útiles)** distribuidos de manera armoniosa en torno a un amplio patio central, con una galería acristalada que conecta la zona delantera y trasera del piso, facilitando una circulación interior cómoda y fluida. **Distribución: ** * Dormitorio principal con salón privado, chimenea, balcón y baño en suite * Tres amplios dormitorios adicionales * Despacho independiente con salón privado y chimenea * Dos elegantes salones de recepción * Espacioso hall distribuidor en la entrada principal * Dos baños completos y un aseo de cortesía (además del baño en suite) * Cocina con despensa * Dos accesos independientes a la vivienda Déjese seducir por esta vivienda irrepetible, donde el lujo, la historia y la ubicación se combinan en perfecta armonía. **Información adicional: ** * Posibilidad de adquirir plaza de garaje en las inmediaciones * Edificio con protección integral * Calefacción central * Inspección Técnica de Edificios (ITE/IEE) favorable vigente hasta 2030 Contáctenos para conocer todos los detalles de esta singular propiedad. Estaremos encantados de atenderle personalmente.",False,good,False,,7306.0,True,False,False,False,[],False,False,3200000.0,€,,,flat,,"Sol, Madrid",Piso en calle Mayor,5,True,True,,,,
107515966,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/12/e4/ef/1327798754.webp,5-A,10,693700.0,flat,sale,103.0,2,2,"calle Alejandro Ferrant, 26",Madrid,Madrid,Arganzuela,es,Delicias,40.3948864,-3.6918765,True,https://www.idealista.com/obra-nueva/107515966/,"QUEDAN DISPONIBLES 7 DE LAS 12 VIVIENDAS DE LA PROMOCIÓN CALLE ALEJANDRO FERRANT 26 ENTREGA EN SEPTIEMBRE DE 2025 Ubicación excelente, conectividad inmejorable y un diseño moderno en pleno corazón de Madrid. En una cuidada y tranquila calle del Barrio de Delicias, en el distrito de Arganzuela, se encuentra Alejandro Ferrant 26. Una promoción de obra nueva con solo 12 viviendas, que combina diseño contemporáneo, eficiencia energética y una ubicación excelente para quienes buscan calidad de vida en Madrid. Alejandro Ferrant 26 es un edificio de nueva construcción con una fachada moderna, marcada por líneas rectas en la destacan los cristales, presentes en los grandes ventanales y las barandillas. Una estilizada palillería oculta los tendederos ventilados a la fachada. Materiales actuales le aportan una estética limpia, atemporal y de fácil mantenimiento. ESPACIOS BIEN PENSADOS EN UNA UBICACIÓN INMEJORABLE - Espacios luminosos - Arquitectura que optimiza los espacios - Distribuciones que maximizan el uso del espacio, ofreciendo estancias bien logradas, cómodas, funcionales y con abundante luz natural y ventilación cruzada - Viviendas exteriores en todas sus estancias, lo que permite que la luz natural inunde cada espacio, aportando calidez a los hogares y un continuo disfrute del maravilloso cielo de Madrid. - Terrazas para el disfrute del cielo y el sol. Cada vivienda cuenta con un espacio exterior ideal para disfrutar del aire libre, tener plantas, tomar una copa, leer un libro. Disfrutar de momentos, sin ruidos ni tráfico en una calle tranquila y silenciosa. Comodidades adicionales: - Tendederos independientes, equipados con lavadora y secadora, un espacio de lavandería práctico y bien concebido. - La mayoría de las viviendas cuentan con trastero, un valioso desahogo para guardar ropa de temporada, gadgets y otros objetos, sin renunciar al espacio en casa. - Piscina comunitaria, perfecta para refrescarse durante el verano. - Sistema de climatización por suelo radiante/refrigerante y paneles solares para una climatización confortable y sostenible, además de un invaluable ahorro en tus facturas. CONECTIVIDAD Y UBICACIÓN - Una atractiva combinación de calidad de vida y buena conectividad. - Conexión directa con el resto de Madrid: - A pocos minutos de tres estaciones de metro y una de Cercanías y varias líneas de autobús, estarás perfectamente comunicado con el centro y otras zonas de la ciudad. - Ocio y naturaleza a un paso: Muy próximo a espacios verdes emblemáticos como Madrid Río y el parque Enrique Tierno Galván y el Planetario. Además, la zona ofrece una interesante oferta cultural y de ocio con lugares como el centro internacional de cultura y de creación artística “Matadero” o el centro comercial Plaza Río, donde encontrar todo tipo de tiendas, restaurantes y entretenimiento. - Ubicación privilegiada dentro de Delicias: Siendo Delicias un barrio concurrido y dinámico, ALEJANDRO FERRANT 26 se encuentra en una tranquila y cuidada calle exclusivamente residencial y con solo dos edificios, utilizada únicamente por los residentes y visitantes. Esto permite ofrecer un ambiente sosegado, alejado del ruido habitual de la zona, y a la vez muy cerca de todos los servicios necesarios. UNA INVERSIÓN QUE CRECE CONTIGO La zona de Delicias y Arganzuela está viviendo un proceso de modernización y trasformación, impulsado por un creciente interés en el área, lo que asegura una revalorización de tu propiedad. La proximidad a proyectos de renovación y mejoras urbanísticas en Delicias y, en general, en Arganzuela, incrementará el valor de tu inmueble a mediano plazo. Alejandro Ferrant 26 es, en definitiva, una fantástica oportunidad de vivir en una promoción de calidad, con diseño, comodidad y una ubicación estratégica, con la certeza de estar adquiriendo una propiedad que ganará valor.",True,,True,False,6735.0,True,False,False,False,[],False,False,693700.0,€,True,False,flat,,"Delicias, Madrid","Piso en calle Alejandro Ferrant, 26",5,True,True,25000.0,,,
108882547,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/78/2e/1357844415.webp,,13,260000.0,flat,sale,70.0,1,1,"calle de los Depósitos, 13",Madrid,Getafe,Universidad,es,,40.3132282,-3.725844,True,https://www.idealista.com/obra-nueva/108882547/,"Viviendas de obra nueva en el corazón de Getafe - Diseño, calidad y confort al alcance de tu vida. Descubre Residencial Carlos III, una exclusiva promoción de obra nueva situada en la calle Depósitos 13, en pleno centro de Getafe. Un proyecto moderno y eficiente que combina diseño contemporáneo, confort térmico y una ubicación privilegiada con todos los servicios al alcance. La promoción cuenta con viviendas de 1, 2 y 3 dormitorios, todas exteriores, con balcones y distribuciones funcionales que maximizan la luz natural y el aprovechamiento del espacio. Cada vivienda incluye plaza de garaje y trastero, con posibilidad de adquirir plazas adicionales. Entre sus características destacan: Climatización por aerotermia y calefacción por radiadores Suelos porcelánicos de imitación madera, armarios empotrados y carpintería blanca Baños de diseño moderno con equipamientos de alta gama Zonas comunes con materiales nobles y diseño cuidado Ubicado en una de las zonas más consolidadas de Getafe, estarás a un paso de supermercados, colegios, parques, centros de salud y universidades, como la UC3M. Además, disfrutarás de excelentes conexiones con Madrid y alrededores gracias a Cercanías, MetroSur, líneas de autobús y accesos directos a la A-42, M-45 y M-50. Posibilidad de financiación flexible adaptada a cada comprador. Entrega prevista: mayo de 2026. Una oportunidad única tanto para vivir como para invertir en una zona en plena proyección.",False,newdevelopment,True,False,3714.0,True,False,False,False,[],False,False,260000.0,€,True,True,flat,,"Universidad, Getafe","Piso en calle de los Depósitos, 13",bj,True,True,,,,
108913085,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/8e/90/1358752285.webp,4304,40,450000.0,flat,sale,50.0,1,1,calle de Atocha,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4122324,-3.7011763,False,https://www.idealista.com/inmueble/108913085/,"ALTOR ASESORES VENDE PISO CON PATIO/ TERRAZA COMUNITARIA EN VENTA EN PLENA CALLE ATOCHA CON LICENCIA TURÍSTICA EN VIGOR, RECIÉN REFORMADO EN 2022. Ubicado en una de las zonas más emblemáticas de la capital, este sofisticado apartamento se encuentra en la prestigiosa calle Atocha, a pocos minutos a pie de la estación homónima y rodeado de los principales puntos culturales y turísticos de la ciudad. Una dirección privilegiada que garantiza una alta demanda tanto turística como residencial.  El inmueble ha sido completamente reformado en 2022, combinando diseño contemporáneo con materiales de alta calidad. Cuenta con un dormitorio, un baño completo, una elegante cocina americana y un acogedor patio/terraza privado, ideal para disfrutar del aire libre con total intimidad. El apartamento dispone de licencia turística en vigor, lo que representa una excelente oportunidad de inversión, con una rentabilidad neta superior al 7% anual demostrada. Su ubicación es inmejorable: rodeado de museos, restaurantes, y con dos estaciones de metro prácticamente en la puerta, lo que facilita la conexión inmediata con el resto de la ciudad. Una propiedad que reúne ubicación, estilo y rentabilidad, perfecta tanto para inversores como para quienes buscan un exclusivo refugio urbano en el centro de Madrid.",False,good,False,,9000.0,False,False,False,False,[],False,False,450000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid",Piso en calle de Atocha,ss,False,False,,,,
108909803,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/e3/6b/1358796598.webp,25007,22,199000.0,flat,sale,51.0,1,1,travesía de Carabanchel,Madrid,Getafe,Universidad,es,,40.3114048,-3.7278733,False,https://www.idealista.com/inmueble/108909803/,"Ref. - 25007 Getafe, zona centro, piso para entrar a vivir. El piso aunque es interior es luminoso con 1 dormitorio con dos armario empotrado (dormitorio y salón). La cocina es americana con un mostrador grande que sirve de mesa, equipada con todo lo necesario. El baño amplio completo con una bañera grande. La puerta de entrada es blindada. Tiene un ascensor amplio en el que entra una silla de ruedas. El piso se reformó hace años de instalaciones de agua y luz. Está junto a varios mercados de alimentación, farmacias, paradas de autobús, a 10 minutos andando a la Renfe y del centro de salud y junto a la universidad. No deje de pasar esta GRAN OPORTUNIDAD, contacte con nosotros y le facilitaremos toda la información que desee. Todos estos datos son los indicados salvo error u omisión. Más información sin compromiso.",True,good,False,,3902.0,True,True,False,False,[],False,False,199000.0,€,,,flat,,"Universidad, Getafe",Piso en travesía de Carabanchel,1,False,True,,,,
108559887,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/9a/25/1348466518.webp,3,72,1380000.0,chalet,sale,290.0,4,5,"calle Hermanos San Román, 1",Madrid,Pozuelo de Alarcón,Zona norte,es,Zona norte,40.4492924,-3.8070703,True,https://www.idealista.com/obra-nueva/108559887/,"Extraordinarios chalets en urbanización cerrada Chalets pareados exclusivos con las mejores calidades y tecnología de vanguardia Vendemos 3 chalets pareados a estrenar en una de las zonas más cotizadas de Pozuelo de Alarcón. Viviendas unifamiliares de 290 m² construidos, sobre parcelas privadas de entre 140 y 190 m², diseñadas para ofrecer confort, eficiencia energética y estilo en cada detalle. Distribución: Planta baja: cocina completamente amueblada con encimera de Silestone Cosentino y electrodomésticos de primeras marcas, amplio salón-comedor con acceso al jardín y un baño completo. Primera planta: hasta 4 dormitorios, incluido el principal en suite, y 2 baños completos. Planta alta: espacio versátil con acceso a terraza, ideal como sala de estar, despacho o quinto dormitorio. Sótano: amplio espacio multiusos, zona de lavandería y cuarto de instalaciones. Calidades y equipamiento: Aislamiento constructivo de alta eficiencia Ventanas de doble acristalamiento Climalit y persianas motorizadas Suelos de gres porcelánico en cocina, baños, sótano y planta alta Tarima laminada de lama ancha en salón, vestíbulo y dormitorios Sistema de aerotermia DAIKIN para calefacción, refrigeración y agua caliente sanitaria Suelo radiante-refrescante en toda la vivienda con control independiente por estancias mediante cronotermostatos digitales programables Ventilación mecánica controlada de doble flujo con recuperador de calor, que garantiza una óptima calidad del aire interior, evitando contaminación, malos olores y alérgenos Urbanización cerrada con: Piscina comunitaria Plazas de aparcamiento privadas Entorno tranquilo y seguro Ubicación privilegiada: Situados en un enclave inmejorable de Pozuelo, rodeados de zonas verdes y parques, con fácil acceso a colegios de prestigio, transporte público (Cercanías y autobuses) y a solo 15 minutos del centro de Madrid. Una oportunidad única de vivir en una vivienda moderna, eficiente y bien comunicada. Solicita más información o concierta tu visita. ¡Tu nuevo hogar te espera! (Este anuncio no es vinculante y puede contener errores. Se muestra a título informativo y no es contractual).",False,newdevelopment,True,False,4759.0,True,False,False,False,[],False,False,1380000.0,€,True,True,chalet,semidetachedHouse,"Zona norte, Pozuelo de Alarcón","Chalet pareado en calle Hermanos San Román, 1",,,,,,,
108882576,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/78/2e/1357844415.webp,,13,379000.0,flat,sale,96.0,2,1,"calle de los Depósitos, 13",Madrid,Getafe,Universidad,es,,40.3132282,-3.725844,True,https://www.idealista.com/obra-nueva/108882576/,"Viviendas de obra nueva en el corazón de Getafe - Diseño, calidad y confort al alcance de tu vida. Descubre Residencial Carlos III, una exclusiva promoción de obra nueva situada en la calle Depósitos 13, en pleno centro de Getafe. Un proyecto moderno y eficiente que combina diseño contemporáneo, confort térmico y una ubicación privilegiada con todos los servicios al alcance. La promoción cuenta con viviendas de 1, 2 y 3 dormitorios, todas exteriores, con balcones y distribuciones funcionales que maximizan la luz natural y el aprovechamiento del espacio. Cada vivienda incluye plaza de garaje y trastero, con posibilidad de adquirir plazas adicionales. Entre sus características destacan: Climatización por aerotermia y calefacción por radiadores Suelos porcelánicos de imitación madera, armarios empotrados y carpintería blanca Baños de diseño moderno con equipamientos de alta gama Zonas comunes con materiales nobles y diseño cuidado Ubicado en una de las zonas más consolidadas de Getafe, estarás a un paso de supermercados, colegios, parques, centros de salud y universidades, como la UC3M. Además, disfrutarás de excelentes conexiones con Madrid y alrededores gracias a Cercanías, MetroSur, líneas de autobús y accesos directos a la A-42, M-45 y M-50. Posibilidad de financiación flexible adaptada a cada comprador. Entrega prevista: mayo de 2026. Una oportunidad única tanto para vivir como para invertir en una zona en plena proyección.",False,newdevelopment,True,False,3948.0,True,False,False,False,[],False,False,379000.0,€,True,True,flat,,"Universidad, Getafe","Piso en calle de los Depósitos, 13",2,True,True,,,,
