propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice
108748132,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/ae/bd/1354661146.webp,19,1,290000.0,flat,sale,102.0,True,3,1,calle de Ramón Luján,Madrid,Madrid,Usera,es,Moscardó,40.3876542,-3.7039081,False,https://www.idealista.com/inmueble/108748132/,"¡Oportunidad única en Usera! Este amplio piso de 102 m² construidos incluido un trastero, la vivienda tiene unos 80m2 construidos, es ideal para quienes buscan un hogar que puedan personalizar a su gusto. Con 3 dormitorios, un salón independiente que se abre a una terraza exterior y una cocina con otra terraza, este espacio ofrece múltiples posibilidades para crear el hogar de tus sueños. Aunque necesita reforma, su luminosidad y distribución hacen que valga la pena cada esfuerzo. Ubicado en una primera planta exterior, el piso cuenta con una excelente orientación Este-Oeste, lo que garantiza luz natural durante todo el día. Además, su proximidad al metro de Usera (línea 6) y a diversos comercios lo convierten en una opción muy práctica para la vida diaria.  No dejes pasar esta oportunidad de invertir en un inmueble con tanto potencial. ¡Ven a verlo y comienza a imaginar cómo sería tu vida aquí!",False,renew,False,False,2843.0,False,False,True,False,[],False,False,290000.0,€,flat,"Moscardó, Madrid",Piso en calle de Ramón Luján,,,,,,,,,
108630868,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/63/53/10/1350462604.webp,21,1,196000.0,flat,sale,68.0,True,2,1,"calle Mejorana, 16",Madrid,Madrid,Puente de Vallecas,es,Entrevías,40.3847111,-3.6724531,True,https://www.idealista.com/obra-nueva/108630868/,"Descubre Balcones de Entrevías: Modernidad y Calidad en Entrevías. En DMARCHEE, expertos en promoción inmobiliaria y gestión de cooperativas, presentamos Balcones de Entrevías, un proyecto único en el corazón del barrio de Entrevías, distrito Puente de Vallecas, Madrid. Este desarrollo destaca por su diseño contemporáneo, orientación privilegiada y su compromiso con la calidad de vida de sus residentes. El Proyecto Balcones de Entrevías está diseñado para quienes valoran la exclusividad y la funcionalidad en un entorno urbano. El edificio, orientado al este, ofrece una excelente iluminación natural y vistas despejadas. Consta de: •13 viviendas, de las cuales 3 son de 1 dormitorio, y 10 de 2 dormitorios, todas con trastero incluido, diseñadas con distribución eficiente. •2 espectaculares áticos de 2 dormitorios, que destacan por sus amplias terrazas y vistas privilegiadas, pensados para quienes buscan algo más que un hogar. Los acabados modernos y los materiales de alta calidad convierten cada vivienda en un espacio funcional, elegante y acogedor. La Zona: Entrevias y Puente de Vallecas. Situado en una zona de gran dinamismo y transformación, Balcones de Entrevías se beneficia de una ubicación estratégica con excelentes conexiones al centro de Madrid, a la M-30 y a la A 4. El barrio cuenta con una amplia oferta de servicios: colegios, centros de salud, comercios y parques recientemente renovados. Entrevías es un área que combina tradición y modernidad, con proyectos urbanos que han mejorado su calidad de vida, haciendo de este barrio una apuesta segura para el presente y el futuro. Para más información, no dudes en contactarnos. En DMARCHEE estamos comprometidos en ayudarte a construir tu futuro.",False,newdevelopment,True,True,2882.0,True,False,False,False,[],False,False,196000.0,€,flat,"Entrevías, Madrid","Piso en calle Mejorana, 16",1B,False,202000.0,6000.0,3.0,,,,
106561542,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c0/68/04/1286838093.webp,43,,354900.0,chalet,sale,220.0,,5,3,"Batres, 20",Madrid,Cubas de la Sagra,,es,,40.1922712,-3.8404876,True,https://www.idealista.com/obra-nueva/106561542/,"HOGARES - AGENCIA INMOBILIARIA DE GRIÑON pone a su disposición un nuevo proyecto residencial de viviendas pareadas. 16 chalets distribuidos en planta con semisótano terminado que ofrece 216m2 útiles en parcela de 300 m2. Ubicadas en Cubas de la Sagra, cercano a todos los servicios básicos. Un diseño único, creado a petición de números clientes, pensando en la comodidad de los suyos y sacar el máximo partido a todos sus espacios. *Abierto a personalización y ampliaciones en la vivienda. Vivienda eficiente; equipada con placas solares y aerotermia mediante suelo radiante/refrescante. Compuesta por 5 dormitorios y 1 baños, se distribuye en; - Hall de entrada, cocina, salón-comedor, patio de luz interior, 2 baños completos y 3 dormitorios. -Sótano con espacio para dos vehículos, cuarto de baño completo y 2 dormitorios.  -Aparcamiento exterior para varios vehículos con adaptador carga eléctrica, sistema de recogida y reciclaje de aguas pluviales. Entrega en un plazo máximo de 12 meses. INICIO DE OBRA INMEDIATO. *Aprovecha nuestros servicios FINANCIEROS exclusivos y realiza un estudio personalizado. Gracias a nuestras condiciones, conseguimos la mejor financiación para su vivienda. Visite nuestra oficina en c/ Juan Carlos I nº2, Griñón (Madrid) para más información. Realizamos todas las gestiones a su medida, para la COMPRA-VENTA-ALQUILER de su actual o futuro Hogar.",True,newdevelopment,True,,1613.0,True,False,False,False,[],False,False,354900.0,€,chalet,Cubas de la Sagra,"Chalet pareado en Batres, 20",,False,,,,True,True,semidetachedHouse,
104164984,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/af/3d/45/1094358688.webp,19,3,225347.0,flat,sale,100.0,True,3,2," Estrella Polar, 601",Madrid,Parla,Parla Este,es,,40.2303799,-3.74966,True,https://www.idealista.com/obra-nueva/104164984/,"Terraza de 6,72 m2 LAS TERRAZAS DE PARLA. Viviendas con Protección Pública de Precio Limitado (VPPL) en COOPERATIVA (promueve: ALAMEDA PLAZA, S. COOP. ), en Parla Este (Madrid). - 162 viviendas de 2 y 3 dormitorios, CON TERRAZA, trastero y plaza de garaje. - Urbanización privada con piscina, jardines, sala comunitaria y locales comerciales. - Situación: SUELO EN PROPIEDAD - Parla Este (Madrid). Parcela O-6, delimitada por la Calle Constelación Andrómeda, Calle Osa Mayor, Calle Estrella Polar y Paseo República Dominicana. - Próxima Licencia de Obra. Calificación Provisional concedida. - Financiación prevista: hasta el 80% - Financia BBVA - Entrega estimada: 2027 (dependiendo del inicio de la obra). - Personalización de Espacios con Elección de Acabados.",False,newdevelopment,True,True,2253.0,True,False,False,False,[],False,False,225347.0,€,flat,"Parla Este, Parla","Piso en  Estrella Polar, 601",COOP-832@V02-3ª Pl.,False,,,,True,True,,
101255072,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/d3/66/1117065735.webp,26,bj,229000.0,flat,sale,55.0,True,2,1,calle de San Venancio,Madrid,Madrid,San Blas,es,Canillejas,40.4479974,-3.6071017,False,https://www.idealista.com/inmueble/101255072/,"Estupenda vivienda de 50 m² y con un jardín de 55 m² aproximadamente. 2 Dormitorios, el principal incluye vestidor. Cocina independiente. Baño con plato de ducha. Hall de entrada. Calefacción por gas natural. Tarima.  Paredes alisadas, ventanas de Climalit. Toldo en el jardín. Muy buen estado. Excelente comunicación, a 5 minutos andando del metro de Canillejas, muy buena comunicación con la autopista A-2 y M-40. Zona dotada con todos los servicios, colegios, institutos, mercado, etc…  Muy cercano al centro comercial Plenilunio, al parque de las Naciones, parque del Capricho y al estadio de la Peineta. A 2 minutos del carril bici que rodea todo Madrid. A 10 minutos andando de estadio Metropolitano.",False,good,False,True,4164.0,False,False,False,False,[],False,False,229000.0,€,flat,"Canillejas, Madrid",Piso en calle de San Venancio,V-0305,,,,,,,,
108681047,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/31/8a/91/1351962441.webp,17,,1039000.0,chalet,sale,307.0,,4,4,J. Carlos Ureta Saorín s/n,Madrid,Torrelodones,Las Marías,es,,40.5725118,-3.9401607,True,https://www.idealista.com/obra-nueva/108681047/,"LICENCIA CONCEDIDA, INICIO DE OBRA PREVISTO MAYO 2025. Descubre Agara, el nuevo proyecto de Circular Homes en el exclusivo enclave de Las Marías, Torrelodones. Estas 14 viviendas unifamiliares de 4 y 5 dormitorios, con piscina y jardín privado de más de 400 m2 ofrecen la oportunidad de disfrutar de vistas impresionantes hacia la majestuosa sierra gracias a su ubicación privilegiada en la cota más elevada del nuevo ámbito. Además, su lindero con el bosque protegido y no urbanizable garantiza un entorno natural excepcional que promueve la tranquilidad y el bienestar. Su diseño lleva la firma de Burgos&Garrido, autores de proyectos tan reconocidos y premiados internacionalmente como Madrid Río. La imagen de las viviendas es el resultado de una arquitectura sofisticadamente sobria, intemporal, de espacios interiores y paisajismo muy elaborados que se ponen al servicio de una vida confortable y plena, en la que caben serenos rincones íntimos, grandes terrazas y vivos espacios sociales. Las estancias de la casa se ordenan en tres piezas dispuestas para captar simultáneamente el sol y enmarcar las privilegiadas vistas próximas y lejanas.    Estos hogares han sido concebidos bajo los principios de la economía circular. Su construcción busca reducir la huella hídrica, y hace un uso responsable de la energía. Se pretende eliminar la toxicidad de los materiales utilizados y las técnicas de construcción procuran la circularidad y minimizan el consumo de recursos fósiles, tanto en el proceso constructivo como en el uso diario de la vivienda. Sus orientaciones, protecciones solares adecuadas y un sistema de aislamientos y de instalaciones altamente eficaz, hacen de estas viviendas hábitats sostenibles y cuidan la salud de quienes las habitan.   Su ubicación estratégica te permite disfrutar de lo mejor de dos mundos: a tan solo 20 minutos tanto de la ciudad de Madrid como de las verdes montañas de la sierra. Todo ello, disponiendo de los abundantes servicios del municipio de Torrelodones al alcance tu mano. Agara se erige como el lugar ideal para aquellos que buscan una combinación perfecta entre la comodidad urbana y la belleza natural.",True,newdevelopment,True,,3384.0,True,False,False,False,[],False,False,1039000.0,€,chalet,"Las Marías, Torrelodones",Chalet pareado en J. Carlos Ureta Saorín s/n,V03,False,,,,True,True,semidetachedHouse,
108306094,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/df/18/cf/1340297551.webp,26,,1490000.0,chalet,sale,371.0,,4,4,"calle Duero, 1",Madrid,Pozuelo de Alarcón,Zona Estación,es,Zona Estación,40.4505302,-3.8015875,True,https://www.idealista.com/obra-nueva/108306094/,"NUEVA PROMOCIÓN DE VIVIENDAS UNIFAMILIARES EN POZUELO (MADRID)  Situada en la calle Duero 1 y Duero 4, esta promoción consta de 6 viviendas unifamiliares, que combinan lujo, alta eficiencia energética y materiales de gran calidad, diseñadas para aquellas familias que buscan una gran calidad de vida y un entorno exclusivo en una de las zonas residenciales más valoradas de la Comunidad de Madrid como es POZUELO DE ALARCÓN.  Villas y Jardines de Duero, ofrece el privilegio de vivir en una vivienda singular, de arquitectura sostenible, líneas simples, y volumetría de diseño minimalista, que crea espacios acogedores, cálidos y luminoso.  Las viviendas disponen de 3 y 4 dormitorios con jardín y piscina privada, en un entorno tranquilo.  Cada una de estas casas es única, todas se distribuyen en dos alturas y cuentan con una amplísima planta bajo rasante totalmente equipada, versátil y multifuncional con patios ingleses que permiten una ventilación natural y la dotan de gran luminosidad.  Sus distribuciones han sido diseñadas hasta el último detalle proporcionando el máximo aprovechamiento del espacio, confort y gran luminosidad. Los grandes ventanales previstos en las plantas bajas hacen que sus estancias se asomen al exterior, prolongándose hasta el jardín y la piscina, creando una sensación aún mayor de amplitud, fundiéndose con la naturaleza.  La promoción está localizada en la calle Duero 1 y Duero 4, en un enclave privilegiado que cuenta con parques, zonas verdes, zonas deportivas, y colegios de gran prestigio. Es un entorno familiar y tranquilo, que cuenta con todos los servicios necesarios alrededor, y con una excelente comunicación, ya sea en transporte público como autobús o cercanías, o por su fácil acceso a carreteras principales como la A-6, M-40, o M-30. Concierta una visita para ampliar la información en nuestras oficinas centrales en la Calle Alcalá 96, 5º Derecha, frente al Corte Inglés de Goya.",False,newdevelopment,True,,4016.0,True,False,False,False,[],False,False,1490000.0,€,chalet,"Zona Estación, Pozuelo de Alarcón","Chalet pareado en calle Duero, 1",a01Jy00000jvuWeIAI,False,,,,True,True,semidetachedHouse,
108927540,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/87/b9/1359195865.webp,23,2,170000.0,studio,sale,47.0,True,0,1,Casco Antiguo,Madrid,Galapagar,Casco Antiguo,es,,40.5770367,-4.0028373,False,https://www.idealista.com/inmueble/108927540/,"¡Descubre este espectacular estudio en venta en el corazón de Galapagar! Construido en 2024, este moderno espacio ofrece un diseño funcional y elegante. Salón, con cocina y dormitorio en la misma estancia. Baño, independiente, con un plato de ducha y mampara que aporta comodidad y estilo. Ubicado en una urbanización cerrada, este estudio no solo garantiza seguridad, sino también acceso a fantásticas zonas comunes, como una piscina y parque infantil. Además, se incluye una plaza de garaje y un trastero en el precio, brindando aún más comodidad. Con un sistema de aerotermia y suelo radiante, la calefacción es eficiente y acogedora durante todo el año. Este inmueble está adaptado para personas con movilidad reducida, asegurando que todos puedan disfrutar de sus ventajas. La orientación sur y este permite que la luz natural inunde el espacio, creando un ambiente cálido y agradable. ¡No pierdas la oportunidad de vivir en este maravilloso estudio que combina modernidad, confort y accesibilidad en una ubicación inmejorable! Con cita previa.",False,good,False,True,3617.0,False,False,False,False,[],False,False,170000.0,€,flat,"Casco Antiguo, Galapagar",Estudio,1305,,,,,True,True,studio,
106588391,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/33/0a/0c/1307268740.webp,49,1,750000.0,flat,sale,125.0,True,2,2,plaza de la Cruz Verde,Madrid,Madrid,Centro,es,Palacio,40.4135642,-3.7133601,False,https://www.idealista.com/inmueble/106588391/,"Bienvenido a este encantador apartamento en Palacio, Centro, Madrid. Con 125 m², esta propiedad ofrece un espacio generoso y bien distribuido.  Cuenta con 2 dormitorios y 2 baños, ideal para una familia o para compartir. El apartamento se encuentra en buen estado y forma parte de un edificio clásico que cuenta con ascensor, combinando el encanto tradicional con la comodidad moderna. Disfrute de los días soleados en su balcón privado y manténgase cómodo durante todo el año, gracias al aire acondicionado en verano y la calefacción eléctrica o de gas en invierno. Este apartamento es una oportunidad única para vivir en pleno centro de Madrid, rodeado de historia, cultura y todos los servicios que la ciudad ofrece. Palacio es un barrio histórico y emblemático situado en el distrito Centro de Madrid. Hogar de monumentos icónicos como el Palacio Real, la Catedral de la Almudena y la Plaza de Oriente, combina historia, cultura y un ambiente único. Sus calles adoquinadas, como las de la Plaza de la Villa o el Viaducto de Segovia, ofrecen un viaje al pasado, mientras que su oferta de restaurantes, teatros y tiendas modernas garantiza una experiencia vibrante. Con excelentes conexiones de transporte público y cercanía a zonas como La Latina y Ópera, Palacio es ideal para quienes buscan vivir en un entorno cultural privilegiado en el corazón de Madrid. Perfecto para quienes buscan comodidad, estilo y una ubicación inmejorable. ¡No dejes pasar la oportunidad de convertir este espacio en tu nuevo hogar!",True,good,False,True,6000.0,True,True,False,False,[],False,False,750000.0,€,flat,"Palacio, Madrid",Piso en plaza de la Cruz Verde,12139c61-8688-4ab3-9ebd-444a61e1296b,,780000.0,30000.0,4.0,,,,
108119096,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c4/2e/f8/1334411829.webp,19,1,231000.0,flat,sale,68.0,True,2,1,"calle Gonzalez Soto, 21",Madrid,Madrid,Puente de Vallecas,es,Numancia,40.4004395,-3.6630289,True,https://www.idealista.com/obra-nueva/108119096/,"Descubre Vallecas III: Modernidad, Luz y Exclusividad en Puente de Vallecas. En DMARCHEE, expertos en promoción inmobiliaria y gestión de cooperativas, presentamos Vallecas III, un proyecto único en el corazón del barrio de Numancia, distrito Puente de Vallecas, Madrid. Este desarrollo destaca por su diseño contemporáneo, orientación privilegiada y su compromiso con la calidad de vida de sus residentes. El Proyecto Vallecas III está diseñado para quienes valoran la exclusividad y la funcionalidad en un entorno urbano. El edificio, orientado al sur, ofrece una excelente iluminación natural y vistas despejadas. Consta de: •7 viviendas de 2 dormitorios, diseñadas con distribución eficiente, ideales para parejas o familias. •2 espectaculares áticos de 2 y 3 dormitorios, que destacan por sus amplias terrazas y vistas privilegiadas, pensados para quienes buscan algo más que un hogar. •14 plazas de garaje, garantizando comodidad y seguridad para los residentes. Los acabados modernos y los materiales de alta calidad convierten cada vivienda en un espacio funcional, elegante y acogedor. La Zona: Numancia y Puente de Vallecas Situado en una zona de gran dinamismo y transformación, Vallecas III se beneficia de una ubicación estratégica con excelentes conexiones al centro de Madrid y a la M-30. El barrio cuenta con una amplia oferta de servicios: colegios, centros de salud, comercios y parques recientemente renovados. Numancia es un área que combina tradición y modernidad, con proyectos urbanos que han mejorado su calidad de vida, haciendo de este barrio una apuesta segura para el presente y el futuro. Ventajas de Vivir en Vallecas III •Orientación sur y espacios luminosos, maximizando el confort y la eficiencia energética. •Viviendas exclusivas en un edificio boutique que garantiza privacidad y tranquilidad. •Zona en constante crecimiento, ideal para quienes buscan un entorno con proyección y un valor añadido a su inversión. •Excelente conectividad con transporte público (metro y autobuses) y vías principales, para moverse fácilmente por la ciudad. En Vallecas III no solo encontrarás un hogar, sino una forma de vida que combina calidad, comodidad y un entorno en plena evolución. ¡Ven y descubre el lugar donde empieza tu nueva vida! Para más información, no dudes en contactarnos.  En DMARCHEE estamos comprometidos en ayudarte a construir tu futuro.",False,newdevelopment,True,True,3397.0,True,False,False,False,[],False,False,231000.0,€,flat,"Numancia, Madrid","Piso en calle Gonzalez Soto, 21",1ºC,False,249000.0,18000.0,7.0,True,True,,
