propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,floor,exterior,neighborhood,hasLift,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108134484,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4b/e8/e1/1334896584.webp,60,2450000.0,chalet,sale,620.0,6,7,calle de la Generalitat Valenciana,Madrid,Boadilla del Monte,Valdecabañas,es,40.4388132,-3.8789508,False,https://www.idealista.com/inmueble/108134484/,"Agencia inmobiliaria en Boadilla del Monte INMOBILIARIA HOGARES BOADILLA DEL MONTE PRESENTA ESTE MODERNO Y ESPECTACULAR CHALET INDEPENDIENTE, EN LA URBANIZACIÓN DE VALDECABAÑAS. Espectacular vivienda independiente moderna y minimalista que destaca por sus espacios abiertos e integrados, con acabados de lujo y edificada por uno de los estudios de arquitectos más importantes del momento. Esta villa moderna destaca también por su imponente fachada de hormigón y acero corten, con líneas limpias y detalles minimalistas. La vivienda se distribuye de la siguiente forma: En la planta baja y entrando por su acceso principal, nos recibe un amplio vestíbulo con techos a doble altura y grandes ventanales que se ocultan totalmente en el interior de las paredes y que hacen que en época estival tanto el salón como la zona de jardín y piscina se integren en un mismo espacio. En esta planta encontramos espacio amplios y muy luminosos, cuenta con chimenea de gas y cocina americana que cuenta con placa eléctrica y tepanyaki. En esta misma planta, encontraremos también un aseo de cortesía, un fantástico dormitorio con baño en suite y otro dormitorio con grandes ventanales que actualmente se usa como cuarto de estudios. En la primera planta a la que se accede por una impresionante escalera metálica y acristalada, llegamos a la planta de descanso donde nos recibe un precioso espacio abierto desde donde podemos observar todo el salón de la planta principal. En esta planta nos encontramos con tres amplios dormitorios, todos ellos con baño en suite y vestidor, aportando calidez pero a la vez modernidad en su concepto. El dormitorio principal cuenta con un vestidor de más de 20m² y la zona de descanso y baño con más de 30m². La última planta o planta bajo rasante tiene una vitalidad y un concepto que sorprende por su luz natural y sus espacios abiertos. Al bajar las escaleras tenemos una zona destinada a lavandería y un dormitorio con baño en suite pensada para el servicio y con todas las comodidades. Destaca su patio inglés que aporta calidez y luminosidad a todo el espacio. En esta planta también encontramos un garaje de casi 100m² con capacidad para al menos cuatro vehículos. Al otro lado de esta misma planta encontramos una zona más privada y pensada para el ocio y disfrute de toda la familia y amigos, un salón con bar instalado donde encontramos grifo de cerveza, lavaplatos, fregadero, etc. y una espectacular sala de cine con proyector e insonorización que nos trasladará a las mejores salas de cine. Esta impresionante vivienda destaca por su maravilloso exterior, un jardín que nos ofrece unas dimensiones impresionantes y que a su vez nos aporta privacidad y confort. Encontramos una piscina de más de 15 metros de larga, con climatización que permite alargar la temporada de verano. La villa se ha dotado de las últimas tecnologías de climatización, como suelo radiante y refrigerante y con una gran eficiencia energética gracias a la geotermia (2 pozos) y placas solares. También dispone de domótica para controlar la iluminación, estores y acceso a la vivienda, zona de videovigilancia en las principales estancias y en el exterior con cámaras HD con visión nocturna y sensores de movimiento. Adicionalmente la vivienda dispone de una red de sonido Bosé en todas las estancias (interiores y exteriores). Además, la vivienda cuenta con techos muy altos de más de 3 metros y carpintería interior moderna que va de suelo a techo y luces led de ambiente tanto interiores como exteriores. Esta lujosa villa es única en Boadilla y se encuentra en una de las mejores zonas cercana a zonas comerciales, centros educativos de primer nivel y dispone de excelentes comunicaciones viarias y transporte público y centros sanitarios. ¡NO PIERDA LA OPORTUNIDAD DE VISITAR ESTE MARAVILLOSO INMUEBLE!",False,good,False,3952.0,True,False,False,False,[],False,False,2450000.0,€,True,True,chalet,independantHouse,"Valdecabañas, Boadilla del Monte",Casa independiente en calle de la Generalitat Valenciana,,,,,,,,,
108901174,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/6f/66/1358381885.webp,3,2650000.0,penthouse,sale,265.0,3,4,calle de García de Paredes,Madrid,Madrid,Chamberí,es,40.436684,-3.6992631,False,https://www.idealista.com/inmueble/108901174/,"Descubre este espectacular ático a reformar ubicado en una de las zonas más elegantes y codiciadas de Madrid: el barrio de Almagro. Se trata de una pieza única, ideal para quienes buscan una propiedad con carácter, luz, espacios exteriores y una base arquitectónica inmejorable para una reforma de lujo. � Características principales: Ático en finca señorial: edificio representativo, con fachada clásica y portal de gran presencia, perfectamente conservado. Techos altísimos que aportan una sensación de amplitud, elegancia y estilo inigualables. Varias terrazas privadas que rodean parte de la vivienda, con múltiples orientaciones: ideales para crear zonas de estar, jardines urbanos o espacios chill-out. Muy luminoso: gracias a su altura, múltiples ventanas y orientación privilegiada, la luz natural inunda todas las estancias durante todo el día. Distribución versátil y grandes posibilidades de reforma: planta con múltiples opciones para rediseñar una vivienda a medida, con espacios abiertos, cocina integrada o zonas independientes. Superficie generosa, ideal para diseñar una vivienda de alto nivel con varias habitaciones en suite, despacho, salón con salida directa a terraza, etc. Finca tranquila y bien mantenida, con pocos vecinos y ambiente residencial. � Ubicación excepcional – Barrio de Almagro Situado en una de las zonas más emblemáticas de la capital, Almagro es sinónimo de distinción, arquitectura histórica y exclusividad. Rodeado de embajadas, galerías de arte, boutiques de diseño, colegios internacionales y restaurantes de alta gama, ofrece una calidad de vida inmejorable, con excelente conexión al resto de la ciudad.",False,renew,False,10000.0,False,False,False,False,[],False,False,2650000.0,€,,,flat,penthouse,"Almagro, Madrid",Ático en calle de García de Paredes,2787,6,True,Almagro,False,,,,
108839102,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/7b/8c/1359011863.webp,30,259000.0,flat,sale,88.0,3,1,calle del Pilar,Madrid,Móstoles,Centro,es,40.319976,-3.8724433,False,https://www.idealista.com/inmueble/108839102/,"¡Luminoso piso exterior con 3 habitaciones y terraza en Calle del Pilar, Móstoles! Te presentamos esta acogedora vivienda de 83 m², ubicada en una cuarta planta (sin ascensor por el momento), ideal para quienes buscan luz natural, comodidad y una ubicación privilegiada con todos los servicios a mano. Totalmente exterior, con doble orientación (noroeste y sureste).  - Consta de salón independiente - 3 habitaciones (2 con armarios empotrados). - Cocina con balcón incorporado. - Baño reformado. - Terraza.  - Suelos de parquet y gres, calefacción individual por gas natural y ventanas dobles de aluminio. Gastos bajos: comunidad 50 €/mes (agua incluida). Ubicación ideal: •Metro Pradillo (L12) a 9 min andando •Renfe Móstoles Central (C-5) a menos de 17 min •Hospital Universitario a 12 min •Paradas de bus cercanas (519, 521, 526…) •Zonas verdes como Parque Finca Liana •Supermercados, colegios, bancos y farmacias en la zona ¡Lista para entrar a vivir! Contacta y agenda tu visita.",True,good,False,2943.0,True,True,False,False,[],False,False,259000.0,€,,,flat,,"Centro, Móstoles",Piso en calle del Pilar,e45bfb34-935e-432b-bd86-a5c2f38b1237,4,True,,False,,,,
108921261,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/13/a8/1358984984.webp,20,179500.0,flat,sale,60.0,2,1,calle de Getafe,Madrid,Madrid,Villaverde,es,40.3443525,-3.7067577,False,https://www.idealista.com/inmueble/108921261/,"Agente independiente pone a la venta vivienda compuesta por: Salón independiente, 2 dormitorios, cocina y baño. Ventanas de aluminio lacado en blanco con cristal climalit, suelos de tarima, calefacción por gas natural individual, aire acondicionado y puerta blindada. Situada en primera planta sin ascensor. Todos los servicios cercanos, colegios, supermercados, metro, cercanías etc. etc. El anuncio puede contener errores, la información es solo meramente informativa. Gastos no incluidos en el precio(I. T. P, NOTARIA, REGISTRO, ETC. ).",False,renew,False,2992.0,False,False,False,False,[],False,False,179500.0,€,,,flat,,"Villaverde Alto, Madrid",Piso en calle de Getafe,,1,True,Villaverde Alto,False,,,,
108917996,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cb/13/aa/1358896563.webp,17,465000.0,flat,sale,55.0,2,1,calle de Hermosilla,Madrid,Madrid,Barrio de Salamanca,es,40.4264362,-3.6812777,False,https://www.idealista.com/inmueble/108917996/,"Excelente piso para reformar con patio de uso y disfrute situado en una buena finca, en la mejor calle de la zona del distrito Goya, Barrio de Salamanca incluye plaza de garaje en el precio. Para visitarlo, contacte con nosotros, estaremos encantados de atenderle, en Hermosilla nº 72, tlf  Trabajamos los sábados. Exclusive World Home by inmomar es una empresa joven y con experiencia, caracterizada principalmente por su transparencia, respeto, por un servicio personalizado, atento y exclusivo, con la finalidad de que nuestros clientes, compradores y vendedores, tengan un punto de encuentro donde puedan ver realizadas sus aspiraciones con las máximas garantías. EWH, es una inmobiliaria especializada principalmente en los distritos del Barrio de Salamanca, Retiro, Chamberí y Chamartín, con un objetivo claro, seguir mejorando en la calidad de nuestros servicios.",False,renew,False,8455.0,False,False,False,False,[],False,False,465000.0,€,True,True,flat,,"Goya, Madrid",Piso en calle de Hermosilla,hermosilla,bj,False,Goya,True,,,,
108656491,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/c2/b8/1353047874.webp,113,2800000.0,chalet,sale,951.0,7,10,avenida Gutiérrez Mellado,Madrid,Villaviciosa de Odón,Castillo - Campodón,es,40.3515795,-3.8958281,False,https://www.idealista.com/inmueble/108656491/,"En una de las zonas más codiciadas de Villaviciosa de Odón, se alza este imponente chalet independiente, una vivienda que aúna elegancia, confort y una calidad de construcción excepcional. Más de 900 metros cuadrados distribuidos en tres plantas que ofrecen amplitud, funcionalidad y un estilo atemporal que nunca pasa de moda. Desde el primer momento, esta casa transmite la sensación de hogar. Cada rincón ha sido pensado para el disfrute diario: siete dormitorios amplios y luminosos, diez baños diseñados con mimo y materiales nobles, y espacios comunes que invitan tanto al encuentro como al descanso. El salón principal, con vistas al jardín, se convierte en el corazón de la casa, mientras que la cocina, moderna y equipada con todo lo necesario, es perfecta para la vida familiar. El confort es protagonista gracias a un sistema de climatización por aerotermia con suelo radiante y refrescante independiente por estancia, lo que garantiza una temperatura ideal durante todo el año. Y para los momentos de relax, la piscina climatizada y el jardín privado, amplio y muy cuidado, ofrecen un oasis de tranquilidad y disfrute en cualquier estación. La parcela, de más de 1.300 m², proporciona privacidad sin renunciar a la cercanía con todo lo necesario. A solo unos minutos se encuentra la Universidad Europea, lo que convierte esta zona en un entorno dinámico y bien conectado, ideal para familias que buscan combinar la paz de una zona residencial con servicios de calidad y buena comunicación con Madrid. Esta casa no es solo un lugar para vivir, es una invitación a disfrutar de una vida cómoda, tranquila y rodeada de detalles que marcan la diferencia. Solo hace falta visitarla para sentir que es el sitio perfecto para empezar una nueva etapa.",True,good,False,2944.0,True,True,False,False,[],False,False,2800000.0,€,True,True,chalet,independantHouse,"Castillo - Campodón, Villaviciosa de Odón",Casa independiente en avenida Gutiérrez Mellado,95c817a9-8ad3-4bee-9afc-b7fb1e2b8256,,,,,,,,
108574312,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ff/5c/e9/1350544380.webp,23,260000.0,duplex,sale,81.0,1,1,Vega de la Moraleja,Madrid,San Sebastián de los Reyes,Vega de la Moraleja,es,40.539146,-3.6214336,False,https://www.idealista.com/inmueble/108574312/,"Rogel Propiedades Vende! estupendo LOFT! de excelente ubicación, zona con todos los servicios, bien comunicada al transporte público Ubicado en urbanización privada con conserje, piscina, gimnasio y sauna. De 81 m2 distribuidos en amplio y luminoso salón, cocina americana amueblada y equipada con electrodomésticos. Para mas información contactar con el anunciante.",False,good,False,3210.0,True,False,True,True,[],False,False,260000.0,€,True,True,flat,duplex,"Vega de la Moraleja, San Sebastián de los Reyes",Dúplex,,4,True,,True,,,,
108888058,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b1/07/07/1348644180.webp,14,690000.0,flat,sale,126.0,3,2,"calle Camilo José Cela, 6",Madrid,Las Rozas de Madrid,Parque Empresarial,es,40.5197282,-3.8956784,True,https://www.idealista.com/obra-nueva/108888058/,"Quercus de Las Rozas, una propuesta residencial única en una de las zonas más exclusivas de Madrid. Le presentamos Quercus de Las Rozas, una promoción de vivienda libre estratégicamente ubicada en Las Rozas de Madrid diseñada para ofrecer el máximo confort.  Se trata de una zona totalmente consolidada, con numerosas y amplias zonas verdes, dotaciones deportivas, equipamientos educativos, sanitarios y comerciales. Un entorno tranquilo y perfectamente conectado con Madrid. La promoción contará con 71 viviendas organizadas en tres bloques en torno a un gran espacio central con zonas verdes de cuidado paisajismo y unas zonas comunes excepcionales, pensadas para ofrecer experiencias únicas a toda la familia: espacios equipados para el ocio, la relajación y el bienestar, sin salir de casa: - Piscina exterior desbordante de 200m2 de superficie, cloración salina e iluminación nocturna, permite disfrutar de un refrescante chapuzón a cualquier hora del día. - Club social, climatizado y perfectamente equipado para reuniones o celebraciones con familia y amigos. - Chill out, un espacio destinado al ocio y la convivencia de los residentes, con vistas despejadas a la sierra de Madrid. - Gimnasio, totalmente equipado, con un cerramiento practicable y con una zona exterior para el bienestar al aire libre. - Zona exterior de juegos infantiles. Los más pequeños contarán con un parque infantil para su máximo disfrute. Se trata de un edificio de viviendas diseñado con una visión singular y una delicada atención a los detalles, buscando una mayor eficiencia para un bajo consumo energético. Contará con calificación A, la máxima calificación energética, reduciendo la huella de carbono y las emisiones y repercutiendo favorablemente en el consumo y ahorro energético. Existen diferentes tipologías de vivienda de 1,2,3 y 4 dormitorios, con doble o triple orientación y con una cuidada distribución interior.  Naiz Homes ofrece un servicio adicional de personalización con variadas alternativas en cuanto a distribuciones, acabados interiores, instalaciones o mobiliario con la que poder adecuar cada vivienda a sus preferencias y necesidades. Le invitamos a visitar la página web de la promoción donde podrá encontrar los planos de las viviendas disponibles e imágenes de la promoción. Así mismo, si desea ampliar la información puede reservar una cita, tanto de manera presencial como por videollamada a través de la plataforma Zoom, en el apartado ""Reservar cita"" en la web o contactándonos en el teléfono. No olvide visitar nuestras redes sociales donde podrá conocer las últimas novedades y actualización de las obras.",False,newdevelopment,True,5476.0,True,False,False,False,[],False,False,690000.0,€,True,True,flat,,"Parque Empresarial, Las Rozas de Madrid","Piso en calle Camilo José Cela, 6",001,3,True,Parque Empresarial,True,False,,,
108030844,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/68/16/c6/1331725000.webp,18,1250000.0,flat,sale,129.0,3,2,"calle Manuel Fernández González, 15",Madrid,Madrid,Centro,es,40.4152042,-3.6992857,True,https://www.idealista.com/obra-nueva/108030844/,"Piso de obra nueva en Huertas-Cortes, en el centro de Madrid. Muy próximo a la Plaza de Santa Ana y a la calle de Alcalá.  Se ubica en la primera planta de un edificio recién rehabilitado con zonas comunes muy bien cuidadas. Cuenta con ascensor que da acceso directo a la vivienda.  Tiene una superficie de 129 m2, distribuidos en una amplia zona social con salón de dos estancias con salida a dos balcones, zona de comedor y cocina semi independiente, completamente equipada con electrodomésticos de alta gama de la marca Miele, un baño completo que da servicio a las visitas y una zona de lavandería independiente.  Al estar en proceso de construcción, se puede escoger la distribución de la zona de noche. Puede tener un dormitorio con amplio vestidor y baño en suite, o dos o tres dormitorios, manteniendo el principal en suite. Se adjuntan los planos de las tres opciones de reforma.  Al estar en proceso de obra, la vivienda se puede ajustar a tus gustos y necesidades. Podrás escoger los retoques finales del proyecto. Se vende sin amueblar, listo para hacer mudanza.",False,newdevelopment,True,9690.0,True,False,False,False,[],False,False,1250000.0,€,,,flat,,"Huertas-Cortes, Madrid","Piso en calle Manuel Fernández González, 15",Piso planta 1,1,True,Huertas-Cortes,True,False,,,
108921885,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/a6/52/1359013640.webp,18,230000.0,flat,sale,75.0,3,1,avenida de Santa Eugenia,Madrid,Madrid,Villa de Vallecas,es,40.3809591,-3.6101169,False,https://www.idealista.com/inmueble/108921885/,"Inmobiliaria en Santa Eugenia - Tecnocasa Estudio Nuevo Vallecas 2022 Sl. Vende inmueble de 75 metros cuadrados construidos en la zona de Santa Eugenia, Vallecas, Madrid. Una Entreplanta planta totalmente exterior con ascensor. Compuesto de 3 dormitorios, un baño completo con plato de ducha, cocina independiente amplia y espaciosa con su tendedero, ventanas de aluminio, salón-comedor muy luminoso. EL PISO SE ENCUENTRA LISTO PARA ENTRAR A VIVIR. Muy buena ubicación y orientación. Orientación Norte y Sur. ¡A menos de 10 minutos andando de la RENFE SANTA EUGENIA! Cerca de paradas de autobús, líneas: 58, 35, 14, 29. Excelente ubicación próxima a zonas verdes, parques y áreas de juegos, cerca de centro sanitario, farmacia y supermercados, entre otros. Muy próximo a la Escuela de Educación Infantil Arco Iris. El inmueble se encuentra situado muy cerca del Hospital infanta Leonor. Es una zona muy bien comunicada, con comercios, colegios, zonas verdes, polideportivo. Le buscamos la hipoteca hasta el 100%. Los profesionales Kiron, gracias a un profundo conocimiento del mercado bancario, le ayudan a encontrar la solución hipotecaria que mejor se adapte a sus preferencias"".",False,good,False,3067.0,False,False,False,False,[],False,False,230000.0,€,,,flat,,"Santa Eugenia, Madrid",Piso en avenida de Santa Eugenia,,en,True,Santa Eugenia,True,,,,
108855068,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/85/31/b3/1357093198.webp,36,467000.0,chalet,sale,260.0,5,4,calle Pinos,Madrid,Valdemorillo,Pino Alto - Navarredonda,es,40.4874871,-4.039615,False,https://www.idealista.com/inmueble/108855068/,"Vivienda Bio-climática en contexto residencial tranquilo. Vivienda construida aproximadamente al 30% en parcela de 1.300 m2 en  Valdemorillo.  Licencias y proyecto aprobados de una vivienda Bio-climática, listos para ejecutar.  Urbanización PUENTELASIERRA. La comunidad ofrece un abanico de comodidades, desde pistas deportivas hasta una piscina reluciente y un restaurante, todo bajo la atenta mirada de un equipo de conserjes y vigilancia las 24 horas del día. LA FINALIZACIÓN DE OBRA DEBERÁ SER PAGADA Y GESTIONADA POR EL  COMPRADOR, A PARTE EL PRECIO DE VENTA INICIAL. TE AYUDAMOS A FINANCIAR COMPRA Y CONTRUCCIÓN. ¡CONSÚLTANOS! Servicios: a 4 km. del pueblo de Valdemorillo y a 10 de Villanueva de la  Cañada, 12 de Colmenarejo, 15 de El Escorial, 20 de Majadahonda, y a menos de 40 minutos de Madrid y del Aeropuerto Internacional Adolfo Suarez. Con todos los servicios, supermercados, farmacias, bares, ferreterías, centro de salud, bancos y todo tipo de actividades comerciales. Colegios y Universidades cercanos. En la entrada de la Urbanización parada de transporte público: autobús 641 y 642 (intercambiador de Moncloa).  La zona cuenta con varios hospitales, públicos y privados, entre los cuáles el Puerta de Hierro en Majadahonda y el Hospital Universitario El Escorial. Carreteras M853, N908, M503  Estaré encantado de darte cualquier otro detalle y acompañarte en la visita.",False,good,False,1796.0,True,False,False,False,[],False,False,467000.0,€,True,True,chalet,independantHouse,"Pino Alto - Navarredonda, Valdemorillo",Casa independiente en calle Pinos,4c596f4b-2f14-4b4f-8955-e5193d24ee36,,,,,,,,
