propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,neighborhood,newDevelopmentFinished,detailedType.subTypology
108505605,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/15/e7/1346907026.webp,MR952163589,24,5,310000.0,flat,sale,107.0,True,3,2,calle de Budapest,Madrid,Torrejón de Ardoz,Noreste,es,40.4654373,-3.4620287,False,https://www.idealista.com/inmueble/108505605/,"Mercaser Grupo Imnobiliario, se vende estupenda vivienda en Torrejón de Ardoz. Ubicada en la Calle Budapest, es muy amplia y luminosa vivienda de 3 dormitorios y 2 baños es ideal para familias o quienes buscan comodidad y accesibilidad. Zona: Excelente ubicación, con acceso a todos los servicios, comercios y transportes. Edificio: Con ascensor y en perfecto estado. Calefacción: Gas natural, asegurando confort durante todo el año. Vistas: Disfruta de hermosas vistas desde tu hogar. ¡No pierdas esta oportunidad de vivir en una de las mejores zonas de Torrejón de Ardoz! Contáctanos para más detalles o para agendar una visita. Gastos de escrituras y impuestos no incluidos. No cobramos honorarios al comprador. Torrejón de Ardoz es un municipio que forma parte de la Comunidad de Madrid. La ciudad se desarrolló por su gran crecimiento durante el siglo XX en un punto muy estratégico, al lado de la Autovía A-2, ya que está cerca del centro de Madrid, del Aeropuerto de Madrid-Barajas y del Recinto Ferial Juan Carlos I. Es un municipio bastante industrial que actualmente aún está en expansión ya que se está llevando a cabo la expansión del Aeropuerto de Barajas en esta localidad. Como patrimonio destacar la Iglesia Arciprestal de San Juan Evangelista y el Soto de Aldovea. SOCIODEMOGRAFÍA Habitantes: 126.981 Número de hogares: 50.977 Edad media de las personas: 37 años% extranjeros: 51%Nivel medio de estudios: Secundaria.",False,good,False,True,2897.0,False,False,True,False,[],False,False,310000.0,€,flat,"Noreste, Torrejón de Ardoz",Piso en calle de Budapest,,,,,
108517703,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/30/a3/11/1347381268.webp,1012,30,3,168000.0,flat,sale,75.0,True,2,1,Pelayos de la Presa,Madrid,Pelayos de la Presa,,es,40.3618817,-4.3339176,False,https://www.idealista.com/inmueble/108517703/,"¿Quieres disfrutar de un precioso piso LLAVE EN MANO, sin sufrir molestas reformas? Has encontrado lo que buscas. Tucasavip vende este bonito piso situado en el centro del pueblo. Totalmente reformado, con muy buenas calidades, para entrar a vivir, cuenta con hall, dos habitaciones, un baño y cocina abierta al salón con chimenea. Calefacción por radiadores cerámicos. Ascensor. Trastero. Piscina y bonitas vistas. Un buen lugar donde vivir cómodo y tranquilo. VISITALO. TE VA A ENCANTAR.",False,good,False,True,2240.0,False,False,True,False,[],False,False,168000.0,€,flat,Pelayos de la Presa,Piso,,,,,
108717762,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/99/a6/1353043463.webp,A.ANH,28,4,299500.0,flat,sale,122.0,True,3,2,Centro,Madrid,Valdemoro,Centro,es,40.1938722,-3.6737492,False,https://www.idealista.com/inmueble/108717762/,"Agencia inmobiliaria de Valdemoro, Tecnocasa Estudio Las Tres Erres SL. VENDE PISO en Valdemoro en zona centro, formado por salón-comedor, cocina totalmente equipada y espaciosa con salida a tendedero, tres dormitorios con armarios empotrados y dos baños completos uno con bañera y otro con ducha (uno de ellos en suite).  La Vivienda además cuenta con suelos en toda la casa de tarima, doble ventana con mosquiteras en todas las ventanas, armarios empotrados en todos los dormitorios y en el salón, aire acondicionado con bomba de calor y frio en todas las estancias de la vivienda y paredes lisas.  En las zonas comunes nos encontramos con zonas verdes, piscina y pista de pádel.  Plazas de garaje y trastero incluido en el precio.  La vivienda está en una zona en expansión, pero ya consolidada con acceso a multitud de servicios, como la facilidad de entrada y salida a la población a través de la autovía, así como bien comunicada por la red de transportes del municipio y con zonas verdes alrededor. No dude en llamarnos para concertar su cita para visitar el inmueble en la que además recibirá el asesoramiento gratuito de nuestro departamento financiero KÌRON.",False,good,False,True,2455.0,False,False,False,False,[],False,False,299500.0,€,flat,"Centro, Valdemoro",Piso,True,True,,,
108117951,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/1a/49/1331864454.webp,VI0093-1-1-1B ,17,1,342000.0,flat,sale,126.0,True,1,1,"de la Democracia, 28",Madrid,Madrid,Villa de Vallecas,es,40.3893466,-3.6223551,True,https://www.idealista.com/obra-nueva/108117951/,"NUEVA PROMOCIÓN DE OBRA NUEVA: LandCo Vallecas, Madrid: desde 290.000€   Ahora sabes lo que es ‘vivir mejor’ en LandCo Vallecas, una exclusiva promoción de viviendas de obra nueva en un entorno privilegiado. Descubre nuestras luminosas viviendas de 1 y 2 dormitorios, diseñadas para ofrecerte confort y bienestar, donde cada estancia habla de ti y de tu estilo de vida. Cada hogar cuenta con amplias terrazas que se convierten en pequeños ecosistemas, ideales para disfrutar del aire y la luz natural. Además, podrás relajarte en espacios bien distribuidos y funcionales, perfectos para descansar o teletrabajar con total privacidad. Las viviendas incluyen garaje, trastero y están equipadas con cocinas amuebladas con los principales electrodomésticos, así como un sistema de aerotermia que garantiza calefacción eficiente y agua caliente sanitaria. La promoción se encuentra ubicada en Avenida de la Democracia 28, en una zona de influencia de Madrid que ofrece la comodidad de vivir en un entorno tranquilo con más de 12.500 metros cuadrados de zonas verdes. Excelentes comunicaciones por carretera a través de la M-40 y la A-3, y mediante transporte público con estaciones de metro de Vallecas y Sierra de Guadalupe, la estación de cercanías de Santa Eugenia, y estaciones de BiciMAD. Aquí podrás disfrutar de un estilo de vida excepcional rodeado de servicios e infraestructuras que facilitan tu día a día.   Características destacadas: •44 viviendas exclusivas •1-2 dormitorios •Amplias terrazas luminosas •Suelo radiante y refrescante •Aerotermia: ACS y calefacción •Preinstalación de aire acondicionado •Alta eficiencia energética •Magníficos espacios comunes con piscina •Áreas ajardinadas •Zona de juegos infantiles •Gastroteca   Vive en landCo Vallecas y haz de tu hogar un lugar donde puedas ser tú mismo, rodeado de todas las comodidades que necesitas. ¡Tu nuevo hogar te espera!",False,newdevelopment,True,True,2714.0,True,False,False,False,[],False,False,342000.0,€,flat,"Santa Eugenia, Madrid","Piso en de la Democracia, 28",True,True,Santa Eugenia,False,
108846881,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/9d/e6/1356850813.webp,BI_4A,20,4,1385773.0,penthouse,sale,113.0,False,2,2,"calle de la Verónica, 13",Madrid,Madrid,Centro,es,40.4119003,-3.6942597,True,https://www.idealista.com/obra-nueva/108846881/,"¡No pierdas la oportunidad de vivir en el corazón de Madrid! Te presentamos una promoción exclusiva de viviendas de obra nueva en un edificio histórico completamente reformado en el centro de Madrid. Ubicación privilegiada: En pleno centro de Madrid, rodeado de los mejores restaurantes, tiendas y lugares de interés cultural. Excelente conexión con transporte público. Viviendas modernas y luminosas: Apartamentos de 1, 2 y 3 dormitorios, con diseño contemporáneo y acabados de alta calidad. Amplios ventanales que permiten la entrada de luz natural. Cocinas totalmente equipadas con electrodomésticos de última generación. Servicios exclusivos: Patio interior ajardinado: Un oasis de tranquilidad en el corazón de la ciudad.  Spa: Relájate y desconecta en nuestro exclusivo spa. ¡No esperes más y reserva tu vivienda de ensueño en el centro de Madrid Información adicional: Entrega prevista: 30/01/2026  Para más información y visitas, contacta con nosotros.",False,,True,True,12263.0,True,False,False,False,[],False,False,1385773.0,€,flat,"Huertas-Cortes, Madrid","Ático en calle de la Verónica, 13",,,Huertas-Cortes,False,penthouse
108846873,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/64/6f/1356848613.webp,BE_1A,20,1,988653.0,flat,sale,84.0,True,2,2,"calle de la Verónica, 13",Madrid,Madrid,Centro,es,40.4119003,-3.6942597,True,https://www.idealista.com/obra-nueva/108846873/,"¡No pierdas la oportunidad de vivir en el corazón de Madrid! Te presentamos una promoción exclusiva de viviendas de obra nueva en un edificio histórico completamente reformado en el centro de Madrid. Ubicación privilegiada: En pleno centro de Madrid, rodeado de los mejores restaurantes, tiendas y lugares de interés cultural. Excelente conexión con transporte público. Viviendas modernas y luminosas: Apartamentos de 1, 2 y 3 dormitorios, con diseño contemporáneo y acabados de alta calidad. Amplios ventanales que permiten la entrada de luz natural. Cocinas totalmente equipadas con electrodomésticos de última generación. Servicios exclusivos: Patio interior ajardinado: Un oasis de tranquilidad en el corazón de la ciudad.  Spa: Relájate y desconecta en nuestro exclusivo spa. ¡No esperes más y reserva tu vivienda de ensueño en el centro de Madrid Información adicional: Entrega prevista: 30/01/2026  Precios desde: €  Para más información y visitas, contacta con nosotros.",False,,True,True,11770.0,True,False,False,False,[],False,False,988653.0,€,flat,"Huertas-Cortes, Madrid","Piso en calle de la Verónica, 13",,,Huertas-Cortes,False,
108846928,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0c/c2/c9/1356849804.webp,BE_1º DCHA,20,1,730022.0,flat,sale,63.0,True,1,1,"de la Verónica, 13",Madrid,Madrid,Centro,es,40.4119003,-3.6942597,True,https://www.idealista.com/obra-nueva/108846928/,"¡No pierdas la oportunidad de vivir en el corazón de Madrid! Te presentamos una promoción exclusiva de viviendas de obra nueva en un edificio histórico completamente reformado en el centro de Madrid. Ubicación privilegiada: En pleno centro de Madrid, rodeado de los mejores restaurantes, tiendas y lugares de interés cultural. Excelente conexión con transporte público. Viviendas modernas y luminosas: Apartamentos de 1, 2 y 3 dormitorios, con diseño contemporáneo y acabados de alta calidad. Amplios ventanales que permiten la entrada de luz natural. Cocinas totalmente equipadas con electrodomésticos de última generación. Servicios exclusivos: Patio interior ajardinado: Un oasis de tranquilidad en el corazón de la ciudad.  Spa: Relájate y desconecta en nuestro exclusivo spa. ¡No esperes más y reserva tu vivienda de ensueño en el centro de Madrid Información adicional: Entrega prevista: 30/01/2026  Precios desde: €  Para más información y visitas, contacta con nosotros.",False,newdevelopment,True,True,11588.0,True,False,False,False,[],False,False,730022.0,€,flat,"Huertas-Cortes, Madrid","Piso en de la Verónica, 13",,,Huertas-Cortes,False,
108788364,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/13/39/1355174474.webp,9A,13,,1240000.0,chalet,sale,302.0,,4,4,"calle San Juan Bautista, 9",Madrid,Las Rozas de Madrid,Marazuela- El Torreón,es,40.4927046,-3.8649298,True,https://www.idealista.com/obra-nueva/108788364/,"LAS ROZAS DE MADRID, MARAZUELA - EL TORREÓN- OBRA NUEVA ESPECTACULAR CHALET ADOSADO EXCLUSIVO DE DISEÑO DE ESQUINA con 302 m² construidos divididos en 3 plantas, sobre una parcela de 288 m2. Accedemos a la vivienda por la planta de acceso a través de un hall exterior con jardín delantero. Al entrar nos encontramos con un amplio recibidor, 1 dormitorio con armarios empotrados vestidos, 1 baño completo, cocina independiente, espectacular salón-comedor con acceso a impresionante terraza exterior que accede al jardín trasero y estupenda piscina privada. A la planta superior accedemos por las escaleras desde el recibidor, que dan a un distribuidor, por el cual se accede al dormitorio principal, en suite con zona de vestidor integrada y salida a una terraza exterior amplia y 2 dormitorios adicionales con armarios empotrados vestidos, todos en suite, con 1 baño completo incorporado y una segunda terraza, de la cual se accede desde uno de los dormitorios secundarios. La planta sótano consta de un garaje con capacidad para 3 vehículos, 1 lavadero independiente, 1 baño completo y 1 trastero grande. La vivienda cuenta con acabados de lujo de primeras calidades. La calefacción cuenta con lo más novedoso en energías renovables, ya que ésta va por aerotermia y paneles fotovoltaicos. Se trata de un chalet único disponible de este tipo en construcción en una de las mejores zonas de Las Rozas. Excelente ubicación, próximo a la estación de Renfe a 3 min. caminando. DISTRIBUCIÓN: Dormitorios 3 Baños 4 Cocinas 1 Salones 1 Cuartos de planchado 1 Despachos 1 Distribuidores 2 Garajes 1 Jardines privados 2 Piscinas privadas 1 Recibidores 1 Terrazas 3 Trasteros 1 Vestidores 1.",False,newdevelopment,True,,4106.0,True,False,False,False,[],False,False,1240000.0,€,chalet,"Marazuela- El Torreón, Las Rozas de Madrid","Chalet adosado en calle San Juan Bautista, 9",True,True,Marazuela- El Torreón,False,terracedHouse
108154039,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/78/ee/96/1335475802.webp,Primero E,17,1,310000.0,flat,sale,75.0,True,2,2,"plaza Barragán, 4",Madrid,Madrid,Carabanchel,es,40.3738315,-3.749555,True,https://www.idealista.com/obra-nueva/108154039/,"Te proponemos una vivienda funcional, actual y eficiente, adaptada a las tecnologías y necesidades que la sociedad demanda. Una vivienda amplia, cómoda y respetuosa con el medioambiente. La promoción la forman 29 viviendas dotadas de las más altas calidades de construcción y cuidadosos detalles en los acabados interiores. Dando una gran importancia a la luz y el espacio, todas las estancias tienen amplias ventanas para aprovechar al máximo la luz solar sin renunciar a la eficiencia energética, gracias a la calidad de los materiales empleados. Barragán 4 se distribuye en 5 plantas con 6 viviendas por planta y 5 en la planta baja, plazas de garajes en las plantas -1 y -2 y con zonas comunes en la 4ª planta que incluyen gimnasio, sauna, solárium de 30mts y vestuario con aseo. Viviendas de 2 o 3 dormitorios y 2 baños. Todas cuentan con un amplio salón/comedor diáfano con la cocina perfectamente integrada y el dormitorio principal con baño en suite.",False,newdevelopment,True,True,4133.0,True,False,False,False,[],False,False,310000.0,€,flat,"Buena Vista, Madrid","Piso en plaza Barragán, 4",True,True,Buena Vista,False,
108117978,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/1a/49/1331864454.webp,VI0093-1-1-2A ,17,2,370000.0,flat,sale,119.0,True,2,2,"de la Democracia, 28",Madrid,Madrid,Villa de Vallecas,es,40.3893466,-3.6223551,True,https://www.idealista.com/obra-nueva/108117978/,"NUEVA PROMOCIÓN DE OBRA NUEVA: LandCo Vallecas, Madrid: desde 290.000€   Ahora sabes lo que es ‘vivir mejor’ en LandCo Vallecas, una exclusiva promoción de viviendas de obra nueva en un entorno privilegiado. Descubre nuestras luminosas viviendas de 1 y 2 dormitorios, diseñadas para ofrecerte confort y bienestar, donde cada estancia habla de ti y de tu estilo de vida. Cada hogar cuenta con amplias terrazas que se convierten en pequeños ecosistemas, ideales para disfrutar del aire y la luz natural. Además, podrás relajarte en espacios bien distribuidos y funcionales, perfectos para descansar o teletrabajar con total privacidad. Las viviendas incluyen garaje, trastero y están equipadas con cocinas amuebladas con los principales electrodomésticos, así como un sistema de aerotermia que garantiza calefacción eficiente y agua caliente sanitaria. La promoción se encuentra ubicada en Avenida de la Democracia 28, en una zona de influencia de Madrid que ofrece la comodidad de vivir en un entorno tranquilo con más de 12.500 metros cuadrados de zonas verdes. Excelentes comunicaciones por carretera a través de la M-40 y la A-3, y mediante transporte público con estaciones de metro de Vallecas y Sierra de Guadalupe, la estación de cercanías de Santa Eugenia, y estaciones de BiciMAD. Aquí podrás disfrutar de un estilo de vida excepcional rodeado de servicios e infraestructuras que facilitan tu día a día.   Características destacadas: •44 viviendas exclusivas •1-2 dormitorios •Amplias terrazas luminosas •Suelo radiante y refrescante •Aerotermia: ACS y calefacción •Preinstalación de aire acondicionado •Alta eficiencia energética •Magníficos espacios comunes con piscina •Áreas ajardinadas •Zona de juegos infantiles •Gastroteca   Vive en landCo Vallecas y haz de tu hogar un lugar donde puedas ser tú mismo, rodeado de todas las comodidades que necesitas. ¡Tu nuevo hogar te espera!",False,newdevelopment,True,True,3109.0,True,False,False,False,[],False,False,370000.0,€,flat,"Santa Eugenia, Madrid","Piso en de la Democracia, 28",True,True,Santa Eugenia,False,
