propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice
107762155,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/16/2b/e1/1323038373.webp,F.F.,23,3,180000.0,penthouse,sale,52.0,True,1,1,calle de Francisco de la Fuente,Madrid,Madrid,Villa de Vallecas,es,Casco Histórico de Vallecas,40.3742172,-3.6228937,False,https://www.idealista.com/inmueble/107762155/,"ESTUDIO HOME MADRID OFRECE vivienda de 52 m2 construidos según Catastro, muy luminosa, situada en tercera planta exterior, con doble orientación (suroeste y noreste), sin ascensor, ubicada en el casco histórico de Vallecas, ubicada en calle peatonal. Según su distribución actual, la vivienda dispone de salón con mirador y acceso a una gran terraza acristalada, un dormitorio con mirador, cuarto de baño con plato de ducha, cocina independiente, pequeño recibidor y pasillo. Dispone de un trastero incluido en el precio. En cuanto a sus calidades, el inmueble dispone de puerta de entrada acorazada; suelos de parquet; los cerramientos exteriores son de aluminio, con acristalamiento térmico y acústico “tipo Climalit”, con doble ventana en los dos miradores; en cuanto a la carpintería interior, posee puertas de roble y un armario empotrado en el dormitorio; pintura en gotelé; etc. La vivienda dispone de aire acondicionado (bomba de frío/calor) en salón y dormitorio.  Está ubicada en la zona sur de la ciudad de Madrid, dentro del distrito municipal de Villa de Vallecas, en la zona del Casco Histórico. Se trata de una zona completamente consolidada, con todos los servicios, como supermercados, farmacias, guarderías, …, y con diferentes colegios, como CEIP Honduras, Centro Concertado de Enseñanza San Eulogio, CEIP Juan Gris, …, a 10 minutos andando del Centro de Salud Villa de Vallecas. Destacar su cercanía al Centro Comercial La Gavia. Con grandes zonas deportivas en la zona. Bien comunicada por transporte público, con varias líneas de la EMT (líneas 103, 142, N9) muy cerca del edificio, entre las estaciones de Metro Congosto y Villa de Vallecas (línea 1) y muy cercano a la estación de Cercanías de Renfe de Vallecas (C2 yC7). Hay que destacar su fácil acceso en coche a las carreteras M40, M45 y A3. ESTUDIO HOME MADRID, agencia inmobiliaria con 20 años de experiencia en el sector, les ofrece asesoramiento jurídico, fiscal y financiero, realizando un seguimiento personalizado durante todo el proceso de compraventa. Agencia inmobiliaria inscrita en el RAIN (Registro de Agentes Inmobiliarios de la Comunidad de Madrid).",False,good,False,False,3462.0,True,False,False,True,[],False,False,180000.0,€,flat,penthouse,"Casco Histórico de Vallecas, Madrid",Ático en calle de Francisco de la Fuente,,,,
108367536,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/77/40/93/1341998051.webp,206 B V-12,12,,560000.0,chalet,sale,168.0,,3,3,"calle Denébola, 204",Madrid,Móstoles,Sur,es,,40.3110036,-3.8517175,True,https://www.idealista.com/obra-nueva/108367536/,"¡OBRAS INICIADAS! ¡ENTREGA ANTES DE DICIEMBRE DE 2026! 17 chalets divididos en dos parcelas de 3 dormitorios y 3 baños con o sin solárium, en una de las localidades más deseadas de Madrid, Móstoles. Con un diseño de vanguardia, donde los acabados son de primera marca, pensados para garantizar el confort. Además, incorpora sistema de aerotermia con suelo radiante-refrescante y cocina amueblada. Es un proyecto moderno en el cual podrás elegir entre una serie de opciones sin coste que te propondremos, para que puedas participar en la personalización de tu vivienda. No dejes escapar esta oportunidad única de adquirir uno de estos exclusivos chalets.",False,newdevelopment,True,,3333.0,True,False,False,False,[],False,False,560000.0,€,chalet,semidetachedHouse,"Sur, Móstoles","Chalet pareado en calle Denébola, 204",False,True,True,
108695290,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/6e/5c/1352389296.webp,,35,4,5285000.0,flat,sale,588.0,True,10,6,calle de Ferraz,Madrid,Madrid,Moncloa,es,Argüelles,40.4257132,-3.7159571,False,https://www.idealista.com/inmueble/108695290/,"588m2 4ºPlanta, ÚNICO PISO en uno de los MEJORES edificios de la calle Ferraz y Paseo Pintor Rosales.  Piso de esquina con 14 balcones a la calle, muy luminoso y con vistas laterales al Parque del Oeste. Finca clásica galardonada en un certamen de arquitectura, con portal y ASCENSOR de MADERA representativos, techos altos, muy luminosa. Son 2 fincas registrales con 2 entradas independientes. Un lado tiene 271m2 y el otro lado tiene 317m2. La parte interior del piso da a un patio de manzana ajardinado.",False,good,False,True,8988.0,False,False,False,False,[],False,False,5285000.0,€,flat,,"Argüelles, Madrid",Piso en calle de Ferraz,,,,
108896802,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a5/95/51/1358254118.webp,,32,,249000.0,chalet,sale,468.0,,5,5,maja tor,Madrid,Colmenar de Oreja,,es,,40.0861885,-3.5420875,False,https://www.idealista.com/inmueble/108896802/,"HogargestióN Aranjuez, te invita a explorar una exclusiva Finca Rústica de 25.000 m² en el pintoresco entorno de Aranjuez y Colmenar de Oreja, Madrid. ¡Una oportunidad única para quienes buscan un estilo de vida tranquilo y en contacto con la naturaleza, sin renunciar a la comodidad de estar cerca de la ciudad! Ideal como inversión para arrendar como casa rural o alquiler de eventos. Dispone de dos referencias catastrales; en la primera de ellas, dispone de 500 m² de suelo urbano residencial, donde se ubica una espectacular vivienda de dos plantas que cuenta con un salón de más de 40 m², cocina independiente, 5 dormitorios independientes con baños en suite y con instalación de ducha de hidromasaje en todos ellos.  Esta vivienda es energéticamente autosuficiente ya que cuenta con la instalación de placas solares así como baterías para poder disponer de electricidad en cualquier momento del dia. La segunda referencia catastral engloba 25.000m² de tierra de labor agraria con un gran olivar en la actualidad y pozo de regadío  Espacio y Libertad: Con 25.000 m² de naturaleza pura, tendrás el espacio perfecto para crear tu proyecto soñado, ya sea una majestuosa casa de campo, un retiro ecológico, o incluso tu propia bodega o plantación de olivos. Ubicación Ideal: Situada en el corazón de la comarca vinícola de Madrid, tanto Aranjuez como Colmenar de Oreja, te ofrece un retiro pacífico con fácil acceso a todas las comodidades y atractivos de la capital. Encanto Rústico con Conexiones Modernas: A pocos minutos de la localidad de Colmenar de Oreja, esta finca combina la belleza y tranquilidad del campo con la conveniencia de tener servicios y conexiones modernas a tu alcance. Inversión de Valor: Adquirir esta finca no es solo comprar terreno; es invertir en un estilo de vida, en paz y en potencial. Con el crecimiento constante del interés por vivir y vacacionar en áreas más tranquilas y verdes, esta propiedad promete ser una inversión que crecerá en valor y encanto. En HogargestióN inmobiliaria Aranjuez, también disponemos de departamento financiero personalizado y a su medida para poder ayudarte conseguir la mejor hipoteca para tu compra.",False,good,False,,532.0,False,False,False,False,[],False,False,249000.0,€,chalet,independantHouse,Colmenar de Oreja,Casa independiente en maja tor,,True,True,
108764293,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e8/11/0f/1354455687.webp,3º A,8,3,350000.0,flat,sale,65.0,True,2,1,"paseo de la Dirección, 105",Madrid,Madrid,Tetuán,es,Berruguete,40.4608539,-3.7059884,True,https://www.idealista.com/obra-nueva/108764293/,"Promoción Paseo de la Dirección 105 Descubre este encantador complejo residencial compuesto por 6 viviendas de dos dormitorios y 3 estudios con amplio salón-comedor y terraza en el vibrante barrio de Tetuán, con excelentes conexiones de transporte público, tiendas, restaurantes y una amplia oferta de servicios a pocos pasos. Características: •1 o 2 dormitorios acogedores y tranquilos •Amplio salón-comedor luminoso con terraza •Cocina amueblada de diseño moderno y funcional •Electrodomésticos de calidad incluidos •Baño completo •Trastero incluido •Distribución cómoda y bien aprovechada •Acabados de calidad •Bomba de calor Las viviendas cuentan con una cocina amueblada de diseño moderno y funcional, equipada con mobiliario y electrodomésticos de calidad, pensada para disfrutar al máximo de cada momento culinario con comodidad y estilo.  Ofrecemos opciones de uno o dos dormitorios, espacios acogedores y tranquilos diseñados para garantizar el descanso y crear un ambiente sereno, perfecto para relajarse y recargar energías. El salón-comedor destaca por su amplitud y luminosidad, adaptándose a tus necesidades como el lugar ideal para compartir experiencias inolvidables con familiares y amigos. Tetuán es un distrito diverso y dinámico de Madrid que combina historia, cultura y modernidad. Situado al norte de la ciudad, ha experimentado una importante transformación urbana, fusionando zonas tradicionales con nuevas construcciones y ofreciendo una conexión privilegiada con el resto de Madrid. Entorno de Tetuán: Metro de Madrid: •Línea 1 (azul claro): Estaciones como Tetuán, Estrecho y Valdeacederas. •Línea 10 (azul oscuro): Estaciones cercanas como Cuzco y Plaza Castilla. Autobuses EMT: •Numerosas líneas que conectan con puntos clave como Moncloa, Sol, Nuevos Ministerios y Chamartín. Cercanías Renfe: Acceso rápido a estaciones como Nuevos Ministerios y Chamartín, que conectan con líneas de cercanías y trenes de media/larga distancia. Ocio: Zonas comerciales: •Calle Bravo Murillo, una de las principales arterias del barrio, llena de tiendas, supermercados, bancos, farmacias y pequeños comercios. •Cercanía a centros comerciales como La Vaguada o Moda Shopping. Parques y zonas verdes: •Parque Rodríguez Sahagún, ideal para paseos, deporte al aire libre y actividades en familia. •Plazas ajardinadas y pequeñas zonas verdes repartidas por el distrito. Colegios y centros educativos: •Varias escuelas públicas, concertadas y privadas en la zona. •Centros de educación infantil, primaria y secundaria.",False,newdevelopment,True,True,5385.0,True,False,False,False,[],False,False,350000.0,€,flat,,"Berruguete, Madrid","Piso en paseo de la Dirección, 105",False,,,
106201366,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/eb/84/1206559466.webp,COOP-826@VT4-1ºD,9,1,442500.0,flat,sale,103.0,True,2,1,"VILLAESCUSA, 62",Madrid,Madrid,Ciudad Lineal,es,Pueblo Nuevo,40.41962,-3.62887,True,https://www.idealista.com/obra-nueva/106201366/,"LAS ROSAS PLAZA (PERALEDA URBAN, S. COOP. -Fase Villaescusa). ¡LICENCIA DE OBRA CONCEDIDA! Futuro residencial formado por 24 viviendas de 1 y 2 dormitorios en régimen de cooperativa (promueve Peraleda Urban, S. COOP. ) gestionada por Prygesa, (Grupo Pryconsa). LICENCIA DE OBRA CONCEDIDA Dispondrá de piscina, jardines y conserjería. Además, cuentan con 1 o 2 plazas de garaje según vivienda, y trastero incluido en el coste. La urbanización privada estará situada en C/ VILLAESCUSA, 62 Las Rosas, Pueblo Nuevo (Madrid). Suelo en propiedad. • Financiación prevista: hasta el 80% • Entrega estimada: 2028 • Personalización de Espacios con Elección de Acabados. NOTA: A los costes indicados hay que añadir el 10% de IVA.",False,newdevelopment,True,True,4296.0,True,False,False,False,[],False,False,442500.0,€,flat,,"Pueblo Nuevo, Madrid","Piso en Villaescusa, 62",False,True,True,
108817864,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/62/95/e9/1356014483.webp,,8,4,339000.0,duplex,sale,62.0,True,2,1,"calle San Juan, 20",Madrid,Alcorcón,Centro,es,Casco Antiguo,40.3441096,-3.8231651,True,https://www.idealista.com/obra-nueva/108817864/,"Edificio singular situado en zona próxima al casco urbano de Alcorcón. Se trata de una zona consolidada y que dispone en un entorno próximo a todos los servicios y dotaciones municipales necesarias, así como zonas de comercio primario y secundario. Su ubicación facilita el acceso a los servicios de transporte público, así como a vías de comunicación por vehículo privado. La entrada al se encuentra en una calle no muy transitada, de escaso tráfico rodado, y el acceso al mismo se realizará a través de una puerta de cerrajería metálica. Las zonas comunes se componen de un portal representativo con terminaciones en suelos de gres rectificado, barandillas interiores de acero lacado modelo a definir y las paredes y techo serán terminados en pintura plástica. Albergará un ascensor con paradas en cada una de las plantas de viviendas, con puertas automáticas y dotados de alarma y servicio de telefonía. El edificio se configura con una única vivienda por planta, hecho que garantiza intimidad y la salubridad del usuario. Dispone de tres miradores y una terraza con barandilla en cristal que facilita la iluminación al interior. Todas las viviendas tienen una distribución amplia y funcional, generando en su conjunto un entorno confortable e íntimo para vivir. Las viviendas se componen de salón comedor con cocina americana, dos dormitorios, un baño en suite y un aseo. A su vez la vivienda de última planta tiene uso exclusivo y acceso directo a una terraza solárium ubicada en planta cubierta.",False,newdevelopment,True,True,5468.0,True,False,False,False,[],False,False,339000.0,€,flat,duplex,"Casco Antiguo, Alcorcón","Dúplex en calle San Juan, 20",False,True,True,
108367442,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f8/0a/16/1341998096.webp,204 A V-1,12,,585000.0,chalet,sale,196.0,,3,3,"calle Denébola, 204",Madrid,Móstoles,Sur,es,,40.3110036,-3.8517175,True,https://www.idealista.com/obra-nueva/108367442/,"¡OBRAS INICIADAS! ¡ENTREGA ANTES DE DICIEMBRE DE 2026! 17 chalets divididos en dos parcelas de 3 dormitorios y 3 baños con o sin solárium, en una de las localidades más deseadas de Madrid, Móstoles. Con un diseño de vanguardia, donde los acabados son de primera marca, pensados para garantizar el confort. Además, incorpora sistema de aerotermia con suelo radiante-refrescante y cocina amueblada. Es un proyecto moderno en el cual podrás elegir entre una serie de opciones sin coste que te propondremos, para que puedas participar en la personalización de tu vivienda. No dejes escapar esta oportunidad única de adquirir uno de estos exclusivos chalets.",False,newdevelopment,True,,2985.0,True,False,False,False,[],False,False,585000.0,€,chalet,terracedHouse,"Sur, Móstoles","Chalet adosado en calle Denébola, 204",False,True,True,
108081383,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ef/e1/9b/1333247134.webp,PB C,23,bj,385000.0,flat,sale,76.0,True,2,2,Juan Marichal s/n,Madrid,Alcalá de Henares,La Garena,es,,40.4785912,-3.3946399,True,https://www.idealista.com/obra-nueva/108081383/,"“Próximo inicio de obras” PRECOMERCIALIZACION FASE I Y FASE II- Residencial NAO, una magnifica promoción de 136 viviendas de 2 y 3 dormitorios en Ciudad Garena 10 con plaza de garaje, trastero, piscina y amplias zonas comunes. Además de las viviendas tipo, las plantas bajas disponen de una terraza adicional ultimas plantas tipo dúplex con amplias terrazas. A destacar, sus grandes ventanales que aportan luminosidad a sus estancias, así como una distribución del espacio muy cuidada junto con la elección de materiales y acabados hace que Residencial Nao tenga lo necesario para que la conviertas en tu hogar. Además con aerotermia con suelo radiante refrescante para un óptimo confort. Como cada detalle es importante, también podrás elegir entre diferentes acabados, calidades y materiales, así como opciones de mejoras para que puedas personalizar la vivienda a tu estilo. La Garena, un enclave privilegiado donde se combina la calidad de vida de Alcalá de Henares a 20 minutos de Madrid. “Ciudad Garena Diez” se encuentra frente a la estación de cercanías de La Garena y a tan solo a 5 minutos a pie del centro comercial “La Garena”, el Hipercor y el centro de salud. En su entorno se encuentran dos colegios que figuran entre los 100 mejores de España, concretamente el CEIP La Garena en el noveno puesto y el CEIP Antonio Mingote en el puesto 40. Dispone de una amplia oferta de servicios ocio, restaurantes, supermercados y deportes, destacando la ciudad deportiva “El Juncal”, uno de los mayores centros de Alcalá de Henares y el centro de negocios “Garena Plaza”, una zona en auge para nuevas implantaciones comerciales. Conectado al centro histórico mediante el carril bici de la Avenida de Madrid. Comunicación directa a principales vías de comunicación A-2 y R-2 y cuenta con variedad transporte público, urbano e interurbano. Zonas comunes: Ascensor, zona infantil, zona de esparcimiento al aire libre, zonas verdes, piscina de adultos e infantil.",False,newdevelopment,True,True,5066.0,True,False,False,False,[],False,False,385000.0,€,flat,,"La Garena, Alcalá de Henares",Piso en Juan Marichal s/n,False,True,True,
108509397,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/39/50/1347027252.webp,426745-CM,32,12,2375000.0,flat,sale,205.0,True,4,3,Barrio El Viso,Madrid,Madrid,Chamartín,es,El Viso,40.4482854,-3.6776426,False,https://www.idealista.com/inmueble/108509397/,"ÚNICA Inmobiliaria les invita a conocer una fantástica vivienda con vistas despejadas y una luz natural inmejorable gracias a su altura.  El inmueble se emplaza en una ubicación estratégica con todos los servicios, transportes y dotaciones a un paso. Se encuentra integrada dentro de una de las mejores fincas del Viso con vigilancia 24H, piscinas, sauna, gimnasio, jardín, zona de juegos y detalles que son un lujo en la zona.  Se trata de una superficie de 205m2 cuya distribución se articula a través de un elegante recibidor, el cual nos da acceso a un gran salón-comedor con salida a una amplia y agradable terraza; por otro lado encontramos la zona de la cocina con entrada independiente, zona de office, terraza tendedero y dormitorio de servicio con baño; y en cuanto a la zona de descanso cuenta con tres dormitorios (el principal en suite) con salida a otra terraza y un tercer cuarto de baño para dar servicio al resto.  Cuenta también con una gran plaza de garaje de acceso directo.  El Viso representa un exclusivo oasis residencial sobre el asfalto de la capital y cuya arteria principal es la calle Serrano. El prestigioso barrio nació de la mano del arquitecto Rafael Bergamín en los años 30 del siglo pasado con vocación social y de segundas residencias. Terrenos que se encontraban en las afueras de la ciudad y sobre los que se experimentó un estilo diferente de construcción. Varios urbanistas de la época que estudiaron en Alemania importaron de este país el nuevo concepto de arquitectura racionalista y de ahí que muchas casas de El Viso imiten a pequeños palacetes. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia.",False,renew,False,True,11585.0,True,False,False,False,[],False,False,2375000.0,€,flat,,"El Viso, Madrid",Piso,,True,True,
