propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,hasLift,neighborhood,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
36376302,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/35/ba/b3/196603379.webp,1344,15,299000.0,countryHouse,sale,286.0,3,1,Casco Urbano,Madrid,Paracuellos de Jarama,Casco Urbano,es,40.5062898,-3.5272877,False,https://www.idealista.com/inmueble/36376302/,"J. R. Vende casa en parcela de 234m2 aprox. Distribuida en una planta donde tenemos: tres amplios dormitorios, una cocina equipada y amueblada, un salón y un cuarto de baño completo con plato de ducha y mampara.  la vivienda tiene puerta de carruaje con acceso a un gran patio que se comunica con la casa y nos da acceso a la zona donde tenemos una buhardilla.  esta en una situación inmejorable.  ¡Llámanos y vamos a verla!.",False,good,False,1045.0,True,False,True,False,[],False,False,299000.0,€,True,True,countryHouse,casaDePueblo,"Casco Urbano, Paracuellos de Jarama",Casa de pueblo,,,,,,,,
107999624,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/05/2b/1330725723.webp,CAFARNAUM,31,206000.0,flat,sale,45.0,1,1,"calle de Cafarnaum, 2",Madrid,Navalcarnero,La Dehesa - El Pinar,es,40.2974948,-3.9869218,True,https://www.idealista.com/inmueble/107999624/,"Hogares Navalcarnero presenta en exclusiva este espectacular piso en planta, ubicado en El Pinar, uno de los barrios más prestigiosos y valorados del municipio. Esta encantadora vivienda combina a la perfección comodidad, funcionalidad y entorno, siendo ideal tanto para quienes buscan su primera vivienda como para quienes desean invertir en una zona con gran proyección. La urbanización cuenta con excelentes zonas comunes, pensadas para el disfrute de toda la familia: una amplia piscina comunitaria para refrescarse durante el verano, zonas ajardinadas que ofrecen un entorno verde y natural, y áreas infantiles donde los más pequeños podrán jugar con total seguridad. Además, dispone de servicio de conserjería y sistema de videovigilancia en la zona perimetral, lo que proporciona un plus de seguridad y tranquilidad para todos los residentes. El inmueble incluye en el precio una plaza de garaje y un espacioso trastero, lo que aporta un gran valor añadido y comodidad en el día a día. La localización del piso es inmejorable. Situado en un entorno tranquilo, residencial y rodeado de naturaleza, se encuentra al mismo tiempo muy bien comunicado y próximo a todos los servicios: centros educativos, instalaciones deportivas, comercios, supermercados, paradas de autobús, y mucho más. Esta combinación entre accesibilidad y serenidad convierte a El Pinar en una de las mejores zonas para vivir en Navalcarnero. La vivienda, que ha sido reformada, cuenta con una distribución moderna y funcional. Dispone de un dormitorio con armario empotrado de gran capacidad, y un baño completo con plato de ducha, totalmente reformado con materiales de calidad. Todo el inmueble se encuentra en un excelente estado de conservación, listo para entrar a vivir sin necesidad de realizar ningún tipo de reforma. Al acceder al piso, nos recibe un luminoso salón-comedor, ideal para disfrutar de momentos en familia o con amigos. La estancia se integra con una cocina americana renovada, que aporta amplitud visual y favorece un estilo de vida práctico y contemporáneo. Desde el salón accedemos a una maravillosa terraza privada, completamente funcional y perfecta para disfrutar del aire libre en cualquier época del año. Entre las calidades de la vivienda destacan la pintura en liso en todas las estancias, así como un Split de aire acondicionado con bomba de frío y calor, que garantiza el confort tanto en invierno como en verano. En definitiva, se trata de una oportunidad única para adquirir una vivienda reformada, moderna y perfectamente ubicada, en una de las zonas con mayor calidad de vida de Navalcarnero. ¡No dejes pasar esta oportunidad y ven a visitar este precioso piso en planta! Posibilidad de financiación 100 %. ¡Consúltanos sin compromiso!",False,good,False,4578.0,True,False,False,False,[],False,False,206000.0,€,True,True,flat,,"La Dehesa - El Pinar, Navalcarnero","Piso en calle de Cafarnaum, 2",1,False,True,,,,,
108906657,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/a3/0d/1358538331.webp,eca412b4-ab1a-4622-8320-8ce097af8b0c,13,1325000.0,chalet,sale,445.0,5,4,calle Gutiérrez Canales,Madrid,Madrid,San Blas,es,40.4497938,-3.6135513,False,https://www.idealista.com/inmueble/108906657/,"Se vende espectacular adosado en el barrio de Canillejas con una superficie total construida de 445 m². Esta amplia vivienda está distribuida en cinco dormitorios y cuatro baños, lo que la convierte en una opción ideal para familias numerosas o quienes buscan espacio y confort. La propiedad se encuentra en buen estado de conservación y cuenta con una cocina completamente equipada, armarios empotrados en varias estancias y sistema de aire acondicionado. Dispone de calefacción central y bomba de calor/frío, garantizando una temperatura agradable durante todo el año. Como extras, incluye un trastero y plaza de estacionamiento, ofreciendo soluciones prácticas para el almacenamiento y el vehículo familiar. Características exteriores y zonas comunes El inmueble se destaca por sus espacios al aire libre: un amplio jardín privado, piscina y una acogedora terraza donde disfrutar del buen tiempo. También cuenta con un balcón, ideal para relajarse o tomar el aire. El edificio dispone de ascensor, lo que facilita el acceso a todas las plantas. Ubicación Situado en el distrito de Canillejas, en una zona residencial tranquila y bien comunicada. El entorno ofrece acceso a todos los servicios necesarios: colegios, supermercados, transporte público, zonas verdes y deportivas. Es una ubicación ideal para quienes desean vivir en una zona urbana pero con la comodidad de un entorno familiar y residencial.",False,good,False,2978.0,False,False,False,False,[],False,False,1325000.0,€,True,True,chalet,terracedHouse,"Canillejas, Madrid",Chalet adosado en calle Gutiérrez Canales,,,,Canillejas,,,,
108788054,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c0/24/e8/1355137593.webp,2f7d5fa9-ed5b-4ac0-83c4-622c56daa2c8,9,1079000.0,flat,sale,88.0,2,2,calle de Lope de Rueda,Madrid,Madrid,Retiro,es,40.4226721,-3.6784713,False,https://www.idealista.com/inmueble/108788054/,"Encantadora vivienda en Ibiza con posibilidades de reforma Descubre esta acogedora propiedad en Ibiza, ideal para quienes buscan un hogar cómodo, funcional y con potencial de personalización. Con una superficie de 88 m², se encuentra actualmente en proceso de reforma integral y se entregará completamente amueblado y equipado. Dispone de dos amplios dormitorios y dos baños, ofreciendo una distribución práctica tanto para uso personal como para inversión. Características interiores y extras El inmueble cuenta con calefacción de gas y sistema de aire acondicionado, lo que garantiza el máximo confort durante todo el año. Uno de sus espacios destacados es el balcón privado, un rincón perfecto para relajarse y desconectar. Aunque la orientación ofrece vistas interiores, el entorno es tranquilo, ideal para quienes valoran la paz sin renunciar a la cercanía de los servicios. El edificio dispone de ascensor, facilitando el acceso a la vivienda y aportando comodidad adicional. Entorno y zonas comunes La propiedad forma parte de un edificio bien mantenido, con zonas comunes que reflejan el estilo y la tranquilidad de la isla. La comunidad ofrece un ambiente residencial sereno, ideal tanto para vivir todo el año como para estancias vacacionales. Ubicación Situado en la vibrante isla de Ibiza, este inmueble se encuentra en una zona que combina la tranquilidad con la cercanía a todos los servicios esenciales. La ubicación permite disfrutar del estilo de vida mediterráneo, con fácil acceso a comercios, restaurantes, y opciones de ocio. Además, la excelente conexión con el resto de la isla lo convierte en una opción atractiva tanto para inversores como para quienes buscan una residencia principal o secundaria.",False,renew,False,12261.0,True,False,False,False,[],False,False,1079000.0,€,,,flat,,"Ibiza, Madrid",Piso en calle de Lope de Rueda,4,False,True,Ibiza,,,,
107566703,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/9f/e2/1331147871.webp,W-02Z2Z0,47,1000000.0,penthouse,sale,171.0,3,3,Tempranales,Madrid,San Sebastián de los Reyes,Tempranales,es,40.5587912,-3.648206,False,https://www.idealista.com/inmueble/107566703/,"Exclusivo Atico con Terrazas en Tempranales Engel & Völkers presenta en exclusiva este maravilloso ático situado en Tempranales, la zona más destacada de San Sebastián de los Reyes, al norte de Madrid. Este ático cuenta con 171 m aproximados de vivienda construidos y 76 m aproximadamente de terraza de uso y disfrute exclusivo. Al ingresar a la vivienda, un recibidor distribuye los espacios en dos áreas diferenciadas. A la derecha, se encuentra una cocina de diseño funcional y un amplio salón con ventanales que proporcionan acceso a una espléndida terraza. A la izquierda, un ventanal conduce a una segunda terraza con vistas panorámicas. En esta ala, se dispone un baño con plato de ducha, ideal para invitados, y tres habitaciones. La primera habitación con armario empotrado con ventanal con acceso a la terraza, la habitación principal, de generosas dimensiones, cuenta con baño en suite y dos armarios empotrados. La tercera habitación también tiene baño en suite y armario empotrado. Las terrazas orientadas al norte ofrecen vistas a la Dehesa y las sierras, accesibles desde el salón a través de amplios ventanales. El salón, espacioso y luminoso, la cocina, bien distribuida, está equipada con electrodomésticos. La propiedad está equipada con un avanzado sistema de domótica, aire acondicionado regulable por zonas, calefacción por radiadores ajustable en cada estancia, persianas eléctricas de seguridad y placas solares para el suministro de agua caliente. La urbanización cuenta con jardines, pista de pádel, piscina para niños pequeños y para adultos, zona de juegos infantiles, sala comunitaria y gimnasio. Completa esta propiedad un trastero y dos plazas de garaje. El piso con palier privado y 116 vecinos Situada en el barrio de Tempranales en San Sebastián de los Reyes, Madrid. Barrio residencial de reciente construcción, que está situado junto al Parque natural Dehesa Boyal, conocido como el nuevo pasaje verde de la zona norte de Madrid. A 15 minutos del centro de Madrid, dispone de transporte público y salida cercana a la A-1 y M-607. Cercano a centros educativos, centro de salud Rosa de Luxemburgo, a la zona comercial Plaza Norte 2, cuenta con todos los servicios necesario.",True,good,False,5848.0,True,False,True,False,[],False,False,1000000.0,€,True,True,flat,penthouse,"Tempranales, San Sebastián de los Reyes",Ático,,True,True,,,,,
108900127,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3b/38/71/1358349799.webp,PINTOR RIBERA 285K,15,285000.0,flat,sale,100.0,3,1,calle Pintor Ribera,Madrid,Móstoles,Norte - Universidad,es,40.330696,-3.8700807,False,https://www.idealista.com/inmueble/108900127/,"HOGARES MÓSTOLES presenta este magnífico piso en IVIASA, una de las zonas más familiares y demandadas de Móstoles.  Se trata de una vivienda muy luminosa con 3 dormitorios, de los cuales dos son exteriores y uno interior conectado al pasillo. Dispone de un baño completo, un salón comedor amplio que conecta con una terraza perfectamente orientada para disfrutar del aire libre, y una cocina moderna con península que maximiza el espacio y el confort. Ubicado en el distrito Norte-Universidad, junto a la Galería Comercial Centro Iviasa, colegios, supermercados, iglesias y transporte público como MetroSur (línea 12) y Cercanías C‑5, todo a pocos minutos. El entorno se ha reforzado con la mejora del Parque Iviasa —una zona de casi 9 000 m² con nuevo ajardinamiento y riego automático— y cuenta con instalaciones deportivas como el Club Cultural Deportivo Iviasa con piscina, pistas de tenis y padel. Ideal como primera vivienda, para parejas o familias pequeñas, o como inversión inteligente, gracias al alto interés en compra y alquiler en Móstoles, ciudad en constante desarrollo residencial. Destaca por su luminosidad, distribución cómoda, terraza exterior y excelente ubicación con todos los servicios al alcance. ¡Una oportunidad única para vivir en uno de los mejores entornos residenciales de Móstoles! ¡No dudes en visitar tu nuevo hogar, te encantará! F I N A N C I A C I O N 1 0 0 %.",True,good,False,2850.0,True,False,False,False,[],False,False,285000.0,€,,,flat,,"Norte - Universidad, Móstoles",Piso en calle Pintor Ribera,5,True,True,,,,,
104323063,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/43/8b/78/1319203882.webp,W-02RC2P,46,725000.0,chalet,sale,429.0,9,3,Fuente el Saz de Jarama,Madrid,Fuente el Saz de Jarama,,es,40.6338207,-3.5150453,False,https://www.idealista.com/inmueble/104323063/,"Magnifica vivienda en plaza de Fuente el Saz Engel & Völkers presenta esta magnífica vivienda situada en la Plaza Mayor de Fuente el Saz. Con 428 metros construidos en un terreno de 488 metros cuadrados tenemos esta magnífica vivienda en la mejor situación posible. La fachada principal tiene acceso directo a la Plaza mayor junto al Ayuntamiento y también tenemos dos accesos a la calle lateral. La distribución es la siguiente: una espaciosa entrada recibidor, salón comedor con chimenea y techos con vigas de madera, dos amplias habitaciones, baño completo, cocina con lavadero y garaje. Desde la cocina accedemos por una escalera a la preciosa bodega. En la parte baja tenemos otras dos estancias multiusos. En la planta primera nos encontramos con seis magníficas habitaciones con terraza y balcón y un baño completo. Subimos hacia la terraza y estudio abuhardillado a través de una cómoda escalera de madera. En la última planta tenemos una gran terraza que bordea la vivienda con unas maravillosas vistas a la plaza principal, la iglesia y las montañas. En la parte exterior tenemos un gran patio con árboles frutales y múltiples posibilidades para ser disfrutado. Tiene salida lateral a la calle. Fuente el Saz es un municipio que se encuentra en el Noreste de la Comunidad de Madrid, con una población de unos 6.000 habitantes, se encuentra muy cerca de la ciudad de Madrid y de grandes municipios como Alcobendas y San Sebastián de los Reyes.  El municipio dispone de guarderías públicas y privadas, un colegio público de educación infantil, primaria y secundaria. También dispone de polideportivo y piscina municipal. A pocos kilómetros también tenemos varios colegios concertados y privados. También dispone de centro de salud e hipermercados. Se encuentra situado en un entorno natural, junto a la Vega del Rio Jarama y de la Sierra de Guadarrama. Las principales vías de acceso son la A-1, la M-50, la R-2 y la M-111 que da acceso a Barajas. Cuenta con un Servicio Público de transportes a Madrid- Plaza Castilla (bus 184 y 197). Este magnífico emplazamiento es ideal para aquellos que quieran disfrutar de un ambiente de tranquilidad rodeados de un entorno natural donde disfrutar de diferentes deportes al aire libre como la hípica o el Golf. Cuenta además con un área industrial y amplia oferta gastronómica.",False,good,False,1690.0,True,False,False,False,[],False,False,725000.0,€,True,True,chalet,semidetachedHouse,Fuente el Saz de Jarama,Chalet pareado,,,,,,,,
108602996,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ce/7c/9f/1349705204.webp,MV-2138,31,349000.0,flat,sale,65.0,3,1,calle de Francisca Conde,Madrid,Madrid,Tetuán,es,40.4683411,-3.6979388,False,https://www.idealista.com/inmueble/108602996/,"Grupo Extra Madrid, vende propiedad totalmente exterior y muy luminoso, situado en una segunda planta sin ascensor, en una finca de tres alturas.   La distribución actual cuenta con tres amplios dormitorios, salón con salida a un balcón terraza a calle Francisca Conde, baño completo con plato de ducha y cocina office independiente.  Todas las habitaciones del piso cuentan con muy buena altura de techos y ventanas grandes al exterior.  La vivienda tiene doble orientación, noroeste a calle Francisca Conde y sureste a patio interior, ambas orientaciones tienen vistas despejadas, lo cual permite además de una excelente ventilación cruzada, una luz natural durante todo el día.  De IBI se pagan 265€ y de comunidad 70€/mes con agua fría incluida.  Finca en perfecto estado del año 1965, la ITE (Inspección Técnica de Edificios) ha sido favorable en todas sus inspecciones, la próxima ITE es en el año 2033. Tomando en cuenta al tipo y forma que tiene la vivienda, es una casa que tiene muchas posibilidades de una nueva distribución, para ello contamos con un plano en su estado actual y planos alternativos para que se vea el potencial del piso. Gracias a su ubicación y muy buen estado de la finca y las comodidades que presenta, el piso es ideal para inversión ya que puede tener una muy buena rentabilidad, como también, ideal para vivir.    Muy buenas comunicaciones con transporte público: metro estación Ventilla a 6 minutos andando (Av. Asturias) y a 10 minutos estación metro Valdeacederas (calle de Bravo Murillo), paradas de autobús varias líneas (49, N22. ), a 8 minutos del Parque Rodríguez Sahagún y Parque de la Ventilla (Paseo de la Dirección) y a 15 min al Intercambiador de Plaza Castilla. Todo tipo de servicios y comercios en el entorno: Mercado de Tetuán, Lidl, DIA, Mercadona, Centro de Salud José Marva, Biblioteca Pública Manuel Vázquez Montalbán, Instituto Virgen de La Paloma, cercano al Parque de la Dehesa de la Villa y a la zona comercial del Bravo Murillo.",False,good,False,5369.0,True,False,True,False,[],False,False,349000.0,€,,,flat,,"Valdeacederas, Madrid",Piso en calle de Francisca Conde,2,True,False,Valdeacederas,,,,
106612795,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/27/7e/d5/1288719707.webp,1101,15,1095000.0,flat,sale,103.0,3,3,calle de Alfonso X,Madrid,Madrid,Chamberí,es,40.4342951,-3.6908361,False,https://www.idealista.com/inmueble/106612795/,"EN VENTA CON RENTABILIDAD.   ACTUALMENTE ALQUILADO HASTA JUNIO DE 2026. RENTA ALQUILER 4.000€ MENSUALES ¡Descubre este fantástico piso en la Calle Alfonso X! Un hogar perfecto para quienes buscan comodidad, luz natural y una ubicación excelente. Aquí te contamos lo que ofrece: 103 m² de espacio bien distribuido, ideal para vivir cómodamente. 3 habitaciones amplias, perfectas para adaptarse a tus necesidades. 2 baños completos y un aseo de cortesía para mayor comodidad y privacidad para todos los miembros de la familia o tus invitados. Exterior, lo que garantiza mucha luz natural en todos los ambientes. Totalmente amueblado y listo para entrar a vivir sin tener que preocuparte por nada. Ubicación excelente, cerca de todo lo que necesitas en la ciudad. Si buscas un lugar acogedor, práctico y con mucho estilo, ¡este piso es para ti!  ¡No dudes en venir a verlo, seguro te encantará! ¡Escríbenos y agenda una visita! The New es una firma inmobiliaria que nace del deseo de ofrecer algo diferente. Nos movemos entre el lujo, la elegancia y la cercanía, seleccionando espacios únicos y creando experiencias a medida para quienes valoran el diseño, el estilo de vida y la atención al detalle. Ofrecemos servicios de compraventa, interiorismo, property management y alquileres, siempre con una mirada cuidada y contemporánea. Cada propiedad que compartimos refleja nuestra filosofía: calidad, belleza y autenticidad. The New es una nueva forma de vivir Madrid.",False,good,False,10631.0,False,False,False,False,[],False,False,1095000.0,€,,,flat,,"Almagro, Madrid",Piso en calle de Alfonso x,en,True,True,Almagro,,,,
105963456,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/6d/54/66/1190945494.webp,MV6,26,375000.0,chalet,sale,127.0,3,3,calle Valle de Iruelas s/n,Madrid,Villalbilla,,es,40.4331229,-3.2846158,True,https://www.idealista.com/obra-nueva/105963456/,"¿Estás buscando un hogar dónde desconectar y estar en familia teniendo todos los servicios al alcance? ¿Qué te parecería poder ir al supermercado, colegios, centros de salud, polideportivos o simplemente ir a comer a un restaurante sin tener que coger el coche? Nuestra promoción se encuentra en una zona privilegiada que además, te permite ir andando a todas partes. El Mirador de Villalbilla es la primera promoción de obra nueva que tenemos a tan solo 5 minutos andando del casco antiguo de Villalbilla (Madrid) y a 10 minutos en coche de Alcalá de Henares (Madrid). Una urbanización de 20 chalets adosados de 3 y 4 dormitorios, siendo 2 de ellos pareados, con espacio suficiente para toda la familia y jardines de hasta 200 m2. Viviendas con excelentes calidades donde podrás elegir entre las diferentes opciones que planteamos. Podrás disfrutar cocinando en la cocina, que según tipología podrá ser integrada en el salón o independiente. Nuestras viviendas disponen de suelo radiante refrescante y sistema de aerotermia con lo que se consigue minimizar los consumos gracias a la certificación energética A. Cada chalet dispone de su propio jardín individual, para disfrutar con la familia y amigos. La urbanización cuenta con zonas comunes, jardín y piscina comunitaria para poder refrescarte los días de verano, y por supuesto no tienes que perder el tiempo buscando donde aparcar, porque cada vivienda tiene espacio para 2 vehículos con instalación de toma de corriente para electrolinera. ¿A qué te ves viviendo allí? No lo dudes y ven a visitarnos a nuestra oficina de ventas situada en C/ Arribes de Duero esquina C/ Hayedo de Montejo, en Villalbilla.",False,,True,2953.0,True,False,False,False,[],False,False,375000.0,€,True,True,chalet,semidetachedHouse,Villalbilla,Chalet pareado en calle Valle de Iruelas s/n,,,,,False,,,
