propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,newDevelopmentFinished
108403417,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/07/97/e7/1343367419.webp,CM-426719,34,3,2430000.0,flat,sale,313.0,True,5,4,Barrio Nuevos Ministerios-Ríos Rosas,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4374024,-3.6918003,False,https://www.idealista.com/inmueble/108403417/,"UNICA INMOBILIARIA presenta magnifica vivienda de 313 m² en una tercera planta con dos terrazas, estancias amplias y grandes posibilidades de reforma, ubicada en una de las zonas con mas demanda en Madrid, el Barrio de Chamberí. La propiedad se encuentra en una finca representativa de los años 50 y destaca por su gran tamaño y distribución funcional, ideal para adaptar a medida del nuevo propietario. Al acceder a la vivienda, nos recibe un amplio hall de entrada que da paso a tres generosos salones comunicados entre sí, todos con gran luminosidad y con acceso directo a una terraza principal con grandes dimensiones. Junto al salón se ubica una zona de comedor independiente y una gran cocina, que incluye zona de lavado anexa, terraza, cuarto de despensa y puerta de servicio. La zona de descanso, claramente diferenciada de la zona social, se compone de un dormitorio principal en suite con salida a una segunda terraza, tres dormitorios dobles con armarios empotrados, una habitación individual también con armario empotrado, dos cuartos de baño completos y un aseo de cortesía. La vivienda incluye plaza de garaje doble en la misma finca, trastero, servicio de portero físico y ascensor, lo que aporta comodidad y seguridad. Situada en una de las mejores zonas de Chamberí, a escasos minutos del Paseo de la Castellana, y rodeada de una excelente oferta de restaurantes, comercios, servicios y transporte público, esta propiedad representa una oportunidad única tanto como vivienda familiar como inversión. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro.",True,good,False,True,7764.0,True,False,True,True,[],False,False,2430000.0,€,True,True,flat,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso,Top,,,,,
108599034,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c8/f5/d4/1349588298.webp,,44,5,330000.0,flat,sale,98.0,True,3,1,calle Noya,Madrid,Alcorcón,Valderas - Los Castillos,es,Valderas - Los Castillos,40.3552289,-3.8120901,False,https://www.idealista.com/inmueble/108599034/,"La Casa Agency – Oficina de Lavapiés gestiona este maravilloso piso en venta en Alcorcón, ubicado en la tranquila y bien comunicada calle Noya. Se trata de una amplia vivienda situada en una quinta planta con ascensor, que destaca por su excelente distribución, su luminosidad y una espectacular terraza para disfrutar al aire libre. Con 98 m² construidos y 87 m² útiles, el piso ofrece un espacio cómodo y funcional, ideal para familias o como inversión. Al acceder a la vivienda, encontramos un hall de entrada que da paso a un salón espacioso y luminoso, perfecto para crear un ambiente acogedor y familiar. Dispone de tres dormitorios bien distribuidos, todos con luz natural y buena ventilación. La cocina independiente, funcional y con acceso a un tendedero cubierto de 3 m², ofrece un espacio cómodo para el día a día. El cuarto de baño completo está en buen estado y bien aprovechado. Uno de los grandes atractivos de esta propiedad es su terraza de 18 m², ideal para disfrutar de comidas al sol, momentos de relax o como zona de juego para los más pequeños. Un verdadero desahogo en plena ciudad. La finca está equipada con ascensor y se encuentra en una zona con todos los servicios al alcance: colegios, supermercados, zonas verdes, centros médicos y excelente conexión con transporte público. Justo enfrente tenemos el Corte Inglés de San José de Valderas y la estación de Renfe de Valderas. Un entorno cómodo y tranquilo, perfecto para quienes buscan calidad de vida sin renunciar a la cercanía con Madrid. No dejes pasar esta oportunidad de adquirir un piso con espacio, luz y una terraza que marca la diferencia. Contacta con La Casa Agency – Oficina de Lavapiés y agenda tu visita. ¡Estamos a tu disposición para ayudarte a encontrar tu nuevo hogar!",True,good,False,True,3367.0,True,False,True,True,[],False,False,330000.0,€,,,flat,"Valderas - Los Castillos, Alcorcón",Piso en calle Noya,Top,365000.0,35000.0,10.0,,
108375873,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b3/16/9c/1342252378.webp,CM-426708,32,5,1900000.0,penthouse,sale,137.0,True,2,2,Barrio Chueca-Justicia,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4258948,-3.6993228,False,https://www.idealista.com/inmueble/108375873/,"ÚNICA Inmobiliaria pone a su disposición magnífico ático con dos terrazas en el prestigioso barrio madrileño de Justicia. La vivienda se encuentra para actualizar y su actual distribución permite múltiples posibilidades ya que además se encuentra en la última planta. Se ubica en una quinta y última planta y cuenta con 137 metros cuadrados que se distribuyen en dos habitaciones, dos baños, cocina independiente y una gran zona de salón y comedor. Dispone además de dos terrazas independientes con orientación oeste que se acceden desde el salón y desde uno de los dormitorios.  Destacar la altura de techos de mas de 3 metros y la increíble luz natural de toda la vivienda. Cuenta con aire acondicionado y calefacción individual. Con respecto a la finca, de los años 90, se encuentra en perfecto estado de conservación, dispone de la ITE favorable y cuenta con ascensor y portero físico. En el barrio de Justicia conviven el elegante bulevar de la Gran Vía y sus edificios neoclásicos y boutiques de lujo con las originales tiendas de la calle Hortaleza, los locales nocturnos de Fuencarral, y los bistrós de moda y bares de tapas en los alrededores de la plaza Santa Bárbara. Vecinos de todas las edades se reúnen en el Mercado de San Antón, en el barrio de moda del centro de la capital. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro.",True,good,False,True,13869.0,True,False,True,False,[],False,False,1900000.0,€,,,flat,"Chueca-Justicia, Madrid",Ático,Top,2000000.0,100000.0,5.0,penthouse,
108768042,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/87/57/9f/1354560971.webp,8889PV-M,37,3,267500.0,flat,sale,65.0,True,1,1,calle del Peso Hispano,Madrid,Madrid,Carabanchel,es,Pau de Carabanchel,40.3690679,-3.7441431,False,https://www.idealista.com/inmueble/108768042/,"Mr. House Real Estate vende FANTÁSTICO APARTAMENTO en la mejor zona del PAU de Carabanchel ¡CON HONORARIOS INCLUIDOS EN PRECIO! En esta ocasión Mr. House Real Este te ofrece un magnífico apartamento frente al CC Isla Azul. Se trata de un piso de unos 40m2 útiles distribuidos en 1 dormitorio, baño completo, salón-comedor y cocina. Todas las estancias son totalmente independientes aunque actualmente cuenta con un ventanal que une salón y dormitorio para dotar de amplitud ambas estancias. Además dispone de GARAJE Y TRASTERO INCLUIDOS EN PRECIO. El inmueble está equipado con suelos de parqué, aire acondicionado por conductos con bomba frío y calor (en viviendas de este tamaño es la forma más económica de climatizar), ventanas de climalit, cocina amueblada, carpintería interior de madera maciza de roble, instalación de alarma, etc, Esta vivienda se encuentra en una URBANIZACIÓN PRIVADA que dispone de conserje físico, PISCINA COMUNITARIA, gimnasio y zonas comunes ajardinadas. Además se encuentra junto a todo tipo de servicios tales como el CENTRO COMERCIAL ISLA AZUL, centros educativos, centro deportivo, comercios de todo tipo, Paradas de autobuses urbanos e interurbanos, etc. SOLICITA MÁS INFORMACIÓN SIN COMPROMISO! En Mr. House Real Estate TE OFRECEMOS LAS MEJORES SOLUCIONES!",True,good,False,True,4115.0,True,False,True,False,[],False,False,267500.0,€,True,True,flat,"Pau de Carabanchel, Madrid",Piso en calle del Peso Hispano,Top,,,,,
108834185,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b9/94/a4/1356494091.webp,8895PV-M,58,,457500.0,chalet,sale,260.0,,5,3,calle Jaime I el Conquistador,Madrid,Parla,Reyes,es,,40.2367801,-3.7617993,False,https://www.idealista.com/inmueble/108834185/,"Mr. House Real Estate vende BONITO CHALET ADOSADO CON PISCINA en una de las mejores zonas residenciales de Parla ¡SIN COMISIONES DE COMPRA! En esta ocasión Mr. House Real Estate te ofrece la magnífica oportunidad de adquirir una vivienda adosada en el punto medio entre Las Américas, Zona Reyes y Parla Este. Se trata de una casa unifamiliar de unos 250m2 construidos en 4 plantas que se distribuyen de la siguiente forma: - PLANTA BAJA: Dispone de amplio salón-comedor, aseo y cocina. Además encontramos los accesos a los patios trasero y delantero. - PLANTA PRIMERA: Cuenta con 3 amplias habitaciones y 2 baños, uno de ellos en suite principal, y salida a terraza. - BUHARDILLA: Espacio multiusos ideal como dormitorio o salón de invierno. Además, tiene un apartado independiente actualmente utilizado como despacho. - PLANTA SÓTANO: Garaje amplio para un vehículo de grandes dimensiones y, al menos dos motos. Ideal para utilizar como espacio de almacenamiento. Además, tenemos una zona de almacenaje y un dormitorio de verano actualmente utilizado como gimnasio. El PATIO TRASERO está equipado con PISCINA de obra, zonas ajardinadas, zona solada para uso de cenador y trastero aprovechando el bajo escalera del porche. Esta vivienda se encuentra en PERFECTO ESTADO y está equipada con aire acondicionado en los dormitorios y salón, calefacción individual de gas natural, suelos de tarima en prácticamente toda la casa excepto en zonas húmedas, ventanas de climalit, puertas de roble, etc.  Algo a destacar de esta casa es su MAGNÍFICA UBICACIÓN; cercana a todo tipo de servicios tales como Centros Educativos de todo tipo, polideportivo municipal de Las Américas, Mercadona, Paradas de Autobuses urbanos e interurbanos, Centro de Salud de Isabel II, etc. SOLICITA MÁS INFORMACIÓN SIN COMPROMISO! En Mr. House Real Estate TE OFRECEMOS LAS MEJORES SOLUCIONES!",True,good,False,,1760.0,True,False,True,False,[],False,False,457500.0,€,True,True,chalet,"Reyes, Parla",Casa independiente en calle Jaime i el Conquistador,Top,,,,independantHouse,
108531592,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/17/68/1f/1348199295.webp,,30,3,370000.0,flat,sale,42.0,False,1,1,calle de Jorge Juan,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4252788,-3.6794775,False,https://www.idealista.com/inmueble/108531592/,"OPORTUNDAD. Propiedades Pozuelo ofrece encantador Apartamento en venta en una de las zonas más exclusivas de Madrid, a un paso del Retiro. Con una superficie de 42 m², este inmueble se encuentra en un estado impecable y es ideal tanto para vivir como para invertir, dada la alta demanda de alquiler en la zona. La vivienda cuenta con un salón dividido en dos estancias,  perfecto para disfrutar de momentos de relax o trabajo.  La cocina abierta está completamente equipada con electrodomésticos modernos, y el baño ha sido reformado recientemente con un práctico plato de ducha. El dormitorio doble, equipado con litera, ofrece un espacio acogedor y funcional. Además, los techos altos aportan una sensación de amplitud. El edificio, con una bonita fachada y un portal bien cuidado, dispone de ascensor y cámaras de vigilancia, garantizando seguridad y comodidad. Los gastos de comunidad son muy bajos, lo que añade un atractivo extra a esta propiedad. Con aire acondicionado y calefacción por bomba de frío/calor, disfrutarás de un ambiente agradable durante todo el año. ¡No pierdas la oportunidad de visitar este maravilloso apartamento y hacer de él tu nuevo hogar o inversión!",True,good,False,True,8810.0,True,False,True,True,[],False,False,370000.0,€,,,flat,"Goya, Madrid",Piso en calle de Jorge Juan,Top,380000.0,10000.0,3.0,,
108403497,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/84/fb/2f/1343377313.webp,85673335,54,7,2990000.0,penthouse,sale,320.0,True,3,3,calle de Castelló,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4343473,-3.6813411,False,https://www.idealista.com/inmueble/108403497/,"Excepcional ático rodeado por una gran terraza en la calle Castelló BARNES les presenta en exclusiva esta gran oportunidad, única en el mercado, por su característica excepcional de contar con una espectacular terraza perimetral que bordea la totalidad del piso, haciendo que absolutamente todas las estancias sean exteriores y disfruten de acceso directo al exterior. Desde cualquier punto del piso —ya sea el salón, el comedor, la cocina o cualquiera de las habitaciones— se accede directamente a la terraza, creando una fusión constante entre interior y exterior, con luz natural bañando cada rincón a lo largo del día.Esta singularidad convierte la propiedad en una joya arquitectónica difícil de encontrar en Madrid, donde la luminosidad, la amplitud y la privacidad se combinan de manera perfecta. Este ático, único en su planta, ofrece una superficie construida segun catastro de 198 m² y se complementa con 122 m² adicionales de terrazas privadas que permiten vivir el exterior como parte natural del interior. Al ingresar, un elegante hall en paralelo a la terraza da la bienvenida con una sensación inmediata de apertura y calidez. La zona social se compone de un amplio salón con ventanales de suelo a techo, una moderna cocina abierta con barra y un comedor independiente. La cocina cuenta también con una zona de lavandería independiente, aportando funcionalidad sin restar estilo. La zona de noche ofrece tres espaciosas habitaciones, dos de ellas en suite, y un tercer baño completo que también da servicio de cortesía. Cada dormitorio, con armarios empotrados y excelente distribución, disfruta de acceso directo a la terraza y de una atmósfera luminosa y acogedora en cualquier estación del año. La propiedad dispone de suelo radiante, trastero y se encuentra en un edificio con servicio de conserjería, lo que garantiza confort y seguridad en todo momento. Ubicado en la calle Castelló, en pleno barrio de Castellana dentro del codiciado distrito de Salamanca, este ático se encuentra rodeado de algunas de las calles más emblemáticas y exclusivas de Madrid, como Serrano, Ortega y Gasset y Príncipe de Vergara. Una zona reconocida por su elegancia, su oferta gastronómica y comercial de alto nivel y su ambiente residencial privilegiado. Esta propiedad representa una oportunidad extraordinaria. No solo por su ubicación incomparable, sino por la rareza de encontrar un ático con estas características: una vivienda totalmente exterior, rodeada de luz, con privacidad absoluta y una terraza que transforma cada espacio en algo especial.",True,good,False,True,9344.0,True,False,True,False,[],False,False,2990000.0,€,,,flat,"Castellana, Madrid",Ático en calle de Castelló,Top,,,,penthouse,
106648113,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/14/06/9a/1292523423.webp,85449224,61,5,4095000.0,flat,sale,275.0,True,3,4,calle de Serrano,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.43806,-3.6877586,False,https://www.idealista.com/inmueble/106648113/,"Este impecable apartamento recién reformado, ubicado en el corazón del prestigioso barrio de Salamanca en Madrid, combina a la perfección la elegancia atemporal con la sofisticación moderna. Con un total de 275 metros cuadrados, la propiedad cuenta con tres amplios dormitorios en suite, cada uno con su baño privado, además de un aseo de cortesía, lo que la hace ideal tanto para la vida familiar como para el entretenimiento. La cocina italiana de la marca Modulnova, completamente equipada y diseñada con precisión, se convierte en el centro del hogar, complementada con un mobiliario de gusto exquisito que resalta su estética refinada. Construido en 1965 y situado en la quinta planta, su orientación este permite una abundante entrada de luz natural durante todo el día, creando un ambiente luminoso y acogedor en cada estancia. La calefacción individual asegura el máximo confort durante todo el año, y una plaza de garaje exclusiva añade comodidad a la vibrante vida en Salamanca. Los gastos de comunidad ascienden a 524,90 € al mes, mientras que el IBI anual es de 2.850 €. El apartamento cuenta con un certificado energético con calificación E, que refleja la calidad de las actualizaciones realizadas y su diseño eficiente. Con un precio de 4.095. 000 €, esta propiedad ofrece una oportunidad única de adquirir una residencia de lujo completamente renovada en uno de los barrios más codiciados de Madrid, rodeada de gastronomía de primer nivel, tiendas exclusivas y atracciones culturales.",True,good,False,True,14891.0,True,False,True,False,[],False,False,4095000.0,€,True,True,flat,"Castellana, Madrid",Piso en calle de Serrano,Top,,,,,
106462670,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/38/df/1327900209.webp,85355610,60,8,2050000.0,penthouse,sale,157.0,True,3,2,calle de Manuel González Longoria,Madrid,Madrid,Chamberí,es,Trafalgar,40.4302872,-3.6971925,False,https://www.idealista.com/inmueble/106462670/,"Ubicado en el corazón del exclusivo barrio de Almagro, en una calle tranquila y llena de encanto, este magnífico ático ofrece una oportunidad única para una renovación que lo transformará en un espacio verdaderamente lujoso. Actualmente, la vivienda cuenta con 3 amplios dormitorios, 2 baños completos, una cocina independiente y un salón lleno de luz natural que se abre a una terraza privada con vistas impresionantes, ideal para disfrutar de momentos de relajación o de agradables veladas al aire libre. La disposición de la vivienda, con todas las habitaciones exteriores, garantiza una luminosidad excepcional y vistas despejadas, creando una atmósfera cálida y acogedora. Para mayor comodidad, el apartamento incluye un garaje de gran tamaño situado en el mismo edificio, con capacidad para dos coches pequeños o un vehículo de mayor envergadura, lo que es un auténtico lujo en esta zona. Además, el edificio se mantiene en perfecto estado gracias a una gestión cuidada y cuenta con un conserje disponible todos los días para asistir a los residentes, asegurando un entorno seguro y cómodo. Este ático es una verdadera joya en Almagro, ideal para aquellos que buscan una combinación de elegancia, confort y la oportunidad de crear un hogar personalizado y único. Le invitamos a descubrir esta y otras propiedades excepcionales en nuestra web. Las imágenes presentadas han sido creadas por BARNES Interiors mediante home staging virtual para ilustrar el potencial de la vivienda. Es importante destacar que el inmueble se vende sin amueblar. BARNES Interiors también ofrece servicios de interiorismo para esta propiedad por un coste adicional.",True,good,False,True,13057.0,True,False,True,False,[],False,False,2050000.0,€,True,True,flat,"Trafalgar, Madrid",Ático en calle de Manuel González Longoria,Top,,,,penthouse,
107104081,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/79/a2/64/1303798137.webp,426451,32,bj,1800000.0,flat,sale,214.0,True,3,3,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4235099,-3.6746572,False,https://www.idealista.com/inmueble/107104081/,"UNICA Inmobiliaria ofrece este inmueble con reforma y diseño mobiliario de lujo. Está ubicado en una de las calles más solicitadas del barrio de Goya, muy próximo al parque del Retiro y de todos los locales de restauración más reconocidos del barrio de Salamanca.  El inmueble cuenta con 214 m² que están distribuidos en un amplio salón comedor, con una gran cristalera desde la que disfrutar de la terraza. Tres dormitorios dobles, tres baños completos, cocina y lavadero. Terraza de 40 m², una de las joyas de este inmueble. Ofrece discreción y tranquilidad, de tal manera que nos abstrae del devenir de la ciudad.  Entramos y un elegante hall que da paso a un primer dormitorio a la izquierda, y un baño completo al otro lado.  Si avanzamos por la galería, encontramos el área de descanso, con los tres dormitorios, dos de ellos con baño en suite y al final del pasillo el magnífico salón con la espectacular terraza.  La zona de servicio, tanto la cocina como la zona de lavado, tienen ventana que avoca a un pequeño patio. Esta vivienda goza de muchos puntos fuertes, pero sin duda los más significativos son su localización, en el corazón del barrio de Goya, y la decoración.  Pocas viviendas gozan de tantos detalles, de una estructura tan exuberante, y de un patio de lujo. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",True,good,False,True,8411.0,True,False,True,False,[],False,False,1800000.0,€,,,flat,"Goya, Madrid",Piso,Top,,,,,
