propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.parkingSpacePrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107238277,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/13/0c/68/1338399387.webp,P1 1C,10,1,365000.0,flat,sale,114.0,True,3,2,"Arroyo Bueno, 1",Madrid,Madrid,Villaverde,es,Villaverde Alto,40.3481814,-3.7020925,True,https://www.idealista.com/obra-nueva/107238277/,"Jardines del Loira es un proyecto de 53 viviendas de 2 y 3 dormitorios todas con terraza.  Las viviendas se caracterizan por su magnífica distribución y su versatilidad. Un edificio con un diseño moderno y actual en una urbanización cerrada con piscina y zonas comunes, donde disfrutar tranquilamente de sus momentos de ocio. Ubicación exclusiva: Situada en una zona consolidada que cuenta con todo tipo de servicios colegios, centros deportivos, supermercados, etc… Muy bien comunicado por diferentes líneas de autobuses, a 5 minutos andando de la estación de cercanías Puerto Alcocer y cercana a estaciones de metro Plaza de garaje y trastero incluidos. Viviendas eficientes. Instalación para producción de calor y agua caliente sanitaria (A. C. S) mediante aerotermia. Sistema de climatización mediante suelo radiante/refrescante con control independiente por estancias, mejorando la sensación de confort térmico.  Ventilación mecánica mediante sistema de doble flujo con recuperación de calor. Las viviendas contarán con amplias opciones de personalización, como es habitual en los proyectos de Libra, para que cada vivienda sea única y diferente.",False,newdevelopment,True,True,False,3202.0,True,False,False,False,[],False,False,365000.0,€,True,True,flat,"Villaverde Alto, Madrid","Piso en Arroyo Bueno, 1",,,,,
104907403,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/2c/8b/1235513892.webp,3ºB,13,3,4037000.0,flat,sale,210.0,True,3,2,"calle Hermosilla, 60",Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4260273,-3.6804088,True,https://www.idealista.com/obra-nueva/104907403/,"Situado en Madrid, en el corazón del Barrio de Salamanca, Hermosilla 60 es una exclusiva promoción de viviendas prime, donde la arquitectura y la historia conviven con la modernidad de una de las zonas más codiciadas de la capital. 14 viviendas, totalmente personalizables, con unas calidades extraordinarias, y los servicios más modernos y exclusivos contemporáneos: zona de aguas, jardín interior, piscina y gimnasio. La unión entre ubicación, exclusividad, comodidad y arquitectura convierte a Recoletos en el distrito más deseado en la capital de España. La variedad de ocio es tan diversa como las calles que rodean el edificio. Desde clásicos establecimientos madrileños, santuarios de las marcas de moda más exclusivas, hasta acogedores bistrós y restaurantes internacionales, que reflejan la parte más cosmopolita. Con una fachada clásica que refleja la esencia del siglo XIX, el edificio se convierte en un refugio que honra su carácter tradicional, a la vez que se integra en el presente más vanguardista. Con zonas ajardinadas y rincones acogedores, el rooftop es el lugar perfecto para vivir momentos inolvidables en el centro de Madrid. Los exclusivos áticos de Hermosilla 60, dos joyas arquitectónicas que alzan la singularidad y la calidad de esta promoción.",False,,True,True,False,19224.0,True,False,False,False,[],False,False,4037000.0,€,,,flat,"Recoletos, Madrid","Piso en calle Hermosilla, 60",,,,,
108391665,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/cf/da/1296242740.webp,1ºA,10,1,1590000.0,flat,sale,152.0,True,2,3,"calle Bretón de los Herreros, 23",Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4397248,-3.6988035,True,https://www.idealista.com/obra-nueva/108391665/,"Savills presenta Bretón de los Herreros 23. En el corazón de Madrid, se encuentra este exclusivo proyecto con un total de 10 viviendas y 2 áticos.  Una fachada clásica con un toque renovado y contemporáneo son el equilibrio perfecto entre tradición y modernidad. La descripción perfecta de la zona donde se encuentra: Chamberí, sinónimo de historia, vanguardia y comodidad.  La distribución de los espacios está cuidadosamente diseñada para optimizar cada rincón, prestando atención a cada detalle para crear viviendas únicas, manteniendo estándares de calidad. La zona social, integra el salón-comedor con la cocina en un espacio amplio y luminoso, ofreciendo un equilibrio entre funcionalidad y confort.  La zona de descanso destaca por ser un espacio íntimo, donde se entrelazan la elegancia con la sofisticación, completos además con vestidor y baño en suite.  Finalmente, BH23 ofrecerá excepcionales zonas comunes diseñadas para satisfacer las necesidades de los residentes. Destaca su encantador patio inglés, un rincón tranquilo y lleno de luz natural, rodeado de vegetación. Además, contará con una espectacular piscina en la azotea, acompañada de instalaciones diseñadas para el máximo bienestar: sauna, sala de masajes, jacuzzi, cava de vinos y gimnasio, ofreciendo un espacio único para cuidar el cuerpo y la mente en un entorno exclusivo y de confort.  Posibilidad de adquirir plaza de garaje adicional en el mismo edificio.  Obras iniciadas.  Fecha de entrega: último trimestre de 2026.",True,,True,True,False,10461.0,True,False,False,False,[],False,False,1590000.0,€,True,False,flat,"Nuevos Ministerios-Ríos Rosas, Madrid","Piso en calle Bretón de los Herreros, 23",50000.0,,,,
106978812,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/23/e0/a4/1299334538.webp,3º B,12,3,390000.0,penthouse,sale,158.0,True,2,1,"Zarza, 21",Madrid,Alcorcón,Centro,es,Casco Antiguo,40.3489915,-3.827297,True,https://www.idealista.com/obra-nueva/106978812/,"BOSS INMOBILIARIA comercializa el proyecto de viviendas ZARZA 21, que se ubica en pleno corazón de Alcorcón, junto a la Plaza de España y el Ayuntamiento. Su situación privilegiada hace de esta promoción una oportunidad única de adquirir una vivienda en la mejor zona de Alcorcón. A tan solo 5 minutos a pie de la estación de Renfe Alcorcón Central, de la estación de Metro Sur Parque Lisboa y del Hospital Universitario.  Al estar en el pleno centro del municipio están garantizados todos los servicios como supermercados, farmacias, restaurantes y todo tipo de comercio de cercanía, además de grandes superficies como el Centro Comercial Tres Aguas o el Corte Inglés. La zona está estupendamente comunicada al contar con una amplia red de líneas de autobuses, Metro y Renfe, acceso directo a la A-5 y M-40, lo que permite en pocos minutos estar en el corazón de Madrid. EL PROYECTO ZARZA 21 consta de 10 viviendas con tipologías de 1 y 2 dormitorios, áticos con espectaculares terrazas de 50 m2 y viviendas en planta baja dúplex con patio privado. El edifico, haciendo esquina, en la parte alta de la Plaza de las Hermandades, proporciona a las viviendas una gran luminosidad al tener grandes espacios abiertos con terrazas; siendo todas exteriores. Las soluciones adoptadas en el residencial ZARZA 21 buscan conseguir unos niveles óptimos en cuanto a eficiencia energética y de confort, lo que redundará en un menor consumo y por tanto menor gasto económico, un comportamiento del edificio más respetuoso con el medio ambiente, así como una mejora de la habitabilidad de las viviendas. Los salones con amplios ventanales permiten potenciar la iluminación natural de la vivienda además de reducir las necesidades de refrigeración de la misma.  La climatización por aerotermia, energía limpia que genera un claro ahorro energético y económico así como un mayor respeto por el medio ambiente, es a través de suelo radiente/refrescante por agua, hace que el sistema trabaje a menor temperatura que los sistemas tradicionales y permite un reparto más homogéneo y racional del calor/frío. Además, favorece la mejor calidad del aire por mantener un nivel de humedad adecuado evitando producir sequedad en el ambiente o la proliferación de ácaros, al disminuir las corrientes de aire que favorecen la aparición de polvo. Todo esto redunda en un claro aumento del confort interior de las viviendas.  Ubicación única, diseño excepcional, confort y eficiencia se unen en este proyecto. ZARZA 21 no es solo un lugar para vivir, si no para invertir en tu futuro y crear tu nuevo hogar. Es una oportunidad única para ser parte de una comunidad vibrante y disfrutar de un estilo de vida moderno en el corazón de una de las ciudades más dinámicas de Europa.",False,newdevelopment,True,True,False,2468.0,True,False,False,False,[],False,False,390000.0,€,,,flat,"Casco Antiguo, Alcorcón","Ático en Zarza, 21",,penthouse,,,
108007807,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/4f/51/1322348507.webp,,20,,265000.0,chalet,sale,152.0,,4,4,"calle Párroco Fernando Agudo Maroto, 7",Madrid,Aldea del Fresno,,es,,40.3255582,-4.2019868,True,https://www.idealista.com/obra-nueva/108007807/,"Residencial San Pedro  6 viviendas unifamiliares adosadas de obra nueva.  Con Alta Eficiencia Energética.  Excelentes calidades.  Fachada terminada en mortero acrílico terminación placa de fibrocemento pintado, con un importante ahorro energético y un exterior resistente a las inclemencias meteorológicas. Impecable y duradero.  CARPINTERÍA EXTERIOR E INTERIOR  La carpintería exterior de PVC en color negro antracita.  Vidrio con doble acristalamiento con gas argón en cámara como  mejora del aislamiento.  Puerta de acceso a la vivienda blindada del mismo color que carpintería y con panelado de melamina al interior con el mismo acabado que el resto de puertas interiores.  Pintura plástica lisa en los paramentos de toda la vivienda.  Puertas de paso de MDF lacadas en blanco y decoradas mediante fresado horizontal o lisas.  Frente de armario de tablero de 16mm blanco en la cara interior acordes con puerta de paso. Se incluye balda del maletero superior y barra para colgar. Interiormente acabado con tablero textil.  Rodapié de DM hidrófugo lacado en mismo color blanco del resto de la carpintería interior.  ACABADOS INTERIORES  Suelo de tarima laminada de gran formato especial para Aerotermia (suelo radiante y refrescante).  Falso techo de placas de yeso laminado como acabado superior en toda la vivienda con acabado de pintura plástica lisa en baños y pasillos.  COCINA  Se diseña como un amplio espacio compartido con el salón que permite una relación continua con el resto de la vivienda.  La cocina cuenta con preinstalación, ofreciendo al cliente la posibilidad de diseñarla completamente a su gusto, adaptándola a sus necesidades y estilo personal.  BAÑOS  Grifería INEX o similar mediante rociador cromo con brazo y maneta mono mando.  Plato de ducha de resina y carga mineral textura pizarra.  Lavabos UNISAN O FOSSIL NATURA o similar de loza cerámica sobre encimera.  Alicatados con piezas de gres porcelánico de primera calidad en gran formato 90 x 30 cm.  CLIMATIZACIÓN Y ACS  En la constante búsqueda de la comodidad y el confort de nuestros clientes, se plantea un sistema de generación de frío y calor mediante instalación de aerotermia con apoyo de instalación de paneles Fotovoltaicos.  Suelo radiante y refrigerante con regulación independiente mediante termostato en salón y dormitorios.  ILUMINACIÓN, ELECTRICIDAD Y TELECOMUNICACIONES  Videoportero y colocación de luminarias en zonas comunes y garaje  Todos los dormitorios y salones estarán tomas de TV, datos y teléfono.",False,,True,,False,1743.0,True,False,False,False,[],False,False,265000.0,€,True,True,chalet,Aldea del Fresno,"Chalet adosado en calle Párroco Fernando Agudo Maroto, 7",,terracedHouse,,,
108715463,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/ff/cf/1282269061.webp,Viv-4,6,,497000.0,chalet,sale,185.0,,3,3,calle Sancho II s/n,Madrid,Alcalá de Henares,Espartales,es,,40.5136004,-3.3605271,True,https://www.idealista.com/obra-nueva/108715463/,"Licencia solicitada.  Dryas pone a tu disposición 56 exclusivos chalets adosados de 3 dormitorios, en Espartales Norte, un barrio residencial al norte de Alcalá de Henares. Cada chalet cuenta con planta baja, planta primera y gran bodega iluminada naturalmente por un patio inglés. Todas las viviendas disponen de jardín privativo posterior, donde existe la posibilidad de añadir una piscina (opcional con coste), así como aparcamiento en superficie en la parte delantera de la casa para hasta dos coches. Las viviendas destacan por su sostenibilidad, incorporando aerotermia y suelo radiante refrescante, lo que garantiza un alto nivel de confort y eficiencia energética. Además, el barrio ofrece todo tipo de servicios y dotaciones. Dryas, en el corazón de Espartales Norte, a un paso de Madrid.   El equilibrio en el metraje de cada estancia, junto con el gran espacio en la bodega, hace que cada vivienda sea versátil y funcional, ideal para familias que buscan diferentes espacios para disfrutar. En Espartales, a un paso de Madrid La excelente ubicación de Dryas, en Alcalá de Henares, muy cerca del centro histórico, pone a tu alcance todos los servicios que necesitas: desde colegios hasta supermercados, pasando por superficies deportivas, centros de salud y una gran oferta de ocio. La promoción se sitúa en Espartales, una tranquila zona residencial a menos de 10 minutos en coche al centro de la ciudad. Los traslados a Madrid y otros municipios de la zona te resultarán comodísimos a través de una rápida conexión con la A-2, R-2.",False,newdevelopment,True,,False,2686.0,True,False,False,False,[],False,False,497000.0,€,True,True,chalet,"Espartales, Alcalá de Henares",Chalet adosado en calle Sancho Ii s/n,,terracedHouse,,,
108048819,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e1/5d/67/1332294709.webp,2A,4,2,505000.0,flat,sale,106.0,True,2,2,"camino de Perales, 26",Madrid,Madrid,Usera,es,12 de Octubre-Orcasur,40.3812117,-3.6922337,True,https://www.idealista.com/obra-nueva/108048819/,"Residencial Manzanares Park View El Registro de Demandantes de Vivienda y Suelo de CONCOVI (Confederación de Cooperativas de Vivienda y Rehabilitación de España) presenta el futuro “Residencial Manzanares Park View”. Se trata de una oportunidad única en el distrito de Usera, situada en un entorno estratégico en el sur de Madrid, a orillas del río Manzanares, en un paisaje urbano en plena transformación y desarrollo, rodeado de importantes zonas verdes, destacando entre otros el Parque de Madrid Rio y Pradolongo, que ofrecen amplias zonas de recreo y deporte para sus residentes. Este Residencial, se ubicará en la calle Camino de Perales 26, Madrid y contará con 16 exclusivas viviendas de 1, 2 y 3 dormitorios, bajo con jardín y 2 áticos, en urbanización privada con zona común y piscina. El Residencial cuenta además con 27 plazas de garaje y 16 trasteros, en el sótano del edificio. Según palabras del arquitecto redactor, el “Residencial Manzanares Park View”, nace de la necesidad de crear un espacio que refleje armonía y funcionalidad en cada rincón. Inspirados en la belleza natural y la simplicidad de las formas orgánicas, hemos diseñado un entorno que no solo respeta su contexto, sino que también enriquece la experiencia de sus ocupantes. El concepto arquitectónico se basa en la integración de los elementos naturales y la arquitectura moderna. La estructura se compone de líneas limpias y abiertas, que permiten una conexión fluida entre los espacios interiores y exteriores. La iluminación natural juega un papel fundamental, creando ambientes cálidos y acogedores. Manzanares Park View está inspirado en la serenidad y la majestuosidad de los paisajes naturales, la idea es atraer la calma y la belleza del exterior hacia el interior, generando un refugio que promueva la tranquilidad y el bienestar. Los colores, materiales y texturas han sido cuidadosamente seleccionados para evocar la pureza y la simplicidad de la naturaleza. Además, hemos incorporado elementos que recuerdan la tradición artesanal, creando una fusión entre lo contemporáneo y lo tradicional. En conclusión, nuestro proyecto arquitectónico representa una convergencia única de naturaleza y modernidad, sostenibilidad y funcionalidad. Cada detalle ha sido diseñado para ofrecer una experiencia que sea a la vez estética y práctica, inspirada en la serenidad de la naturaleza y guiada por una profunda conciencia ambiental.",False,newdevelopment,True,True,False,4764.0,True,False,False,False,[],False,False,505000.0,€,True,True,flat,"12 de Octubre-Orcasur, Madrid","Piso en camino de Perales, 26",,,,,
108816255,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/24/2d/1355967438.webp,I.C.8º,18,8,430000.0,flat,sale,85.0,True,3,2,calle de las Islas Cíes,Madrid,Madrid,Fuencarral,es,Peñagrande,40.4797176,-3.7174857,False,https://www.idealista.com/inmueble/108816255/,"ESTUDIO HOME MADRID OFRECE espectacular vivienda de 85m2 según Catastro, en octava planta exterior, con terraza abierta y vistas despejadas, totalmente reformado, orientación sur, en la zona de Peñagrande. Según la distribución actual, la vivienda consta de salón comedor con acceso a una acogedora terraza abierta y cocina americana, tres dormitorios, un cuarto de baño con plato de ducha y un aseo de cortesía, hall de entrada y pasillo distribuidor. Dispone de trastero de 9 m2 incluido en el precio. En cuanto a sus calidades, la vivienda cuenta con puerta de entrada blindada; suelos de tarima; cerramientos exteriores de aluminio con rotura de puente térmico y acústico tipo “Climalit” y apertura oscilobatiente; carpintería interior de roble; paredes en liso; se encuentra completamente insonorizada en todo su perímetro con materiales de altas calidades; dispone de pre-instalación de aire acondicionado y calefacción individual de gas natural.  Finca con dos ascensores, rampa con acceso para personas con movilidad reducida, instalación de gas natural.  Está ubicada en la zona norte de la ciudad de Madrid, dentro del distrito municipal de Fuencarral-El Pardo, en el barrio de Peñagrande. Zona con todos los servicios (centros médicos, supermercado, bancos, …), a 5 minutos andando del Centro Comercial La Vaguada. Diferentes colegios próximos al inmueble, como pueden ser el CEIP Bravo Murillo, Colegio Virgen de Mirasierra, Colegio La Salle Sagrado Corazón, Escuela Oficial de Idiomas, etc. Hay que destacar que está a escasos 10 minutos de las espectaculares zonas verdes del Monte del Pardo.  Zona muy bien comunicada con el Centro de la ciudad. Dispone de transporte público muy cerca de la vivienda, como es la parada de Metro de la Avenida de la Ilustración (línea 7) y varias líneas de autobús como 4, 127, etc. ESTUDIO HOME MADRID, agencia inmobiliaria con 20 años de experiencia en el sector, les ofrece asesoramiento jurídico, fiscal y financiero, realizando un seguimiento personalizado durante todo el proceso de compraventa.  Agencia inmobiliaria inscrita en el RAIN (Registro de Agentes Inmobiliarios de la Comunidad de Madrid).",False,good,False,True,,5059.0,True,False,False,False,[],False,False,430000.0,€,,,flat,"Peñagrande, Madrid",Piso en calle de las Islas Cíes,,,,,
107259205,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2f/1d/43/1355993079.webp,4A,13,4,367500.0,flat,sale,122.0,True,3,2,"calle Talco, 82",Madrid,Madrid,Villaverde,es,Villaverde Alto,40.344063,-3.7153127,True,https://www.idealista.com/obra-nueva/107259205/,"INICIO DE OBRA EN SEPTIEMBRE 2025 75% YA RESERVADO  Esta vivienda ofrece la posibilidad de hacerla a tu medida por el mismo precio: Puedes elegir tener una vivienda de 3 dormitorios y cocina americana. O convertirla en una de 2 dormitorios con uno de ellos en suite de 20m2 o con cocina y el salón independientes. Sin coste adicional. Tú eliges. Además incluye balcón. Plaza de garaje a parte a 17.000 €. El edificio Talco cuenta con viviendas de 1, 2 y 3 dormitorios y 600 m2 de espacios comunes: terraza en azotea, huerto urbano, dos locales multiusos y lavandería, entre otros. Un edificio con certificado energético A para ahorrar en la factura de la luz, gracias a su diseño eficiente y producción de energía solar. Las zonas comunes incluyen más de 170 m2 en azotea con terraza, con un local y huerto urbano. Y en planta baja, cuenta con 400 m2 que incluyen un gran soportal con patio y jardín, un local para usos múltiples (coworking, cocina o sala de juegos), lavandería y parking de bicis. Contacta para conocer todos los detalles y hacer tu reserva.",False,newdevelopment,True,True,False,3012.0,True,False,False,False,[],False,False,367500.0,€,True,False,flat,"Villaverde Alto, Madrid","Piso en calle Talco, 82",17000.0,,,,
106651043,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/c3/07/1242031619.webp,16,20,,1200000.0,chalet,sale,263.0,,5,5,Bajo s/n,Madrid,Torrelodones,Las Marías,es,,40.5701859,-3.9409252,True,https://www.idealista.com/obra-nueva/106651043/,"COMPLEJO RESIDENCIAL CON 32 VIVIENDAS UNIFAMILIARES DE 4 Y 5 DORMITORIOS MÁS DESPACHO CON AMPLIAS ZONAS COMUNES El complejo residencial Natura Torrelodones está ubicado en la urbanización de Las Marías (Torrelodones). A 30 minutos de Madrid, con unas comunicaciones excelentes tanto en vehículo privado, a través de la A6, fáciles accesos a la M40 y M50, como en transporte público, al disponer de estación de tren por la que discurren varias líneas de cercanías que conectan el municipio con la Estación de Chamartín en 30 minutos. LICENCIA DE OBRA CONCEDIDA. Natura Torrelodones goza de un emplazamiento privilegiado integrado en un entorno inmejorable en plena naturaleza con vistas de la Sierra de Madrid. Este ámbito exclusivo demanda una promoción única, singular, que respete el medio ambiente natural en el que se ubica, consiguiendo una fusión perfecta con el entorno. La promoción consta de 32 viviendas unifamiliares pareadas de cuatro y cinco dormitorios más despacho, con dos plazas de garaje, jardín con piscina privada y zonas comunes. Las viviendas están distribuidas en dos plantas. Todas ellas cuentan con jardín en planta baja con piscina privativa y terraza en planta primera con salida desde el dormitorio principal. Integrado en el entorno que le rodea y con un diseño paisajístico muy cuidado, Natura Torrelodones ofrece una zona común con carril de nado, estanque naturalizado, zona de solárium y extensas sendas naturales con zona de control de accesos. ACCIONA desarrolla exclusivamente viviendas ecoeficientes certificadas e integra en todos sus proyectos iniciativas de ahorro energético, consumo racional de agua y construcción limpia. ACCIONA certifica que este proyecto ha sido desarrollado siguiendo los más altos estándares de sostenibilidad y eficiencia energética, empleando materiales de primera calidad y con la última tecnología para garantizar la eficiencia energética, el cuidado del medio ambiente y la reducción del consumo en suministros: - Calificación energética A - Certificación de sostenibilidad BREEAM®, que valora la eficiencia energética y el cuidado del entorno.",True,,True,,False,4563.0,True,False,False,False,[],False,False,1200000.0,€,True,True,chalet,"Las Marías, Torrelodones",Chalet pareado en Bajo s/n,,semidetachedHouse,,,
