propertyCode,thumbnail,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,floor,exterior,neighborhood,hasLift,parkingSpace.parkingSpacePrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
97746558,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4b/d2/28/1337501883.webp,78,935000.0,chalet,sale,360.0,5,5,avenida de las Rozuelas 19 a 29 s/n,Madrid,Torrelodones,Casco Antiguo,es,40.5748381,-3.9181484,True,https://www.idealista.com/obra-nueva/97746558/,"OBRA FINALIZADA Vendemos un excelente chalet pareado de 360 m2 construidos en parcela de 400 m2, de reciente construcción, en una de las mejores zonas de Torrelodones. Excelentes calidades y terminaciones.  La parcela consta de acceso peatonal con puerta independiente desde la vía pública y acceso de vehículos independiente desde la vía pública, con aparcamiento descubierto en superficie para dos vehículos de dimensiones 3x5 m cada una de ellas, estando pavimentado. Acera peatonal que comunica la puerta de la cancela con la puerta de entrada a la vivienda. Frente al salón se ha dispuesto una terraza solada sobre el terreno natural de 18,58 m2. Cada parcela cuenta con una piscina individual de dimensiones de lámina de agua de 6x2 m, con una superficie de 12m2. El resto de la parcela se encuentra libre. La vivienda se compone de 2 plantas sobre rasante y una planta sótano dotada con patios ingleses que le aportan ventilación y luz natural, por lo que lo hace habitable. La edificación consta de 360,23 m2 construidos que se distribuyen de la siguiente manera: La planta baja, a ras de calle, con una superficie construida de 108,32 m2, se compone de un recibidor, distribuidor, un baño completo, un despacho o dormitorio, salón-comedor-estar, cocina, porche posterior y escalera de comunicación vertical con planta sótano y planta primera. Está climatizada esta planta con suelo radiente de frío/calor La planta primera, con una superficie de 94.59 m2, se compone de escalera de comunicación vertical con planta baja, distribuidor, dormitorio principal dotado de vestidor, baño y terraza plana transitable descubierta de 34.32 m2 con acceso desde el dormitorio 1, dormitorio 2, dormitorio 3, dormitorio 4 dotado de baño y un baño común. Esta planta está climatizada, al igual que la sótano, con suelo radiente de frío/calor.  La planta sótano, con una superficie construida de 108 m2, destinada a usos varios con sala de usos múltiples, salón de juegos-gimnasio, cuarto de lavado, almacén trastero, cuarto de instalaciones, un baño, escalera de comunicación vertical con planta baja y dos patios ingleses, de 7.50 m2 cada uno, ubicados en las fachadas norte y sur que aportan ventilación y luz natural.   El chalet dispone de aerotermia apoyada por placas solares que hacer que sea reducido el consumo eléctrico  La construcción se ha realizado con medidas anti radón ya que se ha realizado una cámara bufa a nivel del suelo del sótano, sobre ella se ha colocado una lámina asfáltica especial para gas radón justo por debajo del solado del sótano, el gas radón se recoge en dicha cámara bufa y mediante un extractor eléctrico se expulsa por la chimenea vertical que sobresale por la cubierta de la vivienda expulsando el gas radón recogido en el sótano al exterior de la vivienda, por el punto más elevado de esta. Cocina no incluida en el precio. Se ofrece, como opcional, la posibilidad de entregar con cocina amueblada.",True,newdevelopment,True,False,2597.0,True,False,False,False,[],False,False,935000.0,€,True,True,chalet,semidetachedHouse,"Casco Antiguo, Torrelodones",Chalet pareado en avenida de las Rozuelas 19 a 29 s/n,,,,,,,,,
108445515,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9c/e4/10/1346505459.webp,52,585000.0,chalet,sale,180.0,4,3,calle el Hórreo,Madrid,Mataelpino,,es,40.7305815,-3.9565068,False,https://www.idealista.com/inmueble/108445515/,"Sin comisión al comprador! Un Refugio entre Montañas: Tu nuevo hogar en la urbanización El Bosque de Mataelpino  A tan solo 45 km de Madrid y a 35 minutos del aeropuerto, se encuentra esta joya escondida entre la majestuosidad de la Sierra de Guadarrama. Una casa independiente en una urbanización privada de solo 47 chalets, rodeada de naturaleza en estado puro, caminos de montaña, y el murmullo sereno del río, visible y audible desde tu propio jardín. Aquí, la tranquilidad se convierte en un lujo diario. Este encantador chalet de dos plantas ofrece una distribución funcional y acogedora: Planta baja: un amplio salón-comedor con chimenea y grandes ventanales que conectan interior y paisaje, una cocina con isla central, un dormitorio y un baño completo. Ideal para vivir cómodamente sin necesidad de subir escaleras. Planta alta: tres dormitorios, incluyendo una luminosa habitación principal con baño en suite, además de un segundo baño completo y acceso a una gran terraza exterior techada. Este espacio, con vistas abiertas al entorno natural, ofrece la posibilidad de ampliación, permitiendo añadir una o dos habitaciones más con baño si así lo deseas. En el exterior, el jardín es una auténtica prolongación del entorno natural, con sistema de riego por goteo, iluminación nocturna, cenador y una magnífica barbacoa. Todo ello acompañado por la presencia constante del río cercano, cuya vista y sonido envuelven el ambiente de paz y frescura. Garaje exterior incluido y una excelente conservación general: lista para entrar a vivir. Un hogar perfecto para quienes buscan calidad de vida, aire puro y conexión con la naturaleza sin alejarse de la ciudad. Las estaciones de esquí de Navacerrada y Valdesquí están a pocos kilómetros, así como innumerables rutas de senderismo, miradores y rincones únicos por descubrir. Ubicación inmejorable Naturaleza que se respira, se escucha y se vive Espacios cálidos, versátiles y con posibilidad de expansión Vivir aquí no es solo una elección de casa, es una elección de vida. ¿Quieres conocerla?",True,good,False,,3250.0,False,False,False,False,[],False,False,585000.0,€,True,True,chalet,independantHouse,Mataelpino,Casa independiente en calle el Hórreo,5ad99cff-b7fd-4fa0-968a-a2820b21b5cc,,,,,,,,
108499486,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/48/ec/1346727644.webp,8,549000.0,flat,sale,40.0,1,1,calle de Castelló,Madrid,Madrid,Barrio de Salamanca,es,40.4379887,-3.6790747,False,https://www.idealista.com/inmueble/108499486/,"Encantadora vivienda reformada en Castellana – Lista para entrar a vivir. Presentamos esta acogedora propiedad de 40 m², recientemente reformada con un diseño moderno y funcional. Ideal para quienes valoran la comodidad en un entorno urbano privilegiado, este espacio ofrece un dormitorio luminoso y un baño completo, pensados para el confort diario. La cocina totalmente equipada permite disfrutar de una experiencia culinaria práctica, mientras que la climatización por aire acondicionado y calefacción a gas asegura bienestar durante todo el año. Además, la vivienda es accesible para personas con movilidad reducida, aportando funcionalidad y accesibilidad sin barreras. Su excelente estado de conservación y la calidad de los acabados hacen de esta opción una oportunidad lista para entrar a vivir, sin necesidad de reformas. Ubicación – Castellana, Salamanca, Madrid Ubicada en el prestigioso barrio de Castellana, dentro del cotizado distrito de Salamanca, esta propiedad se encuentra rodeada de servicios de alta gama, boutiques exclusivas, restaurantes de renombre y zonas verdes. Con excelentes conexiones de transporte público y acceso rápido a las principales vías de la ciudad, es el lugar perfecto para quienes buscan una vida cómoda y elegante en el corazón de Madrid.",False,good,False,,13725.0,True,False,False,False,[],False,False,549000.0,€,,,flat,,"Castellana, Madrid",Piso en calle de Castelló,8b570053-614e-4096-98f0-35247bb38cbf,6,True,Castellana,False,,,,
108585564,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7d/bf/50/1349186312.webp,37,329000.0,flat,sale,79.0,4,1,calle del Poeta Blas de Otero,Madrid,Madrid,Ciudad Lineal,es,40.4237425,-3.6514482,False,https://www.idealista.com/inmueble/108585564/,"Se vende estupenda vivienda exterior ubicada en una de las zonas más consolidadas y bien comunicadas del distrito de Ciudad Lineal, en el barrio de La Elipa. Una oportunidad ideal para familias, en una finca tranquila con portero automático y acceso adaptado. El piso se encuentra en la planta 8 del edificio, lo que le proporciona gran luminosidad y unas vistas despejadas espectaculares de Madrid, incluyendo la emblemática torre de telecomunicaciones de Torrespaña. Está listo para entrar a vivir, con todas las estancias bien cuidadas y en perfecto estado de uso. DISTRIBUCIÓN Y ESTANCIAS: Salón comedor con ventanales amplios, bien ventilado y con excelente entrada de luz natural. Cocina independiente totalmente equipada, con mobiliario funcional, buena capacidad de almacenaje y electrodomésticos incluidos. Cuatro habitaciones, todas exteriores, con suelos de parquet y carpintería bien conservada. Baño completo con plato de ducha, mampara, mueble bajo lavabo y ventana al exterior. Terraza cerrada con vistas panorámicas, perfecta como zona de relax, despacho o espacio adicional. CARACTERÍSTICAS ADICIONALES:  Calefacción individual por gas natural. Carpintería exterior de aluminio. Suelos de parquet en muy buen estado. Comunidad tranquila con buen mantenimiento. Ascensor. UBICACIÓN PRIVILEGIADA: Situado a escasos minutos del Metro La Elipa (L2), con paradas de autobús cercanas y acceso rápido a la M-30. El entorno cuenta con supermercados, farmacias, centros escolares, zonas verdes como el parque de El Calero y todos los servicios necesarios para el día a día. Una vivienda luminosa, bien distribuida y con una ubicación excelente. Lista para entrar a vivir. ¡No pierdas la oportunidad de visitarla! El precio de venta no incluye los gastos de Notaría, registro e impuestos.",True,good,False,,4165.0,True,False,False,False,[],False,False,329000.0,€,,,flat,,"Ventas, Madrid",Piso en calle del Poeta Blas de Otero,07612,8,True,Ventas,True,,,,
108355500,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/af/d9/26/1342668750.webp,37,1050000.0,penthouse,sale,62.0,1,1,avenida del Mediterráneo,Madrid,Madrid,Retiro,es,40.4062913,-3.6687228,False,https://www.idealista.com/inmueble/108355500/,"Descubre este encantador ático reformado ubicado en una de las zonas más agradables de Madrid. Con una superficie interior de 62 m², esta vivienda combina a la perfección estilo y funcionalidad tras una reforma integral realizada en 2025. Al entrar, encontrarás una cocina moderna, amueblada y equipada, abierta al salón-comedor, lo que aporta amplitud y luminosidad al espacio. Desde aquí se accede a una espectacular terraza de 120 m², ideal para disfrutar del aire libre, relajarte o recibir invitados. El dormitorio principal es acogedor y cuenta también con acceso directo a la terraza, aportando un toque exclusivo al espacio de descanso. El piso dispone de un baño completo y todas las comodidades modernas, incluyendo aire acondicionado, ventilador de techo y calentador de gas, para asegurar el confort durante todo el año. Ubicado en una finca del año 1965, el edificio conserva su carácter clásico, mientras que el interior de la vivienda ofrece un estilo contemporáneo y listo para entrar a vivir. Una opción perfecta tanto como primera vivienda, pied-à-terre o inversión con gran proyección. Situado en el corazón del barrio de Niño Jesús, este ático se encuentra en una zona tranquila y residencial, muy bien conectada con el resto de la ciudad. A pocos pasos del Parque del Retiro y con acceso cercano a transporte público, colegios, hospitales y comercios, ofrece un equilibrio ideal entre calidad de vida y ubicación privilegiada.",True,good,False,,16935.0,False,False,False,False,[],False,False,1050000.0,€,,,flat,penthouse,"Estrella, Madrid",Ático en avenida del Mediterráneo,5ef94531-c31e-426c-8879-cb1c0c4c3127,8,True,Estrella,True,,,,
106117538,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8e/d2/3a/1273408739.webp,39,1450000.0,flat,sale,195.0,1,1,calle de la Princesa,Madrid,Madrid,Centro,es,40.4253492,-3.7113248,False,https://www.idealista.com/inmueble/106117538/,"¡Descubre esta joya en el corazón de Malasaña! Este apartamento de 130 m² es una oportunidad única para crear el hogar de tus sueños. Con 1 dormitorio y 1 baño, este espacio necesita reformas, ofreciéndote la libertad de personalizar cada rincón a tu gusto. La vivienda se vende con el local que se encuentra debajo, el cual tiene licencia de uso de local. Ubicado en un edificio clásico con servicio de portero y ascensor, disfrutarás de comodidad y seguridad en una de las zonas más vibrantes de Madrid.  Malasaña es un barrio vibrante y bohemio ubicado en el centro de Madrid, conocido por su ambiente alternativo, creativo y juvenil. Situado entre la Gran Vía y el barrio de Chueca, Malasaña se caracteriza por sus calles estrechas llenas de bares, cafeterías, tiendas vintage, librerías, galerías de arte y locales de música en vivo. Históricamente, fue el epicentro de ""La Movida Madrileña"" en los años 80, un movimiento contracultural que dejó su huella en el espíritu del barrio, haciéndolo un lugar de expresión artística y libertad. A pesar de su crecimiento, Malasaña ha conservado su carácter ecléctico y sigue siendo un espacio donde lo tradicional y lo moderno conviven. Es una zona muy popular entre los jóvenes y turistas por su animada vida nocturna, su oferta cultural y su aire auténtico y diverso. No pierdas la oportunidad de invertir en una de las áreas más deseadas de la ciudad. ¡Visítalo hoy mismo y visualiza el potencial de este espacio único!",True,renew,False,,7436.0,False,False,False,False,[],False,False,1450000.0,€,,,flat,,"Malasaña-Universidad, Madrid",Piso en calle de la Princesa,3e17ee4b-cb82-4df2-9bcd-2d4fa765f34c,1,True,Malasaña-Universidad,True,,,,
103282770,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a6/1a/06/1274198369.webp,45,2310000.0,flat,sale,241.0,4,4,"calle Ana Teresa, 1",Madrid,Madrid,Moncloa,es,40.460485,-3.7804196,True,https://www.idealista.com/obra-nueva/103282770/,"Inicio de obra en febrero de 2024 y fin de obra prevista en otoño de 2026. Próximo proyecto de Single Home, segunda fase, El Bosque de Aravaca II, ubicado en la calle Ana Teresa, número 1, Aravaca. Madrid. Promoción de 45 viviendas distribuidas en 8 bloques, de diferentes tipologías: apartamentos de 1 habitación con una superficie cerrada de desde 83m2, viviendas de 2 habitaciones +1 de servicio desde 138m2, 3+1 desde 180m2 y 4+1 desde 210m2. Disponemos de un bloque de viviendas de un 3+1 especial desde 295m2. Bajos con porches y jardín, primeros con porche y terraza y segundos con terrazas en planta y además una terraza diáfana superior con pérgola en ático. Parcela cerrada y vallada, con vigilancia de 24 h. con jardines y piscina privada, garajes y trasteros ubicada en frente del parque del Paseo de la Ermita de Aravaca. Está ubicada en el centro de una zona residencial del distrito Aravaca, salida 10 de la A-6. Accesible por la A-6, la M-40 y la estación de tren ""El Barrial-Centro Comercial Pozuelo”. Solicite una cita previa por teléfono o correo electrónico para visitar nuestra oficina de ventas de Madrid ubicada en la calle Pléyades, 6, Aravaca. Madrid.",False,,True,False,9585.0,False,False,False,False,[],False,False,2310000.0,€,True,True,flat,,"Aravaca, Madrid","Piso en calle Ana Teresa, 1",Bloque 1º 2 A,2,True,Aravaca,True,,,,
108102199,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/89/bb/1333882617.webp,25,278000.0,flat,sale,130.0,3,2,"Andalucía, 1",Madrid,San Martín de la Vega,,es,40.2141804,-3.5844886,True,https://www.idealista.com/obra-nueva/108102199/,"Veganatura está ubicado en una zona residencial consolidada y muy tranquila, junto a un gran parque recientemente reacondicionado. La promoción cuenta con una excelente comunicación, salida directa a la M-506 que conecta con la A4 a la altura de Pinto. La urbanización cuenta con una amplia zona verde privada, piscina comunitaria y sala social. Excelente elección de acabados y certificación energética A.",False,newdevelopment,True,False,2138.0,True,False,False,False,[],False,False,278000.0,€,True,True,flat,,San Martín de la Vega,"Piso en Andalucía, 1",2ºF,2,True,,True,,,,
108707082,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/6a/bc/1352735738.webp,32,1919000.0,flat,sale,146.0,3,3,"calle de Alcántara, 11",Madrid,Madrid,Barrio de Salamanca,es,40.4268042,-3.6740893,True,https://www.idealista.com/inmueble/108707082/,"Elegancia y confort en el corazón del Barrio de Goya Se presenta esta magnífica vivienda situada en la primera planta de la calle Alcántara 11, en el emblemático Barrio de Goya, distrito de Salamanca, Madrid. La propiedad cuenta con 146 m² construidos, distribuidos en 3 amplios dormitorios, 3 baños completos, una cocina totalmente equipada y un espacioso salón comedor con acceso a terraza. La vivienda ha sido recientemente reformada con materiales de alta calidad y se entrega amueblada, lista para entrar a vivir. Dispone de aire acondicionado, servicio de portería y se encuentra en una zona con excelente oferta de servicios, comercios, restauración y transporte público. Una oportunidad excepcional para vivir o invertir en una de las zonas más demandadas de Madrid.",False,good,False,,13144.0,True,False,False,False,[],False,False,1919000.0,€,,,flat,,"Goya, Madrid","Piso en calle de Alcántara, 11",07308,1,True,Goya,True,,,,
108913520,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/e9/f2/1359122027.webp,11,249900.0,flat,sale,27.0,1,1,calle Alcalá,Madrid,Madrid,Barrio de Salamanca,es,40.4308103,-3.6654173,False,https://www.idealista.com/inmueble/108913520/,"HOMLI presenta este estudio de 27 m² construidos es una opción perfecta para inversores o como primera vivienda en la ciudad, ubicado en una de las avenidas más emblemáticas de Madrid Se encuentra en buen estado y dispone de calefacción individual, lo que garantiza confort durante todo el año. El edificio destaca por su portal amplio y representativo, con zonas comunes para sentarse y servicio de conserjería, aportando un extra de comodidad y seguridad. Una excelente oportunidad en una ubicación inmejorable, con todos los servicios a mano y gran potencial de rentabilidad. Las imágenes han sido generadas con inteligencia artificial basándose en las características reales de la vivienda y su potencial. HOMLI, código de propiedad 21588.",False,good,False,,9256.0,False,False,False,False,[],False,False,249900.0,€,,,flat,,"Guindalera, Madrid",Piso en calle Alcalá,21588,bj,False,Guindalera,True,,,,
