propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology
108338979,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/50/c9/ed/1341174945.webp,22,4,195000.0,flat,sale,35.0,False,1,1,calle de Embajadores,Madrid,Madrid,Arganzuela,es,Chopera,40.3961197,-3.6948317,False,https://www.idealista.com/inmueble/108338979/,"ALQUILADO Agencia inmobiliaria de MADRID – zona DELICIAS – PASEO DELICIAS - ATOCHA – EMBAJADORES - TECNOCASA - VENDE - OPORTUNIDAD ALQUILADO Vivienda REFORMADA Vende en la zona de Delicias, ubicado en una de la calles principales del barrio con todo tipo de servicios por la zona (supermercados, gimnasios, centro de salud, restaurantes.. . ). Muy bien comunicado con el transporte público, comercios, bibliotecas y un ambiente muy agradable. A solo escasos minutos de la estación de metro de pacifico. La vivienda cuenta con: - Salón - Cocina independiente - 1 Habitación amplia con cama grande - Baño completo con ducha La vivienda tranquila. A 10 minutos de la estación de atocha, no dude en concertar una visita. Es la zona mejor comunicada del distrito, teniendo salidas por carretera (A3 Valencia, M30…) y por calles principales (Paseo Delicias, Embajadores, …). Además cuenta con diversidad de comercios como supermercados, farmacias, hospitales, hoteles, etc. Las líneas de metro que dan servicio a este barrio son la 3 y la 6 ¡GRAN OPORTUNIDAD!",False,good,False,False,5571.0,False,False,False,False,[],False,False,195000.0,€,210000.0,15000.0,7.0,flat,"Chopera, Madrid",Piso en calle de Embajadores,,,,,
108903888,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/42/fe/6c/1358466316.webp,43,3,270000.0,flat,sale,65.0,True,3,1,calle Madrid,Madrid,Getafe,Getafe Centro,es,,40.3089271,-3.7278341,False,https://www.idealista.com/inmueble/108903888/,"� ¡VENTA GARANTIZADA! VIVIENDA EN EXCLUSIVA EN LA CALLE MADRID DE GETAFE – 3 DORMITORIOS, EXTERIOR Y LUMINOSA ¡Oportunidad única en pleno centro de Getafe! Alquiler Protegido – Real Estate ofrece en exclusiva esta amplia y luminosa vivienda exterior ubicada en la misma calle Madrid, en la zona de Getafe Central, a escasos minutos de la Universidad Carlos III.  Características principales: Superficie útil: (añadir m² si lo tienes) 3 dormitorios (2 dobles y 1 individual) Salón de paso con acceso a terraza exterior y terraza cerrada Cocina independiente, completamente vacía Baño completo con plato de ducha Finca con ascensor y acceso adaptado para personas con movilidad reducida Vivienda sin calefacción � Ubicación inmejorable: Situada en una zona estratégica, ideal tanto para vivir como para invertir, especialmente por su cercanía a la universidad (¡a solo 3 minutos andando! ), lo que permite una alta demanda de alquiler con una rentabilidad estimada superior al 7,5%. � Conectividad y servicios: A menos de 10 minutos andando de las estaciones: Getafe Central (Cercanías C4 y Metro L12) Juan de la Cierva (Metro L12) Excelente conexión por carretera: A-42 y M-45 Entorno con todos los servicios: centros de salud, farmacias, supermercados, bancos, colegios, correos… todo a menos de 500 metros. � Sobre nosotros: Somos Alquiler Protegido – Real Estate, con más de 15 años de experiencia, 13.000 propietarios satisfechos y más de 8.000 inmuebles alquilados. Visítanos en nuestras oficinas en Carabanchel, Vallecas, Tetuán, Getafe y Alicante. � ¿Te interesa? Contáctanos para más información o concertar una visita. Este anuncio es informativo y no tiene carácter contractual. Puede contener errores.",False,good,False,True,4154.0,False,False,False,False,[],False,False,270000.0,€,,,,flat,"Getafe Centro, Getafe",Piso en calle Madrid,28-02270,,,,
106703884,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/37/38/c8/1294085720.webp,17,en,1999000.0,flat,sale,220.0,True,3,4,calle de la Libertad,Madrid,Madrid,Centro,es,Chueca-Justicia,40.42332,-3.6970278,False,https://www.idealista.com/inmueble/106703884/,"DIZA Consultores les presenta este impresionante piso de lujo, nuevo a estrenar, en la zona de moda de Madrid, entre Justicia y Gran Vía. Con una superficie de 220 metros cuadrados, esta propiedad ofrece un diseño clásico y moderno, distribuyéndose en 3 amplias habitaciones, cada una con su baño en suite, asegurando privacidad y comodidad para todos los miembros de la familia. El amplio salón, esta dividido en varios ambientes, junto con una cocina independiente y una zona de comedor muy amplia, crea un espacio perfecto para la convivencia y el entretenimiento. Además, cuenta con aseo para visitas y zona de lavandería independiente. Esta vivienda resalta las máximas calidades y los acabados de lujo que caracterizan a toda la vivienda. Vive la experiencia de habitar un hogar sofisticado, con todas las comodidades y en una ubicación inmejorable, rodeado de las mejores tiendas y restaurantes. DIZA Consultores Inmobiliarios Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla. Convertimos Sueños en Hogares.",False,good,False,False,9086.0,False,False,False,False,[],False,False,1999000.0,€,,,,flat,"Chueca-Justicia, Madrid",Piso en calle de la Libertad,DS-P66015B,,,,
107802929,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/06/fe/dc/1341134936.webp,29,bj,390000.0,flat,sale,144.0,True,1,1,paseo de la Dirección,Madrid,Madrid,Tetuán,es,Berruguete,40.457173,-3.7080602,False,https://www.idealista.com/inmueble/107802929/,"Moderno loft dúplex de obra nueva con terraza privada. Descubre este exclusivo loft en Berruguete, Tetuán, Madrid, con 144 m² de espacio diseñado para ofrecer confort y funcionalidad. Actualmente en fase de proyecto, esta propiedad brinda la oportunidad de personalizar cada detalle según tus necesidades. La distribución incluye un amplio dormitorio y un baño completo, con acabados modernos y una disposición óptima del espacio. La cocina totalmente equipada se integra armoniosamente en el diseño, mientras que los armarios empotrados aportan organización y estilo. La vivienda cuenta con una terraza privada, perfecta para disfrutar del aire libre en un entorno tranquilo. Para mayor comodidad, dispone de aire acondicionado y calefacción eléctrica, asegurando un ambiente agradable en cualquier estación del año. También ofrece un práctico cuarto de almacenamiento y está adaptado para garantizar accesibilidad a personas con movilidad reducida. Ubicado en Berruguete, dentro del distrito de Tetuán, este dúplex se encuentra en una zona vibrante de Madrid con una excelente oferta de comercios, servicios y transporte público. Su proximidad a zonas clave de la ciudad lo convierte en una opción ideal para quienes buscan un hogar moderno en un entorno urbano bien comunicado. PRECIO SIN IVA DE 21%.",False,good,False,False,2708.0,False,False,False,False,[],False,False,390000.0,€,,,,flat,"Berruguete, Madrid",Piso en paseo de la Dirección,64b047a8-8c32-4d6d-8ded-adf40de3ec7c,,,,
107396902,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c4/65/d5/1311677280.webp,12,4,759000.0,flat,sale,84.0,True,2,2,Barrio Malasaña-Universidad,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4216118,-3.7017961,False,https://www.idealista.com/inmueble/107396902/,"Ponemos a su disposición la venta de este exclusivo piso de 84 metros cuadrados catastrales, totalmente reformado a estrenar. Situado en una de las calles más representativas y emblemáticas del barrio Universidad, conocido como el Soho madrileño. Ubicado en la cuarta y última planta del edificio. La finca es representativa con ascensor. Esta vivienda tiene una fantástica ubicación en una de las zonas más exclusivas de Madrid. El barrio de Universidad nos ofrece magníficos edificios, iglesias y palacetes del siglo XVIII, además de estar junto a importantes embajadas, cedes políticas, universidades y colegios. La zona se encuentra perfectamente comunicada por transporte público con toda la ciudad. Todo ello hace de este inmueble una excelente oportunidad vivir o invertir. La vivienda tiene una distribución muy práctica, en donde encontramos una entrada con un bonito pasillo, que dirige a la zona de estar, compuesta por salón comedor con dos balcones a la calle. Con cocina americana, se entrega amueblada y equipada con electrodomésticos de gama alta y muebles hechos a medida. La zona de descanso la componen dos dormitorios, siendo uno en suite. Toda la vivienda cuenta con aire acondicionado por conducto y dispone de calefacción central. Esta propiedad se encuentra situada en una finca clásica, encontrándose en perfecto estado de conservación y con ITE favorable. Disponemos de varios inmuebles similares en esta zona que solo pueden estar anunciados en nuestra web por expreso deseo de sus propietarios. Si desean verlos pueden hacerlo pinchando en el enlace adicional ubicado al final del anuncio.",False,good,False,True,9036.0,True,False,False,False,[],False,False,759000.0,€,,,,flat,"Malasaña-Universidad, Madrid",Piso,BHHS-MAD-0599,,,,
98046325,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/34/73/5f/1047658658.webp,49,4,2950000.0,flat,sale,335.0,True,4,5,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4367973,-3.6795157,False,https://www.idealista.com/inmueble/98046325/,"Fortuny Real Estate ofrece en venta propiedad de 335 m2, excelente ubicación, situada en la 3era planta exterior de una finca en el Barrio de Salamanca. Se trata de una vivienda recién reformada con acabados de lujo. Estará distribuida por un amplio salón comedor con cocina estilo americana completamente amueblada y equipada con electrodomésticos de alta gama. Acabados de madera natural, luces LED de ambiente y juegos de luces que permitirán mantener una excelente iluminación de la vivienda. Se entregará totalmente amueblado. Se distribuye en su zona de descanso por 4 dormitorios y 4 cuartos de baños en suite, 2 de ellos con tanto bañera como ducha y los restantes con ducha, un aseo de cortesía adicional. Destaca por su exclusiva reforma de diseño y confort. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,True,8806.0,True,False,False,False,[],False,False,2950000.0,€,,,,flat,"Lista, Madrid",Piso,PIS1984,,,,
108381917,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/d4/b0/1328727209.webp,6,1,592980.0,flat,sale,100.0,True,2,2,calle Huerta Grande s/n,Madrid,Pozuelo de Alarcón,Zona Pueblo,es,Zona Pueblo,40.4367253,-3.8283981,True,https://www.idealista.com/obra-nueva/108381917/,"RESIDENCIAL PHOENIX S. COOP. MAD. ES ADJUDICATARIA DE LA PARCELA EN EL AMBICIOSO ÁMBITO DE HUERTA GRANDE, POZUELO DE ALARCÓN  Bienvenido a Residencial Phoenix, exclusivas viviendas de 2, 3 y 4 dormitorios con plaza de garaje, trastero, en el ambicioso ámbito de Huerta Grande en Pozuelo de Alarcón. Huerta Grande, es un nuevo desarrollo urbanístico en el corazón de Pozuelo de Alarcón, una de las zonas residenciales más demandadas de Madrid por su calidad de vida, tranquilidad y excelente ubicación. Viviendas de 2, 3 y 4 dormitorios, con amplias terrazas, distribución funcional, y excelentes calidades. Viviendas basadas en la sostenibilidad y ahorro energético. Se tomarán las medidas necesarias para obtener alta calificación energética, ahorrarás en tus facturas desde el primer día, sin renunciar al confort.  Disfruta de unas zonas comunes pensadas para ti y tu familia tales como piscina, zonas verdes, zona infantil para los más pequeños y una gastroteca donde celebrar momentos especiales con familia y amigos. Huerta Grande tiene una ubicación inmejorable, está situado en una zona privilegiada de Pozuelo, rodeado de naturaleza y a un paso de todo lo que necesitas: Excelentes comunicaciones: fácil acceso a la M-40, M-503 y A-6, además de cercanías RENFE y varias líneas de autobús. Cercano a los mejores colegios y universidades: Colegio Retamar, British Council, Kensington School, American School of Madrid, Universidad Francisco de Vitoria, entre otros. Rodeado de zonas comerciales, supermercados, restaurantes, centros deportivos y de ocio. Próximo a espacios naturales como el Parque Forestal Adolfo Suárez y la Casa de Campo. Huerta Grande te ofrece el equilibrio perfecto entre vida urbana y naturaleza, ideal para familias, parejas o quienes buscan un entorno tranquilo sin renunciar a las comodidades de la ciudad. Nota: Este proyecto se gestiona en régimen de Cooperativa. Residencial Phoenix S. Coop. Mad. , ya está constituida. La documentación mostrada pertenece al anteproyecto en fase de desarrollo por lo que es orientativa y no tiene carácter contractual dado que es susceptible de cambio.",False,,True,True,5930.0,True,False,False,False,[],False,False,592980.0,€,,,,flat,"Zona Pueblo, Pozuelo de Alarcón",Piso en calle Huerta Grande s/n,P3 1ºB,False,,,
108216178,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/ce/68/1358960417.webp,6,2,309200.0,flat,sale,73.0,True,2,2,"Calle Maricara, 13",Madrid,Madrid,Villaverde,es,Butarque,40.3391902,-3.6789711,True,https://www.idealista.com/obra-nueva/108216178/,"Mirador de Villaverde es un proyecto único de 27 viviendas en PROMOCION DIRECTA.  PRECIO CERRADO, NO COOPERATIVA Cuenta con LICENCIA DE OBRAS.  Se trata de un conjunto residencial de diseño elegante y moderno formado por 27 viviendas de 2 DORMITORIOS y 2 baños, con PLAZA DE GARAJE y TRASTERO incluidos en el precio.  CERCANIA AL CENTRO DE MADRID: a tan sólo 20 minutos de la estación de Atocha en transporte público y a 15 minutos de la Plaza de Legazpi. Mirador de Villaverde ofrece ESPACIOS COMUNES ÚNICOS diseñados para el disfrute, un oasis que invita a la tranquilidad en el que disfrutarán de:  -Piscina. -Sala comunitaria. -Zona independiente para el estacionamiento de bicicletas. -Distintos ambientes en las zonas ajardinadas. -Videoportero y dos ascensores con acceso a todas las plantas -La iluminación de las zonas comunes estará dotada de sensores de presencia que garantizarán un consumo eficiente. -Preinstalación de recarga de coches eléctricos en las plazas de garaje. Las viviendas contarán con ALTA EFICIENCIA ENERGÉTICA gracias al aislamiento de la envolvente del edificio y al innovador y eficiente sistema de climatización y agua caliente mediante AEROTERMIA INDIVIDUAL.  La promoción se encuentra en una ubicación inmejorable en la zona nueva de Butarque, un barrio joven en plena expansión en el que disfrutar de un entorno natural ideal para el paseo y el deporte al aire libre, con todo tipo de servicios a su alcance (colegios, comercios, centro de salud, parques, etc. ).  El barrio de Butarque cuenta con fantásticas conexiones por carretera y transporte público con el centro de Madrid. Mirador de Villaverde además está sito junto a varias paradas de autobús, a tan sólo 10 minutos de la estación de cercanías de la línea C3 y próxima a las principales carreteras que conectan el barrio de Butaque con Madrid Centro (M40, M30 y A4).",False,newdevelopment,True,True,4236.0,True,False,False,False,[],False,False,309200.0,€,,,,flat,"Butarque, Madrid","Piso en Calle Maricara, 13",TIPO 4 - 2ª,False,True,True,
108746290,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7f/e9/b0/1353898711.webp,9,,1575000.0,chalet,sale,350.0,,4,5,"avenida Leopoldo Calvo-Sotelo Bustelo, 41",Madrid,Pozuelo de Alarcón,Zona Estación,es,Zona Estación,40.4530086,-3.7954654,True,https://www.idealista.com/obra-nueva/108746290/,OBRAS EMPEZADAS: Finalizan en Junio 2026. Nueva promoción de Chalets pareados en Pozuelo de Alarcón.,False,newdevelopment,True,,4500.0,True,False,False,False,[],False,False,1575000.0,€,,,,chalet,"Zona Estación, Pozuelo de Alarcón","Casa independiente en avenida Leopoldo Calvo-Sotelo Bustelo, 41",,False,True,True,independantHouse
107210019,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/69/5c/1306243623.webp,13,1,1250000.0,flat,sale,170.0,True,3,3,Barrio Sol,Madrid,Madrid,Centro,es,Sol,40.4167473,-3.7045998,False,https://www.idealista.com/inmueble/107210019/,"Te presentamos esta exclusiva vivienda de 170 metros cuadrados catastrales, con tres dormitorios y tres baños, completamente reformada a estrenar. Ubicada en la primera planta alta de una elegante finca, situada en una de las calles más emblemáticas y turísticas del barrio de Sol, a solo unos pasos de la Gran Vía y de la Plaza Mayor, esta propiedad ofrece una ubicación inmejorable en pleno corazón de Madrid. Este inmueble se encuentra en una de las zonas más codiciadas y demandadas de la ciudad, con fácil acceso a toda la oferta cultural, comercial y de ocio que ofrece Madrid. Además, la zona cuenta con excelentes conexiones de transporte público, lo que garantiza una total comodidad y accesibilidad. Todo esto convierte a esta vivienda en una opción perfecta tanto para vivir como para invertir en uno de los enclaves más exclusivos de la capital. La propiedad se accede a través de un elegante recibidor con armario gabanero, que nos lleva a una amplia zona de estar con un gran salón, desde el cual se tiene acceso a dos hermosos balcones que aportan una excelente luz natural. A continuación, se encuentra una zona de comedor independiente con acceso a una moderna cocina americana, también con balcón, completamente equipada con electrodomésticos de alta gama y muebles hechos a medida. La zona de descanso consta de tres amplios dormitorios. Dos de ellos cuentan con baño en suite, y todos disponen de armarios empotrados, ofreciendo un máximo aprovechamiento del espacio. Un tercer baño completo, de diseño moderno, se destina al uso de cortesía. La vivienda se entrega totalmente amueblada y equipada, con un diseño interior de altísima calidad, obra de un reconocido estudio de arquitectura, que ha cuidado hasta el más mínimo detalle en cuanto a acabados e iluminación. El edificio ha sido completamente rehabilitado y cuenta con ascensor, manteniendo todo su carácter y encanto original. Este inmueble es una oportunidad única para vivir o invertir en una de las zonas más exclusivas de Madrid. Además, disponemos de varios inmuebles similares en la misma zona que solo están disponibles en nuestra web por expreso deseo de sus propietarios. Si deseas conocerlos, puedes hacerlo a través del enlace adicional al final de este anuncio. ¡No pierdas la oportunidad de vivir en el corazón de Madrid!",False,good,False,True,7353.0,True,False,False,False,[],False,False,1250000.0,€,,,,flat,"Sol, Madrid",Piso,BHHS-MAD-0554,,,,
