propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
92059142,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/40/85/829832999.webp,2818,27,4,1290000.0,flat,sale,135.0,True,2,2,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4370337,-3.6810823,False,https://www.idealista.com/inmueble/92059142/,"Fortuny Real Estate ofrece Excelente inmueble a reformar con terraza en el Barrio de Salamanca. La vivienda, en una tranquila ubicación, tiene 135 m² construidos, es una cuarta planta exterior con buena distribución, orientación oeste, y con excelentes posibilidades de reforma. Cuenta con una terraza de 14 metros cuadrados con vistas despejadas. Dispone actualmente de hall, despacho, dos salones con salida a la terraza, 3 dormitorios, dos cuartos de baño. Esta formidable vivienda está ubicada en una amplia finca de los años 60 con un elegante portal recién reformado. Las fotos corresponden a un proyecto de reforma. Tiene ascensor, servicio de portería. Posibilidad de adquirir plaza de garaje por 30.000€ Excelente conexión con las principales líneas de metro y y autobús y rápido acceso a la M30. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,renew,False,True,9556.0,True,False,False,False,[],False,False,1290000.0,€,True,False,30000.0,flat,"Lista, Madrid",Piso,,,,,
106220313,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e1/a5/59/1299440189.webp,34018fe7-8cda-4604-ba6e-ab745d11befb,51,,3500000.0,chalet,sale,436.0,,4,5,calle Badajoz,Madrid,Pozuelo de Alarcón,Urbanizaciones,es,La Cabaña,40.4222309,-3.8403459,False,https://www.idealista.com/inmueble/106220313/,"Descubre el hogar de tus sueños en esta exclusiva vivienda de 3 plantas, donde lujo y tecnología se fusionan en cada detalle. Con una superficie de 435 m² construidos sobre una parcela de 807 m², esta impresionante propiedad ofrece 5 amplias habitaciones, 5 baños (uno de ellos en suite) y espacios diseñados para brindarte el máximo confort y bienestar.  Desde la sofisticada zona de sauna hasta una innovadora sala de rayos X y un área de criogenización, esta casa va más allá de lo convencional. Disfruta de su piscina climatizada durante todo el año y relájate en su jardín, ambientado con una exquisita iluminación que crea un entorno mágico al aire libre. La avanzada domótica te permite controlar tanto la iluminación como la climatización desde tu móvil, asegurando una experiencia de vida inigualable.  Para los momentos de ocio, la vivienda cuenta con un área especialmente diseñada para la diversión, equipada con futbolín y mesa de ping-pong, ideal para disfrutar con familiares o amigos. Esta propiedad redefine el concepto de exclusividad y confort, ofreciendo un estilo de vida donde cada detalle ha sido pensado para tu máximo disfrute. Ubicada en Pozuelo de Alarcón, uno de los municipios más prósperos y exclusivos de la Comunidad de Madrid, esta vivienda te brinda un entorno natural privilegiado junto con una alta calidad de vida. Pozuelo ofrece amplias zonas verdes, como el Parque Forestal de Somosaguas y el Monte del Pilar, perfectas para el ocio y actividades al aire libre. Es un área ideal para familias, gracias a su excelente infraestructura educativa con colegios de alto nivel y universidades como la Francisco de Vitoria y la Complutense.  Pozuelo cuenta con modernas urbanizaciones, chalets de lujo y una excelente comunicación con Madrid, a través de varias líneas de tren de cercanías, autobuses y fácil acceso a autopistas como la A-6 y la M-40. En este tranquilo y seguro entorno, disfrutarás de una vida cómoda y exclusiva cerca de la capital, sin renunciar a la serenidad de la naturaleza. ¡Ven a conocer esta propiedad y déjate sorprender por todo lo que tiene para ofrecer!",False,good,False,,8028.0,False,False,False,False,[],False,False,3500000.0,€,True,True,,chalet,"La Cabaña, Pozuelo de Alarcón",Casa independiente en calle Badajoz,independantHouse,,,,
91638283,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/10/1c/fd/819627063.webp,PIS1079,29,4,1890000.0,flat,sale,202.0,True,4,2,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4219642,-3.6738855,False,https://www.idealista.com/inmueble/91638283/,"Fortuny Real Estate ofrece magnífico piso exterior a reformar en finca representativa. El inmueble consta de 202 metros cuadrados distribuidos, en un amplio salón-comedor, con 2 ventas y un agradable balcón a la calle, 4 dormitorios, 2 baños y una amplia cocina individual. Inmueble con balcón y maravillosas vistas. La distribución y amplitud del inmueble le otorga numerosas posibilidades de reforma, para adaptarlo a las preferencias y necesidades del propietario. Mantiene la esencia del edificio, con las vidrieras originales, techos altos con molduras, suelo de pino melis. Solo dos vecinos por planta, cuenta con ascensor y conserje. Su buena comunicación con los diferentes transportes, le hacen ser un enclave idílico, además de su cercanía con los servicios comerciales y de ocio, y cercano del Parque del Retiro. Las grandes avenidas del siglo XIX del glamuroso barrio de Salamanca están llenas de restaurantes de alta cocina y boutiques de diseñadores, especialmente en la ""Milla de Oro"". Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,renew,False,True,9356.0,True,False,False,False,[],False,False,1890000.0,€,,,,flat,"Goya, Madrid",Piso,,,,,
106145229,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/d5/e3/1276232365.webp,3372,21,5,1450000.0,flat,sale,126.0,True,3,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4287862,-3.6774486,False,https://www.idealista.com/inmueble/106145229/,"Exclusiva vivienda en el prestigioso barrio de Salamanca, ideal para quienes buscan lujo, estilo y confort. Los 126 m² están distribuidos de manera eficiente, garantizando espacios amplios y bien iluminados. Esta elegante propiedad cuenta con 3 amplios y luminosos dormitorios, diseñados para proporcionar la máxima comodidad y privacidad. Cada habitación destaca por su diseño moderno y su excelente distribución de espacios. Dispone de 3 modernos baños, con acabados de alta calidad que incluyen materiales nobles y detalles que realzan la elegancia de cada espacio. Se vende completamente amueblada, con mobiliario de diseño exclusivo y detalles decorativos cuidadosamente seleccionados, que crean un ambiente sofisticado y acogedor en cada rincón.  La vivienda ha sido decorada con un gusto impecable, utilizando materiales de primera calidad y una paleta de colores que crea un ambiente acogedor y sofisticado. Ubicación Premium, rodeado de boutiques de lujo, restaurantes de alta cocina y todas las comodidades que el barrio de Salamanca ofrece. Además, la excelente conexión de transporte te permitirá moverte por la ciudad con total facilidad. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa con sólida experiencia formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes nacionales e internacionales. Somos un referente en el mercado español, ofreciendo un servicio completo con viviendas residenciales de alta calidad y una amplia gama de servicios inmobiliarios, cubriendo tanto el área privada como el área comercial para conseguir que personas físicas jurídicas, instituciones e inversores queden plenamente satisfechos con nuestros servicios.",False,good,False,True,11508.0,True,False,False,False,[],False,False,1450000.0,€,,,,flat,"Lista, Madrid",Piso,,,,,
108469455,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/92/57/3a/1345848948.webp,BHHS-MAD-0749,13,4,2409000.0,flat,sale,200.0,True,3,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4297042,-3.6780592,False,https://www.idealista.com/inmueble/108469455/,"Si buscas una vivienda luminosa en la mejor zona de Lista, te proponemos conocer esta exclusiva propiedad reformada y amueblada con dos terrazas exteriores a estrenar de 200 metros cuadrados catastrales, situado en un emplazamiento inmejorable en una de las calles principales del señorial barrio de Salamanca, muy cerca de la Plaza del Marqués de Salamanca La propiedad se encuentra ubicada en la segunda planta exterior de un edificio moderno y representativo edificado en el año 1.958.  Esta exclusiva vivienda se encuentra ubicada en la zona más comercial del barrio de Salamanca-lista, con todo tipo de comunicaciones y rodeado de museos, zonas de ocio, centros comerciales y todo tipo de servicios, todo ello hace de esta propiedad una oportunidad única de vivir o invertir en la zona más privilegiada y exclusiva de Madrid.  La vivienda se distribuye en una zona de estar compuesta por amplio salón-comedor con salida a una amplia terraza dispone de muy buena luz gracias a la altura de la vivienda, seguida de amplia cocina abierta con isla completamente amueblada y equipada con electrodomésticos de primera firma. Con zona de lavandería independiente. La zona de descanso la componen tres dormitorios dos de ellos en suite y zona de vestidor, una de ellas es exterior con salida a una amplia terraza, todos con amplios ventanales. Dispone de un tercer baño completo que presta servicio a las otras estancias. Cabe mencionar la calidad de la reforma hecha por un importante grupo de arquitectura.  La vivienda se vende amueblada y decorada por un prestigioso estudio de interiorismo. Disponemos de varios inmuebles con características similares que no pueden ser publicados, para más información visita.",False,good,False,True,12045.0,True,False,False,False,[],False,False,2409000.0,€,,,,flat,"Lista, Madrid",Piso,,,,,
108323320,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/84/3c/c9/1340685828.webp,BHHS-MAD-0724,12,2,1439000.0,flat,sale,120.0,True,3,2,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4357415,-3.676417,False,https://www.idealista.com/inmueble/108323320/,"Si buscas una vivienda luminosa en la mejor zona de Lista, te proponemos conocer esta exclusiva propiedad reformada y amueblada a estrenar de 120 metros cuadrados catastrales, situado en un emplazamiento inmejorable en una de las calles principales del señorial barrio de Salamanca, muy cerca de la Plaza del Marqués de Salamanca La propiedad se encuentra ubicada en la segunda planta exterior de un edificio moderno y representativo edificado en el año 1.958.   Esta exclusiva vivienda se encuentra ubicada en la zona más comercial del barrio de Salamanca-lista, con todo tipo de comunicaciones y rodeado de museos, zonas de ocio, centros comerciales y todo tipo de servicios, todo ello hace de esta propiedad una oportunidad única de vivir o invertir en la zona más privilegiada y exclusiva de Madrid.    La vivienda se distribuye en una zona de estar compuesta por amplio salón-comedor con muy buena luz gracias a la altura de la vivienda con salida a un estupendo balcón, seguida de amplia cocina abierta con isla completamente amueblada y equipada con electrodomésticos de primera firma. Con zona de lavandería independiente. La zona de descanso la componen tres dormitorios uno de ellos en suite y zona de vestidor y exterior, todos con amplios ventanales. El segundo dormitorio tienen salida un precioso balcón con vistas a patio de luces. Dispone de un segundo baño completo que presta servicio a las otras estancias. Cabe mencionar la calidad de la reforma hecha por un importante grupo de arquitectura.  La vivienda se vende amueblada y decorada por un prestigioso estudio de interiorismo. Disponemos de varios inmuebles con características similares que no pueden ser publicados, para más información visita.",False,good,False,True,11992.0,True,False,False,False,[],False,False,1439000.0,€,,,,flat,"Lista, Madrid",Piso,,,,,
108381917,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1f/d4/b0/1328727209.webp,P3 1ºB,6,1,592980.0,flat,sale,100.0,True,2,2,calle Huerta Grande s/n,Madrid,Pozuelo de Alarcón,Zona Pueblo,es,Zona Pueblo,40.4367253,-3.8283981,True,https://www.idealista.com/obra-nueva/108381917/,"RESIDENCIAL PHOENIX S. COOP. MAD. ES ADJUDICATARIA DE LA PARCELA EN EL AMBICIOSO ÁMBITO DE HUERTA GRANDE, POZUELO DE ALARCÓN  Bienvenido a Residencial Phoenix, exclusivas viviendas de 2, 3 y 4 dormitorios con plaza de garaje, trastero, en el ambicioso ámbito de Huerta Grande en Pozuelo de Alarcón. Huerta Grande, es un nuevo desarrollo urbanístico en el corazón de Pozuelo de Alarcón, una de las zonas residenciales más demandadas de Madrid por su calidad de vida, tranquilidad y excelente ubicación. Viviendas de 2, 3 y 4 dormitorios, con amplias terrazas, distribución funcional, y excelentes calidades. Viviendas basadas en la sostenibilidad y ahorro energético. Se tomarán las medidas necesarias para obtener alta calificación energética, ahorrarás en tus facturas desde el primer día, sin renunciar al confort.  Disfruta de unas zonas comunes pensadas para ti y tu familia tales como piscina, zonas verdes, zona infantil para los más pequeños y una gastroteca donde celebrar momentos especiales con familia y amigos. Huerta Grande tiene una ubicación inmejorable, está situado en una zona privilegiada de Pozuelo, rodeado de naturaleza y a un paso de todo lo que necesitas: Excelentes comunicaciones: fácil acceso a la M-40, M-503 y A-6, además de cercanías RENFE y varias líneas de autobús. Cercano a los mejores colegios y universidades: Colegio Retamar, British Council, Kensington School, American School of Madrid, Universidad Francisco de Vitoria, entre otros. Rodeado de zonas comerciales, supermercados, restaurantes, centros deportivos y de ocio. Próximo a espacios naturales como el Parque Forestal Adolfo Suárez y la Casa de Campo. Huerta Grande te ofrece el equilibrio perfecto entre vida urbana y naturaleza, ideal para familias, parejas o quienes buscan un entorno tranquilo sin renunciar a las comodidades de la ciudad. Nota: Este proyecto se gestiona en régimen de Cooperativa. Residencial Phoenix S. Coop. Mad. , ya está constituida. La documentación mostrada pertenece al anteproyecto en fase de desarrollo por lo que es orientativa y no tiene carácter contractual dado que es susceptible de cambio.",False,,True,True,5930.0,True,False,False,False,[],False,False,592980.0,€,,,,flat,"Zona Pueblo, Pozuelo de Alarcón",Piso en calle Huerta Grande s/n,,False,,,
108216178,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/ce/68/1358960417.webp,TIPO 4 - 2ª,6,2,309200.0,flat,sale,73.0,True,2,2,"Calle Maricara, 13",Madrid,Madrid,Villaverde,es,Butarque,40.3391902,-3.6789711,True,https://www.idealista.com/obra-nueva/108216178/,"Mirador de Villaverde es un proyecto único de 27 viviendas en PROMOCION DIRECTA.  PRECIO CERRADO, NO COOPERATIVA Cuenta con LICENCIA DE OBRAS.  Se trata de un conjunto residencial de diseño elegante y moderno formado por 27 viviendas de 2 DORMITORIOS y 2 baños, con PLAZA DE GARAJE y TRASTERO incluidos en el precio.  CERCANIA AL CENTRO DE MADRID: a tan sólo 20 minutos de la estación de Atocha en transporte público y a 15 minutos de la Plaza de Legazpi. Mirador de Villaverde ofrece ESPACIOS COMUNES ÚNICOS diseñados para el disfrute, un oasis que invita a la tranquilidad en el que disfrutarán de:  -Piscina. -Sala comunitaria. -Zona independiente para el estacionamiento de bicicletas. -Distintos ambientes en las zonas ajardinadas. -Videoportero y dos ascensores con acceso a todas las plantas -La iluminación de las zonas comunes estará dotada de sensores de presencia que garantizarán un consumo eficiente. -Preinstalación de recarga de coches eléctricos en las plazas de garaje. Las viviendas contarán con ALTA EFICIENCIA ENERGÉTICA gracias al aislamiento de la envolvente del edificio y al innovador y eficiente sistema de climatización y agua caliente mediante AEROTERMIA INDIVIDUAL.  La promoción se encuentra en una ubicación inmejorable en la zona nueva de Butarque, un barrio joven en plena expansión en el que disfrutar de un entorno natural ideal para el paseo y el deporte al aire libre, con todo tipo de servicios a su alcance (colegios, comercios, centro de salud, parques, etc. ).  El barrio de Butarque cuenta con fantásticas conexiones por carretera y transporte público con el centro de Madrid. Mirador de Villaverde además está sito junto a varias paradas de autobús, a tan sólo 10 minutos de la estación de cercanías de la línea C3 y próxima a las principales carreteras que conectan el barrio de Butaque con Madrid Centro (M40, M30 y A4).",False,newdevelopment,True,True,4236.0,True,False,False,False,[],False,False,309200.0,€,True,True,,flat,"Butarque, Madrid","Piso en Calle Maricara, 13",,False,,,
107990849,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/f7/17/1330445612.webp,3727,22,3,2259000.0,flat,sale,197.0,True,3,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4336232,-3.6764334,False,https://www.idealista.com/inmueble/107990849/,"Fortuny Madrid Real Estate ofrece esta excepcional vivienda situada en el prestigioso barrio de Lista, está disponible para aquellos que buscan el máximo confort y estilo de vida. Este tercer piso actualmente en obras, cuenta con 197 m² catastrales diseñados para ofrecer lujo y elegancia. La propiedad incluye tres habitaciones y tres baños, con una cocina totalmente equipada y un cuarto de lavado que añaden funcionalidad y comodidad. Con aire acondicionado, calefacción y ascensor, esta vivienda garantiza un estilo de vida cómodo y moderno. Además, cuenta con balcón y terraza, proporcionando espacios exteriores ideales para relajarse. El barrio de Lista, en el distrito de Salamanca, es conocido por su exclusividad y elegancia. Vivir aquí significa estar cerca de lugares emblemáticos como el Parque de María Eva Duarte de Perón, que ofrece un entorno natural para el ocio y la recreación, y el Mercado de la Paz, un destino culinario de renombre. La zona también cuenta con boutiques exclusivas, restaurantes gourmet y cafés de moda, proporcionando una experiencia de vida sofisticada. La proximidad a importantes centros de transporte y las conexiones con el resto de la ciudad hacen de este barrio una ubicación ideal para quienes buscan comodidad y estilo en el corazón de Madrid. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa con sólida experiencia formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes nacionales e internacionales. Somos un referente en el mercado español, ofreciendo un servicio completo con viviendas residenciales de alta calidad y una amplia gama de servicios inmobiliarios, cubriendo tanto el área privada como el área comercial para conseguir que personas físicas jurídicas, instituciones e inversores queden plenamente satisfechos con nuestros servicios.",False,good,False,True,11467.0,True,False,False,False,[],False,False,2259000.0,€,,,,flat,"Lista, Madrid",Piso,,,,,
108046961,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/73/84/1332231466.webp,8e933198-7cda-4a51-bb55-b3bc7c0e3280,51,3,515000.0,penthouse,sale,130.0,True,3,3,calle Valentín Llaguno,Madrid,Madrid,Carabanchel,es,San Isidro,40.3885681,-3.7324428,False,https://www.idealista.com/inmueble/108046961/,"Huspy presenta esta magnífica propiedad de obra nueva, una oportunidad única para quienes buscan confort, eficiencia y una inversión segura en una zona en pleno crecimiento. Esta vivienda destaca por su diseño moderno, materiales de alta calidad y un excepcional aprovechamiento del espacio. Con una superficie total de 130 m², esta luminosa vivienda tipo ático se distribuye en dos plantas. En la planta principal encontramos un amplio salón con cocina americana, una habitación, un baño completo y una espectacular terraza de 42,65 m². La planta superior, abuhardillada, ofrece dos habitaciones adicionales y dos baños completos, lo que proporciona un alto nivel de comodidad y privacidad para toda la familia. Características de la vivienda: - 3 habitaciones y 3 baños distribuidos en dos plantas - Gran terraza privada de 42,65 m² - Vivienda exterior, muy luminosa, con excelente orientación - Plaza de garaje y trastero incluidos en el precio Iluminación LED en toda la vivienda - Carpintería exterior de aluminio lacado con rotura de puente térmico - Acceso adaptado para personas con movilidad reducida - Certificación energética A, con sistemas de aerotermia y aislamiento de última generación Zonas comunes y extras: El edificio, de diseño vanguardista firmado por el reconocido arquitecto Joaquín Esperón Solís, cuenta con fachada ventilada cerámica y materiales constructivos de alta eficiencia energética. La urbanización incluye zonas ajardinadas y una piscina de agua salinizada, pensadas para disfrutar del aire libre con un mantenimiento mínimo y sostenible. Ubicación: Situada en una calle tranquila de Valentín Llaguno, esta propiedad se encuentra a escasos metros del metro de Oporto, lo que permite un acceso rápido y cómodo al centro de Madrid. Carabanchel es uno de los distritos con mayor potencial de revalorización de la capital, gracias a su combinación de tradición, modernización urbana y excelente infraestructura de transporte. La zona cuenta con una completa oferta de servicios: colegios, centros de salud, parques y zonas comerciales. Una vivienda moderna, eficiente y con todo lo necesario para disfrutar de una excelente calidad de vida o realizar una inversión con gran proyección.",False,good,False,True,3962.0,False,False,False,False,[],False,False,515000.0,€,True,True,,flat,"San Isidro, Madrid",Ático en calle Valentín Llaguno,penthouse,,,,
