propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift,newDevelopmentFinished,parkingSpace.parkingSpacePrice
108913005,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/7a/07/1358748794.webp,76255,2,1450000.0,chalet,sale,378.0,3,3,calle Castillo de Almansa,Madrid,Villanueva de la Cañada,Villafranca del Castillo,es,40.4694944,-3.9385662,False,https://www.idealista.com/inmueble/108913005/,"Inmejorable chalet independiente de 2 plantas, 3 habitaciones y 3 baños, en Villanueva de la Cañada. 378 m2 construidos. Orientación Sur. Jardín de 1517 m2. Armarios empotrados, suelo de tarima, ventanas climalit y puertas de roble. Salón con chimenea. Cocina amueblada. Calefacción con gas natural y aire acondicionado. Piscina privada y piscina comunitaria. Dispone de garaje exterior para 3 vehículos y trastero. PLANTA 0  Salón Cocina 4 habitaciones 3 baños (1 en suite)  Garaje  PLANTA BUHARDILLA Diáfana y terraza NO PIERDA ESTA OPORTUNIDAD Y CONTACTE CON NOSOTROS PARA REALIZAR UNA VISITA. Daurum Estate ofrece conseguir la mejor financiación a su medida hasta el 100% del valor de compra venta sea nuestra la vivienda o no. INFORMACIÓN SIN COMPROMISO en el mismo número de teléfono del anuncio. Además, posibilidad de servicio de reformas para acomodar la vivienda a su gusto.",False,good,False,3836.0,False,False,False,False,[],False,False,1450000.0,€,True,True,chalet,independantHouse,"Villafranca del Castillo, Villanueva de la Cañada",Casa independiente en calle Castillo de Almansa,,,,,,
108396899,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/26/cf/27/1342966201.webp,2201/22010039/299,34,345000.0,penthouse,sale,84.0,1,1,Barrio Canillejas,Madrid,Madrid,San Blas,es,40.4403563,-3.6086594,False,https://www.idealista.com/inmueble/108396899/,"""VIVIENDA ALQUILADA, IDEAL PARA INVERSORES  Excelente ático de 1 dormitorio y 1 baño. Se encuentra en la planta 4 de un edificio residencial y cuenta con ascensor, terraza, piscina y trastero.  La vivienda se distribuye en 1 dormitorio, salón-comedor, cocina independiente, equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias. dispone de calefacción central.  Se encuentra ubicado en Canillejas, San Blas. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Intercambiador de Canillejas y se encuentra a menos de 20 minutos andando. La parada de autobús más cercana es San Mariano-Canal del Bosforo y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 20 minutos andando.   En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el centro de salud más cercano se encuentra a 610 metros, la farmacia más cercana se encuentra a 130 metros. Además, a menos de 500 metros también puedes encontrar 2 supermercados, 2 bancos, una oficina de correos.  La zona cuenta con una amplia oferta de entretenimiento con una biblioteca, un teatro, 9 parques, bares, restaurantes y comercios a pocos minutos de la vivienda.  En cuanto al transporte privado, la zona dispone de parkings privados, un parking público y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Autovia del Nordeste, Avenida de Luis Aragones y la Avenida de Logrono. La vivienda se encuentra actualmente alquilada a precio de mercado, con inquilinos solventes que cuentan con empleo fijo y nómina, abonando la renta de manera puntual y regular. Detalles del contrato: Vencimiento del contrato: 27/12/2029 Renta mensual actual: 1.024€ Rentabilidad estimada: 3.6% Además de ofrecerte la compra de un activo en rentabilidad, ponemos a tu disposición un servicio de gestión inmobiliaria que te ayudará a optimizar tu inversión. Si estás interesado, no dudes en ponerte en contacto con nosotros a través de la web de Alquizen que pertenece a PROMONTORIA MACC RESIDENCIAL, S.L. Estaremos encantados de enviarte información adicional tanto sobre el activo como sobre los servicios mencionados. *Importante: Dado que la propiedad está alquilada, no es posible realizar visitas en este momento."".",True,good,False,4107.0,True,False,True,False,[],False,False,345000.0,€,,,flat,penthouse,"Canillejas, Madrid",Ático,4,True,Canillejas,True,,
108396451,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a3/45/93/1342956143.webp,2110/21100022/94,35,407500.0,flat,sale,147.0,2,2,Barrio Pradolongo,Madrid,Madrid,Usera,es,40.3844102,-3.7080636,False,https://www.idealista.com/inmueble/108396451/,"""VIVIENDA ALQUILADA, IDEAL PARA INVERSORES  Excelente piso de 2 dormitorios y 2 baños. Se encuentra en la planta 5 de un edificio residencial y cuenta con ascensor, terraza, garaje y armarios empotrados.  La vivienda se distribuye en 2 dormitorios, salón-comedor, cocina independiente, equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias. dispone de calefacción individual.  Se encuentra ubicado en Pradolongo, Usera (Suroeste de Madrid). Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Usera y se encuentra a menos de 10 minutos andando. La parada de autobús más cercana es Marcelo Usera-Gabriel Usera y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 20 minutos andando.   En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el centro de salud más cercano se encuentra a 510 metros, existen 7 farmacias a menos de 300 metros. Además, a menos de 500 metros también puedes encontrar 5 supermercados, 11 bancos.  La zona cuenta con una amplia oferta de entretenimiento con 5 parques, bares, restaurantes y comercios a pocos minutos de la vivienda.  En cuanto al transporte privado, la zona dispone de parkings privados y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la M-40, Avenida de Cordoba y la Calle de Marcelo Usera. La vivienda se encuentra actualmente alquilada a precio de mercado, con inquilinos solventes que cuentan con empleo fijo y nómina, abonando la renta de manera puntual y regular. Detalles del contrato: Vencimiento del contrato: 07/05/2030 Renta mensual actual: 1.203€ Rentabilidad estimada: 3.5% Además de ofrecerte la compra de un activo en rentabilidad, ponemos a tu disposición un servicio de gestión inmobiliaria que te ayudará a optimizar tu inversión. Si estás interesado, no dudes en ponerte en contacto con nosotros a través de la web de Alquizen que pertenece a PROMONTORIA MACC RESIDENCIAL, S. L. Estaremos encantados de enviarte información adicional tanto sobre el activo como sobre los servicios mencionados. *Importante: Dado que la propiedad está alquilada, no es posible realizar visitas en este momento. "".",True,good,False,2772.0,True,False,True,False,[],False,False,407500.0,€,True,True,flat,,"Pradolongo, Madrid",Piso,5,True,Pradolongo,True,,
108445725,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/7c/10/1345101512.webp,2110/21100022/139,33,786500.0,flat,sale,104.0,3,2,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,40.4262972,-3.6765744,False,https://www.idealista.com/inmueble/108445725/,"""VIVIENDA ALQUILADA, IDEAL PARA INVERSORES  Excelente piso de 3 dormitorios y 2 baños. Se encuentra en la planta 3 de un edificio residencial y cuenta con ascensor, armarios empotrados y aire acondicionado.  La vivienda se distribuye en 3 dormitorios, salón-comedor, cocina independiente, equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias.  Se encuentra ubicado en Goya, Salamanca. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Felipe II y se encuentra a menos de 10 minutos andando. La parada de autobús más cercana es Principe de Vergara-Ayala y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 5 minutos andando.   En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el hospital más cercano se encuentra a 610 metros, existen 11 farmacias a menos de 300 metros, existen 2 colegios a menos de 300 metros. Además, a menos de 500 metros también puedes encontrar 7 supermercados, 18 bancos, una oficina de correos, una comisaría de policía.  La zona cuenta con una amplia oferta de entretenimiento con un cine, un teatro, 3 gimnasios, bares, restaurantes y comercios a pocos minutos de la vivienda.  En cuanto al transporte privado, la zona dispone de parkings privados, un parking público y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Calzada lateral M-30, Calle de Goya y la Calle del Principe de Vergara. La vivienda se encuentra actualmente alquilada a precio de mercado, con inquilinos solventes que cuentan con empleo fijo y nómina, abonando la renta de manera puntual y regular. Detalles del contrato: Vencimiento del contrato: 03/04/2030 Renta mensual actual: 1.951€ Rentabilidad estimada: 3.0% Además de ofrecerte la compra de un activo en rentabilidad, ponemos a tu disposición un servicio de gestión inmobiliaria que te ayudará a optimizar tu inversión. Si estás interesado, no dudes en ponerte en contacto con nosotros a través de la web de Alquizen que pertenece a PROMONTORIA MACC RESIDENCIAL, S.L. Estaremos encantados de enviarte información adicional tanto sobre el activo como sobre los servicios mencionados. *Importante: Dado que la propiedad está alquilada, no es posible realizar visitas en este momento."".",True,good,False,7563.0,True,False,True,False,[],False,False,786500.0,€,,,flat,,"Goya, Madrid",Piso,3,True,Goya,True,,
108445959,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/22/5e/1345109457.webp,2201/22010039/209,25,315000.0,flat,sale,54.0,1,1,Barrio Fuente del Berro,Madrid,Madrid,Barrio de Salamanca,es,40.4265698,-3.6639752,False,https://www.idealista.com/inmueble/108445959/,"""VIVIENDA ALQUILADA, IDEAL PARA INVERSORES  Excelente piso de 1 dormitorio y 1 baño. Se encuentra en la planta 3 de un edificio residencial y cuenta con ascensor y trastero.  La vivienda se distribuye en 1 dormitorio, salón-comedor, cocina independiente, equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias.  Se encuentra ubicado en Fuente del Berro, Salamanca (Noreste de Madrid). Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Manuel Becerra y se encuentra a menos de 10 minutos andando. La parada de autobús más cercana es Rufino Blanco y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 10 minutos andando.   En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el centro de salud más cercano se encuentra a 340 metros, existen 8 farmacias a menos de 300 metros, existen 2 colegios a menos de 300 metros. Además, a menos de 500 metros también puedes encontrar 7 supermercados, 16 bancos, 2 lavanderías, 3 estaciones de bomberos.  La zona cuenta con una amplia oferta de entretenimiento con un teatro, un gimnasio, 4 parques, bares, restaurantes y comercios a pocos minutos de la vivienda.  En cuanto al transporte privado, la zona dispone de parkings privados, un parking público y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Calzada lateral M-30, Calle del Doctor Esquerdo y la Avenida de Daroca. La vivienda se encuentra actualmente alquilada a precio de mercado, con inquilinos solventes que cuentan con empleo fijo y nómina, abonando la renta de manera puntual y regular. Detalles del contrato: Vencimiento del contrato: 10/03/2031 Renta mensual actual: 1.076€ Rentabilidad estimada: 4.1% Además de ofrecerte la compra de un activo en rentabilidad, ponemos a tu disposición un servicio de gestión inmobiliaria que te ayudará a optimizar tu inversión. Si estás interesado, no dudes en ponerte en contacto con nosotros a través de la web de Alquizen que pertenece a PROMONTORIA MACC RESIDENCIAL, S.L. Estaremos encantados de enviarte información adicional tanto sobre el activo como sobre los servicios mencionados. *Importante: Dado que la propiedad está alquilada, no es posible realizar visitas en este momento."".",True,good,False,5833.0,True,False,True,False,[],False,False,315000.0,€,,,flat,,"Fuente del Berro, Madrid",Piso,3,True,Fuente del Berro,True,,
108445857,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/91/16/cd/1345105354.webp,2201/22010039/4,33,264500.0,flat,sale,93.0,1,1,Barrio Ensanche de Vallecas - La Gavia,Madrid,Madrid,Villa de Vallecas,es,40.3630476,-3.5899323,False,https://www.idealista.com/inmueble/108445857/,"""VIVIENDA ALQUILADA, IDEAL PARA INVERSORES  Excelente piso de 1 dormitorio y 1 baño. Se encuentra en la planta 3 de un edificio residencial y cuenta con ascensor, garaje, piscina, trastero y aire acondicionado.  La vivienda se distribuye en 1 dormitorio, salón-comedor, cocina independiente, equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias. dispone de calefacción central.  Se encuentra ubicado en Ensanche de Vallecas, Villa de Vallecas (Sureste de Madrid). Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Valdecarros y se encuentra a menos de 5 minutos andando. La parada de autobús más cercana es Gran Via del Sureste-Las Suertes y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 20 minutos andando.   En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, existen 2 farmacias a menos de 300 metros, el colegio más cercano se encuentra a 190 metros. Además, a menos de 500 metros también puedes encontrar un banco, una oficina de correos.  La zona cuenta con una amplia oferta de entretenimiento con 7 parques, bares, restaurantes y comercios a pocos minutos de la vivienda.  En cuanto al transporte privado, la zona dispone de parkings privados, un parking público y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Autovia del Este, Avenida de las Suertes y la Calle del Alto del Retiro. La vivienda se encuentra actualmente alquilada a precio de mercado, con inquilinos solventes que cuentan con empleo fijo y nómina, abonando la renta de manera puntual y regular. Detalles del contrato: Vencimiento del contrato: 20/03/2031 Renta mensual actual: 1.026€ Rentabilidad estimada: 4.7% Además de ofrecerte la compra de un activo en rentabilidad, ponemos a tu disposición un servicio de gestión inmobiliaria que te ayudará a optimizar tu inversión. Si estás interesado, no dudes en ponerte en contacto con nosotros a través de la web de Alquizen que pertenece a PROMONTORIA MACC RESIDENCIAL, S.L. Estaremos encantados de enviarte información adicional tanto sobre el activo como sobre los servicios mencionados. *Importante: Dado que la propiedad está alquilada, no es posible realizar visitas en este momento."".",True,good,False,2844.0,True,False,True,False,[],False,False,264500.0,€,True,True,flat,,"Ensanche de Vallecas - La Gavia, Madrid",Piso,3,True,Ensanche de Vallecas - La Gavia,True,,
108446197,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/36/89/d1/1345115629.webp,2201/22010039/250,33,189000.0,flat,sale,49.0,1,1,Barrio Vista Alegre,Madrid,Madrid,Carabanchel,es,40.3915448,-3.739251,False,https://www.idealista.com/inmueble/108446197/,"""VIVIENDA ALQUILADA, IDEAL PARA INVERSORES  Excelente piso de 1 dormitorio y 1 baño. Se encuentra en la planta 1 de un edificio residencial y cuenta con terraza.  La vivienda se distribuye en 1 dormitorio, salón-comedor, cocina independiente, equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias.  Se encuentra ubicado en Vista Alegre, Carabanchel. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Vista Alegre y se encuentra a menos de 5 minutos andando. La parada de autobús más cercana es Vista Alegre y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 5 minutos andando.   En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el centro de salud más cercano se encuentra a 700 metros, existen 10 farmacias a menos de 300 metros. Además, a menos de 500 metros también puedes encontrar 4 supermercados, 7 bancos, una oficina de correos.  La zona cuenta con una amplia oferta de entretenimiento con un gimnasio, 15 parques, bares, restaurantes y comercios a pocos minutos de la vivienda.  En cuanto al transporte privado, la zona dispone de parkings privados y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Autovia del Suroeste, Calle del General Ricardos y la Avenida de Nuestra Senora de Valvanera. La vivienda se encuentra actualmente alquilada a precio de mercado, con inquilinos solventes que cuentan con empleo fijo y nómina, abonando la renta de manera puntual y regular. Detalles del contrato: Vencimiento del contrato: 08/12/2029 Renta mensual actual: 797€ Rentabilidad estimada: 5.1% Además de ofrecerte la compra de un activo en rentabilidad, ponemos a tu disposición un servicio de gestión inmobiliaria que te ayudará a optimizar tu inversión. Si estás interesado, no dudes en ponerte en contacto con nosotros a través de la web de Alquizen que pertenece a PROMONTORIA MACC RESIDENCIAL, S. L. Estaremos encantados de enviarte información adicional tanto sobre el activo como sobre los servicios mencionados. *Importante: Dado que la propiedad está alquilada, no es posible realizar visitas en este momento. "".",True,good,False,3857.0,True,False,True,False,[],False,False,189000.0,€,,,flat,,"Vista Alegre, Madrid",Piso,1,True,Vista Alegre,False,,
108445894,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/45/63/af/1345107153.webp,2201/22010028/3,34,203500.0,flat,sale,66.0,3,1,El Arroyo - La Fuente,Madrid,Fuenlabrada,El Arroyo - La Fuente,es,40.2762952,-3.8018008,False,https://www.idealista.com/inmueble/108445894/,"""VIVIENDA ALQUILADA, IDEAL PARA INVERSORES  Excelente piso de 3 dormitorios y 1 baño. Se encuentra en la planta 7 de un edificio residencial y cuenta con ascensor y terraza.  La vivienda se distribuye en 3 dormitorios, salón-comedor, cocina independiente, equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias.  Se encuentra ubicado en El Arroyo - La Fuente, Suroeste de Fuenlabrada. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Fuenlabrada Central y se encuentra a menos de 20 minutos andando. La parada de autobús más cercana es Luis Sauquillo - El Arroyo y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 20 minutos andando.   En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el centro de salud más cercano se encuentra a 310 metros, existen 3 farmacias a menos de 300 metros, existen 3 colegios a menos de 300 metros. Además, a menos de 500 metros también puedes encontrar 2 supermercados, 5 bancos.  La zona cuenta con una amplia oferta de entretenimiento con una biblioteca, 3 parques, bares, restaurantes y comercios a pocos minutos de la vivienda.  En cuanto al transporte privado, la zona dispone de parkings privados y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la M-407, Calle de Luis Sauquillo y la Calle de Extremadura. La vivienda se encuentra actualmente alquilada a precio de mercado, con inquilinos solventes que cuentan con empleo fijo y nómina, abonando la renta de manera puntual y regular. Detalles del contrato: Vencimiento del contrato: 14/09/2028 Renta mensual actual: 865€ Rentabilidad estimada: 5.1% Además de ofrecerte la compra de un activo en rentabilidad, ponemos a tu disposición un servicio de gestión inmobiliaria que te ayudará a optimizar tu inversión. Si estás interesado, no dudes en ponerte en contacto con nosotros a través de la web de Alquizen que pertenece a PROMONTORIA MACC RESIDENCIAL, S. L. Estaremos encantados de enviarte información adicional tanto sobre el activo como sobre los servicios mencionados. *Importante: Dado que la propiedad está alquilada, no es posible realizar visitas en este momento. "".",True,good,False,3083.0,True,False,True,False,[],False,False,203500.0,€,,,flat,,"El Arroyo - La Fuente, Fuenlabrada",Piso,7,True,,True,,
108445813,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/b2/03/1345109232.webp,2201/22010039/252,29,231000.0,flat,sale,67.0,1,1,Barrio Casco Histórico de Vallecas,Madrid,Madrid,Villa de Vallecas,es,40.3746582,-3.6201038,False,https://www.idealista.com/inmueble/108445813/,"""VIVIENDA ALQUILADA, IDEAL PARA INVERSORES  Excelente piso de 1 dormitorio y 1 baño. Se encuentra en la planta 1 de un edificio residencial y cuenta con ascensor, terraza, trastero y aire acondicionado.  La vivienda se distribuye en 1 dormitorio, salón-comedor, cocina independiente, equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias. dispone de calefacción central.  Se encuentra ubicado en Casco historico de Vallecas, Villa de Vallecas (Sureste de Madrid). Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Congosto y se encuentra a menos de 10 minutos andando. La parada de autobús más cercana es Polideportivo Guillen Prim y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 10 minutos andando.   En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el centro de salud más cercano se encuentra a 400 metros, el hospital más cercano se encuentra a 660 metros, existen 5 farmacias a menos de 300 metros, existen 5 colegios a menos de 300 metros. Además, a menos de 500 metros también puedes encontrar 5 supermercados, 7 bancos.  La zona cuenta con una amplia oferta de entretenimiento con un teatro, un gimnasio, 20 parques, bares, restaurantes y comercios a pocos minutos de la vivienda.  En cuanto al transporte privado, la zona dispone de parkings privados, un parking público y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Autovia del Este, Avenida Ensanche de Vallecas y la Calle Real de Arganda. La vivienda se encuentra actualmente alquilada a precio de mercado, con inquilinos solventes que cuentan con empleo fijo y nómina, abonando la renta de manera puntual y regular. Detalles del contrato: Vencimiento del contrato: 18/04/2031 Renta mensual actual: 883€ Rentabilidad estimada: 4.6% Además de ofrecerte la compra de un activo en rentabilidad, ponemos a tu disposición un servicio de gestión inmobiliaria que te ayudará a optimizar tu inversión. Si estás interesado, no dudes en ponerte en contacto con nosotros a través de la web de Alquizen que pertenece a PROMONTORIA MACC RESIDENCIAL, S.L. Estaremos encantados de enviarte información adicional tanto sobre el activo como sobre los servicios mencionados. *Importante: Dado que la propiedad está alquilada, no es posible realizar visitas en este momento."".",True,good,False,3448.0,True,False,True,False,[],False,False,231000.0,€,,,flat,,"Casco Histórico de Vallecas, Madrid",Piso,1,True,Casco Histórico de Vallecas,True,,
108589931,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/d2/ae/1349310910.webp,1ºA,4,665748.0,flat,sale,140.0,2,2,"calle EL CHARCO, 37",Madrid,Leganés,Centro,es,40.32917,-3.7691065,True,https://www.idealista.com/obra-nueva/108589931/,"Viviendas de calidad en la zona centro de Leganés a un precio asequible. Una inversión más que rentable. Promoción inmobiliaria en régimen de Comunidad de Bienes que abarata las viviendas al ser los compradores los auto promotores de su vivienda. No existe promotora como tal y por tanto ello representa un importante ahorro. WARWIK LEGANÉS CENTRO es una promoción de 7 viviendas de 2 dormitorios, 2 baños, con 2 plazas de garaje, trastero y terrazas o balcones, en un edificio residencial de diseño moderno y localización inmejorable y privilegiada, al lado de la estación CENTRAL de tren y metro, del centro de salud, de la residencia para mayores, de la Plaza Mayor, del Ayuntamiento, de la universidad, de tiendas y supermercados, todo ello a 5 minutos andando. Las viviendas se distribuyen en tres plantas y bajo cubierta tipo dúplex. La planta baja y patio interior permiten un número limitado de garajes y trasteros. El resto de las plazas de garaje se ubican en el aparcamiento de la Plaza Mayor, a 200 metros de distancia. El interior de las viviendas se caracteriza por su distribución inteligente pensada para las familias de hoy en día. Espacios amplios y bien aprovechados, luz natural por todas partes y unos acabados de calidad.  Las terrazas y balcones dotan de luminosidad y ventilación a las viviendas. Características básicas: Edificio de nueva planta con ascensor. Pisos y Áticos Dúplex, todos de 2 habitaciones, 2 baños y 2 plazas de garaje incluidas en el precio.",False,newdevelopment,True,4755.0,True,False,False,False,[],False,False,665748.0,€,True,True,flat,,"Casco Antiguo, Leganés","Piso en calle El Charco, 37",1,True,Casco Antiguo,True,False,
