propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,highlight.groupDescription,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107185799,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dd/6b/5e/1305548402.webp,85610846,63,3,1395000.0,penthouse,sale,218.0,True,3,3,calle de Dulce Chacón,Madrid,Madrid,Hortaleza,es,Virgen del Cortijo - Manoteras,40.487508,-3.6681874,False,https://www.idealista.com/inmueble/107185799/,"Le presentamos este ático triplex, que fusiona a la perfección elegancia y confort en un entorno exclusivo. Con una amplia terraza de 35 metros cuadrados y piscina privada, esta propiedad se encuentra en una urbanización de alto nivel, que ofrece seguridad 24 horas, zonas comunes de lujo, jardines paisajísticos, piscina y gimnasio totalmente equipados. Cuenta con un elegante hall recibidor que conduce a un salón-comedor de amplias dimensiones, diseñado para ofrecer varios ambientes y máxima comodidad. Desde esta área, se puede disfrutar de vistas panorámicas que aportan luminosidad y un toque único al espacio. La cocina, completamente equipada, además cuenta con un tendero cubierto. Para mayor comodidad, en esta planta se encuentra un aseo de cortesía, ideal para visitas. Esta planta alberga un despacho. También dispone de una habitación secundaria de gran tamaño, un baño completo de amplias proporciones con ventana exterior, y un dormitorio principal de enormes dimensiones que ha sido adaptada a partir de la unión de dos dormitorios. Este generoso espacio actúa como un refugio privado de lujo, con un vestidor y un cuarto de baño en suite. Cabe destacar que existe la posibilidad de reconvertir esta habitación en dos dormitorios adicionales, según las necesidades. En la planta superior se encuentra un espacio polivalente, ideal para un despacho o una sala de estar, que ofrece acceso directo a la terraza privada, que cuenta con su propia piscina y ofrece vistas panorámicas incomparables. Calefacción por suelo radiante en las plantas principales, asegurando una temperatura agradable y constante durante todo el año. Esta propiedad se presenta como una ocasión única para quienes buscan lo mejor en confort, elegancia y exclusividad, todo ello en una de las mejores ubicaciones. La vivienda cuenta con dos plazas de garaje de acceso directo y un práctico trastero, garantizando la máxima comodidad y exclusividad para sus residentes. El ático destaca por sus suelos de madera de nogal elemento que aporta una atmósfera de sofisticación y distinción. Además, dispone de amplios espacios de almacenamiento distribuidos por toda la vivienda. Todas las estancias son exteriores, lo que potencia aún más la sensación de amplitud y conexión con el entorno. Las vistas desde esta propiedad son simplemente espectaculares, con panorámicas totalmente despejadas que proporcionan un ambiente de privacidad y serenidad. La abundante luz natural, que inunda cada rincón de la vivienda, es uno de sus mayores atractivos, gracias a su triple orientación, lo que asegura una luminosidad constante a lo largo del día. Desde BARNES Madrid le invitamos a visitar nuestra web para conocer los inmuebles mas exclusivos de la capital.",True,good,False,True,6399.0,True,False,True,False,[],False,False,1395000.0,€,True,True,flat,penthouse,"Virgen del Cortijo - Manoteras, Madrid",Ático en calle de Dulce Chacón,Top,,,
108747592,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/44/1d/1353939589.webp,VM2507052,30,6,810000.0,flat,sale,99.0,True,2,2,Barrio Arapiles,Madrid,Madrid,Chamberí,es,Arapiles,40.429649,-3.7101279,False,https://www.idealista.com/inmueble/108747592/,"ATICO A REFORMAR EN CHAMBERI Se vende magnífico ático en una finca de 1988, situada a dos pasos de Alberto Aguilera y de Valle Suchill, en pleno Chamberí. Se trata de un piso de 99 m2 con unas posibilidades de reforma excelentes, ya que tiene ambas terrazas (salón y cocina) integradas pero fácilmente recuperables y con orientación sur. La terraza del salón tiene unas dimensiones de seis metros de largo por 2,5 de ancho. Además, la planta es cuadrada y la ventilación cruzada permite disponer óptimamente del espacio ubicado en una sexta y última planta, lo que garantiza muchísima luz natural y tranquilidad. La zona de noche da a un patio muy amplio de manzana y cuenta con 2 dormitorios, uno de ellos en suite, ambos con amplios armarios empotrados. Cuenta también con un segundo baño. La finca está muy bien conservada, tiene ascensor y conserje. El barrio de Chamberí es sinónimo de calidad de vida, entorno residencial rodeado de centros universitarios y con todo a mano. En el entorno de esta vivienda está también el Hospital de Madrid, el parque del Conde del Valle Suchill y la Casa de Méjico. No pierdas la oportunidad de visitar esta joya en el corazón de Madrid. ¿Te imaginas vivir aquí?  Contacte con nosotros para ver más inmuebles similares.",True,renew,False,True,8182.0,True,False,True,False,[],False,False,810000.0,€,True,True,flat,,"Arapiles, Madrid",Piso,Top,,,
106674452,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e3/b1/e5/1330123526.webp,CLK00/4497,14,4,440000.0,flat,sale,51.0,False,2,1,calle de García de Paredes,Madrid,Madrid,Chamberí,es,Trafalgar,40.4377293,-3.699716,False,https://www.idealista.com/inmueble/106674452/,"¡SOMOS PROPIETARIOS! Disfruta de todas las ventajas de comprar directamente a la propiedad. Exclusivo piso ubicado en el barrio de Trafalgar, en Madrid. La vivienda está ubicada en la planta 4 interior con ascensor. Dispone de una superficie total de 51 m², distribuidos en salón y comedor, cocina independiente equipada, 2 dormitorios y 1 baño. Además, cuenta con ascensor, cocina amueblada y portero. Situado en el barrio Trafalgar, en la Calle Garcia de Paredes, cuenta con una ubicación que te permitirá estar cerca de todo lo que necesitas como el Teatro Amaya, la Sala Canal Isabel II y del Hospital Universitario Fundación Jiménez Díaz a 6 minutos en coche. A su vez, está próximo a supermercados, restaurantes, colegios, gimnasios, paradas de autobús y a la estación de metro Canal (L2 y L7). Agenda tu visita y te acompañamos en todo el proceso. Llámanos de lunes a viernes de 9.00h a 20.00h.",True,good,False,True,8627.0,True,False,True,False,[],False,False,440000.0,€,,,flat,,"Trafalgar, Madrid",Piso en calle de García de Paredes,Top,,,
99449824,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/e2/2a/1269438230.webp,CO-C148,34,7,580000.0,penthouse,sale,109.0,True,2,1,avenida de la Ciudad de Barcelona,Madrid,Madrid,Retiro,es,Adelfas,40.3997672,-3.6696987,False,https://www.idealista.com/inmueble/99449824/,"Grupo EXTRA vende ático con estupenda terraza de casi 30 m2, solo para INVERSORES ya que la vivienda se encuentra actualmente alquilada. Consta de un salón de gran tamaño con chimenea, dormitorio principal, baño, cocina y dormitorio individual. Todo es exterior a la terraza, la cual es de esquina y tiene vistas totalmente despejadas. Tiene buen tamaño donde se puede disfrutar del sol de las mañanas y de barbacoas con los amigos. Trastero incluido en el precio. Buena finca con amplio portal, acceso para personas de movilidad reducida, 2 ascensores y conserje.   Adelfas es un barrio del distrito Retiro, por lo cual es muy céntrico, a 5 minutos de Atocha en transporte o 20 minutos andando. Muy bien comunicada, con paradas de autobuses, Metro Pacífico (líneas 1 y 6) y a 10 minutos andando de Renfe Méndez Álvaro y estación sur de autobuses y con salida a M-30. Zona dotada de todos los servicios básicos (colegios privados y públicos, supermercados, farmacias, centro de salud, entre otros).",True,good,False,True,5321.0,True,False,True,False,[],False,False,580000.0,€,,,flat,penthouse,"Adelfas, Madrid",Ático en avenida de la Ciudad de Barcelona,Top,,,
105642431,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/48/22/c7/1258567167.webp,85093510,21,10,3100000.0,penthouse,sale,137.0,True,2,2,calle de Valverde,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.420716,-3.7033871,False,https://www.idealista.com/inmueble/105642431/,"Atico-Estrenar-2 terrazas Amueblado-Centro BARNES presenta este ático para estrenar totalmente amueblado con dos terrazas y vista panorámica a la Gran Via una verdadera joya en términos de lujo, comodidad y ubicación privilegiada en Madrid que ofrece una experiencia de vida excepcional. Totalmente amueblado y equipado para entrar a vivir, este ático se encuentra listo para habitar, con una decoración exclusiva y todo lo necesario para tu comodidad diaria. Sus dos habitaciones y dos terrazas proporcionan un espacio confortable. Las dos terrazas están conectada a la zona social con vista panoramica a la Gran Via. Sus techos altos y la domótica integrada en todas las áreas del piso brindan modernidad y confort. Además, el suelo radiante añade una sensación de calidez. El edificio clásico reformado en su totalidad en 2022 ofrece seguridad las 24 horas del día con un portero físico, un gimnasio, una zona de solarium y una amplia terraza comunitaria para el disfrute de los residentes. Se ofrece la posibilidad de alquilar por meses o adaptar la estadía según las necesidades del interesado, ya sea para estancias cortas de minimo 6 meses o largas estancias. En resumen, este ático exclusivo proporciona un estilo de vida de alto nivel con todas las comodidades modernas y una ubicación privilegiada para disfrutar de todo lo que la ciudad de Madrid tiene para ofrecer. Si estás interesado en obtener más detalles o realizar una visita, te invitamos a contactarnos para ampliar la información y satisfacer tus necesidades específicas.",False,good,False,True,22628.0,True,False,True,False,[],False,False,3100000.0,€,,,flat,penthouse,"Malasaña-Universidad, Madrid",Ático en calle de Valverde,Top,,,
108353007,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/55/a7/31/1345119693.webp,JDU13,28,7,1050000.0,penthouse,sale,190.0,True,4,2,calle de Juan de Urbieta,Madrid,Madrid,Retiro,es,Niño Jesús,40.4078052,-3.6730893,False,https://www.idealista.com/inmueble/108353007/,"Agencia inmobiliaria Tecnocasa de MADRID – zona NIÑO JESUS – RETIRO TECNOCASA VENDE: **Ático en Venta en el Corazón de Madrid - Una Oportunidad Única** Descubre este maravilloso ático situado en el vibrante corazón de Madrid, justo al lado de la emblemática Colonia del Retiro. Con 190 m², este hogar totalmente exterior ofrece una luminosidad natural que inunda cada rincón durante todo el día. La distribución incluye un acogedor hall recibidor, un amplio salón comedor que se conecta a una espectacular terraza, ideal para disfrutar de momentos al aire libre. El ático cuenta con 4 dormitorios, perfectos para acomodar a toda la familia, y 2 baños, uno de ellos en suite. Además, la propiedad ofrece armarios empotrados, un trastero y calefacción central, garantizando comodidad y funcionalidad. La finca dispone de portero físico, tastero, piscina y garaje, lo que añade un plus de seguridad y comodidad. La comunidad incluye: calefaccion, agua, servicio de porteria y mantenimiento, garaje y trastero. Ubicado a solo 5 minutos andando del Parque del Retiro y con excelente comunicación gracias al futuro intercambiador de Conde de Casal y un amplio rango de líneas de EMT, este ático se convierte en una opción inmejorable para quienes buscan calidad de vida en la capital. ¡No dejes pasar la oportunidad de personalizar este espacio a tu gusto y disfrutar de la vida madrileña en todo su esplendor! Si crees que este puede ser tu futuro piso, llamanos y ven a verlo!",False,renew,False,True,5526.0,True,False,True,False,[],False,False,1050000.0,€,True,True,flat,penthouse,"Niño Jesús, Madrid",Ático en calle de Juan de Urbieta,Top,1200000.0,150000.0,13.0
105235991,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e5/3e/60/1246277087.webp,CH-426127,31,6,2350000.0,flat,sale,360.0,True,5,4,Barrio Cuatro Caminos,Madrid,Madrid,Tetuán,es,Cuatro Caminos,40.4503943,-3.6969059,False,https://www.idealista.com/inmueble/105235991/,"ÚNICA Inmobiliaria presenta gran oportunidad de inversión en la prestigiosa Avenida General Perón de Madrid. Este impresionante piso de 360 metros cuadrados ha sido completamente reformado para ofrecer el máximo confort y estilo. Con una orientación oeste, disfrutarás de una luminosidad excepcional y de hermosas puestas de sol desde la comodidad de tu hogar. Con un total de 5 amplias habitaciones, este piso es ideal para familias numerosas o para aquellos que buscan espacios adicionales para oficinas o salas de estar. Además, cuenta con 4 baños completos, garantizando la privacidad y comodidad de todos los residentes. La propiedad incluye 2 trasteros y una plaza de garaje incluidos en el precio. Esta propiedad de lujo es la simbiosis perfecta entre elegancia, funcionalidad y comodidad, con una privilegiada ubicación en zona con todos los servicios y excelente comunicación de transporte.  En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,6528.0,True,False,True,False,[],False,False,2350000.0,€,True,True,flat,,"Cuatro Caminos, Madrid",Piso,Top,,,
107679786,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ee/73/00/1319674949.webp,426393,31,3,850000.0,flat,sale,99.0,True,3,2,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4378639,-3.6783456,False,https://www.idealista.com/inmueble/107679786/,"ÚNICA INMOBILIARIA les ofrece esta bonita vivienda reformada con estupendas calidades. Un diseño práctico, acogedor y una gran oportunidad para adquirir un piso en Lista.  Este inmueble destaca por su estratégica ubicación, ideal para quienes desean vivir en un área bien conectada, llena de vida y con todos los servicios necesarios a su alcance. Dispone de una superficie útil de 99m² distribuidos inteligentemente para maximizar cada espacio del hogar. La zona de salón-comedor invita a disfrutar de momentos de tranquilidad o a reunirse con amigos y familiares. Cocina independiente con desayunador, completamente equipada con electrodomésticos de alta gama.  Dos dormitorios dobles exteriores dotados de luz natural, un dormitorio individual y dos baños completos ofreciendo máxima comodidad, privacidad y funcionalidad para el día a día. Además, destacamos que esta reformado con acabados de primera calidad, armarios empotrados, sistema de climatización y ventanas de doble acristalamiento.  El piso, listo para habitar, se encuentra amueblado y con electrodomésticos incluidos, lo que facilita una mudanza rápida y sin complicaciones. Está situado en la tercera planta de un edificio construido en el año 1922, que, además de estar muy bien conservado también cuenta con un cómodo ascensor para facilitar el acceso. Uno de los principales atractivos de este piso es su excelente conexión mediante transporte público, Intercambiador avenida de América a unos minutos andando, varias paradas de autobús a escasos metros, ideal para quienes desean vivir en un área bien conectada, llena de vida y con todos los servicios necesarios a su alcance.  Esta característica lo convierte en una opción perfecta tanto para quienes trabajan en la ciudad como para aquellos que tienen actividades diarias en distintas partes de la urbe. Destacamos su ambiente acogedor y la amplia variedad de servicios disponibles cerca de centros educativos, tiendas, supermercados, instalaciones deportivas y centros de salud, todo está al alcance de la mano, asegurando una calidad de vida excepcional. No deje pasar esta oportunidad, es una inversión segura, tanto para compradores primerizos como para aquellos que buscan expandir su patrimonio inmobiliario.   Le invitamos a visitarlo y a descubrir todo lo que este piso tiene para ofrecer. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,8586.0,True,False,True,False,[],False,False,850000.0,€,,,flat,,"Lista, Madrid",Piso,Top,,,
107592979,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ca/eb/53/1317043071.webp,8705PV-M,40,,159500.0,chalet,sale,69.0,,3,1,Pintores-Ferial,Madrid,Parla,Pintores-Ferial,es,,40.2397795,-3.7630193,False,https://www.idealista.com/inmueble/107592979/,"Mr. House Real Estate vende ECONÓMICA CASITA BAJA en el Parleño Barrio de San Ramón. ¡CON HONORARIOS INCLUIDOS! Se trata de una encantadora casita baja en uno de los barrios más característicos de Parla, San Ramón. Se trata de una vivienda en una sola planta de algo más de 60m2 con 3 dormitorios, salón, cocina y baño. También dispone de una subida a TERRAZA. La casa se encuentra a REFORMAR, aunque se han cambiado ventanas, instalación eléctrica y fontanería. Lo que más necesidad tiene de reforma es el tejado y terminar de enlucir las estancias principales. Esta vivienda está ubicada en pleno centro del municipio, junto a todo tipo de servicios tales como centros educativos, ambulatorio, paradas de autobús, comercios, etc. SOLICITA MÁS INFORMACIÓN SIN COMPROMISO! En Mr. House Real Estate ESTAREMOS ENCANTADOS DE ATENDERTE!",False,renew,False,,2312.0,True,False,True,True,[],False,False,159500.0,€,,,chalet,independantHouse,"Pintores-Ferial, Parla",Casa independiente,Top,,,
108569812,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/41/db/57/1348738249.webp,8878PV-M,35,2,164500.0,flat,sale,64.0,True,3,1,calle de Pablo VI,Madrid,Parla,Pintores-Ferial,es,,40.2413384,-3.7609996,False,https://www.idealista.com/inmueble/108569812/,"Mr. House Real Estate vende PISO PARA ENTRAR A VIVIR en pleno corazón de Parla ¡CON HONORARIOS INCLUIDOS! En esta ocasión, Mr. House Real Estate te ofrece la posibilidad de adquirir un bonito pisito en el barrio de Pintores. Se trata de una vivienda de unos 60m2 distribuidos en 3 dormitorios, baño completo con reciente plato de ducha, cocina con office (la zona de cocina se trasladó a la terracita cerrada y la estancia de cocina se dejó como comedor) y salón con salida a terraza cerrada. La vivienda está equipada con ventanas de aluminio, calefacción por acumuladores eléctricos, suelos de gres en su mayoría, maletero aprovechando el techo del pasillo, etc. Este inmueble está ubicado junto a todo tipo de servicios, ya que es perpendicular a la C/ Pinto, teniendo a menos de 5 minutos a pie numerosos comercios, centros educativos, Centro Comercial, paradas de autobús urbanos e interurbanos, RENFE, etc. SOLICITA MÁS INFORMACIÓN SIN COMPROMISO! En Mr. House Real Estate TE OFRECEMOS LAS MEJORES SOLUCIONES.",False,good,False,False,2570.0,False,False,True,True,[],False,False,164500.0,€,,,flat,,"Pintores-Ferial, Parla",Piso en calle de Pablo Vi,Top,169500.0,5000.0,3.0
