propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,newDevelopmentFinished,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,floor,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology,highlight.groupDescription,parkingSpace.parkingSpacePrice
107427827,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/47/86/937496562.webp,VT3.4.1_3.4.2 ,16,205300.0,flat,sale,113.0,True,3,2,avenida San Isidro s/n,Madrid,Navalcarnero,La Dehesa - El Pinar,es,40.295346,-3.9944543,True,https://www.idealista.com/obra-nueva/107427827/,"¡Viviendas adaptadas disponibles! (*Para cumplir con este requisito, es necesario tener un 33% de discapacidad reconocida) ¡Comenzamos con las obras de Fase III! Diverso Navalcarnero, es una promoción en régimen de cooperativa VPPB y está pensado para ti, por eso tenemos viviendas con terrazas para los días de sol, áticos con increíbles espacios abiertos para que los conviertas en lo que quieras o bajos con patio para esas cenas de verano que se alargan. Viviendas de 2 y 3 dormitorios con plaza de garaje y trastero incluido, para que tu nueva vida sea sobre todo cómoda. Además, para que puedas disfrutar de tu tiempo de ocio en casa, tendrás zonas comunes ajardinadas y área infantil. En Diverso Navalcarnero, tendrás zonas comunes ajardinadas, área infantil para disfrutar con los más pequeños y piscina comunitaria. Tu vivienda, llevara incorporada aerotermia con suelo radiante y refrescante. Si no conoces la zona te encantará, porque es un área en expansión, pero con todos los servicios para el día a día muy cercanos. Además, el acceso a la A5 es muy fácil. Xanadú está a 10min en coche y a escasos minutos andando tendrás un gran pinar donde pasear. De esta forma, tienes al alcance de tu mano la posibilidad de disfrutar del campo y su tranquilidad o del ritmo activo y cosmopolita de la ciudad. ¡Te invitamos a que descubras que puedes tener la casa que siempre has querido al precio que necesitas! Llámanos para más información o para pedirnos una cita y así poder darte todos los detalles acerca de la promoción.",True,newdevelopment,True,True,False,1817.0,True,False,False,False,[],False,False,205300.0,€,True,True,flat,"La Dehesa - El Pinar, Navalcarnero",Piso en avenida San Isidro s/n,,,,,,,,
103842722,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/f1/79/1201909280.webp,425907,44,679000.0,flat,sale,75.0,False,2,2,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,40.4304552,-3.6719391,False,https://www.idealista.com/inmueble/103842722/,"ÚNICA Inmobiliaria ofrece vivienda en una de las calles más representativas y demandadas del barrio de Salamanca. Esta vivienda de 75 m² se ubica en un edificio recientemente reformado.  Se distribuye en salón con cocina incorporada, dos dormitorios dobles, un de ellos con baño en suite. Cocina amueblada y equipada electrodomésticos de alta gama.  Reforma con materiales de alta calidad, se han cuidado todos los detalles, iluminación led. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,,9053.0,False,False,False,False,[],False,False,679000.0,€,,,flat,"Lista, Madrid",Piso,2,Lista,,,,,,
106543223,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f2/1a/32/1286283043.webp,4078,39,405000.0,flat,sale,50.0,False,2,1,calle del Montserrat,Madrid,Madrid,Centro,es,40.4267447,-3.7097056,False,https://www.idealista.com/inmueble/106543223/,"¡Descubre tu próximo hogar en la vibrante y bien conectada Calle de Montserrat! Situado en una zona ideal para disfrutar de la vida urbana con todas las comodidades a tu alcance, este luminoso y acogedor piso cuenta con una ubicación privilegiada en un entorno lleno de vida y servicios. Este piso se encuentra en una de las áreas más dinámicas de la ciudad, rodeado de una amplia oferta comercial y de ocio. A pocos pasos encontrarás supermercados, farmacias, cafeterías acogedoras, restaurantes variados y tiendas locales que te harán disfrutar del encanto de un barrio auténtico. Además, los amantes de los espacios verdes podrán disfrutar de parques y zonas ajardinadas ideales para pasear o practicar deporte. En cuanto a la comunicación y transporte, estarás perfectamente conectado con el resto de la ciudad. La zona dispone de varias líneas de metro y autobuses que garantizan una excelente movilidad Este piso de dos habitaciones ofrece el equilibrio perfecto entre funcionalidad y confort. Al entrar, serás recibido por un espacio cálido y en buen estado, donde cada detalle ha sido pensado para proporcionar una experiencia de vida cómoda y moderna. El salón es amplio y luminoso, ideal para momentos de relax o reuniones con amigos. Las habitaciones cuentan con armarios empotrados, proporcionando un amplio espacio de almacenamiento. La cocina está perfectamente integrada y equipada para cubrir todas tus necesidades culinarias. El baño es moderno y práctico, con un diseño limpio y elegante. El piso también dispone de aire acondicionado, garantizando un ambiente fresco en los meses más calurosos, y un sistema de calefacción eléctrica que proporciona calidez y confort durante el invierno. Los suelos y acabados son de buena calidad, ofreciendo un entorno contemporáneo y funcional. ¡Este piso es ideal para quienes buscan comodidad y una ubicación inmejorable! No pierdas la oportunidad de visitar este encantador hogar en una de las mejores zonas de la ciudad.",False,good,False,False,,8100.0,True,False,True,False,[],False,False,405000.0,€,,,flat,"Malasaña-Universidad, Madrid",Piso en calle del Montserrat,3,Malasaña-Universidad,,,,,,
108026915,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/74/a9/1334892612.webp,WGI00911,28,187000.0,duplex,sale,67.0,True,2,2,calle de San Javier,Madrid,El Molar,,es,40.7349956,-3.5830649,False,https://www.idealista.com/inmueble/108026915/,"WGI VENDE este FANTÁSTICO PISO DUPLEX con muy buena ILUMINACION Y ORIENTACIÓN. El inmueble consta de 70m2 construidos, y se distribuye de la siguiente manera: - PRIMERA PLANTA; en la entrada de la vivienda encontramos una acogedora entrada que nos lleva al salón de la vivienda con muy buena iluminación y grandes ventanales. En esta planta encontramos tambien una cocina independiente, equipada y lista para hacer vida en ella, asi como un aseo de cortesía en la planta baja.  - SEGUNDA PLANTA nos encontramos dos dormitorios una de ellas con armarios empotrados que la dotan de muy buena capacidad de almacenaje, asi como un baño completo con bañera.  El inmueble cuenta con buenas calidades; un BONITO suelo CERÁMICO muy bien conservado, ventanas de PVC que hacen que la vivienda tenga muy buen aislamiento térmico, puertas de madera y paredes con un gotelé fino. La vivienda se encuentra en una zona INMEJORABLE con acceso directo a la A1, teniendo comercios, supermercados, farmacias, centros médicos y escolares a los cuales podemos acceder dando un paseo acogedor y tenerlo todo cerca de casa.  Ven a ver este precioso inmueble y pondremos a tu disposición nuestro equipo de expertos inmobiliarios, así como asesoramiento fiscal y legal en la operación. CONSEGUIMOS HASTA EL 100% DE FINANCIACIÓN.",True,good,False,False,,2791.0,True,False,False,False,[],False,False,187000.0,€,,,flat,El Molar,Dúplex en calle de San Javier,2,,195000.0,8000.0,4.0,duplex,,
108428154,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/2d/70/1344578012.webp,426653-C,22,3100000.0,flat,sale,331.0,True,6,3,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,40.4324027,-3.6740933,False,https://www.idealista.com/inmueble/108428154/,"ÚNICA INMOBILIARIA ofrece esta gran vivienda exterior en Barrio de Salamanca. Se trata de un piso señorial con una superficie total de 331 m² con techos de 3 metros de altura. Actualmente esta distribuido en 6 habitaciones, 2 baños, 1 aseo, cocina, comedor, terraza y balcón. El portal cuenta con portero físico, cámaras de seguridad, acceso adaptado para personas con discapacidad con rampas de acceso, silla elevadora y montacargas, además de piscina comunitaria y un amplio estacionamiento dentro de la misma finca en la que están disponibles dos plazas de garaje incluidas en el precio. Es ideal para familias grandes o para inversores ya que ofrece un gran potencial. La orientación oeste garantiza luminosidad y su gran terraza fantásticas vistas a la ciudad. No pierdas la oportunidad de adquirir este piso único en una de las zonas más cotizadas de Madrid. Por respeto a la privacidad del propietario, Las fotografías del inmueble en esta publicación son referenciales. Sin embargo, estaremos encantados de proporcionarte toda la información necesaria y coordinar una visita para que puedas conocer el piso en persona. No dudes en contactarnos para resolver cualquier duda o para agendar una cita. ¡Estamos aquí para ayudarte a encontrar tu nuevo hogar! En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro.",False,good,False,True,,9366.0,False,False,False,False,[],False,False,3100000.0,€,True,True,flat,"Lista, Madrid",Piso,4,Lista,,,,,,
108562219,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/61/29/fb/1348521732.webp,16755-2025,1,251000.0,flat,sale,55.0,,2,1,calle de la Paloma s/n,Madrid,Madrid,Centro,es,40.4082646,-3.7118768,True,https://www.idealista.com/inmueble/108562219/,"PISO OCUPADO POR PERSONA SIN JUSTO TÍTULOESTE INMUEBLE DEBIDO A SU ESTADO OCUPACIONAL NO ADMITE VISITASIDEAL PARA INVERSORESLA LOCALIZACIÓN DEL INMUEBLE ES APROXIMADAVivienda de 49 m², según Catastro, y 6 m² de elementos comunes a la venta en el distrito centro de Madrid. Es una planta sótano en un bloque residencial con ascensor. Muy bien comunicado por carretera (M-30) y transporte público, a menos de cinco minutos andando de la parada de autobús de la Gran Vía de San Francisco. Próximo a todo tipo de servicios e infraestructuras como centros educativos (IES San Isidro, Instituto de Educación Secundaria), comercios, supermercados, farmacias, zonas verdes... SIN COMISIÓN.",False,good,False,True,,4564.0,False,False,False,False,[],False,False,251000.0,€,,,flat,"Palacio, Madrid",Piso en calle de la Paloma s/n,st,Palacio,270000.0,19000.0,7.0,,,
108440396,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/72/76/4f/1344936204.webp,W-02Z6X4,6,1640000.0,chalet,sale,400.0,,5,5,"calle Rigoletto, 26",Madrid,Majadahonda,Los Satélites - Roza Martín,es,40.4511017,-3.887266,True,https://www.idealista.com/obra-nueva/108440396/,"E&V presenta 'Los Altos de Roza Martín', promoción de obra nueva consistente en dos chalets pareados de 400 m2 construidos en parcelas de 640 m2 con piscina. Se trata de dos viviendas pareadas con arquitectura vanguardista, diseño y calidades de lujo en la prestigiosa urbanización Roza-Martín. Un concepto de vivienda donde prima la sostenibilidad y la eficiencia energética, donde el paisaje forma parte del interior a través de enormes ventanales y vistas desde las estancias y donde se complementan la tranquilidad y el carácter residencial con la cercanía al comercio y los servicios que ofrece Roza Martín. Las viviendas se distribuyen en dos plantas y sótano contando cada una de las estancias con grandes espacios. La primera planta consiste en gran salón con vistas al jardín y cocina integrada resultando un espacio de más de 70 m2. Encontramos también un aseo para el área social y dormitorio con baño completo. La segunda planta cuenta con cuatro amplios dormitorios y tres baños, dos de los cuales son en suite. El principal con más de 34 m2 cuenta con vestidor y baño completo. Un segundo dormitorio de 20 m2 con baño en suite. Un tercer baño da servicio a las otras dos habitaciones. La ubicación de la parcela permite unas preciosas vistas despejadas desde cada estancia y mucha tranquilidad. La planta sótano se compone de gran sala, aseo, zona de lavandería, trastero y garaje para 2-3 coches. Climatización de vivienda mediante sistema de aerotermia, calefacción por suelo radiante y aire acondicionado, domótica, placas fotovoltaicas, piscina privada, las mejores calidades y materiales de construcción en una vivienda que está pensada al detalle. La urbanización Roza-Martín está compuesta por modernas viviendas pareadas e independientes con piscina privada. En el mismo área se encuentra el Colegio Thames, centro médico, supermercados, restaurantes, comercio, agradables zonas verdes de paseo y salida inmediata a la M50. Cercanía a la zona carrefour, centro comercial Equinoccio, Hospital Puerta de Hierro, centros deportivos y el campo de golf de Majadahonda.",False,newdevelopment,True,,False,4100.0,False,False,False,False,[],False,False,1640000.0,€,True,True,chalet,"Los Satélites - Roza Martín, Majadahonda","Chalet pareado en calle Rigoletto, 26",,,,,,semidetachedHouse,,
107427846,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/47/86/937496562.webp,VT3.5.1_3.5.2 ,16,206400.0,flat,sale,117.0,True,3,2,avenida San Isidro s/n,Madrid,Navalcarnero,La Dehesa - El Pinar,es,40.295346,-3.9944543,True,https://www.idealista.com/obra-nueva/107427846/,"¡Viviendas adaptadas disponibles! (*Para cumplir con este requisito, es necesario tener un 33% de discapacidad reconocida) ¡Comenzamos con las obras de Fase III! Diverso Navalcarnero, es una promoción en régimen de cooperativa VPPB y está pensado para ti, por eso tenemos viviendas con terrazas para los días de sol, áticos con increíbles espacios abiertos para que los conviertas en lo que quieras o bajos con patio para esas cenas de verano que se alargan. Viviendas de 2 y 3 dormitorios con plaza de garaje y trastero incluido, para que tu nueva vida sea sobre todo cómoda. Además, para que puedas disfrutar de tu tiempo de ocio en casa, tendrás zonas comunes ajardinadas y área infantil. En Diverso Navalcarnero, tendrás zonas comunes ajardinadas, área infantil para disfrutar con los más pequeños y piscina comunitaria. Tu vivienda, llevara incorporada aerotermia con suelo radiante y refrescante. Si no conoces la zona te encantará, porque es un área en expansión, pero con todos los servicios para el día a día muy cercanos. Además, el acceso a la A5 es muy fácil. Xanadú está a 10min en coche y a escasos minutos andando tendrás un gran pinar donde pasear. De esta forma, tienes al alcance de tu mano la posibilidad de disfrutar del campo y su tranquilidad o del ritmo activo y cosmopolita de la ciudad. ¡Te invitamos a que descubras que puedes tener la casa que siempre has querido al precio que necesitas! Llámanos para más información o para pedirnos una cita y así poder darte todos los detalles acerca de la promoción.",True,newdevelopment,True,True,False,1764.0,True,False,False,False,[],False,False,206400.0,€,True,True,flat,"La Dehesa - El Pinar, Navalcarnero",Piso en avenida San Isidro s/n,,,,,,,,
106650582,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/28/bf/1293606867.webp,4086,41,175000.0,duplex,sale,50.0,True,2,1,calle del Padre Rubio,Madrid,Madrid,Tetuán,es,40.4700971,-3.6948581,False,https://www.idealista.com/inmueble/106650582/,"¡Dúplex en Zona Prime de Madrid! A 5 Min de Plaza Castilla, Ideal Inversión/Primera Vivienda. Imagina vivir en un acogedor dúplex lleno de luz natural, a solo minutos del corazón financiero de Madrid, donde la tranquilidad de la zona residencial se combina con la comodidad de tener todo a tu alcance. ¡Un espacio ideal para quienes valoran la calidad de vida y el fácil acceso a todo! . Se vende acogedor dúplex de 45 m² útiles, distribuido en dos plantas (23 m² cada una), ideal tanto como inversión o para vivienda habitual. Situado en el barrio de Ventilla, a pocos minutos de Plaza de Castilla, en una zona residencial tranquila y en auge, con excelente conexión a las principales vías de transporte de Madrid. Distribución del inmueble: - Planta Principal: * Amplio salón-comedor con cocina americana equipada con electrodomésticos (lavadora, vitrocerámica, campana extractora, nevera y microondas). * Baño completo con plato de ducha. - Planta Baja: * Dos dormitorios, ambos con ventanas exteriores. Características adicionales: - Puerta de entrada blindada. - Calefacción eléctrica y agua caliente individual mediante termo eléctrico. - Todas las estancias cuentan con ventanas, lo que proporciona luz natural durante todo el día. - Ventanas exteriores en el salón y los dormitorios, y una ventana interior en el baño. Ubicación privilegiada: A solo 5 minutos caminando del intercambiador y metro de Plaza de Castilla (líneas 1, 9 y 10) y a 15 minutos de la estación de Chamartín, el inmueble está perfectamente conectado con las principales zonas de la ciudad y con acceso ágil a las autovías M-30, M-40, y la M-11. A tan solo 10 minutos en coche del aeropuerto o el recinto ferial IFEMA. Además, se encuentra muy cerca del Distrito Financiero de las Cinco Torres, del Instituto de Empresa y las Torres Puerta de Europa, lo que lo convierte en una excelente opción para quienes trabajan en la zona norte de Madrid. Ubicado a solo 10 minutos del aeropuerto, perfecto para profesionales que viajan frecuentemente. Además, a solo 5 minutos del intercambiador de Plaza Castilla, con múltiples conexiones de transporte. Ven a verlo te gustara.",False,renew,False,False,,3500.0,True,False,False,False,[],False,False,175000.0,€,,,flat,"Ventilla-Almenara, Madrid",Dúplex en calle del Padre Rubio,bj,Ventilla-Almenara,,,,duplex,,
108277574,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/46/83/7b/1353136551.webp,318062,6,4200000.0,flat,sale,328.0,True,4,4,Barrio Castellana,Madrid,Madrid,Barrio de Salamanca,es,40.4325409,-3.6812403,False,https://www.idealista.com/inmueble/108277574/,"Ubicado en la prestigiosa Calle Velázquez, cerca de Jose Ortega y Gasset, este piso de 320 m² disfruta de una posición privilegiada. Se trata de piso con mucha altura totalmente exterior que, gracias a su orientación hacia un extenso patio de manzana, es sumamente luminoso y ofrece unas vistas amplias y despejadas. El edificio, construido en 1956, destaca en la Calle Velázquez por su arquitectura emblemática y reconocida, ofreciendo una distribución excepcional de los espacios. El inmueble consta de 9 plantas y únicamente 2 viviendas por planta. La sexta planta se abre a un elegante hall que separa el acceso a las dos propiedades de este nivel. En cuanto a la distribución actual, cuenta con dos amplios salones exteriores muy luminosos, ambos con grandes ventanales orientados hacia la Calle Velázquez y un gran patio de manzana. Junto a los salones, se encuentra un espacioso comedor independiente.  La zona de noche incluye 3 dormitorios, cada uno con su propio baño. Además, en la zona de la cocina, hay un dormitorio de servicio con su baño. El portal del edificio ha sido recientemente renovado y presenta acabados en mármol y madera. Dispone de dos ascensores principales y una entrada de servicio independiente. Incluye trastero.  Cuenta también con dos plazas de garaje en el mismo edificio, con acceso directo a la vivienda.  Además, la comunidad dispone de una extensa zona exterior destinada a área de recreo infantil. Este piso ofrece una distribución excepcional y posee un enorme potencial para ser reformado.",False,renew,False,True,,12805.0,True,False,False,False,[],False,False,4200000.0,€,True,True,flat,"Castellana, Madrid",Piso,6,Castellana,,,,,,
