propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
106585131,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/80/c5/9b/1300004011.webp,312429,21,2,1185000.0,flat,sale,153.0,True,2,2,Barrio Lavapiés-Embajadores,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4128943,-3.7049756,False,https://www.idealista.com/inmueble/106585131/,"Ubicada en la calle Colegiata, a pocos pasos de la Plaza Mayor, esta propiedad combina el encanto histórico del centro de Madrid con vistas a la Catedral de la Real Congregación de San Isidro.  Con tres balcones exteriores, destaca por su diseño único y estilo clásico contemporáneo. Un recibidor elegante conecta con el salón principal, que incluye sofás Chester italianos, dos balcones llenos de luz y una acogedora zona de lectura con chimenea de mármol. Los suelos de madera en tono caoba aportan calidez y distinción. La vivienda cuenta con dos dormitorios interiores. La habitación principal tiene un balcón al patio interior, mientras que la secundaria ofrece una ventana amplia al mismo patio. Los baños, con azulejos negros y grifería dorada, combinan elegancia y funcionalidad. La cocina independiente, equipada con electrodomésticos de alta gama y encimera de mármol, completa esta distribución práctica y elegante. La finca, en excelente estado, dispone de ascensor y una entrada representativa. Contáctenos para agendar su visita.",True,good,False,True,7745.0,False,False,False,False,[],False,False,1185000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso,,,,,,,
108048613,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/2a/1f/1332289216.webp,4 3ºA,8,3,284475.0,flat,sale,100.0,True,3,2,Barrio Los Berrocales,Madrid,Madrid,Vicálvaro,es,Los Berrocales,40.3730364,-3.5752663,False,https://www.idealista.com/obra-nueva/108048613/,"Nuevos proyectos de vivienda protegida en los Berrocales. ¡Ha llegado tu momento! Grupo Ibosa presenta dos nuevos proyectos de viviendas de protección pública de precio limitado, VPPL. En uno de los nuevos desarrollos urbanísticos con mayor proyección ubicado en el sureste de Madrid, en los berrocales. (etapa iii). Calidad, diseño y confort residencial Pegasus ofrece viviendas de 2, 3 ys 4 dormitorios con plazas de garaje y trastero incluido en el precio. Viviendas con un precio asequible, funcionales y muy bien distribuidas, optimizando cada metro cuadrado para ofrecerte el máximo confort y comodidad. Para tus momentos de ocio, podrás disfrutar sin salir de casa de unas estupendas zonas comunes con piscina y zonas verdes para disfrutar con la familia y amigos. Sostenibilidad La sostenibilidad, calidad y diseño son los elementos principales en estas viviendas en la que se ha tenido muy en cuenta el cuidado por el medio ambiente y el ahorro energético. Los berrocales opta por un modelo de ciudad sostenible, ecológico, con zonas verdes, amplias avenidas y zonas peatonales que mejoran la calidad del medioambiental. Un nuevo desarrollo urbanístico que se adapta perfectamente a un estilo de vida tranquilo y que además se encuentra a un paso de Madrid central para los que no quieran perder el vínculo con la gran ciudad. Ubicación tiene una ubicación estratégica al este de Madrid, muy cerca de Ensanche de Vallecas y el c. C. La Gavia destacando la gran conectividad a las redes de transporte público dada su cercanía al metro y paradas de autobuses. Delimita al sur por la a3, al este por la m-50, al oeste por la m-45 y por el norte la línea 9 de metro. ¡Ha llegado tu momento, apúntate! Observaciones: estos proyectos. Se gestiona en régimen de cooperativa. Residencial Pegasus. Coop. Mad., ya está constituida. Durante el desarrollo del proyecto, la dirección facultativa se reserva el derecho de efectuar modificaciones que viniesen motivadas por exigencias de orden técnico o jurídico por parte de las administraciones competentes, así como aquellas que pudieran suponer cambios del proyecto o en la memoria de calidades que en ningún caso supondrán minoración de las calidades previstas.   Las imágenes mostradas pertenecen al anteproyecto teniendo carácter orientativo y no contractual. Los precios aquí indicados serán actualizados con el incremento de IPC anual hasta que se obtenga la calificación provisional. Importante señalar que, los precios que aparecen tienen pendiente de aplicar el IPC 2025. La cuantía que represente aplicar el incremento del IPC se llevará a la cantidad pendiente de pago en la entrega de llaves.",False,newdevelopment,True,True,2845.0,True,False,False,False,[],False,False,284475.0,€,flat,"Los Berrocales, Madrid",Piso,False,True,True,,,,
107730462,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e2/93/b5/1321119719.webp,CM-426566,18,3,820000.0,flat,sale,83.0,True,3,2,Barrio Vallehermoso,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4395713,-3.7106474,False,https://www.idealista.com/inmueble/107730462/,"ÚNICA INMOBILIARIA ofrece este maravilloso inmueble exterior con mucha luz natural, que garantiza un ambiente cálido y luminoso en todo momento, con una superficie de 83 m², distribuidos en 3 amplios dormitorios, ideales para adaptarse a tus necesidades y 2 baños completos que ofrecen comodidad y privacidad. En una inmejorable ubicación tranquila y bien conectada de la zona de Vallehermoso, muy cerca de colegios, comercios y transporte público (líneas de metro y autobuses). La vivienda se encuentra actualmente alquilada hasta Junio de 2025 con una renta de 2.400€ mensuales. Este hogar ofrece la combinación perfecta entre comodidad, funcionalidad y ubicación. Es ideal tanto para familias como para quienes buscan un espacio amplio y moderno en un entorno residencial y con una excelente conexión al centro de la ciudad. ¡Ven a conocerlo y haz de este piso tu nuevo hogar! En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,9880.0,False,False,False,False,[],False,False,820000.0,€,flat,"Vallehermoso, Madrid",Piso,,,,,,,
107077700,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8d/c0/ff/1310719862.webp,e75.loperueda,36,bj,899000.0,flat,sale,103.0,True,3,3,"calle de Lope de Rueda, 46",Madrid,Madrid,Retiro,es,Ibiza,40.4192744,-3.6778423,True,https://www.idealista.com/inmueble/107077700/,"piso bajo, exterior, reformado a estrenar muy luminoso, finca del año 1940, con servicio de portería física, distribuido en 3 dormitorios, dos de ellos en suite, 3 baños completos, patio interior, 3 ventanas dobles a la calle, armarios empotradas, armarios empotrados y un vestidor, gran altura de techos 3,20m de alto, cocina incorporada al salón con isla, aire acondicionado frio y calor, calefacción individual de gas, esquina calle menorca, a un minuto del parque del retiro, se vende completamente equipado.",True,good,False,False,8728.0,True,False,False,False,[],False,False,899000.0,€,flat,"Ibiza, Madrid","Piso en calle de Lope de Rueda, 46",,,,,,,
101931704,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/df/89/af/1350229398.webp,,9,,312000.0,flat,sale,98.0,,3,2,"calle Hermanos Álvarez Quintero, 22",Madrid,Getafe,La Alhóndiga,es,,40.3100733,-3.7396604,True,https://www.idealista.com/obra-nueva/101931704/,"Conjunto de vivienda y plaza de garaje a la venta en un edificio en construcción situado en Getafe, en Madrid. Fabulosa vivienda situada en la planta baja del edificio y distribuida en un amplio salón-comedor con la cocina integrada, amueblada y equipada, 3 dormitorios y 2 baños, uno de ellos en suite en el dormitorio principal. Gozará de muy buenas calidades constructivas y con acabados de calidad. La plaza de garaje estará ubicada en la planta sótano del edificio. La finca, que dispondrá de portero automático y ascensor adaptado para personas con movilidad reducida, se emplaza en una zona residencial equipada con todo tipo de servicios que facilitan tu día a día: centros educativos, el Hospital Universitario de Getafe, comercios de toda clase, supermercados, entidades bancarias, servicios de restauración, etc. Además, goza de muy buenas y rápidas comunicaciones tanto por carretera como por transporte público ya que el acceso a la carretera A-42 se encuentra a menos de 500 metros y la estación de Metro y Cercanías de Getafe Centro a menos de 650 metros. A menos de 15 minutos en coche del centro de Madrid. ¿A qué estás esperando? Llámanos y te informamos sin ningún compromiso.",False,newdevelopment,True,True,3184.0,True,False,False,False,[],False,False,312000.0,€,flat,"La Alhóndiga, Getafe","Piso en calle Hermanos Álvarez Quintero, 22",False,,,,,,
106611927,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3e/3e/80/1288699289.webp,426211-P,22,4,1240000.0,flat,sale,100.0,True,2,2,Barrio Lista,Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4328299,-3.6772252,False,https://www.idealista.com/inmueble/106611927/,"UNICA Inmobiliaria les presenta magnifica vivienda exterior reformada recientemente, situada en elegante de los años 60.  100 m² distribuidos en salón - comedor exterior, compuesto por dos ventanales amplios, que aportan mucha luminosidad, uno de ellos tiene salida directa a la terraza; cocina de diseño, abierta al salón con una isla en un lateral, se entrega completamente amueblada, con todos los electrodomésticos de alta gama.  Área de descanso compuesta por dos dormitorios, el principal doble y en suite, y dos de baños.  Dispone de plaza de garaje en el PAR de Maldonado. En cuanto a calidades destacamos los cerramientos de aluminio con doble acristalamiento, puertas lacadas en blanco de gran tamaño, suelo de tarima flotante en forma de espiga.  Calefacción es central con contadores individuales, aire acondicionado instalado. Finca con fácil acceso para personas con movilidad reducida y portero físico en finca. Lista es uno de los barrios que compone el castizo distrito de Salamanca, el cual tiene sus orígenes en el siglo XIX con el reinado de Isabel II. Fue el Marqués de Salamanca quien pidió la construcción de este entramado con el fin de que fuese la residencia de la aristocracia y la burguesía de Madrid. Además de dar fantásticos paseos por sus calles, el barrio de Salamanca tiene una amplia oferta de museos, entre ellos destaca el Museo Arqueológico Nacional, Museo Lázaro Galdiano, La Fundación Juan Marcha o el Palacio de los Deportes. En Única Inmobiliaria aglutinamos más de veinte años de experiencia en el sector del lujo. Contamos con una amplia trayectoria que avala nuestra gestión trabajando alrededor de las zonas más exclusivas de Madrid: Barrio de Salamanca, Recoletos, Almagro, Chamartín, Retiro, Justicia….",False,good,False,True,12400.0,False,False,False,False,[],False,False,1240000.0,€,flat,"Lista, Madrid",Piso,,,,,,,
108405071,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/61/97/0a/1343553610.webp,W-0307SG,59,,1280000.0,chalet,sale,420.0,,6,4,Valdelagua,Madrid,Valdelagua,,es,,40.6480639,-3.6008275,False,https://www.idealista.com/inmueble/108405071/,"Espectacular casa totalmente reformada en Valdelagua Engel& Völkers les presenta EN EXCLUSIVA está casa ubicada en una de las zonas más selectas de Madrid, en la Urbanización Valdelagua  Esta bonita y funcional vivienda, diseñada para una vida tranquila y confortable, cuenta con una excelente orientación sur, techos altos y una gran luminosidad en todas sus estancias. Completamente reformada con materiales de alta calidad. Con una superficie construida de 420 m², se distribuye en dos plantas: una planta baja de 218 m² y una elegante planta superior abuhardillada de gran altura y mucha luz, con parcela plana de 2.024 m². En la planta baja se encuentra una amplia cocina independiente, un salón-comedor de 50 m² con acceso directo a un espectacular porche acristalado, un aseo de cortesía y una práctica zona de lavandería. Esta planta acoge también la zona de descanso, compuesta por un dormitorio principal con baño en suite, tres dormitorios adicionales y un segundo baño completo. Armarios empotrados de madera de haya. La planta superior ofrece un gran salón abuhardillado, muy luminoso, y una sala anexa que alberga un amplio gimnasio, sauna y baño completo. Toda esta planta dispone de armarios empotrados ofreciendo gran capacidad de almacenaje. El jardín es amplio y está cuidadosamente diseñado. En su vertiente sur encontramos una extensa pradera con arbolado consolidado, una terraza exterior con pérgola y una agradable zona de barbacoa. En la zona norte, el jardín se convierte en un pequeño oasis con huerto y árboles frutales y espectacular piscina de 12x3 metros, perfecta para nadar y disfrutar gran parte del año. Está equipada con una cubierta motorizada de aluminio y policarbonato, y un sistema de filtración avanzado mediante ionización de cobre-plata y lámparas UV, sin cloro. En cuanto a sostenibilidad y eficiencia energética, dispone de paneles solares con una potencia de 10 kW, agua caliente sanitaria y climatización por aerotermia, con suelo radiante y refrescante. Además, cuenta con seis unidades de aire acondicionado con bomba de calor, tres en cada planta. El garaje independiente tiene capacidad para dos vehículos con un cargador para coche eléctrico de 7 kW. La finca también incluye una caseta de jardinería de 15 m² con descalcificador de agua. Valdelagua es una urbanización ubicada en el km 30 de la carretera de Burgos, al lado de Ciudalcampo. Es la única urbanización totalmente privada (junto a La Finca), por lo que está restringido el acceso únicamente a los propietarios de la misma. Tiene una zona de club social con piscina comunitaria, pistas de pádel y tenis de uso gratuito, columpios y zonas verdes donde se desarrollan muchas actividades. Cuenta además, con iglesia que oficia misa cada domingo. Valdelagua está rodeada de múltiples zonas comerciales con bancos, supermercados, farmacias, centro médico tanto de la seguridad social como privado, diferentes zonas de restauración… y además, muy cerca, cuenta con colegios públicos, concertados y privados de gran prestigio. Hay diferentes conexiones de autobuses constantemente, tanto con Madrid como con Alcobendas o San Sebastián de los Reyes.",True,good,False,,3048.0,False,False,True,False,[],False,False,1280000.0,€,chalet,Valdelagua,Casa independiente,,True,True,independantHouse,,,
108048587,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ec/d2/a1/1332289114.webp,2 3ºC,8,3,329988.0,flat,sale,121.0,True,4,2,Barrio Los Berrocales,Madrid,Madrid,Vicálvaro,es,Los Berrocales,40.3714999,-3.5755211,False,https://www.idealista.com/obra-nueva/108048587/,"Nuevos proyectos de vivienda protegida en los Berrocales. ¡Ha llegado tu momento! Grupo Ibosa presenta dos nuevos proyectos de viviendas de protección pública de precio limitado, VPPL. En uno de los nuevos desarrollos urbanísticos con mayor proyección ubicado en el sureste de Madrid, en los berrocales. (etapa iii). Calidad, diseño y confort residencial Pegasus ofrece viviendas de 2, 3 ys 4 dormitorios con plazas de garaje y trastero incluido en el precio. Viviendas con un precio asequible, funcionales y muy bien distribuidas, optimizando cada metro cuadrado para ofrecerte el máximo confort y comodidad. Para tus momentos de ocio, podrás disfrutar sin salir de casa de unas estupendas zonas comunes con piscina y zonas verdes para disfrutar con la familia y amigos. Sostenibilidad La sostenibilidad, calidad y diseño son los elementos principales en estas viviendas en la que se ha tenido muy en cuenta el cuidado por el medio ambiente y el ahorro energético. Los berrocales opta por un modelo de ciudad sostenible, ecológico, con zonas verdes, amplias avenidas y zonas peatonales que mejoran la calidad del medioambiental. Un nuevo desarrollo urbanístico que se adapta perfectamente a un estilo de vida tranquilo y que además se encuentra a un paso de Madrid central para los que no quieran perder el vínculo con la gran ciudad. Ubicación tiene una ubicación estratégica al este de Madrid, muy cerca de Ensanche de Vallecas y el c. C. La Gavia destacando la gran conectividad a las redes de transporte público dada su cercanía al metro y paradas de autobuses. Delimita al sur por la a3, al este por la m-50, al oeste por la m-45 y por el norte la línea 9 de metro. ¡Ha llegado tu momento, apúntate! Observaciones: estos proyectos. Se gestiona en régimen de cooperativa. Residencial Pegasus. Coop. Mad., ya está constituida. Durante el desarrollo del proyecto, la dirección facultativa se reserva el derecho de efectuar modificaciones que viniesen motivadas por exigencias de orden técnico o jurídico por parte de las administraciones competentes, así como aquellas que pudieran suponer cambios del proyecto o en la memoria de calidades que en ningún caso supondrán minoración de las calidades previstas.   Las imágenes mostradas pertenecen al anteproyecto teniendo carácter orientativo y no contractual. Los precios aquí indicados serán actualizados con el incremento de IPC anual hasta que se obtenga la calificación provisional. Importante señalar que, los precios que aparecen tienen pendiente de aplicar el IPC 2025. La cuantía que represente aplicar el incremento del IPC se llevará a la cantidad pendiente de pago en la entrega de llaves.",False,newdevelopment,True,True,2727.0,True,False,False,False,[],False,False,329988.0,€,flat,"Los Berrocales, Madrid",Piso,False,True,True,,,,
107012871,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/83/a2/d1/1313829729.webp,06879,67,,1400000.0,chalet,sale,590.0,,6,5,El Bosque,Madrid,Villaviciosa de Odón,El Bosque,es,,40.3745853,-3.9290394,False,https://www.idealista.com/inmueble/107012871/,"NO COBRAMOS HONORARIOS AL COMPRADOR EN ESTA OPERACIÓN Precioso chalet de arquitectura moderna y espectacular diseño reformado en 2011 cuenta con 584m2 útiles y 2047m2 de parcela en Urbanización El Bosque. Distribuido en dos casas, la principal de 513m2 con cinco dormitorios, dos de ellos con baño en suite con plato de ducha y bañera de hidromasaje y grandes ventanales orientación Sur. Amplio salón comedor con chimenea de 67m2, tres baños completos y aseo, cocina equipada, porche y gran terraza en dormitorio principal, buhardilla con terraza exterior muy soleada. Garaje de 95m2 para 4-5 vehículos, trastero, jardín, piscina con barbacoa y cocina cerrada. Calefacción por gasoil y aire acondicionado. Grandes ventanas de doble aislamiento Climalit oscilobatientes. La segunda casa de 71m2 consta de salón, cocina, dormitorio y baño. ESTA PROPIEDAD ES ESPECIAL PORQUE Tiene una luz única en una excelente ubicación en orientación Sur, disfruta de una gran luminosidad todo el día y amplios ventanales en todas sus estancias. Con una parcela de más de 2000m2 con césped natural y grandes árboles, y árboles frutales. Cuenta con una segunda casa totalmente autosuficiente ideal como casa de invitados, servicio, oficina, almacén, negocio, gimnasio, etc, también con grandes ventanas y muy luminosa. La calle termina en la propiedad por lo que es muy tranquilo y sin tráfico. Suelos de parquet y cerámicos. Ventanas de aluminio climalit con persianas. La terraza solarium de 38m2 tiene acceso desde la buhardilla y puede ser cerrada y acondicionada como otra estancia, también tiene acceso independiente desde el exterior de la casa. En el jardín encontramos una sala-cocina completa de 12m2 con barbacoa para dar servicio a la piscina. El garaje incorpora dos puertas que permiten separar el mismo en dos estancias independientes. Puertas automáticas de acceso a la finca y al garaje. ENTORNO Rodeado de parques, dehesas, zonas verdes, campo de golf.  DISTRIBUCIÓN En la entrada de la planta baja encontramos recibidor de 11m2, salón comedor con chimenea de 67m2 con grandes ventanales y muy luminoso, con acceso al jardín, baño completo y aseo, cocina equipada de 14m2 con despensa de 6m2. Dormitorio de 40m2 con acceso directo al jardín. Escalera con acceso a la primera planta, donde encontramos recibidor y 4 dormitorios, muy luminosos con amplios ventanales, el principal de 32m2 con baño completo de 9,5m2 en suite y gran terraza de 25m2 orientación Sur. Gran dormitorio de invitados de 22m2 con baño en suite completo de 12m2 y terraza. Un tercer dormitorio de 14m2, y un cuatro dormitorio-sala de 9,5m2, en este encontramos una escalera de acceso a la buhardilla. Ventanas de aluminio de doble aislamiento climalit en todas las habitaciones. En la planta superior se encuentra la buhardilla de 31m2 dividida en dos estancias con ventanas velux con revestimiento de madera en el techo y acceso a terraza exterior solarium de 38m2. En la planta sótano se encuentra el trastero y almacén de 26m2. Garaje de 95m2. Carpintería interior de madera. EXTERIOR Orientación Sur de fachada principal, salón y dormitorios. Tejado de pizarra. ES IMPORTANTE SABER Muy bien ubicado en calle sin tráfico pero cerca de la salida de la urbanización. Aire acondicionado. Urbanización con vigilancia 24h COMERCIO Y SERVICIOS: Supermercados, Veterinarios, Centros de salud, Farmacia, Guarderías, Salones de belleza. Espacios para el deporte, Real Club de Golf Lomas-Bosque. Centro Deportivo TENPLE, restaurantes, cafeterías, gimnasios, polideportivos, transportes. Hospital de Majadahonda a 12 minutos. Rápida salida a Autovía M-501 en 4 minutos. COLEGIOS Y UNIVERSIDADES: Universidad Europea de Madrid, Agora Madrid International School, IES Calatalifa, Yugo Madrid Coliseo Europea - Residencia de Estudiantes. HOSPITALES: Centro de especialidades Villaviciosa de Odón Hospital Clínico Veterinario TRANSPORTE Líneas de autobuses.",False,good,False,,2373.0,True,False,False,False,[],False,False,1400000.0,€,chalet,"El Bosque, Villaviciosa de Odón",Casa independiente,,True,True,independantHouse,,,
107878667,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b0/e9/be/1327044331.webp,7938107,38,,500000.0,chalet,sale,2000.0,,12,2,Colmenar de Oreja,Madrid,Colmenar de Oreja,,es,,40.0589332,-3.5077772,False,https://www.idealista.com/inmueble/107878667/,"REF: 7938107 Ideal para alojamiento turístico, eventos y escapadas rurales – A 45 km de Madrid y 9 km de Aranjuez Inmo Olaya presenta esta espectacular finca rústica compuesta por dos casas independientes, ubicada en una zona de gran atractivo turístico, rodeada de naturaleza y perfectamente acondicionada para explotación como alojamiento rural o complejo turístico vacacional. Características Generales del Inmueble Parcela Total: 2.000 m², totalmente vallada y rodeada de pinos, nogales y zonas verdes. Construcción Total: Casa principal: 220 m² Casa secundaria: 120 m² Total habitaciones: 12 dobles + 1 individual Capacidad total: 25 plazas Distribución y Equipamiento 2 piscinas privadas 2 zonas de barbacoa con merenderos Amplios jardines Parking privado para hasta 24 coches Gran salón-comedor con chimenea y TV Cocina amplia y totalmente equipada 2 baños completos: uno con bañera y otro con ducha extragrande Ubicación Estratégica 9 km del Real Sitio de Aranjuez 45 km de Madrid capital 40 km de Toledo 25 km del Parque Warner (San Martín de la Vega) Zona con excelente accesibilidad, perfecta para escapadas de fin de semana, turismo familiar o eventos privados. Estado y Potencial Restaurado íntegramente en enero de 2003 En muy buen estado de conservación Ideal para explotación turística rural, alojamientos vacacionales o eventos (bodas, reuniones, retiros). Contacta con Inmo Olaya para más información, condiciones de venta o para organizar una visita. ¡Una finca con encanto y gran proyección turística a un paso de Madrid!",False,good,False,,250.0,False,False,False,False,[],False,False,500000.0,€,chalet,Colmenar de Oreja,Casa independiente,,True,True,independantHouse,,,
