propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,neighborhood,hasLift,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished,parkingSpace.parkingSpacePrice
106030646,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cc/23/15/1341583690.webp,06503,35,702500.0,chalet,sale,205.0,5,3,Villalba Pueblo,Madrid,Collado Villalba,Villalba Pueblo,es,40.6432874,-3.9952076,False,https://www.idealista.com/inmueble/106030646/,"Residencial Puerta de Villalba es una exclusiva promoción de obra nueva, de 10 viviendas unifamiliares pareadas con jardín, zonas comunes y piscina comunitaria. DISTRIBUCIÓN Todas las viviendas están distribuidas en tres plantas, un planteamiento cómodo y racional para todo tipo de familias. En la planta baja se encuentra un dormitorio, baño, zona de lavandería, cocina con salida al jardín, totalmente amueblada y equipada con los electrodomésticos básicos. Un espacioso salón comedor que tienen acceso al porche y al jardín.  En la planta primera se encuentran tres dormitorios con armarios empotrados y el dormitorio principal, que cuenta con vestidor propio, terraza y baño en suite.  En la planta bajo cubierta hay un espacio diáfano polivalente, muy luminoso y amplio.  CALIDADES Todas las estancias cuentan con grandes ventanales con carpintería con rotura de puente térmico. La calefacción de suelo radiante-refrescante con sistema de aerotermia, con apoyo de placas solares, ofreciendo una calificación energética “A. Los acabados son de alta calidad y detalles cuidados al máximo, ”, con el objetivo de alcanzar el mayor confort de las personas. ¡Convierte este bonito chalet, en tu próxima vivienda!  IMPORTANTE SABER QUE la licencia de Obras está concedida y las obras comienzan ya!  UBICACION Se encuentra en un enclave privilegiado, en la zona de Villalba Pueblo, capital de la Sierra Noroeste, que cuenta con todos los servicios a su alcance, transporte público, restaurantes, farmacias, colegios… y a un paso de la sierra con toda la naturaleza y el aire puro a tu alcance. ¡No dejes pasar esta oportunidad única y contáctanos para más información! Tu nuevo hogar te está esperando en Collado Villalba. Las imágenes y planos que aparecen en el anuncio están sujetos a las modificaciones necesarias a requerimientos municipales y exigencias administrativas, legales, jurídicas o técnicas que juzgue conveniente la dirección facultativa.",False,good,False,3427.0,True,False,False,False,[],False,False,702500.0,€,True,True,chalet,semidetachedHouse,"Villalba Pueblo, Collado Villalba",Chalet pareado,,,,,,,,,
106737600,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/66/03/7a/1336249633.webp,W-02XDA4,52,370000.0,chalet,sale,145.0,4,2,Talamanca de Jarama,Madrid,Talamanca de Jarama,,es,40.7486233,-3.5148554,False,https://www.idealista.com/inmueble/106737600/,"Bonita casa en Talamanca Esta magnífica propiedad de una planta, situada en una tranquila y prestigiosa zona residencial, se caracteriza por su gran luminosidad y excelente distribución. Al acceder a la vivienda, un acogedor recibidor que da paso a un espacioso salón-comedor, con acceso a la cocina, el cual cuenta con una chimenea y dos grandes ventanales que permiten la entrada de abundante luz natural, creando un ambiente cálido y confortable. La casa dispone de 4 dormitorios, uno de ellos con baño en suite, y un segundo baño completo que da servicio al resto de las estancias. Todas las habitaciones cuentan con armarios empotrados, ofreciendo un amplio espacio de almacenamiento. El cerramiento exterior es de aluminio con cristales aislantes, garantizando el máximo confort térmico. En el exterior, la vivienda cuenta con un garaje cerrado con puerta automática, además de un espacio adicional donde se pueden aparcar hasta dos coches más. También dispone de un práctico trastero, ideal para el almacenamiento extra. El terreno que rodea la vivienda es una espléndida parcela ajardinada, donde podrás disfrutar de árboles frutales, una zona de barbacoa perfecta para reuniones al aire libre y un pequeño huerto para los amantes de la jardinería. Dispone de pozo propio así como de riego automático. Esta propiedad combina comodidad, funcionalidad y un entorno natural privilegiado, haciendo de ella el hogar ideal para quienes buscan tranquilidad sin renunciar a la cercanía a los servicios. Talamanca de Jarama es un municipio de la Comunidad de Madrid. Está situado en la parte septentrional de esta comunidad autónoma, en el límite con Castilla-La Mancha. Su término se extiende sobre la comarca natural de la Campiña del Henares y por él discurre el tramo medio del río Jarama. La villa posee un rico patrimonio histórico-artístico y en ella se conservan los vestigios románicos y románico-mudéjares de mayor valor arquitectónico existentes en el nordeste madrileño.",True,good,False,2552.0,False,False,True,False,[],False,False,370000.0,€,True,True,chalet,independantHouse,Talamanca de Jarama,Casa independiente,,,,,,,,,
107446720,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5b/f4/95/1312874955.webp,09,22,304000.0,flat,sale,56.0,1,1,"calle del Ave María, 27",Madrid,Madrid,Centro,es,40.4104555,-3.7006724,True,https://www.idealista.com/inmueble/107446720/,"Mavericks Inmobiliaria comercializa con carácter de exclusiva este apartamento en pleno corazón de Lavapiés. Se trata de una vivienda totalmente reformada, para entrar a vivir. Al entrar, nos encontramos con un salón-comedor con la cocina incorporada. A la derecha, tras un pasillo, usted podrá disfrutar de un baño completo.  Tras el salón-comedor, la vivienda dispone de un dormitorio exterior, con un balcón a la calle del Ave María.  El edificio fue construido en 1900 y rehabilitado en 1982. Se encuentra en un buen estado de conservación.  Respecto a la zona, se trata de las mejores ubicaciones dentro del barrio de Lavapiés. Céntrico y con ambiente, pero a su vez más tranquilo que otras zonas muy transitadas.  En cuanto a las comunicaciones, usted dispondrá de la estación de metro de Lavapiés (línea 3) a 2 min caminando, Antón-Martín (línea 1) a 4 min caminando. La estación de renfe de Sol, se encuentra a 10 minutos caminando. La ubicación es céntrica y sumamente práctica a la hora de desplazarse. Si tiene cualquier duda, no dude en ponerse en contacto con nosotros.",False,good,False,5429.0,True,False,False,False,[],False,False,304000.0,€,,,flat,,"Lavapiés-Embajadores, Madrid","Piso en calle del Ave María, 27",3,True,Lavapiés-Embajadores,False,315000.0,11000.0,3.0,,
105244620,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d7/1c/1b/1246312691.webp,303030,15,811000.0,flat,sale,130.0,3,2,calle del Doctor Juan José López Ibor,Madrid,Madrid,Fuencarral,es,40.4733676,-3.7283205,False,https://www.idealista.com/obra-nueva/105244620/,"NUEVO LANZAMIENTO- VIVIENDAS EXCLUSIVAS JUNTO A PUERTA DE HIERRO Neinor Panoramic Homes II, es conjunto residencial de arquitectura icónica y singular, formado por dos torres de 16 plantas de altura que albergan 100 exclusivas viviendas de obra nueva de 1,2 y 3 dormitorios con amplias terrazas y estudios de 1 dormitorio. Las viviendas disponen de GARAJE y TRASTERO INCLUIDO EN EL PRECIO, algunas viviendas de 2 y 3 dormitorios incluyen dos garajes. En una urbanización cerrada con zonas comunes y una ubicación privilegiada, en el noreste de Madrid, en Peñagrande - Junto a puerta de Hierro.  Ubicación privilegiada en Madrid La tranquilidad y las excelentes conexiones de la zona hacen de Neinor Panoramic Homes II, un enclave idóneo para residir, rodeado de espacios verdes, con las ventajas de una zona de nueva construcción y a escasos 15 minutos del centro de la ciudad. Viviendas de obra nueva de 1,2 y 3 dormitorios La arquitectura elegante e innovadora de este proyecto firmado por el prestigioso estudio Cano y Escario, así como la cuidada selección de materiales, hacen de Neinor Panoramic Homes II un proyecto distinguido, orientado a clientes exigentes que buscan calidad para disfrutar del máximo nivel de confort en su vida diaria. Las viviendas cuentan con un diseño interior práctico y funcional, amplios ventanales permiten aprovechar la luz natural en cada momento del día y extienden sus luminosos salones hacía las terrazas, donde disfrutar de las vistas de Madrid. Para los amantes del aire libre, en planta baja disponen de viviendas con jardín privado, así como áticos con terrazas de hasta 60m2. El residencial se enmarca en una urbanización privada con piscina y solárium, zona de juegos infantil y sala gourmet. Esta zona nueva y en expansión de Peñagrande se beneficia de todas las facilidades y servicios de Madrid, así como de un importante tejido empresarial y de un entorno que dispone de todo tipo de servicios educativos, deportivos y comerciales. Todo ello hace que se convierta en un enclave único para una vida urbanita a la par que tranquila, donde poder respirar aire puro y disfrutar de toda la oferta cultural y comercial que ofrece la capital.",False,newdevelopment,True,6238.0,True,False,False,False,[],False,False,811000.0,€,,,flat,,"Peñagrande, Madrid",Piso en calle del Doctor Juan José López Ibor,,True,Peñagrande,True,,,,False,
108042256,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/4f/48/1332073201.webp,,33,438000.0,flat,sale,117.0,3,2,calle de Pobladura del Valle,Madrid,Madrid,San Blas,es,40.4298482,-3.6173122,False,https://www.idealista.com/inmueble/108042256/,"Vivienda Madrid ofrece en exclusiva amplio piso exterior de 107 metros cuadrados utiles, para entrar a vivir. Está compuesto por un amplio y luminoso salón, con acceso directo a una espaciosa terraza de 15m2. cocina totalmente equipada, con acceso también a su practica terraza, dos baños, uno de ellos en suite, tres dormitorios con armarios empotrados, cuenta con suelos de parquet,  puertas  de madera lacada, calefacción por gas natural, aire acondicionado en todas las estancias, paredes lisas y una cómoda plaza de garaje, que es prácticamente plaza y media, a escasos metros de la solicitada zona del denominado POLIGONO H, pero con mejores terminaciones de construcción y confort. Ubicado en una zona bien comunicada con acceso a la M40, avenida de Arcentales, avenida Canillejas a Vicálvaro y avenida de los Hermanos García Noblejas. Se encuentra a 15 minutos del Estadio Civitas Metropolitano y cerca de las estaciones de metro de San Blas, Avenida de Guadalajara y Simancas. Dispone de varias líneas de transporte: 28, 38, 48, 165, 167 y N6, y está próximo al polideportivo de San Blas y al parque Paraíso. La zona cuenta con áreas comerciales, bancos, colegios, institutos, así como bares y restaurantes. Además está próximo al centro comercial las Rosas. Supermercados cercanos incluyen Lidl, Mercadona, Ahorramás y Carrefour.",False,good,False,3744.0,True,False,False,False,[],False,False,438000.0,€,True,True,flat,,"Amposta, Madrid",Piso en calle de Pobladura del Valle,1,True,Amposta,True,450000.0,12000.0,3.0,,
108829309,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1d/f3/4d/1339918955.webp,P.1 Bj A,6,244000.0,flat,sale,71.0,2,2,"calle Santón, 12",Madrid,Valdemoro,Centro,es,40.19257,-3.6773149,True,https://www.idealista.com/obra-nueva/108829309/,"Residencial San Antón. Viviendas de 1, 2 y 3 dormitorios de renta libre, garajes y sala polivalente. 60 % VENDIDO  Suelo radiante por aerotermia.  Cocinas completamente amuebladas incluidos todos los electrodomésticos.  Con el privilegio de vivir en el centro de Valdemoro.",False,,True,3437.0,True,False,False,False,[],False,False,244000.0,€,True,True,flat,,"Centro, Valdemoro","Piso en calle Santón, 12",bj,True,,True,,,,False,
107777048,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0f/5a/e5/1323461766.webp,W-02K4NS,43,695000.0,chalet,sale,368.0,5,5,Guadarrama,Madrid,Guadarrama,,es,40.6712033,-4.0999697,False,https://www.idealista.com/inmueble/107777048/,"Exclusivo chalet en Guadarrama Exclusivo Chalet de 450 m² en Guadarrama con Piscina, Gimnasio, Cine y más. Ubicado en la tranquila y exclusiva zona de Guadarrama, presentamos este impresionante chalet de 450 m² construidos sobre una parcela de 580 m². Este hogar de lujo ha sido diseñado con materiales de primerísima calidad y ofrece una distribución pensada para su confort y bienestar. Con amplios espacios, zonas de ocio y un entorno natural, este chalet es ideal para quienes buscan calidad de vida, tranquilidad y proximidad a todos los servicios necesarios. Distribución y diseño de la vivienda La propiedad se distribuye en varias plantas, lo que permite una organización funcional y espaciosa. En la planta principal, se encuentra un amplio salón-comedor con suelos de roble de 4cm de grosor y con ventanales panorámicos que llenan la estancia de luz natural, creando un ambiente cálido y acogedor. La cocina, de diseño moderno y equipada con electrodomésticos de alta gama, incluye una isla central y acceso directo al jardín, facilitando la interacción entre los espacios interiores y exteriores. Desde el salón, se accede a una espectacular terraza, donde podrá disfrutar de un relajante porche y una zona de barbacoa, ideal para celebraciones y reuniones familiares. La piscina privada es el lugar perfecto para disfrutar del buen tiempo y relajarse en su propio hogar. Zona de bienestar y ocio Este chalet cuenta con una completa zona de ocio que hará las delicias de toda la familia. Disfrute de su propio gimnasio privado, equipado con las últimas máquinas para mantener su bienestar físico sin salir de casa. Además, para los amantes del cine, la vivienda incluye una moderna sala de cine, equipada con tecnología de vanguardia para disfrutar de una experiencia cinematográfica excepcional en la comodidad de su hogar. Amplias habitaciones y detalles de lujo La propiedad dispone de luminosas y amplias habitaciones, todas con vistas al jardín o los alrededores, armarios empotrados y acabados de alta calidad. Los dos dormitorios principales son una amplia suite con vestidor y baño en suite, creando un espacio único para el descanso y la relajación. Además, la vivienda incluye varias habitaciones adicionales que pueden adaptarse a las necesidades de su familia, ya sea como dormitorios, oficinas o zonas de juegos. Exteriores y zonas comunes El jardín, perfectamente cuidado, rodea la propiedad y está diseñado para ofrecer privacidad y un entorno natural. La piscina, con su zona de relax, es ideal para disfrutar de los días de verano, mientras que la zona de barbacoa y el porche brindan un espacio perfecto para comer al aire libre. El chalet está completamente cerrado con una valla perimetral que garantiza seguridad y privacidad. Situado en una de las zonas más demandadas de Guadarrama, este chalet está cerca de todos los servicios necesarios, como colegios, supermercados, centros de salud y restaurantes. La localización permite disfrutar de un entorno tranquilo y natural, a la vez que se encuentra a pocos minutos del centro urbano, con excelentes comunicaciones tanto por carretera como por transporte público. Además, Guadarrama cuenta con una amplia oferta de actividades al aire libre y deportes, gracias a su proximidad a la Sierra de Guadarrama. Con una ubicación privilegiada, diseño de lujo y un sinfín de comodidades, este chalet es la propiedad perfecta para quienes buscan lo mejor en calidad de vida. ¡No deje pasar la oportunidad de visitar esta joya inmobiliaria en Guadarrama!",True,good,False,1889.0,False,False,True,False,[],False,False,695000.0,€,True,True,chalet,independantHouse,Guadarrama,Casa independiente,,,,,,,,,
108460847,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/13/a1/d5/1349135836.webp,V5,14,1095000.0,chalet,sale,198.0,4,3,"calle Cerro de la Curia, 1",Madrid,Las Rozas de Madrid,Rozas Centro,es,40.49644,-3.87685,True,https://www.idealista.com/obra-nueva/108460847/,"Hacienda Las Rozas es un exclusivo proyecto compuesto de 12 chalets pareados localizado en una de las zonas más privilegiadas de Las Rozas, Madrid. Cada vivienda cuenta con jardín, piscina privada, luminosas y amplias estancias para disfrutarlas con la familia y amigos.",False,,True,5530.0,True,False,False,False,[],False,False,1095000.0,€,True,True,chalet,semidetachedHouse,"El Caño- Maracaibo, Las Rozas de Madrid","Chalet pareado en calle Cerro de la Curia, 1",,,El Caño- Maracaibo,,,,,False,
107885825,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4c/94/d6/1349323407.webp,V06 ,14,1310000.0,chalet,sale,199.0,4,3,"calle Cerro de la Curia, 1",Madrid,Las Rozas de Madrid,Rozas Centro,es,40.49644,-3.87685,True,https://www.idealista.com/obra-nueva/107885825/,"Hacienda Las Rozas es un exclusivo proyecto compuesto de 12 chalets pareados localizado en una de las zonas más privilegiadas de Las Rozas, Madrid. Cada vivienda cuenta con jardín, piscina privada, luminosas y amplias estancias para disfrutarlas con la familia y amigos.",False,newdevelopment,True,6583.0,True,False,False,False,[],False,False,1310000.0,€,True,True,chalet,semidetachedHouse,"El Caño- Maracaibo, Las Rozas de Madrid","Chalet pareado en calle Cerro de la Curia, 1",,,El Caño- Maracaibo,,,,,False,
108602628,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/13/fa/1349695441.webp,DS-P22757B,22,2525000.0,flat,sale,200.0,4,5,Barrio Argüelles,Madrid,Madrid,Moncloa,es,40.4245816,-3.7158804,False,https://www.idealista.com/inmueble/108602628/,"DIZA Consultores presenta esta exclusiva vivienda, situada en una primera planta de un edificio con fachada clásica, completamente rehabilitado en 1980 y conservando todo el carácter señorial de su arquitectura original. Con 200 m² construidos, esta propiedad destaca por su diseño sofisticado, su excelente luminosidad natural y unos ventanales con vistas despejadas al Parque del Oeste. La zona social ofrece un amplio y elegante salón con zona de comedor y una cocina de diseño abierta, acabados premium y una integración perfecta entre funcionalidad y estilo. La zona privada se compone de tres dormitorios en suite, que garantizan privacidad y máximo confort. Además, cuenta con una cuarta habitación con baño completo, ideal como dormitorio adicional, despacho o zona de servicio. La reforma ha sido realizada con materiales nobles, carpintería a medida, baños revestidos en piedra natural y grifería de alta gama, ofreciendo un ambiente cálido y atemporal. La vivienda incluye dos plazas de garaje de acceso directo en la propia finca y un trastero de gran capacidad, un privilegio poco frecuente en esta codiciada zona de Madrid. Una propiedad excepcional frente al pulmón verde del centro de Madrid, que combina el encanto de la arquitectura clásica con el confort del diseño contemporáneo. DIZA Consultores Convertimos Sueños en Hogares.",False,good,False,12625.0,False,False,False,False,[],False,False,2525000.0,€,True,True,flat,,"Argüelles, Madrid",Piso,1,True,Argüelles,True,,,,,
