propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,externalReference,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice,highlight.groupDescription
108915841,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5e/dc/1a/1358853826.webp,10,2,220000.0,flat,sale,61.0,False,3,1,calle Orense,Madrid,Getafe,El Bercial,es,40.3272582,-3.7358126,False,https://www.idealista.com/inmueble/108915841/,"¡Descubre tu nuevo hogar en la calle Orense, en el corazón de Getafe! Este encantador piso en venta te ofrece la combinación perfecta de comodidad y ubicación. Situado junto al Parque El Bercial, disfrutarás de un entorno tranquilo y apacible, ideal para relajarte después de un largo día. A tan solo un minuto, encontrarás todos los servicios que necesitas: supermercados, entidades bancarias y comercios, lo que hará tu día a día mucho más fácil. El piso cuenta con una distribución funcional que incluye un amplio salón comedor, perfecto para compartir momentos inolvidables con familia y amigos. La cocina independiente ofrece el espacio ideal para preparar tus platos favoritos. Con tres acogedoras habitaciones, todas equipadas con armarios empotrados, tendrás el espacio necesario para organizarte sin problemas. La luminosidad es uno de los puntos fuertes de este inmueble, gracias a sus amplios ventanales que inundan de luz natural el salón. Además, al estar en una segunda planta y orientado al sur, disfrutarás de calidez y sol durante gran parte del día. Este piso de segunda mano, construido en el año 2000, se encuentra en buen estado y listo para convertirse en tu nuevo hogar. ¡No dejes pasar esta oportunidad y ven a visitarlo! 2 planta sin ascensor.",False,good,False,False,3607.0,False,False,False,False,[],False,False,220000.0,€,flat,"El Bercial, Getafe",Piso en calle Orense,,,,,,,,,,,
107939619,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/a3/b0/1328923019.webp,27,bj,2400000.0,duplex,sale,250.0,True,4,5,"avenida de Luis García Cereceda, 7",Madrid,Pozuelo de Alarcón,Zona Prado de Somosaguas - La Finca,es,40.4062857,-3.8008773,True,https://www.idealista.com/inmueble/107939619/,"Espectacular dúplex con jardín y piscina privada en LaFinca Esta vivienda cuenta con zona de día rodeada de terraza-jardín con piscina, ubicada en planta baja, y zona de noche en planta primera. Quedan unidas entre sí por una espectacular escalera y por un ascensor-elevador privado. La innovadora y exclusiva configuración arquitectónica del edificio en su conjunto consigue dotar a esta vivienda de total privacidad y garantiza la tranquilidad de no ser visto desde arriba. Zona de día: En planta baja, la zona de día está rodeada de una terraza-jardín de 160 m2, con zonas de estar norte y sur, que incluye piscina privada. Se accede a través de un espacio en doble altura abierto a la escalera y vistas al sur. Cuenta con un salón-comedor orientado a sur de 40 m2, amplia cocina de abierta al comedor y zona de servicio (despensa, lavadero, tendedero, dormitorio servicio, baño servicio, aseo de cortesía). Zona de noche: En planta primera, el distribuidor en doble altura da paso a los dormitorios. La superficie destinada al dormitorio principal y cuarto de baño con ducha y bañera, tocador y wc, es de 32 m2 y cuenta con terraza propia y magníficas vistas a sur. Los dos dormitorios secundarios cuentan con baño propio. La vivienda cuenta con 4 plazas de garaje y trastero. Las Sky Villas funden los conceptos de vivienda unifamiliar y vivienda en comunidad. Ya no es necesario renunciar al jardín para tener privacidad o a las vistas para disfrutar de una piscina, ni privarse de las ventajas de vivir en comunidad. Con las Sky Villas las viviendas se benefician de las ventajas de una y otra tipología de edificio, evitando los inconvenientes de ambas. Las Sky Villas de LAFINCA disponen de enormes ventanales que se abren al sol y a las vistas hacia los jardines y el campo de golf. En una magistral comunicación del interior y el exterior, el paisaje pasa a formar parte de la vivienda. UBICACIÓN ESTRATÉGICA El conjunto residencial se encuentra próximo a los mejores colegios internacionales (Colegio Británico), prestigiosos hospitales (Hospital Universitario Quirón) y clínicas privadas (La Zarzuela). También tendrá a su alcance instalaciones deportivas de gran nivel como el Reebok Sport Place y cercanía a otros centros comerciales como El Zielo, El Corte Inglés de Pozuelo y el complejo de ocio Kinépolis. COMUNICACIONES El conjunto residencial ofrece excelentes comunicaciones a través de la M-40, M-50, M511, A5 y A6. Autobuses interurbanos conectados con el centro de la capital y metro ligero. EL ENTORNO Naturaleza y arquitectura se entrelazan dando lugar a un conjunto residencial que se percibe como un gran jardín, donde el agua y la vegetación, junto con el sol, son protagonistas indiscutibles. Más de 40.000 m2 de jardines comunitarios, sin viario que los interrumpa, se suman a los jardines privados de cada una de nuestras SKY VILLAS. Las SKY VILLAS cuentan con espectaculares vistas al nuevo campo LaFinca Golf cuidadosamente concebido como un espacio de respeto al medio ambiente e integración paisajística con el terreno original. El conjunto residencial LaFinca LGC está concebido para que los residentes en nuestras SKY VILLAS disfruten de la mejor calidad de vida. A escasos 200 metros, en la Avenida Luis García Cereceda se ubicará LAFINCA GRAND CAFÉ el que está llamado a convertirse en referente de la restauración premium en España. Calidad, seguridad y diseño se unen para conseguir un ambiente único y una experiencia de compra y restauración excepcional.",False,good,False,True,9600.0,True,False,False,False,[],False,False,2400000.0,€,flat,"La Finca, Pozuelo de Alarcón","Dúplex en avenida de Luis García Cereceda, 7",La Finca,True,True,duplex,,,,,,,
102637734,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/d8/38/e1/1162150721.webp,42,12,1800000.0,penthouse,sale,266.0,True,3,3,"avenida de América, 37",Madrid,Madrid,Chamartín,es,40.4398635,-3.6719725,True,https://www.idealista.com/inmueble/102637734/,"OIKOS INMOBILIARIA VENDE EN EXCLUSIVA ESTE ESPECTACULAR PISO EN UNO DE LOS EDIFICIOS MÁS EMBLEMÁTICOS DE MADRID, CON UNA MARAVILLOSA Y RECIENTE REFORMA QUE HACE QUE SEA UN PISO ÚNICO, EN UN EDIFICIO ÚNICO Y CON UNA UBICACIÓN ÚNICA, EN PLENO CENTRO DE MADRID. Espectacular piso en la planta 12ª, todas las orientaciones, con unas vistas panorámicas impresionantes y luz natural TODO el día en todas las estancias. Incluye 2 terrazas privadas e independientes, una en zona de salón y otra en dormitorio principal. Ambas iluminadas y con toma de agua. Edificio emblemático del arquitecto Francisco Javier Sáenz de Oíza, único en el mundo premio nacional de arquitectura. No dejes de contemplar la maravillosa escalera principal de caracol realizada en mármol que recorre todo el edificio como si fuera un tronco de un árbol. Magnífica azotea donde hay una singular piscina y un solárium de gran tamaño, cuya forma coincide con el diseño circular del edificio. Vistas 360º de todo Madrid (estadio Santiago Bernabéu, estadio Metropolitano, Plaza de toros Las Ventas, Pirulí, Casa de Campo, la Sierra de Madrid, aeropuerto, las Torres, etc.). Imponentes puestas de sol hacia la sierra de Madrid. Reformado íntegramente, con materiales de alta calidad; y diseño moderno y acogedor. Se mantiene la estructura y formas originales, dotándole de las comodidades y gustos más actuales. Desde que entras sentirás que estás en una espacio muy abierto y cálido, con un salón de más 60m2. Déjate sorprender en la forma en que se integra el hormigón con el resto de materiales. Cuenta con 3 dormitorios, todos con armarios empotrados, vestidos completamente con espacios bien diferenciados e iluminados interiormente. El principal dispone de un amplio vestidor y su baño en suite. Hay otros 2 baños, completos y diferentes. Aislado acústicamente, te sorprenderá la tranquilidad de vivir en un sitio así. Todas las ventanas son oscilobatientes, lacadas en blanco en interior y simulando madera en exterior para ir en conjunto con el edificio. Está situado en el ala más alejado de la zona de ascensores, donde la privacidad es absoluta. Aire acondicionado en todas las estancias. Funcionan también como bomba de calor si no se precisa usar la calefacción central o dar un plus de calor al hogar. Disfrutarás de su magnífica cocina de diseño, con unas vistas increíbles. La superficie total son 266m2 en una sola planta, de los cuales 220 son útiles. Se incluye trastero grande a nivel del garaje (caben bicicletas) y la mejor plaza de garaje donde cabe, además de coche grande, moto o bicicletas. En la zona de garaje hay un área para lavadero de coches. Dispone de ascensores directos a cada planta, así como otro diferente para el acceso a garaje y entrada por la zona de servicio. Acceso también adaptado a personas con problemas de movilidad. Cuenta con servicio de conserjería y seguridad 24 horas tanto física como videovigilada. Preinstalación para coche eléctrico en garaje. Sólo tendrás que preocuparte de tu consumo eléctrico porque el resto está incluido en la cuota comunitaria (calefacción, agua, limpieza, etc.). Muy bien comunicado, con transporte público en la misma puerta tanto bus como metro, próximo al intercambiador de Av. de América y salida directa a la A2. Colegio y espacio deportivo justo enfrente y demás servicios a pocos metros. Se trata de un barrio muy solicitado y consolidado, con todo tipo de servicios y un ambiente muy vivo.",False,good,False,True,6767.0,True,False,False,False,[],False,False,1800000.0,€,flat,"Prosperidad, Madrid","Ático en avenida de América, 37",Prosperidad,True,True,penthouse,,,,,,,
108094063,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/92/18/89/1333626928.webp,11,1,289000.0,flat,sale,110.0,True,3,2,"calle Pinto, 56",Madrid,Parla,Calle Pinto-San Roque,es,40.2394493,-3.7642648,True,https://www.idealista.com/obra-nueva/108094063/,"Parla Central es un proyecto residencial de la nueva generación de edificios en el centro de la ciudad.  Una promoción de obra nueva con viviendas de 1.2 y 3 dormitorios, moderna selección de materiales y calificación energética A.  A 5 minutos andando de la calle Real, Parla Central es la mejor opción de aquellos que desean vivir en el centro de la ciudad.",False,,True,True,2627.0,True,False,False,False,[],False,False,289000.0,€,flat,"Calle Pinto-San Roque, Parla","Piso en calle Pinto, 56",,,,,1º F,False,,,,,
108894294,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e5/46/44/1358185485.webp,16,5,680000.0,flat,sale,68.0,True,1,1,calle de Maldonado,Madrid,Madrid,Barrio de Salamanca,es,40.4334717,-3.6780174,False,https://www.idealista.com/inmueble/108894294/,"¡Descubre tu nuevo hogar en la Calle Maldonado! Este acogedor piso de 68 m², situado en la quinta planta de un edificio con ascensor, ofrece una luminosidad excepcional que llena cada rincón de luz natural. Con un dormitorio y un baño, este espacio se presenta como una oportunidad única para personalizar a tu gusto. La propiedad cuenta con armarios empotrados y un balcón ideal para disfrutar de las vistas y el aire fresco. La zona es tranquila y está perfectamente comunicada, lo que la convierte en un lugar ideal tanto para vivir como para invertir. Además, la cercanía a servicios esenciales garantiza comodidad en tu día a día. El piso cuenta con aire acondicionado y calefacción eléctrica a gas natural, asegurando un ambiente agradable durante todo el año. No dejes pasar la oportunidad de transformar este espacio en el hogar de tus sueños. Con un excelente potencial de reforma, podrás crear un ambiente a tu medida. ¡Ven a verlo y empieza a imaginar tu nueva vida en este maravilloso piso!",False,renew,False,True,10000.0,True,False,False,False,[],False,False,680000.0,€,flat,"Castellana, Madrid",Piso en calle de Maldonado,Castellana,,,,,,,,,,
108886074,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/b7/bd/1357948177.webp,34,5,310000.0,flat,sale,96.0,True,4,2,calle Tomelloso,Madrid,Madrid,Usera,es,40.3802844,-3.6995174,False,https://www.idealista.com/inmueble/108886074/,"INMOBILIARIA EL BLOQUE OFRECE EN EXCLUSIVA, MAGNIFICO PISO EN ALMENDRALES. Piso con reforma integral en 2023, con mucho gusto con luz natural abundante y rodeado de jardines. Se distribuye en 4 dormitorios, con posibilidad de habilitar un 5º dormitorio o zona de estudio por su amplio salón-comedor, cocina independiente, un baño completo y un aseo adicional. Dispone de ascensor. La reforma es integral: suelos, ventanas con climalit, instalación eléctrica y fontanería actualizadas, diseño moderno y materiales de primera calidad. La luminosidad es protagonista gracias a su orientación y grandes ventanales que dan al espacio ajardinado que rodea el edificio. Junto al hospital 12 de Octubre. Ubicación y conexiones Metro •Almendrales (Línea 3) – A unos 300 m, ≈4 min caminando. •Legazpi (Líneas 3 y 6) – A unos 1,3 km, ≈17 min a pie. Autobús Paradas muy próximas con acceso a múltiples líneas (47, 59, ): •Avenida de Córdoba – ≈2 min, unos 160 m. •Antonio López–Socuéllamos – ≈2 min. •Cristo de la Victoria–Santuario – ≈3 min. •Hospital 12 de Octubre – ≈5 min. Tren de cercanías •Estación Doce de Octubre (línea C5) – a unos 1,5 km, ≈19 min caminando ￼.  Servicios y zonas próximas •Madrid Río – Espacio verde junto al río Manzanares, ideal para paseos y deporte, a 1,5 km, ≈18–20 min caminando (según ruta). •Hospital 12 de Octubre – Muy cercano, a 5 min a pie, ideal para personal sanitario o residencias próximas. •Centros comerciales y supermercados – Aunque no hay grandes centros comerciales a pie, hay varios supermercados (Mercadona, Dia) y tiendas locales en un radio que va de 5 a 10 minutos andando. Además, el Centro Comercial Plaza Río 2 (en Arganzuela) está a unos 2,5 km (≈30 min andando o 10 min en coche/metro y autobús). •Colegio y guarderías – Varias opciones públicas y privadas en los barrios de Usera y Arganzuela, todos accesibles a pie en unos 10–15 minutos. NO DUDEN EN CONTACTAR Y NO TE QUEDES SIN VISITARLO!",True,good,False,True,3229.0,True,False,False,False,[],False,False,310000.0,€,flat,"Almendrales, Madrid",Piso en calle Tomelloso,Almendrales,,,,,,,,,,
108869755,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/03/f5/55/1357507489.webp,18,4,598000.0,penthouse,sale,60.0,False,3,1,calle de San Hermenegildo,Madrid,Madrid,Centro,es,40.4278546,-3.7051774,False,https://www.idealista.com/inmueble/108869755/,"Les presentamos este precioso piso a estrenar en la calle San Hermenegildo, dentro de la conocida zona de Conde Duque y perteneciente al pintoresco barrio de Malasaña. Desde el techo baja la luz sin medida, preservando ciertos toques arquitectónicos del pasado, combinándolos con la modernidad de lo practico y en un ambiente de confort y diseño. En el salón/comedor, las vigas encuadran el espacio. Preciosamente decorado. Dos ventanas tipo Verlux automaticas. Preinstalacion de los 3 aires acondicionados que cuenta la vivienda. Cuenta con una cocina americana, provista de electrodomésticos de alta gama. Tres dormitorios, dos de ellos dan hacia la calle San Hermenegildo. Cuentan con aires acondicionados y suelos de madera. El tercer dormitorio tiene una ventana al patio interior. Sala de baño ventilada y con plato de ducha. Completamente amueblado y decorado con gusto, belleza y comodidad. Es un cuarto piso en un inmueble con ascensor. Atico super luminoso!",True,good,False,True,9967.0,True,False,False,False,[],False,False,598000.0,€,flat,"Malasaña-Universidad, Madrid",Ático en calle de San Hermenegildo,Malasaña-Universidad,,,penthouse,YH-P V014/,,,,,,
107533578,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/c6/6b/1338511491.webp,36,3,1050000.0,flat,sale,110.0,False,3,2,"calle del General Oráa, 56",Madrid,Madrid,Barrio de Salamanca,es,40.4358239,-3.6797664,True,https://www.idealista.com/inmueble/107533578/,"Ubicada en el corazón del Barrio Salamanca. Esta vivienda situada en una tercera planta destaca por su luminosidad, amplitud y una tranquilidad inigualable. Está orientado hacia un patio de manzana, lo que ofrece un entorno sereno, libre de ruidos de coches y bulliciosas terrazas de restaurantes.  La vivienda posee una distribución amplia y funcional. Actualmente cuenta con 3 dormitorios, 2 baños, un salón espacioso, terraza y una amplia cocina. Además, dispone de espacios de almacenaje. ¡Y techos de 3 metros de altura! La ausencia de muros de carga permite la posibilidad de una redistribución total según tus necesidades y gustos, ideal para personalizar al máximo tu nuevo hogar. Se pondrá nuestro estudio de arquitectura a su disposición y un arquitecto en cada visita al inmueble, sin ningún tipo de coste añadido, para cualquier duda sobre reformas.  La finca cuenta con conserje. Coste de comunidad: 300 €/mes. Gracias a las empresas del GRUPO LEGEND, aportamos Asesoramiento Fiscal, Financiero y un Arquitecto a su disposición para cualquier consulta o servicio que necesite, además de presupuestos gratuitos de reforma a medida para cada cliente. Nos adaptamos a las necesidades y horarios de nuestros clientes. Contacta con nosotros para más información y organizar una visita. La información que se detalla en este anuncio, se muestra a título informativo, no es contractual ni vinculante.",True,renew,False,True,9545.0,True,False,False,False,[],False,False,1050000.0,€,flat,"Castellana, Madrid","Piso en calle del General Oráa, 56",Castellana,,,,leg-26262522,,,,,,
108686896,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/7d/69/1352142624.webp,70,,480000.0,chalet,sale,544.0,,9,5,calle de Eusebio Guadalix,Madrid,Miraflores de la Sierra,,es,40.8139391,-3.7641498,False,https://www.idealista.com/inmueble/108686896/,"“INVERSIÓN SEGURA: EDIFICIO CON MÚLTIPLES UNIDADES Y PATIO PRIVADO A 1 HORA DE MADRID” ¡Atención inversores y familias que buscan tranquilidad sin renunciar a la rentabilidad! El edificio se vende en su totalidad, no parcialmente. “Tres viviendas independientes en un solo edificio: más rentabilidad, menos complicaciones.” Situación actual Edificio ubicado en pleno casco urbano de Miraflores de la Sierra, con acceso desde dos calles y distribuido en distintas unidades: PARTE 1 — Vivienda principal (2 plantas) •Acceso individual a través de un fantástico patio privado, con plantas y flores que aportan sombra, privacidad y espacio para 2 coches. “Patio privado: tu oasis a solo 58 km de Madrid.” •Gran hall distribuidor, salón espacioso con varios ambientes y ventana al patio. •Amplia cocina con chimenea, perfecta para reuniones familiares en invierno. •Dormitorio principal con antesala y baño con luz y ventilación natural. •En la planta superior: 3 dormitorios, el principal muy luminoso y con vistas al patio, baño completo y pequeña sala. PARTE 2 — Dos viviendas independientes •Vivienda 1: 3 dormitorios, baño con luz natural, cocina con aseo y despensa, salón con vistas al verde del patio. •Vivienda 2: 1 dormitorio, baño, cocina y salón con vistas a la calle de acceso. “Alta demanda de alquiler todo el año: rentabiliza desde el primer día.” Bajo Cubierta — Buhardilla con encanto •Espaciosa buhardilla con estructura de madera, actualmente usada como atelier y zona de almacenaje. •Posibilidad de dividirla y conectar con las viviendas inferiores para crear dúplex únicos.  “Reforma parcial o derribo total: tú decides cómo maximizar tu inversión.”  Local Comercial •67 m² aprox., entrada independiente (se podría conectar al portal). •Ideal para un nuevo piso adicional o garaje para 2 coches.  “Saca partido a cada rincón: local, vivienda o garaje, tú eliges.” Valores destacados de esta inversión  Ubicación privilegiada: Centro de Miraflores de la Sierra, parte del Parque Nacional de la Sierra de Guadarrama, con todos los servicios: educación, sanidad, restauración, ocio.   Alta demanda de alquiler: A solo 58 km de Madrid, con excelentes conexiones (M-607, M-30, A-1).  Potencial de desarrollo: Grado 3B de protección: puedes redistribuir interiormente y construir un nuevo volumen en parte del patio. Hasta 5 viviendas y 1-2 locales posibles.   Flexibilidad total: Vive una parte y alquila el resto o transforma todo en un negocio de alquiler.  “Una inversión, múltiples posibilidades de ingresos.” Disfruta la Sierra, sin renunciar a la ciudad Si buscas cambiar de vida y mudarte lejos del bullicio de la capital, aquí tendrás tu hogar rodeado de naturaleza y un activo generando ingresos todo el año.  “Miraflores de la Sierra: tranquilidad, naturaleza y todos los servicios a un paso.” ________________________________________ � NO PIERDAS ESTA OPORTUNIDAD Contáctanos hoy mismo y descubre todo el potencial de este edificio. ¡Inversión con presente y futuro!",True,renew,False,,882.0,True,True,False,False,[],False,False,480000.0,€,chalet,Miraflores de la Sierra,Chalet adosado en calle de Eusebio Guadalix,,,,terracedHouse,3433-02851,,,,,,
108584133,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/88/b6/1349143403.webp,46,,970000.0,chalet,sale,212.0,,4,4,El Bosque,Madrid,Villaviciosa de Odón,El Bosque,es,40.3854398,-3.9382887,False,https://www.idealista.com/inmueble/108584133/,"Magnifico chalet en El Bosque Engel&Völkers tiene el placer de poder comercializar este bonito chalet con un encanto especial por su forma de arquitectura y su bonita escalera interior. Es un chalet amplio con grandes terrazas, muy luminoso, con una gran piscina y un bonito jardín donde podrás disfrutar con tu familia, amigos y descansar los fines de semana. Al entrar en este chalet nos encontramos con una gran escalera que nos distribuye la casa, a la izquierda nos encontramos con un bonito salón, con chimenea y un comedor anexo independiente anexo con salida al jardín y a la piscina. Dispone de una bonita cocina abierta al salón amueblada con todos los electrodomésticos y de color blanco que le da mayor amplitud. En esta planta nos encontramos con 2 habitaciones, una de ellas es la principal con su cuarto de baño en suite y armarios empotrados y la otra habitación con gran luminosidad. Dispone de un bonito aseo de cortesía y armario gabanero. En la planta superior, nos encontramos con 2 habitaciones amplias, con gran terraza y armarios empotrados, un salón y un cuarto de baño completo y muy amplio. Dispone de varios trasteros muy cómodos para poder guardar todo tipo de cosas. En la zona de la piscina muy próxima a la casa dispone de otra habitación y cuarto de baño completo, válido para cuarto de servicio, así como un apartamento exterior. El garaje es exterior y sirve como para 3 coches. La calefacción es por Gas propano pero tiene la instalación para el gas natural. Dispone de aire acondicionado en toda la casa. Excelente ubicación en la arteria principal de la urbanización accesible a todos los servicios de la misma a pie. La urbanización El Bosque pertenece a Villaviciosa de Odón, muy cerca de Boadilla del Monte. Con todos los servicios necesarios, la urbanización cuenta con vigilancia las 24 horas. Cerca del Colegio Ágora Internacional, el desarrollo de las instalaciones del Centro Oficial de la Liga y de la NBA en España, la Universidad Europea de Madrid y de una zona comercial con restaurantes, supermercado, escuela de baile, farmacia, cafeterías, veterinario, parroquia y campo de golf. Dos ambulatorios en casco urbano así como hospitales cercanos. Al municipio se accede desde la carretera M-501, Km-69 y desde la carretera M-50. Limita con los términos municipales de Boadilla del Monte, Villanueva de la Cañada, Brunete, Sevilla la Nueva, Móstoles, Alcorcón y Navalcarnero. Transporte público con paradas en Príncipe Pío y Cercanías de Móstoles. Mejorada también la conexión de transporte de Villaviciosa de Odón con la estación de Colonia Jardín.",False,good,False,,4575.0,False,False,False,False,[],False,False,970000.0,€,chalet,"El Bosque, Villaviciosa de Odón",Casa independiente,,True,True,independantHouse,W-030F4T,,,,,,
