propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,exterior,newDevelopmentFinished,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,highlight.groupDescription
108098329,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/75/5c/41/1347465365.webp,293375,31,3,330000.0,flat,sale,86.0,3,1,Barrio Lucero,Madrid,Madrid,Latina,es,Lucero,40.4060116,-3.7410225,False,https://www.idealista.com/inmueble/108098329/,"DONPISO EL LUCERO. Te presentamos un magnífico piso en el corazón de Madrid, ideal para aquellos que buscan comodidad y estilo de vida en una de las ciudades más vibrantes de Europa. Este acogedor apartamento cuenta con una superficie total de 86 m², distribuidos en un amplio salón que ofrece luminosidad y calidez, perfectos para disfrutar de agradables momentos en familia o con amigos. La cocina, independiente y totalmente equipada, se complementa con un diseño moderno y funcional, que hará las delicias de los amantes de la gastronomía.  El inmueble dispone de dos habitaciones bien iluminadas, que pueden adaptarse tanto a un ambiente familiar como a un espacio de trabajo o estudio. Y una habitación mas pequeña. Tanto el salón como la cocina tienen acceso directo a la terraza acristalada que da al interior del edificio, dándole luminosidad al ser un tercero y la tranquilidad en pleno Madrid. Se sitúa en en una tercera planta, con previsión de ascensor para primeros del 2026, abonado por la propiedad actual. Firmada en acta por la comunidad de propietarios. Cuenta con una comunidad de 39euros sin derramas y 380euros de IBI anual. La comunidad dispone de un patio comunitario diáfano de 200m² Situado en MADRID, el inmueble se encuentra en una ubicación privilegiada, rodeado de múltiples servicios como supermercados, tiendas locales, y una oferta educativa que incluye colegios de renombre en las cercanías. La zona también cuenta con numerosos espacios de ocio, como restaurantes, cafeterías y parques, ideales para disfrutar de la vida urbana. Para aquellos que disfrutan de las actividades culturales, podrás acceder fácilmente a museos y teatros que enriquecen la oferta de tiempo libre en la ciudad. En cuanto al transporte, este piso se halla a escasa distancia de varias paradas de metro y autobuses, lo que facilita la movilidad hacia otras zonas de Madrid, haciendo de tu día a día una experiencia cómoda y ágil. No dejes pasar la oportunidad de visitar este hogar que te ofrece todo lo necesario para disfrutar de la vida en la capital. Consultar condiciones. ( El PVP indicado no incluye impuestos ni gastos de Escritura ).  PARA PROPIETARIOS:  ¿Necesitas vender para comprar? te ayudamos coordinándolo todo y con hipoteca cambio de casa. ¿Tienes prisa en vender? te ofrecemos una venta rápida con todas las garantías. ¿Necesitas una hipoteca? en donpiso la encuentras y en condiciones preferentes. ¿Herencias?, ¿Divorcios?, te ayudamos y coordinamos todo. Infórmate:.",False,good,False,True,3837.0,False,False,False,False,[],False,False,330000.0,€,flat,"Lucero, Madrid",Piso,,,,,,,,,
108844331,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/b6/c6/1356771457.webp,VARE-00001214,25,1,71000.0,flat,sale,84.0,3,2,Cenicientos,Madrid,Cenicientos,,es,,40.2617903,-4.4657859,False,https://www.idealista.com/inmueble/108844331/,"NO COBRAMOS COMISIÓN DE INTERMEDIACIÓN AL COMPRADOR Excelente oportunidad de adquirir en propiedad este piso en planta baja ubicado en la localidad de Cenicientos, provincia de Madrid. Disfruta de este acogedor piso que cuenta con armarios empotrados, suelos de gres, acristalamiento térmico, cocina amueblada y calefacción con radiadores eléctricos en las estancias principales, . En buen estado en general y con grandes posibilidades de adecuación y reforma por si deseas personalizar los acabados de tu nuevo hogar. Olvídate de los problemas de almacenamiento gracias al trastero incluido en el precio. Situado en la localidad Cenicientos, próximo a todos los servicios y equipamientos como supermercados, colegios, centro culturales, etc. y perfectamente comunicado. Cenicientos es limítrofe con las provincias de Toledo y Ávila, se trata del municipio más occidental de la comunidad autónoma.  Su situación estratégica te permitirá acceder a varias provincias y a sus múltiples atractivos. Por lo tanto la vivienda disfruta de un entorno tranquilo, pero sin renunciar a todos los servicios, equipamientos y atractivos necesarios para una gran calidad de vida. Sus accesos, comunicaciones y transportes harán que tengas todo a tu alcance. No lo dudes, invertir en el inmueble que te ofrecemos será una apuesta segura.  ¿A qué esperas? Llámanos y nuestro especialista de la zona te solventará cualquier duda. No cobramos comisión al comprador. Al llamar danos la referencia C0127-VARE-00001214 CENTURY 21 Now ""Lo mejor de las personas al servicio de las personas"".",False,good,False,True,845.0,True,False,False,False,[],False,False,71000.0,€,flat,Cenicientos,Piso,True,,,,,,,,
108046681,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/77/63/bf/1321074365.webp,1ºD,11,1,318000.0,flat,sale,74.0,2,2,Barrio Campamento,Madrid,Madrid,Latina,es,Campamento,40.3956894,-3.773146,False,https://www.idealista.com/obra-nueva/108046681/,"DMARCHEE lanza un nuevo proyecto en Colonia Jardín  Desde DMARCHEE, expertos en promoción inmobiliaria y gestión de cooperativas, nos complace invitarte a participar en el nuevo proyecto que gestionamos en régimen de cooperativa de 11 maravillosas viviendas en la zona de Colina Jardín, Madrid.  Un proyecto pensado para ti  Este desarrollo cuenta con amplias viviendas de diseño moderno, funcionales y eficientes, todas ellas con garaje y trastero, así como un jardín con piscina comunitaria para disfrutar de momentos de relax y bienestar sin salir de casa.  Ciudad Jardín: Un enclave residencial con gran proyección  Ubicado en una de las zonas más tranquilas y bien conectadas de Madrid, Ciudad Jardín ofrece un equilibrio perfecto entre vida urbana y espacios verdes. Además, la zona se beneficiará de dos grandes transformaciones urbanísticas que impulsarán su desarrollo y calidad de vida:   Proximidad a la Operación Campamento, una de las actuaciones urbanísticas más ambiciosas de Madrid, que traerá nuevos desarrollos residenciales, comerciales y de infraestructuras, dinamizando la zona y revalorizando su entorno.   El soterramiento de la A-5, que creará espectaculares espacios abiertos, zonas verdes y áreas peatonales, mejorando la conectividad y la calidad de vida de los vecinos.  Con una excelente red de transporte, servicios cercanos y un entorno residencial consolidado, esta ubicación es una gran oportunidad para quienes buscan un hogar con calidad de vida y alto potencial de revalorización.  ¿Te interesa? ¡Es el momento de hacérnoslo saber y no te quedes sin la tuya!  � Contáctanos para más información y participar en este exclusivo proyecto.",False,,True,True,4297.0,True,False,False,False,[],False,False,318000.0,€,flat,"Campamento, Madrid",Piso,True,False,True,True,,,,,
106879024,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/64/97/1296560617.webp,3367-04420,31,,990000.0,countryHouse,sale,110.0,3,1,calle pino alto navarredonda,Madrid,Valdemorillo,Pino Alto - Navarredonda,es,,40.5144581,-4.0450531,False,https://www.idealista.com/inmueble/106879024/,"¡Descubre esta joya natural a tan solo 30 km de Madrid! Esta finca rústica, situada en el corazón del Parque Natural de Guadarrama y cerca de Las Rozas, ofrece más de 60 hectáreas de pura belleza. Rodeada de majestuosos pinos y encinas autóctonas, es el refugio perfecto para los amantes de la caza menor y la pesca. La propiedad cuenta con una encantadora casa de 111 metros cuadrados, construida en 1820, que conserva su esencia histórica con 3 habitaciones, un baño completo, aseo y una acogedora chimenea. EXCLUSIVA FINCA RÚSTICA EN VALDEMORILLO – PARAÍSO CINEGÉTICO EN EL MONTE CUERDA HERRERA �� Si eres un amante de la caza y la naturaleza, esta finca rústica con licencia de caza en Valdemorillo, enclavada en el majestuoso Monte Cuerda Herrera, es una oportunidad única. Se trata de un auténtico santuario cinegético y natural, donde la belleza del entorno se fusiona con la emoción de la caza y el placer de la vida en el campo. � UN ENTORNO PRIVILEGIADO La finca se encuentra en una de las zonas más codiciadas de la Comunidad de Madrid, rodeada de un paisaje variado de encinas centenarias, robles y jaras que ofrecen refugio a una gran diversidad de fauna. Las suaves ondulaciones del terreno, combinadas con zonas de dehesa y claros, la convierten en un escenario ideal tanto para la caza como para disfrutar de la naturaleza en estado puro. � FAUNA ABUNDANTE Y DIVERSA Gracias a su ubicación estratégica y su hábitat bien conservado, la finca cuenta con una población estable de especies cinegéticas, incluyendo:  Jabalíes, abundantes en la zona, ideales para monterías y aguardos.  Corzos, cuya presencia es un gran atractivo para la caza selectiva.  Conejos y liebres, perfectos para la caza menor.  Perdices y tórtolas, que convierten cada jornada de caza en una experiencia inolvidable. Además, la finca es un refugio para aves rapaces y otras especies autóctonas que enriquecen el ecosistema y ofrecen un espectáculo natural durante todo el año. � IDEAL PARA RECREO Y EXPLOTACIÓN Más allá de la caza, esta finca es perfecta para quienes buscan un retiro en plena naturaleza, lejos del estrés de la ciudad, pero con la comodidad de estar a menos de una hora de Madrid. Su terreno permite múltiples usos: desde la ganadería hasta el turismo rural o la simple contemplación del paisaje. � ¿POR QUÉ ESTA FINCA? ✔ Ubicación inmejorable en un entorno de alto valor ecológico. ✔ Licencia de caza en vigor, lista para disfrutarla desde el primer día. ✔ Gran biodiversidad que garantiza jornadas de caza memorables. ✔ Fácil acceso y conexión con Valdemorillo y otras localidades cercanas. Si sueñas con una finca donde la naturaleza, la caza y la tranquilidad sean protagonistas, esta propiedad en el Monte Cuerda Herrera es la elección perfecta. El terreno está completamente vallado y dispone de pistas de fácil acceso, lo que facilita el recorrido por sus vastos paisajes. Además, cuenta con un pozo de 17 metros de profundidad y una capacidad superior a 20.000 m³, garantizando un suministro constante de agua. La finca incluye una caseta garaje de 40 metros y un trastero, ideal para almacenar tus herramientas o equipos. La energía se suministra mediante generador, pero existen posibilidades para instalar fuentes renovables como solar y eólica. Exenta de gastos e IBI, salvo el de coto de caza, esta finca es una oportunidad única para vivir en armonía con la naturaleza. Disfruta de magníficas vistas y una rica vegetación que alberga una gran variedad de animales. No esperes más para hacer realidad tu sueño de tener un oasis privado cerca de la ciudad.",True,renew,False,,9000.0,True,False,False,False,[],False,False,990000.0,€,countryHouse,"Pino Alto - Navarredonda, Valdemorillo",Casa rural en calle pino alto navarredonda,,,True,True,casale,,,,
108741566,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/64/a7/d2/1353777528.webp,,90,,540000.0,chalet,sale,284.0,5,3,"CL SAN JOSE, 9",Madrid,Mataelpino,,es,,40.7254536,-3.9500882,True,https://www.idealista.com/inmueble/108741566/,"Se vende magnífico chalet independiente con piscina en prestigiosa urbanización de la Sierra de Madrid Chalet de dos plantas sobre parcela de 639 m², situado en la exclusiva urbanización El Berrocal, en Mataelpino, a los pies de la montaña de la Maliciosa. Una vivienda espaciosa, luminosa y con excelentes vistas, que combina comodidad, encanto y tranquilidad en plena naturaleza. Le sugerimos que vea los dos vídeos publicados en el anuncio, además del extenso reportaje fotográfico y los planos detallados de cada una de las plantas del chalet. Características de la vivienda: Planta baja (a nivel de calle): •Garaje con puerta automática •Cuarto de calderas •Cuarto de baño •Habitación multiusos con ventana •Pequeño salón •Varias zonas de almacenaje Primera planta: •Salón amplio y luminoso con chimenea, que aporta un encanto serrano excepcional •Cocina independiente comunicada con el salón a través de un cómodo office-comedor de diario •Dos habitaciones y un baño completo •Estupenda terraza acristalada con orientación sur y vistas a la piscina, con un clima agradable todo el año •Otras dos terrazas acristaladas cerradas con salida desde el salón, versátiles para distintos usos (despacho, zona de estar…) •Terraza lavadero Segunda planta (buhardilla):  A pesar de ser abuhardillada, la planta cuenta con una altura considerable, lo que permite una excelente optimización del espacio y una gran sensación de amplitud. •Amplio salón-estar con impresionantes vistas •Dos habitaciones, una de ellas principal con baño en suite, vestidor y una gran terraza orientada al sur con magníficas vistas Extras y exteriores: •Piscina privada •Zona de barbacoa •Jardín con múltiples posibilidades: zonas de estar y terrazas cerradas con acristalamientos de última generación, que ofrecen un excelente aislamiento térmico y acústico, para mayor confort y tranquilidad. •Calefacción por caldera de gasoil y chimenea en el salón Sobre la urbanización: La vivienda se encuentra en la reconocida urbanización El Berrocal I-II, formada exclusivamente por chalets independientes, tranquila y cuidada: •Calles asfaltadas y mantenidas por empresa privada •Farolas nuevas con iluminación LED •Servicio de recogida de basuras Entorno y servicios: •Parada de autobús a escasos metros de la entrada de la urbanización, con servicio directo a Madrid y a los pueblos de la sierra. •Colegios cercanos en el propio Mataelpino y en Moralzarzal. •El encantador pueblo de Mataelpino, a tan solo 15 minutos andando, con un agradable paseo con aceras, farolas y bancos. •En el pueblo: farmacia, centro médico privado y centro de salud de la Seguridad Social. •Hospitales cercanos en Collado Villalba, con atención especializada y de urgencias. •A 5 minutos en coche, polígono comercial con supermercados, ferreterías y otros comercios. Naturaleza, ocio y actividades al aire libre: Este chalet se encuentra en plena Sierra de Madrid, rodeado de pueblos con encanto como Cerceda, Becerril, El Boalo y Navacerrada, todos ellos con su propia personalidad y excelente oferta gastronómica. La zona ofrece múltiples posibilidades para los amantes de la naturaleza y el deporte: •Rutas de senderismo para todos los niveles: desde paseos suaves hasta rutas más técnicas y exigentes, ideales para los más aventureros. •Itinerarios para bicicleta de montaña o carretera, con paisajes espectaculares. •Oferta de equitación en centros cercanos, como El Gamonal, a solo 5 minutos en coche, con actividades para todas las edades. •El prestigioso Restaurante Azaya de Madrid, a solo 5 minutos caminando desde el chalet, perfecto para disfrutar de una experiencia gastronómica de primer nivel. Una vivienda con orientación norte-sur-este-oeste, que ofrece amplitud, encanto y comodidad en un entorno natural y bien comunicado. Ideal para quienes buscan calidad de vida, tranquilidad y cercanía a Madr",True,good,False,,1901.0,True,False,False,False,[],False,False,540000.0,€,chalet,Mataelpino,"Casa independiente en Cl San Jose, 9",,,True,True,independantHouse,,,,
108297764,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7c/2f/a7/1339918781.webp,P1 4ºB,6,4,264000.0,flat,sale,110.0,3,2,"calle Santón, 12",Madrid,Valdemoro,Centro,es,,40.1925613,-3.6773235,True,https://www.idealista.com/obra-nueva/108297764/,"Residencial San Antón. Viviendas de 1, 2 y 3 dormitorios de renta libre, garajes y sala polivalente. 60 % VENDIDO  Suelo radiante por aerotermia.  Cocinas completamente amuebladas incluidos todos los electrodomésticos.  Con el privilegio de vivir en el centro de Valdemoro.",False,newdevelopment,True,True,2400.0,True,False,False,False,[],False,False,264000.0,€,flat,"Centro, Valdemoro","Piso en calle Santón, 12",True,False,True,True,,,,,
107450577,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/33/d8/86/1312980662.webp,15433-2025,1,2,110000.0,flat,sale,56.0,2,1,calle los Alfares,Madrid,Alcorcón,Centro,es,Casco Antiguo,40.346491,-3.8279207,False,https://www.idealista.com/inmueble/107450577/,"PISO OCUPADO POR PERSONA SIN JUSTO TÍTULOESTE INMUEBLE DEBIDO A SU ESTADO OCUPACIONAL NO ADMITE VISITASIDEAL PARA INVERSORESLA LOCALIZACIÓN DEL INMUEBLE ES APROXIMADAVivienda de 44 m², según Catastro, y 12 m² de elementos comunes a la venta en el municipio de Alcorcón, Madrid. La vivienda está distribuida en diferentes estancias y tiene como anejo un cuarto tendedero. (La distribución de la vivienda es orientativa y no ha podido ser comprobada). Es una 2ª Planta en un bloque de reciente construcción con ascensor. Excelente ubicación en el centro de Alcorcón. Buenas comunicaciones por carretera y transporte público. Muy próximo a la estación de Cercanías Renfe 'Alcorcón Central' y a la estación de Metro-Sur. Próximo a todo tipo de servicios e infraestructuras como centros educativos (CEIP Jesús Varela), comercios, supermercados, farmacias, zonas verdes... SIN COMISIÓN.",False,good,False,True,1964.0,False,False,False,False,[],False,False,110000.0,€,flat,"Casco Antiguo, Alcorcón",Piso en calle los Alfares,,,,,,117000.0,7000.0,6.0,
107555782,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/6a/5c/1331028572.webp,KP2-061,30,1,5500000.0,flat,sale,395.0,6,14,via Gran,Madrid,Madrid,Centro,es,Sol,40.4213836,-3.6994183,False,https://www.idealista.com/inmueble/107555782/,"Madrid, en pleno corazón de la mítica Gran Vía. Excepcional piso contemporáneo de 395m2 totalmente reformado. Majestuoso hall de entrada adornado con una cascada que da paso a un amplio salón-comedor con balcones a la Gran Vía. Cocina americana con electrodomésticos de alta gama y doble isla. Suite principal con vestidor y baño. Otras 5 suites elegantemente decoradas, cada una con su propio baño. Materiales de alta gama. Idealmente situado en el corazón de la avenida más emblemática de Madrid, apodada ""el Broadway madrileño"", es el escenario para todo, desde paseos románticos hasta frenéticas compras.",False,good,False,True,13924.0,True,False,False,False,[],False,False,5500000.0,€,flat,"Sol, Madrid",Piso en via Gran,True,,,,,,,,
108046648,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/3f/41/1321074373.webp,1ºC,11,1,319000.0,flat,sale,75.0,2,2,Barrio Campamento,Madrid,Madrid,Latina,es,Campamento,40.3956894,-3.773146,False,https://www.idealista.com/obra-nueva/108046648/,"DMARCHEE lanza un nuevo proyecto en Colonia Jardín  Desde DMARCHEE, expertos en promoción inmobiliaria y gestión de cooperativas, nos complace invitarte a participar en el nuevo proyecto que gestionamos en régimen de cooperativa de 11 maravillosas viviendas en la zona de Colina Jardín, Madrid.  Un proyecto pensado para ti  Este desarrollo cuenta con amplias viviendas de diseño moderno, funcionales y eficientes, todas ellas con garaje y trastero, así como un jardín con piscina comunitaria para disfrutar de momentos de relax y bienestar sin salir de casa.  Ciudad Jardín: Un enclave residencial con gran proyección  Ubicado en una de las zonas más tranquilas y bien conectadas de Madrid, Ciudad Jardín ofrece un equilibrio perfecto entre vida urbana y espacios verdes. Además, la zona se beneficiará de dos grandes transformaciones urbanísticas que impulsarán su desarrollo y calidad de vida:   Proximidad a la Operación Campamento, una de las actuaciones urbanísticas más ambiciosas de Madrid, que traerá nuevos desarrollos residenciales, comerciales y de infraestructuras, dinamizando la zona y revalorizando su entorno.   El soterramiento de la A-5, que creará espectaculares espacios abiertos, zonas verdes y áreas peatonales, mejorando la conectividad y la calidad de vida de los vecinos.  Con una excelente red de transporte, servicios cercanos y un entorno residencial consolidado, esta ubicación es una gran oportunidad para quienes buscan un hogar con calidad de vida y alto potencial de revalorización.  ¿Te interesa? ¡Es el momento de hacérnoslo saber y no te quedes sin la tuya!  � Contáctanos para más información y participar en este exclusivo proyecto.",False,,True,True,4253.0,True,False,False,False,[],False,False,319000.0,€,flat,"Campamento, Madrid",Piso,True,False,True,True,,,,,
101649396,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/3f/28/1129124759.webp,V7,20,,1995000.0,chalet,sale,463.0,5,5,"calle Isla de Creta, 19",Madrid,Pozuelo de Alarcón,Zona Pueblo,es,Zona Pueblo,40.4378122,-3.8263739,True,https://www.idealista.com/obra-nueva/101649396/,"TRIBECA Pozuelo by Quantum, se trata de una urbanización cerrada de 10 unifamiliares pareados exclusivos, con un único acceso, garita de control en la entrada y seguridad las 24 horas. Situada en La Pinada, una de las mejores zonas de Pozuelo. Con licencia ya concedida, la obra dará comienzo de manera inmediata. TRIBECA Pozuelo by Quantum son solo 10 exclusivas viviendas de 480 m2 construidos con un diseño excepcional, sobre una parcela de 520 m2. La urbanización reúne todas las ventajas de vivir en una zona residencial con la mayor tranquilidad y seguridad. Las viviendas se distribuyen en tres plantas y disponen de 6 dormitorios con 5 baños y 1 aseo de cortesía. Personalización de los diferentes espacios y de los acabados según las necesidades de cada cliente. Distribución en dos plantas más planta bajo rasante. Planta Sótano: Acceso a la vivienda, garaje para dos vehículos, dormitorio con baño completo, trastero y cuarto de instalaciones. Planta Principal: Hall de entrada, gran salón, comedor, cocina, aseo de cortesía, dormitorio / despacho con baño en suite, porche con acceso a jardín y piscina privada. Planta Primera: Dormitorio Principal con vestidor, baño en suite y terraza, 3 dormitorios con 2 baños completos. Ubicación: La Pinada se destaca por la gran cantidad de villas nuevas y de alta calidad que se han construido en los últimos años. Pozuelo de Alarcón, destacado municipio, situado al oeste de la comunidad de Madrid, es el emplazamiento perfecto para aquellos que buscan disfrutar de una vida tranquila sin renunciar a las comodidades de la gran ciudad. TRIBECA Pozuelo by Quantum se encuentra en una privilegiada localización, rodeada de espacios naturales y muy cerca de una gran oferta de ocio, centros comerciales, prestigiosos colegios, hospitales y recintos deportivos. Se encuentra a poca distancia a pie de los mejores colegios de la zona como Kensington y Liceo Sorolla y a apenas 10 minutos en coche de los principales colegios internacionales, como American School of Madrid y British Council School. Pozuelo de Alarcón está rodeado por otras grandes masas forestales que actúan como un pulmón para la ciudad de Madrid y para el propio municipio. Estas áreas arboladas son el Monte del Pilar, la Casa de Campo y el Monte de El Pardo que te harán disfrutar al máximo de tu entorno de una forma saludable"". Esto hace que TRIBECA POZUELO by QUANTUM sea un lugar perfecto para vivir.",False,,True,,4309.0,False,False,False,False,[],False,False,1995000.0,€,chalet,"Zona Pueblo, Pozuelo de Alarcón","Chalet pareado en calle Isla de Creta, 19",,False,True,True,semidetachedHouse,,,,
