propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,newDevelopmentFinished,highlight.groupDescription
108132540,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/41/62/29/1334834015.webp,AG-MALDN250K,43,5,250000.0,flat,sale,45.0,True,1,1,calle de las Maldonadas,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4118739,-3.7093353,False,https://www.idealista.com/inmueble/108132540/,"GALOTA INVERSIONES E INMOBILIARIA VENDE HERMOSO PISO EXTERIOR TIPO ÁTICO    Comunícate con nosotros escribiendo al WhatsApp 604_89_3314    Rentabilidad del 5%  Distribución:  1 Dormitorio 1 Baño Salón  Comedor  Cocina Independiente    Este piso dispone de 1 dormitorio amueblado  Area de salón y comedor acogedora La cocina se encuentra equipada con electrodomésticos, vitrocerámica eléctrica, frigorífico, campana extractora, lavadora, horno y muebles de cocina superior e inferior. Ubicado al lado del metro latina y el mercado la cebada    IBI 248 COMUNIDAD 70 Somos una inmobiliaria comprometida con los intereses de nuestros clientes, brindamos un servicio personalizado donde nos encargamos de todo el proceso para conseguir la máxima rentabilidad en la adquisición de cada propiedad. Tenemos por misión proporcionarles a nuestros clientes un asesoramiento integral y personalizado, cumpliendo con sus expectativa y necesidades al adquirir una propiedad.  Nuestra visión, está en convertirnos en la empresa de referencia del sector inmobiliario de Madrid, donde cada persona integrada en este mercado piense en nosotros como primera opción al momento de comprar, vender o alquilar una propiedad.  Nos regimos mediante los valores:  Transparencia- Profesionalidad - Ética - Honestidad -Responsabilidad    Valores que nos permite brindarle un asesoramiento idóneo a nuestros clientes, ahorrándoles tiempo y garantizándoles el mejor precio del mercado.  Galota inversiones e inmobiliaria te espera.",True,good,False,False,5556.0,True,False,False,False,[],False,False,250000.0,€,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de las Maldonadas,,,,,,,,
108131409,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ea/33/47/1355359255.webp,R-464-A venta,33,bj,148000.0,flat,sale,62.0,True,1,1,Cruz,Madrid,Villanueva de Perales,,es,,40.3438304,-4.1023955,False,https://www.idealista.com/inmueble/108131409/,"ROMERO INMOBILIARIA, vende en exclusiva piso ideal para personas con movilidad reducida, de 1 dormitorio, con patio privado de 30 metros aproximadamente. Con trastero opcional en el mismo edificio.   ¡Descubre tu nuevo hogar en Villanueva de Perales! Este encantador piso de 62 m² con patio, está listo para que te mudes sin preocupaciones. Situado en una planta baja a ras de calle, accesible y sin escalones.  Dispone de un dormitorio con armario empotrado y un despacho de siete metros que podría servir de dormitorio temporal o hacerlo un amplio vestidor como en su día se previó en el proyecto. Consta de un baño completo, y cocina independiente. El amplio salón es luminoso gracias a su orientación suroeste, ofreciendo un espacio cálido y acogedor.  La calefacción individual eléctrica te asegura confort, mientras que ventanas climalit doble y oscilobatientes de alta calidad, garantizan un ambiente tranquilo y aislado del ruido exterior. Además, la puerta blindada te brinda seguridad extra. La vivienda fue construida en el año 2010. Sin honorarios al comprador.",True,good,False,False,2387.0,True,False,False,False,[],False,False,148000.0,€,flat,Villanueva de Perales,Piso en Cruz,155000.0,7000.0,5.0,,,,,
108774906,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a2/d6/3d/1354746754.webp,,48,,1195000.0,chalet,sale,308.0,,4,4,calle Angel Somalo,Madrid,Torrelodones,Colonia,es,,40.5789558,-3.9477764,False,https://www.idealista.com/inmueble/108774906/,"TECNOCASA TORRELODONES presenta en exclusiva este espectacular chalet independiente de diseño moderno, prácticamente a estrenar, en la Colonia de Torrelodones. Construido en 2021 y entregado en 2022, este chalet de 308 m² sobre una parcela de 454 m² destaca por su arquitectura contemporánea, su alta eficiencia energética y por ofrecer el máximo confort en un entorno residencial tranquilo y bien comunicado. La vivienda se distribuye en tres plantas. En la planta baja encontramos un amplio salón-comedor de 35 m² con gran entrada de luz natural y salida directa al porche cubierto, ideal para disfrutar del exterior durante todo el año. La cocina, moderna y funcional, se conecta tanto con el salón como con el comedor exterior y la piscina privada. Esta planta también dispone de una habitación con baño en suite, perfecta como dormitorio de invitados o despacho, además de un aseo de cortesía y una práctica zona de lavandería. En la planta superior, al subir las escaleras, nos recibe una terraza principal con impresionantes vistas a la Sierra de Madrid. Desde el distribuidor se accede a tres dormitorios: el principal con vestidor y baño en suite, y dos dormitorios adicionales que comparten un baño completo y una segunda terraza con vistas despejadas. En el sótano, la vivienda ofrece un amplio espacio de 100 m² actualmente destinado al ocio, distribuido en zona de cine, gimnasio, barra de bar, espacio de pintura y zona de videojuegos. Además, cuenta con un gran trastero ideal para almacenamiento. La propiedad está equipada con aire acondicionado por conductos y suelo radiante en todas las plantas, lo que garantiza confort durante todo el año. Dispone también de un garaje con capacidad para dos vehículos y zonas exteriores ajardinadas que completan esta fantástica vivienda. Ubicada en una de las zonas más cotizadas de Torrelodones, combina privacidad, vistas, diseño y cercanía al centro de la Colonia, con todos los servicios al alcance y excelentes conexiones. Una vivienda exclusiva, moderna, funcional y lista para entrar a vivir. POSIBILIDAD DE FINANCIACIÓN 100%. Solicita tu visita sin compromiso.",True,good,False,,3880.0,True,False,False,False,[],False,False,1195000.0,€,chalet,"Colonia, Torrelodones",Casa independiente en calle Angel Somalo,,,,True,True,independantHouse,,
108568081,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2d/33/73/1348686268.webp,530180,17,7,2390000.0,penthouse,sale,205.0,True,4,2,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4331108,-3.6979074,False,https://www.idealista.com/inmueble/108568081/,Ana Bareño de GV | ALMAGRO comercializa el siguiente inmueble: Atico de 205 metros cuadrados con terraza y orientación Sur en Almagro. En un precioso edificio clásico con portal señorial y ascensor de jaula situado en una de las calles más elegantes del barrio de Almagro encontramos esta estupenda vivienda lista para entrar a vivir aunque también tiene multiples posibilidades de actualización. Distribución: Hall de entrada. Salón. Comedor. Dos terrazas. Cuarto de estar. Cuarto de dormir con cuarto de baño en suite. Tres cuartos de dormir. Cuarto de baño. Cocina con entrada de servicio. Plaza de garaje Esta información no tiene Carácter contractual. Un porcentaje importante de nuestros inmuebles no aparecen publicados por expreso deseo de los propietarios. Para más información sobre más propiedades en esta zona entre en nuestra página web.,False,good,False,True,11659.0,False,False,False,False,[],False,False,2390000.0,€,flat,"Almagro, Madrid",Ático,,,,True,True,penthouse,,
106703268,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/21/fb/1291484451.webp,DS-P22696B,11,3,4500000.0,flat,sale,363.0,True,4,5,calle de Zurbano,Madrid,Madrid,Chamberí,es,Almagro,40.4313875,-3.6936786,False,https://www.idealista.com/inmueble/106703268/,"DIZA consultores les presenta esta fabulosa vivienda ubicada en la tercera planta de un edificio señorial.  Este luminoso piso, completamente reformado con calidades de lujo está listo para entrar a vivir. Su excelente distribución combina comodidad y estilo, con estancias amplias y bien iluminadas. La vivienda dispone de: 4 dormitorios, todos con baño en suite, diseñados con acabados de primera calidad. Zona de lavandería independiente. Un aseo de visitas. Una impresionante zona social con un diseño diáfano que integra la cocina de lujo con isla/península y el salón-comedor, creando un ambiente acogedor y funcional. Cada rincón de este hogar ha sido cuidadosamente diseñado para maximizar la luz natural, ofreciendo espacios cálidos y sofisticados que se adaptan perfectamente a un estilo de vida moderno y exclusivo. Convertimos Sueños en Hogares.",False,good,False,False,12397.0,False,False,False,False,[],False,False,4500000.0,€,flat,"Almagro, Madrid",Piso en calle de Zurbano,,,,,,,,
108905271,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/19/5b/a0/1358502970.webp,NP2107251639,19,bj,292000.0,flat,sale,80.0,True,3,1,calle de Ayllón,Madrid,Madrid,Latina,es,Campamento,40.3985815,-3.7763954,False,https://www.idealista.com/inmueble/108905271/,"NEO Patrimonial ofrece bajo exterior y muy bien comunicado en Colonia Jardín, Barrio Campamento.  Bajo exterior con ascensor en proyecto de instalación ya aprobado. El inmueble consta de 80m² de superficie construida según catastro, de los cuales 76m² corresponden a la vivienda.  Dispone de salón y comedor con espacios diferenciados, cocina independiente, 3 habitaciones con armarios empotrados y 1 baño. Detalles de las calidades:  Carpintería exterior con doble acristalamiento tipo climalit, carpintería interior de madera de roble macizo y suelos de parquet de olivo, excepto en zonas de agua que son de gres. Agua caliente y calefacción por caldera de gas natural recientemente renovada. La finca cuenta con videoportero. Detalles de la zona y puntos de interés:  Ubicación privilegiada, en una zona residencial muy tranquila y bien comunicada: Metro Colonia Jardín (Línea 10 y metro ligero) a escasos minutos, con conexión directa a Plaza de España y Gran Vía en menos de 15 minutos. Diferentes líneas de autobús de línea regular y con parada cercana.  Zona consolidada con todos los servicios de primera necesidad al alcance: Colegios, Centros de Salud, Farmacias, Supermercados, Pequeño Comercio, Centro comerciales etc.  Un piso ideal para quienes buscan calidad de vida, excelente conexión con el centro de Madrid y el encanto de un barrio tranquilo con historia y servicios. *Impuestos ITP o IVA y gastos, notaría, registro, gestoría etc. no incluidos. NEO Patrimonial le ofrece la posibilidad de hacer cualquier tipo de reforma de esta vivienda al mejor precio.",False,renew,False,False,3650.0,False,False,False,False,[],False,False,292000.0,€,flat,"Campamento, Madrid",Piso en calle de Ayllón,,,,,,,,
108658040,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1a/60/af/1357897108.webp,07288,43,1,235000.0,flat,sale,35.0,False,1,1,calle de la Madera,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.422216,-3.703652,False,https://www.idealista.com/inmueble/108658040/,"Vivienda de 30 m2 en Malasaña, a 5 minutos del metro de Tribunal o de la plaza de San ildefonso. IDEAL INVERSORES. El apartamento está recien reformado, totalmente equipado y para entrar a vivir. Se encuentra en 1º planta, es luminoso, y con los techos altos. La vivienda tiene tres ventanas que dan a una corrala muy bien conservada. La finca está en buen estado.  Cocina totalmente equipada, cuarto de baño completo, sala de estar y dormitorio. ITE aprobada y sin derramas en el edificio. Garaje opcional disponible en la misma calle, en alquiler 100 euros aprox o en venta 15.000 euros aprox. Malasaña es una zona turística, castiza y muy bien comunicada tanto en metro como en autobus. La calle de la Madera se encuentra entre la calle de la Luna y la calle del Espíritu Santo. El nombre de la calle se debe a que en esa zona vivían artesanos carpinteros. Es conocida por ser una calle con un ambiente bohemio y por ser un lugar donde se pueden encontrar tiendas de diseño, bares y restaurantes. Muy bien comunicada con otras zonas de Madrid.",False,good,False,False,6714.0,False,False,False,False,[],False,False,235000.0,€,flat,"Malasaña-Universidad, Madrid",Piso en calle de la Madera,240000.0,5000.0,2.0,,,,,
101649396,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/3f/28/1129124759.webp,V7,20,,1995000.0,chalet,sale,463.0,,5,5,"calle Isla de Creta, 19",Madrid,Pozuelo de Alarcón,Zona Pueblo,es,Zona Pueblo,40.4378122,-3.8263739,True,https://www.idealista.com/obra-nueva/101649396/,"TRIBECA Pozuelo by Quantum, se trata de una urbanización cerrada de 10 unifamiliares pareados exclusivos, con un único acceso, garita de control en la entrada y seguridad las 24 horas. Situada en La Pinada, una de las mejores zonas de Pozuelo. Con licencia ya concedida, la obra dará comienzo de manera inmediata. TRIBECA Pozuelo by Quantum son solo 10 exclusivas viviendas de 480 m2 construidos con un diseño excepcional, sobre una parcela de 520 m2. La urbanización reúne todas las ventajas de vivir en una zona residencial con la mayor tranquilidad y seguridad. Las viviendas se distribuyen en tres plantas y disponen de 6 dormitorios con 5 baños y 1 aseo de cortesía. Personalización de los diferentes espacios y de los acabados según las necesidades de cada cliente. Distribución en dos plantas más planta bajo rasante. Planta Sótano: Acceso a la vivienda, garaje para dos vehículos, dormitorio con baño completo, trastero y cuarto de instalaciones. Planta Principal: Hall de entrada, gran salón, comedor, cocina, aseo de cortesía, dormitorio / despacho con baño en suite, porche con acceso a jardín y piscina privada. Planta Primera: Dormitorio Principal con vestidor, baño en suite y terraza, 3 dormitorios con 2 baños completos. Ubicación: La Pinada se destaca por la gran cantidad de villas nuevas y de alta calidad que se han construido en los últimos años. Pozuelo de Alarcón, destacado municipio, situado al oeste de la comunidad de Madrid, es el emplazamiento perfecto para aquellos que buscan disfrutar de una vida tranquila sin renunciar a las comodidades de la gran ciudad. TRIBECA Pozuelo by Quantum se encuentra en una privilegiada localización, rodeada de espacios naturales y muy cerca de una gran oferta de ocio, centros comerciales, prestigiosos colegios, hospitales y recintos deportivos. Se encuentra a poca distancia a pie de los mejores colegios de la zona como Kensington y Liceo Sorolla y a apenas 10 minutos en coche de los principales colegios internacionales, como American School of Madrid y British Council School. Pozuelo de Alarcón está rodeado por otras grandes masas forestales que actúan como un pulmón para la ciudad de Madrid y para el propio municipio. Estas áreas arboladas son el Monte del Pilar, la Casa de Campo y el Monte de El Pardo que te harán disfrutar al máximo de tu entorno de una forma saludable"". Esto hace que TRIBECA POZUELO by QUANTUM sea un lugar perfecto para vivir.",False,,True,,4309.0,False,False,False,False,[],False,False,1995000.0,€,chalet,"Zona Pueblo, Pozuelo de Alarcón","Chalet pareado en calle Isla de Creta, 19",,,,True,True,semidetachedHouse,False,
103916651,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/fc/b0/1327756655.webp,,62,,1150000.0,chalet,sale,550.0,,5,5,"calle Jardines, 3",Madrid,Torrelodones,Los Peñascales,es,El Peñalar - Arroyo de Trofas - Montealegre,40.5807545,-3.9049323,True,https://www.idealista.com/inmueble/103916651/,"Chalet independiente en Torrelodones, urbanización Arroyo de Trofas, proyectado por el arquitecto José Luis Sanz Magallón. Construido en piedra de granito con gruesos muros. Superficie edificada de vivienda 578 m², sobre parcela de 2900 m².  La vivienda se compuesta de: Planta semisótano, con garaje y bodega Planta baja o principal, Consta de hall de entrada, con acceso a un gran salón comedor de 60m² aproximadamente con salida a un porche en forma de L de 45 m². Amplio pasillo de distribución. Cocina con office y cuarto trastero. 4 dormitorios y 4 cuartos de baños, dos de los dormitorios tienen el cuarto de baño incorporado. Sala de estar de 25 m² con acceso directo al jardín. Planta superior, dormitorio principal con vestidor, cuarto de bañó y despacho, de 65 m². El jardín cuenta con una gran piscina, en forma de riñón, de 12m x 4m aproximadamente y diferentes ambientes en terrazas. Gran algibe de almacenamiento de agua para riego. Zona de césped de 600m² con sistema automatizado de riego.",True,good,False,,2091.0,True,False,False,False,[],False,False,1150000.0,€,chalet,"El Peñalar - Arroyo de Trofas - Montealegre, Torrelodones","Casa independiente en calle Jardines, 3",,,,True,True,independantHouse,,
108573699,https://img4.idealista.com/blur/480_360_mq/270/id.pro.es.image.master/0a/8b/ff/1348840720.webp,,36,1,715000.0,flat,sale,110.0,True,2,2,"calle de San Germán, 37",Madrid,Madrid,Tetuán,es,Cuatro Caminos,40.45661,-3.6991331,True,https://www.idealista.com/inmueble/108573699/,"OBRA NUEVA. VIVIENDA CON TRES AÑOS DE USO CON PISCINA, TERRAZA, TRASTERO, PLAZA PARKING... Espectacular vivienda de dos dormitorios y dos baños, con gran salón, en promoción de obra completamente nueva (edificio nuevo no rehabilitado, terminado en 2019), con magníficas calidades y acabados, con piscina y jardín, gimnasio y varias salas comunitarias, varios cuartos para bicicletas. Es una vivienda muy luminosa, totalmente exterior, con grandes ventanas en todas las habitaciones.  Cuenta con un amplísimo salón, con forma cuadrada y techos altísimos, con grandes ventanales a la calle de Lazaga, una calle muy tranquila, sin apenas tráfico.  Al salón se accede desde un pequeño hall de distribución, desde el que se accede también a la zona de dormitorios y una cocina moderna, espaciosa, amueblada, con todos los electrodomésticos, que tiene salida a la terraza de la vivienda. La zona de dormitorios es independiente, separada con una puerta del hall de distribución y el resto de la vivienda.  Cuenta con dos dormitorios totalmente exteriores.  El dormitorio principal, con baño incorporado en suite, tiene grandes ventanales a la calle de Lazaga, y un gran armario empotrado. El segundo dormitorio, cuenta también con un amplio armario empotrado y tiene una gran ventana con salida a la terraza de la vivienda, que vuela sobre las zonas comunes del edificio. Cuenta con un segundo baño, con acceso independiente, para dar servicio a este segundo dormitorio y a invitados. La vivienda tiene aprovechado al máximo su espacio, sin pasillos, salvo el pequeño hall de entrada y el de distribución del acceso a los dormitorios. Ha sido construida con los mejores materiales y acabados y una gran calidad constructiva, muy eficiente, en la que se han cuidado mucho los detalles. La vivienda cuenta con una plaza de aparcamiento y un amplio trastero en el propio edificio, a los que se accede directamente desde el ascensor de su portal. Además del trastero, hay varios cuartos de bicicletas, en el sótano del edificio. El edificio cuenta con amplísimas zonas comunes en las que se ha construido una piscina con jardín y patio, una gran sala destinada a gimnasio comunitario, varias salas accesorias de uso comunitario, varios cuartos para bicicletas y dos modernos portales, que dan a los dos accesos del edificio. Es de las pocas promociones de obra nueva en pleno centro de Madrid, ubicada en el Barrio de Cuatro Caminos, a escasos metros del Paseo de la Castellana y de la principal zona financiera de Madrid. Es un edificio de gran eficiencia energética. La vivienda tiene una calificación B en su certificado de eficiencia energética.",False,good,False,True,6500.0,True,False,False,False,[],False,False,715000.0,€,flat,"Cuatro Caminos, Madrid","Piso en calle de San Germán, 37",765000.0,50000.0,7.0,True,True,,,
