propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,newDevelopmentFinished,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,highlight.groupDescription,parkingSpace.parkingSpacePrice
108785710,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1a/45/c5/1355071723.webp,CBUQ928,16,7,849000.0,flat,sale,49.0,True,2,2,calle de Don Ramón de la Cruz,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4289045,-3.6761518,False,https://www.idealista.com/inmueble/108785710/,"Coldwell Banker Unique presenta este encantador piso en venta ubicado en la calle Don Ramón de la Cruz, en el exclusivo barrio de Lista, en Madrid. Con una superficie de 49 m², esta luminosa vivienda se sitúa en una séptima planta y ofrece una distribución funcional y acogedora. Dispone de dos habitaciones, dos baños, un cómodo salón comedor y una cocina completamente equipada. Actualmente se encuentra en obras, lo que brinda la oportunidad de estrenar una reforma a medida con acabados modernos y de calidad. La propiedad cuenta con aire acondicionado y calefacción de gas individual, lo que garantiza confort durante todo el año. Su excelente ubicación en una de las zonas más demandadas de Madrid lo convierte en una opción ideal tanto para vivir como para invertir. Visualización referencial. Elementos mostrados pueden diferir del resultado final.",False,good,False,True,17327.0,True,False,False,False,[],False,False,849000.0,€,flat,"Goya, Madrid",Piso en calle de Don Ramón de la Cruz,,,,,,,,,
108768921,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/b7/0f/e9/1354587813.webp,BAS_PUERTO,50,3,186000.0,flat,sale,65.0,True,2,1,alto CL PUERTO,Madrid,Madrid,Puente de Vallecas,es,San Diego,40.3913645,-3.6688136,False,https://www.idealista.com/inmueble/108768921/,"BASTIA INMOBILIARIA vende excelente piso en Calle Puerto Alto, Madrid.  Ubicado en una tercera planta (sin ascensor, pero como una segunda y media), este luminoso y bien distribuido piso cuenta con 65 m² construidos. Desde la entrada, un pasillo distribuidor conecta todas las estancias de la vivienda. La cocina independiente está equipada con vitrocerámica y cuenta con salida a una terraza, perfecta para disfrutar de momentos al aire libre. El salón independiente, con aire acondicionado, ofrece un espacio acogedor y cómodo para el día a día. Dispone de 2 habitaciones amplias, ambas con armarios empotrados, y un baño completo con bañera, que ha sido recientemente actualizado en su fontanería. Además, la vivienda cuenta con calefacción individual a gas natural, doble orientación y ventilación cruzada, lo que proporciona un ambiente tranquilo y silencioso, ideal para quienes buscan comodidad y paz. Servicios cercanos: La propiedad se encuentra en una ubicación excelente, con todos los servicios necesarios a su alcance. En sus inmediaciones podrás encontrar varios supermercados como Carrefour, Día y Mercadona, que hacen las compras diarias mucho más cómodas. La zona comercial de la Avenida de la Albufera está llena de tiendas y comercios locales. Además, la zona está muy bien servida por varios colegios y centros educativos, como el CEIP Amós Acero y el Colegio San José-Franciscanas Ana Mogas, ideales para familias con niños. El Centro de Salud Martinez de la Riva se encuentra a solo unos minutos, lo que garantiza un acceso rápido a atención médica. Transporte público cercano: El piso está excelentemente comunicado tanto por transporte público como por vías rápidas. La estación de Renfe – Mendez Alvaro se encuentra a solo 10 minutos a pie, con acceso a las líneas C-7 y C-10, lo que permite llegar rápidamente a otras zonas de Madrid. Además, la estación de metro Puente de Vallecas (Línea 1) está a solo 10 minutos caminando, conectando directamente con el centro de la ciudad. En cuanto a transporte urbano, varias líneas de autobuses (como la línea 54, línea 10, y línea 141) pasan cerca de la propiedad, lo que facilita el acceso a diferentes puntos de la ciudad. Además, para los que se desplazan en coche, la M-30 y la A-3 están a pocos minutos, asegurando una excelente conectividad por carretera.",True,good,False,False,2862.0,True,False,False,False,[],False,False,186000.0,€,flat,"San Diego, Madrid",Piso en alto Cl Puerto,,,,,,,,,
107615214,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cf/03/fc/1326481984.webp,L-9D84F9B,32,3,1130000.0,flat,sale,137.0,True,3,2,"calle de Hortaleza, 9",Madrid,Madrid,Centro,es,Chueca-Justicia,40.4207946,-3.7008571,True,https://www.idealista.com/inmueble/107615214/,"VIVIENDA PARA REFORMAR Evernest presenta esta exclusiva propiedad exterior, ubicada en la tercera planta de un emblemático edificio clásico de 1900 en el prestigioso barrio de Justicia. Esta vivienda, con una privilegiada orientación este, se distingue por su excepcional luminosidad natural, que inunda cada estancia a lo largo del día, realzando el carácter y el potencial de sus espacios. Al acceder a la vivienda, nos encontramos con un amplio salón principal, que destaca por sus dos elegantes balcones a la calle, los cuales no solo aportan luminosidad y ventilación, sino que también ofrecen una conexión directa con el encanto urbano del barrio y vistas despejadas a su icónica arquitectura. Gracias a sus techos altos y a la distribución diáfana, este espacio permite múltiples opciones de reforma para adaptarlo a los gustos y necesidades del comprador. El inmueble se encuentra en estado para reformar, lo que brinda una oportunidad inmejorable para diseñar un hogar a medida, combinando el encanto de una finca histórica con las comodidades contemporáneas. Su versatilidad hace posible su uso tanto como vivienda de lujo como oficina o despacho profesional, convirtiéndolo en una opción atractiva tanto para aquellos que buscan un hogar con carácter como para inversores que deseen obtener una rentabilidad en una de las zonas más demandadas de Madrid. Ubicada en el corazón de Justicia, una de las zonas más sofisticadas y vibrantes de la capital, la vivienda se encuentra rodeada de una excepcional oferta cultural, gastronómica y comercial. A pocos pasos de enclaves tan emblemáticos como la Gran Vía, el barrio de Salesas o el Mercado de San Antón, ofrece un estilo de vida único donde la tradición y la modernidad se fusionan a la perfección. No deje pasar esta oportunidad de crear un espacio único en un entorno privilegiado. Contáctenos para más información o para concertar una visita.",True,renew,False,True,8248.0,True,False,False,False,[],False,False,1130000.0,€,flat,"Chueca-Justicia, Madrid","Piso en calle de Hortaleza, 9",,,,,,,,,
108530858,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/23/4d/1347834154.webp,4526-06917,63,4,594999.0,penthouse,sale,163.0,True,3,2,AV INTEGRACION,Madrid,Rivas-Vaciamadrid,Rivas Urbanizaciones,es,,40.3598283,-3.5427102,False,https://www.idealista.com/inmueble/108530858/,"**Ático Exclusivo en Rivas Vaciamadrid - ¡Tu nuevo hogar te espera! * Descubre este espectacular ático en Rivas Vaciamadrid, un espacio que combina comodidad y elegancia en cada rincón. Con 163 m² construidos, cuenta con tres amplios dormitorios y dos baños modernos, perfectos para disfrutar de la tranquilidad familiar. El salón-comedor es un lugar ideal para compartir momentos inolvidables, con acceso a una terraza acristalada que se convierte en el escenario perfecto para disfrutar de la familia o amigos, una zona de lectura o incluso un gimnasio personal. La cocina independiente también tiene acceso a la terraza, facilitando la conexión entre los espacios y permitiendo disfrutar del aire fresco mientras cocinas. El dormitorio principal es un verdadero refugio, con baño privado y salida directa a la terraza, donde podrás relajarte al final del día. Las otras dos habitaciones son luminosas y ofrecen acceso a una segunda terraza privada, ideal para disfrutar del sol y las vistas a los jardines. Las zonas comunes son un verdadero lujo: más de 10.000 m² que incluyen dos piscinas (una para adultos y otra infantil), pistas de pádel, pista multiusos y amplias áreas ajardinadas. Además, la plaza de garaje está incluida y se accede fácilmente desde el ascensor.  La ubicación es inmejorable, con excelente conexión al centro de Madrid y cercanía a colegios, centros deportivos y parques infantiles. Este ático es perfecto para familias, profesionales o quienes buscan un estilo de vida tranquilo sin renunciar a las comodidades urbanas. No dejes pasar la oportunidad de vivir en una ciudad moderna y en expansión, donde la educación y el deporte son prioridades. ¡Contáctanos para más información y ven a visitarlo! No pierdas la oportunidad de vivir en este fantástico piso, que combina comodidad, funcionalidad y una ubicación inmejorable. ¡Llama ahora y agenda tu visita! Impuestos y gastos NO INCLUIDOS: ITP, Notaría, Registro, gestoría, tasación y Gastos. Los datos específicos sobre la finca publicada, pueden ser aproximados, por ello no son vinculantes ni contractuales, se muestran a título informativo.",True,good,False,True,3650.0,True,False,False,False,[],False,False,594999.0,€,flat,"Rivas Urbanizaciones, Rivas-Vaciamadrid",Ático en Av Integracion,True,True,penthouse,,,,,,
108826582,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/18/cb/bb/1356271834.webp,w-v- callao,22,3,295000.0,flat,sale,39.0,False,1,1,Barrio Sol,Madrid,Madrid,Centro,es,Sol,40.4201294,-3.7027313,False,https://www.idealista.com/inmueble/108826582/,"¡Oportunidad única en el corazón de Madrid! Este hermoso piso de 3ª planta, lleno de luz natural en el dormitorio, combina historia y confort en un edificio del año 1892, cuidadosamente conservado y protegido por su valor arquitectónico por la Comunidad de Madrid. La vivienda cuenta con un amplio salón comedor ideal para disfrutar en familia o con amigos, un dormitorio espacioso y luminoso, un baño completo y una moderna cocina americana en perfecto estado. Todo en la propiedad ha sido cuidado con mucho mimo, garantizando un ambiente acogedor y listo para entrar a vivir. Ubicado a solo 1 minuto de la emblemática Gran Vía, este piso te ofrece la comodidad de vivir en una zona vibrante, con fácil acceso a todos los servicios y transporte. Además, la comunidad cuenta con la pasada favorable de la ITE, asegurando su excelente estado y conservación. ¡No pierdas la oportunidad de vivir en un enclave privilegiado con historia y encanto! Contacta con nosotros para más información y agenda tu visita.",False,good,False,True,7564.0,True,False,False,False,[],False,False,295000.0,€,flat,"Sol, Madrid",Piso,,,,,,,,,
108493628,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1d/f3/4d/1339918955.webp,P2 4ºC,6,4,245000.0,flat,sale,88.0,True,2,2,"calle Santón, 12",Madrid,Valdemoro,Centro,es,,40.1925613,-3.6773235,True,https://www.idealista.com/obra-nueva/108493628/,"Residencial San Antón. Viviendas de 1, 2 y 3 dormitorios de renta libre, garajes y sala polivalente. 60 % VENDIDO  Suelo radiante por aerotermia.  Cocinas completamente amuebladas incluidos todos los electrodomésticos.  Con el privilegio de vivir en el centro de Valdemoro.",False,,True,True,2784.0,True,False,False,False,[],False,False,245000.0,€,flat,"Centro, Valdemoro","Piso en calle Santón, 12",True,True,,False,,,,,
108267916,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ed/92/eb/1339036740.webp,H601,25,5,739900.0,flat,sale,121.0,True,3,1,calle de la Infanta Mercedes,Madrid,Madrid,Tetuán,es,Cuzco-Castillejos,40.4566423,-3.6957267,False,https://www.idealista.com/inmueble/108267916/,"HARO GESTION INMOBILIARIA pone a la venta estupendo piso situado en la prestigiosa zona de Cuzco y muy próxima al Santiago Bernabéu, finca señorial, 5º planta, exterior, con 2 ascensores. Distribuidos en: hall recibidor, pasillo, cocina independiente, amplio salón comedor con terraza, 3 habitaciones con armarios empotrados, 1 baño, exterior, bastante luminoso. 121m2, suelos de gres - parquet, ventanas de aluminio, armario empotrado, calefacción central, orientación sur/este Zona con todo tipo de comercios y servicios de restauración, oficinas, bancos, supermercados, gimnasios entre otros, transporte público, metro, Renfe y autobús en la puerta de casa. Contacte con nosotros y le informaremos detalladamente. Visítenos en calle Aviador Zorita, 7 local 1-2-3-4 o en calle Infanta Mercedes 53, local 3 Asesor Inmobiliario: Freddy Ramírez.",True,renew,False,True,6115.0,True,False,False,False,[],False,False,739900.0,€,flat,"Cuzco-Castillejos, Madrid",Piso en calle de la Infanta Mercedes,,,,,749000.0,9100.0,1.0,,
108864384,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c9/a4/99/1357380172.webp,2292,20,1,235000.0,flat,sale,67.0,True,3,1,calle de Carlos Martín Álvarez,Madrid,Madrid,Puente de Vallecas,es,San Diego,40.3873301,-3.6669597,False,https://www.idealista.com/inmueble/108864384/,"S C A L A | Properties presenta esta vivienda exterior de 3 dormitorios en Vallecas. Ubicada en una primera planta, cuenta con un patio comunitario de uso privado de 33 m². Según accedemos a la vivienda encontramos la zona de salón, es una estancia interior con una superficie útil de 14m2, junto al salón tenemos una estancia anexa de comedor que tiene una superficie de 9m² y acceso directo al patio. La zona de noche cuenta con tres dormitorios, dos de los cuales son exteriores y un tercer dormitorio interior pero igualmente muy luminoso ya que da al patio. En el pasillo junto al tercer dormitorio hay un cuarto de baño completo con plato de ducha. Cocina independiente equipada con todos los electrodomésticos. Calefacción y agua caliente por caldera de gas. Aire acondicionado por split. Gastos de comunidad 40€. ITE FAVORABLE.",True,good,False,False,3507.0,True,False,False,False,[],False,False,235000.0,€,flat,"San Diego, Madrid",Piso en calle de Carlos Martín Álvarez,,,,,,,,Destacado,
108897175,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/af/94/1358265867.webp,,23,2,249999.0,flat,sale,58.0,True,2,1,Barrio Valdeacederas,Madrid,Madrid,Tetuán,es,Valdeacederas,40.4665745,-3.7036809,False,https://www.idealista.com/inmueble/108897175/,"Inmobiliaria en Tetuán, Valdeacederas - Tecnocasa OFICINA VALDEACEDERAS SL vende piso en el corazón del municipio de Madrid, ideal para quienes buscan comodidad y funcionalidad. Esta propiedad ofrece un hall, dos dormitorios, salón, cocina independiente y baño completo con ventana. Dispone de calefacción de gas natural y se encuentra para actualizar. La distribución del espacio está pensada para aprovechar cada metro cuadrado, ofreciendo un ambiente cálido y acogedor. La ubicación es otro de sus atractivos, con acceso a servicios, transporte y zonas de ocio, lo que facilita el día a día y permite disfrutar de todo lo que Madrid tiene para ofrecer. Esta propiedad es una oportunidad para quienes buscan un hogar funcional en una zona bien conectada. Muchas posibilidades.",False,renew,False,False,4310.0,True,False,False,False,[],False,False,249999.0,€,flat,"Valdeacederas, Madrid",Piso,,,,,,,,,
108681261,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1c/82/01/1351968140.webp,,20,4,450000.0,flat,sale,121.0,True,3,1,calle de San Emilio,Madrid,Madrid,Ciudad Lineal,es,Ventas,40.4264975,-3.6580196,False,https://www.idealista.com/inmueble/108681261/,"Agencia Inmobiliaria de MADRID. - Zona EL CARMEN - RICARDO ORTIZ - CUIDAD LINEAL VENDE: Exclusiva vivienda con grandes posibilidades de personalización en urbanización privada de San Emilio Descubre esta luminosa y espaciosa vivienda de 120 m² construidos, ubicada en una cuarta planta con ascensor, dentro de una cuidada urbanización privada que cuenta con servicio de portería, plaza de garaje comunitaria (no cubierta), y una atmósfera de tranquilidad y seguridad difícil de igualar. El edificio dispone de doble puerta de acceso y portal adaptado a personas con movilidad reducida. La vivienda destaca por su excelente distribución, su doble orientación y su ventilación cruzada, lo que garantiza una iluminación natural constante y una sensación de amplitud en todas las estancias. Se distribuye en: •Un amplio hall de entrada, que da paso a la zona noble de la vivienda. •Cocina independiente de gran tamaño, con espacio para office, un cuarto auxiliar tipo despensa y salida a una terraza/lavadero cubierta, perfecta como zona de colada y almacenaje. •Tres dormitorios de muy buen tamaño, todos exteriores y con gran luminosidad. •Un baño completo con plato de ducha, cómodo y con posibilidad de redistribución. •Salón comedor muy amplio, con zonas diferenciadas para estar y comedor, y salida directa a una agradable terraza exterior, ideal para crear un espacio chill-out, poner una mesa de desayuno o simplemente disfrutar del aire libre. La vivienda se encuentra en estado de origen, lo que representa una oportunidad perfecta para diseñar un hogar a medida, con acabados y distribución totalmente personalizados, adaptados a los gustos y necesidades actuales. Su planta cuadrada y la abundancia de luz natural ofrecen un gran margen de transformación. Un entorno residencial privilegiado Ubicada en la calle San Emilio, esta propiedad se sitúa en una de las zonas residenciales más valoradas del distrito de Ciudad Lineal, por su combinación de tranquilidad, zonas verdes y excelentes comunicaciones. A nivel de transporte, cuenta con rápido acceso a las líneas de metro de La Elipa (L2) y El Carmen (L5), además de múltiples líneas de autobús. El acceso en coche es igualmente cómodo, con salidas directas a la M-30 y la A-2. En cuanto a servicios sanitarios, la vivienda se encuentra a pocos minutos del Hospital Universitario Gregorio Marañón, el Hospital Quirónsalud San José y el Hospital de la Princesa, así como de varios centros de salud y clínicas privadas. El entorno ofrece una gran variedad de colegios, supermercados, zonas deportivas, parques y centros culturales, y está a escasos pasos del Parque El Calero, un pulmón verde ideal para pasear, hacer deporte o disfrutar en familia. Además, el barrio se encuentra en pleno proceso de modernización, con proyectos de rehabilitación urbana, mejoras en el espacio público y el impulso de nuevas infraestructuras que revalorizan la zona año tras año. Una oportunidad única de inversión y calidad de vida. Luz, espacio, tranquilidad y posibilidades infinitas te esperan aquí. ¿Buscas viviendas de esta tipología? Acuda a nuestra oficina en la Calle Ricardo Ortiz 29 (Tecnocasa) y nuestros asesores le ampliaran la información sobre está u otras viviendas. PASE SU PROPUESTA Y APROVECHE EL MOMENTO. En nuestra oficina también le podemos ofrecer asesoramiento financiero y profesional de forma gratuita y ofrecerle los productos financieros del mercado más ventajosos para usted.",True,renew,False,True,3719.0,True,False,False,False,[],False,False,450000.0,€,flat,"Ventas, Madrid",Piso en calle de San Emilio,True,True,,,480000.0,30000.0,6.0,,
