propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,newDevelopmentFinished,parkingSpace.parkingSpacePrice
108648631,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7c/02/d8/1350996910.webp,24,2,399000.0,flat,sale,67.0,True,3,1,calle de Jaime el Conquistador,Madrid,Madrid,Arganzuela,es,Chopera,40.3973827,-3.6988882,False,https://www.idealista.com/inmueble/108648631/,"Agencia inmobiliaria de MADRID calle Tomás Borrás 11 - zona DELICIAS- EMBAJADORES. CLICKHAUS. Se vende fantástico piso en Jaime el Conquistador, en una zona inmejorable. Distribuido en: - 3 dormitorios - 1 baños Características de la vivienda: - Calefacción centralizada Datos de la finca: - Ascensor. El barrio de Arganzuela se caracteriza por la variedad y tipología de sus viviendas, se pueden encontrar modernas viviendas en excelentes comunidades a escasos minutos del Matadero y Atocha y excelentemente comunicado con parque del retiro. Es la zona mejor comunicada del distrito, teniendo salidas por carretera y por calles principales. Además cuenta con diversidad de comercios como supermercados, farmacias, hospitales, hoteles, etc. Las líneas de metro que dan servicio a este barrio son la 3 y la 6. Excelente comunicación de autobuses fácilmente comunicados con Atocha, Méndez Álvaro, Madrid Rio y el centro de Madrid. Cualquier pregunta, no dude en contactar con nosotros. Asesor: Marcos 6 8 9 6 3 9 2 5 5.",False,renew,False,True,5955.0,True,False,False,False,[],False,False,399000.0,€,flat,"Chopera, Madrid",Piso en calle de Jaime el Conquistador,,,,,,,,,
108694190,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/04/ef/1197221392.webp,18,bj,169700.0,flat,sale,48.0,True,1,1,calle la Colonial,Madrid,Pinto,Centro - Ayuntamiento,es,,40.2447739,-3.7018796,False,https://www.idealista.com/inmueble/108694190/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. ¿Te imaginas disfrutando de tu hogar en propiedad en una excelente ubicación en Pinto? ¡Testa Homes lo hace realidad! *La vivienda y fotos publicadas corresponden a una vivienda tipo, para más información consulte a su gestor comercial. Vivienda de 48 m² construidos en el centro de Pinto, lista para entrar a vivir. Esta propiedad sin amueblar se encuentra en perfecto estado de alquiler y ofrece una distribución funcional con 1 dormitorio con armario empotrado, un baño completo y una cocina totalmente amueblada y equipada con horno, campana extractora y vitrocerámica. Los suelos de gres aportan durabilidad y fácil mantenimiento. Incluye plaza de garaje en el precio y se aceptan mascotas, para que todos los miembros del hogar se sientan bienvenidos. La comunidad ha sido recientemente renovada y ofrece zonas comunes cuidadas y funcionales. Un entorno tranquilo y seguro, ideal para quienes valoran la comodidad del día a día en un espacio moderno y bien mantenido. Ubicada en pleno centro de Pinto, con todos los servicios esenciales a pocos pasos. Colegios, centro médico, supermercados, restaurantes y zonas verdes conforman un entorno urbano consolidado. Excelente conexión mediante transporte público gracias a la estación de cercanías Pinto, y acceso rápido a la M-506 para quienes se mueven en vehículo privado. Una oportunidad perfecta para vivir con calidad, cercanía y buena conectividad. Horario de atención telefónica de lunes a viernes de 9:00 a 21:00 y sábados de 9:00 a 14:00 horas.  Consulte condiciones y disponibilidad.  *Imágenes orientativas sin carácter vinculante.  **Las imágenes corresponden a un apartamento tipo.  **Viviendas sujetas a disponibilidad y viviendas no amueblada. En Testa Homes, te acompañamos durante todo el proceso de compra de la vivienda y te contamos todo con la mayor transparencia. Además, te ponemos en contacto con un asesor financiero que te informará de las mejores condiciones disponibles. *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,True,3535.0,False,False,False,False,[],False,False,169700.0,€,flat,"Centro - Ayuntamiento, Pinto",Piso en calle la Colonial,8061,,,,,,,,
108774851,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/56/af/d2/1354744414.webp,16,2,260000.0,flat,sale,85.0,False,2,1,Brunete,Madrid,Brunete,,es,,40.4049004,-4.000203,False,https://www.idealista.com/inmueble/108774851/,"***** B-HOME FINANCIA HASTA EL 100% DE ESTE INMUEBLE ***** ¡OPORTUNIDAD EN EL CENTRO DE BRUNETE! LUMINOSO PISO DE 2 HABITACIONES Se vende acogedora vivienda situada en pleno centro de Brunete, ideal tanto para vivir como para invertir. El piso cuenta con dos amplias habitaciones, un baño completo, y una cocina y salón muy espaciosos, perfectos para disfrutar en familia o con amigos. La vivienda destaca por su excelente entrada de luz natural durante todo el día, lo que la hace especialmente cálida y confortable. Su distribución es funcional, con estancias bien aprovechadas que ofrecen una gran sensación de amplitud. Ubicada en una zona tranquila pero muy céntrica, con todos los servicios a pocos pasos: supermercados, transporte público, colegios, zonas verdes y comercios. ¡No dejes pasar esta oportunidad! Contacta para más información o concertar una visita.",False,good,False,True,3059.0,True,False,False,False,[],False,False,260000.0,€,flat,Brunete,Piso,BHA201,267000.0,7000.0,3.0,,,,,
101733675,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3f/87/c7/1246135208.webp,63,,1200000.0,chalet,sale,150.0,,3,3,calle Araiz,Madrid,Madrid,Moncloa,es,Aravaca,40.4613031,-3.7795453,False,https://www.idealista.com/inmueble/101733675/,"¡Descubre tu hogar ideal en Aravaca con TGG INMOBILIARIA!  Te presentamos una exquisita casa independiente, totalmente reformada con los más altos estándares de calidad y elegancia.  Este encantador chalet, ubicado en una de las zonas más deseables de Aravaca, ofrece un ambiente de lujo y comodidad para toda tu familia.  Con una distribución impecable de 149 metros cuadrados, esta propiedad de dos plantas te brinda el espacio que necesitas para vivir a plenitud. Además, cuenta con un jardín privado de 85 metros cuadrados, perfecto para disfrutar de momentos al aire libre en completa privacidad.  En la planta baja, serás recibido por un espacioso salón inundado de luz natural, resaltado por techos altos y una encantadora chimenea que añade calidez al ambiente. La cocina independiente, equipada con electrodomésticos de primera calidad y muebles a medida, se convierte en el corazón de la casa, ofreciendo un espacio ideal.  Además, en esta planta encontrarás un conveniente aseo de cortesía y un armario empotrado doble que garantiza un óptimo almacenamiento  La planta inferior cuenta con tres acogedores dormitorios junto con dos baños completos. Cada dormitorio, cuenta con armarios empotrados, ofrece un oasis de tranquilidad para descansar y recargar energías. El dormitorio principal, con su propio vestidor y baño en suite, se convierte en un refugio de lujo dentro de tu propio hogar.  Ubicada en Aravaca, esta casa ofrece una excelente conexión con Moncloa y A6 a través de varias líneas de autobuses, garantizando una movilidad conveniente para ti y tu familia. Además, cuenta con instalación de aire acondicionado por conductos, puerta blindada y video portero para tu tranquilidad y seguridad.    No pierdas la oportunidad de vivir en este exclusivo hogar en Aravaca.  SI ESTÁ PENSANDO EN VENDER O ALQUILAR UNA PROPIEDAD, CUENTE CON LA INMOBILIARIA MEJOR VALORADA DE NUESTRA ZONA: TGG INMOBILIARIA. Los datos de este anuncio son meramente informativos, no vinculantes ni contractuales, y pueden ser susceptibles de contener errores. Se informa al cliente que los gastos de notaría, tasación, registro, gestoría, impuesto de transmisiones, gastos financieros, gastos de gestión u honorarios de intermediación de la agencia, y/o cualquier otro gasto inherente a la compraventa, no están incluidos en el precio publicado y corresponden a la parte compradora.",True,good,False,,8000.0,True,False,True,False,[],False,False,1200000.0,€,chalet,"Aravaca, Madrid",Casa independiente en calle Araiz,TGG-2200071,,,,True,True,independantHouse,,
105221089,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/88/fc/1245589387.webp,8,1,889000.0,flat,sale,99.0,True,2,2,Barrio Sol,Madrid,Madrid,Centro,es,Sol,40.4189371,-3.7061815,False,https://www.idealista.com/inmueble/105221089/,"Inmueble totalmente reformado y equipado en el centro de Madrid. Este fantástico piso combina una decoración contemporánea con otros elementos más clásicos, con un resultado moderno y elegante. Se distribuye en 2 habitaciones y 2 baños, uno de ellos en suite. Se entrega totalmente amueblado con muebles de diseño hechos a medida, acabados en madera y una excelente iluminación mediante luces LED. Por su excelente ubicación y su lujoso interior elegantemente decorado, este apartamento es perfecto para quienes desean disfrutar de una de las mejores zonas de Madrid. Dispone de aire acondicionado y calefacción gas natural. IBI: 70€ Comunidad: 436,9€ La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa con sólida experiencia formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes nacionales e internacionales. Somos un referente en el mercado español, ofreciendo un servicio completo con viviendas residenciales de alta calidad y una amplia gama de servicios inmobiliarios, cubriendo tanto el área privada como el área comercial para conseguir que personas físicas jurídicas, instituciones e inversores queden plenamente satisfechos con nuestros servicios.",False,good,False,True,8980.0,True,False,False,False,[],False,False,889000.0,€,flat,"Sol, Madrid",Piso,3195,,,,,,,,
107976626,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b8/10/0c/1330002702.webp,9,2,2240000.0,flat,sale,210.0,True,3,3,Barrio Almagro,Madrid,Madrid,Chamberí,es,Almagro,40.4341264,-3.6890052,False,https://www.idealista.com/inmueble/107976626/,"Fortuny Real Estate ofrece en una de las calles más elegantes del barrio de Almagro, en el distinguido distrito de Chamberí, esta luminosa vivienda exterior de 210 m² situada en una segunda planta de una finca representativa con plaza de garaje incluida en el precio. La propiedad, actualmente para reformar, ofrece una excelente distribución con amplios espacios y múltiples posibilidades de actualización. Dispone de 3 dormitorios y 3 baños, con una configuración que permite adaptar el espacio a distintas necesidades, tanto familiares como profesionales. La mayor parte de la vivienda disfruta de agradables vistas a zonas ajardinadas, lo que aporta tranquilidad y luminosidad a las estancias principales. Además, cuenta con una pequeña terraza, perfecta para disfrutar del aire libre, un trastero para almacenaje adicional y una valiosa plaza de garaje en la misma finca, algo poco común en la zona. Una oportunidad única para quienes buscan crear un hogar a medida en una de las zonas más cotizadas y residenciales de Madrid, rodeada de edificios señoriales, embajadas y todos los servicios a pocos pasos. La gran mayoría de los inmuebles que tenemos en esta zona solo se encuentran en nuestra web. Visite nuestra página y descubra exclusivas viviendas. Fortuny Madrid Real Estate es una empresa con sólida experiencia formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes nacionales e internacionales. Somos un referente en el mercado español, ofreciendo un servicio completo con viviendas residenciales de alta calidad y una amplia gama de servicios inmobiliarios, cubriendo tanto el área privada como el área comercial para conseguir que personas físicas jurídicas, instituciones e inversores queden plenamente satisfechos con nuestros servicios.",False,renew,False,True,10667.0,True,False,False,False,[],False,False,2240000.0,€,flat,"Almagro, Madrid",Piso,PIS5671,,,,True,True,,,
102172047,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/52/96/8e/1146719724.webp,44,1,2550000.0,flat,sale,510.0,True,5,2,calle de Maldonado,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4331383,-3.6844781,False,https://www.idealista.com/inmueble/102172047/,"¡En venta! Te ofrecemos toda una planta bien espaciosa de 223 m2, perfecta para ti si buscas un consultorio médico, odontológico, un espacio de coworking o cualquier otro negocio. Incluso, si lo prefieres, puedes convertirla en dos coquetas viviendas. Y eso no es todo, ¡también hay una planta baja con un increíble garaje de 268 m2 para ni más ni menos que 16 coches! Esta joyita se encuentra en una zona inmejorable del distrito Salamanca, muy cerca de la estación de metro Núñez de Balboa y de la famosa calle Velázquez. No tienes excusa para no darle una oportunidad. Te recomendamos que nos llames y pidas una cita para visitarla y evaluar todas las posibilidades que este espacio ofrece para tu futura inversión. ¡Te esperamos! An entire first floor is SOLD with 223 m2 open plan, excellent for medical, dental, coworking, or other offices, with a 268 m2 garage for 16 cars. Excellent area of the SALAMANCA neighborhood, near the Nuñez de Balboa metro, and Velázquez street. Better to make an appointment to visit and be able to value it for your business.",False,good,False,True,5000.0,True,False,False,False,[],False,False,2550000.0,€,flat,"Castellana, Madrid",Piso en calle de Maldonado,JAPL22-91-v,,,,True,True,,,
108729703,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/9f/0d/1353423608.webp,23,2,318000.0,flat,sale,103.0,True,3,2,calle Teresa de Calcuta,Madrid,Valdemoro,Hospital,es,,40.2023868,-3.690424,False,https://www.idealista.com/inmueble/108729703/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. ¿Te imaginas disfrutando de tu hogar en propiedad en una excelente ubicación en Valdemoro? ¡Testa Homes lo hace realidad! *La vivienda y fotos publicadas corresponden a una vivienda tipo, para más información consulte a su gestor comercial. Amplia vivienda sin amueblar de 103 m² construidos en Valdemoro, ideal para familias que buscan espacio, seguridad y comodidad. Consta de 3 dormitorios con armarios empotrados en cada estancia, 2 baños completos con muebles y mamparas, y una cocina totalmente amueblada y equipada con electrodomésticos de primeras marcas. Los suelos de tarima y la puerta de seguridad aportan calidez y tranquilidad. Incluye plaza de garaje y trastero en el precio. Vivienda apta para mascotas, pensada para que cada miembro del hogar tenga su espacio. La finca privada ofrece zonas comunes modernas y renovadas que elevan la experiencia residencial. Piscina comunitaria de agua salada, amplias zonas verdes, área de juegos infantiles, pista de pádel, ascensor y servicio de portería física, todo cuidadosamente diseñado para el bienestar diario de sus residentes. Ubicada en la zona norte de reciente creación en Valdemoro, perfectamente comunicada con la A-4. En sus alrededores encontrarás supermercados, locales de ocio y restauración, centros educativos, centros de salud y zonas deportivas. Un enclave residencial completo y funcional que combina calidad de vida y conectividad. Horario de atención telefónica de lunes a viernes de 9:00 a 21:00 y sábados de 9:00 a 14:00 horas.  Consulte condiciones y disponibilidad.  *Imágenes orientativas sin carácter vinculante.  **Viviendas sujetas a disponibilidad y viviendas no amueblada. *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,True,3087.0,False,False,False,False,[],False,False,318000.0,€,flat,"Hospital, Valdemoro",Piso en calle Teresa de Calcuta,10544,,,,True,True,,,
106696737,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/65/38/d7/1291265019.webp,40,,1489000.0,chalet,sale,361.0,,8,7,Portillo de la Mina,Madrid,Collado Villalba,Fontenebro - Altavista,es,,40.6528498,-3.9710977,False,https://www.idealista.com/inmueble/106696737/,"Gilmar pone en venta chalet exclusivo en urbanización ""Dominio de Fontenebro "" Collado Villalba. Con Vigilancia 24 h, club social, restaurantes y vistas de la Sierra. La vivienda esta distribuida en tres plantas y consta de ocho habitaciones y seis baños. El edificio esta construido por estructura y cimentación de hormigón armado, la fachada es de enfoscado a la tirolesa, la cubierta de teja árabe. Con garaje y trastero, se divide en planta baja con un gran hall, salón comedor de amplias dimensiones y chimenea, despacho y cocina, comedor exterior y porche acristalado, zona lavandería, dormitorio de servicio con baño incorporado, suelos de mármol, el el otro ala de la vivienda tres habitaciones una de ellas con baño en suite mas un baño. Escalera de caracol en salón que distribuye la casa, en la primera planta encontramos salón, tres habitaciones más y une de ellas con baño en suite más terraza. Pista de tenis y zona de barbacoa. parcela de tres mil novecientos metros y elementos diferenciales óptimos.",False,good,False,,4125.0,False,False,False,False,[],False,False,1489000.0,€,chalet,"Fontenebro - Altavista, Collado Villalba",Casa independiente en Portillo de la Mina,FP204172,,,,True,True,independantHouse,,
108602651,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/b9/08/1349698647.webp,45,,295000.0,chalet,sale,281.0,,4,2,UR VALDEPERALES DE ABAJO,Madrid,Perales de Tajuña,,es,,40.2182695,-3.3424289,False,https://www.idealista.com/inmueble/108602651/,"¡DOS CASAS EN UNA! Tu hogar es tu Fortaleza y tiene que aportarte todo lo bueno que os merecéis tu y los tuyos, incluida tu mascota que dará largos paseos entre naturaleza. En esta casa encontrarás todo lo que siempre has deseado para tener calidad de vida. Llegar del trabajo y descansar sin ruidos, respirar aire puro, relajarte del duro día y sentir paz y tranquilidad. Pero también te da la posibilidad de disfrutar en familia y con amigos, organizar las grandes fiestas que a todos nos gustan y que nos dejan los mejores recuerdos. La parcela está distribuida en diferentes espacios multifuncionales, cómo amplia terraza de más de 100m2, patio de 77 m2 aprox. y una zona chillout perfecta para la última copa del día o para practicar con el karaoke. Si te gusta comer sano también tiene arboles frutales y zona para plantar tu propio huerto.  ¡No te faltará un lugar donde poder pasarlo bien!  Otra de las características más especiales de esta casa es su distribución, al contar en la planta baja con un coqueto apartamento tipo LOFT, perfecto para las familias que tengan que cuidar de los padres o de las que tienen hijos ya adolescentes que prefieren iniciar su independencia, por eso son DOS CASAS EN UNA.    DISTRIBUCIÓN: Planta baja. - Loft de 35m2 distribuidos en zona de descanso, vestidor, baño completo, amueblado y con ducha, cocina equipada y trastero de unos 40m2 aprox. Es totalmente independiente y con salida a la terraza con vistas de mas de 100m2.  Planta Principal. - Gran salón-comedor de 35m2 con chimenea, muy acogedor y con unas vistas al pueblo inmejorables, es un placer sentarte en la mesa del comedor y mirar por sus grandes ventanales además de la luminosidad que tiene. Tres dormitorios, todos con armarios empotrados, baño completo con ducha totalmente reformado, cocina totalmente equipada y amueblada con una cómoda salida al patio donde se encuentra la barbacoa.  Toda la vivienda es exterior, muy luminosa y está para entrar a vivir y disfrutarla. Si teletrabajas desde casa no te preocupes porque hay conexión a internet con ¡FIBRA OPTICA! La ubicación es perfecta al estar rodeada de naturaleza y a la vez muy cerca del centro del pueblo de Perales, donde encontrarás colegios, comercios, polideportivo, restaurantes. y bus que te lleva a diferentes poblaciones cercanas y a Madrid (Conde de Casal) con buena comunicación por la NIII. ¡Tienes que venir a verla para poder apreciar todo lo que la casa te ofrece!",False,good,False,,1050.0,True,False,False,False,[],False,False,295000.0,€,chalet,Perales de Tajuña,Casa independiente en Ur Valdeperales De Abajo,VALDEPERALES,,,,True,True,independantHouse,,
