propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished,parkingSpace.parkingSpacePrice
108804553,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/68/ba/b4/1355643169.webp,BAS_VIOLETERA2,66,bj,269900.0,flat,sale,119.0,True,3,2,CL LA VIOLETERA,Madrid,Madrid,Puente de Vallecas,es,Palomeras Bajas,40.380744,-3.6553331,False,https://www.idealista.com/inmueble/108804553/,"**Piso en Venta en Palomeras Bajas - Oportunidad Única** Descubre este acogedor piso en planta baja, situado en una ubicación privilegiada de Palomeras Bajas. Con un total de 119 m² construidos, este hogar cuenta con tres amplios dormitorios y dos baños, uno de ellos completo. El salón-comedor es perfecto para disfrutar de momentos en familia, mientras que la cocina amueblada ofrece un espacio funcional para tus recetas. Los suelos de parqué aportan calidez y elegancia a cada rincón. Este piso destaca por su excelente iluminación gracias a su doble orientación Norte-Sur, proporcionando un ambiente luminoso y confortable. Además, cuenta con aire acondicionado en el salón y la habitación principal, así como calefacción por gas natural para esos días más fríos. Incluye dos plazas de garaje, una de ellas ideal para coches pequeños o motos, y un trastero de 4 m² con una altura impresionante, perfecto para almacenar todo lo que necesites. La comunicación es excepcional, con fácil acceso a las principales vías como M30, M40 y A3. Además, la zona está bien conectada por transporte público, incluyendo la estación de Cercanías El Pozo y varias líneas de autobús. La cercanía a colegios, centros comerciales, restaurantes y servicios como centros de salud y farmacias hace de este lugar un entorno ideal para vivir. No dejes pasar la oportunidad de adquirir este piso que combina comodidad, ubicación y potencial. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,renew,False,True,2268.0,True,False,False,False,[],False,False,269900.0,€,True,True,flat,"Palomeras Bajas, Madrid",Piso en Cl La Violetera,,,,,,
108694186,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/af/1b/78/1352357152.webp,10526,26,6,325000.0,flat,sale,64.0,,2,1,avenida de Madrid,Madrid,Tres Cantos,Primera Fase - Nuevo Tres Cantos,es,,40.615883,-3.7218222,False,https://www.idealista.com/inmueble/108694186/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. Vivienda sin amueblar de 64 m² construidos en el nuevo Tres Cantos, diseñada para ofrecer confort, funcionalidad y estilo. Dispone de 2 dormitorios con armarios empotrados, un baño completo con mueble bajo lavabo y mampara de vidrio, y una cocina totalmente equipada con electrodomésticos de primeras marcas: nevera, lavadora, lavavajillas, horno y microondas. Los suelos de parqué aportan calidez y elegancia a cada estancia. Incluye plaza de garaje y trastero en el precio, y se aceptan mascotas, para que todos los miembros del hogar se sientan bienvenidos. La urbanización privada ofrece completas zonas comunes pensadas para el bienestar diario. Disfruta de piscina exterior, pista de pádel y parque infantil, en un entorno seguro y tranquilo ideal para familias o quienes valoran la calidad de vida. Ubicada en la zona del nuevo Tres Cantos, una de las áreas residenciales más tranquilas y modernas del norte de Madrid. Rodeada de amplias avenidas, zonas verdes y todos los servicios esenciales, con excelente acceso a la M-607 (autovía de Colmenar Viejo), lo que garantiza una conexión rápida con la capital. Una oportunidad perfecta para vivir en un entorno equilibrado entre naturaleza, comodidad y conectividad. Horario de atención telefónica de lunes a viernes de 9:00 a 21:00 y sábados de 9:00 a 14:00 horas.  Consulte condiciones y disponibilidad.  *Imágenes orientativas sin carácter vinculante.  **Las imágenes corresponden a un apartamento tipo.  **Viviendas sujetas a disponibilidad y viviendas no amueblada. En Testa Homes, te acompañamos durante todo el proceso de compra de la vivienda y te contamos todo con la mayor transparencia. Además, te ponemos en contacto con un asesor financiero que te informará de las mejores condiciones disponibles. *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,True,5078.0,False,False,False,False,[],False,False,325000.0,€,True,True,flat,"Primera Fase - Nuevo Tres Cantos, Tres Cantos",Piso en avenida de Madrid,,,,,,
108619364,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9b/a4/ff/1351012140.webp,,35,2,380000.0,flat,sale,111.0,False,3,2,avenida de Javier Bueno,Madrid,Getafe,Buenavista,es,,40.3010613,-3.7557544,False,https://www.idealista.com/inmueble/108619364/,"Piso moderno con gran terraza en urbanización exclusiva del barrio de Buenavista! Vivienda seminueva en una de las mejores urbanizaciones de Buenavista. Piso de 87 m² útiles, muy luminoso y con excelente distribución.  3 dormitorios con armarios empotrados.  2 baños completos (uno en suite).  Salón independiente de 21 m².  Cocina equipada con tendedero.  Espectacular terraza de 11 m², accesible desde salón.  Aire acondicionado por conductos.  Suelos de tarima, ventanas climalit oscilobatientes (todas con mosquitera), puertas lacadas en blanco. Incluye plaza de garaje (30m²) y trastero (8 m²). Urbanización cerrada con: Piscina comunitaria. Cancha de baloncesto / fútbol. Parque infantil. Zonas comunes cuidadas. � Excelente ubicación: Fácil acceso a A-42 y M-50 Cerca de metro y Cercanías Getafe Paradas de autobús, colegios, centro de salud y centro comercial Getafe 3 a pocos minutos Ideal para familias o quienes buscan calidad de vida a pocos minutos de Madrid. ¡Listo para entrar a vivir! No dejes pasar esta oportunidad.",False,good,False,True,3423.0,True,False,False,False,[],False,False,380000.0,€,True,True,flat,"Buenavista, Getafe",Piso en avenida de Javier Bueno,,,,,,
108705721,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/57/c4/9b/1359105323.webp,Ático Chamberí,20,7,1300000.0,penthouse,sale,108.0,True,2,2,"CL MALAGA, 8",Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4387379,-3.6932913,True,https://www.idealista.com/inmueble/108705721/,"Ático de capricho con dos amplias terrazas abiertas (una de 50 m2 y otra de 30 m2), con las 4 orientaciones y plaza de garaje en el mismo edificio en pleno centro de Madrid. Barrio de Chamberí, muy próximo al Paseo de la Castellana.  La distribución de planta es de forma rectangular con las terrazas bordeando la vivienda. Fue acondicionada 5 años atrás, actualizando instalación eléctrica, tuberías y cerramientos exteriores. Actualmente tiene dos dormitorios y dos baños. Zona residencial exclusiva, muy bien comunicada y con todo tipo de servicios a mano. En los próximos días se facilitará reportaje fotográfico. Pero ofrecemos la posibilidad de poder visitarlo antes y verlo personalmente.",False,good,False,True,12037.0,True,False,False,False,[],False,False,1300000.0,€,True,True,flat,"Nuevos Ministerios-Ríos Rosas, Madrid","Ático en Cl Malaga, 8",penthouse,,,,,
108791567,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/c0/53/1355708087.webp,,20,2,399000.0,flat,sale,67.0,True,3,1,calle de Jaime el Conquistador,Madrid,Madrid,Arganzuela,es,Chopera,40.395158,-3.6985426,False,https://www.idealista.com/inmueble/108791567/,"Agencia inmobiliaria de MADRID calle Tomás Borrás 11 - zona DELICIAS- EMBAJADORES. CLICKHAUS. Se vende fantástico piso en Jaime el Conquistador, en una zona inmejorable. Distribuido en: - 3 dormitorios - 1 baños Características de la vivienda: - Calefacción centralizada Datos de la finca: - Ascensor. El barrio de Arganzuela se caracteriza por la variedad y tipología de sus viviendas, se pueden encontrar modernas viviendas en excelentes comunidades a escasos minutos del Matadero y Atocha y excelentemente comunicado con parque del retiro. Es la zona mejor comunicada del distrito, teniendo salidas por carretera y por calles principales. Además cuenta con diversidad de comercios como supermercados, farmacias, hospitales, hoteles, etc. Las líneas de metro que dan servicio a este barrio son la 3 y la 6. Excelente comunicación de autobuses fácilmente comunicados con Atocha, Méndez Álvaro, Madrid Rio y el centro de Madrid. Cualquier pregunta, no dude en contactar con nosotros. Asesor: Marcos 6 8 9 6 3 9 2 5 5.",False,renew,False,True,5955.0,True,False,False,False,[],False,False,399000.0,€,,,flat,"Chopera, Madrid",Piso en calle de Jaime el Conquistador,,,,,,
108698589,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/a5/99/1352489773.webp,4270,17,1,1550000.0,flat,sale,220.0,True,4,4,calle del Buen Suceso,Madrid,Madrid,Moncloa,es,Argüelles,40.4291337,-3.7206068,False,https://www.idealista.com/inmueble/108698589/,"TORALIA CAPITAL ofrece piso Reformado a Estrenar en Edificio Clásico – Calle del Buen Suceso, Argüelles En el corazón del prestigioso barrio de Argüelles, junto al Parque del Oeste, se encuentra esta espectacular vivienda exterior a estrenar, ubicada en una finca clásica con ascensor. Situada en una primera planta, la vivienda destaca por su luminosidad, gracias a su orientación sur y amplias ventanas en todas las estancias. Los techos de casi 3 metros de altura y la conservación de los suelos originales aportan carácter y elegancia al espacio. La distribución incluye 3 amplios dormitorios, todos con baño en suite y ventilación natural, ofreciendo confort y privacidad. Además, cuenta con armarios empotrados, calefacción central y aire acondicionado. La reforma integral ha sido realizada con materiales y acabados de primeras calidades, combinando el encanto clásico con el diseño contemporáneo. Una vivienda única, lista para entrar a vivir, en una de las zonas más codiciadas de Madrid.",True,good,False,True,7045.0,True,False,True,False,[],False,False,1550000.0,€,,,flat,"Argüelles, Madrid",Piso en calle del Buen Suceso,,,,,,
108166406,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/d0/fc/1335838863.webp,Álvaro,22,4,220000.0,flat,sale,66.0,True,1,1,calle de San Nicomedes,Madrid,Madrid,Usera,es,Moscardó,40.3859588,-3.7127959,False,https://www.idealista.com/inmueble/108166406/,"Agencia inmobiliaria de MADRID - zona USERA - MOSCARDO - PLAZA ELÍPTICA Vende vivienda para entrar a vivir en la calle San Nicomedes, compuesta de 1 Dormitorio (ANTES DOS), Salón, Cocina, Baño y Terraza. Tiene varios puntos a destacar: - Finca residencial. - Vivienda en buen estado. - Vivienda luminosa. - La cercanía a metro de Usera a 10 minutos. - La cercanía a Plaza Elíptica a 2 minutos. Zona perfecta para las familias con zonas verdes en el entorno, bloque muy tranquilo A 15 MINUTOS A PIE DE MADRID RÍO. Fácil acceso a A42, M40, M30 Calle de Antonio López, Avenida de Andalucía, Hospital 12 de octubre, a 10 minutos del metro almendrales línea 3 (Villaverde - Moncloa), autobuses (47, 247 y 60 y búho Nº12 ). Zona con todos los servicios, supermercado próximo. PROXIMAMENTE TOUR VIRTUAL. AVISO LEGAL: Recordamos a nuestros Señores clientes que la información facilitada no constituye una auténtica oferta vinculante ni contractual. Este anuncio publicitario es provisional, y las fotografías y datos en él incluidos están sujetos a posibles modificaciones, consecuencia de exigencias comerciales, jurídicas, técnicas o por mandato expreso de la propiedad. La información aquí contenida procura reflejar una orientación sobre los inmuebles a la fecha de su publicación. La totalidad del contenido que aparece tiene carácter meramente informativo y aproximado, no teniendo, en modo alguno, carácter contractual. Tanto los datos, como las imágenes y planos pueden estar sujetos a cambios, por lo que le invitamos a que, si precisa una información más exacta y detallada, contacte con nosotros y le atenderemos a la mayor brevedad posible. Los contenidos tienen únicamente finalidad informativa y bajo ninguna circunstancia deben usarse ni considerarse como oferta de venta o financiación, solicitud de una oferta de compra o financiación, ni recomendación para realizar cualquier otra transacción, salvo que así se indique expresamente. La información y documentación a ofrecer de acuerdo con lo dispuesto en el Real Decreto 515/1989 (de 21 de abril, relativa a la protección de los consumidores en cuanto a la información a suministrar en la compraventa y arrendamiento de viviendas), será puesta a disposición de los potenciales compradores en las respectivas delegaciones territoriales gestoras del inmueble.",False,good,False,False,3333.0,True,False,False,False,[],False,False,220000.0,€,,,flat,"Moscardó, Madrid",Piso en calle de San Nicomedes,,235000.0,15000.0,6.0,,
108113832,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3e/5b/8d/1334252349.webp,ESC 2 2ºB,9,2,262900.0,flat,sale,111.0,True,2,2,calle ALISO s/n,Madrid,Guadalix de la Sierra,,es,,40.7866284,-3.6962228,True,https://www.idealista.com/obra-nueva/108113832/,"Promoción exclusiva en Guadalix de la Sierra Ya en construcción ¡Últimas viviendas a la venta! Presentamos su nueva promoción Residencial Violeta. El proyecto está compuesto por 51 viviendas de 2, 3 y 4 dormitorios. Bajos con amplios jardín privado y primeras plantas con maravillosas terrazas y áticos de ensueño. Única vivienda de 4 dormitorios en 1ª planta, trastero incluido en el precio La urbanización cuenta con piscina, zona ajardinada, salón social y gimnasio. Las viviendas cuentan con trastero incluido en el precio y 51 Plazas de garaje. Plaza de garaje opcional por 14.990€ (la plaza de garaje nº 13: 17.000€) Las viviendas están equipadas con la última tecnología en sistemas de climatización, Aerotermia para el agua caliente y con suelo radiante caliente con sistema de caldera de gas central y contadores independientes. El diseño elegante y moderno de la urbanización, unido al desarrollo del proyecto en busca de la máxima eficiencia energética a través del equipamiento del edificio, hacen de Residencial Violeta sea la mejor elección para disfrutar de su nuevo hogar. Zona exclusiva por ubicación y tranquilidad con servicio de Autobuses, y su situación próxima a todos los supermercados, centro de salud y zona de ocio.",False,newdevelopment,True,True,2368.0,True,False,False,False,[],False,False,262900.0,€,True,False,flat,Guadalix de la Sierra,Piso en calle Aliso s/n,,,,,False,14990.0
95000465,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/b6/01/1135689821.webp,,45,2,310000.0,flat,sale,102.0,True,3,2,urbanización La Orotava s/n,Madrid,Hoyo de Manzanares,,es,,40.6206617,-3.9154735,True,https://www.idealista.com/inmueble/95000465/,"PROMOCIÓN Y GESTIÓN INMOBILIARIA HOYO DE MANZANARES vende, sin cobrar honorarios al comprador, piso en SEGUNDA planta muy luminosa en la Urbanización La Orotava, con plaza de garaje, no asignada, debajo del mismo edificio y un trastero de 3 m2 aproximadamente en planta baja.    El piso se distribuye en: Salón comedor muy amplio de 23 m2 con chimenea, cocina, tres habitaciones y dos baños. La habitación principal tiene el baño incorporado tipo suite.  La urbanización cuenta con zonas comunes, club social con restaurante, piscinas, parque infantil, dos pistas de tenis, cancha deportiva y pérgola para el disfrute de los residentes.   El piso se encuentra muy cerca del centro del pueblo y tiene parada de autobús 611 a la entrada de la urbanización que comunica Hoyo de Manzanares con Madrid.",True,good,False,False,3039.0,True,True,False,False,[],False,False,310000.0,€,True,True,flat,Hoyo de Manzanares,Piso en urbanización La Orotava s/n,,,,,,
108351873,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d6/5c/67/1344999261.webp,4526-06907,21,2,250000.0,flat,sale,35.0,False,1,1,calle de la Esperanza,Madrid,Madrid,Centro,es,Lavapiés-Embajadores,40.4083451,-3.6997427,False,https://www.idealista.com/inmueble/108351873/,"Apartamento reformado en venta – Calle Esperanza 5, Madrid (Lavapiés/Antón Martín) Presentamos este encantador apartamento recientemente reformado, ubicado en una tranquila y cuidada finca en la calle Esperanza 5, en pleno centro de Madrid. La vivienda se distribuye en un acogedor salón con cocina americana integrada, completamente equipada con electrodomésticos, lo que la convierte en un espacio funcional y moderno. Dispone de un dormitorio independiente, que garantiza privacidad y confort, y un baño con plato de ducha, práctico y actual. Gracias a su excelente ubicación, el apartamento se encuentra muy bien comunicado, a escasos minutos caminando de las estaciones de metro de Antón Martín y Lavapiés. Está rodeado de una amplia oferta cultural, comercial y gastronómica, en una de las zonas más dinámicas y con mayor proyección de la capital. Ideal tanto como primera vivienda como para inversión, esta propiedad ofrece una combinación perfecta de diseño, comodidad y localización. ¡Una oportunidad para vivir o invertir en el centro de Madrid!",True,good,False,False,7143.0,True,False,False,False,[],False,False,250000.0,€,,,flat,"Lavapiés-Embajadores, Madrid",Piso en calle de la Esperanza,,,,,,
