propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
94625354,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/9b/d6/1053788061.webp,WGI00254,28,1,470000.0,duplex,sale,122.0,True,3,3,Sector Descubridores,Madrid,Tres Cantos,Primera Fase - Nuevo Tres Cantos,es,40.6122423,-3.7164668,False,https://www.idealista.com/inmueble/94625354/,"WGI INMOBILIARIA VENDE este LUMINOSO y AMPLIO Ático - Dúplex en el corazón de Tres Cantos tras uno de los paseos más concurridas como es la Avenida Colmenar Viejo, a escasos minutos de la estación de Renfe y Centro Comercial Ciudad de Tres Cantos y muy próximo al parque central de este municipio residencial.    Se trata de un dúplex de 122 m2 de superficie construida, distribuido en 2 plantas. La primera planta con una estancia de salón, que tiene espacio para doble ambiente, uno de ellos zona de estar, otra zona de comedor con amplias ventanas lo que le da mucha luminosidad.    La cocina está equipada con los electrodomésticos integrados, cuenta además con mucho espacio de almacenaje. Acceso a terraza-tendedero perfecto para tender o almacenaje.    La vivienda completamente luminosa y con vista exterior, cuenta con 3 habitaciones dos de ellas con AIRE ACONDICIONADO y armarios empotrados en la segunda planta.    Atractivas Zonas verdes que rodean la comunidad.    El Dúplex está dotado de una plaza de garaje y un muy amplio trastero.    La finca se encuentra en el municipio de Tres Cantos, este municipio residencial es uno de los más asentados de la Capital de España, está dotado de gran cantidad de parques donde pasear con la familia, además de tener un parque central con lago propio donde podemos realizar todo tipo de actividades deportivas para liberar el estrés del trabajo. Está dotado de gran cantidad de Polideportivos municipales con todo tipo de instalaciones deportivas y es un entorno con gran cantidad de opciones recreativas para todas las edades.    El municipio tiene 9 colegios públicos repartidos por toda su extensión y 2 colegios concertados y privados gran cantidad de ellos bilingües, siendo uno de ellos de colaboración Norteamericana-española. Tiene, también, 3 institutos y estando a escasos 8 km de la Universidad Autónoma de Madrid nos ofrece una gran variedad de opciones para una completa educación de los más pequeños de la casa.    Acceso directo a las autopista M-607, carretera que une la zona norte de Madrid con el centro de la capital y acceso directo a las carreteras principales de circunvalación de la capital M-30 y M-40, que nos dan acceso a todas las autopistas nacionales principales A-1, A-2,., A-6. Tiene flota de autobuses interurbanos con acceso directo a Plaza Castilla, nudo principal de distribución por la capital y estación de Renfe C-7 (Tres Cantos) con acceso directo a la Puerta del Sol en el centro de Madrid.    WeGet Inmobiliaria pone a su servicio todas las herramientas necesarias para la gestión de compra de esta vivienda, tanto asesoramiento financiero para conseguir su hipoteca en las mejores condiciones posibles, asesoramiento jurídico, fiscal e inmobiliario en la operación.    No dude en ponerse en contacto con nosotros a través de nuestro teléfono a la derecha del anuncio o vía email y le daremos cuanta información necesite para concertar una visita a la vivienda.",False,good,False,True,3852.0,True,False,False,False,[],False,False,470000.0,€,True,True,flat,duplex,"Primera Fase - Nuevo Tres Cantos, Tres Cantos",Dúplex en Sector Descubridores,,,,,
108474654,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/71/7a/76/1251238691.webp,ALS2518,66,1,825000.0,flat,sale,73.0,True,2,2,"calle de Lope de Rueda, 9",Madrid,Madrid,Barrio de Salamanca,es,40.423013,-3.6771427,True,https://www.idealista.com/inmueble/108474654/,"Magnífico piso en Lope de Rueda en Madrid – Una oportunidad excepcional para alquilar o vender en el corazón de la capital ¿Estás buscando una inversión segura y rentable o un hogar cómodo en una de las zonas más demandadas de Madrid? Este magnífico piso de 2 dormitorios, 2 baños y un amplio salón con cocina americana es la opción perfecta para quienes desean aprovechar las ventajas de vivir o invertir en la capital española. Características principales:  Ubicación privilegiada: Situado en la calle Lope de Rueda, en una zona estratégica y de alta demanda, rodeada de comercios, restaurantes, parques y servicios esenciales. La cercanía a las principales vías de transporte público, como metro, autobuses y trenes, facilita desplazamientos rápidos y cómodos por toda Madrid y sus alrededores.  Luminosidad y diseño moderno: El salón, completamente amueblado, cuenta con tres ventanas que dan a la calle, permitiendo una entrada abundante de luz natural que crea un ambiente cálido y acogedor. La distribución moderna y funcional maximiza el espacio, ideal para vivir con comodidad o para atraer a inquilinos de calidad.  Dormitorios tranquilos y espaciosos: Ambos dormitorios tienen ventanas que dan a un patio amplio y silencioso, proporcionando un entorno de descanso perfecto en medio del bullicio urbano. La vivienda está diseñada para ofrecer privacidad y confort en cada rincón.  Equipamiento completo y servicios incluidos: La vivienda se alquila con todos los servicios contratados, incluyendo internet, agua, electricidad, sábanas, toallas y limpieza semanal, garantizando una estancia sin preocupaciones y con todas las comodidades.  Excelente inversión: Madrid continúa siendo uno de los destinos más atractivos para inversores, con una demanda constante de alquileres tanto de residentes como de estudiantes internacionales y profesionales. La ubicación, la calidad del piso y los servicios incluidos aseguran una alta rentabilidad y una valorización futura del inmueble.  Calidad de vida en la capital: Vivir en Madrid significa disfrutar de una vida cultural vibrante, con museos, teatros, eventos y una gastronomía de primer nivel. La ciudad ofrece un equilibrio perfecto entre dinamismo laboral y ocio, en un entorno seguro y con una infraestructura moderna. Además, la variedad de parques y espacios verdes cercanos permite desconectar y disfrutar del aire libre en cualquier momento. Condiciones:  Se requiere solvencia económica demostrada para garantizar una relación de alquiler segura y responsable. Este piso combina la comodidad de un hogar moderno con la oportunidad de inversión en una de las ciudades más importantes de Europa. Es ideal tanto para quienes desean vivir en el centro de Madrid como para inversores que buscan una propiedad con alta rentabilidad y potencial de crecimiento. ¿Interesado en comprar o alquilar? No dudes en contactarnos para más información o para concertar una visita. ¡Estaremos encantados de ayudarte a encontrar tu nuevo hogar o a maximizar tu inversión en Madrid!",True,good,False,False,11301.0,True,False,False,False,[],False,False,825000.0,€,,,flat,,"Goya, Madrid","Piso en calle de Lope de Rueda, 9",Goya,,,,
108562241,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5e/f4/48/1348521765.webp,16741-2025,1,3,165000.0,flat,sale,68.0,,2,1,calle Loto s/n,Madrid,Getafe,Universidad,es,40.3177479,-3.7231006,True,https://www.idealista.com/inmueble/108562241/,"PISO OCUPADO POR PERSONA SIN JUSTO TÍTULOESTE INMUEBLE DEBIDO A SU ESTADO OCUPACIONAL NO ADMITE VISITASIDEAL PARA INVERSORESLA LOCALIZACIÓN DEL INMUEBLE ES APROXIMADAVivienda de 66 m², según Catastro, y 2 m² de elementos comunes a la venta en el municipio de Getafe, Madrid. Es una 3ª Planta en un bloque residencial sin ascensor. Muy bien comunicado por carretera (A-42) y transporte público, a menos de cinco minutos andando de la parada de autobús de la Avenida de las Ciudades. Próximo a todo tipo de servicios e infraestructuras como centros educativos (IES Laguna de Joatzel), comercios, supermercados, farmacias, zonas verdes... SIN COMISIÓN.",False,good,False,False,2426.0,False,False,False,False,[],False,False,165000.0,€,,,flat,,"Universidad, Getafe",Piso en calle Loto s/n,,,,,
108891255,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d5/11/de/1358095261.webp,,15,1,449656.0,flat,sale,100.0,True,3,2,calle de Ramón Pérez de Ayala,Madrid,Madrid,Puente de Vallecas,es,40.3991331,-3.6509074,False,https://www.idealista.com/inmueble/108891255/,"Primera planta exterior con ascensor en Ramón Pérez de Ayala – 100 m² Superficie: 100 m² Tipo: Primera planta exterior con ascensor Distribución interior: salón amplio y luminoso con comedor, cocina americana equipada, 3 habitaciones, 2 baños, aire acondicionado. Vivienda recién reformada con acabados de máxima calidad. Recientemente reformado con materiales de alta calidad y diseño contemporáneo. Todo exterior, con luz y vistas despejadas. Zona tranquila y bien comunicada.   Entorno y servicios cercanos Ubicación en el barrio Numancia — Puente de Vallecas (Madrid centro‑este), zona consolidada con buena infraestructura urbana. Transporte público Metro: estaciones más cercanas: Vinateros (líneas M‑1/M‑9) y Alto del Arenal (17 min caminando hasta metro)  Bus EMT: múltiples líneas pasan por la calle: 141, 143, 145, 331, 63 y N301/N9 de madrugada. Paradas como Marismas‑Pérez de Ayala, El Bosco‑Pérez de Ayala, Arroyo Fontarrón a pocos minutos a pie  Comercio y alimentación Supermercado Día sobre la calle o cercano (200 m)  Cercanía a Carrefour Market, Mercadona, y el Mercado Municipal de Numancia / Moratalaz a menos de 1 km  Educación y salud Guardería Los Girasoles en la misma calle (150 m) y colegios como Tajamar, IES Numancia, El Madroño a menos de 450 m  Centro de salud Buenos Aires y Numancia, varios dentistas y farmacia sobre la calle o muy cerca (200 m)  Ocio y espacios verdes Parque Cerro del Tío Pío, también llamado “Parque de las Siete Tetas”, a unos 500‑600 m  Espacios deportivos públicos en la misma calle (zonas de fútbol, fitness, baloncesto, petanca)  Ventajas clave Gran piso exterior y reformado con calidades premium Ascensor y distribución impecable Zona bien dotada de servicios (supermercados, colegios, salud y transporte) Muy buena conexión por bus y accesible en metro y tren de cercanías Perfecto para familias, profesionales o como inversión sólida.",True,good,False,True,4497.0,True,False,False,False,[],False,False,449656.0,€,,,flat,,"Numancia, Madrid",Piso en calle de Ramón Pérez de Ayala,Numancia,,,,
108657168,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/38/2b/f1/1351298391.webp,,36,1,455000.0,flat,sale,55.0,False,1,1,calle de Alonso Heredia,Madrid,Madrid,Barrio de Salamanca,es,40.4354699,-3.6719509,False,https://www.idealista.com/inmueble/108657168/,"Tecnocasa - Guindalera-Barrio Salamanca Vende en exclusiva este excelente y luminoso piso. Se encuentra en el corazón de Guindalera, ideal para quienes buscan tranquilidad. El inmueble tiene un amplio salón perfecto para disfrutar de buenos momentos. Un dormitorio muy espacioso, la cocina y el baño están en perfecto estado, listos para entrar a vivir ya que ha sido reformado en su totalidad. Su ubicación es privilegiada, a tan solo 300 metros de la parada de metro Diego de León, lo que facilita el acceso al transporte público y la conexión con el resto de la ciudad. Este piso es una opción perfecta para quienes buscan vivir en una zona tranquila, con todos los servicios a mano y en un estado impecable. Tecnocasa dispone del servicio financiero de Kíron de consulta gratuita para nuestros clientes. CONTÁCTENOS Y LE LLAMAREMOS PARA ORGANIZAR UNA VISITA!",True,good,False,True,8273.0,True,False,False,False,[],False,False,455000.0,€,,,flat,,"Guindalera, Madrid",Piso en calle de Alonso Heredia,Guindalera,,,,
107931002,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/c6/f4/1328675570.webp,,45,,389900.0,chalet,sale,268.0,,5,3,calle Salamanca,Madrid,Torrejón de la Calzada,,es,40.2003813,-3.8036071,False,https://www.idealista.com/inmueble/107931002/,"'Agencia inmobiliaria de Torrejón de la Calzada - zona Torrejón de la Calzada, Cubas de la Sagra y Torrejón de Velasco vende   chalet pareado con piscina y amplias estancias' Presentamos este magnífico chalet pareado de 268 m² construidos, distribuido en cuatro plantas, perfecto para familias que buscan espacio, comodidad y calidad de vida. Planta semisotano La planta semisotano cuenta con GARAJE con capacidad de hasta 3 coches, dos amplios TRASTEROS. Además, el garaje cuenta con acceso desde el interior de la vivienda, brindando comodidad y seguridad. Planta baja Dispone de una cocina independiente además de una gran DESPENSA, SALÓN luminoso con salida al patio, aire acondicionado F/C y CHIMENEA de leña, un aseo. Además, el garaje cuenta con acceso desde el interior de la vivienda, brindando comodidad y seguridad. Primera planta La zona de descanso se compone de CUATRO amplias HABITACIONES. La planta principal incluye un BAÑO REFORMADO con PLATO DE DUCHA. Segunda Planta En la segunda planta contamos con una habitacion en la buhardilla con luminosidad, acompañada de un BAÑO SUITE y un gran VESTIDOR. Ademas de que toda la buhardilla esta AISLADA TERMICAMENTE. Exterior El chalet cuenta con un amplio patio perfectamente acondicionado en forma de C para el disfrute al aire libre, incluyendo un cerramiento parcial, BARBACOA DE OBRA, PISCINA y con espacio para relajarse, compartir en familia y disfrutar de momentos inolvidables. Extras destacados Placas solares Excelente distribución con estancias amplias y luminosas. Espacios exteriores ideales para disfrutar en familia. Ubicación tranquila y rodeada de servicios. Chimenea de leña Calefacción Gasoil Torrejón de la Calzada cuenta con todos los servicios tales como bancos, centro de salud, restaurantes, colegios e institutos, etc. Además se encuentra a escasos 3km del Hospital Infanta Cristina y con acceso inmediato a carreteras de largo recorrido como la A-42. También dispone de servicio de taxi y autobús interurbano. '.",True,good,False,,1455.0,True,False,False,False,[],False,False,389900.0,€,True,True,chalet,semidetachedHouse,Torrejón de la Calzada,Chalet pareado en calle Salamanca,,,,,
108595185,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ae/3f/9f/1349992064.webp,3433-02845,53,3,319000.0,flat,sale,73.0,True,3,1,CL MAGIN CALVO,Madrid,Madrid,Latina,es,40.4067756,-3.7324188,False,https://www.idealista.com/inmueble/108595185/,"¡OPORTUNIDAD ÚNICA! PISO REFORMADO, EXTERIOR Y CON 2 TERRAZAS EN PUERTA DEL ÁNGEL.   Descubre esta joya en una de las zonas más deseadas de Madrid: Puerta del Ángel. Ubicado específicamente en la tranquila calle Magín Calvo, te presentamos un piso exterior reformado íntegramente, que destaca por su excepcional luminosidad y ventilación cruzada, situado en la tercera planta de un edificio sin ascensor.  ESPACIOS QUE ENAMORAN: •Luminosidad y ventilación: Un hogar bañado por la luz natural durante todo el día gracias a su orientación (noreste-suroeste) y ventilación cruzada. •Diseño moderno y funcional: Reforma integral con materiales de primera calidad: suelos, puertas, paredes lisas y ventanas de aluminio Climalit para un confort superior. •Dos TERRAZAS privadas ofreciéndote un oasis urbano para disfrutar del aire libre.  •Tercera planta: Un refugio tranquilo y con excelentes vistas. DISTRIBUCIÓN DEL INMUEBLE: •SALÓN-COMEDOR con acceso a TERRAZA: Un espacio acogedor de 13 m2 y con salida directa a una de las dos encantadoras TERRAZAS, ideal para tus momentos de relax o reuniones. •3 DORMITORIOS: Perfectos para familias, parejas o quienes buscan un espacio extra para teletrabajar.  DORMITORIO 1: de 6.5 m2 y con acceso a la TERRAZA de 4 m2 y orientación suroeste. DORMITORIO 2: de 9.5 m2 con orientación suroeste, sol de mañana y vistas espectaculares. DORMITORIO 3: de 8 m2 con orientación noreste, con sol de tarde y ventana a la terraza de la fachada principal. •COCINA INDEPENDIENTE (sin amueblar): tiene una superficie de 7 m2 y salida a la TERRAZA corrida de la fachada, lista para que la diseñes a tu gusto y la conviertas en el corazón de tu hogar. •BAÑO de 3 m2 moderno y funcional, con plato de ducha para tu comodidad. UN ENTORNO CON VIDA: La Calle Magín Calvo pertenece al barrio Puerta del Ángel, que forma parte del distrito Latina de Madrid. Este barrio se ubica al suroeste de Madrid, junto a zonas verdes como la Casa de Campo y muy cerca de Madrid Río. Vive en un barrio consolidado, tranquilo y con un ambiente familiar. Tendrás a tu alcance todos los servicios esenciales: supermercados, colegios, centros de salud, comercios de proximidad, parques y zonas verdes. Un barrio que ofrece calidad de vida y todas las comodidades a tu puerta. COMUNICACIONES Zona muy bien comunicada tanto para desplazamientos locales como para conexiones con el centro y otras áreas de Madrid. Tiene próximas varias líneas de autobús urbano y muy cerca de la parada de Metro de Alto de Extremadura. Fácil acceso a M30 y M40 GASTOS: Castos de comunidad 40 Euros IBI anual 285 Euros ¡TU INVERSIÓN INTELIGENTE O TU HOGAR SOÑADO! Esta vivienda representa una oportunidad excepcional, tanto si buscas tu primera residencia, un amplio piso familiar o una inversión segura con alta rentabilidad para alquiler. FINANCIACIÓN Y HONORARIOS: •Te ayudamos con la FINANCIACIÓN sin coste. •¡SIN HONORARIOS PARA EL COMPRADOR! ¡No dejes escapar esta oportunidad única! Contáctanos hoy mismo para concertar una visita. Te garantizamos que este piso superará tus expectativas.",True,good,False,False,4370.0,True,True,False,False,[],False,False,319000.0,€,,,flat,,"Puerta del Ángel, Madrid",Piso en Cl Magin Calvo,Puerta del Ángel,,,,
98121050,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/77/96/93/1001748120.webp,6ºB,16,6,795000.0,flat,sale,120.0,False,4,2,"calle de Jaime el Conquistador, 31",Madrid,Madrid,Arganzuela,es,40.3946697,-3.6982007,True,https://www.idealista.com/inmueble/98121050/,"Vivienda recién reformada en el distrito de Arganzuela ALQUILADA dando una rentabilidad del 4.5%.  Vivienda de 120m2 con 4 dormitorios y 2 baños. Una oportunidad única para disfrutar de un barrio con todas las comodidades a 1 minuto de Matadero y de Madrid Río. Este espléndido apartamento ha sido reformado teniendo en cuenta el confort más actual, calidades de alta gama y diseño de vanguardia. Aire acondicionado por conductos, armarios empotrados, cocina totalmente equipada con todos los electrodomésticos.  IBI anual: 700 € Gastos de comunidad: 176,70 €.",False,good,False,True,6625.0,True,False,False,False,[],False,False,795000.0,€,,,flat,,"Chopera, Madrid","Piso en calle de Jaime el Conquistador, 31",Chopera,820000.0,25000.0,3.0,
108726231,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/22/dc/f1/1353280327.webp,16756-2025,1,2,160000.0,flat,sale,60.0,,3,1,calle Siderurgia,Madrid,Madrid,San Blas,es,40.4267894,-3.6233667,False,https://www.idealista.com/inmueble/108726231/,"PISO OCUPADO POR PERSONA SIN JUSTO TÍTULOESTE INMUEBLE DEBIDO A SU ESTADO OCUPACIONAL NO ADMITE VISITASIDEAL PARA INVERSORESLA LOCALIZACIÓN DEL INMUEBLE ES APROXIMADAVivienda de 57 m², según Catastro, y 3 m² de elementos comunes a la venta en el distrito San Blas-Canillejas, Madrid. La vivienda está distribuida en salón-comedor, tres dormitorios, cocina, cuarto de baño y recibidor. (La distribución de la vivienda es orientativa y no ha podido ser comprobada). Es una 2ª Planta en un bloque residencial sin ascensor. Muy bien comunicado por carretera (E-5) y transporte público, a menos de cinco minutos andando de la parada de autobús de la calle de Amposta. Próximo a todo tipo de servicios e infraestructuras como centros educativos (IES Francisco de Quevedo), comercios, supermercados, farmacias, zonas verdes... SIN COMISIÓN.",False,good,False,False,2667.0,False,False,False,False,[],False,False,160000.0,€,,,flat,,"Amposta, Madrid",Piso en calle Siderurgia,Amposta,,,,
108583790,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cb/f2/42/1349141347.webp,,50,,870000.0,chalet,sale,345.0,,5,4,CL DEHESA NUEVA,Madrid,Galapagar,La Canaleja,es,40.561995,-4.0027712,False,https://www.idealista.com/inmueble/108583790/,"REMAX LEGEND presenta en exclusiva encantador chalet en la prestigiosa urbanización La Canaleja – Galapagar. Uno de los enclaves más valorados de la sierra madrileña.  Disfruta de naturaleza, tranquilidad y fácil acceso a servicios. Descubre una propiedad única, perfecta para disfrutar en familia en un entorno natural privilegiado, con excelentes comunicaciones y sin gastos de comunidad. Esta luminosa y amplia vivienda se distribuye en tres cómodas plantas: •5 habitaciones, dos de ellas en suite, todas con armarios empotrados completamente vestidos. 3 de los dormitorios principales se encuentran en planta baja, ideal para facilitar la vida diaria. •Suite principal con elegante vestidor. •3 baños completos + 1 aseo, todos muy espaciosos. •3 salones, ideales para crear ambientes diferenciados. •Comedor independiente y amplia cocina con despensa. Si necesitas más espacio, existe la posibilidad de ampliar la casa agregando una o dos habitaciones y un cuarto de baño en la zona del distribuidor de la planta superior, Zonas exteriores de ensueño •2 terrazas, una de ellas equipada con zona de barbacoa. •Gran porche para disfrutar todo el año. •Piscina con solárium de 100 m² aprox. •Jardín con riego e iluminación automatizados, ideal para relajarte sin preocupaciones. Comodidades y extras •Garaje interior + garaje exterior (hasta 3 vehículos). •Puertas automáticas de acceso y garaje. •Videoportero y sistema de seguridad. •Carpintería de Iroko, cristales Planiter y contraventanas de hierro forjado para máximo confort y seguridad. Ubicación inmejorable – La Canaleja, Galapagar •Cercano a Universidad Carlos III, colegios Zola y Gredos San Diego. •Centros de salud y supermercados (Mercadona Colmenarejo). •A solo 10 min de Majadahonda y Las Rozas. •Excelente comunicación por autobús: 9 líneas directas a Moncloa, Villalba, Torrelodones, El Escorial y más. Vivir en Galapagar es vivir mejor ya que combina la serenidad de la naturaleza con la comodidad de una infraestructura moderna y bien conectada. ¡Tu nuevo hogar te está esperando en La Canaleja! Gracias a las empresas del GRUPO LEGEND, aportamos Asesoramiento Fiscal, Financiero y un Arquitecto a su disposición para cualquier consulta o servicio que necesite, todos estos servicios son incluidos sin coste adicional a nuestros clientes. Además, no cobramos honorarios al comprador. ** La información que se detalla en este anuncio, se muestra a título informativo, no es contractual ni vinculante y puede contener errores**.",True,good,False,,2522.0,False,False,False,False,[],False,False,870000.0,€,True,True,chalet,independantHouse,"La Canaleja, Galapagar",Casa independiente en Cl Dehesa Nueva,,890000.0,20000.0,2.0,
