propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,hasLift
97896720,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d8/55/42/994274192.webp,2585,24,920000.0,chalet,sale,270.0,4,3,Sierra Nevada,Madrid,Las Rozas de Madrid,Club de Golf,es,Club de Golf,40.5509767,-3.9032991,False,https://www.idealista.com/inmueble/97896720/,"Ref 2585. Se Vende un chalet adosado muy luminoso en la exclusiva zona de Las Rozas, Club de Golf, ubicada dentro de una urbanización privada con piscina y jardines. La casa se distribuye en tres plantas con 270m2 de vivienda. Cuenta con un amplio salón de 38m2, una cocina amueblada con zona office, zona lavadero/tendedro, cuatro dormitorios, dos baños completos, dos aseos, una sala de juegos o segundo salón con chimenea, un jardín privado de 40m2 con acceso a la piscina comunitaria y dos terrazas exteriores. Se encuentra en excelente estado y dispone plazas de garaje para tres coches, pintura lisa, suelos de parquet, portero automático, calefacción de gas natural y doble acristalamiento. Ubicado en una zona residencial muy tranquila y muy bien comunicada con la carretera A-6, estación de tren Las Matas (C3, C8 y C10) a cinco minutos en coche y autobuses hacia Madrid. Mabelan Inmobiliaria.",True,good,False,3407.0,False,False,False,False,[],False,False,920000.0,€,980000.0,60000.0,6.0,True,True,chalet,terracedHouse,"Club de Golf, Las Rozas de Madrid",Chalet adosado en Sierra Nevada,,,
108665897,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/66/a2/f4/1359178118.webp,A513,45,380000.0,flat,sale,103.0,4,2,calle de Soledad Cazorla,Madrid,Madrid,Latina,es,Águilas,40.376554,-3.7684444,False,https://www.idealista.com/inmueble/108665897/,"GESPAIN LAS ÁGUILAS CARABANCHEL Promociona la venta de vivienda en estado para entrar a vivir, el edificio esta en buen estado.   Vivienda completamente exterior con dos orientaciones sur, oeste, muy soleada y luminosa. Consta de entrada, 4 dormitorios dos con armarios empotrados, salón independiente, cocina independiente y dos cuartos de baño. Dispone de plaza de garaje en la misma finca. Jardín comunitario y portero físico en la finca.   Las ventanas son de aluminio con vidrios climalit, puertas de madera con tiradores de metal, puerta de acceso blindada, suelos de parque y de gres porcelánico en cocina y baño, paredes gotelé, techos altos. ¡Venga a ver la vivienda y no deje de escapar esta oportunidad! No olvide que le ayudamos a encontrar las mejores condiciones bancarias con nuestro servicio financiero. Si en su caso no dispone de la aportación necesaria para un préstamo hipotecario, si aporta sólo el 5% del precio de compra puede ALQUILAR CON OPCIÓN A COMPRA. Llámenos sin compromiso para informarse. De acuerdo con el RD 515/1989, del 21 de Abril, se informa al cliente que los gastos notariales, registrales, I. T. P. o equivalente, gastos financieros y otros gastos inherentes a la compraventa no están incluidos en el precio de venta de la vivienda.",True,good,False,3689.0,True,False,True,False,[],False,False,380000.0,€,,,,True,True,flat,,"Águilas, Madrid",Piso en calle de Soledad Cazorla,1,True,True
108094534,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/b5/f6/1333655787.webp,BHJM71,45,830000.0,chalet,sale,231.0,6,4,calle de las Huertas,Madrid,Villanueva de la Cañada,Villanueva de la Cañada,es,,40.4471699,-4.0107914,False,https://www.idealista.com/inmueble/108094534/,"� ¡Vive el lujo como nunca antes en Villanueva de la Cañada! � Te damos la bienvenida a este encantador chalet en la zona más exclusiva de Villanueva de la Cañada: un chalet de lujo que combina elegancia, confort y tecnología de vanguardia para ofrecerte una calidad de vida inigualable.   Se distribuye en tres plantas:  En la planta principal: Encontramos dos salones espaciosos, una habitación adicional, un baño completo, y una enorme cocina con salida directa al jardín, ideal para disfrutar de comidas al aire libre o eventos en familia.  Primera planta: Contamos con tres habitaciones amplias, cada una con baño en suite y armarios empotrados. ¿Lo mejor? Una suite principal con vestidor y balcón privado, perfecta para disfrutar de la tranquilidad y las vistas.  En la planta inferior encontrarás: Dos habitaciones más, un trastero práctico, y un garaje cerrado para 3 vehículos. Este chalet está equipado con todo lo que necesitas para tu comodidad: ✔ Caldera de gasoil con depósito de 1.000 L ✔ Mosquiteras en todas las estancias ✔ Aire acondicionado ✔ Suelo radiante frío/calor ✔ Placas solares para máxima eficiencia energética � Cada rincón está pensado para ofrecerte bienestar, privacidad y funcionalidad. � No dejes pasar esta oportunidad única de vivir en un entorno privilegiado, con todas las comodidades que mereces. ¡Contáctanos y descubre tu nuevo hogar hoy mismo!",True,good,False,3593.0,True,False,False,False,[],False,False,830000.0,€,,,,True,True,chalet,independantHouse,"Villanueva de la Cañada, Villanueva de la Cañada",Casa independiente en calle de las Huertas,,,
106077175,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/22/03/33/1271894251.webp,,52,1145000.0,countryHouse,sale,288.0,3,2,Montecillo,Madrid,Guadalix de la Sierra,,es,,40.7700786,-3.6345137,False,https://www.idealista.com/inmueble/106077175/,"Chalet con finca rustica. Encantadora vivienda construida dentro de una preciosa finca de recreo. Se trata de una finca ""única y muy exclusiva"", pues se encuentra en un enclave natural privilegiado, en plena naturaleza, rodeada de bosque y también rodeada por el pantano de Guadalix-Pedrezuela. Posicionada en alto, cuenta con vistas despejadas al horizonte por todo su contorno, con bonitas postales de puestas de sol, tanto al amanecer por la Sierra de Ayllón, como al atardecer por la Sierra de Guadarrama. A nivel practico y logístico, tanto la finca como la vivienda, están muy dotadas con diferentes equipamientos y comodidades, todo muy bien pensado estratégicamente, además de materializado con mucha calidad, y sobre todo logrando la plena autonomía (calefacción cerrada con caldera de leña integrada en toda la casa). El inmueble cuneta con toda su documentación en regla y tiene cartilla ganadera vigente, Además, opcionalmente se puede contar con una finca de 40.000 m2, destinada a pastoreo, que se encuentra anexa y lindera por un lateral.",False,good,False,3976.0,True,False,False,False,[],False,False,1145000.0,€,,,,,,countryHouse,countryHouse,Guadalix de la Sierra,Finca rústica en Montecillo,,,
103239652,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/28/ee/d5/1325698067.webp,103239652,29,239000.0,chalet,sale,211.0,3,1,travesía de las Cantarranas,Madrid,Horcajo de la Sierra,,es,,41.0661994,-3.5851182,False,https://www.idealista.com/inmueble/103239652/,"BREM GLOBAL INMOBILIARIA PRESENTA CONJUNTO DE CASA DE PUEBLO TRADICIONAL MÁS NAVE MULTIFUNCIÓN en Horcajo de la Sierra. La vivienda principal cuenta con 70 m² cuadrados distribuidos en una sola altura, donde encontramos 3 habitaciones, un acogedor y luminoso salón, cocina y un baño completo con media bañera. Además, está rodeada con un porche de obra. La vivienda cuenta con un sistema de calefacción de leña procedente de Centroeuropa de alta poder calorífico. Encontramos 2 construcciones anexas, una de ellas un taller y la otra una nave que ha tenido varios usos de unos 125 m², diáfana y en una sola altura con conexión de luz y agua operativas. La parcela cuenta con diversos árboles frutales y varios árboles originarios de la selva negra alemana. En esta parcela tendremos la posibilidad de disfrutar de unas vistas privilegiadas mientras disfrutamos de la sombra ofrecida por los diversos árboles. El atractivo añadido que nos ofrece la nave multifunción, nos da infinitas posibilidades tanto de ampliar la vivienda como si se desea emprender algún negocio de ámbito rural.  El municipio donde se encuentra la vivienda, Horcajo de la Sierra, es una de las puertas a la Sierra del Rincón, la cual pertenece a la reserva mundial de la biosfera. El pueblo entero conserva la estética tradicional de la zona. Si deseas un lugar donde desconectar los fines de semana o disfrutar de los placeres de la vida rural, esta es tu oportunidad, o por el contrario si quisieras desarrollar una actividad artística como escultura, pintura etc. En la nave al ser de uso terciario, industrial y almacén o incluso convertirlo en otra vivienda, tal y como se expresa la normativa urbanística en esta zona del pueblo. No lo dudes…¡ LLAMANOS!",True,good,False,1133.0,True,False,True,False,[],False,False,239000.0,€,,,,,,chalet,independantHouse,Horcajo de la Sierra,Casa independiente en travesía de las Cantarranas,,,
95740673,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fe/7c/2e/926883079.webp,r16,18,4450000.0,flat,sale,395.0,4,3,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.423816,-3.6864052,False,https://www.idealista.com/inmueble/95740673/,"Lujosa vivienda en uno de los edificios más prestigiosos del Barrio de Recoletos. Planta principal (equivalente a una 2ª) de 395 m2 construidos con mucha luz en un edificio de 1905 totalmente rehabilitado.  La vivienda cuenta con una zona de estar muy amplia en varios ambientes con balcones a la calle. La altura de techos es superior a los 3 metros. Bonito hall de entrada y aseo de cortesía. La cocina está separada por una pared del comedor. Equipada con electrodomésticos de alta gama, todos ellos panelados, mantiene una línea cálida y equilibrada en la decoración. Dispone de una terraza de pequeñas dimensiones hacia el patio de manzana. Dormitorio de servicio con baño y zona de lavandería.  La zona de dormitorios se compone de un dormitorio principal en suite con su cuarto de baño y vestidor, un segundo dormitorio con su cuarto de baño en suite, un tercer dormitorio doble con baño en suite.  Calidades de lujo: aire acondicionado, calefacción por suelo radiante, domótica. Fortuny Madrid Real Estate es una empresa joven y emprendedora, formada por un grupo de consultores inmobiliarios especializados en la zona Prime de Madrid, creada con el objetivo de satisfacer las necesidades de los clientes más exigentes.",False,good,False,11266.0,False,False,False,False,[],False,False,4450000.0,€,,,,True,True,flat,,"Recoletos, Madrid",Piso,2,True,True
108346733,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/79/99/da/1341571061.webp,,37,285000.0,chalet,sale,240.0,4,3,calle Somadilla,Madrid,Zarzalejo,,es,,40.5400783,-4.1588604,False,https://www.idealista.com/inmueble/108346733/,"VIVIENDA UNIFAMILIAR PAREADA. Con Zona ajardinada. Distribuida en cuatro niveles, (a medias plantas). El nivel de acceso la vivienda, planta baja de la misma, distribuida en hall de entrada, recibidor, distribuidor, escalera, aseo, cocina, tendedero y salón comedor; planta primera en distribuidor, cuatro dormitorios y dos cuartos de baño. En planta bajo cubierta, disponemos de una estancia en dos niveles para zona de estar y dormitorio. En planta semisótano dispondremos de un Salón con Chimenea, Garaje y trastero.  La vivienda necesita actualizar el mantenimiento.  Dispone de acceso individual a piscina y Jardín comunitarios.  La vivienda está situada en el municipio de Zarzalejo, zona estación de Renfe.  Ofreciendo la tranquilidad del entorno natural y la comodidad de disponer en su entorno de centro de salud, estación de cercanías RENFE, paradas de autobús y resto de servicios del municipio. Visitas con cita previa. Cassa Inmobiliaria.",False,renew,False,1188.0,True,False,False,False,[],False,False,285000.0,€,,,,True,True,chalet,semidetachedHouse,Zarzalejo,Chalet pareado en calle Somadilla,,,
108643668,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/db/03/0a/1350851254.webp,,56,899000.0,flat,sale,185.0,3,3,calle de Hernani,Madrid,Madrid,Tetuán,es,Cuatro Caminos,40.4478018,-3.7004815,False,https://www.idealista.com/inmueble/108643668/,"¡OPTIMACASA pone a tu disposición la oportunidad que estabas esperando! Vendemos esta excepcional vivienda, completamente reformada con todo lujo de detalles para que la estrenes tú. Disfruta de un interior de diseño y una terraza de escándalo. Ubicada en una primera planta con ascensor, esta espectacular propiedad cuenta con 185m² perfectamente distribuidos en: ·Gran hall recibidor ·Amplio y moderno salón con cocina americana totalmente equipada con electrodomésticos de última generación, muebles de calidad y encimera porcelánica. Diseñado con todo lujo de detalles como paredes con panelado de madera a medida, suelo de gran formato, e iluminación con candileja. ·Terraza de 50m² proyectada en tres ambientes para dotar a la casa de un gran espacio exterior funcional y polivalente. ·3 dormitorios grandes (2 en suite), todos con cabeceros entelados a medida, mucho espacio de almacenaje, y gran luminosidad.  ·3 baños completos, con plato de ducha, radiador toallero y espejo retroiluminado ·Espaciosa lavandería independiente con lavadora y secadora La vivienda ha sido sometida a una reforma integral, incluyendo nuevas instalaciones de fontanería y electricidad, y materiales de altísima calidad. Está pensada para quienes valoran el diseño, la funcionalidad y los espacios amplios. Lista para entrar a vivir, sin necesidad de hacer absolutamente nada. Situada en uno de los puntos más cotizados de la capital, esta vivienda se encuentra en pleno corazón de Cuatro Caminos, con acceso inmediato a algunos de los núcleos comerciales y financieros más importantes de Madrid: A escasos metros del Centro Comercial El Corte Inglés de Nuevos Ministerios, ideal para tus compras diarias o de lujo, a minutos caminando del distrito de AZCA, el centro neurálgico empresarial de la ciudad, la ubicación ofrece excelente conexión a transporte público y por vías principales de acceso. Muy cerca del Estadio Santiago Bernabéu, enclave emblemático y zona en plena transformación urbana de alto valor añadido Además, la zona cuenta con todos los servicios: supermercados, colegios, centros de salud, gimnasios, restaurantes y una oferta cultural y de ocio en constante crecimiento. Todo esto en un entorno urbano consolidado, seguro y con gran proyección.",False,good,False,4859.0,True,False,False,False,[],False,False,899000.0,€,,,,,,flat,,"Cuatro Caminos, Madrid",Piso en calle de Hernani,1,False,True
108735032,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/88/06/f1/1353597818.webp,050-25,16,199000.0,flat,sale,48.0,1,1,calle de Vicente Martín Arias,Madrid,Madrid,Carabanchel,es,Comillas,40.3970333,-3.7119509,False,https://www.idealista.com/inmueble/108735032/,"*VIVIENDA ALQUILADA HASTA 2029* ¡Descubre tu nuevo hogar en Madrid Río! Este encantador piso de 48 m² te ofrece la combinación perfecta de comodidad y estilo. Al entrar, te recibe un acogedor recibidor que te guía hacia un amplio salón comedor, ideal para disfrutar de momentos inolvidables. La cocina, completamente equipada, es perfecta para los amantes de la gastronomía.  El dormitorio, luminoso y tranquilo, garantiza un descanso reparador. Además, cuenta con un baño completo con plato de ducha, diseñado para tu comodidad. La calefacción por gas natural y el aire acondicionado aseguran un ambiente agradable durante todo el año. Situado en una segunda planta exterior con ascensor y orientación norte, este inmueble se encuentra en buen estado y listo para entrar a vivir. No dejes pasar esta oportunidad única en una de las zonas más solicitadas de Madrid. Recuerda que se requiere firma en la ficha de visita y los honorarios de intermediación son del 3% más IVA del precio de venta final. ¡Contáctanos y ven a verlo!",False,good,False,4146.0,True,False,False,False,[],False,False,199000.0,€,,,,,,flat,,"Comillas, Madrid",Piso en calle de Vicente Martín Arias,2,True,False
107488287,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/f4/df/1314119715.webp,,36,450000.0,flat,sale,94.0,3,2,calle del General Aranaz,Madrid,Madrid,San Blas,es,Salvador,40.4377204,-3.6341223,False,https://www.idealista.com/inmueble/107488287/,"¡Descubre tu nuevo hogar en una ubicación inmejorable! Este piso de 94 m² construidos, con 79 m² útiles, te ofrece comodidad y accesibilidad en pleno corazón de la ciudad. Situado junto a la estación de metro y a un paso de la calle Alcalá, disfrutarás de un entorno lleno de vida y servicios. El hall de entrada te da la bienvenida a un espacio donde cada rincón está pensado para tu confort. La cocina, equipada con tendedero, salón, amplio y luminoso, se abre a una terraza de 8 m², perfecta para relajarte al aire libre. Con tres dormitorios, un cuarto de baño completo y un aseo adicional, este piso es perfecto para familias o para quienes buscan espacio extra. La finca cuenta con ascensor y calefacción por gas natural, garantizando tu bienestar durante todo el año. La cercanía a supermercados, tiendas y el consultorio médico facilita tu día a día, mientras que el transporte público en la puerta te conecta con toda la ciudad. A pocos minutos del intercambiador de Ciudad Lineal. NO SE REPERCUTEN HONORARIOS AL COMPRADOR. No dejes pasar esta oportunidad única.",False,good,False,4787.0,True,False,False,False,[],False,False,450000.0,€,,,,,,flat,,"Salvador, Madrid",Piso en calle del General Aranaz,2,True,True
