propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,parkingSpace.parkingSpacePrice
108870653,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/57/06/42/1357531599.webp,2751,16,4,190000.0,flat,sale,75.0,True,3,1,Barrio Vista Alegre,Madrid,Madrid,Carabanchel,es,Vista Alegre,40.3917065,-3.7435157,False,https://www.idealista.com/inmueble/108870653/,"****Altea-Sanco Grupo Inmobiliario*****. ¡Descubre tu nuevo hogar en CARABANCHEL! . Presenta en exclusiva. este piso, con dos terrazas. Piso para mejoras de allí su precio. ººº Sin ascensor ººº. se encuentra muy cerca del metro Carabanchel y del metro Carpetana a pocos del Hospital Central de la Defensa Gámez Ulla. en la zona sureste de la ciudad. Con 88 m² construidos, ofrece una distribución ideal para el confort y la funcionalidad, perfecta para familias o parejas. Dispone de tres habitaciones un baño, cocina y lavadero para entrar a vivir. Las estancias son luminosas y bien distribuidas, garantizando un ambiente acogedor. Cuenta con dos terrazas y ventilación cruzada La ubicación es inmejorable, con todos los servicios necesarios a tu alcance. A solo 5 minutos del Parque Cerro Almodóvar y la Av Gral Ricardos, disfrutarás de una excelente conexión con el resto de la ciudad. Además, la zona ofrece un entorno tranquilo para disfrutar de la vida diaria. y orientación sur-este, asegurando luz natural durante todo el día. No dejes pasar esta oportunidad única de adquirir un piso en buen estado en una de las mejores zonas de Vista Alegre.",False,renew,False,False,2533.0,True,False,False,False,[],False,False,190000.0,€,205000.0,15000.0,7.0,flat,"Vista Alegre, Madrid",Piso,,,,
108364733,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d0/7a/06/1341922081.webp,,37,2,284000.0,duplex,sale,81.0,True,3,2,calle de Velázquez,Madrid,San Lorenzo de El Escorial,Abantos - Carmelitas,es,,40.5967898,-4.141776,False,https://www.idealista.com/inmueble/108364733/,"¡ATR Project Inmobiliaria, Vende este estupendo duplex en San Lorenzo de El Escorial   Situado en una de las principales calles y mas tranquilas a tan solo 5 minutos de la estación de autobuses, la vivienda cuenta con 3 habitaciones, dos baños, cocina y salón-comedor con salida a dos balcones con unas vistas preciosas al Monte Abantos. El piso se encuentra en muy buen estado debido a su cuidado y los materiales son de gran calidad; suelo de parquét, ventanas oscilobatientes de PVC con doble cristal, carpintería de roble.. . El baño principal fue reformado recientemente y se sustituyó la bañera por un amplio plato de ducha. La habitación principal cuenta con armarios empotrados. La vivienda cuenta con una plaza de garaje situada en la planta -1 del edificio, el cual cuenta con ascensor. No dude en ponerse en contacto con nosotros para concretar una visita, o para más información.",False,good,False,True,3506.0,True,False,False,False,[],False,False,284000.0,€,290000.0,6000.0,2.0,flat,"Abantos - Carmelitas, San Lorenzo de El Escorial",Dúplex en calle de Velázquez,True,True,duplex,
107185621,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/94/43/5c/1305535474.webp,,18,bj,139900.0,flat,sale,43.0,True,1,1,"calle Sierra de Algodonales, 15",Madrid,Madrid,Puente de Vallecas,es,San Diego,40.3916893,-3.6671906,True,https://www.idealista.com/inmueble/107185621/,"MAGNIFICA OPORTUNIDAD PARA INVERTIR! Se vende apartamento en planta baja exterior, ideal para invertir, consta de una habitación amplia, salón-comedor, cuarto de baño, cocina y despensa. Se encuentra en la zona de Nueva Numancia, a escasos 5 min de la avenida de la albufera y del metro, zona de tiendas, supermercados, restauración y ocio y a 10 min. del campo del Rayo vallecano. Metro Nueva Numancia apenas a 3 min y puente de vallecas, Metro y salida a a M-30 Norte y Sur a 3 min. en coche.  SOLICITANOS UNA VISITA LO ANTES POSIBLE! EN GINMO ENCONTRAMOS TU VIVIENDA IDEAL!",False,renew,False,False,3253.0,False,False,False,False,[],False,False,139900.0,€,,,,flat,"San Diego, Madrid","Piso en calle Sierra de Algodonales, 15",,,,
108784328,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/16/c8/1356713622.webp,IE17-VPJESUIT,21,bj,340000.0,flat,sale,75.0,True,2,1,paseo de los Jesuitas,Madrid,Madrid,Latina,es,Puerta del Ángel,40.4080734,-3.730164,False,https://www.idealista.com/inmueble/108784328/,"¡Inmobiliarias Encuentro vende en Exclusiva¡ Luminoso piso de 75 mt2 en el encantador barrio de Puerta de Ángel, una de las zonas más tranquilas y bien comunicadas de Madrid. Ubicado en una finca en excelente estado y con acceso a movilidad reducida, esta vivienda destaca por su excelente distribución y abundante luz natural en todas las estancias. En la entrada podremos encontrar un distribuidor que nos conecta con un amplio salón-comedor con ventanas al exterior, dos amplios dormitorios, cocina independiente y cuarto de baño espacioso. Además la vivienda dispone de un cuarto de despensa y almacenamiento en el interior de la misma. Con su ventaja de ser un inmueble compuesto por paredes de tabique en su mayoría genera una posibilidad de reformarla completamente y la convierte en una excelente oportunidad para personalizarla al gusto o como inversión para alquiler. Dispone de una distribución funcional con buena entrada de luz natural y posibilidades de redistribución de espacios. Puerta de Ángel es un barrio con todos los servicios al alcance: colegios, parques, comercios y transporte público. En la puerta de la finca podrás encontrar “Bici Mad”. A solo minutos del centro de Madrid y Palacio Real, cuenta con excelentes conexiones tanto en autobús líneas 158, 39,31, 36,55, 34 y lineal del metro lineal 6 circular, lo que lo convierte en una opción ideal para quienes buscan vivir en una zona tranquila sin renunciar a la cercanía con el corazón de la ciudad. Una gran oportunidad para vivir en una zona consolidada, cómoda y con gran proyección ideal para quienes buscan una primera vivienda a buen precio, un proyecto de renovación o una oportunidad de inversión. Si necesita vender su inmueble para adquirir este u otro inmueble publicado contacte con nosotros disponemos del servicio //""CAMBIA DESCANSA""// la solución perfecta para cuadrar los plazos de venta de su vivienda y entrega del nuevo inmueble. Financiación a tu medida con fimoo tendrás los mejores tipos de interés y hasta el cien por cien de financiación. Consulta nuestras condiciones Entra en nuestra web y reserva este piso en tan solo 2 minutos con nuestro servicio ireser.",True,renew,False,False,4533.0,True,False,True,False,[],False,False,340000.0,€,,,,flat,"Puerta del Ángel, Madrid",Piso en paseo de los Jesuitas,,,,
106638898,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/25/08/72/1289550109.webp,DS-P77447B,10,1,4500000.0,flat,sale,240.0,True,3,4,Barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.42004,-3.6846321,False,https://www.idealista.com/inmueble/106638898/,"DIZA Consultores les presenta esta vivienda con techos de 3 metros de altura a escasos pasos de la Puerta de Alcalá. La vivienda se encuentra en una primera planta de un edificio de principios del siglo XX.  Al entrar encontramos un pequeño recibidor, con aseo, que divide la casa en dos partes, a su izquierda la zona social y cocina y a su derecha la zona de descanso. Por otro lado, la zona de descanso es compuesta por tres dormitorios, todos con cuarto de baño en suite.  También, cuenta con zona de lavandería y planchado.  Estaremos encantados de atenderle. DIZA Consultores Inmobiliarios. Inmobiliaria de lujo en Madrid especializada en comprar, vender y alquilar pisos en las zonas premium de Madrid: Barrio de Salamanca, Almagro, Chamartín, Retiro, Pozuelo, Aravaca, Boadilla.. . Convertimos Sueños en Hogares.",False,good,False,True,18750.0,False,False,False,False,[],False,False,4500000.0,€,,,,flat,"Recoletos, Madrid",Piso,,,,
108788807,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a9/e6/73/1355154367.webp,108788807,18,3,95000.0,flat,sale,88.0,True,3,1,"CL POSTAS, 19",Madrid,Ciempozuelos,Cuevas - Ilustración,es,,40.153848,-3.6279368,True,https://www.idealista.com/inmueble/108788807/,"INMUEBLE CON CONTRATO DE ALQUILER VIGENTE. NO SE PUEDE VISITAR. PROPIO PARA INVERSORES O VECINOS QUE CONOZCAN EL INMUEBLE. Madrid es un municipio y una ciudad de España. La localidad, con categoría histórica de villa, es la capital del Estado y de la Comunidad de Madrid. En su término municipal, el más poblado de España, su población es de 3 416 771 habitantes (INE 2024), constituyéndose como la segunda ciudad más poblada de la Unión Europea, así como su área metropolitana, con 6 779 888 habitantes empadronados.",False,good,False,False,1080.0,False,False,False,False,[],False,False,95000.0,€,,,,flat,"Cuevas - Ilustración, Ciempozuelos","Piso en Cl Postas, 19",,,,
108738516,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7f/b2/bf/1353708663.webp,,88,5,689000.0,penthouse,sale,167.0,True,3,2,"avenida Ocho de Marzo, 10",Madrid,Rivas-Vaciamadrid,Rivas Urbanizaciones,es,,40.3791519,-3.5364972,True,https://www.idealista.com/inmueble/108738516/,"Ático de obra seminueva (año 2021), en una 5ª y última planta, de vivienda única sin compartir rellano, dándonos total independencia respecto al resto de vecinos del bloque. Empezamos describiendo el interior, una vivienda de 92 m² útiles (120 m² construidos).  Nos recibe un vestíbulo (que dispone de un armario empotrado a su izquierda), conectando a mano derecha con la cocina, independiente y de buen tamaño que además conecta con la terraza.  Destacar su distribución cuadrada, dándonos la posibilidad de jugar con el espacio y tener una zona tipo office para las comidas más prácticas, convirtiendo la cocina en una habitación social más.  Seguimos con el luminoso salón que, gracias a su gran tamaño y distribución rectangular, nos da posibilidades con los espacios, divididos en una zona orientada a comedor y otra diferenciada para el descanso y ocio. Todas las ventanas y puertas exteriores son oscilobatientes, de aluminio y rotura de puente térmico, dotando al piso de un gran aislamiento térmico y acústico. Volviendo al vestíbulo, damos con un pasillo distribuidor que nos lleva al resto de estancias de la vivienda, siendo la primea de ellas un cuarto de baño con un práctico plato de ducha. A continuación, nos encontramos con dos dormitorios, los cuales disfrutan de una simetría especular, siendo idénticos en tamaño y contenido, como por ejemplo en sus armarios empotrados. Terminando nuestra visita, tenemos el dormitorio principal, de gran tamaño y muy completo, ya que cuenta con cuarto de baño en suite (con bañera y lavabo de doble elemento) y un gran vestidor para organizar mucho más que nuestras prendas de vestir. En lo que respecta a climatización, contamos con aire acondicionado por conductos en todas las estancias.  Para la calefacción, disponemos de suelo radiante, un sistema muy eficiente que se refleja en el gran ahorro de consumo. Finalizamos con el exterior de la vivienda, con una gran terraza que rodea todo el piso.  Dispone con una superficie total de 60 m², de los cuales 40 m² son totalmente lineales, dándonos la oportunidad de poder jugar con los espacios en cuanto a organización y distribución, como la del acondicionamiento de distintas zonas. Cuenta en su parte principal y en la contigua al salón, de unos grandes toldos motorizados y con sensor de viento programable. Este ático se vende con dos plazas de garaje, contiguas, y un trastero, todo incluido en el precio. En lo que respecta al edificio y zonas comunes, cumple con la normativa para el acceso y movilidad de personas con movilidad reducida. Disponemos de placas solares, conserje, piscina, pista de pádel, zonas verdes, un pequeño parque infantil, una sala de ocio con juegos para niños y otras dos salas para la organización de eventos. Centrándonos en la zona, empezamos por el transporte público. Disponemos prácticamente en el portal de una parada de autobús con la línea urbana 1, la interurbana 333 y la nocturna N301. Líneas que nos conectan en poco más de 5 minutos con la estación de Metro de Rivas Urbanizaciones (línea 9), la cual nos comunica con el Retiro y Avenida de América en aproximadamente 30 minutos y con Plaza de Castilla en 10 minutos más. Si nos movemos en coche, contamos con acceso prácticamente directo e inmediato a la autopista de Circunvalación a Madrid M-50. En cuanto a servicios, disponemos de todo tipo de comercios, una gran oferta de restauración, supermercados, centros comerciales (H2O a menos de 10 minutos en coche) y varios centros educativos de todos los grados. A su vez, contamos con distintos centros de salud y hospitales, como el nuevo Hospital HM Rivas. Todo ello sumado a los grandes parques y naturaleza que nos rodea. Toda la información es orientativa y no contractual. Gastos de compraventa y honorarios no incluidos en el precio.",True,good,False,True,4126.0,True,True,False,False,[],False,False,689000.0,€,,,,flat,"Rivas Urbanizaciones, Rivas-Vaciamadrid","Ático en avenida Ocho de Marzo, 10",True,True,penthouse,
108859938,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/da/80/07/1357234239.webp,PV-00032,26,7,1800000.0,penthouse,sale,226.0,False,4,4,plaza de Manuel Becerra,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4283658,-3.6684129,False,https://www.idealista.com/inmueble/108859938/,"Este impresionante ático de más de 200 metros cuadrados útiles y 20 metros de terraza te ofrece una experiencia de vida incomparable. Situado en la planta 7, con orientación sur y este, disfrutarás de una luminosidad inigualable, con una distribución excepcional, esta vivienda combina elegancia, confort y amplitud en cada rincón. Dispone de 4 dormitorios luminosos, dos de ellos con baño en suite, todos equipados con armarios empotrados y aire acondicionado. Además, cuenta con 3 baños completos y un aseo adicional para mayor comodidad. El ático se completa con 2 salones y una zona de comedor y una espectacular terraza privada, ideal para disfrutar de momentos inolvidables. La gran cocina independiente tiene acceso para el servicio, facilitando la organización del hogar. Ubicado en una zona privilegiada de Madrid, estarás cerca de servicios, comercios y una amplia oferta de ocio y restauración. Además, la excelente conexión de transporte público te permitirá moverte por la ciudad con total facilidad. SIN HONORARIOS DE AGENCIA No pierdas la oportunidad de vivir en el lujo y la comodidad que mereces. ¡Ven a conocer tu nuevo hogar en el Barrio de Salamanca!",False,renew,False,True,7965.0,True,False,False,False,[],False,False,1800000.0,€,,,,flat,"Goya, Madrid",Ático en plaza de Manuel Becerra,,,penthouse,
108790332,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bd/41/bc/1355202869.webp,Viviendas amuebladas,29,2,1909000.0,flat,sale,158.0,False,3,3,"CL PADILLA, 80",Madrid,Madrid,Barrio de Salamanca,es,Lista,40.4306683,-3.6728268,True,https://www.idealista.com/inmueble/108790332/,"¡Descubre tu nuevo hogar en el corazón de Madrid! Este impresionante piso en Padilla 80, en el exclusivo barrio de Lista, combina elegancia y modernidad en cada rincón. Con 158 m² construidos, la vivienda ha sido completamente reformada y está lista para estrenar. Disfruta de tres amplias habitaciones, cada una con armarios empotrados, y tres baños que cuentan con acabados de alta calidad. La cocina es un sueño hecho realidad, completamente equipada con electrodomésticos de alta gama y un diseño contemporáneo que hará las delicias de cualquier amante de la gastronomía. El espacioso salón se convierte en el lugar perfecto para compartir momentos inolvidables con amigos y familiares. Además, cuenta con un cuarto de lavado independiente que añade comodidad a tu día a día. Imagina relajarte en tu terraza o balcón, disfrutando del sol gracias a su orientación sur. La calefacción eléctrica y el aire acondicionado garantizan un ambiente agradable durante todo el año. Situado en una planta 2 con ascensor, este piso ofrece la comodidad que buscas en una propiedad de segunda mano en excelente estado. La ubicación es inmejorable, cerca de lugares emblemáticos como el Parque de El Retiro y el Museo Lázaro Galdiano. La famosa Calle Serrano, conocida por sus boutiques de lujo y restaurantes de renombre, está a solo unos pasos. Este barrio vibrante y distinguido ofrece una amplia oferta cultural y de ocio, convirtiendo esta propiedad en una inversión segura en una de las áreas más codiciadas de la capital. ¡No pierdas la oportunidad de vivir en un lugar donde la sofisticación se encuentra con el confort!",True,good,False,True,12082.0,True,False,False,False,[],False,False,1909000.0,€,,,,flat,"Lista, Madrid","Piso en Cl Padilla, 80",,,,
107709558,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a8/6c/d3/1320475795.webp,,26,,175000.0,chalet,sale,110.0,,3,2,calle del Torrontero,Madrid,Cervera de Buitrago,,es,,40.9231059,-3.5292143,False,https://www.idealista.com/inmueble/107709558/,"DELANAORIVERA te ofrece tu refugio ideal en el Embalse de El Atazar. Si buscas un oasis de tranquilidad en plena naturaleza, esta casa es para ti. Situada en un enclave privilegiado con vistas espectaculares al embalse, esta vivienda combina confort, privacidad y un entorno inigualable. Ubicación única, rodeada de montañas y agua cristalina, perfecta para desconectar del bullicio de la ciudad, la vivienda con más de 120 años completamente reformada con un diseño acogedor, amplios ventanales, un salón comedor con chimenea, una cocina equipada y habitaciones luminosas, cuenta con una amplia terraza y un acceso a rutas de senderismo, deportes acuáticos y naturaleza en estado puro. Ideal para amantes de la naturaleza, perfecto para escapadas de fin de semana o para vivir todo el año rodeado de paz y aire puro. Además podrás aprovecharlo como negocio, posee la licencia de vivienda de uso turístico de la Comunidad de Madrid.    Somos una agencia inmobiliaria con un servicio 360º, en el que poder confiar y atender tu demanda desde el inicio ya sea por una compra, una venta o un alquiler, sin perder el tiempo. Estamos para hacértelo más fácil. También disponemos de un equipo de profesionales para las reformas, tanto para inversores, como para acondicionar la entrada de un hogar o simplemente vender en menos tiempo y a mayor valor. Contamos con un servicio de hipotecas con posibilidad de financiación del 100% para que sea más sencilla la compra y un servicio de alarmas con los mejores en seguridad, para que puedas estar seguro. Ofrecemos un servicio de mudanzas y guardamuebles con vehículos equipados para llevar su mercancía segura y protegida. Trabajamos para empresas o particulares, desmontaje y montaje de los muebles, así como, el embalaje de muebles. Disponemos de un servicio de fabricación de casas modulares, con el mismo, hacemos un estudio en todas nuestras parcelas para poder llevar acabo la construcción de cualquiera de los modelos disponibles. Contacte con nosotros y buscaremos la mejor opción para usted. Presupuesto sin compromiso. Si deseas ver inmuebles similares pincha en nuestro logo o visita nuestra web o redes sociales, Instagram, tiktok….",True,good,False,,1591.0,True,False,False,False,[],False,False,175000.0,€,,,,chalet,Cervera de Buitrago,Chalet adosado en calle del Torrontero,,,terracedHouse,
