propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108596717,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d5/76/67/1349514683.webp,10451,18,1,710700.0,flat,sale,127.0,True,4,2,calle de Torrelaguna,Madrid,Madrid,Ciudad Lineal,es,San Pascual,40.4424596,-3.6560763,False,https://www.idealista.com/inmueble/108596717/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. ¿Te imaginas tu vivienda en propiedad en Madrid? ¡Testa Homes lo hace realidad! *La vivienda y fotos publicadas corresponden a una vivienda tipo, para más información consulte a su gestor comercial. Esta espaciosa vivienda sin amueblar de 127 m² construidos te da la bienvenida con 4 cómodos dormitorios con armarios empotrados, 2 baños completos cuidadosamente equipados y una amplia zona de estar con acceso directo a una terraza privada ideal para disfrutar de tus momentos al aire libre. La cocina independiente, amueblada y dotada con electrodomésticos de excelentes calidades, está pensada para quienes valoran funcionalidad y diseño. Suelos de tarima, carpintería interior de calidad y climatización eficiente garantizan el confort. ¡Y además, incluye plaza de garaje en el precio! Las zonas comunes de la urbanización han sido completamente renovadas para brindar un entorno exclusivo y familiar: una bonita piscina comunitaria rodeada de áreas verdes y equipada con vestuarios, parque infantil completamente reformado y zonas de juego pensadas para los más pequeños. El edificio cuenta con servicio de portería física, acceso reformado y cuidados detalles en portales y fachadas. Pet-friendly y con accesos accesibles, es un espacio para disfrutar en comunidad con total tranquilidad. Ubicada en los números 65 y 67 de la calle Torrelaguna, en el distrito de Ciudad Lineal (barrio de San Pascual), esta vivienda se sitúa en una zona residencial consolidada y estratégica. A pocos minutos del centro comercial Alcalá Norte y rodeada de colegios, supermercados, centros deportivos y una variada oferta de restauración y ocio. Excelentes conexiones por transporte público, con varias líneas de autobús y la estación de metro Barrio de la Concepción a solo 5 minutos. Si prefieres desplazarte en vehículo propio, tendrás acceso inmediato a la M-30, A-2 y a calles principales como Arturo Soria o Alcalá. Una ubicación que equilibra calidad de vida, comodidad y conexión con el centro de Madrid. Horario de atención telefónica de lunes a viernes de 9:00 a 21:00 y sábados de 9:00 a 14:00 horas.  Consulte condiciones y disponibilidad.  *Imágenes orientativas sin carácter vinculante.  **Las imágenes corresponden a un apartamento tipo.  **Viviendas sujetas a disponibilidad y viviendas no amueblada. ***Algunas imágenes corresponden a decoración virtual. *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,True,5596.0,False,False,False,False,[],False,False,710700.0,€,True,True,flat,"San Pascual, Madrid",Piso en calle de Torrelaguna,,,,,
108278721,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/41/95/1339328698.webp,,32,ss,179900.0,flat,sale,56.0,True,1,1,calle del Molino de Viento,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4260119,-3.70322,False,https://www.idealista.com/inmueble/108278721/,"Agencia inmobiliaria de Madrid-Tecnocasa Consulting Estudio Tribunal Centro vende planta baja/semisótano en el corazón de Madrid, en el barrio de Malasaña-Universidad. La vivienda está distribuida en la parte de la entrada por un pasillo que nos conecta con el resto de estancias. Siguiendo por el pasillo nos encontramos con el baño, completo con plato de ducha y recientemente reformado.  Dispone de un dormitorio amplio sin amueblar, que nos ofrece muchas posibilidades.  Por último, nos encontramos con el salón- cocina, con el mobiliario a estrenar, con placa vitrocerámica pero no equipada de electrodomésticos. Dispone de una ventana hacia el exterior a la misma calle Molino de Viento Es una gran oportunidad de tener una vivienda en pleno centro de Madrid la cual puede ofrecer una gran rentabilidad. En cuanto a los servicios que nos ofrece el edificio, cabe destacar que es una de las zonas mas demandadas de la capital. Donde todas las calles y rincones tienen un toque especial que combina la historia del lugar, con la modernidad de una gran ciudad como Madrid. Esta vivienda ubicada en plena zona de Malasaña, situada en el corazón de Madrid, cercana a las calles Gran Vía, Fuencarral, San Bernardo, Carranza, es una zona con gran personalidad que ha sabido reinventarse sin perder su alma. Es el lugar indicado para ir de tapas, descubrir comercios alternativos, iniciar una noche de fiesta o tomar una cerveza al sol en alguna de sus agradables terrazas. Comunicado por las estaciones de TRIBUNAL (L1 y L10), GRAN VÍA (L1 y L5) y CALLAO (L3 y 5), BILBAO (L4 Y L1) SAN BERNARDO (L2 y L4) y con todos los servicios próximos a la vivienda como líneas de autobús, bancos, comercios etc. Es sin duda, una oportunidad única de vivir en una de las mejores zonas del centro de Madrid. Para más información del inmueble no dude en contactarnos.",True,good,False,False,3213.0,True,False,True,False,[],False,False,179900.0,€,,,flat,"Malasaña-Universidad, Madrid",Piso en calle del Molino de Viento,,,,,
108425750,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/20/d4/1344514292.webp,Ayala,33,1,1200000.0,flat,sale,105.0,True,3,2,"calle de Ayala, 86",Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4272877,-3.6776431,True,https://www.idealista.com/inmueble/108425750/,"Fantástico piso a estrenar en el Barrio de Salamanca  Vivienda completamente reformada y amueblada, situada en un edificio señorial con fachada clásica, en una tranquila calle del Barrio de Salamanca. Disfruta de una excelente orientación sur y vistas a un amplio patio de manzana, lo que le confiere gran luminosidad y total ausencia de ruido de tráfico. La distribución ha sido optimizada al máximo, eliminando zonas de paso innecesarias para ofrecer espacios amplios, cómodos y funcionales. El diseño combina materiales nobles, líneas limpias y una atmósfera cálida y atemporal. Se entrega completamente amueblada con mobiliario de alta calidad, lo que permite disfrutarla desde el primer día sin necesidad de inversión adicional. Esta característica, unida a su ubicación privilegiada, la convierte también en una excelente oportunidad para inversores que buscan una propiedad de alta rentabilidad en una de las zonas más demandadas de Madrid. Cuenta con carpintería interior y mobiliario hechos a medida, aislamiento térmico y acústico integral, cocina completamente equipada, climatización eficiente, iluminación integrada y sistemas eléctricos de última generación. Una vivienda singular, pensada al detalle, en uno de los barrios más cotizados de Madrid, con todos los servicios, comercios, zonas verdes y transporte a pocos pasos. Memoria de Calidades – Vivienda a estrenar Datos generales •Ubicación: Barrio de Salamanca, Madrid •Año de construcción del edificio: 1940 •Año de reforma integral: 2024-2025 •Distribución optimizada: solo 1 m² de zona de distribución, máximo aprovechamiento de espacio útil ________________________________________ Carpintería exterior •Ventanas: Aluminio de alta gama con perfilería compacta STRUGAL •Acristalamiento: Doble vidrio con cámara y aislamiento acústico y térmico (3+3 acústico/16/4+4 bajo emisivo y solar) •Tiradores y herrajes integrados y ocultos ________________________________________ Carpintería interior y mobiliario •Fabricación a medida: Toribio Carpintería •Puertas: Desde suelo a techo, enrasadas con la pared •Bisagras: SIMONSWERK (alta gama) •Armarios empotrados: 100% a medida •Mobiliario de salón: Mueble central en nogal americano con espacio para TV, chimenea y almacenaje •Mesa comedor: Roble macizo, 3,2 m de longitud •Baños: Muebles a medida en roble natural ________________________________________ Cocina •Electrodomésticos: NEFF •Mobiliario: Laminado italiano FENIX NTM, ultra mate y antihuellas, sobre tablero de 19 mm •Herrajes: BLUM •Encimeras e isla: DEKTON de Cosentino ________________________________________ Suelos •Revestimiento: Lamas individuales de LVT (vinílico de alta gama) •Marca: PROJECTFLOORS •Diseño: Patrón espiga (herringbone) •Instalación continua en toda la vivienda, incluidas zonas húmedas •Ventajas: Cálido al paso, silencioso, resistente, fácil de limpiar ________________________________________ Grifería y fontanería •Grifería: QUADRO DESIGN (Italia), acero inoxidable cepillado •Fontanería: PVC de alta densidad, instalación totalmente nueva ________________________________________ Climatización y calefacción •Radiadores: IRSAP (Italia), diseño atemporal en configuración de “arpa” •Aislamiento térmico: En muros exteriores y patios interiores, con sistema multicapa reflexivo •Techo y suelo: Aislamiento acústico de alta densidad (40 mm), techo flotante con amortiguadores antivibración ________________________________________ Electricidad e iluminación •Instalación eléctrica completamente nueva •Mecanismos eléctricos: JUNG, serie LS990 •Domótica: Control de iluminación, persianas y estores motorizados •SAI (sistema de alimentación ininterrumpida): Oculto en cocina para emergencia eléctrica ________________________________________ Seguridad •Puerta de entrada: Acorazada ROCONSA con nivel de segur.",False,good,False,True,11429.0,True,False,False,False,[],False,False,1200000.0,€,,,flat,"Goya, Madrid","Piso en calle de Ayala, 86",,,,,
107915252,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/59/8d/ef/1328191255.webp,R10050,19,3,246000.0,flat,sale,110.0,True,3,2,calle Aranjuez,Madrid,Parla,El Nido-Las Fuentes,es,,40.2401546,-3.7753027,False,https://www.idealista.com/inmueble/107915252/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. Oportunidad de inversión: inmueble en rentabilidad. Viviendas actualmente alquiladas. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. *No se admiten visitas a la vivienda 110 m² distribuidos en un hall de acceso a través del cual acceder al amplio salón-comedor y la cocina, equipada con electrodomésticos de máxima calidad, ambas estancias muy luminosas gracias a sus amplios ventanales; la cocina además dispone de acceso a una terraza cerrada con tendedero y termo. La vivienda dispone de 3 dormitorios, con armarios empotrados, la habitación principal cuenta con baño en suite, con bañera. El aseo secundario dispone de plato de ducha. La vivienda dispone calefacción individual o central, según la vivienda, y que funciona a través de conductos. El inmueble cuenta con suelo porcelánico en baños y cocina, y de laminado en el resto de la vivienda, y ventanas de marcos color burdeos, disponen de acristalamiento tipo Climalit. El inmueble está muy bien ubicado en Parla, a pocos minutos del acceso a la A-42 y la R-4; la vivienda se encuentra rodeada por diversos parques y distintas opciones de restauración, colegios, institutos, hospitales etc. Además, dispone de fácil acceso a transporte público gracias a su cercanía a la estación cercanías de Parla (C4) al igual que varias líneas de autobuses a sus alrededores. *No se admiten visitas a la vivienda  En Testa Homes, te acompañamos durante todo el proceso de compra de la vivienda y te contamos todo con la mayor transparencia. Además, te ponemos en contacto con un asesor financiero que te informará de las mejores condiciones disponibles. También, si lo necesitas, te asesoramos y hacemos realidad la reforma de tu casa para que la disfrutes cómo si fuera nueva. *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre.",False,good,False,True,2236.0,False,False,False,False,[],False,False,246000.0,€,,,flat,"El Nido-Las Fuentes, Parla",Piso en calle Aranjuez,,,,,
107918426,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4a/bc/d9/1328275177.webp,R10075,23,1,318000.0,flat,sale,105.0,True,3,2,calle Teresa de Calcuta,Madrid,Valdemoro,Hospital,es,,40.2028109,-3.6907899,False,https://www.idealista.com/inmueble/107918426/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. Oportunidad de inversión: inmueble en rentabilidad. Viviendas actualmente alquiladas. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. *No se admiten visitas a la vivienda Vivienda sin amueblar Puerta de seguridad, suelos de tarima y armarios empotrados en las diferentes estancias. Cocina amueblada y equipada con electrodomésticos de primeras marcas. Baños con muebles y mamparas. Plaza de garaje y trastero incluidos en el precio. Finca privada con servicio de portería, ascensor, piscina comunitaria de agua salada, zona de juegos infantiles y amplias zonas verdes. Cuidada promoción de viviendas situada en la zona norte de reciente creación en Valdemoro, muy bien comunicado con la A-4, con todos los servicios que necesites, desde supermercados y locales de ocio y restauración, hasta centros educativos y de salud. Horario de atención telefónica de lunes a viernes de 9:00 a 21:00 y sábados de 9:00 a 14:00 horas.  *No se admiten visitas a la vivienda *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,True,3029.0,False,False,False,False,[],False,False,318000.0,€,True,True,flat,"Hospital, Valdemoro",Piso en calle Teresa de Calcuta,,,,,
107918394,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/3e/60/1328274991.webp,R10073,20,4,230000.0,flat,sale,60.0,True,1,1,calle Lenguas,Madrid,Madrid,Villaverde,es,Villaverde Alto,40.3413549,-3.7045917,False,https://www.idealista.com/inmueble/107918394/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. Oportunidad de inversión: inmueble en rentabilidad. Viviendas actualmente alquiladas. Consulte con nuestro Agente Comercial la información adicional sobre el inmueble y las condiciones especiales de compraventa. *No se admiten visitas a la vivienda Distribuidos en un luminoso y amplio salón, al cual acceder a través del hall de la vivienda, y que dispone de acceso a una pequeña terraza ¡que te permitirá disfrutar de espectaculares vistas! 1 dormitorio con amplio ventana y armarios empotrados, con espejo de pared-techo incluido, 1 baño con bañera, espejo y muebles incluidos. Amplia cocina totalmente amueblada y equipada con electrodomésticos de excelente calidad: horno, vitrocerámica, lavavajillas, microondas, campana extractora y nevera. Zona de aseo cerrada con celosía, con lavadora y termo. La vivienda además cuenta con calefacción individual mediante radiadores en todas las estancias, suelos de parqué, puertas de roble, ventanas de aluminio gris oscuro con Climalit y baños con porcelánico de diferentes formatos y toallero radiador. Urbanización privada con vigilancia 24 horas y servicio de portería. Las zonas comunes disponen de áreas ajardinadas y una agradable piscina. Además, tiene pista de pádel y un pequeño parque infantil. El inmueble se encuentra en Villaverde, cercano al parque Plata y Castañar y al polideportivo municipal, además a sus alrededores dispone de distintas opciones de restauración, colegios, institutos, etc. La promoción cuenta con fácil acceso en transporte público gracias a la estación de metro de Villaverde Alto (línea 3) que conecta rápidamente con el centro de Madrid. En caso de disponer de transporte privado, podrás acceder fácilmente a la autovía M-45 o M-40. *No se admiten visitas a la vivienda  Además, en Testa Homes te acompañamos durante todo el proceso de compra de la vivienda y te contamos todo con la mayor transparencia. También, te ponemos en contacto con un asesor financiero que te informará de las mejores condiciones disponibles. *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,True,3833.0,False,False,False,False,[],False,False,230000.0,€,True,True,flat,"Villaverde Alto, Madrid",Piso en calle Lenguas,,,,,
107973985,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/75/d6/7b/1329896400.webp,10123,16,bj,430000.0,flat,sale,70.0,True,2,1,calle Mercedes Formica,Madrid,Las Rozas de Madrid,Montecillo,es,Montecillo,40.4978219,-3.8832238,False,https://www.idealista.com/inmueble/107973985/,"Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble. ¿Te imaginas tu vivienda en propiedad en Las Rozas? ¡Testa Homes lo hace posible! *La vivienda y fotos publicadas corresponden a una vivienda tipo, para más información consulte a su gestor comercial. Moderna vivienda de 2 dormitorios con terraza, 2 plazas de garaje y trastero en urbanización con piscina en Las Rozas Descubre esta luminosa y moderna vivienda sin amueblar de 70 m² construidos, ubicada en una de las zonas más atractivas y bien conectadas de Las Rozas, ideal para quienes valoran la comodidad, la calidad de vida y el entorno familiar. La vivienda cuenta con un salón-comedor muy luminoso, con acceso directo a una terraza privada, perfecta para relajarse al aire libre o disfrutar de momentos con amigos y familia. La cocina independiente, totalmente amueblada y equipada con electrodomésticos de primeras marcas, combina funcionalidad y estilo. Dispone de 2 dormitorios con armarios empotrados, que maximizan el espacio de almacenaje, y un baño completo, equipado con mueble bajo lavabo y mampara de vidrio, ofreciendo un diseño práctico y moderno. Se incluyen en el precio dos plazas de garaje y trastero, una ventaja diferencial para quienes necesitan amplitud y comodidad en su día a día. La vivienda destaca por sus excelentes calidades: suelos de tarima, carpintería moderna y distribución funcional, pensada para adaptarse a diferentes estilos de vida. Además, aceptamos mascotas, porque sabemos que son parte esencial de tu hogar. Ubicada en una cuidada urbanización cerrada con vigilancia y portero físico, disfrutarás de amplias zonas comunes que incluyen zonas ajardinadas, piscina exterior y parque infantil, creando un entorno tranquilo, seguro y perfecto para familias. La zona de Las Rozas está en plena proyección y ofrece todos los servicios necesarios a pocos minutos: colegios, centros de salud, supermercados, comercios, zonas de ocio y restauración. Su ubicación estratégica garantiza una excelente conexión con Madrid capital y otras zonas gracias a su cercanía a la A-6, M-50, M-40 y a la estación de tren de Las Rozas. Una vivienda completa, moderna y lista para convertirse en tu próximo hogar. ¡Ven a conocerla! Horario de atención telefónica de lunes a viernes de 9:00 a 21:00 y sábados de 9:00 a 14:00 horas.  Consulte condiciones y disponibilidad. *Imágenes orientativas sin carácter vinculante. **Viviendas sujetas a disponibilidad y viviendas no amueblada. En Testa Homes, te acompañamos durante todo el proceso de compra de la vivienda y te contamos todo con la mayor transparencia. Además, te ponemos en contacto con un asesor financiero que te informará de las mejores condiciones disponibles. *En relación a los suministros de luz y agua, será necesario que el nuevo comprador realice el cambio de titularidad a su nombre. Con Testa Homes no pagas comisión ni honorarios de intermediación por tu inmueble.",False,good,False,True,6143.0,False,False,False,False,[],False,False,430000.0,€,True,True,flat,"Montecillo, Las Rozas de Madrid",Piso en calle Mercedes Formica,,,,,
108372048,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ed/88/a4/1342151459.webp,,50,,445500.0,chalet,sale,190.0,,5,4,calle Gabriela Mistral s/n,Madrid,Alcalá de Henares,Ensanche,es,,40.5000524,-3.3681231,True,https://www.idealista.com/inmueble/108372048/,"HISPANOASIA Servicios Inmobiliarios presenta chalet adosado de esquina en El Ensanche, 190m2 construídos repartidos en 3 plantas, porche delantero, patio privado, piscina comunitaria, ubicada en urbanización cerrada en la calle Gabriela Mistral. La vivienda está distribuída en: Planta baja – Porche-garaje, cocina totalmente equipada, aseo de cortesía, amplio salón independiente de 23m2 con aire acondicionado y acceso a patio privado con barbacoa. Primera Planta – 3 dormitorios todos con aire acondicionado y armarios empotrados, uno de ellos tipo suite con baño propio, y baño común en planta. Buhardilla – 3 estancias para diferentes usos y baño completo. Exteriores – La vivienda se sitúa en una urbanización cerrada, con piscina comunitaria y zonas verdes -Ventanas climalit -Aire acondicionado -Parquet de roble -Patio privado La ubicación es inmejorable con todos los servicios a escasos metros, supermercados, colegios, paradas de autobús, bancos, farmacias… Muy bien comunicado y fácil acceso a la Autovía A-2.",True,good,False,,2345.0,True,False,False,False,[],False,False,445500.0,€,True,True,chalet,"Ensanche, Alcalá de Henares",Chalet adosado en calle Gabriela Mistral s/n,terracedHouse,,,,
108884641,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/b5/62/63/1357903050.webp,,16,bj,175000.0,flat,sale,70.0,False,2,1,calle de Pío XII,Madrid,Colmenar Viejo,El Olivar - La Magdalena,es,,40.658666,-3.7700177,False,https://www.idealista.com/inmueble/108884641/,"CRUZ&ASOCIADOS VENDE ¡Descubre tu nuevo hogar en el corazón de Colmenar Viejo! Este piso en planta baja, totalmente reformado en 2004, ofrece una distribución perfecta para disfrutar de la vida cotidiana. Con 70 m² construidos y 65 m² útiles, cuenta con un acogedor salón, una cocina amueblada con muebles altos y bajos, un baño moderno con bañera y ducha y dos dormitorios equipados con armarios empotrados.  Ubicado en una de las zonas más céntricas, tendrás todos los servicios a tu alcance: colegios, comercios y una excelente conexión con líneas de autobuses y la estación de tren, todo a pocos minutos. Además, la urbanización incluye una zona infantil con columpios, ideal para familias con niños. Cuenta con zona de parking gratuito a poca distancia No te pierdas la oportunidad de vivir en un lugar que combina comodidad y ubicación. ¡Ven a visitarlo! Cruz&Asociados NO COBRA HONORARIOS AL CLIENTE COMPRADOR. Agente de la Propiedad Inmobiliaria 1.367. Miembro de del Registro de Agentes Inmobiliarios de la Comunidad de Madrid 353. Contamos con seguro de Caución y de Responsabilidad Civil para tu tranquilidad.",False,good,False,False,2500.0,False,False,False,False,[],False,False,175000.0,€,,,flat,"El Olivar - La Magdalena, Colmenar Viejo",Piso en calle de Pío Xii,,,,,
107771548,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/48/0c/1323332636.webp,,59,1,1530000.0,flat,sale,234.0,True,4,4,camino de los Jardines,Madrid,La Moraleja,La Moraleja urbanización,es,,40.5067189,-3.6080263,False,https://www.idealista.com/inmueble/107771548/,"INMOBILIARIA DE PABLO NO COBRA COMISIÓN AL COMPRADOR. Total construida vivienda: 201,86 Construida terraza: 32,13 Con tendedero y parte proporcional de elementos comunes. 1.580. 000 € con 2 plazas de garaje y 1 trastero. Vivienda ubicada en La Moraleja, con situación privilegiada en cuanto entorno natural y comunicaciones M40, M50, cuenta con conexiones excepcionales a las autovías radiales A1, R2. Dotada de magníficas instalaciones deportivas. La vivienda dispone de la máxima eficiencia energética A compromiso cien por cien sostenible, con fachada ventilada, aislamiento térmico, recuperador de calor con sistema de doble flujo, y suelo radiante-refrescante. Cocina integrada al amplio salón-comedor con salida a la terraza, tendedero, 4 dormitorios y 4 baños, (el principal con vestidor y baño en suite). Vigilancia 24 horas, en la urbanización se destaca los jardines y las instalaciones con 3 piscinas de adultos al aire libre, una piscina de niños, senderos en la urbanización que comunican los 5 jardines, sala de lectura Coworking, SPA climatizado, Sauna, Gimnasio y Boxeo, Sala de Baile, Lobby Kids Club, zona de juegos con toboganes y tirolina. La zona cuenta con una espléndida oferta educativa con el Colegio Base, el Colegio Escandinavo y el Colegio Highlands.",True,good,False,True,6538.0,True,False,False,False,[],False,False,1530000.0,€,True,True,flat,"La Moraleja urbanización, La Moraleja",Piso en camino de los Jardines,,,,,
