propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,district,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
107880017,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/01/b1/ee/1327087010.webp,Piso Agua 3,35,bj,160000.0,flat,sale,80.0,True,2,2,"Agua, 3",Madrid,Navalafuente,es,40.8233408,-3.6748439,True,https://www.idealista.com/inmueble/107880017/,"Ocasión! Piso de 80 m2. Piscina Comunitaria. Planta Baja con Ascensor a Cota Cero. Primeras Calidades. Distribución: 2 dormitorios con armarios empotrados, amplio salón comedor, cocina amueblada y 2 cuartos de baño (1 principal). Calidades: Fachada de monocapa, cubierta de teja de hormigón, suelos de tarima y grés, ventanas de P. V. C. , cristal climalit, puertas de paso de roble macizo, radiadores de aluminio, calefacción y agua sanitaria mediante gas propano canalizado.",True,good,False,True,2000.0,True,False,False,False,[],False,False,160000.0,€,flat,Navalafuente,"Piso en Agua, 3",,,,,,,,,
108846430,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/07/c1/6c/1356835556.webp,,17,1,225000.0,studio,sale,110.0,True,0,1,calle de Santa Leonor,Madrid,Madrid,es,40.4339746,-3.6264526,False,https://www.idealista.com/inmueble/108846430/,"Oportunidad Estratégica de la mano de Tecnocasa Suanzes-Salvador en el Polígono Empresarial de Julián Camarillo: OFICINA esquinera de 110 m² const. Presentamos una OFICINA TOTALMENTE EQUIPADA, de 110 m² en venta, ubicada en el consolidado Polígono Industrial Julián Camarillo, un enclave de referencia para el desarrollo empresarial en Madrid. Esta propiedad, situada en la primera planta de un moderno edificio construido en 1994, ofrece una solución eficiente y versátil para empresas en busca de un espacio funcional y bien comunicado. La OFICINA destaca por su diseño esquinero, que maximiza la entrada de luz natural, creando un entorno de trabajo confortable y productivo. Su distribución diáfana, con la opción de modulación mediante paneles desmontables, permite una adaptación flexible a diversas actividades industriales y comerciales. El edificio cuenta con servicio de portería de LUNES A VIERNES de 8.00h a 20:00h, garantizando la seguridad de sus instalaciones. Además, la nave dispone al acceso a zonas comunes que incluyen ascensores, aseos diferenciados y un montacargas de gran capacidad, optimizando la logística interna. La accesibilidad es un factor clave, con ausencia de barreras arquitectónicas que facilitan el tránsito de personas y mercancías. La ubicación estratégica en Julián Camarillo, con acceso directo a la estación de metro García Noblejas (línea 7) y diversas líneas de autobús, asegura una excelente conectividad con el resto de la ciudad. Esta OFICINA representa una oportunidad para empresas que buscan un espacio funcional, bien ubicado y con todas las comodidades necesarias para el desarrollo de su actividad. Su versatilidad y excelentes comunicaciones la convierten en una opción atractiva para diversos sectores industriales y comerciales. Aparte existe la posibilidad de adquirir una plaza de garaje en 15.000€.",True,good,False,True,2045.0,True,False,False,False,[],False,False,225000.0,€,flat,"Simancas, Madrid",Estudio en calle de Santa Leonor,San Blas,Simancas,True,False,15000.0,studio,,,
108199229,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/91/a1/d4/1336888467.webp,,32,1,475000.0,flat,sale,73.0,True,3,2,"calle de Palermo, 28",Madrid,Madrid,es,40.459072,-3.6488675,True,https://www.idealista.com/inmueble/108199229/,"Vivienda de unos 73 m2 de tres dormitorios y dos cuartos de baño completos ubicada en zona inmejorable, muy cerca de Avenidas de nivel como Arturo Soria, la Calle Silvano o Calle Moscatelar. La vivienda en primera planta sin ascensor consta de tres dormitorios muy amplios, uno principal y dos dobles con espacio para dos camas y un escritorio, los tres dormitorios con armarios empotrados completamente revestidos y con puertas de diseño exclusivo, completamente integradas en la habitación.  La carpintería exterior es de PVC con gran cámara de aire y oscilobatientes, proporcionando a la vivienda gran aislamiento térmico y acústico. Ahorrando así, en calefacción, la cual es por caldera de gas independiente y por radiadores de aluminio.  El suelo de la vivienda es laminado mientras que en los baños y cocina es suelo porcelánico tanto en el suelo como en paredes. Paredes lisas, instalación eléctrica completamente renovada, instalación de fontanería y gas también renovadas. La vivienda cuenta con mucha luz natural gracias a sus grandes ventanales.   La cocina con un diseño muy moderno tiene una gran encimera de silestone, campana decorativa, placa de inducción y electrodomésticos de alta gama. Los dos baños cuentan con plato de ducha y de diseño muy actual y acorde al conjunto de la vivienda. En el salón comedor tenemos aire acondicionado mientras que las tres habitaciones disponen de ventilador de techo, cuyas aspas se ocultan mientras está apagado. La vivienda está para entrar a vivir no hay que retocar nada, tan solo amueblarla, ya que se entrega vacía de mobiliario. Aunque es un primero sin ascensor, solo tiene un tramo de escalera, con lo cual no supone ningún esfuerzo acceder a la vivienda. El edificio en sí solo tiene un vecino en la planta superior. La vivienda se encuentra en una zona residencial muy tranquila, con todo tipo de servicios y muy bien comunicada, con acceso a 10 minutos de la M-30 y de la M-40. El metro más cercano que está a cinco minutos caminando es el Metro Esperanza y a 12 minutos andando el Metro Arturo Soria y varios autobuses: Línea 11 (Marqués de Viana – Barrio Blanco) Linea 70 (Plaza Castilla – Alsacia) Linea 73 (Diego de León – Feria de Madrid) Tenemos a 5 minutos andando Carrefour Market, Supermercado Dia, a 5 minutos en coche el Centro Comercial Palacio de Hielo y a 10 minutos el Hipercor Campo de las Naciones Muy próximo se encuentran colegios como el Liceo Francés, el Colegio Enseñanza e Instituto Esperanza y Colegio Internacional Británico Hastings Nexus - MM8. A 10 minutos andando Gimnasios como My Time, Basic Fit y Centro de Pilates Studio Zonna, varios Restaurantes, Farmacia, etc. Es una zona en constante desarrollo ya que hay casas bajas que se están convirtiendo en promociones nuevas, lo que le da un valor añadido a dicha zona.  El piso actualmente se encuentra alquilado con contratos de temporada que vencen a finales de Agosto de 2025, aportando a la vivienda una renta mensual de entorno a los 2.000 €, siendo muy rentable para inversores. Igualmente es una vivienda ideal para la familia de dos o tres hijos por su ubicación, servicios en la zona y distribución de la misma.",True,good,False,False,6507.0,True,False,True,False,[],False,False,475000.0,€,flat,"Canillas, Madrid","Piso en calle de Palermo, 28",Hortaleza,Canillas,,,,,,,
107145381,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/9d/01/1323569823.webp,VPIS_3913,30,2,2200000.0,flat,sale,155.0,True,3,3,"calle de Claudio Coello, 141 -139",Madrid,Madrid,es,40.4357367,-3.6853702,True,https://www.idealista.com/inmueble/107145381/,"Home Select vende estupendo piso exterior en el barrio de Salamanca, zona Castellana justo en frente de la Embajada americana. Se trata de un piso exterior, tiene 155m2 distribuidos en un amplio salón muy acogedor con chimenea y con una cocina abierta, que dispone de mesa en isla y está equipada con los principales electrodomésticos, también tiene una bonita terraza con vistas despejadas. La zona de noche tiene dos habitaciones dobles en suite y una habitación individual. Además tiene lavandería independiente con lavadora y secadora.  ref: VPIS_3913.",False,good,False,True,14194.0,False,False,False,False,[],False,False,2200000.0,€,flat,"Castellana, Madrid","Piso en calle de Claudio Coello, 141 -139",Barrio de Salamanca,Castellana,,,,,,,
108492191,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/7e/6f/f0/1346515284.webp,,30,2,1359000.0,flat,sale,141.0,True,3,3,"calle del Cardenal Cisneros, 84",Madrid,Madrid,es,40.4356719,-3.7031262,True,https://www.idealista.com/inmueble/108492191/,"Exclusiva vivienda reformada en el corazón de Chamberí – Trafalgar Ubicado en la prestigiosa calle Cardenal Cisneros 84, este espectacular piso de categoría Premium se sitúa en una 2ª planta y ofrece 141 m² distribuidos de forma óptima en 3 amplias habitaciones y 3 baños completos. Reformado con un gusto exquisito, combina a la perfección modernidad, diseño y funcionalidad. Su orientación exterior garantiza una excelente entrada de luz natural durante todo el día, creando espacios cálidos y acogedores. Totalmente amueblado y equipado, dispone de una cocina completa y un práctico cuarto de lavado. El baño de la suite principal incorpora una bañera empotrada, ideal para momentos de relax. La vivienda cuenta además con calefacción central, balcón y una terraza privada, perfecta para disfrutar del aire libre en un entorno tranquilo y urbano al mismo tiempo. Situado en una de las zonas más deseadas de Madrid, rodeado de vida cultural, oferta gastronómica, boutiques y todos los servicios necesarios, además de una excelente conexión con el transporte público. Una oportunidad única para vivir o invertir en uno de los barrios más cotizados de la capital.",False,good,False,True,9638.0,False,False,False,False,[],False,False,1359000.0,€,flat,"Trafalgar, Madrid","Piso en calle del Cardenal Cisneros, 84",Chamberí,Trafalgar,,,,,,,
108575640,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/35/18/76/1348900688.webp,ESCO758,22,,758000.0,chalet,sale,225.0,,3,3,"calle Huelva, 12",Madrid,El Escorial,es,40.5537599,-4.1213499,True,https://www.idealista.com/inmueble/108575640/,"**Casa Independiente en Venta en Pinosol, El Escorial** Sígusta Inversiones vende esta impresionante casa a estrenar en la exclusiva urbanización de Pinosol, en El Escorial. Con una parcela plana de 1.228 m², esta vivienda destaca por su diseño bioclimático y su orientación sur, que garantiza un aprovechamiento óptimo del sol durante todo el año. La construcción de 178,62 m² se distribuye en dos alturas, ofreciendo un amplio y luminoso salón con doble altura y caset de leña, ideal para disfrutar de momentos acogedores en familia. La planta baja cuenta con una moderna cocina-comedor, un cuarto de lavado y un aseo, además del dormitorio principal que incluye un vestidor y un baño con bañera y ducha. En la segunda planta, encontrarás dos dormitorios ampliados con zonas elevadas habitables y una acogedora biblioteca que se asoma al salón. Todos los espacios han sido diseñados con materiales de primera calidad y cumplen con los criterios de passivhaus, asegurando eficiencia energética. El exterior no se queda atrás; disfruta de un porche con barbacoa de 42 m² y una pérgola de 16 m², perfectos para reuniones al aire libre. La propiedad también cuenta con calefacción por aerotermia, sistema de ventilación con recuperación de calor y una solera elevada ventilada, garantizando confort durante todo el año. Además, es apta para personas con movilidad reducida y dispone de plaza de garaje. No pierdas la oportunidad de vivir en este hogar único que combina modernidad y confort en un entorno natural privilegiado.  ¡Contacta ahora para más información!",False,good,False,,3369.0,True,False,False,False,[],False,False,758000.0,€,chalet,"Pinosol - El Alcor - Peralejo, El Escorial","Casa independiente en calle Huelva, 12",Pinosol - El Alcor - Peralejo,,True,True,,independantHouse,,,
108278721,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/41/95/1339328698.webp,,32,ss,179900.0,flat,sale,56.0,True,1,1,calle del Molino de Viento,Madrid,Madrid,es,40.4260119,-3.70322,False,https://www.idealista.com/inmueble/108278721/,"Agencia inmobiliaria de Madrid-Tecnocasa Consulting Estudio Tribunal Centro vende planta baja/semisótano en el corazón de Madrid, en el barrio de Malasaña-Universidad. La vivienda está distribuida en la parte de la entrada por un pasillo que nos conecta con el resto de estancias. Siguiendo por el pasillo nos encontramos con el baño, completo con plato de ducha y recientemente reformado.  Dispone de un dormitorio amplio sin amueblar, que nos ofrece muchas posibilidades.  Por último, nos encontramos con el salón- cocina, con el mobiliario a estrenar, con placa vitrocerámica pero no equipada de electrodomésticos. Dispone de una ventana hacia el exterior a la misma calle Molino de Viento Es una gran oportunidad de tener una vivienda en pleno centro de Madrid la cual puede ofrecer una gran rentabilidad. En cuanto a los servicios que nos ofrece el edificio, cabe destacar que es una de las zonas mas demandadas de la capital. Donde todas las calles y rincones tienen un toque especial que combina la historia del lugar, con la modernidad de una gran ciudad como Madrid. Esta vivienda ubicada en plena zona de Malasaña, situada en el corazón de Madrid, cercana a las calles Gran Vía, Fuencarral, San Bernardo, Carranza, es una zona con gran personalidad que ha sabido reinventarse sin perder su alma. Es el lugar indicado para ir de tapas, descubrir comercios alternativos, iniciar una noche de fiesta o tomar una cerveza al sol en alguna de sus agradables terrazas. Comunicado por las estaciones de TRIBUNAL (L1 y L10), GRAN VÍA (L1 y L5) y CALLAO (L3 y 5), BILBAO (L4 Y L1) SAN BERNARDO (L2 y L4) y con todos los servicios próximos a la vivienda como líneas de autobús, bancos, comercios etc. Es sin duda, una oportunidad única de vivir en una de las mejores zonas del centro de Madrid. Para más información del inmueble no dude en contactarnos.",True,good,False,False,3213.0,True,False,True,False,[],False,False,179900.0,€,flat,"Malasaña-Universidad, Madrid",Piso en calle del Molino de Viento,Centro,Malasaña-Universidad,,,,,,,
106773723,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bb/01/9c/1293765235.webp,venmafreind,108,,975000.0,chalet,sale,340.0,,4,3,calle Guadiana,Madrid,Villaviciosa de Odón,es,40.3847838,-3.9406064,False,https://www.idealista.com/inmueble/106773723/,"INMODON VENTE IMPRESIONANTE CHALET ¡Descubre el hogar de tus sueños en la exclusiva urbanización El Bosque! Esta impresionante casa independiente, situada en una parcela de 2.091 m², ofrece un espacio de vida excepcional con 340 m² construidos distribuidos en dos plantas más un sótano. En la planta baja, encontrarás un amplio salón, una cocina moderna, un comedor acogedor y un dormitorio con baño privado. La planta alta alberga dos dormitorios con terraza, un baño espacioso y un dormitorio principal tipo suite con vestidor y baño completo. El sótano es perfecto para los amantes del motor, con capacidad para tres coches, además de contar con un cuarto de caldera y trastero. La parcela es un oasis de tranquilidad con una piscina refrescante, un cenador ideal para reuniones familiares y una zona de juegos para los más pequeños. La ubicación es inmejorable, cerca de prestigiosos colegios, restaurantes y la Universidad Europea de Madrid. Además, cuenta con supermercados como La Despensa o Lidl a pocos minutos. DISTRIBUCION: Planta baja tiene: recibidor amplio, 1 dormitorio con baño, salón amplio con chimenea y terraza y dos alturas con zona de comedor con salida a un impresionante porche, cocina con office y electrodomésticos y salida a al poche y cenador, despacho o cuarto multiuso. Planta alta: distribuidor con armario, 2 dormitorios con terraza y armarios empotrados, 1 baño muy amplio, dormitorio principal tipo suite con zona de vestidor y baño.  Planta sótano: garaje con capacidad para 3 coches, con 2 puertas automáticas, cuarto de caldera de calefacción que es de gasóleo. Zona de trastero.  La localidad combina a la perfección patrimonio cultural y naturaleza, ofreciendo una calidad de vida inigualable. Con excelente conexión a Madrid a través de la M-40 y M-50, esta propiedad es ideal para quienes buscan tranquilidad sin renunciar a la comodidad de la ciudad. No pierdas la oportunidad de visitar esta joya inmobiliaria que está en buen estado y cuenta con calefacción por bomba de frío/calor, orientación sur y clase energética E. ¡Ven y enamórate de tu nuevo hogar!",True,good,False,,2868.0,True,False,False,False,[],False,False,975000.0,€,chalet,"El Bosque, Villaviciosa de Odón",Casa independiente en calle Guadiana,El Bosque,,True,True,,independantHouse,,,
108767975,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f1/ac/de/1354559750.webp,,40,bj,370000.0,flat,sale,46.0,False,1,1,CL FERNANDEZ DE LOS RIOS,Madrid,Madrid,es,40.4369423,-3.7052476,False,https://www.idealista.com/inmueble/108767975/,"La Vivienda Te presentamos esta estupenda planta baja totalmente reformada con calidades modernas y DOS agradables PATIOS PRIVADOS que aportan luz, ventilación y un desahogo perfecto para tu día a día. La vivienda ha sido objeto de una REFORMA INTEGRAL RECIENTE, lista para estrenar, pensada para aprovechar al máximo cada metro cuadrado. Cuenta con un amplio salón de 15 m² con salida directa a uno de los patios, ideal como rincón chill out o zona verde. La cocina es independiente, perfecta para cocinar con comodidad, y el cuarto de baño es completo y funcional. El dormitorio doble incluye un práctico armario empotrado y también acceso al segundo patio, lo que proporciona una sensación de amplitud y privacidad inusual en este tipo de viviendas. Todas las estancias tienen ventanas a los patios, por lo que se disfruta de luz natural y buena ventilación a lo largo del día. ¡Un oasis urbano con encanto y mucha tranquilidad! En cuanto a las calidades de la reforma podemos destacar la INSTALACIÓN DE ELECTRICIDAD Y FONTANERÍA NUEVAS, recién instaladas, SUELOS CERÁMICOS imitación madera y VENTANAS de DOBLE CLIMALIT OSCILOVATIENTES EN TODAS LAS ESTANCIAS: cuarto de baño, cocina, dormitorio y salón.   La Finca La vivienda se encuentra en una finca clásica del barrio con entrada cuidada y buen vecindario. Ideal para quienes buscan un entorno residencial consolidado sin renunciar a la comodidad de tener todos los servicios a mano.  CUOTA DE LA COMUNIDAD MUY ECONÓMICA.  ITE FAVORABLE.  El Entorno Ubicada en Fernández de los Ríos 12, una calle tranquila pero a escasos metros de la Glorieta de Quevedo, una de las zonas más demandadas de Chamberí. Tendrás a solo unos pasos el Metro Quevedo (Línea 2), así como una excelente oferta de comercios, supermercados, restaurantes, colegios, centros médicos y zonas de ocio. Además, estás muy cerca de Moncloa, Arapiles y el Parque del Oeste, lo que multiplica las opciones para pasear, estudiar o trabajar. Una oportunidad única para vivir (o invertir) en una de las zonas con más vida y mejor conectadas de Madrid, en una vivienda reformada con gusto y lista para entrar a vivir. Para ampliar la información o concertar una cita, no dudes en llamarnos, estaremos encantados de atenderte y ofrecerte toda nuestra ayuda profesional, asegurando todas las medidas de higiene y respetando las circunstancias personales de cada persona, sus necesidades y prioridades. Atendiendo tus inquietudes al instante y sin esperas. Disponemos de equipo de expertos asesores financieros que pueden ayudarte a encontrar la mejor hipoteca. ¡ Homelikers, tus profesionales SIEMPRE DISPONIBLES para ti!",True,good,False,True,8043.0,True,False,False,False,[],False,False,370000.0,€,flat,"Arapiles, Madrid",Piso en Cl Fernandez De Los Rios,Chamberí,Arapiles,,,,,,,
107771548,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f3/48/0c/1323332636.webp,,59,1,1530000.0,flat,sale,234.0,True,4,4,camino de los Jardines,Madrid,La Moraleja,es,40.5067189,-3.6080263,False,https://www.idealista.com/inmueble/107771548/,"INMOBILIARIA DE PABLO NO COBRA COMISIÓN AL COMPRADOR. Total construida vivienda: 201,86 Construida terraza: 32,13 Con tendedero y parte proporcional de elementos comunes. 1.580. 000 € con 2 plazas de garaje y 1 trastero. Vivienda ubicada en La Moraleja, con situación privilegiada en cuanto entorno natural y comunicaciones M40, M50, cuenta con conexiones excepcionales a las autovías radiales A1, R2. Dotada de magníficas instalaciones deportivas. La vivienda dispone de la máxima eficiencia energética A compromiso cien por cien sostenible, con fachada ventilada, aislamiento térmico, recuperador de calor con sistema de doble flujo, y suelo radiante-refrescante. Cocina integrada al amplio salón-comedor con salida a la terraza, tendedero, 4 dormitorios y 4 baños, (el principal con vestidor y baño en suite). Vigilancia 24 horas, en la urbanización se destaca los jardines y las instalaciones con 3 piscinas de adultos al aire libre, una piscina de niños, senderos en la urbanización que comunican los 5 jardines, sala de lectura Coworking, SPA climatizado, Sauna, Gimnasio y Boxeo, Sala de Baile, Lobby Kids Club, zona de juegos con toboganes y tirolina. La zona cuenta con una espléndida oferta educativa con el Colegio Base, el Colegio Escandinavo y el Colegio Highlands.",True,good,False,True,6538.0,True,False,False,False,[],False,False,1530000.0,€,flat,"La Moraleja urbanización, La Moraleja",Piso en camino de los Jardines,La Moraleja urbanización,,True,True,,,,,
