propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,newDevelopmentFinished,parkingSpace.parkingSpacePrice
108716229,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/44/b2/6e/1353016029.webp,COSLADA,18,4,245000.0,flat,sale,74.0,True,3,1,calle de Nuestra Señora de Loreto,Madrid,Coslada,Coslada Pueblo,es,40.424082,-3.5695488,False,https://www.idealista.com/inmueble/108716229/,"Vivienda de 74 metros construidos y 52 metros útiles. La casa está totalmente reformada con muy buenas calidades. Vivienda de 3 dormitorios, salón con aire acondicionado y salida a la terraza, cocina totalmente reformada con electrodomésticos, caldera Saunier Duval con mando independiente con las revisiones al día con Saunier Duval, lavavajillas con 1 año, baño reformado.  La carpintería exterior es de la marca Kommerling con mosquitera en dormitorios y baño, carpintería interior de madera modernas, la puerta de la cocina es corredera de cristal para dar más amplitud a la cocina, suelos de tarima de madera con un grosor de 10 mm. EXCELENTES CALIDADES. Plaza de garaje incluida en el precio, NO está en la misma finca, está a 2 minutos andando. La casa se encuentra en una zona muy tranquila y cerca de todos los servicios necesarios para el día a día. El metro se encuentra a 5 minutos, la plaza del pueblo está a 5 minutos, autobuses, buenos accesos a carretera, etc Zona dotada con parques, colegios, guarderías, comercios, farmacias, etc. Gastos de comunidad son 125 euros incluida el agua, comunidad de garaje 70 euros cada 3 meses. IBI 250 euros aproximadamente. LA ENTREGA DE LA VIVIENDA SERÁ EN NOVIEMBRE/DICIEMBRE Si necesitas financiación, te podemos ayudar, llámanos.",False,good,False,False,3311.0,True,False,False,False,[],False,False,245000.0,€,True,True,flat,"Coslada Pueblo, Coslada",Piso en calle de Nuestra Señora de Loreto,,,,,,,
108592443,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/ea/4c/1349388755.webp,MCM-0095D6,60,6,1015000.0,flat,sale,121.0,True,3,2,"CL FERNANDEZ DE LOS RIOS, 95",Madrid,Madrid,Chamberí,es,40.4349844,-3.7174379,True,https://www.idealista.com/inmueble/108592443/,"Mejora tu estilo de vida en este exquisito piso con TERRAZA ACRISTALADA Y VISTAS DESPEJADAS, AMPLIO SALÓN CON CHIMENEA, 3 DORMITORIOS Y 2 BAÑOS, GARAJE Y TRASTERO. Ubicado en el vibrante corazón de Madrid. Con 121m² construidos, cuidadosamente diseñado, esta casa ofrece el lienzo perfecto para tus aspiraciones.  ¡Sin comisión de agencia!  Adéntrate en un mundo de elegancia contemporánea, donde cada detalle ha sido cuidadosamente seleccionado para tu comodidad y placer. La espaciosa sala de estar te da la bienvenida con sus cálidos suelos de madera y una elegante y moderna chimenea: el entorno ideal para veladas acogedoras o para recibir amigos. Los grandes ventanales inundan el espacio de luz natural, creando un ambiente amplio y acogedor. La elegante y bien equipada cocina es el sueño de cualquier entusiasta de la cocina, combinando a la perfección funcionalidad y estilo. Junto a la cocina, encontrarás un encantador comedor, perfecto para cenas íntimas o reuniones animadas. Para quienes teletrabajan, un espacio de oficina dedicado ofrece un remanso de paz para la productividad y la creatividad. Retírate al tranquilo dormitorio principal, un remanso de paz de 11m². Ambos dormitorios cuentan con amplios armarios. Los dos modernos baños cuentan con duchas con mampara de cristal, grifería elegante y líneas limpias, ofreciendo una experiencia de spa en la comodidad de su hogar. Este apartamento no solo ofrece comodidad interior: salga a su terraza acristalada, de vistas despejajas y respire la vibrante energía de Madrid. Es el lugar perfecto para tomar un café por la mañana o un aperitivo por la noche mientras observa cómo la ciudad cobra vida. Plaza de garaje en el mismo edificio, de fácil maniobra y con capacidad para coche grande. Olvidate de buscar parking horas y horas, disfruta de las comodidades que esta vivienda te ofrece. Y para los que siempre necesitan un extra, la vivienda cuenta con trastero, ideal para guardar todo aquello fuera de temporada.  En cuanto a las zonas comunes, disfruta de un amplio recibidor propio de edificios coloniales. Con servicio de conserjería de mañana y tarde de lunes a viernes, acceso con cámaras de vídeo vigilancia.  IBI vivienda: 815,00€ IBI garaje: 81,08€  COMUNIDAD vivienda: 344,00€ COMUNIDAD garaje: 25,00€ Con su ubicación privilegiada en la calle Fernández de los Ríos, está en el lugar perfecto para disfrutar de lo mejor de la cultura, la gastronomía y la vida nocturna de Madrid. Esta propiedad llave en mano es más que un hogar; es una invitación a abrazar el sofisticado estilo de vida urbano que siempre ha soñado. No pierda esta oportunidad de hacer realidad sus sueños madrileños.",True,good,False,True,8388.0,True,True,False,False,[],False,False,1015000.0,€,True,True,flat,"Gaztambide, Madrid","Piso en Cl Fernandez De Los Rios, 95",Gaztambide,,,,,,
107900255,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f9/37/17/1327769454.webp,,30,3,795000.0,duplex,sale,120.0,True,3,3,calle Alonso Castrillo,Madrid,Madrid,Tetuán,es,40.4581196,-3.696734,False,https://www.idealista.com/inmueble/107900255/,"Magnifico atico triplex en venta con terraza. El espacio esta perfectamente distribuido, en la primera planta se encuentran la cocina y el salón, un armario gabanero y un aseo de cortesía, en la segunda plana encontramos dos amplios dormitorios con armarios empotrados y zona de estudio con un baño central, en la ultima planta encontramos una tercera habitación que puede ser un dormitorio, un salón o una zona de estar. Esta habitación tiene un amplio ventanal donde se aprecia la terraza. Esta planta tiene un baño completo, zona de lavandería y trastero. La vivienda se encuentra en urbanización cerrada con zona verdes, jardín y zona de recreo para niños, ademas dispone de una cuidada piscina en la azotea del edificio con bonitas vistas a la ciudad. Plaza de garaje. Portero fisico. Ubicado en una zona privilegiada, estarás cerca de importantes vías como la calle Infanta Mercedes, la calle Sor Angela de la cruz, General Perón, Calle Orense, Paseo de la Castellana, Bravo Murillo y AZCA (Distrito financiero y de negocios de Madrid). Presenta una magnifica cercanía a puntos de interés turístico, zonas comerciales y de negocio. Todo ello unido a la gran oferta de espacios de ocio y gastronómicos.  Esta increíble localización hace que sea un piso ideal como primera vivienda, pero sobre todo lo convierte en la inversión perfecta para aquellos compradores que además quieren tener un activo en una zona cada ves con mas valor inmobiliario. Gabrieli Patrimonial es una empresa de gestión inmobiliaria integral, especialista en inmuebles residenciales, oficinas y locales comerciales, en Madrid.  Realizamos fotos y videos profesionales de su propiedad, planos, consultas y todos los tramites necesarios para el cierre de la operación de alquiler y compraventa, facilitando la transacción a todas las partes implicadas.  Tanto para propietarios que buscan una gestión ágil de sus inmuebles, con la solución de todos los problemas técnicos y administrativos, como para compradores y arrendatarios que necesitan una selección profesional, con atención a sus necesidades específicas, somos su mejor elección en Madrid. Especialistas en clientes internacionales, no dude en ponerse en contacto con nosotros en inglés e italiano. En todos los caso le garantizamos la mejor atención y servicio.",False,good,False,True,6625.0,True,False,False,False,[],False,False,795000.0,€,True,True,flat,"Cuzco-Castillejos, Madrid",Dúplex en calle Alonso Castrillo,Cuzco-Castillejos,duplex,,,,,
107953876,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/98/6c/9f/1329358747.webp,,25,1,760000.0,flat,sale,116.0,True,4,2,"calle de Cristóbal Bordiú, 8",Madrid,Madrid,Chamberí,es,40.4430878,-3.7033267,True,https://www.idealista.com/inmueble/107953876/,"**Home Action vende en exclusiva piso en Cristobal Bordiú - Oportunidad** Amplio piso exterior en la tranquila zona de Cristobal Bordiú, ideal para quienes buscan un hogar con potencial. Situado en un primer piso con altura de segundo/tercero. Cuenta con un luminoso salón que se abre a una encantadora terraza, perfecta para disfrutar de momentos al aire libre. La cocina independiente ofrece la posibilidad de crear un espacio a medida, mientras que las cuatro habitaciones dobles garantizan comodidad y espacio para toda la familia. Con dos cuartos de baño, uno de ellos en suite, este piso se adapta a las necesidades de cualquier hogar. Además de la terraza cuenta con un patio interior de uso exclusivo de aproximadamente 25 m², ideal para relajarse o realizar actividades al aire libre. Necesitaría reforma, y para ello la disposición del espacio permite una fácil redistribución de los tabiques al no tener muros de carga ni pilares desubicados, brindando la oportunidad de personalizar cada rincón a tu gusto. El edificio se encuentra en buen estado, con dos ascensores, además de contar con portero físico. Ubicado en una zona tranquila, está cerca de todo tipo de servicios, comercios, hospitales, colegios, centros de estudios, lo que lo convierte en una opción muy conveniente. Las conexiones de transporte son excelentes, con metro y autobuses muy cercanos, así como rápidos accesos a las autovías A6, A1 y A2. No dejes pasar esta oportunidad de adquirir un piso con tanto potencial en una ubicación inmejorable. ¡Solicita más información y ven a visitarlo! NUESTRA CARTERA DE PROPIEDADES INCLUYE OTROS INMUEBLES QUE NO APARECEN EN IDEALISTA POR EXPRESA VOLUNTAD DE SUS PROPIETARIOS EN homeaction. es.",True,good,False,True,6552.0,True,False,False,False,[],False,False,760000.0,€,,,flat,"Nuevos Ministerios-Ríos Rosas, Madrid","Piso en calle de Cristóbal Bordiú, 8",Nuevos Ministerios-Ríos Rosas,,,,,,
108584488,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/9e/7a/92/1349156205.webp,SARRIA ,16,bj,260000.0,flat,sale,51.0,True,2,1,calle de Sarria,Madrid,Madrid,Fuencarral,es,40.4726801,-3.7161249,False,https://www.idealista.com/inmueble/108584488/,"TECNOCASA ESTUDIO BETANZOS VENDE, Vivienda de dos dormitorios en la zona de Barrio del Pilar-Fuencarral-Peñagrande. Situado en la calle Sarria compuesto por dos dormitorios, salón, cocina y cuarto de baño. Planta baja, dentro de edificio. La finca se encuentra rodeada de zonas verdes a escasos minutos de la Dehesa de la Villa y del parque de Rodríguez Sahagún, con superficies comerciales: (Dia, Carrefour, Mercadona y Ahorramas) cercanos así como el centro de salud Ramón Castroviejo a escasos metros. Polideportivos y varios colegios cercanos: Ntra. Sra. De La Vega, Luis de Góngora, Colegio Virgen Del Pilar y Gregorio Marañón. Metro Linea 7 Peñagrande y Antonio Machado y líneas de autobuses 49, 128, 126, 147, 42, 132, 137, 83, 605, n22 y n23. Acceso rápido a Sinesio Delgado, Plaza de Castilla, M30 Norte, M30 Sur, M40, A6, A1 y A2. Con KIRON y sus asesores financieros podrá encontrar la hipoteca que mejor se adapte a sus necesidades de financiación. Puede beneficiarse de los convenios que tiene el Grupo Tecnocasa con diferentes entidades bancarias, con posibilidad de financiación hasta 100%. Solicite un estudio gratis y sin compromiso.",False,renew,False,True,5098.0,True,False,False,False,[],False,False,260000.0,€,,,flat,"Pilar, Madrid",Piso en calle de Sarria,Pilar,,,,,,
106593017,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b4/b7/13/1289696620.webp,,25,bj,2100000.0,flat,sale,230.0,True,5,4,"calle Ardales, 4",Madrid,Madrid,Moncloa,es,40.4601395,-3.7825584,True,https://www.idealista.com/inmueble/106593017/,"Espectacular planta baja a estrenar! Ubicado en una urbanización exclusiva y segura, piso de obra nueva construido por Single Home en 2024 ofrece un diseño moderno y funcional. Con 230 m² construidos, cuenta con 5 amplios dormitorios, incluyendo una suite principal con amplio vestidor, y 4 baños completos para tu comodidad, la cocina cuenta con electrodomésticos SIEMENS. Las terrazas rodean toda la vivienda, sumando 100 m² de espacio. Jardín privado de 275 m² perfecto para relajarse o celebrar reuniones familiares. Además, dispone de 2 plazas de garaje muy amplias y un trastero. La urbanización ofrece servicios premium como piscina y vigilancia 24 horas, asegurando tranquilidad y bienestar. La calefacción por bomba de frío/calor y gas natural (suelo radiante) y el aire acondicionado garantizan confort en cualquier estación. Entorno privilegiado con orientación sur y clase energética A. Todo esto a 1 minuto andando del centro de Aravaca. Venta directa por la Propiedad, abstenerse Agencias.",False,good,False,True,9130.0,True,False,False,False,[],False,False,2100000.0,€,True,True,flat,"Aravaca, Madrid","Piso en calle Ardales, 4",Aravaca,,,,,,
108818139,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/21/26/49/1356022780.webp,,50,3,875000.0,flat,sale,82.0,False,2,2,"calle de Juan Bravo, 65",Madrid,Madrid,Barrio de Salamanca,es,40.4326204,-3.6740001,True,https://www.idealista.com/inmueble/108818139/,"**Piso en Venta en El Barrio de Salamanca - Calle Juan Bravo** Descubre este espectacular piso recién reformado en el corazón del prestigioso Barrio de Salamanca. Con 71 m² construidos, este acogedor hogar cuenta con un salón-comedor-cocina en un diseño de espacio abierto, ideal para disfrutar de momentos inolvidables con amigos y familiares. La gran entrada de luz natural, gracias a sus tres ventanales, crea un ambiente cálido y luminoso durante todo el día. La cocina, equipada con mobiliario a medida en blanco roto y una encimera porcelánica, es perfecta para los amantes de la gastronomía. La isla central no solo sirve como barra de desayuno, sino que también se convierte en un punto de encuentro social. El comedor, con su mesa redonda y sillas de diseño, añade un toque de elegancia a este espacio. La habitación principal es un verdadero refugio, equipada con una cómoda cama Queen, un amplio walking closet y un baño en suite que proporciona privacidad y confort. El segundo dormitorio, ideal para invitados o como oficina, cuenta con una cama individual y armarios empotrados que optimizan el espacio. Con dos baños completos, este piso es perfecto para familias o para quienes buscan comodidad. Además, cuenta con portero y ascensor, lo que añade un extra de comodidad a tu día a día. Los gastos de comunidad son de 185 euros mensuales y el IBI asciende a 1.234 euros anuales. No pierdas la oportunidad de vivir en una de las zonas más exclusivas de Madrid. Este piso es la combinación perfecta de modernidad y estilo en un edificio con historia, construido en 1936. ¡Ven a verlo y déjate enamorar!",False,good,False,True,10671.0,True,False,False,False,[],False,False,875000.0,€,,,flat,"Lista, Madrid","Piso en calle de Juan Bravo, 65",Lista,,,,,,
105540178,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/89/f7/a0/1255517076.webp,14313-2025,1,4,130000.0,flat,sale,59.0,True,3,1,calle de la Hacienda de Pavones,Madrid,Madrid,Moratalaz,es,40.4061415,-3.6478482,False,https://www.idealista.com/inmueble/105540178/,"PISO OCUPADO POR PERSONA SIN JUSTO TÍTULO (Antiguo Deudor Hipotecario)ESTE INMUEBLE DEBIDO A SU ESTADO OCUPACIONAL NO ADMITE VISITASIDEAL PARA INVERSORESAmplia vivienda de 57 m², según Catastro, y 2 m² de elementos comunes. La vivienda está distribuida en salón-comedor, tres dormitorios, un cuarto de baño, cocina, vestíbulo y terraza. (La distribución de la vivienda es orientativa y no ha podido ser comprobada). Es una 4ª Planta en un bloque en buen estado de conservación. Muy bien comunicado por carretera (M-30) y transporte público. A cinco minutos a pie de la parada de autobús en calle de la Hacienda de Pavones y muy próximo a la estación de metro 'Artilleros'. Próximo a todo tipo de servicios e infraestructuras como centros educativos (CEIP Real Armada), comercios, supermercados, farmacias, zonas verdes... SIN COMISIÓN.",False,renew,False,False,2203.0,False,False,False,False,[],False,False,130000.0,€,,,flat,"Vinateros, Madrid",Piso en calle de la Hacienda de Pavones,Vinateros,,,,,,
107686824,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b3/d9/10/1356664174.webp,PIS0789,33,3,750000.0,flat,sale,67.0,False,2,2,"calle de Ayala, 154",Madrid,Madrid,Barrio de Salamanca,es,40.4268058,-3.6696068,True,https://www.idealista.com/inmueble/107686824/,"RIVERSIDE INVESTMENT ofrece vivienda reformada y amueblada en una de las calles más representativas de Goya, Barrio de Salamanca. Presentamos esta magnífica vivienda de 67m², ubicada en el corazón del Barrio de Salamanca, concretamente en Goya. Está situada en un edificio clásico de 1928.  Al entrar nos encontramos con un espacio diáfano y luminoso donde se integra el salón, el comedor y la cocina totalmente equipada, ofreciendo funcionalidad y estilo. La zona privada se compone de dos dormitorios, cada uno con su propio baño en suite y vestidor, lo que proporciona privacidad y comodidad. Su abundante luz natural crea un ambiente acogedor y sereno que inspira paz. La reforma llevada a cabo se ha realizado con materiales de primera calidad cuidando al máximo los detalles. Encontrará un suelo maravillo de roble natural, puertas lacadas con cierre magnético, baños alicatados con azulejos y griferías de tendencia. La cocina completamente revestida con muebles lacados con acabado antihuella y rematada con encimera de neolith.  Sin duda, esta vivienda es ideal para quienes buscan un hogar moderno y luminoso en una ubicación privilegiada dentro del Barrio de Salamanca en la zona de Goya.  Además, el edificio cuenta con servicio de conserjería, lo que añade un nivel extra de seguridad. [IW].",True,good,False,True,11194.0,True,False,False,False,[],False,False,750000.0,€,,,flat,"Goya, Madrid","Piso en calle de Ayala, 154",Goya,,,,,,
108707136,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d4/f0/76/1352738567.webp,,24,,217260.0,chalet,sale,124.0,,2,1,calle de Buero Vallejo,Madrid,San Martín de la Vega,,es,40.2109067,-3.5739237,False,https://www.idealista.com/inmueble/108707136/,"Las imagenes de la vivienda una vez reformada, no se corresponde con la realidad, son imágenes creadas por la Intelegencia Artificial. � **Casa baja con patio de 160 m² y garaje: potencia tu inversión y tu calidad de vida** Descubre esta casa baja con carácter y posibilidades infinitas, situada en una zona tranquila, perfecta para quienes buscan espacio, luz y la libertad de diseñar su hogar a medida. La vivienda cuenta con dos habitaciones, un salón acogedor, cocina independiente y baño completo. Su distribución funcional permite aprovechar cada metro cuadrado y adaptarlo a las necesidades de tu familia. Su gran joya es su **amplio patio de 160 m²**, un espacio exterior único donde podrás crear tu zona de ocio, jardín, huerto urbano o ese lugar para disfrutar de reuniones familiares al aire libre. Un verdadero lujo en una casa baja. Además, dispone de garaje propio, añadiendo comodidad y seguridad a tu día a día. La vivienda está para reformar, ofreciéndote la oportunidad de diseñarla a tu gusto y revalorizar tu inversión desde el primer momento. Una excelente opción tanto para quienes buscan su primera vivienda con espacio exterior como para inversores que deseen sacar rentabilidad en una zona con demanda. Si buscas una casa con patio, con potencial y con la libertad de hacerla tuya, esta vivienda es una oportunidad que no puedes dejar pasar. � **Llámanos y agenda tu visita. Te acompañamos a descubrir su potencial. ** PARA AGENDAR UNA VISITA ES NECESARIO HACER UN ESTUDIO DE VIABILIDAD PARA EN CASO DE COMPRA GARANTIZAR LA OPERACIÓN.",False,renew,False,,1752.0,False,False,False,False,[],False,False,217260.0,€,True,True,chalet,San Martín de la Vega,Casa independiente en calle de Buero Vallejo,,independantHouse,257260.0,40000.0,16.0,,
