propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,newDevelopmentFinished,detailedType.subTypology
108295498,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5b/93/27/1339847691.webp,2199,26,3,244999.0,flat,sale,116.0,True,3,2,calle Salobreña,Madrid,Madrid,Usera,es,12 de Octubre-Orcasur,40.3672168,-3.7013959,False,https://www.idealista.com/inmueble/108295498/,"Merino vender piso de 3 Habitaciones y 2 Baños en Zona Céntrica de Madrid - Descripción del Piso - 116 metros cuadrados distribuidos en: - 3 habitaciones, 2 de ellas tipo suite - Amplio salón-comedor - 2 baños, uno con bañera y otro con plato de ducha - Cocina - Terraza - Trastero - Características - Puerta blindada - Suelo de gres - Paredes de gotelé - Calefacción individual de gas natural - Armarios empotrados - Aire acondicionado en el salón - Ubicación - A 5 minutos de la Estación de Cercanías Orcasitas - A 10 minutos de la estación del metro de San Fermín-Orcasur (Línea 3) - Excelente conexión con la M30, M40 y A-42 - Zona consolidada con servicios como: - Supermercados - Colegios - Farmacias - Centros de salud - Cafeterías y comercios - Cerca de parques y zonas verdes Otras opciones de título podrían ser: - Piso Espacioso en Orcasitas, Madrid - Vivienda de Lujo en Zona Céntrica de Madrid - Piso de 3 Dormitorios y 2 Baños en Madrid - Oportunidad de Vivienda en Orcasitas, Madrid. AGENDA TU VISISTA            TRABAJAMOS PARA USTED.",True,good,False,False,2112.0,True,False,False,False,[],False,False,244999.0,€,249999.0,5000.0,2.0,flat,"12 de Octubre-Orcasur, Madrid",Piso en calle Salobreña,,,,,
108589436,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/70/53/1349326151.webp,RAIMUNDO,47,bj,995000.0,flat,sale,140.0,True,4,3,calle de Raimundo Fernández Villaverde,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4463551,-3.6981956,False,https://www.idealista.com/inmueble/108589436/,"MONTERO MOLINA ASESORES INMOBILIARIOS, vende este espectacular piso de lujo, exterior, totalmente reformado, a estrenar, ubicado en una de las zonas más exclusivas de Madrid. El inmueble con 140 metros cuadrados construidos de superficie, se distribuye de la siguiente manera: un hall de entrada, que da acceso a un gran salón comedor, con una cocina americana, totalmente integrada, equipada con electrodomésticos de alta gama, y una isla. Cuenta con Tres dormitorios espaciosos, y una habitación-despacho, todos con armarios empotrados, uno de ellos con vestidor. Dispone de 3 baños completos, 2 de ellos en suite. Es importante, resaltar, que en la reforma y en el interiorismo, se ha cuidado, hasta el mínimo detalle, utilizando materiales de primera calidad. Tiene un diseño funcional y moderno donde se funden diferentes elementos decorativos en un estilo que contiene, belleza, elegancia y calidad.  El inmueble se entrega totalmente amueblado, según reportaje fotográfico, con una cuidada selección de mobiliario contemporáneo y sofisticado, equipado con electrodomésticos de última generación de marcas reconocidas. La calefacción es centralizada, y al aire acondicionado por conductos.  El edificio cuenta con ascensor y conserje En una ubicación privilegiada, cerca al Paseo de la castellana, está muy bien comunicado mediante varias líneas de metro, autobús, estación de cercanías de Nuevos Ministerios, lo que garantiza fácil acceso a cualquier punto de la ciudad. Rodeado de servicios, comercios de lujo, Corte Inglés, AZCA, restaurantes y colegios internacionales, este inmueble es una excelente oportunidad, para quienes buscan calidad de vida en el corazón de la capital. En este inmueble, no cobramos honorarios de intermediación al comprador. Contacta con nosotros, estaremos encantados de atenderte.",True,good,False,True,7107.0,True,False,False,False,[],False,False,995000.0,€,,,,flat,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso en calle de Raimundo Fernández Villaverde,,,,,
108471379,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/a2/89/1347326942.webp,1322,51,2,6000000.0,flat,sale,275.0,True,4,4,Alcalá,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4214983,-3.6812823,False,https://www.idealista.com/inmueble/108471379/,"Exclusiva vivienda en esquina frente al Retiro – Reformada y amueblada con piezas de diseño En una ubicación inmejorable, frente al Parque del Retiro y en plena Calle de Alcalá, se encuentra esta impresionante propiedad situada en una finca señorial del Barrio de Salamanca. Completamente reformada con calidades excepcionales y mobiliario de diseño –incluyendo piezas de Roche Bobois–, esta vivienda es una auténtica joya arquitectónica. La propiedad ocupa una superficie de 275 m² y se distribuye en una planta totalmente exterior, con ocho balcones y un espectacular mirador con vistas despejadas al parque. La orientación este-oeste garantiza una luminosidad constante durante todo el día, acentuando los acabados de lujo en cada rincón. El acceso principal da paso a un amplio recibidor que anticipa la elegancia de la vivienda, con techos de 3,20 metros de altura decorados con molduras originales y un sistema de iluminación indirecta que permite crear ambientes versátiles. El salón se abre hacia el sur con dos balcones, mientras que el comedor, ubicado junto al mirador, recibe abundante luz natural. La cocina, equipada con electrodomésticos de alta gama y una gran isla central, combina diseño y funcionalidad en perfecta armonía. La zona privada cuenta con cuatro dormitorios, tres de ellos con baño en suite. El dormitorio principal incluye un vestidor de generosas dimensiones. Además, la vivienda dispone de un aseo de cortesía y una zona de lavandería independiente, equipada con lavadora y secadora. Entre sus comodidades destacan la calefacción por suelo radiante, aire acondicionado por conductos y un avanzado sistema domótico que permite controlar climatización, iluminación y otros aspectos del hogar de forma sencilla. Una residencia exclusiva, luminosa y sofisticada, ubicada en el corazón de la Milla de Oro madrileña, rodeada de boutiques de lujo, restaurantes de prestigio y con el Retiro como vecino privilegiado. Para más detalles o concertar una visita, no dude en contactar con nosotros.",False,good,False,True,21818.0,True,False,False,False,[],False,False,6000000.0,€,,,,flat,"Recoletos, Madrid",Piso en Alcalá,True,False,60000.0,,
108348495,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/4b/4a/1341427681.webp,,19,6,5100000.0,flat,sale,335.0,True,5,5,calle de Serrano,Madrid,Madrid,Barrio de Salamanca,es,Castellana,40.4293926,-3.6860052,False,https://www.idealista.com/inmueble/108348495/,"En una de las zonas más prestigiosas de Madrid, en la Calle Serrano, se encuentra este magnífico inmueble situado en la sexta planta de un elegante edificio. Su fachada orientada al Este garantiza una luminosidad excepcional a lo largo del día, creando un ambiente cálido y acogedor. Con una distribución de 335 m², esta propiedad destaca por su espacioso diseño que combina confort y estilo, ideal para familias o aquellos que buscan un hogar con amplitud y buen gusto. La vivienda cuenta con un salón doble, comedor y gran despacho. La zona privada se distribuye en cinco dormitorios, cada uno con acceso a su propio baño, sumando un total de seis baños en toda la vivienda. La reforma realizada hace unos años se refleja en los acabados de alta calidad y en el mantenimiento impecable, lo que permite disfrutar de un hogar moderno sin renunciar a la elegancia clásica de la zona. Además, la ubicación es inmejorable: situándose entre José Ortega y Gasset y Juan Bravo, se encontrará rodeado de una amplia oferta de servicios, restaurantes de alta gama y boutiques exclusivas. Este inmueble no solo representa un espacio de vida excepcional, sino también una oportunidad única de vivir en el corazón de Madrid. No deje pasar la oportunidad de adquirir esta joya inmobiliaria que combina lujo, comodidad y una ubicación privilegiada.",False,good,False,True,15224.0,True,False,False,False,[],False,False,5100000.0,€,,,,flat,"Castellana, Madrid",Piso en calle de Serrano,,,,,
106324369,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/66/d6/84/1279428569.webp,Viv. 12.14,8,,660000.0,chalet,sale,245.0,,4,3,De la Unión Europea s/n,Madrid,Villaviciosa de Odón,El Bosque,es,,40.3676675,-3.9236543,True,https://www.idealista.com/obra-nueva/106324369/,"Tu nuevo hogar en Elysium te ofrece la combinación perfecta de elegancia y funcionalidad. Si estás buscando un hogar que combine lujo, comodidad y un entorno natural, Elysium Residencial en Villaviciosa de Odón es una opción maravillosa. Estas viviendas unifamiliares pareadas en régimen de cooperativa, ofrecen amplias zonas verdes, perfectas para disfrutar en familia, ya sea con los más pequeños o los mayores. Imagina relajarte en una piscina de agua salada, hacer ejercicio en la zona de aparatos de gimnasia para adultos, o simplemente descansar bajo una sombrilla en una de las hamacas.  Las casas son espaciosas y cuentan con un garaje en la planta sótano de 75 m², ideal para tres vehículos. En la planta baja, disfrutarás de una amplia parcela, un porche tanto delantero como trasero, un salón comedor acogedor y una cocina integrada. Además, hay un dormitorio y un baño con ducha en esta planta. En la planta superior, encontrarás tres dormitorios, uno de ellos tipo suite con un amplio vestidor y terraza. Elysium no solo es un lugar para vivir, sino un verdadero refugio de paz y tranquilidad para toda la familia. Si te interesa, ¡no dudes en preguntarnos.",True,newdevelopment,True,,2694.0,False,False,False,False,[],False,False,660000.0,€,,,,chalet,"El Bosque, Villaviciosa de Odón",Chalet pareado en De la Unión Europea s/n,True,True,,False,semidetachedHouse
108858572,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2c/da/83/1357658612.webp,JA23 01 DA,31,1,595000.0,flat,sale,66.0,True,1,1,"calle de José Abascal, 23",Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4386055,-3.699491,True,https://www.idealista.com/inmueble/108858572/,"PROPERTY PLUS VENDE Precioso Apartamento NUEVO A ESTRENAR, totalmente amueblado y equipado en pleno corazón de Chamberí, con 6 grandes ventanales al exterior.. . Super Luminoso!  Extraordinaria Oportunidad de Inversión ó cómo vivienda habitual!  Ubicado en finca representativa con ascensor, se trata de amplio apartamento de 66 m2 exterior y súper luminoso. Estupendo salón con Tv, chimenea eléctrica y con preciosa cocina totalmente equipada con electrodomésticos panelados ( lavadora/ secadora, lavavajillas, horno/microondas, frio. ), iluminación ambiente en toda la vivienda, Aire Acondicionado por splits. Amplísimo dormitorio con armarios empotrados vestidos, zona de trabajo, y 3 grandes ventanas al exterior! Súper espacioso! Extraordinarias calidades! Contacte con nostros los 7 días de la semana para concertar una visita sin compromiso!",True,good,False,True,9015.0,False,False,False,False,[],False,False,595000.0,€,,,,flat,"Nuevos Ministerios-Ríos Rosas, Madrid","Piso en calle de José Abascal, 23",,,,,
108217192,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d2/88/e8/1337502224.webp,,53,3,1230000.0,flat,sale,189.0,True,5,3,calle Arcipreste de Hita,Madrid,Madrid,Chamberí,es,Gaztambide,40.4338494,-3.7162498,False,https://www.idealista.com/inmueble/108217192/,"Vivienda Singular de Gran Tamaño en Chamberí – Gaztambide Posibilidad de convertirse en dos viviendas. Gran salón comedor y cocina Altura de techo 3,40mts 5 dormitorios, 2 baños + 1 aseo, 4 balcones exteriores, magnífica luz natural, suroeste. En el corazón del codiciado barrio de Gaztambide (Chamberí), esta vivienda reúne todo lo que una familia desea para construir un hogar lleno de bienestar: espacio, estilo, luz natural,ubicación privilegiada y una calidad de vida excepcional en pleno Madrid. Situada en una finca representativa con tres ascensores y una comunidad residencial consolidada y tranquila, este inmueble destaca por su versatilidad, y su enorme potencial. Cuenta con dos accesos independientes —entrada principal y entrada de servicio—,lo que facilita una organización práctica desde el primer día. Además, ofrece una oportunidad fantástica de reforma, ideal para diseñar un gran espacio abierto donde la cocina y el salón se integren con naturalidad, creando un ambiente moderno, familiar y acogedor, altura de techo 3,40 mts. en toda la vivienda  Un hogar que invita a quedarse desde que cruzas el umbral. Esta propiedad te envuelve con su luz, su amplitud y su calidez. El salón comedor, con dos balcones exteriores orientados al suroeste, ofrece un entorno luminoso que invita a compartir, relajarse y disfrutar del día a día. La vivienda cuenta con techos altos en todas las estancias, lo que realza aún más la sensación de amplitud y le aporta un carácter señorial, elegante y único que pocos inmuebles en Madrid pueden ofrecer. Dormitorios que se convierten en espacios personales. La propiedad dispone de cinco dormitorios, de los cuales tres son dobles, amplios y versátiles, los otros dos, individuales, pueden funcionar como habitación infantil, despacho o sala auxiliar. El dormitorio principal, tipo suite, cuenta con baño incorporado y espacio ideal para un vestidor. Además, incluye dos baños completos y un aseo de cortesía, estratégicamente ubicados. Presenta un excelente aprovechamiento del espacio gracias a sus armarios empotrados en todos los dormitorios, amplios, discretos y perfectos para mantener el orden sin recargar visualmente los espacios. Incluye además un trastero exterior privado en la finca. Comunicación excelente: Intercambiador de Moncloa A tan solo 2 minutos caminando, esta propiedad goza de una de las mejores conexiones de transporte de la ciudad: •Metro: Líneas 3 y 6 (Circular) •Autobuses EMT urbanos •Autobuses interurbanos: hacia Majadahonda, Las Rozas, Galapagar, Villalba, Moralzarzal… •Lanzaderas universitarias a Ciudad Universitaria, Somosaguas y Pozuelo •Acceso directo a la A-6 y M-30 Una ubicación privilegiada que conecta con toda la ciudad sin depender del coche. Un entorno vibrante rodeado de comercios, como El Corte Inglés de Argüelles, supermercados, tiendas de barrio, Zara, Zara Home, Mango y más. Disfruta de un Boulevard urbano con cafeterías, restaurantes, panaderías, floristerías, gimnasios y servicios de bienestar. A escasos pasos de la Ciudad Universitaria, con la Complutense y la Politécnica de Madrid como referentes académicos. Zona educativa completa, con colegios concertados, privados y públicos de gran reputación. Cercanía a hospitales de primer nivel: Clínico San Carlos, Fundación Jiménez Díaz, Moncloa (Asisa) y clínicas privadas. Entorno natural privilegiado: Parque del Oeste, Templo de Debod, Casa de Campo y Parque de la Bombilla. Un barrio lleno de vida que combina tranquilidad, servicios, cultura y naturaleza. Ideal para familias, profesionales o inversores que buscan vivir o invertir con proyección. Ubicación estratégica con conexión directa por metro, autobuses y lanzaderas universitarias. A tan solo 2 minutos del Intercambiador de Moncloa y acceso inmediato a A-6 y M-30. AMTEAS HOME – Real Estate con alma y compromiso: te acompañamos a construir tu nueva vida.",False,renew,False,True,6508.0,True,False,False,False,[],False,False,1230000.0,€,1250000.0,20000.0,2.0,flat,"Gaztambide, Madrid",Piso en calle Arcipreste de Hita,,,,,
108830865,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/02/f3/ff/1356393433.webp,HBLS1652,52,,880000.0,chalet,sale,373.0,,4,4,Miramadrid,Madrid,Paracuellos de Jarama,Miramadrid,es,,40.5000415,-3.5191968,False,https://www.idealista.com/inmueble/108830865/,"Magnifico Chalet Independiente en Venta Miramadrid, Paracuellos de Jarama 4 dormitorios, 373m² HBLS1652 Home Boutique Real Estate vende magnifico chalet independiente, en parcela de 400 m² en Miramadrid, Paracuellos de Jarama. Comenzamos nuestra visita por el Hall, con armarios empotrados, amplio y luminoso salón, con acceso directo a la zona exterior de jardín. Seguimos nuestro paseo por el comedor independiente que nos da paso a la cocina con office, totalmente renovada y amueblada, con modernos muebles de alta calidad y acceso a la zona lateral de la vivienda. Además de un baño completo. Subimos a la primera planta donde encontramos la zona de descanso, con 4 cómodos dormitorios, un baño completo con plato de ducha y mampara, 2 lavabos e inodoro separado con ventilación natural. El dormitorio principal en suite, baño con bañera, plato de ducha también con mampara, doble lavabos, sanitario independiente y ventilación natural. Todos los dormitorios tienen armarios empotrados revestidos. En esta misma planta, encontramos una gran terraza de 18 m² con acceso desde la suite principal y otro dormitorio. En segunda planta buhardilla diáfana con zona libre, cerrada con puerta y cristal, dando total privacidad al ambiente. Ventana velux y aire acondicionado por Split. En planta sótano encontramos el cuarto de lavado, aseo, habitación con gimnasio y amplio garaje de 57 m² con cargador para coche eléctrico y espacio para almacenamiento. En zona exterior, hermoso porche con espacio para mesa comedor y zona chill out y barbacoa de obra, dotado de grandes toldos. Piscina de cloración salina, muros de obra en toda la zona de jardín y riego automático. Cabe destacar las siguientes características de la vivienda: - Pintura lisa - Aire acondicionado por Split en todas las estancias. - Cocina moderna marca Santos - Garaje con cargador instalado para coche eléctrico - Todas las ventanas y puertas con rejas y mosquiteras - Ventanas oscilobatientes La urbanización Miramadrid pertenece al término municipal de Paracuellos de Jarama, situada al Noroeste de la Comunidad de Madrid, con la comodidad de acceso a las principales carreteras, a un paso de la capital y del aeropuerto internacional Adolfo Suárez Madrid Barajas y todos los servicios a su alcance (escolares, comerciales, transporte público, sanitarios, etc. ). Para más información, nuestro Equipo está a su disposición.",False,good,False,,2359.0,True,True,False,False,[],False,False,880000.0,€,,,,chalet,"Miramadrid, Paracuellos de Jarama",Casa independiente,True,True,,,independantHouse
108903265,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a6/66/c8/1358460190.webp,,15,bj,198000.0,flat,sale,72.0,True,1,1,Guadarrama,Madrid,Guadarrama,,es,,40.6760208,-4.0795528,False,https://www.idealista.com/inmueble/108903265/,"Bonito apartamento exterior en Urbanización Guadarrama. Se distribuye en salón comedor con salida a terraza, cocina independiente y totalmente equipada, dormitorio amplio con armarios empotrados ( antes disponía de 2 dormitorios) y baño completo.  Cuenta con muy buena ubicación y bonitas vistas a la sierra.  La Urbanización cuenta con seguridad, pistas deportivas como tenis, pádel, baloncesto, piscina y zonas ajardinadas.  POCOS GASTOS DE COMUNIDAD.  Próximo a restaurantes variados como el Restaurante Sala conocido por su marisco y comida europea, asador Esther, etc...",False,good,False,False,2750.0,True,False,False,False,[],False,False,198000.0,€,,,,flat,Guadarrama,Piso,,,,,
108798659,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/60/96/d5/1355461197.webp,108798659,24,,450000.0,chalet,sale,250.0,,3,2,CL AJALVIR,Madrid,Cobeña,,es,,40.5612523,-3.5013634,False,https://www.idealista.com/inmueble/108798659/,"OPORTUNIDAD INVERSORES, PISO EN VENTA CON RENTABILIDAD, NO SE PUEDE VISITAR. ACTUALMENTE CON CONTRATO EN ALQUILER VIGENTE. DISPONEMOS DE UNA AMPLIA CARTERA DE INMUEBLES ALQUILADOS Y LOCALES EN RENTABILIDAD. Vivienda unifamiliar de 250 m² en el municipio de Cobeña (Madrid). Esta vivienda, ubicada en una zona residencial, ofrece un amplio espacio para personalizar a tu gusto, contando con aparcamiento, porche delantero y patio trasero. Cobeña se encuentra muy bien comunicada con Madrid con varias líneas de autobuses interurbanos y vías principales. Es un municipio muy tranquilo junto a un entorno natural único -La Dehesa de Cobeña- y con todos los servicios al alcance de su mano: colegios, parques, polideportivo, servicios médicos y amplia zona de tiendas, comercios y restaurantes… Es ideal para quienes buscan comodidad y amplitud en una ubicación privilegiada.",False,good,False,,1800.0,False,False,False,False,[],False,False,450000.0,€,,,,chalet,Cobeña,Casa independiente en Cl Ajalvir,True,True,,,independantHouse
