propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,neighborhood,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage
108717457,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e3/14/d0/1353054068.webp,3489-02954,19,4,339000.0,duplex,sale,138.0,True,3,2,"calle Doctor Mata, 10",Madrid,Valdemoro,Guardia Civil - Zona Industrial,es,40.1947601,-3.6760731,True,https://www.idealista.com/inmueble/108717457/,"Vendemos este magnífico atico duplex recientemente reformado, situado en una de las zonas residenciales mas tranquilas de Valdemoro.  La distribución se compone de salón de buen tamaño diafano y muy luminoso gracias a su orientación con amplios ventanales de doble acristalamiento, cocina de diseño, con barra americana, electrodomésticos empotrados y desayunador, 3 amplios dormitorios de buenas dimensiones y dos baños completos con bellos acabados desde las dos habitaciones principales se puede acceder a la terraza de 39 metros con barbacoa. Una de las grandes ventajas de este atico es que es muy luminoso y soleado. Además, cuenta con doble acristalamiento en todo el piso, video portero conectado, gimnasio y trastero. La ubicación es simplemente inmejorable, a pocos minutos del cercanías de RENFE, parada de bus en el mismo edificio que te llevan a todas las zonas de Valdemoro y fácil salida a la autovía A-4. Además, colegio concertado y bilingue muy cerca y el barrio ofrece una rica oferta cultural y gastronómica, con numerosos restaurantes, cafeterías y tiendas a tu disposición.",False,good,False,True,2457.0,False,False,False,False,[],False,False,339000.0,€,flat,duplex,"Guardia Civil - Zona Industrial, Valdemoro","Dúplex en calle Doctor Mata, 10",,,,,,
108126486,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/15/e3/09/1334645368.webp,NRE-AR4,18,1,184000.0,flat,sale,73.0,True,2,1,paseo del Deleite s/n,Madrid,Aranjuez,Vergel-Las Olivas,es,40.0242751,-3.6189558,True,https://www.idealista.com/inmueble/108126486/,"NAVARRO REAL ESTATE vende piso en Aranjuez - Vergel / Las Olivas. Desde NAVARRO REAL ESTATE tenemos el placer de anunciarles en exclusiva este fantástico piso en perfecto estado, listo para entrar a vivir. Amplio piso compuesto por dos dormitorios y un baño. Al entrar en la vivienda encontramos un distribuidor que nos conduce a todas las estancias de la vivienda. El salón - comedor es muy amplio, cuenta con un balcón. La cocina se encuentra totalmente equipada, con electrodomésticos y muebles a medida. Los dos dormitorios son dobles, muy amplios y cuentan con armarios empotrados. El baño cuenta con un plato de ducha. Calidades de la vivienda: paredes de gotelé, suelo de gres, carpintería interior de roble macizo, puerta exterior blindada de seguridad y ventanas de tipo Climalit. La finca cuenta con ascensor. Urbanización cerrada con conserje físico. Este inmueble tiene una ubicación céntrica, ofreciendo fácil acceso a servicios y comodidades como comercios, supermercados, transporte público y zonas de ocio. No dude en llamarnos para concertar una cita para poder visitar el piso. Disponemos de departamento financiero para asesorarle y si lo necesita, conseguir las mejores condiciones para su hipoteca.",True,good,False,True,2521.0,True,False,False,False,[],False,False,184000.0,€,flat,,"Vergel-Las Olivas, Aranjuez",Piso en paseo del Deleite s/n,,,,,,
108857398,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/1e/9f/67/1357163272.webp,0056-00599,44,,1090000.0,chalet,sale,232.0,,4,3,calle Unicornio s/n,Madrid,Madrid,Moncloa,es,40.4497707,-3.7897455,True,https://www.idealista.com/inmueble/108857398/,"Descubre esta impresionante propiedad en Aravaca, Madrid, ideal para quienes buscan comodidad y estilo. Con un precio de 1.090. 000€, esta vivienda de 232m² ofrece un entorno perfecto, cerca de estaciones de tren, complejos deportivos y amplias zonas verdes, garantizando una calidad de vida excepcional. La casa cuenta con un diseño funcional que incluye una suite principal, un salón luminoso, una cocina equipada y un jardín privado. Disfruta de la comodidad del aire acondicionado, la seguridad de una puerta de alta seguridad y la calidez del suelo de moka. Además, tendrás acceso a una piscina común, ideal para relajarte en los días soleados. Ubicada en una zona privilegiada, esta propiedad te ofrece acceso rápido a todas las comodidades necesarias, desde tiendas hasta espacios recreativos. No pierdas la oportunidad de vivir en este hogar único; ¡contáctanos hoy para más información y concertar una visita!",False,good,False,,4698.0,False,False,False,False,[],False,False,1090000.0,€,chalet,independantHouse,"Aravaca, Madrid",Casa independiente en calle Unicornio s/n,Aravaca,True,True,,,
107512694,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/b0/7c/1314670115.webp,,47,bj,700000.0,flat,sale,102.0,True,6,2,calle de Cristóbal Bordiú s/n,Madrid,Madrid,Chamberí,es,40.4430516,-3.6992924,True,https://www.idealista.com/inmueble/107512694/,"CALMA. es les presenta este piso de lujo para alquiler por habitaciones de ensueño en pleno Barrio de Chamberí que te aportará una rentabilidad superior al 4,50% neto anual con calidades de lujo para inversores conservadores. El espacio ofrece una superficie de 102 m2 construidos y 92 m2 útiles, aprovechando al máximo detalle su distribución. La zona de noche se compone de 6 amplias y acogedoras habitaciones de uso individual. Las habitaciones se alquilan en el entorno de los 700€-750€ más gastos siendo una excelente inversión para un inversor conservador. Las zonas comunes están distribuidas con una cocina, con un diseño vanguardista y totalmente equipada además de por dos completos baños con ducha y muy funcionales. Gracias a su estratégica orientación y ubicación en el edificio, disfrutarás de una abundante iluminación natural en todas las áreas. Todas las habitaciones se entregan totalmente amuebladas con muebles de primer nivel, así como nevera individual, armario empotrado con luz y aire acondicionado en cada habitación. El barrio de Chamberí se trata de una de las mejores zonas para invertir debido a su alta demanda de habitaciones por su cercanía al centro financiero de AZCA, las universidades de Minas, Nebrija, CEU San Pablo, ICADE así como los mejores restaurantes de la ciudad. Inviertes en un piso realizado con las mejores calidades del mercado garantizando una buena inversión. Trabajamos con marcas como Roca, Parador, Cortizo, Bticino, Mitsubishi.   Ofrecemos garantía postventa única en el sector y te entregaremos tu inversión con planos “as built” como si de obra nueva se tratase. En CALMA. es creamos hogares únicos e inversiones rentables.",False,good,False,True,6863.0,True,False,False,False,[],False,False,700000.0,€,flat,,"Nuevos Ministerios-Ríos Rosas, Madrid",Piso en calle de Cristóbal Bordiú s/n,Nuevos Ministerios-Ríos Rosas,,,,,
28009994,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/15/45/63575192.webp,,34,,750000.0,chalet,sale,220.0,,4,3,"calle Solana, 1",Madrid,San Lorenzo de El Escorial,La Pizarra,es,40.6220325,-4.1184247,True,https://www.idealista.com/inmueble/28009994/,"Una joya arquitectónica. Descubre esta vivienda creativa, de gran solidez, llena de buenas sensaciones.  vivienda única y excepcional, premio nacional de arquitectura proyectada por el renombrado arqto. Fernando higueras, en perfecto estado conservación.  con 220 m² construidos, la casa cuenta con 4 amplios dormitorios y 3 baños completos, ideal para una familia que busca comodidad y estilo.  estructura circular de hormigón armado, sillería de granito macizo e impresionante cúpula central en salón. Los materiales de primerísima calidad, inigualables hoy día, suelos de grés catalán hq, carpintería exterior madera con grandes ventanales, dotan a esta vivienda de una singularidad y de una calidad muy poco frecuente que añaden un toque de elegancia a cada rincón.  vivienda sin pasillos, aprovecha al máximo la superficie, creando una sensación de amplitud y libertad.  esta casa es más que un hogar, es un estilo de vida.  la vivienda de 1 sola planta, dispone de 4 dormitorios y 3 baños completos, gran salón con cúpula central unido al comedor, amplios espacios diáfanos, e inmensos ventanales que gozan de unas vistas panorámicas excepcionales y proporcionan muchísima luz.  la terraza también circular de unos 80 m2 rodea toda la vivienda proporcionando espacios para disfrutar de diferentes lugares en el jardín, de unos 1.00m2 totalmente consolidado, ajardinado con árboles (principalmente encinas y madroños, ) y arbustos autóctonos que permiten tener poca necesidad de agua. No obstante, el jardín dispone de riego automático.  extras: garaje cerrado puerta automática 2 plazas min. + comedor exterior+ jacuzzi+ semisótano que pudiera sacarse 1 habitación y baño más, salón de juegos, etc. No dejes pasar la oportunidad de vivir una obra maestra arquitectónica que combina diseño impactante con un interiorismo sencillo.  por favor citas concertadas con antelación: teléfono.",False,good,False,,3409.0,True,False,False,False,[],False,False,750000.0,€,chalet,independantHouse,"La Pizarra, San Lorenzo de El Escorial","Casa independiente en calle Solana, 1",,True,True,,,
106976705,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a5/9b/8d/1299268960.webp,,28,1,469000.0,flat,sale,85.0,True,3,3,calle de Teruel,Madrid,Madrid,Tetuán,es,40.4521916,-3.7013638,False,https://www.idealista.com/inmueble/106976705/,"Nueva Lega Servicios Inmobiliarios les ofrece este fabuloso piso en rentabilidad, buena oportunidad de inversión, ya que la renta actual ya lleva unos años y se podría actualizar.   Se encuentra en la 1º planta, con 85m2 de superficie construida y 75 del piso, cuenta con el suelo de tarima flotante, ventanas de climalit, paredes en liso.  Actualmente son 3 dormitorios y cada uno cuenta con su propio baño tipo suite, aire acondicionado y termo de agua caliente.  Ubicación ese excelente, está a un paso de la Avenida Bravo Murillo, calle muy concurrida y con todo tipo de comercios para el día a día.  Ven a conocerlo, no lo dejes escapar, le ayudaremos el tema de la financiación.  Ideal para inversión, tendrás la rentabilidad garantizada desde el primer día.  Cuota de Comunidad: 39,97€   Cuota del IBI: 438,39€  Próxima ITE: 31-12-2031.",True,good,False,False,5518.0,True,False,False,False,[],False,False,469000.0,€,flat,,"Cuatro Caminos, Madrid",Piso en calle de Teruel,Cuatro Caminos,,,,,
108796572,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/95/f5/79/1355397191.webp,108796572,21,bj,150000.0,flat,sale,56.0,True,2,1,CL BURETA,Madrid,Madrid,Barajas,es,40.4669118,-3.5898381,False,https://www.idealista.com/inmueble/108796572/,"OPORTUNIDAD INMUEBLE SIN POSESIÓN, NO SE PUEDE VISITAR. PROPIO PARA INVERSORES O VECINOS QUE CONOZCAN EL INMUEBLE. Este acogedor y luminoso piso de 44.25 m² en MADRID es ideal para quienes buscan comodidad y amplitud en una ubicación privilegiada. Con 44.25 m² útiles, esta vivienda ofrece un amplio espacio para personalizar a tu gusto. Ubicado en la PLANTA BAJA, disfrutarás de la tranquilidad y las vistas que ofrece la zona. La zona cuenta con excelentes servicios, incluyendo tiendas, restaurantes y colegios.",False,good,False,False,2679.0,False,False,False,False,[],False,False,150000.0,€,flat,,"Campo de las Naciones-Corralejos, Madrid",Piso en Cl Bureta,Campo de las Naciones-Corralejos,,,,,
104838235,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/57/7d/07/1233497675.webp,,83,,1950000.0,chalet,sale,840.0,,5,7,camino Real,Madrid,Las Rozas de Madrid,Molino de la Hoz,es,40.5385785,-3.9362011,False,https://www.idealista.com/inmueble/104838235/,"Si quieres vivir en una de las mejores zonas de Madrid, en un magnífico cigarral toledano ubicado en la urbanización exclusiva de Molino de la Hoz (Las Rozas), esta es tu vivienda Con 820m2 de construcción, la vivienda destaca por las excelentes calidades, con acabados singulares, su diseño inspirado en el estilo castellano y sus amplios espacios que permiten disfrutar de la vivienda en familia o en compañía de amigos. Al entrar desde la calle, un olivo centenario nos da la bienvenida, insinuando la paz y serenidad que caracterizan a esta residencia. A través de un camino ajardinado que atraviesa un aljibe, llegamos a la entrada principal, donde un bonito zaguán nos guía hacia un hall de entrada que conecta con diversas áreas. Una amplia estancia alberga el salón con chimenea y el comedor, con acceso a una hermosa terraza. A la derecha del hall nos adentramos en un amplio vestíbulo, desde donde se accede a cuatro dormitorios y a la cocina. La habitación principal, con balcón con vistas a la sierra, dispone de un baño completo con ducha y jacuzzi, además de un amplio vestidor. La segunda habitación cuenta también con armarios empotrados, balcón y un baño en suite que también dispone de entrada independiente. A la tercera y cuarta habitación, ambas con armarios empotrados y vistas al jardín y la piscina, se accede a través de una puerta común, que nos sitúa en un pequeño distribuidor con dos baños, uno completo con plato de ducha y otro con bañera. Desde este mismo vestíbulo, accedemos a una impresionante cocina castellana completamente equipada, con una puerta de salida al jardín. Desde el hall de entrada, subimos al torreón de la vivienda, un amplio y luminoso espacio privado con hermosas vistas, equipado con aire acondicionado y chimenea.  De vuelta nuevamente al hall de entrada, encontramos una puerta que da acceso a un amplio porche en el jardín, mientras que otra puerta nos conduce hacia la planta semisótano, con mucha luz natural en todas sus estancias. Aquí encontramos un aseo de cortesía, una espaciosa sala multifuncional para juegos, cine o gimnasio, un gran comedor con cocina completa integrada, y una piscina climatizada de 6 x 2,80m con zona de descanso y spa, incluyendo ducha y preinstalación para sauna. También cuenta con un área de servicio, con sala de estar, dormitorio y baño completo. Además, dispone de un espacio dedicado a la sala de máquinas, caldera, depuradora, condensador para controlar la humedad de la piscina interior y un trastero. Por esta misma planta se accede a un garaje cubierto, equipado con dos puertas motorizadas y con una superficie capaz de albergar hasta cuatro coches. El extenso jardín, que abarca casi 1.700 m2 de terreno llano, dispone de un amplio porche toledano con madera maciza y columnas de granito, con acceso al hall principal de la vivienda. Cuenta con una generosa área de barbacoa techada, con almacenamiento, lavaplatos y nevera. Además dispone de otro espacio adicional con una carpa cenador con un aseo con ducha, que brinda servicio a la hermosa piscina exterior, la cual cuenta con escaleras integradas e iluminación, junto a una zona de playa y un amplio solárium. Todo esto rodeado de extensas áreas verdes con cipreses, abetos y palmeras de considerable tamaño, con iluminación nocturna, creando así un entorno privilegiado. La vivienda cuenta con calefacción de gasoil mediante radiadores y suelos de madera roja tropical perfectamente conservados. Otro detalle de la vivienda es que en la edificación se construyeron unos pasillos que recorren todo el perímetro de la planta semisótano con una cámara bufa con canaleta inferior destinada a recoger el agua y evacuarla a la red de saneamiento, asegurando así que no haya humedad en el interior.  Molino de la Hoz es un complejo residencial privado y tranquilo que cuenta con club social con instalaciones deportivas, piscina, una pequeña área comercial y un centro para mayores.",True,good,False,,2321.0,True,False,False,False,[],False,False,1950000.0,€,chalet,independantHouse,"Molino de la Hoz, Las Rozas de Madrid",Casa independiente en camino Real,Molino de la Hoz,True,True,,,
106730107,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/20/a4/f2/1292254922.webp,4682,15,1,1349000.0,duplex,sale,115.0,True,2,2,calle de Goya,Madrid,Madrid,Barrio de Salamanca,es,40.4265687,-3.6854853,False,https://www.idealista.com/inmueble/106730107/,"Domus Aurea Capital presenta este fantástico dúplex en el corazón del exclusivo barrio de Salamanca, Goya. Vivienda situada en la primera planta exterior de una edificio clásico de 1930, cuenta con 115m2 recién reformados ya  estrenar. Cuenta con salón-comedor, una cocina totalmente equipada, dos amplias habitaciones con armarios empotrados y dos baños completos. Las escaleras llevan a una cómoda terraza, perfecta para disfrutar casi todo el año. Calefacción y aire acondicionado. Además, el edificio dispone de ascensor para mayor comodidad.   Domus Aurea Capital es una agencia inmobiliaria especializada en la intermediación, construcción y gestión de activos inmobiliarios en las zonas prime de Madrid y alrededores. La mayoría de las propiedades que tenemos disponibles no están publicadas en los portales inmobiliarios, para conocerlas todas consulta nuestra web.",False,good,False,True,11730.0,True,False,False,False,[],False,False,1349000.0,€,flat,duplex,"Recoletos, Madrid",Dúplex en calle de Goya,Recoletos,,,,,
107966082,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/47/4f/50/1337793249.webp,,28,bj,200000.0,flat,sale,34.0,False,2,1,calle de Oviedo,Madrid,Madrid,Tetuán,es,40.4504807,-3.7002513,False,https://www.idealista.com/inmueble/107966082/,"DH inmobiliaria tiene el placer de poner en venta este piso estratégicamente situado en uno de los centros neurálgicos de Madrid, Cuatro Caminos ni más ni menos! El piso consta de 35m2 con una altura de 3,75m, dividido en cocina, salón, dormitorio, baño y una estancia superior en altillo. Todas las estancias cuentan con ventana que da a unas zonas comunes llenas de plantas y encanto proporcionando así una magnífica luz y ventilación. Altamente atractivo para inversores por su muy buena rentabilidad. No dude en gestionar su visita con nuestro comercial José que estará encantado de atenderle en el SEIS SEIS CUATRO 51 80 16.",True,good,False,True,5882.0,True,False,False,False,[],False,False,200000.0,€,flat,,"Cuatro Caminos, Madrid",Piso en calle de Oviedo,Cuatro Caminos,,,,,
