propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,newDevelopmentFinished
108884279,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/54/8b/26/1357891170.webp,16,3,720000.0,flat,sale,105.0,True,3,2,calle de Tetuán,Madrid,Madrid,Centro,es,Sol,40.4169347,-3.7048692,False,https://www.idealista.com/inmueble/108884279/,"¡Exclusiva vivienda reformada a estrenar junto a la Puerta del Sol! A escasos metros de la emblemática Puerta del Sol, se encuentra esta espectacular vivienda de 100 m², totalmente reformada con materiales de alta calidad y lista para entrar a vivir. La distribución actual incluye 2 amplias habitaciones, una de ellas con baño en suite y otra con vestidor, salón, comedor, cocina independiente y 2 baños completos. El comedor, con balcón exterior, puede adaptarse fácilmente como tercera habitación, lo que la convierte en una opción muy versátil según tus necesidades. Muy luminosa y soleada, con orientación ideal y ventanas nuevas en todas las estancias que aseguran confort y eficiencia. La cocina de diseño, equipada con todo lujo de detalles, es perfecta para los amantes de la gastronomía. Además, la vivienda cuenta con calefacción por gas natural y aire acondicionado, así como con instalaciones de electricidad y fontanería completamente renovadas. Edificio clásico con ascensor en proceso de instalación aprobado en Junta. Una oportunidad única de vivir en el corazón de Madrid, en una finca con encanto y todas las comodidades modernas. ¡No dejes pasar esta ocasión y ven a visitarla! NO INMOBILIARIAS. NO SE COBRA COMISIÓN AL COMPRADOR.",True,good,False,True,6857.0,True,False,False,False,[],False,False,720000.0,€,flat,"Sol, Madrid",Piso en calle de Tetuán,,,,,,,,
108826830,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0b/df/ae/1356271530.webp,34,,480000.0,chalet,sale,82.0,,2,2,calle de Mataró,Madrid,Madrid,Fuencarral,es,Tres Olivos - Valverde,40.4920649,-3.6978386,False,https://www.idealista.com/inmueble/108826830/,"Inmobiliaria Globalpiso Fuencarral pone a su disposición esta increíble vivienda adosada en la zona norte de Madrid y en el corazón de Tres Olivos-Fuencarral. Se compone de dos plantas y una amplia terraza solada con piscina.  Patio: Tiene un sistema de maderas móviles correderas que se pueden ajustar en función de la privacidad que se quiera obtener y para esconder los tendederos ( el pequeño plegado a la pared y el largo que sale desde el armario de lamas). La piscina tiene un conjunto de lamas similares al de la depuradora para taparla a conveniencia, son totalmente transitables y están guardadas en el armario de la entrada. Tiene una depuradora de cloro con dos ciclos de depuración programable con foco integrado también programable. Planta baja Salón: Según se entra desde el patio tenemos el ventanal de pvc con vidrio blindado de triple capa que ocupa todo el ancho de la casa. Dicho cristal es bajo emisivo, es decir, que tiene una capa especial que refleja el calor hacia el interior en invierno y hacia el exterior en verano, manteniendo una temperatura más estable en el interior de la vivienda. Las persianas son de seguridad y se controlan mediante mando a igual que los toldos. Cocina: Totalmente amueblada y equipada con los electrodomésticos ( vitrocerámica de inducción de gama alta), ventanal de pvc con climalit. Baño: Caldera Saunier Duval para el agua caliente y calefacción con 2 años de antigüedad y contrato de mantenimiento y garantía, lavadora integrada dentro del aseo, pasillo con almacenamiento. Se accede a la planta superior mediante una escalera de madera de diseño. Planta primera: Habitación individual con armario de madera, baldas y cajonera y radiador para la calefacción. Habitación doble con aire acondicionado, velux con persiana automática mediante mando, dispone de cable de antena, amplio armario de madera y dos ventanas de pvc y dos radiadores. Baño principal con plato de ducha, paredes y suelos porcelánicos, ventana pvc con climalit. También destacamos las puertas macizas lacadas en blanco, suelos de tarima de madera, actualización de electricidad y fontanería. Zona consolidad con todos los servicios, (centro de salud, colegios, institutos, supermercados, bancos, farmacias, centros deportivos y culturales, parques, bares y restaurantes). Muy buena comunicación con líneas de autobuses (66, 24,137,N24). Línea de metro 10 (estación Fuencarral) y cercanías Ramón y Cajal y amplia red de carreteras. Este chalet es perfecto para familias que buscan una vivienda de calidad en una zona de crecimiento, un pequeño oasis en la ciudad donde podrás disfrutar de momento únicos. No pierdas la oportunidad de vivir en una zona privilegiada con la comodidad de estar cerca del centro de Madrid pero en un entorno tranquilo y bien comunicado. Llama sin compromiso y agenda una visita, te esperamos!",False,good,False,,5854.0,False,True,False,False,[],False,False,480000.0,€,chalet,"Tres Olivos - Valverde, Madrid",Chalet pareado en calle de Mataró,FUE1705,semidetachedHouse,,,,,,
108050443,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5d/ed/4e/1347386596.webp,49,2,785000.0,flat,sale,242.0,True,5,3,Zona Monte el Pilar,Madrid,Majadahonda,Zona Monte el Pilar,es,,40.4694399,-3.8671351,False,https://www.idealista.com/inmueble/108050443/,"   Oh! key servicios inmobiliarios,  presenta en exclusiva piso en la prestigiosa Zona Monte El Pilar, en la urbanización Los Olmos, a 5 minutos del centro de Majadahonda andando.  Este distinguido piso dispone de 157m2 útiles cuidadosamente distribuidos para maximizar el confort y la funcionalidad.    La propiedad se compone de salón comedor con salida a una amplia terraza de m2 con vistas al interior de la urbanización, amplia cocina con office, cuatro generosas habitaciones (de origen 5), dos baños (uno de ellos en suite).  Ubicado en la segunda planta del edificio, esta propiedad goza de la ventaja de estar incluida dentro de un complejo dotado de ascensor sin ninguna barrera arquitectónica, facilitando el acceso a la vivienda y añadiendo un nivel extra de comodidad al día a día.    Para aquellos que valoran  contar con un espacio propio para el vehículo, el piso incluye dos plazas juntas de fácil aparcamiento.    La vivienda consta de un trastero en la planta superior del edificio, transformado en un dormitorio con baño y aire acondicionado.  El inmueble se beneficia de unas envidiables instalaciones comunitarias, resaltando entre ellas una gran piscina que invita a disfrutar de refrescantes baños durante los meses más cálidos, amplias zonas verdes, zonas de descanso, parque infantil, pista polideportiva, pista de pádel y pista de tenis, zona de guardería, sala de fiesta y gimnasio con sauna.  La conexión con el transporte público es excepcionalmente favorable. La cercanía con las paradas de autobús garantiza una excelente comunicación con el resto de la localidad y con los núcleos urbanos adyacentes. A 5 minutos andando del centro de Majadahonda y a 10 minutos del Monte del Pilar, dispone, de varios comercios a escasos metros de la vivienda, varios parques, colegios y con rápido acceso a la A-6.  Aprovechar esta oportunidad única para visitar este inmueble es dar un paso hacia la vida de sus sueños. La calidad de vida que ofrece este piso en Majadahonda es difícil de igualar, gracias a sus amplias instalaciones, su excelente ubicación y su diseño enfocado al bienestar de sus residentes.     .",False,good,False,True,3244.0,True,False,True,False,[],False,False,785000.0,€,flat,"Zona Monte el Pilar, Majadahonda",Piso,7281,,820000.0,35000.0,4.0,True,True,
108383897,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8f/fd/fb/1342496704.webp,18,3,308000.0,flat,sale,124.0,True,3,2,"calle de Nicolás Fuster, 7",Madrid,Pinto,San José - Buenos Aires,es,,40.2404141,-3.7062449,True,https://www.idealista.com/inmueble/108383897/,"Oportunidad de inversión: inmueble en rentabilidad. Viviendas actualmente alquiladas con renta de mercado. No se puede constituir financiación hipotecaria sobre este tipo de fincas, por lo que se requerirán otras garantías en caso de solicitarse financiación. Se recomienda obtener asesoramiento profesional y legal antes de la compra. Consulte con nuestro Agente Comercial para más información y condiciones especiales de compraventa. No se admiten visitas a la vivienda. ________________________________________ Arte Urbano Real Estate presenta: Magnífica vivienda de 3 dormitorios y 2 baños en Pinto, Madrid. Situada en un complejo residencial con amplias zonas comunes, piscina y juegos infantiles. Buena conexión por transporte público y privado. Cercana a la estación de tren, a colegios, supermercados y centro de salud. •Superficie: 124 m² •Distribución: Salón-comedor, cocina amueblada, 3 dormitorios con armarios empotrados, 2 baños completos. •Equipamiento: Calefacción individual, suelos de parquet, plaza de garaje, trastero. Urbanización privada: •Piscina de adultos e infantil •Parque infantil •Zonas ajardinadas •Servicio de conserjería Ubicación: Zona residencial consolidada, muy bien comunicada y rodeada de servicios. Precio: Incluye plaza de garaje y trastero. ""Este anuncio tiene carácter informativo, siendo las fotos, planos y la visita virtual de una vivienda similar y no constituyendo documento contractual”.",False,good,False,True,2484.0,True,False,True,False,[],False,False,308000.0,€,flat,"San José - Buenos Aires, Pinto","Piso en calle de Nicolás Fuster, 7",,,,,,True,True,
108657678,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/96/53/75/1351313486.webp,3,,1820000.0,chalet,sale,650.0,,5,5,Casco Antiguo,Madrid,Majadahonda,Casco Antiguo,es,,40.4695405,-3.8761349,False,https://www.idealista.com/obra-nueva/108657678/,"Chalet independiente de Obra Nueva en Urbanización Los Satélites, Majadahonda Obra Nueva Finalizada! 650 m² construidos | Parcela de 750 m² | 5 habitaciones | 3 baños | Piscina privada Se vende espectacular chalet independiente en una de las zonas más exclusivas de Majadahonda: la Urbanización Los Satélites. Una propiedad única con más de 500 m² útiles, diseñada con calidades premium y una distribución pensada para el confort, la amplitud y la luz natural. Nuestro proyecto Los Satélites no es solo una vivienda. Es una propuesta con visión, creada para ofrecer equilibrio entre diseño, funcionalidad y valor a largo plazo. Trabajamos arquitectura honesta, duradera y pensada al detalle. Una casa que no solo se mira: se vive. Exterior de lujo privado · Parcela de 727 m² con jardín diseñado, piscina de obra y dos terrazas soleadas para ampliar tu forma de vivir. Dos plazas de aparcamiento cubiertas y una refrescante piscina completan este entorno exterior diseñado para tu comodidad y entretenimiento  Distribución y superficies: Planta sótano: 189,38 m² Planta baja (vivienda + porches): 414,95 m² Planta primera (vivienda + terrazas): 181,03 m² Total construido: 650 m² aprox.  Características destacadas: Vivienda de obra nueva con diseño contemporáneo Piscina privada de obra Dos amplias terrazas soleadas 5 dormitorios y 3 baños Parcela ajardinada de 750 m² Garaje privado en parcela en porche de entrada Excelente orientación y privacidad Calidades constructivas de alta gama  Ubicación privilegiada: La Urbanización Los Satélites es una de las más demandadas del noroeste de Madrid. Combina tranquilidad, naturaleza y proximidad a todo tipo de servicios: Colegios internacionales, concertados y públicos bilingües Campos de golf y centros deportivos Universidades y hospitales Centros comerciales de referencia Conexiones rápidas a Madrid por M-50, M-40 y A-6 Una oportunidad única para quienes buscan una vivienda de alto nivel en una ubicación inmejorable. Ideal tanto para residencia habitual como inversión patrimonial en una zona en constante revalorización. Te imaginas vivir aqui?",False,newdevelopment,True,,2800.0,False,False,False,False,[],False,False,1820000.0,€,chalet,"Casco Antiguo, Majadahonda",Casa independiente,,independantHouse,,,,True,True,False
108777708,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d9/ea/e7/1354833778.webp,18,3,195000.0,flat,sale,70.0,True,3,1,CL GRANERO,Madrid,San Sebastián de los Reyes,Centro Urbano,es,,40.5457387,-3.6228246,False,https://www.idealista.com/inmueble/108777708/,"OPORTUNIDAD INMUEBLE SIN POSESIÓN, NO SE PUEDE VISITAR. PROPIO PARA INVERSORES O VECINOS QUE CONOZCAN EL INMUEBLE. Impresionante piso de 70.0 m² de 3 dormitorios, 2 baños, salón - comedor y amplia cocina con terraza interior en San Sebastián de los Reyes es ideal para quienes buscan comodidad y amplitud en una ubicación privilegiada. Con 70.0 m² útiles, esta vivienda ofrece un amplio espacio para personalizar a tu gusto. Ubicado en la PLANTA 3ª, disfrutarás de la tranquilidad y las vistas que ofrece la zona. La zona cuenta con excelentes servicios, incluyendo tiendas, restaurantes y colegios.",False,renew,False,True,2786.0,False,False,False,False,[],False,False,195000.0,€,flat,"Centro Urbano, San Sebastián de los Reyes",Piso en Cl Granero,108777708,,,,,,,
108767453,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e9/9b/ce/1354565621.webp,15,,350000.0,chalet,sale,48.0,,4,3,"calle del Duque, 23",Madrid,Madrid,Barajas,es,Casco Histórico de Barajas,40.4725708,-3.5764816,True,https://www.idealista.com/inmueble/108767453/,"OFICINA TECNOCASA - BARAJAS - MADRID vende vivienda en Calle Duque, Casco Histórico de Barajas.  Vivienda dividida en 2 plantas, actualmente alquilada, cuenta con 4 habitaciones, 3 cuartos de baño, 2 cocinas, patio y terraza. Perfecto para inversores que busquen rentabilidad inmediata. Cerca tiene todos los servicios como la parada de metro, restaurantes, farmacias, colegios y el centro de salud. El inmueble se localiza en el casco histórico de Barajas, con muy buenas comunicaciones tales como paradas de Autobús (Líneas 101, 105, 115, 151, 166, 212 y 827) y parada de metro a 4 minutos andando (Línea 8). Financiación de hasta el 100% con nuestro departamento financiero, Kiron. Asesoramiento gratuito y sin compromiso, ¡no dude en consultarnos! 30 años en Madrid. ¡Gracias por la confianza!",False,renew,False,,7292.0,True,False,False,False,[],False,False,350000.0,€,chalet,"Casco Histórico de Barajas, Madrid","Chalet adosado en calle del Duque, 23",,terracedHouse,,,,,,
105889237,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/50/22/ff/1266083373.webp,18,4,380000.0,studio,sale,145.0,True,0,1,avenida de la Industria,Madrid,Alcobendas,Valdelacasa,es,,40.5348544,-3.6556559,False,https://www.idealista.com/inmueble/105889237/,"Inversiones La Moraleja presenta este magnífico Loft díafano a estrenar y muy luminoso en inmejorable localización dentro del polígono de Valdelacasa. IDEAL PARA INVERSORES Dispone de una superficie aproximada de 110m2 útiles. Se encuentra diáfano y con posibilidad de dividir en 2 estudios independientes. Preinstalación de tomas para cocina. Zona diáfana muy amplia y luminosa con enormes ventanales de 4m de anchura y 2m de altura. Orientación sur y extraordinarias vista. Un baño completo con ducha. Dispone de suelo de parquet de madera natural, techo técnico, enormes ventanales con cristales Climalit, puerta blindada, aire acondicionado por bomba frio/calor, agua caliente individual, vídeo portero y portero físico. La ubicación del loft es inmejorable. Se encuentra en Alcobendas, próximo al Parque de Andalucía y al metro La Granja. Paradas de taxis y diferentes líneas de autobús paran frente al inmueble. El Acceso a la M-607 y A-1 es muy rápido. Tiene buena conexión con la M40 y la M30 y a escasos 10min en coche de Plaza Castilla. Alrededor del inmueble se encuentran varios centros comerciales (CC La Vega), parques (Parque de Andalucía), colegios (CEIP Gabriel y Galán), guarderías, farmacias, restaurantes, zonas de ocio e instalaciones deportiva.",True,good,False,True,2621.0,True,False,False,False,[],False,False,380000.0,€,flat,"Valdelacasa, Alcobendas",Estudio en avenida de la Industria,,studio,,,,,,
108381418,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/b6/99/1342422750.webp,26,5,412000.0,penthouse,sale,165.0,True,4,2,"calle de Nicolás Fuster, 7",Madrid,Pinto,San José - Buenos Aires,es,,40.2404141,-3.7062449,True,https://www.idealista.com/inmueble/108381418/,"Oportunidad de inversión: Inmueble en rentabilidad. Viviendas actualmente alquiladas con renta de mercado. No se puede constituir financiación hipotecaria sobre este tipo de fincas, por lo que se requerirán otras garantías en caso de solicitarse financiación. Se recomienda obtener asesoramiento profesional y legal antes de la compra. Consulte con nuestro Agente Comercial para más información y condiciones especiales de compraventa. No se admiten visitas a la vivienda. ________________________________________ Arte Urbano Real Estate presenta: Magnífico ático de 4 dormitorios, 2 baños y 2 terrazas en Pinto, Madrid. Situado en un complejo residencial con amplias zonas comunes, piscina y juegos infantiles. Buena conexión por transporte público y privado. Cercana a la estación de tren, a colegios, supermercados y centro de salud. •Superficie: 165 m² •Distribución: Salón-comedor, cocina amueblada, 2 dormitorios con armarios empotrados, 2 baños completos, 2 terrazas. •Equipamiento: Calefacción individual, suelos de parquet, plaza de garaje, trastero. Urbanización privada: •Piscina de adultos e infantil •Parque infantil •Zonas ajardinadas •Servicio de conserjería Ubicación: Zona residencial consolidada, muy bien comunicada y rodeada de servicios. Precio: Incluye plaza de garaje y trastero. ""Este anuncio tiene carácter informativo, siendo las fotos, planos y la visita virtual de una vivienda similar y no constituyendo documento contractual”.",False,good,False,True,2497.0,True,False,True,False,[],False,False,412000.0,€,flat,"San José - Buenos Aires, Pinto","Ático en calle de Nicolás Fuster, 7",,penthouse,,,,True,True,
108608680,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0a/dd/ee/1349848917.webp,32,1,260000.0,flat,sale,73.0,True,3,1,"CL QUERO, 59",Madrid,Madrid,Latina,es,Aluche,40.3902827,-3.7603446,True,https://www.idealista.com/inmueble/108608680/,"¡Haz realidad tu hogar ideal en Aluche! Vivienda exterior con terraza, ascensor y mil posibilidades ¿Buscas un piso con luz natural todo el día y con infinitas opciones para diseñarlo a tu gusto? ¡Este es tu lienzo en blanco! Se vende vivienda totalmente exterior en la calle Quero (Aluche, Madrid), situada en una primera planta con ascensor, en una finca bien cuidada. Cuenta con 73 m² según Catastro, distribuidos en: Distribución actual: •3 dormitorios •Salón independiente •Cocina •Baño •Terraza amplia •Todas las estancias exteriores, incluido el baño Muy luminosa, con orientación este-oeste que permite disfrutar de luz natural durante todo el día.  Para reformar completamente, con la posibilidad de: •Convertirla en una vivienda de 2 habitaciones y 2 baños •Crear espacios abiertos tipo salón con cocina americana •Diseñar una distribución moderna y funcional adaptada a tus necesidades Zona comunitaria de aparcamiento Vistas despejadas a parque y zonas verdes Ascensor desde entreplantas Ubicación excelente, rodeada de todos los servicios: •Comercios de barrio, supermercados y centros educativos •Zonas verdes y parques •Transporte público cercano (bus y metro) •Fácil acceso a la A-5 y a la M-30 Certificado energético en trámite Una vivienda con gran potencial, perfecta para crear el hogar que siempre has soñado o realizar una inversión segura en una de las zonas más consolidadas de Madrid. Aviso legal: Las imágenes, planos y descripciones contenidos en este anuncio tienen carácter meramente orientativo y no poseen valor contractual ni vinculante. Pueden estar sujetos a errores, cambios por razones técnicas, comerciales o legales. Las imágenes se corresponden al piso antes del último inquilino. EL PISO SE VENDE SIN REFORMAR. ¡Llama y ven a visitarla sin compromiso!",False,renew,False,True,3562.0,True,False,False,False,[],False,False,260000.0,€,flat,"Aluche, Madrid","Piso en Cl Quero, 59",,,,,,,,
