propertyCode,thumbnail,externalReference,numPhotos,price,propertyType,operation,size,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,floor,exterior,district,neighborhood,hasLift,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,newDevelopmentFinished
108210489,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ff/de/72/1337894974.webp,CER1237,16,159000.0,chalet,sale,40.0,1,1,Cercedilla,Madrid,Cercedilla,es,40.743877,-4.0558635,False,https://www.idealista.com/inmueble/108210489/,"CARMEN 5 VENDE; Ésta encantadora casa independiente en Cercedilla! TU NUEVO REFUGIO! Un lugar donde la tranquilidad se encuentra con la modernidad. Totalmente reformada, esta propiedad de 40 m² construidos y 32 m² útiles ha sido diseñada con materiales de primerísima calidad, ofreciendo un espacio funcional y estiloso que invita a disfrutar de cada rincón. Ubicada a pocos minutos del casco urbano, tendrás acceso a todos los servicios necesarios sin renunciar a la paz del entorno natural.  Además, se vende completamente amueblada y equipada, lista para entrar a vivir y disfrutar desde el primer día. Equipada con calefacción eléctrica y aire acondicionado. Esta es una oportunidad única para hacer de este lugar tu nuevo hogar. ¡No dejes pasar la ocasión! Y lo mejor de todo, NO cobramos comisión al comprador.  ¡Ven a visitarla y enamórate!",True,good,False,3975.0,True,False,False,False,[],False,False,159000.0,€,169000.0,10000.0,6.0,chalet,independantHouse,Cercedilla,Casa independiente,,,,,,,,
108743108,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/de/2f/5b/1353811085.webp,PIS0040,22,260000.0,flat,sale,45.0,2,1,calle de Rosa de Silva,Madrid,Madrid,es,40.463259,-3.6944127,False,https://www.idealista.com/inmueble/108743108/,"Extrena21 vende piso reformado en planta baja en edificio singular muy próximo a la calle Bravo Murillo para INVERSOR.  Inquilino con contrato hasta diciembre de 2027 con una renta mensual de 836€/mes. Gastos de comunidad 65€/mes e IBI de 150€. Los suministros de la vivienda (Luz y Agua) a cargo del inquilino. Contrato según LAU con 2 meses de fianza La la vivienda consta de salón con salida a patio interior de 8 m2 y cocina independiente, dos dormitorios, uno de ellos con salida a otro patio interior de 5m2 y baño completo Muy bien situado semi esquina con la calle Bravo Murillo y a 50m de la estación de metro de Valdeacederas POR EXPRESO DESEO DE LOS PROPIETARIOS, NO APARECEN EN IDEALISTA TODOS NUESTROS INMUEBLES. PARA MAS INFORMACION EN ESTA ZONA DE LOS MISMOS, VISITE NUESTRA PAGINA WEB. [IW].",False,good,False,5778.0,True,False,False,False,[],False,False,260000.0,€,,,,flat,,"Cuzco-Castillejos, Madrid",Piso en calle de Rosa de Silva,bj,False,Tetuán,Cuzco-Castillejos,True,,,
108617249,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/bc/7b/62/1350078068.webp,,47,1290000.0,chalet,sale,316.0,4,4,Estación,Madrid,Pozuelo de Alarcón,es,40.4476982,-3.8002802,False,https://www.idealista.com/inmueble/108617249/,"**Chalet adosado en Venta en Pozuelo de Alarcón** Descubre este impresionante chalet pareado de 4 plantas en la exclusiva zona de Pozuelo de Alarcón. Con 316 m² construidos y 270 m² útiles, esta propiedad es perfecta para quienes buscan un hogar espacioso y cómodo.  Al entrar, te recibe un gran hall que invita a explorar cada rincón de esta maravillosa casa. La planta baja cuenta con un aseo de cortesía y una cocina con office totalmente equipada, el amplio salón-comedor, bañado en luz natural, ofrece acceso directo al jardín privado, con piscina. En la primera planta, encontrarás tres habitaciones dobles con armarios empotrados; dos de ellas comparten un baño completo, mientras que el dormitorio principal cuenta con baño en suite y vestidor, garantizando privacidad y confort.  La segunda planta alberga una buhardilla diáfana que se adapta a tus necesidades, puede ser desde un despacho a un salón de estar, ofrece acceso a dos terrazas con vistas despejadas, perfectas para disfrutar del aire libre.  En el sótano, se encuentra un cuarto de servicio con baño en suite, una zona de almacenaje y lavandería independiente, así como un cuarto polivalente que puede ser utilizado como sala de juegos o estudio.  El chalet incluye un garaje para dos coches con puerta eléctrica y se sitúa a solo dos minutos caminando de la estación de tren Renfe La Estación. Además, la cercanía a servicios, colegios, zonas verdes y comercios hace que esta propiedad sea aún más atractiva.  No pierdas la oportunidad de hacer de este chalet tu nuevo hogar. ¡Contáctanos para más información y ven a visitarlo!",True,good,False,4082.0,True,False,False,False,[],False,False,1290000.0,€,,,,chalet,terracedHouse,"Zona Estación, Pozuelo de Alarcón",Chalet adosado en Estación,,,Zona Estación,Zona Estación,,True,True,
103760417,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a1/d8/34/1199344806.webp,MGSD-00724,46,610000.0,penthouse,sale,78.0,2,2,calle de Sancho Dávila,Madrid,Madrid,es,40.4268629,-3.6604336,False,https://www.idealista.com/inmueble/103760417/,"¡ sin comisión de agencia! ático – terraza – reforma integral – mobiliario y electrodomésticos a estrenar - muy luminoso – orientación este (sol de mañana). En nuevo concepto nos complace presentarte este elegante ático, la vivienda ha sido reformada en su totalidad y damos garantía de sus acabados. Unos de los principales atractivos de la vivienda es su terraza y salón de orientación este, recibiendo el sol de las primeras horas de la mañana.  Otro factor importante que marca la diferencia son sus dos amplios baños y habitaciones. Ambos dormitorios con vestidor, uno de ellos con el baño en suite. Aunque el dormitorio 1 tiene el baño en el pasillo este no se encuentra lejos y es muy cómodo, tanto para el huésped del dormitorio 1 como para usarlo de baño de invitados.  La vivienda se entrega amueblado como se puede ver en las imágenes, un aspecto muy cómodo si estas pensando en alquilar. Todo el mobiliario es nuevo y se encuentra en garantía.  En cuanto a su sistema de climatización tenemos:  Aire acondicionado AA. CC. Por split en todas sus estancias; salón y habitaciones. Radiadores centralizados con contador de consumo individualizado. Ventanas de doble climalit con puente térmico.  Recuerda que tenemos a vuestra disposición el servicios de realidad virtual y planos para que conozcas la vivienda de primera mano desde la comodidad de tu casa o despacho, haciendo tu visita al piso mas efectiva y evitar que pierdas el tiempo.  Costes: Comunidad: 80€ mensuales IBI: 300€ anuales.",True,good,False,7821.0,True,True,False,False,[],False,False,610000.0,€,,,,flat,penthouse,"Fuente del Berro, Madrid",Ático en calle de Sancho Dávila,7,True,Barrio de Salamanca,Fuente del Berro,True,,,
108900074,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4b/26/c8/1358348574.webp,,18,610000.0,flat,sale,110.0,3,2,calle de Jaime el Conquistador,Madrid,Madrid,es,40.3946074,-3.6972593,False,https://www.idealista.com/inmueble/108900074/,"INMOPISOS TELEFONO AGENCIA 6 1 6 1 3 6 6 8 9  Estupendo piso exterior para reformar, con múltiples posibilidades de redistribución. La vivienda cuenta con 3 amplias habitaciones, salón, baño, aseo y cocina, todos ellos con ventanas, lo que garantiza una excelente ventilación y luz natural durante todo el día. Los tabiques interiores no son de carga, lo que permite rediseñar la distribución según tus necesidades. Incluye acceso a un patio comunitario de uso permitido, ideal como desahogo o zona de relax, y dispone de puerta de entrada acorazada para mayor seguridad. Gracias a su triple orientación (oeste, este y norte en las zonas de baño, aseo y cocina), se disfruta de buena iluminación sin sobrecalentamiento. Además, aunque es totalmente exterior, el entorno es muy tranquilo y silencioso. Perfecto para vivir con comodidad en una zona céntrica de Madrid ubicado en la calle Jaime el Conquistador, en el distrito de Arganzuela (Madrid), una zona consolidada, bien comunicada y con todos los servicios a pocos pasos: supermercados, centros educativos, transporte público y zonas verdes como el parque Madrid Río.",False,good,False,5545.0,False,False,False,False,[],False,False,610000.0,€,,,,flat,,"Chopera, Madrid",Piso en calle de Jaime el Conquistador,1,True,Arganzuela,Chopera,True,,,
107787020,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/dc/bb/52/1323722706.webp,ACP1811.2,26,1050000.0,penthouse,sale,115.0,2,1,calle de Galileo,Madrid,Madrid,es,40.4294513,-3.7097866,False,https://www.idealista.com/inmueble/107787020/,"“JOWNER VENDE EXCELENTE ÁTICO EN CHAMBERÍ” Presentamos una espectacular vivienda a la venta en la zona de Chamberí. Dispone de 115 m2, distribuidos en dos dormitorios, un baño y una amplia terraza. La vivienda tiene una increíble luz natural debido al gran ventanal que da a la terraza. La vivienda está en un excelente estado de conservación. La calefacción es individual por bomba de calor y el aire acondicionado funciona por conductos. El inmueble se encuentra en una finca con portero 24 horas. Características de la vivienda: 2 dormitorios 1 baño Salón Cocina independiente Aire acondicionado por conductos Calefacción individual Terraza Zona tranquila y muy bien comunicada Descripción del entorno: Esta vivienda se encuentra en el barrio de Chamberí, un barrio histórico y residencial de Madrid, donde resulta imprescindible pasear entre sus calles. Esta zona goza de mucha tranquilidad, servicios y al mismo tiempo de mucha vida, tanto a nivel comercial como gastronómico, además de contar con todos los servicios esenciales. Este área ofrece una muy buena comunicación de transporte público, ya que a escasos metros se encuentra la parada de metro San Bernardo (Línea 2 y 4), además de múltiples líneas de autobuses que te comunicarán con toda la capital. ¡Contacta ya con nosotros para coordinar una visita! JOWNER es una plataforma digital que te ofrece todos los servicios necesarios para que puedas alquilar y vender tu inmueble en el menor tiempo posible, con nuestro método maximizamos tu tiempo y tu rentabilidad/ ""Más info en jowner. com o en el "".",True,good,False,9130.0,False,False,True,False,[],False,False,1050000.0,€,1150000.0,100000.0,9.0,flat,penthouse,"Arapiles, Madrid",Ático en calle de Galileo,6,True,Chamberí,Arapiles,True,,,
108368237,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/63/f2/e9/1342017281.webp,2110/21100022/379,36,330000.0,flat,sale,148.0,3,2,Barrio San Fermín,Madrid,Madrid,es,40.3653518,-3.6851838,False,https://www.idealista.com/inmueble/108368237/,"""ESTUPENDA VIVIENDA EN VENTA Excelente vivienda de tres dormitorios y dos baños. Se encuentra en la 1ª planta de un edificio residencial. y cuenta con garaje y trastero. Dispone de ascensor. Situado en SAN FERMIN en el distrito de Usera. La vivienda se distribuye en tres dormitorios, armarios empotrados, salón-comedor con acceso a terraza, cocina independiente y dos baños. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Se encuentra ubicado en San Fermin, Usera. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es San Fermin-Orcasur. La parada de autobús más cercana es Avenida de los Rosales-Rutilo y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 5 minutos andando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, existen 2 farmacias a menos de 300 metros. Además, a menos de 500 metros también puedes encontrar un supermercado, un banco. La zona cuenta con una amplia oferta de entretenimiento con un gimnasio, múltiples parques, bares, restaurantes y comercios a pocos minutos de la vivienda. En cuanto al transporte privado, la zona dispone de parkings privados, diversos parkings públicos y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la M-40, Avenida de Andalucia y la Avenida de los Rosales.  Estado de la vivienda: vacante"".",True,good,False,2230.0,True,False,True,False,[],False,False,330000.0,€,,,,flat,,"San Fermín, Madrid",Piso,1,True,Usera,San Fermín,True,True,True,
108576327,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ac/50/e3/1348919675.webp,CH423,68,589000.0,chalet,sale,319.0,4,4,calle Flor de las Catalpas,Madrid,Valdemorillo,es,40.5374357,-4.1037448,False,https://www.idealista.com/inmueble/108576327/,"Inmobiliaria Bravo vende en exclusiva impresionante chalet pareado en Urbanización de Valdemorillo. Entramos a la parcela y nos encontramos precioso jardín y tanto garaje cubierto y mecanizado como pérgola de madera noble que hacen que entren dos vehículos.  Seguimos y llegamos a entrada con puerta blindada que da acceso a la vivienda donde nos encontramos un gran hall con suelos de mármol. En esa planta tenemos la cocina totalmente funcional y equipada, precioso aseo de cortesía con ventana y a estrenar y salón comedor con cálida y bonita chimenea.  También una terraza donde poder disfrutar de comidas o cenas con preciosas vistas a la sierra y a las Machotas. En la planta primera 3 dormitorios y 2 WC uno en suite el cual también tiene otra segunda terraza con mejores vistas si cabe. Todas las habitaciones tienen armarios empotrados y otro adicional en el pasillo ideal para sabanas, mantas. En la tercera planta buhardilla diáfana con posibilidad de otro WC. En la planta baja precioso salón con salida al jardín y a la piscina lo que le convierte en el lugar perfecto para verano o celebración de cualquier evento porque también tiene una segunda cocina supletoria y un WC además de dos trasteros. Por último hablar en esa misma planta del amplio y equipado gimnasio.",True,good,False,1846.0,False,False,False,False,[],False,False,589000.0,€,599000.0,10000.0,2.0,chalet,independantHouse,"Mojadillas - Parque de las Infantas - El Paraiso, Valdemorillo",Casa independiente en calle Flor de las Catalpas,,,Mojadillas - Parque de las Infantas - El Paraiso,,,True,True,
108364370,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/b2/dd/71/1355160490.webp,2001/20010016/12,39,485000.0,flat,sale,110.0,2,2,Vega de la Moraleja,Madrid,San Sebastián de los Reyes,es,40.5412732,-3.6173892,False,https://www.idealista.com/inmueble/108364370/,"""ESTUPENDA VIVIENDA EN VENTA Excelente vivienda de dos dormitorios y dos baño. Se encuentra en la 1ª planta de un edificio residencial. Cuenta con dos plazas de garaje y trastero. Dispone de ascensor. Situado en La Hoya Moscatelares en el distrito de San Sebastián De Los Reyes Ciudad. La vivienda se distribuye en dos dormitorios, armarios empotrados, salón-comedor con acceso a terraza y jardín, cocina independiente y dos baños. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de calefacción y aire acondicionado. Dispone de piscina. Se encuentra ubicado en San Sebastián De Los Reyes Ciudad, Sureste de San Sebastián de los Reyes. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de autobús más cercana se encuentra a menos de 10 minutos andando.    En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el colegio más cercano se encuentra a 300 metros.    La zona cuenta con una amplia oferta de entretenimiento con un cine, múltiples parques, bares, restaurantes y comercios a pocos minutos de la vivienda. En cuanto al transporte privado, la zona dispone de parkings privados, 3 parkings públicos y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Autovía del Norte, Paseo de Europa y la Avenida Matapiñoneras. Estado de la vivienda: vacante"".",True,good,False,4409.0,True,False,True,False,[],False,False,485000.0,€,,,,flat,,"Vega de la Moraleja, San Sebastián de los Reyes",Piso,1,True,Vega de la Moraleja,,True,True,True,
106960028,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/d1/22/1298811343.webp,,26,1700000.0,flat,sale,175.0,2,3,calle del Príncipe de Vergara,Madrid,Madrid,es,40.4212027,-3.6799912,False,https://www.idealista.com/inmueble/106960028/,"Presentamos un exclusivo piso exterior la zona Salamanca-Recoletos, calle Príncipe de Vergara, reformado íntegramente, que destaca por su luminosidad y acogedoras estancias.  Se encuentra en una primera planta, y consta de un salón-comedor muy amplio y luminoso, reformado con un estilo impecable y materiales de primera calidad. Posee una cocina diseñada con una elegancia exquisita y electrodomésticos de alta gama. Tiene dos amplios dormitorios, uno con un magnífico vestidor y otro con armarios empotrados, ambos con baño en suite y, además, un aseo de cortesía, que dotan la vivienda de una gran comodidad. Cuenta con dos balcones, aislados tanto térmica como acústicamente, con orientación oeste y vistas a una de las principales calles de Madrid, como es Príncipe de Vergara. Aire acondicionado y calefacción regulables a través del móvil, hacen que el piso tenga una alta eficiencia energética y garanticen el confort durante todo el año. La suma de buenas calidades y materiales eficientes son el resultado de esta espectacular vivienda.   El edificio histórico donde se encuentra el piso, cuenta con ascensor. Ubicado en una zona de las más exclusivas de Madrid, dotan al piso de un valor añadido. A pocos pasos del emblemático parque del Retiro, hacen que la vivienda se encuentre en una zona única, tanto por su amplia oferta de servicios y cultura, como por su buena comunicación. No pierdas la oportunidad de vivir en un lugar que combina comodidad, servicios y una ubicación inmejorable.",False,good,False,9714.0,True,False,False,False,[],False,False,1700000.0,€,,,,flat,,"Goya, Madrid",Piso en calle del Príncipe de Vergara,1,True,Barrio de Salamanca,Goya,True,,,
