propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,newDevelopmentFinished,highlight.groupDescription
108620806,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e3/dd/c4/1350186114.webp,41,4,1400000.0,flat,sale,212.0,True,4,4,"CL PRECIADOS, 34",Madrid,Madrid,Centro,es,Sol,40.4197736,-3.7066749,True,https://www.idealista.com/inmueble/108620806/,"Agencia inmobiliaria de MADRID - zona SOL - CALLE PRECIADOS 34 - GRAN VIA - CENTRO HISTORICO MADRID    Consultoría Inmobiliaria Cortés SL ofrece en venta ¡Oportunidad única en el corazón de Madrid!  Te presentamos este encantador piso de 178 m² construidos, DIVIDIDO EN 4 VIVIENDAS INDEPENDIENTES, ubicado en una finca con conserje y ascensor.  IDEAL PARA INVERSORES QUE BUSQUEN ALTA RENTABILIDAD Cada piso se distribuye, pasillo, 1 dormitorio, salón con cocina americana y baño con plato de ducha, todo en buen estado, el balcón se encuentra en el Salón que ofrece vistas a la conocida calle Preciados, permitiéndote disfrutar de la vibrante vida cultural de la ciudad desde la comodidad de tu hogar. Este inmueble se encuentra en buen estado y dispone de armarios empotrados, aire acondicionado y calefacción por bomba de frío/calor, garantizando tu confort durante todo el año.  La ubicación es simplemente inmejorable: a solo escasos pasos de las bocas de metro Santo Domingo, Callao, Sol, Gran Vía, a menos de 10 minutos del Teatro Real y del majestuoso Palacio Real. Además, la icónica Plaza Mayor está muy cercana, ofreciéndote una experiencia única en una de las zonas más emblemáticas de Madrid. No pierdas la oportunidad de vivir en este maravilloso piso exterior, situado en la tercera planta de un edificio con ascensor. Ideal tanto para familias como para inversores que buscan una propiedad en una ubicación privilegiada. ¡Contacta con nosotros y ven a visitarlo!",False,good,False,True,6604.0,True,False,False,False,[],False,False,1400000.0,€,flat,"Sol, Madrid","Piso en Cl Preciados, 34",,,,,,,,,
108617873,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/69/86/ac/1350091662.webp,29,1,451000.0,flat,sale,104.0,True,2,2,Barrio Canillejas,Madrid,Madrid,San Blas,es,Canillejas,40.4422257,-3.6089288,False,https://www.idealista.com/inmueble/108617873/,"""ESTUPENDA VIVIENDA EN VENTA Excelente vivienda de dos dormitorios y dos baños. Se encuentra en la 1ª planta de un edificio residencial. y cuenta con trastero. Dispone de ascensor. Situado en Canillejas en el distrito de San Blas. La vivienda se distribuye en dos dormitorios, armarios empotrados, salón-comedor con acceso a jardín, cocina independiente y dos baños. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de calefacción y aire acondicionado. Dispone de piscina. Se encuentra ubicado en Canillejas, San Blas. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Intercambiador de Canillejas y se encuentra a menos de 20 minutos andando.  La parada de autobús más cercana es San Mariano-Canal del Bósforo y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 20 minutos andando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el centro de salud más cercano se encuentra a 610 metros, la farmacia más cercana se encuentra a 130 metros. Además, a menos de 500 metros también puedes encontrar 2 supermercados, 2 bancos, una oficina de correos.  La zona cuenta con una amplia oferta de entretenimiento con una biblioteca, un teatro, 9 parques, bares, restaurantes y comercios a pocos minutos de la vivienda.  En cuanto al transporte privado, la zona dispone de parkings privados, un parking público y aparcamiento en la calle.  La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Autovia del Nordeste, Avenida de Luis Aragones y la Avenida de Logrono.  Estado de la vivienda: vacante"".",True,good,False,True,4337.0,True,False,True,False,[],False,False,451000.0,€,flat,"Canillejas, Madrid",Piso,2201/22010039/289,,,,,,,,
108433177,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f0/94/f9/1344717351.webp,31,3,290000.0,flat,sale,100.0,True,3,2,avenida de Pablo Neruda,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.3924032,-3.6418534,False,https://www.idealista.com/inmueble/108433177/,"¡Luminoso piso en venta en excelente finca junto a Moratalaz! Se vende amplio y luminoso piso ubicado en una finca en muy buen estado, equipada con dos ascensores y montacargas, lo que aporta comodidad y accesibilidad a todos los residentes. Situado en una buena zona de Vallecas, a un paso de Moratalaz —separados únicamente por un puente—, disfrutarás de una ubicación estratégica con excelente comunicación en transporte público y fácil acceso a principales vías, comercios, colegios y servicios. La vivienda cuenta con 3 habitaciones, siendo la principal tipo suite con baño incorporado y armario empotrado. Todas las habitaciones tienen salida directa a una gran terraza cerrada, perfecta para disfrutar del espacio exterior durante todo el año. Además, el salón también tiene acceso directo a la terraza, lo que aporta gran luminosidad al ambiente. Dispone de 2 baños completos con bañera, una cocina espaciosa con gran potencial y múltiples posibilidades de actualización para adaptarla a tu gusto. El piso está actualmente alquilado, ideal tanto para inversión como para vivienda habitual tras reforma. Para más información o concertar una visita, no dudes en contactarnos. ¡Una gran oportunidad que no puedes dejar pasar!",True,renew,False,True,2900.0,True,False,False,False,[],False,False,290000.0,€,flat,"Palomeras sureste, Madrid",Piso en avenida de Pablo Neruda,pl. avenida de pablo neruda,,,,,,,,
108420739,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5b/8a/da/1344373329.webp,25,5,220000.0,flat,sale,71.0,True,3,1,"PZ RENDICION DE BREDA, 2",Madrid,Madrid,Carabanchel,es,Abrantes,40.3773345,-3.7317425,True,https://www.idealista.com/inmueble/108420739/,"**Piso en Venta en Vía Lusitana, Carabanchel** Descubre este encantador piso en la vibrante zona de Carabanchel, ideal para quienes buscan un hogar cómodo y luminoso.  Con una superficie construida de 71 m² y 65 m² útiles, este inmueble cuenta con tres amplios dormitorios, perfectos para disfrutar de un descanso reparador.  Dos de ellos están equipados con armarios empotrados, lo que proporciona un espacio adicional para el almacenamiento. El salón-comedor es un lugar acogedor y luminoso, ideal para compartir momentos inolvidables en familia o con amigos.  La cocina, totalmente amueblada y equipada con electrodomésticos, se baña de luz natural, convirtiéndola en el corazón del hogar.  Los suelos de parket añaden un toque de calidez y confort que se siente en cada rincón. Ubicado en la quinta planta, este piso exterior ofrece vistas despejadas y una orientación este que permite disfrutar del sol por las mañanas.  Además, cuenta con aire acondicionado y calefacción de gas natural individual, asegurando un ambiente agradable durante todo el año. Las ventanas de aluminio tipo climalit garantizan un excelente aislamiento térmico y acústico. El edificio está adaptado para personas con movilidad reducida y dispone de ascensor, facilitando el acceso a todos los residentes.  La conexión al transporte público es excelente, lo que hace que moverse por la ciudad sea muy sencillo. Este inmueble, construido en 1958, es una oportunidad única para personalizarlo a tu gusto y convertirlo en el hogar de tus sueños.  ¡No esperes más y ven a visitarlo!",True,renew,False,True,3099.0,False,False,False,False,[],False,False,220000.0,€,flat,"Abrantes, Madrid","Piso en Pz Rendicion De Breda, 2",LAU 00025,225000.0,5000.0,2.0,,,,,
107662794,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0d/67/a1/1319088434.webp,52,,1350000.0,chalet,sale,325.0,,4,4,calle de Villamiel de Cáceres,Madrid,Madrid,Hortaleza,es,Palomas,40.4515113,-3.6080288,False,https://www.idealista.com/inmueble/107662794/,"PycRamos inmobiliaria les ofrece bonito chalet pareado en la urbanización Las Palomas de Madrid. Cuenta con 340 metros cuadrados, aproximadamente, distribuidos en 4 plantas.  Se accede por la planta baja en la que hay un aseo con ventana, amplio salón en dos alturas diferenciándose la zona de estar de la de comedor y cocina, ambas estancias con salida a un amplio patio de 40 metros cuadrados, aproximadamente. En la primera planta están los domitorios. El dormitorio principal en suitte, con amplio vestidor y cuarto de baño y otros tres dormitorios dobles, todos ellos con armarios empotrados y amplias ventanas que comparten dos cuartos de baño completos. En la segunda planta hay una gran estancia polivalente de 40 metros cuadrados, aproximadamente, con dos terrazas y aire acondicionado. En esta planta está el cuarto para la caldera y dos desahogados trasteros. En la planta semisótano hay una amplia habitación, un cuarto de lavandería y una pequeña despensa. Desde esta planta se accede a las dos plazas de garaje. La vivienda da derecho al uso de piscina comunitaria a 2 minutos andando.  El importe del IBI es de 1229,94€ La vivienda se encuentra cerca del metro a poca distancia hay una farmacia. La Piovera es una exclusiva zona residencial de chalets y pequeñas urbanizaciones cerradas, en un entorno privilegiado a escasos 15 minutos del centro de Madrid, mediante la A-2, M-22, M-40, M-11; y cuenta con transporte público: autobuses 105, 112, 115, 151, N4; aeropuerto y con parada de metro de la Línea 5. En sus alrededores varios centros comerciales ofrecen una amplia y variada posibilidad de ocio: Arturo Soria Plaza, Palacio de Hielo, Hipercor Campo de las Naciones y el Centro Comercial Gran Vía de Hortaleza. Se sitúa al lado de grandes zonas verdes como el Parque Juan Carlos I, el Parque El Capricho, Campo de Golf La Hinojosa. Entorno privilegiado para la vida en familia por su cercanía a colegios internacionales. No dude en visitarlo.",False,good,False,,4154.0,True,False,False,False,[],False,False,1350000.0,€,chalet,"Palomas, Madrid",Chalet pareado en calle de Villamiel de Cáceres,,,,,True,True,semidetachedHouse,,
108421233,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/aa/6d/6d/1344379435.webp,46,6,1250000.0,penthouse,sale,177.0,True,2,2,CL ISABEL LA CATOLICA,Madrid,Madrid,Centro,es,Palacio,40.4219005,-3.707608,False,https://www.idealista.com/inmueble/108421233/,"Se vende espectacular ático completamente reformado con magníficas vistas, ubicado en la sexta planta de un edificio emblemático en la Calle Isabel La Católica. Con una superficie de 177 m² según catastro y 140 m² construidos dentro de la vivienda, esta propiedad combina diseño, elegancia y funcionalidad, ideal para quienes buscan exclusividad y confort en pleno centro de Madrid. El ático ha sido reformado integralmente, transformando su antigua distribución de cuatro dormitorios en dos espaciosas habitaciones, ambas con armarios empotrados y vistas despejadas. Dispone de dos baños completos, uno de ellos en suite dentro del dormitorio principal. El salón destaca por su amplitud y luminosidad, gracias a los grandes ventanales equipados con aislamiento térmico y acústico de alta gama, que garantizan un ambiente silencioso y agradable. El comedor independiente es perfecto para celebraciones o reuniones íntimas, mientras que la cocina, completamente equipada, cuenta con un balcón privado que añade un toque especial. Gracias a su orientación este-oeste, la vivienda goza de luz natural durante todo el día, creando ambientes cálidos y acogedores. Al estar ubicada en la última planta y en un edificio con pocos vecinos, la tranquilidad está asegurada. El portal, elegante y representativo, refuerza el carácter distinguido del inmueble. Su ubicación es privilegiada: junto al Teatro Lope de Vega y a escasos metros de la emblemática Gran Vía, ofrece vistas únicas a una de las arterias más icónicas de Madrid. Además, se encuentra a tan solo 160 metros del metro Santo Domingo y a 500 metros de Plaza de España, lo que garantiza una excelente comunicación. Todo ello rodeado de una inmejorable oferta cultural, gastronómica y comercial. Este ático no es solo una vivienda, sino una declaración de estilo de vida en una de las zonas más deseadas de la ciudad. Si crees que este puede ser tu próximo hogar, contáctanos. Estaremos encantados de atenderte.",True,good,False,True,7062.0,True,False,False,False,[],False,False,1250000.0,€,flat,"Palacio, Madrid",Ático en Cl Isabel La Catolica,,,,,,,penthouse,,
104812036,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ce/fb/4a/1308689521.webp,21,3,2775000.0,flat,sale,251.0,True,4,5,calle de Fuencarral,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4294255,-3.7010694,False,https://www.idealista.com/inmueble/104812036/,"VENTA DIRECTA  ""The Brickinvest"" empresa líder en pisos de lujo, presenta este magnifico piso exterior, en una de las calles más emblemáticas y conocidas del barrio de Justicia, en el centro de la capital, un lugar  con carácter auténtico, una gran oportunidad de compra, en una de las zonas que más a rejuvenecido en la capital.  En un elegante edificio representativo, con fachada clásica, encontramos está vivienda donde destacan sus cuatro balcones a la calle, eso sumado a sus techos de gran altura hace que sea muy luminoso, un piso donde se aúna carácter y amplitud a lo largo de sus 251 m2.  La distribución que se está llevando a cabo es: un gran salón- comedor - biblioteca y despacho unidos entre sí. Una gran cocina independiente con lavandería y habitación de servicio completa, un aseo de cortesía para las visitas y tres grandes habitaciones suite con vestidor cada una de ellas.  Está en proceso de reforma, se podrá visitar a partir de Junio/ Julio, a la finalización de las obras. Hay fotografías que son renders. ATENDEMOS SABADOS Y DOMINGOS.",False,good,False,True,11056.0,True,False,False,False,[],False,False,2775000.0,€,flat,"Chueca-Justicia, Madrid",Piso en calle de Fuencarral,,,,,,,,,
106655373,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/d1/28/39/1297338671.webp,25,2,725000.0,flat,sale,110.0,True,4,2,paseo de la Virgen del Puerto,Madrid,Madrid,Arganzuela,es,Imperial,40.409983,-3.7197606,False,https://www.idealista.com/inmueble/106655373/,"Luminosa vivienda situada en una segunda planta. Luminosa vivienda situada en una segunda planta con vistas a Madrid Rio, en el barrio de Imperial. Actualmente se distribuye en cuatro dormitorios(antes cinco), despensa, amplio salón comedor, dos baños y cocina independiente. Se encuentra para reformar totalmente, una oportunidad de inversión o para vivir en una ubicación inmejorable frente a madrid rio y con una comunicación excepcional para desplazarse a cualquier punto de Madrid y a menos de 10 min del centro.  Todas las estancias tienen amplios huecos de ventanas y además con muchísima luz debido a su orientacion Sur_Este. El edificio cuenta con personal de limpieza y recogida de basuras, ascensor y acceso a personas con discapacidad motora. La calefacción es centralizada de gas.  Se ubica en el distrito de imperial-palacio, una de las zonas más cotizadas de Madrid ya sea para vivir o para invertir, cuenta con todo tipo de servicios comerciales, culturales, educacionales, restauración y deportivos. Metros más cercanos: Principe pio, Piramides Autobuses: 36, 50,62 Grupo Mejocasa, somos un equipo dedicado a ofrecer el mejor servicio inmobiliario en toda la Comunidad de Madrid. Contamos con cuatro oficinas estratégicamente ubicadas en los barrios de Chamberí-centro, Ciudad Lineal-Salamanca, Hortaleza-Las Tablas y Canillejas-Vicálvaro, lo que nos permite tener un amplio alcance y conocimiento del mercado en todas las zonas de la ciudad. Nos enorgullece ofrecer un servicio integral, gracias a nuestro Método de trabajo que abarca todos los aspectos necesarios para una experiencia inmobiliaria satisfactoria. No solo nos especializamos en la compra y venta de propiedades, sino que también brindamos asesoramiento completo para que nuestros clientes tomen decisiones informadas y segura.",True,renew,False,True,6591.0,False,False,False,False,[],False,False,725000.0,€,flat,"Imperial, Madrid",Piso en paseo de la Virgen del Puerto,89555,,,,,,,,
108627340,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/57/2c/78/1350369325.webp,37,2,341000.0,flat,sale,149.0,True,4,2,San José - Buenos Aires,Madrid,Pinto,San José - Buenos Aires,es,,40.2392603,-3.7071958,False,https://www.idealista.com/inmueble/108627340/,"""ESTUPENDA VIVIENDA EN VENTA Excelente vivienda de cuatro dormitorios y dos baños. Se encuentra en la 2ª planta de un edificio residencial. y cuenta con garaje y trastero. Dispone de ascensor. Situado en San José Buenos Aires. La vivienda se distribuye en cuatro dormitorios, armarios empotrados, salón-comedor con acceso a terraza y jardín, cocina independiente y dos baños. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias. Dispone de calefacción. Dispone de piscina. Se encuentra ubicado al Sureste de Pinto. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público.  La parada de metro más cercana es Pinto y se encuentra a menos de 10 minutos andando. La parada de autobús más cercana se encuentra a menos de 10 minutos andando. La parada de taxi más cercana se encuentra a menos de 10 minutos andando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el colegio más cercano se encuentra a 240 metros. La zona cuenta con una amplia oferta de entretenimiento con 6 parques, bares, restaurantes y comercios a pocos minutos de la vivienda.  En cuanto al transporte privado, la zona dispone de parkings privados y aparcamiento en la calle.  La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Autovia del Sur, M-506 y la Calle Aguilas.  Estado de la vivienda: vacante "".",True,good,False,True,2289.0,True,False,True,False,[],False,False,341000.0,€,flat,"San José - Buenos Aires, Pinto",Piso,2110/21100032/157,,,,True,True,,,
107301171,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5d/1a/77/1308896744.webp,78,,1750000.0,chalet,sale,600.0,,4,6,calle Moreras,Madrid,Pozuelo de Alarcón,Urbanizaciones,es,Monteclaro,40.4414469,-3.8492062,False,https://www.idealista.com/inmueble/107301171/,"Horlux Homes tiene el honor de presentar, EN EXCLUSIVA, este chalet en la prestigiosa urbanización de Monteclaro, una joya arquitectónica que combina modernidad y elegancia en un entorno inigualable. Esta magnífica propiedad, reformada hace apenas 10 años, ofrece 600m² de espacio habitable diseñado para el máximo confort y funcionalidad. Cada uno de sus cuatro dormitorios cuenta con un baño en suite, garantizando privacidad y comodidad para toda la familia. La vivienda está equipada con tecnología avanzada, incluyendo un sistema de suelo radiante con bomba de calor y frío, un aspirador centralizado para mayor comodidad, y persianas automáticas y blindadas que proporcionan seguridad y facilidad de uso. La distribución inteligente de los espacios permite a los futuros propietarios adaptar y personalizar el hogar según sus necesidades y deseos. Ubicada en Monteclaro, esta propiedad goza de una ubicación privilegiada, cercana a una amplia gama de servicios. A pocos minutos se encuentra el Centro Comercial Monteclaro, ofreciendo una variedad de tiendas y opciones gastronómicas. Además, el prestigioso Colegio Everest está a corta distancia, ideal para familias. La urbanización cuenta con su propio club para propietarios, un espacio exclusivo para disfrutar de actividades recreativas y sociales. La proximidad a Majadahonda añade un plus a la oferta de ocio, con numerosos restaurantes y muchos mas servicios. La urbanización de Monteclaro se distingue por ofrecer un entorno seguro y tranquilo, con vigilancia las 24 horas del día, lo que proporciona una gran tranquilidad a sus residentes. Su ubicación estratégica, en una zona que no es de paso, añade un nivel adicional de privacidad y serenidad, permitiendo disfrutar de una vida apacible y sin preocupaciones. El chalet se asienta sobre una parcela de 1,200m², que incluye un hermoso jardín con piscina, perfecto para disfrutar de momentos de relax al aire libre. Un garaje con capacidad para dos coches completa esta oferta, brindando practicidad y seguridad. Esta es una oportunidad única para adquirir una propiedad que no solo es un hogar, sino un estilo de vida. En Horlux Homes, nos comprometemos a ofrecer lo mejor del mercado inmobiliario de lujo, y este chalet es un testimonio de nuestra dedicación a la excelencia y el servicio personalizado. No pierda la oportunidad de hacer suyo este espectacular refugio en Monteclaro. Tenemos más inmuebles sin publicar así que no dude en contactarnos. EX.",False,renew,False,,2917.0,True,False,False,False,[],False,False,1750000.0,€,chalet,"Monteclaro, Pozuelo de Alarcón",Casa independiente en calle Moreras,,,,,True,True,independantHouse,,
