propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,detailedType.subTypology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,parkingSpace.parkingSpacePrice
108622242,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9e/f6/18/1358000022.webp,54,10,2200000.0,penthouse,sale,283.0,True,4,4,calle del Poeta Joan Maragall,Madrid,Madrid,Tetuán,es,Cuzco-Castillejos,40.4575539,-3.6915199,False,https://www.idealista.com/inmueble/108622242/,"¡ CASAIDONEA les ofrece este magnífico ático de 283 m2, con terraza y amplia plaza de garaje en una ubicación privilegiada! ¡ No cobramos comisión de agencia al comprador! Presentamos esta vivienda única de alto standing en una muy buena finca, en la mejor zona del barrio de Tetuán, lindando con el prestigioso barrio de Hispanoamérica en Madrid. El ático tiene dos plantas, con una muy buena distribución y grandes posibilidades de reforma. Un detalle exclusivo, es su acceso directo desde el portal y el garaje, a la puerta principal de la vivienda, con rellano-hall propios (sin más puertas de otros vecinos), contamos con total privacidad a la hora de entrar y salir del edificio. La planta principal de entrada, cuenta con un acogedor hall-recibidor de bienvenida, que nos conecta con el espectacular salón girando a mano derecha, que cuenta con un inmenso ventanal de más de 7 metros lineales, y la abundante luz natural que proporciona estar a la altura de una décima planta. Junto al gran salón, se encuentra el comedor (que se puede utilizar como despacho o habitación si se quiere). La cocina está desde el hall de entrada, girando a mano izquierda y tiene también puerta de acceso independiente, lavadero-tendedero, y cuarto de servicio con baño. En esta misma planta se encuentra la habitación principal, que cuenta con su propio baño, y hay además un baño de cortesía para invitados. La planta superior está destinada a la zona de descanso y ocio en la casa, contando con una distribución muy cuadrada, perfecta para cualquier reforma que se quiera plantear. Actualmente tiene dos habitaciones y dos baños. Sus dos 2 terrazas una cubierta y otra abierta, ambas de unos 50m2 aproximados cada una, dan una versatilidad absoluta a la casa, pudiendo disfrutar de una cena o desayuno al aire libre con unas buenas vistas, o elegir estar más “indoor” en épocas de otoño o invierno. Como ventajas adicionales, la finca cuenta con portero físico, una amplia plaza de garaje en la propia finca (incluida en el precio) y un cuarto trastero. La zona en donde está ubicada la vivienda, es inmejorable. Tiene justo al lado grandes zonas verdes como los parques de Perón y el de los Pinos, con zona canina y parque de juegos infantil. Además de un amplio abanico de restaurantes, supermercados, tiendas, colegios, centros de educación, centros de salud, y el emblemático estadio Santiago Bernabéu y el Palacio de congresos. Zona excelentemente comunicada por transporte público (autobús y metro). ¡ Llámenos para concertar una visita a la casa de sus sueños!",False,renew,False,True,7774.0,True,False,False,False,[],False,False,2200000.0,€,True,True,flat,penthouse,"Cuzco-Castillejos, Madrid",Ático en calle del Poeta Joan Maragall,,,,,
108766876,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/51/74/bb/1354819628.webp,17,6,750000.0,penthouse,sale,68.0,True,1,1,Barrio Trafalgar,Madrid,Madrid,Chamberí,es,Trafalgar,40.4303715,-3.7004026,False,https://www.idealista.com/inmueble/108766876/,"NO COBRAMOS HONORARIOS AL CLIENTE COMPRADOR Ático luminoso en pleno corazón de Chamberí 75 m² con terraza ¡Oportunidad única en una de las zonas más cotizadas de Madrid! Ponemos a la venta este encantador ático de 75 m² construidos (incluyendo zonas comunes y terraza), situado en el prestigioso barrio de Chamberí, una de las áreas más demandadas por su estilo de vida, su ambiente tranquilo y su excelente conexión con el centro de Madrid. La vivienda cuenta con una distribución muy funcional: Un dormitorio con mucha luz Salón luminoso, ideal para relajarse o recibir visitas Cocina independiente Baño completo Todas las estancias son exteriores, lo que garantiza una excelente luz natural durante todo el día y vistas despejadas. La terraza le aporta un valor añadido perfecto para disfrutar del aire libre en plena ciudad. Una vivienda ideal tanto para vivir como para invertir, en un entorno privilegiado, rodeado de comercios, restaurantes, zonas verdes y con excelente comunicación por transporte público. No dejes pasar esta oportunidad de vivir en lo más alto de Chamberí. ¡Contáctanos para más información o concertar una visita!",False,good,False,True,11029.0,True,False,False,False,[],False,False,750000.0,€,,,flat,penthouse,"Trafalgar, Madrid",Ático,145786,,,,
108622075,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/9f/d6/b7/1350218308.webp,32,,629800.0,chalet,sale,360.0,,5,4,cuesta del Rio s/n,Madrid,Paracuellos de Jarama,Residencial Jarama,es,,40.4987535,-3.5430465,True,https://www.idealista.com/inmueble/108622075/,"¡Boaz Inmoboutique vende chalet independiente en Paracuellos del Jarama! Se vende chalet independiente de 360 m² construidos sobre una parcela privada de 1.600 m², con 4.000 m² de zonas comunes compartidas por solo 3 viviendas. El inmueble se distribuye en tres plantas y cuenta con 5 dormitorios y 4 cuartos de baño. Planta Sótano: - Garaje. - Cocina. - Salón. - Habitación. - Cuarto de baño. - Cuarto de calderas. Primera Planta: - Cocina americana amueblada con electrodomésticos. - Salón. - Dormitorio tipo suite con cuarto de baño. Segunda Planta: - Dormitorio principal tipo suite con baño y vestidor. - 2 dormitorios. - Cuarto de baño completo. La vivienda cuenta con cocina completamente amueblada y equipada, puertas de roble, puerta de entrada blindada, pintura lisa, suelos de gres en el sótano y de madera en el resto de la vivienda, ventanas de aluminio, calefacción por gasoil, chimenea, piscina y garaje. IBI: 400 €/año. ¡Para más información contáctenos!",False,good,False,,1749.0,False,False,False,False,[],False,False,629800.0,€,,,chalet,independantHouse,"Residencial Jarama, Paracuellos de Jarama",Casa independiente en cuesta del Rio s/n,,649800.0,20000.0,3.0,
108319558,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8f/b6/e0/1340574307.webp,36,8,280000.0,flat,sale,80.0,True,1,1,calle Trole,Madrid,Madrid,Puente de Vallecas,es,Palomeras sureste,40.3823731,-3.632728,False,https://www.idealista.com/inmueble/108319558/,"ALTOR ASESORES OFRECE; ¿Buscas una vivienda cómoda, bien ubicada y con servicios completos? ¿O una inversión con ingresos asegurados desde el primer momento? ¡Este piso en la mejor zona de Vallecas Palomeras lo tiene todo! 80 m²  1 habitación amplia  Baño completo  Salón luminoso y acogedor  Cocina independiente equipada  8ª planta con ascensor  Aire acondicionado y calefacción central  Acceso adaptado para personas con movilidad reducida  Forma parte de un conjunto residencial muy completo, con:  Piscina comunitaria  Gimnasio privado  Zonas verdes y espacios comunes cuidados  El piso está en muy buen estado y actualmente alquilado hasta el 2027, lo que lo convierte en una opción perfecta para inversores.  Rentabilidad inmediata garantizada. Ubicación ideal: zona tranquila, segura y con todos los servicios cerca (transporte, supermercados, centros médicos, zonas deportivas y parques). Actualmente esta en rentabilidad hasta el 2027 ¡No dejes pasar esta oportunidad!",False,good,False,True,3500.0,False,False,False,False,[],False,False,280000.0,€,True,True,flat,,"Palomeras sureste, Madrid",Piso en calle Trole,4233,,,,
107741792,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/97/0d/1347494217.webp,44,1,173500.0,flat,sale,150.0,True,3,2,La Montaña-El Cortijo,Madrid,Aranjuez,La Montaña-El Cortijo,es,,40.0586195,-3.595706,False,https://www.idealista.com/inmueble/107741792/,"""ESTUPENDA VIVIENDA EN VENTA Excelente vivienda de tres dormitorios y dos baños. Se encuentra en la 1ª planta de un edificio residencial, y cuenta con garaje y trastero. Dispone de ascensor. Situado en La Montaña - El Cortijo. La vivienda se distribuye en tres dormitorios y, armarios empotrados, salón-comedor con acceso a terraza, cocina independiente y dos baños. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina, baño y en el resto de estancias. Dispone de calefacción. Se encuentra ubicado al Noreste de Aranjuez. Cuenta con fácil acceso a través de las principales carreteras y buenas comu nicaciones por transporte público.  La parada de autobús más cercana es Av. Amazonas Central - Gta. Valle del Loira y se encuentra a menos de 5 minutos andando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con to do tipo de servicios básicos La zona cuenta con una amplia oferta de entretenimiento con varios parques, bares, restaurantes y comerc ios a pocos minutos de la vivienda. En cuanto al transporte privado, la zona dispone de parkings privados y aparcamiento en la calle.  La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Carretera de Chinchon a A-4 y la Carrete ra de Madrid.  Estado de la vivienda: vacante"".",True,good,False,True,1157.0,True,False,True,False,[],False,False,173500.0,€,True,True,flat,,"La Montaña-El Cortijo, Aranjuez",Piso,2201/22010007/550,,,,
108368222,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/75/80/cc/1342018933.webp,31,5,845000.0,flat,sale,98.0,True,3,1,Barrio Vallehermoso,Madrid,Madrid,Chamberí,es,Vallehermoso,40.441784,-3.7166895,False,https://www.idealista.com/inmueble/108368222/,"""ESTUPENDA VIVIENDA EN VENTA Excelente vivienda de tres dormitorios y un baño. Se encuentra en la 5ª planta de un edificio residencial. Dispone de ascensor. Situado en VALLEHERMOSO en el distrito de Chamberi. La vivienda se distribuye en tres dormitorios, salón-comedor con acceso a terraza, cocina independiente y un baño. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de tarima en cocina, baño y en el resto de estancias. Dispone de calefacción y individual y aire acondicionado. Se encuentra ubicado en Vallehermoso, Chamberi (Noroeste de Madrid). Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público. La parada de metro más cercana es Islas Filipinas y se encuentra a menos de 5 minutos andando. La parada de autobús más cercana es Cristo Rey-San Francisco de Sales y se encuentra a menos de 5 minutos andando. La parada de taxi más cercana se encuentra a menos de 10 minutos andando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, el hospital más cercano se encuentra a 370 metros, existen 8 farmacias a menos de 300 metros, existen 3 colegios a menos de 300 metros, la universidad más cercana se encuentra a 270 metros. Además, a menos de 500 metros también puedes encontrar 4 supermercados, 14 bancos, 2 oficinas de correos, una comisaría de policía. La zona cuenta con una amplia oferta de entretenimiento con un teatro, múltiples parques, bares, restaurantes y comercios a pocos minutos de la vivienda. En cuanto al transporte privado, la zona dispone de parkings privados, 3 parkings públicos y aparcamiento en la calle. La vivienda tiene un fácil acceso por carretera y está bien comunicado a través de la Calle 30, Paseo de San Francisco de Sales y la Avenida de la Memoria. Estado de la vivienda: vacante"".",True,good,False,True,8622.0,True,False,True,False,[],False,False,845000.0,€,,,flat,,"Vallehermoso, Madrid",Piso,2201/22010039/320,,,,
108815417,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/38/80/88/1355945153.webp,60,10,1500000.0,flat,sale,180.0,True,4,3,calle de Federico Salmón,Madrid,Madrid,Chamartín,es,Nueva España,40.4619131,-3.6669912,False,https://www.idealista.com/inmueble/108815417/,"Century21 Village vende fantástico piso en Nueva España de 188 m2, 4 habitaciones, 2 baños y un aseo. La vivienda es una decima planta, reformada. Cuenta con un amplio salón que comunica con una terraza cubierta.  Una amplia cocina con Office, totalmente equipada con electrodomésticos y gran tendedero. Con vista a las 4 torres. Despensa independiente que podría convertirse en otro baño.  El resto de la vivienda se distribuye en ¨U¨ por lo que resulta muy cómoda la zona de descanso con accesos desde la cocina y el salón. Cuatro habitaciones todas ellas con armarios empotrados. La principal cuenta con una zona de vestidor. Los baños uno con ducha y otro con bañera y el aseo de cortesía cercano al salón. Aunque el edificio es de los años 70 en la reforma integral se cambiaron electricidad y tuberías, además de ventanas doble cristal y oscilobatientes, puertas, cocina y baños. Se aislaron paredes para no tener ruidos de vecinos. El edificio además está muy bien mantenido. Portero físico de mañana y de tarde y por la noche se han instalado cámaras de seguridad, por lo que la urbanización es muy segura. Calefacción central de uso individual y aire acondicionado en el salón con potencia que enfría cocina. Cuenta con piscina, zonas ajardinadas y deportivas (baloncesto). No cuenta con trastero, en la urbanización hay cuartos para guardar bicis y sillas de piscina. Plaza de garaje opcional. La calle es muy tranquila, pero permite estar cercano a todos los servicios necesarios para el día a día.",False,good,False,True,8333.0,False,False,False,False,[],False,False,1500000.0,€,,,flat,,"Nueva España, Madrid",Piso en calle de Federico Salmón,Federico Salmón,,,,
108491437,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/1b/99/1346856614.webp,37,5,318000.0,flat,sale,125.0,True,4,2,Juan de Austria,Madrid,Alcalá de Henares,Juan de Austria,es,,40.4819597,-3.3554269,False,https://www.idealista.com/inmueble/108491437/,"RE/MAX MONTE pone a la venta esta vivienda situada en la zona de la Avenida Juan de Austria. Magnífico piso de 125 m² construidos, ubicado en una quinta planta con ascensor, completamente exterior y con excelente luminosidad durante todo el día. La vivienda se distribuye en CUATRO amplios dormitorios, dos baños completos, un salón espacioso con acceso a una gran terraza, y una cocina independiente con tendedero. Todas las estancias son generosas y bien ventiladas. La finca está en buen estado y cuenta con una comunidad tranquila. Situado en una zona estratégica de Alcalá de Henares, a pocos minutos de la estación de Renfe y muy cerca de la Universidad de Alcalá, lo que convierte esta propiedad en una opción ideal tanto como residencia familiar como para inversión en alquiler universitario. Existe la posibilidad de adaptar la distribución para obtener hasta cinco dormitorios, aumentando significativamente su rentabilidad. Una oportunidad única por espacio, ubicación y potencial. Llámanos y reserva la visita a tu casa ideal!",True,good,False,True,2544.0,True,False,True,False,[],False,False,318000.0,€,,,flat,,"Juan de Austria, Alcalá de Henares",Piso,9635001271,,,,
108684514,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e0/18/e1/1352139958.webp,27,,1600000.0,chalet,sale,528.0,,4,4,Las Lomas,Madrid,Boadilla del Monte,Las Lomas,es,,40.438772,-3.9060173,False,https://www.idealista.com/inmueble/108684514/,"Exclusiva vivienda independiente en parcela de 2.910 m² con piscina, en un entorno tranquilo y privado ¿Buscas un hogar espacioso, rodeado de naturaleza y con total privacidad? Esta vivienda independiente, construida sobre una gran parcela ajardinada de casi 3.000 m², es una oportunidad única para quienes valoran el espacio, la tranquilidad y el confort. Distribución en tres plantas: Planta principal: amplio hall de entrada, salón muy luminoso con vistas al jardín, cocina con zona de comedor, dos dormitorios, baño completo y aseo de cortesía. Primera planta: zona privada con despacho, dormitorio principal con vestidor y baño en suite con jacuzzi, y otro dormitorio también con vestidor y baño privado. Planta sótano: bodega-salón ideal para reuniones, cuarto de instalaciones y amplio garaje. Piscina privada rodeada de zonas verdes Persianas eléctricas en toda la vivienda Aire acondicionado Placas solares para mayor eficiencia energética Tejado de pizarra y fachada de ladrillo visto: calidad y estética atemporal Cuenta con pozo propio, un recurso muy valioso que garantiza suministro de agua para riego o uso doméstico, y aporta un gran valor añadido Solicita más información y ven a conocer esta vivienda única en su entorno.",True,good,False,,3030.0,True,False,False,False,[],False,False,1600000.0,€,True,True,chalet,independantHouse,"Las Lomas, Boadilla del Monte",Casa independiente,,,,,
108004510,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/4d/65/f9/1330891747.webp,23,3,229900.0,flat,sale,67.0,True,3,1,calle Ascensión Bielsa,Madrid,Madrid,Puente de Vallecas,es,Numancia,40.4001785,-3.6594437,False,https://www.idealista.com/inmueble/108004510/,"¡Times Inmobiliaria vende en exclusiva este magnifico piso con dos terrazas! Este inmueble de 61m2 útiles cuenta con un amplio salón con terraza cerrada, tres dormitorios, uno de ellos con una amplia terraza exterior, ideal para esos momentos de tranquilidad. El baño completo, con ventana, aporta luminosidad y comodidad. Además, el armario empotrado ofrece un espacio extra para mantener todo en orden. La ubicación es excelente, rodeada de parques y una variada oferta de locales de restauración y ocio. Todos los servicios necesarios están a tu alcance, y la comunicación es óptima gracias a las paradas de autobús y metro cercanas. Con fácil acceso a la A-3 y M-30, moverte por la ciudad será muy sencillo. Construido en 1965 y en buen estado, este piso es perfecto tanto para vivir como para invertir.  En Times Inmobiliaria trabajamos para ofrecer a nuestros clientes los mejores inmuebles. Nos dedicamos a la intermediación en la compra, venta, venta de la nuda propiedad, alquiler y en conseguir la mejor financiación. Somos especialistas en cambios de viviendas y en conseguir hipotecas 100x100. Para más información contacta con nosotros sin ningún tipo de compromiso y concierta una.",False,good,False,False,3431.0,True,False,False,False,[],False,False,229900.0,€,,,flat,,"Numancia, Madrid",Piso en calle Ascensión Bielsa,235v,,,,
