propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.subTypology,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,highlight.groupDescription
106664297,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/2b/bc/80/1290265859.webp,M-13-00025,42,3,1450000.0,flat,sale,115.0,True,2,2,calle de Cedaceros,Madrid,Madrid,Centro,es,Huertas-Cortes,40.4184126,-3.6991706,False,https://www.idealista.com/inmueble/106664297/,"Este espectacular piso, ubicado en un edificio clásico junto a la emblemática Gran Vía, te ofrece una experiencia de vida única. Totalmente exterior, cuenta con cinco balcones que inundan de luz cada rincón, incluyendo uno acristalado perfecto para disfrutar de las vistas. Reformado y amueblado con gusto, dispone de un amplio salón-comedor con tres balcones, una moderna cocina americana y dos dormitorios con armarios empotrados. El dormitorio principal, además, incluye un baño integrado para tu comodidad. La ubicación es inmejorable: a solo 10 minutos a pie del parque del Retiro y la Puerta de Alcalá, y con fácil acceso al transporte público gracias a la cercana estación de metro Sevilla y las líneas de autobús 5 y 150. Con 115 m² construidos y 97 m² útiles, esta vivienda es ideal para quienes buscan espacio y confort en pleno centro. Además, es apta para personas con movilidad reducida y cuenta con calefacción por bomba de frío/calor y aire acondicionado. No pierdas la oportunidad de vivir en este oasis urbano con todas las comodidades modernas. ¡Ven a visitarlo y enamórate!",False,good,False,True,12609.0,True,True,False,False,[],False,False,1450000.0,€,flat,"Huertas-Cortes, Madrid",Piso en calle de Cedaceros,,,,,,,
108879885,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/30/00/34/1358112482.webp,EDPA2287,56,1,560000.0,flat,sale,133.0,True,2,2,Barrio Las Tablas,Madrid,Madrid,Fuencarral,es,Las Tablas,40.5018426,-3.6762683,False,https://www.idealista.com/inmueble/108879885/,"EDPA22 Inmobiliaria te presenta esta fantástica vivienda ubicada en una de las zonas con mayor proyección del norte de Madrid. Situada en una urbanización cerrada con conserje, piscina, pista de pádel, zona infantil y sala para eventos, es ideal para quienes buscan comodidad, seguridad y una ubicación privilegiada. La vivienda destaca por su luminosidad, distribución funcional y acabados actuales. Cuenta con dos dormitorios, el principal con baño en suite, y otro baño más completo. El salón comedor es amplio y acogedor, con aire acondicionado, igual que el dormitorio principal, para mayor confort durante todo el año. La cocina independiente dispone de gran capacidad de almacenamiento y da acceso a un amplio tendedero cerrado, muy útil como zona de lavado o almacenaje adicional. Los suelos de tarima en tono gris claro y las puertas blancas aportan una atmósfera moderna, cálida y acogedora en todo el hogar. La vivienda incluye dos plazas de garaje y un trastero, lo que añade comodidad y espacio adicional de almacenaje. Ubicada en una zona consolidada, con todos los servicios a mano, colegios, supermercados y excelentes comunicaciones tanto en transporte público como en acceso a las principales vías de la ciudad. NO COBRAMOS HONORARIOS AL COMPRADOR Los gastos adicionales que corresponden al comprador aproximadamente son los siguientes: Notaría: 850,00 € Registro: 510,00 € ITP: 33.600, 00 € Una oportunidad ideal para quienes buscan calidad de vida sin renunciar a una ubicación estratégica en Madrid.",False,good,False,True,4211.0,False,False,True,False,[],False,False,560000.0,€,flat,"Las Tablas, Madrid",Piso,True,True,,,,,
108908369,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/3a/63/6f/1358591352.webp,Avenida Belén,40,1,240000.0,flat,sale,110.0,True,3,2,avenida de Belén,Madrid,Ciempozuelos,Cuevas - Ilustración,es,,40.1579536,-3.6248373,False,https://www.idealista.com/inmueble/108908369/,"Excelente piso en urbanización privada, con piscina, jardines y zonas comunes. Plaza de garaje grande, incluida en el precio, para coche y moto.  Céntrico y a escasos minutos andando de la plaza principal.  Edificio seminuevo con excelentes calidades.  Hall de entrada, con puerta principal blindada.  Amplia cocina completamente amueblada, con un amplio balcón al exterior que le aporta mucha luz.  Tres dormitorios con armarios empotrados vestidos.  Dos baños amueblados, con duchas de gran formato, uno de ellos dentro del dormitorio principal en suite.  Pasillo distribuidor.  Gran salón muy luminoso con un balcón al exterior.  Las habitaciones dan a la zona privada del jardín, por lo que no se escuchan los ruidos de la calle.  Excelentes calidades de construcción. Pntura en liso en toda la vivienda. Suelos de gres. Puertas de roble.  Ventanas de aluminio lacado con doble cristal.  Excelente sistema de calefacción, de lujo, por suelo radiante con frío y calor. Aire acondicionado en el salón. Ascensor.  Extraordinaria zona común, muy cuidada, con piscina, muy tranquila porque solo son diecinueve vecinos y no se requiere socorrista.  Zona de jardín con césped y bancos para bajar a leer o para disfrutar con los niños.  Ciempozuelos dispone de Renfe línea C3 a treinta minutos de Madrid centro. Parada de autobús enfrente, para ir a Madrid y para el hospital de Valdemoro.  A escasos minutos andando de supermercados, tiendas, bancos, parques, centro de salud. Venta con pago aplazado. Las condiciones serían: entrega de una entrada de 40.000 euros y se hace entrega de llaves de la vivienda y la escritura se firmaría dentro de un año.  Posibilidad de hacer alquiler con opción a compra a un año pero haciendo entrega de la entrada inicial.",False,good,False,True,2182.0,False,False,False,False,[],False,False,240000.0,€,flat,"Cuevas - Ilustración, Ciempozuelos",Piso en avenida de Belén,True,True,,,,,
106771437,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e4/39/b3/1293501527.webp,FL4,9,3,1570000.0,flat,sale,130.0,True,3,3,calle de Claudio Coello s/n,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4290745,-3.6860201,True,https://www.idealista.com/inmueble/106771437/,"Belton Real Estate ofrece un exclusivo piso reformado con 130 metros cuadrados, ubicado en una tercera planta exterior en el codiciado barrio de Salamanca - Recoletos.  Esta propiedad goza de luminosidad en cada estancia gracias a sus balcones y ventanas. La distribución funcional incluye tres habitaciones, tres baños, una moderna cocina totalmente equipada y un elegante salón y comedor.  La finca clásica dispone de portero y ascensor.  Situado en una zona privilegiada, este piso combina la tranquilidad de sus calles arboladas y la belleza de su arquitectura clásica con una oferta amplia de servicios exclusivos, boutiques de lujo, una selecta variedad de restaurantes, espacios de entretenimiento y opciones culturales de primer nivel.  Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando.",False,good,False,True,12077.0,False,False,False,False,[],False,False,1570000.0,€,flat,"Recoletos, Madrid",Piso en calle de Claudio Coello s/n,,,,,,,
103408279,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/33/c1/46/1356592695.webp,LODON-00672,65,,340000.0,chalet,sale,235.0,,4,4,"calle Eduardo Costa, 13",Madrid,Torrelodones,Colonia,es,,40.57745,-3.95713,True,https://www.idealista.com/inmueble/103408279/,"¡Atención INVERSORES! SE VENDE ÚNICAMENTE LA NUDA PROPIEDAD ¿Sabes ver dónde encontrar una buena inversión a largo plazo? Una de las mejores opciones de rentabilidad a largo plazo para un inversor es la compra de Nuda propiedad. ¿Sabes por qué? Porque estás comprando a un valor muy inferior al de mercado, muy inferior incluso al mercado de rentabilidad y con altas probabilidades, trascurrido el tiempo, ese valor habrá incluso aumentado del origen. ¿Y mientras? Mientras no puedes vivir en ella o alquilarla a terceras personas, pero te aseguras que durante los años que esté el usufructuario en ella, va a ser con la mayor de las probabilidades una casa mantenida y mimada con cariño, por lo que cuando la recuperes, a falta de las cositas que haya que hacer para actualizarla a los tiempos, de ser necesario, no requerirá de una gran inversión de reforma. ¿Quieres saber lo que te espera en este caso? ¡Sigue leyendo! Una pequeña urbanización con tan sólo 7 viviendas que comparten un patio de acceso, piscina de cloro con zona verde y el acceso de carruajes. Una comunidad muy tranquila y familiar. Dentro de la urbanización, es un chalet adosado haciendo esquina interior, por lo que está protegido por ambos lados, pero teniendo un jardín más amplio haciendo toda la esquina. Está distribuido en 4 plantas con todo espacios amplios, luminosos y llenos de vida: En la planta baja, entramos a la vivienda por un bonito porche en forma de arco llegando al hall de entrada que distribuye todas las estancias, empezando por el salón de 25 m2 con chimenea y salida a la terraza y bajada al jardín, la cocina de 15m2 con zona de cocina y de comedor diario, y por último un práctico aseo de cortesía y un armario empotrado. En la planta primera, tenemos 3 habitaciones muy espaciosas, dos dobles más la habitación principal, todas ellas con grandes armarios empotrados y 2 baños completos: una habitación norte con terraza que da a las zonas comunes, y las otras dos con orientación sur, hacia el jardín privado. ¡Todos los baños de la casa son con ventana! Subiendo una planta más, a la buhardilla tenemos otro salón, una habitación y un baño completo, lo que puede ser un mini estudio casi independiente. Si nos dirigimos al semi-sótano, tendremos, aparte de un trasterito en el bajo escalera, el garaje en el que pueden llegar a entrar 2 coches, más zona de almacenaje, un gran salón de juegos, que es la delicia del verano por mantenerse siempre fresquito, y una bodega. ¿Necesitas más información sobre lo que supone la Nuda propiedad?  ¿Quieres algún dato adicional de la vivienda? No dudes en ponerte en contacto con nosotros sin ningún compromiso!",True,good,False,,1447.0,False,False,True,False,[],False,False,340000.0,€,chalet,"Colonia, Torrelodones","Chalet adosado en calle Eduardo Costa, 13",True,True,terracedHouse,,,,
108470901,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/05/2c/a4/1345888375.webp,143921,18,,202000.0,flat,sale,71.0,,2,1,"calle el Toboso, 1",Madrid,Alcalá de Henares,Rinconada,es,,40.4766557,-3.3680807,True,https://www.idealista.com/inmueble/108470901/,"¡MARAVILLOSO Y LUMINOSO, PISO EN LA RINCONADA! Iad España, les presenta este fantástico y luminoso piso en el barrio de la Rinconada, Alcalá de Henares. Con una excelente ubicación a tan solo 5 min andando del Casco Histórico de Alcalá de Henares, Ciudad Patrimonio de la Humanidad. Reformado, este amplio tercero sin ascensor, inicialmente de 3 habitaciones, se ha conseguido una gran amplitud en sus 2 habitaciones. De forma fácil y sencilla se le puede devolver esa tercera habitación. Se compone de salón, cocina, cuarto de baño con plato de ducha, 2 amplias habitaciones y una gran terraza con vistas a la torre de la Magistral de Alcalá de Henares, acristalada hasta la zona de la cocina. La habitación principal dispone de armario y de una gran amplitud en todo su conjunto. La segunda habitación también muy amplia con un gran armario empotrado del suelo al techo, dispone del suficiente espacio para poner cama de matrimonio y seguir disponiendo de una buena amplitud. Calefacción, Split de calor y frio, en el salón y las 2 habitaciones. En la zona podemos encontrar a un paso todo lo que necesitamos, centro médico Luis Vives, farmacias, supermercados, ocio y grandes parques para toda la familia. Muy buena comunicación de acceso y salida a autovías y carreteras de circunvalación. Autobús directo a Madrid, y a tan solo 10 minutos de Renfe La Garena.",False,good,False,False,2845.0,False,False,False,False,[],False,False,202000.0,€,flat,"Rinconada, Alcalá de Henares","Piso en calle el Toboso, 1",,,,215000.0,13000.0,6.0,
108528898,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fb/80/74/1347591690.webp,2067,41,5,359500.0,flat,sale,88.0,True,3,1,calle Parque de Cabañeros,Madrid,Alcorcón,Parque Lisboa - La Paz,es,Parque Lisboa - La Paz,40.3445337,-3.8112139,False,https://www.idealista.com/inmueble/108528898/,"GRINVAL VENDE en la zona de LOS JUZGADOS este encantador piso, CON REFORMA COMPLETA A ESTRENAR! TOTALMENTE EXTERIOR. ""VIVIENDA NO CALIFICADA COMO VPO"". Con una superficie total de 88 m² es perfecto para quienes buscan comodidad y tranquilidad. Cuenta con 2 habitaciones individuales, 1 habitación doble, 1 baño completo con plato de ducha y mampara, cocina amueblada con tendedero cubierto (incluye electrodomésticos nuevos) Salón independiente, con excelente iluminación natural (sol de mañana). Entre sus características destacan el aire acondicionado frio/calor y calefacción de gas natural que garantizan un ambiente acogedor durante todo el año. Los suelos de tarima flotante, carpintería exterior de climalit; puertas interiores lacadas en blanco con diseño exclusivo que aportan un toque moderno y eficiente a la vivienda. ; tiene un armario empotrado amplísimo en el pasillo (9 cuerpos) Además, el edificio cuenta con 2 ASCENSORES, jardín comunitario y portero automático. Conserje físico, cámaras de vigilancia, etc. Incluye una PLAZA DE GARAJE. Ubicado a pocos metros de la L. 10 y L. 12 (estación Puerta. del Sur) Zona muy tranquila de Alcorcón, con todas las comodidades; frente a varios supermercados, este piso ofrece un ambiente acogedor y familiar. ¡No pierdas la oportunidad de visitarlo! El precio no incluye los gastos de compra-venta (IT, notario, registro y honorarios profesionales).",False,good,False,True,4085.0,True,False,False,False,[],False,False,359500.0,€,flat,"Parque Lisboa - La Paz, Alcorcón",Piso en calle Parque de Cabañeros,True,True,,,,,
108246986,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/f1/07/2e/1338347696.webp,*11,35,3,395000.0,flat,sale,186.0,True,4,2,calle Mayor,Madrid,Alcorcón,Centro,es,Casco Antiguo,40.3473106,-3.8264567,False,https://www.idealista.com/inmueble/108246986/,"Agencia inmobiliaria en ALCORCÓN – Zona ALCORCÓN CENTRO – AYUNTAMIENTO – Tecnocasa Estudio Ciudad de Alcorcón. Piso en venta – Calle Mayor, Alcorcón Te ofrecemos esta excelente oportunidad en una de las zonas más demandadas de Alcorcón: La Calle Mayor, a pocos pasos del Ayuntamiento y en pleno centro de la ciudad. Características de la vivienda: Cuenta con un amplio salón independiente con acceso a una terraza abierta, dos baños con bañera, y una estancia habilitada para la cocina (actualmente utilizada como recibidor con acceso a una terraza acristalada). Entre sus características destacan su suelo de parquet, puertas de madera, calefacción central y ascensor, además de acceso a la azotea del edificio. Alquilado hasta 2030 – Actualmente funciona como una clínica ocular, generando una rentabilidad de 1.400 €/mes, lo que lo convierte en una excelente opción de inversión. Excelente comunicación: A pocos minutos de líneas de autobús urbanas e interurbanas, Metrosur y RENFE. Zona con todos los servicios: Cerca de colegios, centro de salud, hospital, comercios y supermercados. No pierdas la oportunidad de invertir en una zona céntrica y con alta rentabilidad. ¡Contáctanos y agenda tu visita!",False,good,False,True,2124.0,True,False,False,False,[],False,False,395000.0,€,flat,"Casco Antiguo, Alcorcón",Piso en calle Mayor,,,,,,,
108156163,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/81/0b/ab/1335548151.webp,CEDROS,22,bj,310000.0,flat,sale,110.0,True,3,2,calle de los Cedros,Madrid,Móstoles,Coimbra - Guadarrama,es,,40.3033788,-3.9243165,False,https://www.idealista.com/inmueble/108156163/,"Inmorenta presenta esta oportunidad de inversión en Parque Coimbra, una de las zonas residenciales más consolidadas de Móstoles. Se trata de una atractiva vivienda en planta baja exterior, actualmente alquilada con contrato en vigor, lo que la convierte en una opción ideal para inversores que buscan rentabilidad inmediata y estabilidad. Características de la propiedad: Superficie construida: 110 m² Superficie útil: 98 m² Distribución interior: Salón-comedor con salida directa a una agradable terraza privada Cocina independiente, completamente equipada Tres dormitorios con armarios empotrados Dos baños completos, uno en suite Equipamiento y calidades: Calefacción individual por gas natural Aire acondicionado en habitación principal y salón  Armarios empotrados en todas las estancias Plaza de garaje incluida en el precio Orientación sur, garantizando una excelente entrada de luz natural Edificio construido en 2003, con ascensor y accesibilidad total Zonas comunes: Piscina comunitaria Zonas ajardinadas Urbanización privada y bien mantenida Información adicional: Vivienda actualmente alquilada Se vende con inquilinos en activo, ofreciendo una rentabilidad inmediata Ideal para inversores que buscan una propiedad consolidada, sin necesidad de reformas ni búsqueda de arrendatarios Ubicada en una zona bien comunicada y con todos los servicios: colegios, transporte público, supermercados, zonas verdes y rápido acceso a las principales vías (A-5 y M-50).",False,good,False,True,2818.0,False,False,False,False,[],False,False,310000.0,€,flat,"Coimbra - Guadarrama, Móstoles",Piso en calle de los Cedros,True,True,,320000.0,10000.0,3.0,
107811302,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/76/de/8d/1324500052.webp,,40,1,580000.0,flat,sale,300.0,True,2,3,calle de Longares,Madrid,Madrid,San Blas,es,Rosas,40.4333294,-3.6093942,False,https://www.idealista.com/inmueble/107811302/,"MHDB METROPOLITANO vende LOCAL CONVERTIDO A VIVIENDA de 300 m2, en una zona muy bien comunicada con metro línea 7 y línea 2, y varias líneas de autobuses.  se distribuye del siguiente modo: -Sótano diáfano de 60 m2 -Entreplanta donde se encuentra una cocina grande y tres baños, dos de ellos completos. -Planta a pie de calle, salón y dormitorio. -1º planta también de 60m2, actualmente hay un dormitorio y un recibidor amplio -2º planta, totalmente diáfana y por la cual se accede a las dos terrazas, cada una de 60 m2. Una de las terrazas se puede utilizar para poner placas solares. Se encuentra en una zona tranquila de Musas y con todo tipo de servicios a su alrededor (colegios, supermercados, farmacias, parques infantiles, zonas de ocio.. . ) También está cerca del carril bici. Salidas A2 Y M40. En las proximidades tenemos el Centro Comercial Las Rosas, CIVITAS-METROPOLITANO y el Centro Comercial Plenilunio. Además de a 10 minutos en coche del aeropuerto BARAJAS-ADOLFO SUAREZ. Además de asesorar a cada cliente de forma individual, nos encargamos de tramitarle todas las gestiones necesarias para hacer más fácil y rápido el proceso de compra. Para más información nos puede llamar o escribir.  Próximo a dos líneas de metro la 2 y la 7. Te acompañamos en todo el proceso de compraventa.",False,good,False,False,1933.0,True,False,False,False,[],False,False,580000.0,€,flat,"Rosas, Madrid",Piso en calle de Longares,,,,,,,
