propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.subTypology
108425350,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/76/27/51/1351515007.webp,AR03121,19,8,1190000.0,flat,sale,161.0,True,4,3,Barrio Vallehermoso,Madrid,Madrid,Chamberí,es,Vallehermoso,40.4416377,-3.7162365,False,https://www.idealista.com/inmueble/108425350/,"Piso en venta de 161 m², muy luminoso, en el barrio de Vallehermoso, dentro del distrito de Chamberí. Esta zona es conocida por su ambiente residencial y su excelente conectividad con el resto de la ciudad. La vivienda se encuentra en una octava planta exterior. Dispone de ascensor, zonas verdes, portero físico y garaje. El piso tiene muchísimas posibilidades de reforma y una magnifica terraza de unos 7m² con unas vistas despejadas debido a su altura y su orientación sur. Consta de: 4 dormitorios y 3 baños, cocina independiente con puerta de servicio.",False,renew,False,True,7391.0,True,False,False,False,[],False,False,1190000.0,€,True,True,flat,"Vallehermoso, Madrid",Piso,,,,
108540067,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/71/8b/e1/1348240078.webp,,43,,580000.0,chalet,sale,340.0,,3,3,CL CERRO DEL CASTAÑAR,Madrid,Navalagamella,,es,,40.4601701,-4.0988269,False,https://www.idealista.com/inmueble/108540067/,"Cassa Inmobiliaria tiene el placer de presentarles este exclusivo chalet, un auténtico oasis de paz y naturaleza, enclavado en una de las zonas más tranquilas y seguras de la sierra. Rodeado por un magnífico jardín consolidado de aproximadamente 2.000 m² aproximadamente, cuidadosamente diseñado con paseos, árboles maduros (Robles, Olivos), exuberantes plantas (Adelfas, Palmera...) y fuentes decorativas, este espacio exterior ofrece un rincón perfecto para desconectar del mundo. El sistema de riego automático garantiza su mantenimiento, y el jardín alberga además un cuarto de depuradora y dos prácticos cuartos para herramientas. La vivienda se distribuye en dos plantas que permiten un uso independiente de las mismas, comunicadas por una escalera interior y también con acceso propio desde el exterior, lo que la hace ideal para familias multigeneracionales, invitados o incluso como inversión para alquiler vacacional. Planta superior: Accedemos por una encantadora entrada que nos conduce a un vestidor con ventana, un verdadero sueño hecho realidad para quienes valoran el orden y el espacio propio. La habitación principal cuenta con baño completo en suite. Un segundo baño completo da servicio al resto de la planta, además de una cómoda habitación de invitados. El salón, cálido y acogedor gracias a su chimenea de leña, se integra con una cocina americana totalmente amueblada. Desde aquí se accede a dos terrazas con vistas impresionantes, perfectas para disfrutar de desayunos al sol o atardeceres inolvidables. Planta baja: En este segundo apartamento encontramos un baño completo con ducha y ventana, una espaciosa habitación principal con doble ventana y armario, un aseo adicional y un salón con aire acondicionado y cocina americana. Desde aquí se accede a una espléndida terraza acristalada y climatizada, que se abre hacia una espectacular piscina, creando un espacio perfecto para el relax y el entretenimiento. Completan esta planta un cuarto de plancha, un gimnasio y un amplio garaje. Extras y equipamiento: Carpintería exterior PVC de muy alta calidad.  Todas las ventanas disponen de mosquiteras. Persianas automatizadas en terrazas y persianas venecianas en la planta baja. Sistema de seguridad con cámaras y circuito cerrado. Caldera nueva de gasoil (instalada hace 3 años). Una propiedad única, pensada para quienes buscan calidad de vida, tranquilidad y todas las comodidades en un entorno natural. Situada en una urbanización privada con vigilancia en el acceso, esta vivienda es una oportunidad excepcional. Le invitamos a visitarla y descubrir por qué este chalet no es solo una casa, sino un estilo de vida. Contáctenos para más información o agendar una visita personalizada.",False,good,False,,1706.0,False,False,False,False,[],False,False,580000.0,€,True,True,chalet,Navalagamella,Casa independiente en Cl Cerro Del Castañar,600000.0,20000.0,3.0,independantHouse
106596062,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/e6/8f/88/1133654080.webp,Miramadrid,22,en,240000.0,duplex,sale,65.0,True,2,2,calle MIRAMADRID,Madrid,Madrid,Usera,es,Pradolongo,40.3826962,-3.706906,False,https://www.idealista.com/inmueble/106596062/,"DUPLEX en venta, en un edificio del año 2007,  PARA ENTRAR A VIVIR. La PLANTA DE ABAJO, es una entreplanta y la planta de arriba es un PRIMERO ALTO  No dejes de ver los videos de la vivienda. VIVIENDA DUPLEX nueva totalmente. MUY LUMINOSAS todas las estancias, con varias ventanas a dos orientaciones. Orientación ESTE, sol de mañana. Cuenta con 2 DORMITORIOS Y 2 BAÑOS.  PLAZA DE GARAJE en el mismo edificio. 1 TRASTEROS y tendedero en el mismo edificio IBI 125 euros. 40 EUROS de comunidad de propietarios. Todas la paredes lisas. En la planta de abajo se encuentra la COCINA AMERICANA, salón y un baño completo con plato de ducha. En la planta de arriba el DORMITORIO PRINCIPAL con gran armario empotrado y baño en suit con bañera, y la segunda habitación también con armario empotrado. Otro armario en el pasillo tipo despensa. Calefacción eléctrica y energía solar con paneles solares. (por lo que el ahorro en toda la vivienda está garantizado) AIRE ACONDICIONADO, por CONDUCTOS en todas las estancias. A PARTE DEL trastero en las zonas comunes del edificio, dispone de un cuarto privado en el patio, solo de esta vivienda como tendedero o para dejar bicicletas.. . El edificio cuenta con PANELES SOLARES para ahorrar en electricidad. Edificio muy tranquilo y muy bien cuidado. Con agradables vecinos. No deje de hacer una visita. Metro Usera o Plaza Elíptica.",True,good,False,True,3692.0,True,False,False,False,[],False,False,240000.0,€,True,True,flat,"Pradolongo, Madrid",Dúplex en calle Miramadrid,,,,duplex
108657507,https://img4.idealista.com/blur/480_360_mq/90/id.pro.es.image.master/54/7a/c2/1351307546.webp,,35,2,239000.0,flat,sale,83.0,True,3,1,calle Tejar de la Pastora,Madrid,Madrid,Puente de Vallecas,es,Numancia,40.405002,-3.6655182,False,https://www.idealista.com/inmueble/108657507/,"Agencia Inmobiliaria de Madrid | zona Vallecas, Nueva Numancia | Tecnorete Distrito Nueva Numancia S.L. EN VENTA ¿Estás buscando una vivienda amplia, luminosa, de 3 dormitorios, con ascensor, acceso adaptado por rampa, próxima al metro y a 30 minutos a pie del retiro? Si es así, vengo a presentarme, porque soy la vivienda que andas buscando. Me encuentro sita en el barrio de Nueva Numancia, conocido por el intercambiador de Puente de Vallecas, donde dispones de una gran variedad de líneas de autobús para ir a cualquier parte que necesites del centro, así como la línea 1 de metro. Para llegar hasta mí, debes acceder primero por la puerta que da paso a mi soportal, y después, abrir la puerta del portal, ya que me gusta mantener seguros a los vecinos del portal y así se limita el acceso a los propietarios únicamente. Dentro del portal, dispongo de una rampita para las personas que tienen reducción de movilidad, y necesitan ayuda para llegar al ascensor, que de hecho, tengo 2. Por cada planta, somos 4 las viviendas que nos situamos, y para entrar a verme, tienes que abrir primero una puerta blindada. Ya habiendo accedido, te atiendo en mi recibidor, donde puedes colgar la ropa de la calle, y decidir qué descubrimos primero: la cocina, a mano izquierda, muy amplia y con doble encimera, totalmente equipada, con radiador para las noches frías de invierno, vitrocerámica para cocinar cómoda y eficientemente, y al fondo da paso a mi primer patio, una fuente total de luz y desahogo. En el me cabe una mesa y un par de sillas, y tiene vistas despejadas a todo Madrid, con Orientación Sur, aunque mis dueños actuales tienen instalado un tendedero que les proporciona un espacio libre para tender las coladas con buena luz todo el día.  Volviendo al recibidor, de frente encontramos el corazón de tu futuro hogar: el salón. Como puedes ver, es muy espacioso, cuadrado, luminoso, con aire acondicionado de frío y calor y con techos altos, y para colmo de males, lo tengo comunicado a una segunda terracita. Ésta última, tiene algo más de espacio que la primera que te mostré, y la Orientación es Oeste, con vistas despejadas a todo Madrid igual que la anterior, y mis actuales dueños la tienen como favorita para disfrutar de unos bonitos atardeceres. A mano izquierda de la terraza, hay una puerta en la cual tengo un pasillo que utilizo de distribuidor, para que los dormitorios, así como el cuarto de baño sean todos independientes del salón y así mis dueños tengan privacidad y un cómodo descanso. Todas las habitaciones son grandes, cuadradas, exteriores y muy luminosas, siendo similares en metros cuadrados, y tienen doble ventana, que insonorizan muy bien para que descanséis bien de noche y además aíslan muy bien del calor. Al final del pasillo, os muestro mi cuarto de baño, en el que espero que estés cómodos y disfrutéis del espacio y comodidad que brinda, además que al igual que las terrazas y dormitorios, tiene vistas despejadas a todo Madrid, y qué mejor vista que esa después de un largo día de trabajo y darte una ducha relajante. Tengo suelos de tarima en la mayor parte de la vivienda, salvo en la cocina y las dos terrazas, que son de gres. La calefacción es de gas natural, y la comunidad es excelente para vivir en familia. Y bien, ¿soy la vivienda que buscas? De ser así, ¡no esperes para venir a verme! Si necesitas ayuda con tu hipoteca disponemos de Kìron, nuestro departamento financiero, que te ayudará a conseguir el préstamo que necesitas en las mejores condiciones posibles.",False,good,False,True,2880.0,False,False,False,False,[],False,False,239000.0,€,,,flat,"Numancia, Madrid",Piso en calle Tejar de la Pastora,249000.0,10000.0,4.0,
108889250,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/cd/18/7e/1358368486.webp,1275,28,8,415000.0,flat,sale,118.0,True,3,2,Barrio Hellín,Madrid,Madrid,San Blas,es,Hellín,40.4313776,-3.6114653,False,https://www.idealista.com/inmueble/108889250/,"""Asesores Inmobiliarios Las Rosas"" pone en venta maravillosa vivienda en Hellín de 118 m2 con 3 dormitorios y dos baños. Reformado en su totalidad con acabados de alta calidad, lista para entrar a vivir. la vivienda se queda semi amueblada y con electrodomésticos. Esta Situada junto al Polideportivo de San Blas y a solo 2 km del Estadio Metropolitano, este piso ofrece comodidad y una ubicación estratégica. La vivienda cuenta con una zona de estar amplia y muy luminosa que da paso a los dormitorios de gran tamaño, ya los balos, uno de ellos en suite, la Cocina es independiente a estrenar, la Calefacción es por gas natural bajo suelo y radiadores, Aire acondicionado por Split con bomba de frío/calor, Comunicación y transporte: Metro líneas 2 y 7, Autobuses en la avenida: 106, 287, 4 y E3, Autobuses cercanos: 106 (Plaza de Manuel Becerra – Vicálvaro), 159 (Alsacia – El Cañaveral), N7. Zona tranquila con todos los servicios necesarios, amplias zonas deportivas y excelente conectividad con el resto de la ciudad. "" Lo importante no es saber, sino confiar en quien sabe "".",False,good,False,True,3517.0,False,False,False,False,[],False,False,415000.0,€,,,flat,"Hellín, Madrid",Piso,,,,
99565809,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/61/0d/84/1052681542.webp,19P19364,21,4,249000.0,flat,sale,73.0,True,3,1,"calle del Corregidor Juan de Bobadilla, 22",Madrid,Madrid,Moratalaz,es,Vinateros,40.4076864,-3.641863,True,https://www.idealista.com/inmueble/99565809/,"¡Oportunidad única en el corazón del barrio! Este encantador piso de 73 m² te espera en la cuarta planta de un edificio clásico sin ascensor, ideal para quienes buscan personalizar cada rincón a su gusto. Con tres luminosos dormitorios, un acogedor salón, cocina y baño, este espacio está listo para ser transformado en el hogar de tus sueños. La zona es inmejorable: rodeada de comercios, jardines y colegios, además de estar cerca de la vibrante zona comercial del barrio. No tendrás que preocuparte por el aparcamiento, ya que es fácil encontrar sitio, y disfrutarás de excelentes conexiones de transporte público que te mantendrán siempre bien comunicado. Construido en 1966, este piso tiene una clase energética E tanto en consumo de energía como en emisiones de CO2. Y lo mejor de todo, no hay honorarios para el comprador y recibirás acompañamiento en todo el proceso de compra. ¡No dejes pasar esta oportunidad de crear un hogar a tu medida!",True,renew,False,False,3411.0,False,False,False,False,[],False,False,249000.0,€,,,flat,"Vinateros, Madrid","Piso en calle del Corregidor Juan de Bobadilla, 22",,,,
108505577,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fe/da/78/1346909395.webp,M-14-00447-O,35,1,600000.0,flat,sale,66.0,False,2,2,calle de San Bartolomé,Madrid,Madrid,Centro,es,Chueca-Justicia,40.4208505,-3.699128,False,https://www.idealista.com/inmueble/108505577/,"Estupendo piso en el centro de Madrid, a 5 min a pie de la Estación de metro Gran Vía y a 900 metros de Museo Thyssen-Bornemisza. Este apartamento está a 15 min a pie de la Estación de metro Plaza de España y a 1,2 km de la Plaza Mayor de Madrid. Piso preparado para alquilar por cortas o largas estancias, se vende con el mobiliario. Tiene aire acondicionado y cuenta con 2 dormitorios dobles, uno de ellos con baño en suite, segundo baño, TV de pantalla plana, zona de comedor y cocina con nevera y microondas.  Cerca del alojamiento hay puntos de interés como Gran Vía, Parque de El Retiro y Museo Reina Sofía. El aeropuerto (Aeropuerto Adolfo Suárez Madrid - Barajas) está a 12 km.",False,good,False,False,9091.0,True,True,False,False,[],False,False,600000.0,€,,,flat,"Chueca-Justicia, Madrid",Piso en calle de San Bartolomé,,,,
108168636,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/fc/e7/07/1335908901.webp,P-2214,22,5,380000.0,flat,sale,95.0,True,2,2,avenida de Isabel Torres,Madrid,Coslada,Ciudad 70,es,,40.4201215,-3.5365323,False,https://www.idealista.com/inmueble/108168636/,"� ¡Tu nuevo hogar en Coslada! Completamente reformado, con piscina y todas las comodidades Te presentamos esta espectacular vivienda en Coslada, ideal para quienes buscan confort, ubicación y estilo en un entorno consolidado con todos los servicios: supermercados, colegios, centros de salud, zonas verdes, transporte público y excelente conexión con el centro de Madrid. ✨ Características destacadas 95 m² de superficie perfectamente aprovechados. Salón comedor amplio y muy luminoso, ideal para disfrutar en familia o con amigos. Cocina independiente amueblada, moderna y funcional. 2 dormitorios, ambos de excelente tamaño. 2 baños completos, perfectos para mayor comodidad y privacidad. �️ Todo lo que necesitas, ¡ya incluido! �️ Totalmente amueblada: lista para entrar a vivir. ❄️ Aire acondicionado y �️ calefacción por gas natural para tu confort todo el año. � Vivienda completamente reformada, con acabados actuales y de gran calidad. � Piscina comunitaria: refrescante, cómoda y perfecta para disfrutar los días de verano. � Plaza de garaje y trastero incluidos en el precio. � Ubicación privilegiada Situada en una de las zonas más demandadas de Coslada, esta vivienda te ofrece: Acceso rápido a Madrid. Excelentes comunicaciones por carretera y transporte público. Todos los servicios al alcance de la mano. Entorno tranquilo y bien cuidado. � Ideal para familias, parejas o como inversión, esta vivienda reúne todas las cualidades para convertirse en tu próximo hogar o en una excelente oportunidad inmobiliaria. � ¡Llámanos ahora! En Inmobiliaria Ceballos, te ofrecemos un trato cercano, profesional y con más de 30 años de experiencia que nos convierten en la inmobiliaria de referencia en la provincia. ¡Te ayudamos a dar el paso!",False,good,False,True,4000.0,False,False,False,False,[],False,False,380000.0,€,True,True,flat,"Ciudad 70, Coslada",Piso en avenida de Isabel Torres,397000.0,17000.0,4.0,
107600364,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8b/6f/a1/1317245702.webp,,22,2,750000.0,flat,sale,136.0,True,4,2,Barrio Imperial,Madrid,Madrid,Arganzuela,es,Imperial,40.4100977,-3.722485,False,https://www.idealista.com/inmueble/107600364/,"Estupendo piso para reformar con vistas despejadas al Río Manzanares y practicamente todo exterior haciendo esquina. Tiene muchas posibilidades de reforma ya que no tiene muros de carga, si no que cuenta con pilares. Muy buena altura de techo. Trastero de unos 8m². La calefacción es central con contadores individualizados. Dispone de acceso para movilidad reducida, ascensor y finca en muy buen estado de conservación, cuenta con personal de mantenimiento para la recogida de basura y limpieza general del edificio. Los alrededores de la finca cuentan con zonas verdes. Gastos de Comunidad: 103€ IBI: 665€ Actualmente de distribuye de la siguiente manera: - Hall de entrada - Salón – comedor - 3 dormitorios exteriores - 1 cuarto de baño - 1 dormitorio de servicio con un aseo - Cocina independiente con despensa La calefacción es central con sus respectivos contadores individualizados en cada uno de los radiadores.",False,renew,False,True,5515.0,True,False,False,False,[],False,False,750000.0,€,,,flat,"Imperial, Madrid",Piso,,,,
108281028,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a0/6d/71/1339703295.webp,,43,2,450000.0,flat,sale,92.0,True,3,2,calle de Pablo Sarasate,Madrid,Madrid,Latina,es,Los Cármenes,40.4061324,-3.7308987,False,https://www.idealista.com/inmueble/108281028/,"**Piso en Venta en La Latina - Oportunidad Única** Descubre esta estupenda vivienda situada en el corazón del distrito de La Latina, una zona consolidada y perfectamente comunicada. A solo unos pasos de Madrid Río, este piso es ideal para disfrutar de la vida urbana sin renunciar a la tranquilidad. Rodeado de servicios esenciales como supermercados, restaurantes, comercios, colegios y amplias zonas verdes, aquí encontrarás todo lo que necesitas al alcance de tu mano. La propiedad cuenta con 92 m² construidos, distribuidos en 3 dormitorios y 2 baños completos, uno de ellos en suite en la habitación principal. El salón exterior es muy luminoso, perfecto para disfrutar de momentos en familia o con amigos. Equipado con aire acondicionado y calefacción individual, este hogar garantiza confort durante todo el año. Además, incluye una plaza de garaje en el precio, lo que añade un valor extra a esta oferta. Ideal tanto para familias que buscan un nuevo hogar como para inversores en una zona con alta demanda y proyección. No dejes pasar esta oportunidad y ven a visitarlo. ¡Tu nuevo hogar te está esperando!",True,good,False,True,4891.0,True,False,False,False,[],False,False,450000.0,€,True,True,flat,"Los Cármenes, Madrid",Piso en calle de Pablo Sarasate,,,,
