propertyCode,thumbnail,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,description,hasVideo,status,newDevelopment,hasLift,priceByArea,hasPlan,has3DTour,has360,hasStaging,notes,topNewDevelopment,topPlus,priceInfo.price.amount,priceInfo.price.currencySuffix,priceInfo.price.priceDropInfo.formerPrice,priceInfo.price.priceDropInfo.priceDropValue,priceInfo.price.priceDropInfo.priceDropPercentage,detailedType.typology,suggestedTexts.subtitle,suggestedTexts.title,externalReference,detailedType.subTypology,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,newDevelopmentFinished,parkingSpace.parkingSpacePrice
108710922,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/8a/2e/7e/1352860133.webp,17,bj,287000.0,flat,sale,66.0,False,1,1,CL ILUSTRACION,Madrid,Madrid,Moncloa,es,Argüelles,40.4225733,-3.71882,False,https://www.idealista.com/inmueble/108710922/,"Ponemos a la venta vivienda reformada, compuesto de un dormitorio con cuarto de baño incorporado con plato de ducha, y un amplio salón con la cocina integrada en el mismo. La cocina está completamente equipada, con mobiliario y electrodomésticos. Suelos de tarima, techos muy altos, lo que configura un espacio muy amplio. Calefacción y agua caliente individual por gas natural. La ubicación del piso es inmejorable ya que se encuentra en el corazón del Barrio de Arguelles, junto al Intercambiador de Príncipe Pío y a escasa distancia de la Plaza de España y el Palacio Real.  Acceso inmediato a la M-30 Y M-40. Junto a la estación de tren y centro comercial de Príncipe Pio. Muy próximo a colegios y universidades (Universidad Pontificia de Comillas, universidad de Nebrija, IES Lope de Vega), guarderías, museos, parques (Rosaleda del Parque Oeste, Jardines del Campo del Moro, Templo de Debod) farmacias, hospitales y variedad de restaurantes. Ideal para vivir y estupendo para inversión. No pierda esta oportunidad y consúltenos.",False,good,False,True,4348.0,False,False,False,False,[],False,False,287000.0,€,295000.0,8000.0,3.0,flat,"Argüelles, Madrid",Piso en Cl Ilustracion,,,,,,
106334465,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/a7/b1/86/1279734110.webp,29,1,800000.0,flat,sale,90.0,True,3,2,plaza de España,Madrid,Madrid,Centro,es,Malasaña-Universidad,40.4238014,-3.7121039,False,https://www.idealista.com/inmueble/106334465/,"CASA BELLEZA INMOBILIARIA vende esta joya del corazón de Madrid!  Este impresionante piso de una VIVIENDA de 90m² te ofrece la combinación perfecta de historia y comodidad moderna. Con 3 dormitorios exteriores, 2 baños, un salon luminoso, una cocina totalmente equipada y balcones, que es ideal para familias o aquellos que buscan la mejor ubicacion de la ciudad. También podría ser una fantástica posibilidad de inversión en el distrito Centro de Madrid a pocos metros de la Plaza de España y Calle Gran Vía. Disfruta de la luz natural durante todo el día gracias a su orientación en todas las direcciones. La propiedad, construida en 1916, mantiene su encanto clásico mientras ofrece comodidades contemporáneas como calefacción individual y aire acondicionado. La vivienda ha sido recientemente renovada y se encuentran en perfectas condiciones. Ubicado en la primera planta de un edificio con ascensor, este piso exterior cuenta con balcones y un mirador perfectos para relajarte al aire libre. Los armarios empotrados proporcionan un amplio espacio de almacenamiento.  No pierdas la oportunidad de vivir en un hogar que combina lo mejor del pasado y del presente. ¡Ven a visitarlo y déjate enamorar!",True,good,False,True,8889.0,True,False,False,False,[],False,False,800000.0,€,,,,flat,"Malasaña-Universidad, Madrid",Piso en plaza de España,CB-003,,,,,
96536259,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/67/f8/8e/1253733935.webp,38,,459000.0,chalet,sale,340.0,,7,2,"avenida de la Cabrera, 27",Madrid,La Cabrera,,es,,40.8632434,-3.6133981,True,https://www.idealista.com/inmueble/96536259/,"BREM Global Inmobiliaria presenta en cartera este céntrico y amplio Chalet independiente en La Cabrera con vistas a la Sierra, construido sobre una parcela de 590 m2 con fachada de 45 delantera 9 trasera y 25 metros de fondo, con salida a dos calles.  La vivienda cuenta con la posibilidad de dos viviendas independientes con 340 m2 en dos plantas. Construido en 1977 en una zona del pueblo donde la normativa urbanística, la segregación de la parcela es de 250 m2, esto facilita mucho hacer la división horizontal y convertirla en dos unidades separadas.  La planta baja entrada con descansillo doble puerta, el recibidor que distribuye un amplio salón comedor, la cocina con despensa y salida a la parcela, tres habitaciones dobles con armario empotrado, un baño con bañera con mampara y armario empotrado en el pasillo, eliminada barreras arquitectónicas.  La planta alta con entrada independiente, con una terraza acristalada, recibidor, salón comedor con chimenea de obra, la cocina con salida a la terraza corredor, cuatro habitaciones dobles dos con armarios empotrados, un baño con bañera, y acceso al tejado palomero. La carpintería interior en madera de pino barnizada y con cristalera en salón y cocina, al igual que frentes de armario, la exterior con PVC lacado en blanco con barrotillo, con persianas herméticas a juego, con reja de forja, suelo de gres cerámico, madera de roble macizo incluido frente de armarios. La planta alta tiene doble ventana, y en este caso necesitaría alguna actualización. La calefacción de gasoil y construido en piedra de granito.  La parcela se encuentra parte de ella adoquinada y ajardinada, con acceso peatonal y dos para vehículos una delantera y otra trasera, cuarto de aperos, garaje de 20 m2 vallada en mampostería de granito.  En cuanto a la ubicación, esta en uno de los municipios con mayor demanda y mas accesibilidad a servicios de toda la zona, tales como centro de salud, colegio, instituto, hasta un centro de humanidades. Situado en una zona bastante tranquila cerca del centro del pueblo, donde podemos disponer de todos los servicios que ofrece el municipio. ¡VEN A CONOCERLO Y TE SORPRENDERÁS CON TODAS LAS POSIBILIDADES DE LA VIVIENDA, NO LO DUDES!",True,good,False,,1350.0,False,False,True,False,[],False,False,459000.0,€,,,,chalet,La Cabrera,"Casa independiente en avenida de la Cabrera, 27",96536259,independantHouse,,,,
106726983,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/ab/6b/64/1292157561.webp,12,5,1459000.0,flat,sale,97.0,True,2,2,calle del General Pardiñas,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4231675,-3.6767042,False,https://www.idealista.com/inmueble/106726983/,"Ubicado en la Calle General Pardiñas 8, en pleno corazón del Barrio de Salamanca - Lista, este espectacular piso de 2 habitaciones y 2 baños ofrece un estilo de vida exclusivo y cómodo.  Esta vivienda está diseñada para quienes buscan luminosidad, espacio y elegancia. Además, se vende amueblado, listo para entrar a vivir sin necesidad de preocuparse por nada más.  Vivir en el Barrio de Salamanca es disfrutar de una de las zonas más selectas de Madrid, rodeado de las mejores tiendas, restaurantes y servicios de la ciudad.  La zona de Lista combina tranquilidad y sofisticación, con excelentes conexiones de transporte y proximidad a lugares icónicos como el Parque del Retiro.  Este es el lugar perfecto para aquellos que valoran la calidad de vida en un entorno exclusivo.",False,good,False,True,15041.0,True,False,False,False,[],False,False,1459000.0,€,,,,flat,"Goya, Madrid",Piso en calle del General Pardiñas,1582,,,,,
104695467,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/24/b4/85/1228811137.webp,26,5,1290000.0,flat,sale,130.0,True,3,2,Barrio Goya,Madrid,Madrid,Barrio de Salamanca,es,Goya,40.4232696,-3.6762376,False,https://www.idealista.com/inmueble/104695467/,"Belton Real Estate ofrece encantador piso ubicado en una de las zonas más pintorescas de la ciudad. Ofrece una oportunidad única para crear el hogar de tus sueños. Su potencial es evidente desde el momento en que cruzas la puerta. El piso tiene una superficie de 130 metros cuadrados con una buena distribución, dispone de tres amplios dormitorios y dos baños lo que permite que el piso pueda ser habitado por una familia numerosa así como una persona que busque varias habitaciones. El piso destaca por grandes ventanales que permiten la entrada de luz natural, creando un ambiente cálido y acogedor, desde algunas habitaciones, se pueden disfrutar de vistas panorámicas que enriquecen la experiencia de vivir en el centro urbano. Se vende completamente reformado el piso. Cuenta con trastero lo que permite al propietario tener un espacio para el almacenamiento, también dispone de ascensor muy necesario ya que el piso se encuentra en una quinta planta. Techos altos, suelos de madera y detalles arquitectónicos que reflejan la elegancia de la época. Ubicada en el prestigioso distrito de Salamanca, la zona de Goya en Madrid combina elegancia, comodidad y un estilo de vida vibrante. Conocida por su arquitectura clásica, boutiques exclusivas y una amplia oferta cultural, Goya se presenta como una de las ubicaciones más codiciadas de la capital. A pocos pasos, se encuentran varios teatros, cines y galerías de arte. La oferta cultural diversa garantiza entretenimiento para todos los gustos, desde eventos en vivo hasta exposiciones de arte contemporáneo. Goya cuenta con excelentes conexiones de transporte público, facilitando el desplazamiento por la ciudad. Estaciones de metro cercanas y varias líneas de autobús hacen que moverse por Madrid sea rápido y conveniente. Aproximadamente un 30 % de los inmuebles que tenemos en esta zona solo están anunciados en nuestra web por expreso deseo de los propietarios. Para verlos pinche por favor en el enlace adicional ubicado en la parte final del anuncio y encuentra el piso que estás buscando.",False,good,False,True,9923.0,False,False,False,False,[],False,False,1290000.0,€,,,,flat,"Goya, Madrid",Piso,FAR,,,,,
106556509,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/06/3c/cc/1286691929.webp,14,2,367000.0,flat,sale,138.0,True,3,2,avenida de la Coruña s/n,Madrid,San Sebastián de los Reyes,Los Arroyos,es,,40.5630802,-3.6271802,True,https://www.idealista.com/inmueble/106556509/,"***SIN COMISIÓN DE AGENCIA***  ***SOLO INVERSORES*** Alquilada Renta actual: 1007.50€/mes Fecha fin de contrato: 04/2027 En Magna 4 Inmobiliaria somos especialistas en inmuebles, si está buscando vivienda, local, suelo.. . nosotros te acompañamos en todo el proceso y no te cobramos comisión.  Piso en San Sebastián de Los Reyes, Madrid. Dispone de una superficie de 128 m² distribuidos en salón-comedor, cocina amueblada con lavadero, 3 habitaciones con armarios empotrados y 2 baños completos con bañera. Cuenta con suelos de parquet y la finca tiene ascensor. Situado en una zona residencial cerca de servicios, comercios y de paradas de autobús. Con fácil acceso a la A1.",False,good,False,True,2659.0,True,False,False,False,[],False,False,367000.0,€,,,,flat,"Los Arroyos, San Sebastián de los Reyes",Piso en avenida de la Coruña s/n,ant00020715972,,True,True,,
108615525,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/23/51/5f/1350026909.webp,25,bj,260000.0,flat,sale,60.0,True,2,1,Barrio Simancas,Madrid,Madrid,San Blas,es,Simancas,40.4293365,-3.6298073,False,https://www.idealista.com/inmueble/108615525/,"+PISO Ofrece en exclusiva precioso piso para entrar a vivir. Se trata de un bajo exterior, inundado de luz y sol. Consta de amplio salón comedor exterior. Dos dormitorios dobles, gran cocina totalmente amueblada y equipada, con salida a un bonito y amplio patio privativo.  Baño completo Aire acondicionado con bomba de calor, agua caliente por termo eléctrico. Ventanas de doble acristalamiento con aislamiento térmico y acústico, paredes lisas, suelos de gres. Impecable estado, listo para entrar a vivir. Ubicado en un edificio de ladrillo visto, muy bien comunicado, a 5 minutos del Metro García Noblejas. zona con todo tipo de servicios, comercios, negocios y zonas verdes. Solicite su cita para visitarlo.",False,good,False,True,4333.0,True,True,False,False,[],False,False,260000.0,€,,,,flat,"Simancas, Madrid",Piso,GA-V-3735,,,,,
108072450,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/c6/16/23/1332963779.webp,25,3,396000.0,flat,sale,61.0,True,1,1,calle de Dulce Chacón,Madrid,Madrid,Hortaleza,es,Virgen del Cortijo - Manoteras,40.4873126,-3.6709503,False,https://www.idealista.com/inmueble/108072450/,"**Piso en Venta en la Prestigiosa Isla de Chamartín** Descubre este luminoso apartamento de 61 m², ubicado en una de las zonas más exclusivas de Madrid. Con orientación este, el sol ilumina el acogedor salón-comedor, ideal para disfrutar de momentos inolvidables. La cocina está completamente equipada con todos los electrodomésticos necesarios para hacer de tus comidas un verdadero placer. La habitación independiente es cómoda y luminosa, con armarios empotrados que ofrecen un amplio espacio de almacenamiento. Este edificio moderno, construido en 2006, cuenta con cinco ascensores y amplias zonas comunes que incluyen jardines, una zona infantil con columpios y una refrescante piscina. Además, podrás disfrutar de pistas de pádel y un gimnasio para mantenerte activo. La sala de comunidad es perfecta para celebrar fiestas y eventos familiares, creando un ambiente de convivencia y diversión. La ubicación es inmejorable, cerca del Parque Isla de Chamartín, ideal para paseos y ejercicio al aire libre. Con fácil acceso a la M11, estarás conectado con el recinto ferial de Ifema, el aeropuerto y el centro de la ciudad. El transporte público es excelente, con estaciones de Cercanías y Metro Ligero a pocos minutos. En los alrededores, encontrarás una variada oferta de servicios, como el centro comercial Manoteras, restaurantes, cines y hospitales privados como Sanitas La Moraleja y HM Sanchinarro. Este piso es apto para personas con movilidad reducida, cuenta con calefacción por bomba de frío/calor y aire acondicionado para tu comodidad. Además, incluye una plaza de garaje y un trastero en el precio. No pierdas la oportunidad de vivir en un lugar que combina confort, seguridad y una ubicación privilegiada. ¡Ven a visitarlo y enamórate de tu nuevo hogar!",False,good,False,True,6492.0,True,False,False,False,[],False,False,396000.0,€,,,,flat,"Virgen del Cortijo - Manoteras, Madrid",Piso en calle de Dulce Chacón,,,True,True,,
104395009,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/5a/09/8f/1315408036.webp,50,,2200000.0,chalet,sale,510.0,,5,5,Barrio Ciudad Universitaria,Madrid,Madrid,Moncloa,es,Ciudad Universitaria,40.4710554,-3.7494657,False,https://www.idealista.com/inmueble/104395009/,"Encantadora casa con gran parcela en Fuentelarreina Engel&Völkers Mirasierra-Puerta de Hierro ( ) les presenta este encantador chalet situado en la zona de Fuentelarreina. Una vivienda inigualable, debido al buen aprovechamiento de la parcela en la que está situada y a su distribución práctica, para todo tipo de compradores y perfecta para la vida en familia. La vivienda se distribuye en dos plantas y dispone de una tercera que tiene uso de almacén, bodega y zona de servicio. La planta principal está compuesta por un gran salón orientado al sur de 100 metros, con gran espacio dos chimeneas y grandes ventanales y además conecta con el jardín trasero hacia el suroeste. Una cocina con espacio de office, y baño de servicio completan la planta. Cabe destacar que desde toda la planta se pueden contemplar, a través de las ventanas, unas maravillosas vistas al jardín. En la segunda planta, se ubican los 4 dormitorios, todos en suite y con espacio para dos camas, zona de estudio y lectura. El dormitorio principal con baño completo, vestidor y terraza orientada al este, desde donde podrá contemplar unos espectaculares amaneceres. Toda la parcela rodeada de exuberante vegetación que provoca un espacio privado y tranquilo para disfrutar de la misma durante todo el año. Puerta de Hierro - Fuentelarreina está situada en el noroeste de Madrid, a tan sólo 10 minutos en autobús de Moncloa y Cuatro Caminos y en menos de media hora de la Puerta del Sol. Zona exclusiva de casas espectaculares rodeadas de vegetación y amplia seguridad. Puerta de Hierro está rodeada de numerosas zonas verdes como es el entorno natural del parque La Dehesa de la Villa, uno de los mayores de Madrid con una extensión de 700.000 m2 que alberga más de 6.000 árboles. En definitiva, un espacio natural transformado e incorporado a la ciudad, que constituye un lugar privilegiado del que directamente se benefician unos 124.600 madrileños. Por otro lado, la urbanización se encuentra próxima al Centro Comercial La Vaguada y al Club Social Puerta de Hierro, el Real Club de Golf Puerta de Hierro y otros equipamientos comerciales y educacionales.",False,good,False,,4314.0,False,False,False,True,[],False,False,2200000.0,€,,,,chalet,"Ciudad Universitaria, Madrid",Casa independiente,W-02RXNK,independantHouse,True,True,,
108805127,https://img4.idealista.com/blur/480_360_mq/0/id.pro.es.image.master/0c/43/d1/1355659683.webp,20,1,207000.0,flat,sale,130.0,True,2,2,calle de San Isidro,Madrid,Aranjuez,Nuevo Aranjuez-Ciudad de las Artes,es,,40.0322284,-3.5962558,False,https://www.idealista.com/inmueble/108805127/,"¡Oportunidad única en Aranjuez! Piso moderno con garaje y trastero incluido Te presentamos este magnífico piso en venta situado en una de las zonas más tranquilas y bien comunicadas de Aranjuez. La vivienda cuenta con 2 amplios dormitorios, ideales tanto para familias como para parejas o personas que buscan una habitación extra como despacho o vestidor. El salón es muy luminoso, con grandes ventanales que permiten la entrada de luz natural durante todo el día, creando un ambiente cálido y acogedor perfecto para relajarse o disfrutar con invitados. Dispone de 2 baños completos, uno con ducha y el otro con bañera. La cocina está totalmente equipada y amueblada con electrodomésticos nuevos. La vivienda tiene toldos nuevos instalados, aire acondicionado en el salon, puertas lacadas en blanco. Además, el precio incluye plaza de garaje y trastero, lo que añade un valor extra a la propiedad y garantiza comodidad y espacio de almacenamiento adicional. Ponte en contacto con nosotros no te pierdas esta oportunidad.",True,good,False,False,1592.0,False,False,False,True,[],False,False,207000.0,€,,,,flat,"Nuevo Aranjuez-Ciudad de las Artes, Aranjuez",Piso en calle de San Isidro,001408,,True,True,,
